序號,縣市,分區,"Google Maps URL","KML URL","KML 檔案",狀態
13,"雲林縣 Yunlin County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1SIgHI8kphgfnT08jn6iW5RD4CnZJpQqi&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1SIgHI8kphgfnT08jn6iW5RD4CnZJpQqi&forcekml=1,"雲林縣 Yunlin County_全區 All Districts.kml",success
14,"嘉義市 Chiayi City","全區 All Districts",https://www.google.com/maps/d/edit?mid=1AqUlu6v55_vTLPb1vCZgDFYJZ16GyvnC&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1AqUlu6v55_vTLPb1vCZgDFYJZ16GyvnC&forcekml=1,"嘉義市 Chiayi City_全區 All Districts.kml",success
15,"嘉義縣 Chiayi County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1BU58Gx6dGkwxoVrRBTm79tCVLZ4v-XRB&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1BU58Gx6dGkwxoVrRBTm79tCVLZ4v-XRB&forcekml=1,"嘉義縣 Chiayi County_全區 All Districts.kml",success
16,"屏東縣 Pingtung County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1-bLjHz5DIqwBDdq9KVfcVRUFQWkfllaK&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1-bLjHz5DIqwBDdq9KVfcVRUFQWkfllaK&forcekml=1,"屏東縣 Pingtung County_全區 All Districts.kml",success
17,"宜蘭縣 Yilan County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1k05exCJAJ6xGleQ0x2D3DXpD2hUXNNs6&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1k05exCJAJ6xGleQ0x2D3DXpD2hUXNNs6&forcekml=1,"宜蘭縣 Yilan County_全區 All Districts.kml",success
18,"花蓮縣 Hualien County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1aSsZ3GiwxZxY0hldnQ4ihpaDPX6m-RKk&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1aSsZ3GiwxZxY0hldnQ4ihpaDPX6m-RKk&forcekml=1,"花蓮縣 Hualien County_全區 All Districts.kml",success
19,"臺東縣 Taitung County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1sR8xCePEEMCcjHZjFEYomUhFF0HMCm_O&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1sR8xCePEEMCcjHZjFEYomUhFF0HMCm_O&forcekml=1,"臺東縣 Taitung County_全區 All Districts.kml",success
20,"澎湖縣 Penghu County","全區 All Districts",https://www.google.com/maps/d/edit?mid=12fE8l96VNLwrCcpmlzvdbwXc3Br3JDgB&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=12fE8l96VNLwrCcpmlzvdbwXc3Br3JDgB&forcekml=1,"澎湖縣 Penghu County_全區 All Districts.kml",success
21,"金門縣 Kinmen County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1EXxSWBfhlxhzROwbbX97z-J5xqVdEsup&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1EXxSWBfhlxhzROwbbX97z-J5xqVdEsup&forcekml=1,"金門縣 Kinmen County_全區 All Districts.kml",success
22,"連江縣 Lienchiang County","全區 All Districts",https://www.google.com/maps/d/edit?mid=1jTNr02Y4mgPVqp-6fEZ4DaY6nCwLbBfm&usp=sharing,https://www.google.com/maps/d/u/0/kml?mid=1jTNr02Y4mgPVqp-6fEZ4DaY6nCwLbBfm&forcekml=1,"連江縣 Lienchiang County_全區 All Districts.kml",success
