類別,電腦編號,村里別,地址,地下層數位址,可容納人數
其它,EPA00404,中建里,中壢區9鄰中平路204號,1,56.0
其它,EPA00405,中建里,中壢區9鄰中平路200號,1,65.0
其它,EPA00406,振興里,中壢區10鄰龍岡路三段154號,1,226.0
公寓,EPA00407,振興里,中壢區10鄰龍岡路三段8號,1、2,413.0
公家機構,EPA00411,中央里,中壢區22鄰延平路499號,1,1565.0
公寓,EPA00412,石頭里,中壢區14鄰興建街12號,1、2,457.0
公寓,EPA00414,興南里,中壢區5鄰延平路466號,1、2,616.0
大樓,EPA00415,普義里,中壢區普義路173號,1、2,1896.0
大樓,EPA00416,普仁里,中壢區新中北路151號,1,1785.0
公寓,EPA00417,仁福里,中壢區25鄰仁福五街13號(4386037),1,588.0
其它,EPA00418,新興里,中壢區21鄰林森路160號,1,381.0
其它,EPA00419,東興里,中壢區7鄰東興路76號,1,177.0
大樓,EPA00420,新興里,中壢區逢甲一路7號,1、2,1624.0
公寓,EPA00421,中建里,中壢區8鄰大同路136號,1,769.0
其它,EPA00422,中建里,中壢區2鄰中山路222號,1,192.0
其它,EPA00423,中建里,中壢區2鄰中山路228巷20號,1,162.0
教育機構,EPA00425,普慶里,中壢區中山東路二段425號,1、2,1057.0
大樓,EPA00426,至善里,中壢區後寮一路138號,1,6849.0
其它,EPA00428,信義里,中壢區甘肅三街60號,1、2,392.0
公寓,EPA00429,中興里,中壢區13鄰榮安九街6號,1、2,956.0
大樓,EPA00430,中原里,中壢區2鄰興農路125號,1,1732.0
大樓,EPA00431,莊敬里,中壢區18鄰莊敬路146號,1,2309.0
其它,EPA00433,內定里,中壢區1鄰新北園路14號,1,148.0
其它,EPA00434,內定里,中壢區1鄰合定路23號,1,118.0
大樓,EPA00435,山東里,中壢區4鄰中正路四段598號,1、2,1593.0
大樓,EPA00437,中央里,中壢區22鄰延平路429號,1,1222.0
大樓,EPA00438,新興里,中壢區21鄰林森路122號,1,1622.0
大樓,EPA00440,普仁里,中壢區中北路200號(中原大學),1,2925.0
其它,EPA00441,忠孝里,中壢區1鄰忠孝路162號,1,324.0
其它,EPA00442,內定里,中壢區1鄰安定路1號,1、2,118.0
其它,EPA00443,中榮里,中壢區3鄰中正路141號,1、2,349.0
公寓,EPA00444,石頭里,中壢區3鄰中山路119號,1,608.0
公寓,EPA00445,信義里,中壢區福州路201號,1,488.0
其它,EPA00446,龍德里,中壢區1鄰龍岡路三段19號,1、2,133.0
大樓,EPA00447,後寮里,中壢區中山東路二段510號,1,26776.0
大樓,EPA00449,文化里,中壢區13鄰北園路24號,1,2268.0
大樓,EPA00450,文化里,中壢區25鄰自強一路121號,1,1845.0
大樓,EPA00451,興平里,中壢區12鄰中豐北路63號,1,1101.0
公家機構,EPA00452,五權里,中壢區3鄰民族路三段260號,1,8741.0
教育機構,EPA00453,五權里,中壢區7鄰中大路38號,1、2,2756.0
大樓,EPA00454,自強里,中壢區13鄰莊敬路127號,1、2,4906.0
大樓,EPA00455,成功里,中壢區9鄰成章三街143巷3號,1,6325.0
其它,EPA00456,過嶺里,中壢區高鐵南路四段998號,1、2,146.0
大樓,EPA00457,水尾里,中壢區33鄰元化路357號,1、2,7416.0
大樓,EPA00458,興南里,中壢區11鄰中美路一段18號,1,3480.0
教育機構,EPA00459,光明里,中壢區三光路115號,1,1853.0
其它,EPA00460,永光里,中壢區16鄰民權路三段334巷52號,1,272.0
教育機構,EPA00461,光明里,中壢區20鄰中央西路二段97號,1,2796.0
公寓,EPA00462,光明里,中壢區24鄰王子街1號,1、2,718.0
大樓,EPA00463,三民里,中壢區16鄰三光路58號,1,1102.0
其它,EPA00464,舊明里,中壢區22鄰民族路55號,1,385.0
教育機構,EPA00465,永福里,中壢區9鄰西園路447號,1、2,2373.0
大樓,EPA00466,忠福里,中壢區28鄰福安二街50號,1,1860.0
其它,EPA00467,永光里,中壢區7鄰民權路二段17號,1,129.0
其它,EPA00468,永光里,中壢區7鄰環西路二段328號,1,120.0
大樓,EPA00470,永光里,中壢區18鄰三光路317號,1,3000.0
公寓,EPA00472,新明里,中壢區11鄰中央西路二段270號,1,618.0
教育機構,EPA00473,光明里,中壢區20鄰中央西路二段97號,1,477.0
大樓,EPA00475,光明里,中壢區光輝二路17巷1號,1,1021.0
其它,EPA00476,永光里,中壢區18鄰環北路39號,1,68.0
其它,EPA00477,光明里,中壢區13鄰三光路126號,1,49.0
教育機構,EPA00479,五權里,中壢區3鄰中大路38號,1,954.0
教育機構,EPA00482,五權里,中壢區3鄰中大路38號,1,2022.0
其它,EPA00486,五福里,中壢區8鄰民族路310巷10號,1,56.0
其它,EPA00491,五福里,中壢區5鄰環西路28號,1,53.0
其它,EPA00492,五福里,中壢區5鄰環西路20號,1,44.0
其它,EPA00508,五福里,中壢區5鄰民族路310巷7號,1,36.0
其它,EPA00509,五福里,中壢區5鄰民族路310巷9號,1,36.0
其它,EPA00511,五福里,中壢區5鄰民族路310巷15號,1,48.0
其它,EPA00513,五權里,中壢區21鄰環西路81號,1,224.0
其它,EPA00514,五福里,中壢區8鄰民族路310巷28號,1,74.0
其它,EPA00518,光明里,中壢區38鄰王子街52號,1,126.0
大樓,EPA00519,光明里,中壢區35鄰白馬莊路120號,1,4057.0
公寓,EPA00525,光明里,中壢區37鄰王子街74號,1,741.0
公寓,EPA00526,光明里,中壢區36鄰王子街76號,1,748.0
其它,EPA00528,光明里,中壢區33鄰白馬莊路92號,1,52.0
公寓,EPA00529,光明里,中壢區26鄰中央西路二段231號,1,801.0
其它,EPA00532,光明里,中壢區29鄰三光路128號,1,53.0
其它,EPA00533,興平里,中壢區2鄰新生路273號,1,36.0
其它,EPA00534,五權里,中壢區正明街10號,1,65.0
其它,EPA00537,五權里,中壢區16鄰正光街84號,1,180.0
其它,EPA00540,仁義里,中壢區普義路176號,1,66.0
其它,EPA00541,正義里,中壢區新興北路22號,1,277.0
公寓,EPA00543,普仁里,中壢區實踐路91巷11號,1,560.0
其它,EPA00545,普仁里,中壢區日新路33號,1,53.0
其它,EPA00546,普仁里,中壢區日新路35號,1,53.0
其它,EPA00548,普仁里,中壢區弘揚路81號,1,93.0
其它,EPA00549,普仁里,中壢區日新路74號,1,160.0
其它,EPA00551,信義里,中壢區長沙路123號,1,38.0
教育機構,EPA00552,明德里,中壢區龍岡路二段29號,1,18.0
其它,EPA00563,明德里,中壢區龍岡路二段75號,1,168.0
公寓,EPA00573,後寮里,中壢區龍和二街360號,1,780.0
大樓,EPA00574,後寮里,中壢區龍興路590號,1,4685.0
大樓,EPA00577,德義里,中壢區永康三街37號,1,1240.0
大樓,EPA00578,信義里,中壢區甘肅一路14號,1,4284.0
公寓,EPA00579,普義里,中壢區八德路59號,1,650.0
大樓,EPA00582,信義里,中壢區廈門路17號,1,1158.0
其它,EPA00583,普強里,中壢區國泰街97號,1,146.0
公寓,EPA00584,明德里,中壢區吉長路51號,1,613.0
大樓,EPA00589,普義里,中壢區普義路171號,1,1040.0
其它,EPA00591,後寮里,中壢區龍興路403號,1,234.0
其它,EPA00594,仁義里,中壢區中山東路一段223巷129弄43號,1,53.0
其它,EPA00596,仁義里,中壢區中山東路一段223巷131號,1,132.0
大樓,EPA00599,普仁里,中壢區協同街112號,1,2000.0
其它,EPA00601,仁義里,中壢區中山東路一段223巷129弄39號之2,1,100.0
其它,EPA00602,仁義里,中壢區中山東路一段223巷129弄37號,1,52.0
其它,EPA00603,仁義里,中壢區中山東路一段223巷129弄41號之4,1,120.0
其它,EPA00604,仁義里,中壢區中山東路一段223巷129弄41號,1,52.0
其它,EPA00607,仁義里,中壢區中山東路一段223巷129弄43號之4,1,100.0
其它,EPA00608,仁義里,中壢區中山東路一段223巷129弄43號之2,1,106.0
其它,EPA00610,仁義里,中壢區中山東路一段223巷129弄18號之8,1,196.0
其它,EPA00611,仁義里,中壢區中山東路一段223巷129弄18號之6,1,106.0
其它,EPA00612,仁義里,中壢區中山東路一段223巷129弄18號之4,1,108.0
其它,EPA00614,普仁里,中壢區中北路34巷4號,1,80.0
其它,EPA00615,正義里,中壢區新興北路31號,1,26.0
其它,EPA00619,信義里,中壢區17鄰成都路56號,1,318.0
其它,EPA00620,信義里,中壢區20鄰衡陽街30號,1,356.0
公寓,EPA00622,普強里,中壢區民享街5號,1,796.0
其它,EPA00623,普強里,中壢區中山東路二段10號,1,297.0
公寓,EPA00624,普忠里,中壢區新中一街12號,1,608.0
大樓,EPA00625,信義里,中壢區廣州路222號,1,1269.0
其它,EPA00626,明德里,中壢區南雄街25號,1,34.0
其它,EPA00628,明德里,中壢區南雄街21號,1,86.0
公寓,EPA00629,正義里,中壢區中北路二段316號,1,713.0
其它,EPA00630,信義里,中壢區福州路179號,1,312.0
公寓,EPA00631,信義里,中壢區甘肅二街30號,1,420.0
其它,EPA00632,仁義里,中壢區普義路124號,1,38.0
其它,EPA00636,普強里,中壢區莒光路48號,1、2,390.0
公寓,EPA00637,普強里,中壢區新中北路404號,1,534.0
其它,EPA00638,普忠里,中壢區大仁街35巷31號,1,80.0
其它,EPA00640,正義里,中壢區福州路24號,1,22.0
其它,EPA00641,正義里,中壢區福州路26號,1,22.0
其它,EPA00642,正義里,中壢區新興北路19號,1,25.0
其它,EPA00643,正義里,中壢區新興北路23號,1,24.0
其它,EPA00645,普強里,中壢區和祥路6號,1,72.0
大樓,EPA00650,德義里,中壢區中山東路一段151號,1,1276.0
其它,EPA00652,普仁里,中壢區幸福街37號,1,46.0
其它,EPA00653,普仁里,中壢區日新路104號,1,46.0
其它,EPA00654,普仁里,中壢區新中北路34巷4號,1,80.0
其它,EPA00656,信義里,中壢區潮州街5號,1,58.0
其它,EPA00657,普仁里,中壢區協同二路9巷1號,1,66.0
其它,EPA00662,普強里,中壢區和祥路84號,1,26.0
其它,EPA00664,信義里,中壢區福州路151號,1,44.0
其它,EPA00665,正義里,中壢區中北路二段347號,1,21.0
其它,EPA00666,正義里,中壢區中北路二段349號,1,21.0
其它,EPA00670,興平里,中壢區10鄰中豐路204號,1,20.0
其它,EPA00671,興國里,中壢區3鄰中美路二段120號,1,49.0
其它,EPA00672,興國里,中壢區5鄰中豐路21號,1,52.0
其它,EPA00673,興平里,中壢區10鄰中豐路216號,1,56.0
其它,EPA00676,舊明里,中壢區5鄰民權路52號,1,73.0
其它,EPA00678,舊明里,中壢區7鄰長安路11號,1,33.0
其它,EPA00680,舊明里,中壢區9鄰義民路40號,1,68.0
其它,EPA00682,五福里,中壢區4鄰民族路306號,1,88.0
其它,EPA00685,五福里,中壢區4鄰民族路174號,1,302.0
其它,EPA00686,五福里,中壢區4鄰民族路268號,1,114.0
其它,EPA00689,五權里,中壢區19鄰民族路二段158號,1,33.0
其它,EPA00690,五權里,中壢區19鄰民族路二段162號,1,77.0
公寓,EPA00691,光明里,中壢區4鄰民權路362號,1,472.0
公寓,EPA00694,光明里,中壢區19鄰明德路280號,1,737.0
其它,EPA00695,光明里,中壢區17鄰中央西路二段61號,1,65.0
公寓,EPA00698,光明里,中壢區17鄰民權路157號,1,689.0
公寓,EPA00701,光明里,中壢區20鄰新明路117號,1、2,509.0
大樓,EPA00702,光明里,中壢區13鄰民權路226號,1,1344.0
其它,EPA00703,三民里,中壢區12鄰環西路二段71巷10號,1,82.0
其它,EPA00707,三民里,中壢區15鄰中正路712號,1,100.0
其它,EPA00708,三民里,中壢區17鄰環西路二段15號,1,53.0
大樓,EPA00711,永光里,中壢區18鄰環北路73號,1,4014.0
其它,EPA00712,永光里,中壢區6鄰環北路86號,1,40.0
其它,EPA00716,三民里,中壢區16鄰中正路624號,1,86.0
教育機構,EPA00718,三民里,中壢區13鄰中央西路二段300號,1,1938.0
教育機構,EPA00720,三民里,中壢區13鄰中央西路二段300號,1,4782.0
教育機構,EPA00721,三民里,中壢區13鄰中央西路二段300號,1,769.0
教育機構,EPA00722,三民里,中壢區13鄰中央西路二段300號,1,693.0
其它,EPA00724,三民里,中壢區11鄰環西路二段247號,1,129.0
其它,EPA00726,興平里,中壢區5鄰中豐路49巷11號,1,46.0
其它,EPA00727,興平里,中壢區7鄰中豐路70號,1,105.0
其它,EPA00728,興平里,中壢區14鄰環北路168巷2弄11號,1,138.0
其它,EPA00729,興平里,中壢區7鄰中豐路72號,1,81.0
公寓,EPA00732,興平里,中壢區5鄰中豐路49巷17號,1,557.0
其它,EPA00737,新明里,中壢區5鄰中明路16號,1,197.0
公寓,EPA00738,新明里,中壢區6鄰中山路438號,1,437.0
大樓,EPA00739,新明里,中壢區4鄰中明東路9號,1,1034.0
其它,EPA00740,新明里,中壢區6鄰中山路452號,1,102.0
其它,EPA00741,新明里,中壢區4鄰民權路96號,1,40.0
其它,EPA00742,新明里,中壢區2鄰中明東路17號,1,48.0
其它,EPA00744,新明里,中壢區1鄰中央西路二段26號,1,44.0
其它,EPA00746,新明里,中壢區1鄰中央西路二段2號,1,58.0
其它,EPA00749,新明里,中壢區17鄰新榮街28號,1、2,77.0
大樓,EPA00750,新明里,中壢區14鄰中央西路二段152號,1,1438.0
其它,EPA00752,新明里,中壢區11鄰三樂二街28號,1,156.0
其它,EPA00753,新明里,中壢區15鄰中正路586號,1,165.0
其它,EPA00754,新明里,中壢區11鄰中央西路二段282號,1,366.0
其它,EPA00756,五福里,中壢區3鄰五族街197號,1,148.0
大樓,EPA00761,五權里,中壢區12鄰五光三街53號,1,1220.0
大樓,EPA00762,五福里,中壢區10鄰志廣路71號,1,1056.0
公寓,EPA00767,新明里,中壢區13鄰中山路465號,1,872.0
其它,EPA00768,新明里,中壢區10鄰中山路580號,1,28.0
其它,EPA00769,新明里,中壢區9鄰新明路39號,1,45.0
其它,EPA00771,新明里,中壢區7鄰中央西路二段100號,1,22.0
其它,EPA00773,新明里,中壢區7鄰中新路30號,1,80.0
其它,EPA00775,新明里,中壢區8鄰新明路18號,1,30.0
其它,EPA00776,新明里,中壢區9鄰新明路37號,1、2,45.0
其它,EPA00779,新明里,中壢區13鄰新明路7號,1,205.0
其它,EPA00780,中正里,中壢區15鄰榮民路253號,1,268.0
其它,EPA00781,中原里,中壢區11鄰忠孝路43號,1,209.0
教育機構,EPA00782,自強里,中壢區9鄰榮民路80號,1,318.0
公寓,EPA00783,成功里,中壢區7鄰成章三街136號,1,625.0
其它,EPA00785,自強里,中壢區17鄰榮民路128號,1,282.0
大樓,EPA00786,中山里,中壢區11鄰榮安十五街28號,1、2,5173.0
公寓,EPA00787,忠孝里,中壢區1鄰忠孝路157號,1,685.0
其它,EPA00788,中正里,中壢區14鄰榮民路210號,1,309.0
其它,EPA00793,興仁里,中壢區16鄰興仁路二段23號,1,169.0
其它,EPA00797,福德里,中壢區16鄰成章二街98號,1,250.0
其它,EPA00799,興仁里,中壢區21鄰興仁路二段67巷99弄11號,1,60.0
大樓,EPA00800,興仁里,中壢區21鄰興仁路二段67巷103弄1號,1,1186.0
其它,EPA00801,興仁里,中壢區21鄰興仁路二段67巷79弄6號之1,1,228.0
