類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考,"unnamed (1)"
學校,大同國小(一)禮堂,2-01-020,竹圍里,嘉義縣朴子市竹圍里大同路239號,"23.46097, 120.23974",地下1樓,393.0,,
大樓,朴子新光人壽大樓,2-01-021,竹圍里,嘉義縣朴子市竹圍里11鄰文化南路69、71號,"23.46184, 120.24133",地下1樓,369.0,,
大樓,朴子國泰人壽大樓,2-01-022,竹圍里,嘉義縣朴子市竹圍里自立路2巷17號,"23.46335, 120.24105",地下1樓,219.0,,
醫院,"朴子 醫院(二）宿舍",2-01-024,博厚里,嘉義縣朴子市博厚里開元路516、518號,"23.46456, 120.23587",地下1樓,72.0,,
醫院,朴子醫院(三）宿舍,2-01-025,博厚里,嘉義縣朴子市博厚里開元路520、522號,"23.4644, 120.23588",地下1樓,66.0,,
醫院,朴子醫院(四）宿舍,2-01-026,博厚里,嘉義縣朴子市博厚里開元路524、526號,"23.46526, 120.23592",地下1樓,184.0,,
學校,大同國小(二)慎思樓,2-01-027,竹圍里,嘉義縣朴子市竹圍里大同路239號,"23.46099, 120.24049",地下1樓,236.0,,
大樓,帝王學府(詠泰建設),2-01-028,安福里,嘉義縣朴子市安福里山通路24-2號,"23.46739, 120.24948",地下1樓,1482.0,,
大樓,天下第一觀(百群建設),2-01-029,安福里,嘉義縣朴子市安福里山通路3號,"23.46669, 120.25072",地下1樓,1693.0,,
學校,東石國中分校教室,2-01-030,安福里,嘉義縣朴子市安福里23鄰山通路6號,"23.46615, 120.24954",地下1樓,1434.0,,
寺廟,高明寺2,2-01-031,文化里,嘉義縣朴子市文化里15鄰市西路9巷2號,"23.46477, 120.24428",地下1樓,357.0,,
大樓,帝王新都(詠泰建設),2-01-032,平和里,嘉義縣朴子市平和里1鄰市東路1-17號,"23.46158, 120.24902",地下1樓,881.0,,
大樓,美的華廈(盈財建設),2-01-033,竹圍里,嘉義縣朴子市竹圍里22鄰四維路2段261巷22-34號,"23.45889, 120.23609",地下1樓,592.0,,
大樓,文化學園(典釧建設),2-01-034,竹圍里,嘉義縣朴子市竹圍里18鄰大同路236號,"23.46153, 120.24056",地下1樓,303.0,,
大樓,崧園大樓(昇晃建設),2-01-035,平和里,嘉義縣朴子市平和里市東路109-7號,"23.4652, 120.24552",地下1樓,856.0,,
大樓,友聲皇家天廈,2-01-036,竹圍里,嘉義縣朴子市竹圍里15鄰中興路79巷2號,"23.45913, 120.24439",地下1樓,1666.0,,
縣立體育館,嘉義縣立體育館,2-01-037,竹圍里,嘉義縣朴子市竹圍里1鄰四維路1段460號,"23.45891, 120.24725",地下1樓,1962.0,,
縣立圖書館,嘉義縣立圖書館,2-01-038,安福里,嘉義縣朴子市安福里23鄰山通路7號,"23.46672, 120.25002",地下1樓,1891.0,,
學校,朴子國中,2-01-039,竹圍里,嘉義縣朴子市竹圍里大同路245號,"23.46101, 120.23903",地下1樓,1431.0,,
寺廟,圓光寺,2-01-040,永和里,嘉義縣朴子市永和里4鄰應菜埔36號,"23.46285, 120.23587",地下1樓,265.0,,
醫院,朴子醫院(五擴建大樓),2-01-041,永和里,嘉義縣朴子市永和里4鄰應菜埔42-50號,"23.46447, 120.23478",地下1樓,1587.0,,
醫院,朴子醫院(六),2-01-042,博厚里,嘉義縣朴子市博厚里15鄰開元路536號,"23.46542, 120.23530",地下1樓,479.0,,
金融機構,合作金庫北朴子分行,2-01-043,文化里,嘉義縣朴子市文化北路1號,"23.46397, 120.24121",地下1樓,208.0,不對外開放,
大樓,菸酒公賣局朴子營業所,2-01-044,安福里,嘉義縣朴子市安福里23鄰山通路82-2號,"23.46703, 120.2471",地下1樓,122.0,,
美術館,梅嶺美術館,2-01-045,安福里,嘉義縣朴子市安福里23鄰山通路2-9號,"23.46722, 120.25411",地下1樓,296.0,,
學校,東石高中宿舍,2-01-046,安福里,嘉義縣朴子市安福里23鄰文明路3之5號,"23.46499, 120.25006",地下1樓,156.0,,
政府機關,朴子地政事務所,2-01-047,平和里,嘉義縣朴子市平和里光復路11-2號,"23.4653, 120.24619",地下1樓,83.0,,
學校,東石高中(一),2-02-001,大鄉里,嘉義縣朴子市大鄉里21鄰253號,"23.46465, 120.25241",地下1樓,516.0,,
學校,東石高中(二),2-02-002,大鄉里,嘉義縣朴子市大鄉里21鄰253號,"23.46404, 120.25216",地下1樓,189.0,,
學校,東石高中(三),2-02-003,大鄉里,嘉義縣朴子市大鄉里21鄰253號,"23.46401, 120.25124",地下1樓,174.0,,
學校,東石高中（四）,2-02-004,大鄉里,嘉義縣朴子市大鄉里21鄰253號,"23.46461, 120.25259",地下1樓,155.0,,
學校,東石高中（五）,2-02-005,大鄉里,嘉義縣朴子市大鄉里21鄰253號,"23.46419, 120.25114",地下1樓,178.0,,
學校,東石高中（六）,2-02-006,大鄉里,嘉義縣朴子市大鄉里21鄰253號,"23.46386, 120.25081",地下1樓,221.0,,
政府機關,嘉義縣議會,2-02-007,大葛里,嘉義縣朴子市大葛里祥和1路西段1號,"23.45934, 120.29152",地下1樓,4698.0,,
電信公司,中華電信工務課,2-02-008,大葛里,嘉義縣朴子市大葛里朴子2路6號,"23.45851, 120.28969",地下1樓,173.0,不對外開放,
政黨總部,國民黨嘉義縣黨部,2-02-009,大葛里,嘉義縣朴子市大葛里祥和1路西段2號,"23.45948, 120.29053",地下1樓,176.0,,
大樓,宏都建設1,2-02-010,大葛里,嘉義縣朴子市大葛里祥和1路西段41號等61戶,"23.46003, 120.2868",地下1樓,1009.0,,
大樓,宏都建設2,2-02-011,大葛里,嘉義縣朴子市大葛里22鄰朴子6路58.60.62.68號等143戶,"23.46086, 120.28741",地下1樓,2056.0,,
學校,東石高中（七）,2-02-012,大葛里,嘉義縣朴子市大葛里21鄰253號,"23.46465, 120.25164",地下1樓,1990.0,,
工廠行號,台糖公司(富貴園),2-02-013,大葛里,嘉義縣朴子市大葛里24鄰祥和3路西段23號,"23.45505, 120.28954",地下1樓,1734.0,,
監理所,嘉義區監理所,2-02-014,大葛里,嘉義縣朴子市大葛里24鄰朴子7路29號,"23.45573, 120.28363",地下1樓,2416.0,,
醫院,長庚紀念醫院嘉義分院(舊院區),2-03-001,仁和里,嘉義縣朴子市仁和里嘉朴路西段6號,"23.46199, 120.28755",地下1、2樓,9699.0,,
醫院,長庚紀念醫院眷屬宿舍A、B、C、D,2-03-002,仁和里,嘉義縣朴子市仁和里長庚二路10、26、28號,"23.46624, 120.29105",地下2樓,7116.0,,
學校,長庚科技大學,2-03-003,仁和里,嘉義縣朴子市仁和里1鄰嘉朴路西段2號,"23.46294, 120.29005",地下1樓,6606.0,,
學校,長庚科技大學學生宿舍,2-03-004,仁和里,嘉義縣朴子市仁和里1鄰嘉朴路西段2號,"23.46481, 120.29275",地下1樓,6119.0,,
醫院,長庚紀念醫院（動力中心）,2-03-005,仁和里,嘉義縣朴子市仁和里1鄰嘉朴路西段8號,"23.46485, 120.28386",地下1樓,4524.0,,
學校,弘德工商1,2-04-001,崁後里,嘉義縣朴子市崁後里54-2號,"23.45002, 120.22859",地下1樓,125.0,,
學校,弘德工商2(技藝大樓),2-04-002,崁後里,嘉義縣朴子市崁後里54-2號,"23.45024, 120.22881",地下1樓,329.0,,
工廠行號,新英企業公司,2-04-005,竹村里,嘉義縣朴子市竹村里工業區一街1號,"23.43718, 120.24751",地下1樓,59.0,,
工廠行號,富茂公司,2-04-006,竹村里,嘉義縣朴子市竹村里工業區三街10號,"23.43978, 120.24877",地下1樓,100.0,,
工廠行號,佳螺實業1,2-04-007,竹村里,嘉義縣朴子市竹村里工業區2街8號,"23.43809, 120.24817",地下1樓,26.0,,
工廠行號,佳螺實業2,2-04-008,竹村里,嘉義縣朴子市竹村里工業區橫1街4號,"23.43868, 120.24711",地下1樓,38.0,,
工廠行號,星一公司(一),2-04-009,竹村里,嘉義縣朴子市竹村里工業區橫2街11號,"23.43974, 120.24932",地下1樓,83.0,,
工廠行號,朴子冷凍廠,2-04-010,竹村里,嘉義縣朴子市竹村里工業區橫1街7號,"23.43819, 120.24687",地下1樓,55.0,,
工廠行號,大同豆粉廠,2-04-011,竹村里,嘉義縣朴子市竹村里工業區2街10號,"23.43812, 120.24855",地下1樓,41.0,,
工廠行號,三東國際,2-04-012,竹村里,嘉義縣朴子市竹村里工業區橫1街2號,"23.43797, 120.24719",地下1樓,57.0,,
工廠行號,鋅耐銹實業,2-04-013,竹村里,嘉義縣朴子市竹村里工業區橫一街9號,"23.43859, 120.24687",地下1樓,19.0,,
工廠行號,星一公司(二),2-04-014,竹村里,嘉義縣朴子市竹村里工業區2街12號,"23.43809, 120.249",地下1樓,238.0,,
工廠行號,新國芳企業,2-04-015,竹村里,嘉義縣朴子市竹村里工業區3街4號,"23.4397, 120.24765",地下1樓,47.0,,
工廠行號,新麗公司,2-04-016,竹村里,嘉義縣朴子市竹村里工業區橫1街1號,"23.43701, 120.24707",地下1樓,46.0,,
工廠行號,德星紙器,2-04-017,竹村里,嘉義縣朴子市竹村里工業區橫1街3號,"23.43717, 120.24704",地下1樓,111.0,,
工廠行號,國偉公司,2-04-018,竹村里,嘉義縣朴子市竹村里工業2街5號,"23.43833, 120.24763",地下1樓,30.0,,
工廠行號,東峰飼料1,2-04-019,竹村里,嘉義縣朴子市竹村里工業區2街4號,"23.43799, 120.24756",地下1樓,68.0,,
工廠行號,東峰飼料2,2-04-020,竹村里,嘉義縣朴子市竹村里工業區1街3號,"23.43712, 120.24763",地下1樓,39.0,,
工廠行號,神之香,2-04-021,竹村里,嘉義縣朴子市竹村里工業區3街61號,"23.44009, 120.24923",地下1樓,104.0,,
學校,弘德工商3(教學大樓),2-04-022,崁後里,嘉義縣朴子市崁後里54-2號,"23.4505, 120.22858",地下1樓,1283.0,,
工廠行號,志寰公司,2-04-023,竹村里,嘉義縣朴子市竹村里工業區1街2號,"23.43687, 120.24738",地下1樓,87.0,,
工廠行號,禹源企業,2-04-024,竹村里,嘉義縣朴子市竹村里工業區橫2街9號,"23.43932, 120.24939",地下1樓,66.0,,
工廠行號,龍勝飼料,2-04-025,竹村里,嘉義縣朴子市竹村里工業區橫2街2號,"23.43739, 120.25",地下1樓,113.0,,
工廠行號,立益金屬,2-04-026,竹村里,嘉義縣朴子市竹村里工業區1街7號,"23.43716, 120.24836",地下1樓,39.0,,
工廠行號,鑫立鑄造,2-04-027,竹村里,嘉義縣朴子市竹村里工業區2街9號,"23.43832, 120.2485",地下1樓,110.0,,
工廠行號,順達螺絲,2-04-028,竹村里,嘉義縣朴子市竹村里工業區1街4號,"23.43689, 120.24764",地下1樓,45.0,,
工廠行號,泉溢公司,2-04-029,竹村里,嘉義縣朴子市竹村里工業區3街57號,"23.43996, 120.24825",地下1樓,86.0,,
工廠行號,振大興企業,2-04-030,竹村里,嘉義縣朴子市竹村里工業區橫1街13號,"23.43957, 120.24667",地下1樓,46.0,,
工廠行號,鳳勝實業公司,2-04-031,竹村里,嘉義縣朴子市竹村里工業區1街16號,"23.43675, 120.25023",地下1樓,67.0,,
工廠行號,聯華食品,2-04-032,竹村里,嘉義縣朴子市竹村里工業區橫2街10號,"23.43996, 120.24958",地下1樓,63.0,,
工廠行號,天力化學,2-04-033,竹村里,嘉義縣朴子市竹村里工業區橫2街8號,"23.43868, 120.24976",地下1樓,133.0,,
金融機構,朴子市農會松梅辦事處,2-05-001,梅華里,嘉義縣朴子市梅華里16鄰153號,"23.40969, 120.25534",地下1樓,78.0,不對外開放,
學校,蒜頭國小(一),2-06-001,蒜頭村,嘉義縣六腳鄉蒜頭村189號,"23.4944038, 120.2932114",地下1樓,75.0,,
學校,蒜頭國小(二),2-06-002,蒜頭村,嘉義縣六腳鄉蒜頭村189號,"23.4937926, 120.293018",地下1樓,336.0,,
政府機關,六腳鄉公所圖書館,2-06-003,蒜頭村,嘉義縣六腳鄉蒜頭村73號,"23.4942253, 120.2910099",地下1樓,235.0,,
電信公司,中華電信蒜頭服務處,2-06-004,蒜頭村,嘉義縣六腳鄉蒜頭村126號,"23.4924573, 120.2921674",地下1樓,207.0,不對外開放,
學校,明華家商,2-07-001,六南村,嘉義縣六腳鄉六南村223-25號,"23.49445, 120.24753",地下1樓,1084.0,,
學校,宜昌塑膠,2-07-002,更寮村,嘉義縣六腳鄉更寮村233號,"23.48074, 120.24611",地下1樓,60.0,,
學校,六美國小,2-08-002,六斗村,嘉義縣六腳鄉六斗村31號,"23.53995, 120.29285",地下1樓,107.0,,
政府機關,東石鄉公所,2-09-001,東石村,嘉義縣東石鄉東石村11鄰3號,"23.45875, 120.15377",地下1樓,223.0,,
金融機構,東石郵局,2-09-002,東石村,嘉義縣東石鄉東石村13鄰34號,"23.45582, 120.1505",地下1樓,88.0,不對外開放,
電力公司,台電東石服務所,2-09-003,東石村,嘉義縣東石鄉東石村11鄰1之6號,"23.46013, 120.15457",地下1樓,218.0,不對外開放,
香客大樓,東石先天宮(香客大樓),2-09-004,東石村,嘉義縣東石鄉東石村5鄰251之1號,"23.45712, 120.14888",地下1樓,123.0,,
工廠行號,寶盆農產公司,2-10-001,西崙村,嘉義縣東石鄉西崙村13鄰616號,"23.42699, 120.18854",地下1樓,30.0,,
工廠行號,台灣製罐,2-11-001,港墘村,嘉義縣東石鄉港墘村10鄰湖底21號,"23.46663, 120.21665",地下1樓,336.0,,
工廠行號,政豐植保,2-11-002,洲仔村,嘉義縣東石鄉洲仔村5鄰123之3號,"23.45555, 120.19037",地下1樓,193.0,,
工廠行號,聖心教養院,2-11-003,港墘村,嘉義縣東石鄉港墘村10鄰60之40號,"23.46197, 120.21629",地下1樓,364.0,,
工廠行號,頂程工業,2-11-004,蔦松村,嘉義縣東石鄉蔦松村10鄰湖底20之51號,"23.4636, 120.21794",地下1樓,101.0,,86668.0
