類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,placemark_address
一般大樓,A025,凌雲里,"24.870939550233217, 121.20416292584085",2,"6498 ",龍潭分局,O,,"一般大樓 A025 桃園市龍潭區凌雲里聖亭路272號"
一般大樓,A026,龍祥里,"24.8769202840851, 121.21222978351203",2,"1946 ",龍潭分局,O,,"一般大樓 A026 桃園市龍潭區龍祥里中豐路259號"
一般大樓,A027,凌雲里,"24.867764837487524, 121.20700663839004",1,"2121 ",龍潭分局,O,,"一般大樓 A027 桃園市龍潭區凌雲里聖亭路130號"
一般大樓,A028,烏林里,"24.883181085490854, 121.20970068166358",1,"9916 ",龍潭分局,O,,"一般大樓 A028 桃園市龍潭區烏林里中豐路461巷106弄37-3號"
一般大樓,A029,烏林里,"24.883327078183534, 121.20960412214392",2,"2111 ",龍潭分局,O,,"一般大樓 A029 桃園市龍潭區烏林里中豐路461巷106弄50-6號"
一般大樓,A030,烏林里,"24.882556273892277, 121.20908984764527",1,"1991 ",龍潭分局,O,,"一般大樓 A030 桃園市龍潭區烏林里中豐路461巷169號"
一般大樓,A031,烏樹林里,"24.879153150385164, 121.21187791419626",1,"4237 ",龍潭分局,O,,"一般大樓 A031 桃園市龍潭區烏樹林里中豐路342-10號"
一般大樓,A032,烏樹林里,"24.877704250762676, 121.21277870865023",1,"1952 ",龍潭分局,O,,"一般大樓 A032 桃園市龍潭區烏樹林里中豐路268巷67號"
工廠,A033,烏林里,"24.88981088404005, 121.20432251234786",1,"724 ",龍潭分局,O,,"工廠 A033 桃園市龍潭區烏林里工七路8號"
一般大樓,A034,烏林里,"24.882322684043626, 121.20889672860592",2,"1574 ",龍潭分局,O,,"一般大樓 A034 桃園市龍潭區烏林里中豐路461巷131號"
工廠,A035,烏林里,"24.880012784743553, 121.20822908166348",1,"961 ",龍潭分局,O,,"工廠 A035 桃園市龍潭區烏林里工一路150巷8號"
工廠,A036,聖德里,"24.878555584761127, 121.19982438536074",1,"409 ",龍潭分局,,,"工廠 A036 桃園市龍潭區聖德里聖亭路八德段236號"
一般大樓,A037,烏林里,"24.882962115985425, 121.20870726992207",2,4996,龍潭分局,O,,"一般大樓 A037 桃園市龍潭區烏林里中豐路461巷176號"
工廠,A038,烏林里,"24.89027931633279, 121.20971136817028",2,3503,龍潭分局,O,,"工廠 A038 桃園市龍潭區烏林里7鄰工五路90巷56號"
工廠,A039,烏林里,"24.888695886791986, 121.2071871816636",1,1631,龍潭分局,O,,"工廠 A039 桃園市龍潭區烏林里039鄰工五路189號"
一般大樓,A040,烏林里,"24.87346758319989, 121.19708963933437",2,1532,龍潭分局,O,,"一般大樓 A040 桃園市龍潭區八德里24鄰梅龍路200號"
一般民宅,B001,龍潭里,"24.86483474975532, 121.21686026816977","1 ","32 ",龍潭分局,,,"一般民宅 B001 桃園市龍潭區龍潭里中正路200號"
一般民宅,B002,龍潭里,"24.86489773546175, 121.21644821719705","1 ","32 ",龍潭分局,,,"一般民宅 B002 桃園市龍潭區龍潭里中正路194巷19號"
一般民宅,B003,龍潭里,"24.865781196447838, 121.21574276894734",1,"35 ",龍潭分局,,,"一般民宅 B003 桃園市龍潭區龍潭里龍興路66號"
一般大樓,B006,龍潭里,"24.864198437605257, 121.21290755652494",2,"2293 ",龍潭分局,,,"一般大樓 B006 桃園市龍潭區龍潭里南龍路42號"
一般大樓,B008,中正里,"24.85305571361047, 121.22296692584051",1,"912 ",龍潭分局,O,,"一般大樓 B008 桃園市龍潭區中正里中正路上華段90巷10弄1號"
一般大樓,B009,中正里,"24.867429984050606, 121.21578621049868",1,"31 ",龍潭分局,,,"一般大樓 B009 桃園市龍潭區中正里中正路108號"
一般大樓,B011,中正里,"24.86387117219744, 121.2164907920658",1,"985 ",龍潭分局,O,,"一般大樓 B011 桃園市龍潭區中正里中正路210號"
一般大樓,B012,中正里,"24.86387117219744, 121.2164907920658",1,"378 ",龍潭分局,,,"一般大樓 B012 桃園市龍潭區中正里中正路210號"
一般大樓,B013,中正里,"24.864020518413618, 121.21718246816964",1,"45 ",龍潭分局,,,"一般大樓 B013 桃園市龍潭區中正里中正路227號"
一般大樓,B015,中正里,"24.8576540794719, 121.21758861234714","1 ","95 ",龍潭分局,,,"一般大樓 B015 桃園市龍潭區中正里龍華路403號"
龍潭高中,B016,中正里,"24.861501880378846, 121.21314502584062",1,"296 ",龍潭分局,,,"龍潭高中 B016 桃園市龍潭區中正里神龍路155號"
龍潭高中,B017,中正里,"24.861501880378846, 121.21314502584062",1,"67 ",龍潭分局,,,"龍潭高中 B017 桃園市龍潭區中正里神龍路155號"
龍潭高中,B018,中正里,"24.861501880378846, 121.21314502584062",1,"123 ",龍潭分局,,,"龍潭高中 B018 桃園市龍潭區中正里神龍路155號"
一般大樓,B020,中正里,"24.84896922055679, 121.22370434629877",1,"2285 ",龍潭分局,O,,"一般大樓 B020 桃園市龍潭區中正里富華街315巷6號之1"
一般民宅,B024,中山里,"24.868947280224976, 121.21342897001843",1,"30 ",龍潭分局,,,"一般民宅 B024 桃園市龍潭區中山里中豐路中山段9號"
一般民宅,B025,中山里,"24.865911249839588, 121.21030586816966",1,"497 ",龍潭分局,,,"一般民宅 B025 桃園市龍潭區中山里中豐路中山段209號"
一般民宅,B026,中山里,"24.867629752205758, 121.21381568351184",1,"39 ",龍潭分局,,,"一般民宅 B026 桃園市龍潭區中山里東龍路350號"
一般民宅,B027,中山里,"24.867749215917083, 121.21385672584074",1,"48 ",龍潭分局,,,"一般民宅 B027 桃園市龍潭區中山里東龍路356號"
一般民宅,B028,中山里,"24.865552857824756, 121.2107066304359",1,"224 ",龍潭分局,,,"一般民宅 B028 桃園市龍潭區中山里北龍路15巷26號"
一般民宅,B029,中山里,"24.86578729737704, 121.21071900090693",1,"190 ",龍潭分局,,,"一般民宅 B029 桃園市龍潭區中山里北龍路15巷36號"
一般民宅,B030,中山里,"24.86568156043964, 121.21192480593838",1,"42 ",龍潭分局,,,"一般民宅 B030 桃園市龍潭區中山里北龍路39號"
一般民宅,B031,中山里,"24.86655582769144, 121.21241377710285",1,"43 ",龍潭分局,,,"一般民宅 B031 桃園市龍潭區中山里北龍路59巷13弄8號"
一般民宅,B032,中山里,"24.868166252121025, 121.2176144258408",1,"23 ",龍潭分局,,,"一般民宅 B032 桃園市龍潭區中山里北龍路283號"
一般民宅,B033,中山里,"24.868435286093998, 121.21807178351186",1,"23 ",龍潭分局,,,"一般民宅 B033 桃園市龍潭區中山里北龍路299號"
一般民宅,B034,中山里,"24.868327481987876, 121.21541426570616",1,"33 ",龍潭分局,,,"一般民宅 B034 桃園市龍潭區中山里中正路83號"
一般民宅,B035,中山里,"24.86825704303846, 121.2154072077277",1,"67 ",龍潭分局,,,"一般民宅 B035 桃園市龍潭區中山里中正路85號"
一般民宅,B036,中山里,"24.868144443028008, 121.21553790261684",1,"38 ",龍潭分局,,,"一般民宅 B036 桃園市龍潭區中山里中正路87號"
一般民宅,B038,中山里,"24.86612901824663, 121.2170370258408",1,"43 ",龍潭分局,,,"一般民宅 B038 桃園市龍潭區中山里中正路169號"
一般民宅,B039,中山里,"24.864413727391433, 121.21727274303124",1,"33 ",龍潭分局,,,"一般民宅 B039 桃園市龍潭區中山里中正路215號"
一般民宅,B040,中山里,"24.864121174904927, 121.21718805467623",1,"77 ",龍潭分局,,,"一般民宅 B040 桃園市龍潭區中山里中正路221號"
一般大樓,B041,中山里,"24.86268408405278, 121.21765969885382",1,"1914 ",龍潭分局,O,,"一般大樓 B041 桃園市龍潭區中山里中正路269號"
一般民宅,B042,中山里,"24.869373714361533, 121.21624912584079",1,"91 ",龍潭分局,,,"一般民宅 B042 桃園市龍潭區中山里華南路一段43號"
一般大樓,B043,中山里,"24.857258774708978, 121.2166439546761",1,"2712 ",龍潭分局,O,,"一般大樓 B043 桃園市龍潭區中山里神龍路403巷2弄1號"
凌雲國中,B044,上林里,"24.858689753617842, 121.20207808166298",1,"611 ",龍潭分局,,,"凌雲國中 B044 桃園市龍潭區上林里中豐路上林段418號"
一般民宅,B045,中正里,"24.864091284052208, 121.21586888166313",1,"54 ",龍潭分局,,,"一般民宅 B045 桃園市龍潭區中正里龍華路111號"
一般民宅,B046,中山里,"24.867444481779685, 121.2157725258408",1,"240 ",龍潭分局,,,"一般民宅 B046 桃園市龍潭區中山里中正路106號"
一般民宅,B047,中山里,"24.865131903843096, 121.21900162109088",1,"5817 ",龍潭分局,O,,"一般民宅 B047 桃園市龍潭區中山里五福街68號"
一般民宅,B048,中山里,"24.869930017945613, 121.21676798166327",1,"1704 ",龍潭分局,O,,"一般民宅 B048 桃園市龍潭區中山里華南路一段63巷12弄1號"
一般民宅,B050,龍潭里,"24.865026521185314, 121.21511924303147",1,"556 ",龍潭分局,O,,"一般民宅 B050 桃園市龍潭區龍潭里龍華路64號"
一般大樓,B051,龍星里,"24.86240746108227, 121.21928881234992",3,"3457 ",龍潭分局,O,,"一般大樓 B051 桃園市龍潭區龍星里大同路213巷15號"
一般民宅,B052,上林里,"24.847915477177278, 121.2154042833541",1,"542 ",龍潭分局,O,,"一般民宅 B052 桃園市龍潭區上林里金龍路476巷66號"
一般民宅,B053,中正里,"24.859389784054446, 121.2183586835116",1,"659 ",龍潭分局,,,"一般民宅 B053 桃園市龍潭區中正路398號"
一般大樓,B054,中山里,"24.870608782525782, 121.21599521234747",2,"4764 ",龍潭分局,O,,"一般大樓 B054 桃園市龍潭區中山里大昌路一段78號"
一般大樓,B055,龍星里,"24.863668702557383, 121.21862112653874",2,"2325 ",龍潭分局,O,,"一般大樓 B055 桃園市龍潭區龍星里中正路261巷85弄16號"
一般大樓,B056,中正里,"24.8572389491609, 121.21590841049849",1,"1196 ",龍潭分局,O,,"一般大樓 B056 桃園市龍潭區中正里神龍路379號"
一般大樓,B057,中正里,"24.85732408405543, 121.21682371049845",1,"2784 ",龍潭分局,O,,"一般大樓 B057 桃園市龍潭區中正里神龍路415號"
一般民宅,B058,中山里,"24.86926255010186, 121.21395916816978",1,"350 ",龍潭分局,,,"一般民宅 B058 桃園市龍潭區中山里中正路6號"
一般大樓,B059,中正里,"24.85806041439594, 121.21852208351153",1,"5253 ",龍潭分局,O,,"一般大樓 B059 桃園市龍潭區龍華路347巷38號"
一般民宅,B060,中山里,"24.867001284050737, 121.21827601234733",1,"602 ",龍潭分局,O,,"一般民宅 B060 桃園市龍潭區中山里公園路58巷30號"
龍潭國小,B061,龍潭里,"24.864150501556633, 121.21358194371982",1,"2144 ",龍潭分局,,,"龍潭國小 B061 桃園市龍潭區龍潭里南龍路13號"
一般大樓,B062,龍星里,"24.86304745292958, 121.21708318351166",1,"928 ",龍潭分局,O,,"一般大樓 B062 桃園市龍潭區龍星里中正路242-1號"
一般民宅,B063,中山里,"24.868655720040614, 121.21406340865013",1,"580 ",龍潭分局,O,,"一般民宅 B063 桃園市龍潭區中山里東龍路390號"
一般大樓,B064,龍星里,"24.861456249490864, 121.21940945467624",2,"1993 ",龍潭分局,O,,"一般大樓 B064 桃園市龍潭區龍星里光明路43號"
一般大樓,B065,中山里,"24.86679211576689, 121.21870585467627",1,"1335 ",龍潭分局,O,,"一般大樓 B065 桃園市龍潭區中山里公園路68號"
一般大樓,B066,中正里,"24.85933481041436, 121.21626622399198",1,"4023 ",龍潭分局,O,,"一般大樓 B066 桃園市龍潭區中正里東龍路47號"
一般大樓,B067,中正里,"24.857813514357332, 121.21304546632095",1,"3063 ",龍潭分局,O,,"一般大樓 B067 桃園市龍潭區中正里新龍路219巷10號"
一般大樓,B068,上華里,"24.85166995472612, 121.22228218351144",2,"1071 ",龍潭分局,O,,"一般大樓 B068 桃園市龍潭區上華里中正路上華段112巷36弄22號"
一般大樓,B069,龍星里,"24.861772280442473, 121.21919804118264",2,"1165 ",龍潭分局,O,,"一般大樓 B069 桃園市龍潭區大同路191巷12號"
一般大樓,B070,中正里,"24.858429392876012, 121.21341524118269",1,"1165 ",龍潭分局,O,,"一般大樓 B070 桃園市龍潭區中正里新龍路207號"
一般大樓,B071,中山里,"24.869737082320167, 121.21684972584086",1,"923 ",龍潭分局,O,,"一般大樓 B071 桃園市龍潭區華南路1段80號"
一般大樓,B072,中山里,"24.873273482267273, 121.21701455837369",1,"1960 ",龍潭分局,O,,"一般大樓 B072 桃園市龍潭區中山里大昌路一段75巷133弄29號"
龍潭區公所,B073,中山里,"24.87051468560164, 121.22240428166324",1,"5700 ",龍潭分局,O,,"龍潭區公所 B073 桃園市龍潭區中山里中興路690號"
一般民宅,B074,龍星里,"24.860690280187516, 121.21722369700508",1,"142 ",龍潭分局,,,"一般民宅 B074 桃園市龍潭區龍星里新龍路28號"
一般民宅,B075,龍星里,"24.862025822131756, 121.2196449681696",1,"133 ",龍潭分局,,,"一般民宅 B075 桃園市龍潭區大同路193號5樓"
一般大樓,B076,中山里,"24.867942086210753, 121.2120189681697",1,"1738 ",龍潭分局,O,,"一般大樓 B076 桃園市龍潭區中山里中豐路中山段97-1號"
一般大樓,B077,中山里,"24.86828005837893, 121.21355952214341",1,"1299 ",龍潭分局,O,,"一般大樓 B077 桃園市龍潭區東龍路341巷21號2樓"
一般大樓,B078,中山里,"24.86941048824256, 121.21536926544023",1,"2828 ",龍潭分局,O,,"一般大樓 B078 桃園市龍潭區中山里百福街108號"
一般大樓,B079,中正里,"24.85610582399864, 121.21815526816948",1,"1197 ",龍潭分局,O,,"一般大樓 B079 桃園市龍潭區中正里龍華路479巷37號"
一般大樓,B080,中山里,"24.87512085102236, 121.21806729515683",2,"2001 ",龍潭分局,O,,"一般大樓 B080 桃園市龍潭區中山里福龍路3段216號"
一般大樓,B081,中正里,"24.86336899054044, 121.2180449988538",3,5570,龍潭分局,O,,"一般大樓 B081 桃園市龍潭區中山里中正路261巷83號2樓"
一般大樓,B082,上林里,"24.861733479435983, 121.2124342562336",1,581,龍潭分局,O,,"一般大樓 B082 桃園市龍潭區上林里神龍路130巷31號"
一般民宅,B083,中正里,"24.86140308407102, 121.21989734694681",1,198,龍潭分局,O,,"一般民宅 B083 桃園市龍潭區中正里30鄰大同路168號"
一般民宅,B084,中山里,"24.866175455017782, 121.21044925467626",1,246,龍潭分局,O,,"一般民宅 B084 桃園市龍潭區中山里41鄰中豐路中山段195號"
雙龍國小,B085,中正里,"24.857232774696666, 121.21514681049842",1,2367,龍潭分局,O,,"雙龍國小 B085 桃園市龍潭區神龍路346號"
武漢國小,C001,武漢里,"24.871208484048793, 121.23439464303151",1,"754 ",龍潭分局,O,,"武漢國小 C001 桃園市龍潭區武漢路100號"
工廠,C002,九龍里,"24.88070744928803, 121.2491074933083",1,"916 ",龍潭分局,,,"工廠 C002 桃園市龍潭區中興路九龍段66-1號"
工廠,C003,武漢里,"24.871739684048574, 121.23352441049886",1,"462 ",龍潭分局,,,"工廠 C003 桃園市龍潭區中興路317巷74弄7號"
工廠,C004,九龍里,"24.88174428515195, 121.24992355652536",1,"1945 ",龍潭分局,,,"工廠 C004 桃園市龍潭區中興路九龍段50巷79號"
一般大樓,C005,中興里,"24.87340539676222, 121.23019836335975",2,"1052 ",龍潭分局,O,,"一般大樓 C005 桃園市龍潭區中興路392巷9弄29衖17號"
一般大樓,C006,黃唐里,"24.87748012209484, 121.22842678026956",1,"750 ",龍潭分局,O,,"一般大樓 C006 桃園市龍潭區成功路283巷12弄9號"
一般大樓,C007,永興里,"24.87120441645965, 121.22866189515678",1,"254 ",龍潭分局,,,"一般大樓 C007 桃園市龍潭區中興路461巷2弄31號"
一般大樓,C008,九龍里,"24.87814474933168, 121.24595929981683",1,"766 ",龍潭分局,,,"一般大樓 C008 桃園市龍潭區九龍里中興路九龍段129巷135弄觀景樓社區"
一般大樓,C009,黃唐里,"24.885930084041977, 121.22598579145973",2,"1505 ",龍潭分局,O,,"一般大樓 C009 桃園市龍潭區福龍路二段359巷177弄56號"
一般大樓,C010,九龍里,"24.867338856873427, 121.23041462214357",1,"1249 ",龍潭分局,O,,"一般大樓 C010 桃園市龍潭區九龍里健行路345巷59弄1號"
一般大樓,C011,中興里,"24.876301117086303, 121.23139269700555",3,"2728 ",龍潭分局,O,,"一般大樓 C011 桃園市龍潭區天龍四巷11號"
一般大樓,C012,東興里,"24.873774684047614, 121.2357300681699",2,"1578 ",龍潭分局,O,,"一般大樓 C012 桃園市龍潭區中興路211巷22弄1-12號"
工廠,C014,九龍里,"24.878168054094914, 121.24579744303179",1,"852 ",龍潭分局,O,,"工廠 C014 桃園市龍潭區九龍里中興路九龍段129巷91號"
一般大樓,C015,東興里,"24.872602684048143, 121.2366437104988",2,"3113 ",龍潭分局,,,"一般大樓 C015 桃園市龍潭區中興路211巷70弄1號"
桃園高爾夫球場,C016,九龍里,"24.87000813848869, 121.24797875652501",1,"569 ",龍潭分局,,,"桃園高爾夫球場 C016 桃園市龍潭區九龍里悅華路100號"
一般住宅,C017,永興里,"24.872586944286766, 121.22980329066445",1,"56 ",龍潭分局,,,"一般住宅 C017 桃園市龍潭區中興路433號"
一般大樓,C020,永興里,"24.87060936400303, 121.22604048308202",1,"356 ",龍潭分局,,,"一般大樓 C020 桃園市龍潭區中興路513巷16號"
一般大樓,C023,中興里,"24.87556914870293, 121.23387666638982",1,"632 ",龍潭分局,,,"一般大樓 C023 桃園市龍潭區中興路288巷45號"
工廠,C024,九龍里,"24.879732749672453, 121.24975328351202",1,"901 ",龍潭分局,,,"工廠 C024 桃園市龍潭區九龍里中興路九龍段3巷13號"
工廠,C025,九龍里,"24.878508717265802, 121.24565796817002",1,"288 ",龍潭分局,,,"工廠 C025 桃園市龍潭區九龍里中興路九龍段129巷91號"
工廠,C026,九龍里,"24.88015744950501, 121.2490021970056",1,"118 ",龍潭分局,,,"工廠 C026 桃園市龍潭區九龍里中興路九龍段11號"
工廠,C027,北興里,"24.87751891071874, 121.24183144930969",1,"1355 ",龍潭分局,O,,"工廠 C027 桃園市龍潭區北興里中興路18巷20號"
一般大樓,C028,祥和里,"24.885733684042023, 121.23921708351217",3,"3241 ",龍潭分局,O,,"一般大樓 C028 桃園市龍潭區武漢里龍平路1107巷55弄26號"
工廠,C029,九龍里,"24.878469784379522, 121.24555067981484",1,"76 ",龍潭分局,,,"工廠 C029 桃園市龍潭區九龍里中興路九龍段129巷91號"
一般大樓,C030,黃唐里,"24.875587785530836, 121.22808186598985",2,"1490 ",龍潭分局,O,,"一般大樓 C030 桃園市龍潭區武中路20號"
一般大樓,C031,九龍里,"24.86461618111301, 121.22543453933419",1,"934 ",龍潭分局,O,,"一般大樓 C031 桃園市龍潭區五福街317號2樓"
一般大樓,C032,九龍里,"24.85788680081819, 121.22570758166297",1,"319 ",龍潭分局,,,"一般大樓 C032 桃園市龍潭區雙連街280號二樓"
一般大樓,C033,北興里,"24.880253618641255, 121.24253108166343",2,"5136 ",龍潭分局,O,,"一般大樓 C033 桃園市龍潭區北興里民豐一街99號"
一般大樓,C034,黃唐里,"24.884854072585664, 121.23160869792473",2,"1173 ",龍潭分局,O,,"一般大樓 C034 桃園市龍潭區黃唐里龍平路820巷8-12號"
一般大樓,D006,建林里,"24.84257231196575, 121.23449306816916",1,"1056 ",龍潭分局,,,"一般大樓 D006 桃園市龍潭區建林里建國路75巷12弄11號"
桃園客家文物館,D007,佳安里,"24.845440676594226, 121.2345332681692",2,"5414 ",龍潭分局,O,,"桃園客家文物館 D007 桃園市龍潭區佳安里中正路三林段500號"
三坑國小,D010,三坑里,"24.836299127059828, 121.24863217382615",1,"1008 ",龍潭分局,O,,"三坑國小 D010 桃園市龍潭區三坑里永昌路51巷85號"
一般大樓,D011,大平里,"24.818240031562343, 121.24240088079716",1,"761 ",龍潭分局,O,,"一般大樓 D011 桃園市龍潭區大平里芝麻1號"
一般大樓,D012,大平里,"24.82407397595018, 121.23672389120838",1,"40 ",龍潭分局,,,"一般大樓 D012 桃園市龍潭區二坪36號"
一般大樓,D013,大平里,"24.817711408067673, 121.24283965467505",1,"6256 ",龍潭分局,,,"一般大樓 D013 桃園市龍潭區大平里民強街1號"
一般大樓,D014,大平里,"24.81985688407306, 121.23564947001731",1,"855 ",龍潭分局,O,,"一般大樓 D014 桃園市龍潭區大平里民治18街45號"
一般大樓,D015,大平里,"24.821406670935282, 121.23926130680034",3,"4562 ",龍潭分局,O,,"一般大樓 D015 桃園市龍潭區大平里民有路257號"
一般大樓,D016,建林里,"24.840932974520584, 121.23332598121112",1,"3451 ",龍潭分局,O,,"一般大樓 D016 桃園市龍潭區建林里民族路278巷88弄3衖1號"
一般住宅,D017,建林里,"24.83850566566162, 121.23300927325855",1,"652 ",龍潭分局,O,,"一般住宅 D017 桃園市龍潭區建林里民族路370巷74號"
一般大樓,D018,三林里,"24.83629105480276, 121.23342658523912",1,"876 ",龍潭分局,,,"一般大樓 D018 桃園市龍潭區三林里民族路416巷16號"
石門國中,D020,佳安里,"24.840724444358695, 121.24043744090775",1,"1062 ",龍潭分局,O,,"石門國中 D020 桃園市龍潭區佳安里文化路137號"
台北教會,D022,佳安里,"24.838080709482412, 121.23720189081112",1,"1549 ",龍潭分局,O,,"台北教會 D022 桃園市龍潭區佳安里佳安西路4巷101號"
一般大樓,D023,大平里,"24.825492571896856, 121.2372825816622",1,"2314 ",龍潭分局,O,,"一般大樓 D023 桃園市龍潭區大平里龍源路大平段278之1號"
一般大樓,D024,三坑里,"24.834476507068757, 121.2473569459828",1,"1517 ",龍潭分局,O,,"一般大樓 D024 桃園市龍潭區三坑里19鄰永昌路24巷1號"
一般大樓,D025,大平里,"24.818153339759863, 121.237980987208",2,"6413 ",龍潭分局,O,,"一般大樓 D025 桃園市龍潭區大平里民治路300號"
一般大樓,D026,三林里,"24.83677487455315, 121.2338729835111",1,"1872 ",龍潭分局,O,,"一般大樓 D026 桃園市龍潭區三林里民族路372號"
一般大樓,D027,三林里,"24.83540519730615, 121.23245850075546",2,"4293 ",龍潭分局,O,,"一般大樓 D027 桃園市龍潭區民族路434巷20號"
一般住宅,D028,三林里,"24.830850275751274, 121.23352214879453",2,"705 ",龍潭分局,O,,"一般住宅 D028 桃園市龍潭區三林里三角林街9號"
一般大樓,D029,富林里,"24.84511278406122, 121.22812584118243",3,"11740 ",龍潭分局,O,,"一般大樓 D029 桃園市龍潭區富林里民生路141巷150號"
工廠,D030,三林里,"24.83049204631775, 121.23284366906613",1,"254 ",龍潭分局,O,,"工廠 D030 桃園市龍潭區三林里三角林街56號"
一般大樓,D031,大平里,"24.824878221511753, 121.24164013748455",3,"5317 ",龍潭分局,,,"一般大樓 D031 桃園市龍潭區大平里民有一街199號"
一般民宅,D032,大平里,"24.82067477322432, 121.23751078442598",1,402,龍潭分局,O,,"一般民宅 D032 桃園市龍潭區民治路355號2樓之1"
一般大樓,D033,佳安里,"24.84906699599314, 121.24462068797195",1,3269,龍潭分局,O,,"一般大樓 D033 桃園市龍潭區佳安里6鄰文化路405巷50-3號"
一般大樓,D034,大平里,"24.82426613403214, 121.24121226632019",3,6308,龍潭分局,O,,"一般大樓 D034 桃園市龍潭區大平里1鄰民有一街233-25號11樓"
工廠,E001,高平里,"24.832846236816735, 121.21376985467543",1,"62 ",龍潭分局,O,,"工廠 E001 桃園市龍潭區高平里高楊南路320巷6弄2號"
工廠,E002,高平里,"24.83276415770958, 121.21355966816891",1,"38 ",龍潭分局,,,"工廠 E002 桃園市龍潭區高平里高楊南路320巷12弄6號"
工廠,E003,高平里,"24.833064084066805, 121.21406309700446",1,"76 ",龍潭分局,,,"工廠 E003 桃園市龍潭區高平里高楊南路320巷2號"
工廠,E004,高平里,"24.832719935040274, 121.21347233907426",1,"66 ",龍潭分局,,,"工廠 E004 桃園市龍潭區高平里高楊南路320巷12弄9號"
工廠,E005,高平里,"24.8318986314053, 121.21440445715751",1,"333 ",龍潭分局,,,"工廠 E005 桃園市龍潭區高平里高楊南路384號"
工廠,E007,高平里,"24.832031398065116, 121.21425783159494",1,"42 ",龍潭分局,,,"工廠 E007 桃園市龍潭區高平里高楊南路368號"
工廠,E008,高平里,"24.833467894365665, 121.20620875097823",1,"1600 ",龍潭分局,,,"工廠 E008 桃園市龍潭區高平里中豐路高平段403號"
工廠,E009,高平里,"24.832831220882635, 121.21376164118199",1,"560 ",龍潭分局,O,,"工廠 E009 桃園市龍潭區高平里高楊南路320巷10號"
工廠,E011,高原里,"24.837762729780447, 121.19474385097838",2,"1981 ",龍潭分局,,,"工廠 E011 桃園市龍潭區高原里中原路2段374號"
