類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
中油鐵鉆山礦場,坪頂里,苗栗縣通霄鎮坪頂里15鄰平頂路146號,"24.4489516,120.7082586",1.0,670,通霄分局,中和所,
李綜合醫院,客庄里,苗栗縣苑裡鎮客庄里24鄰中華路137號,"24.438052,120.6542768",1.0,752,通霄分局,苑裡所,
通霄郵局,通西里,苗栗縣通霄鎮通西里7鄰中正路71號,"24.490561, 120.680121",1.0,213,通霄分局,通霄所,已修正
公寓,通西里,苗栗縣通霄鎮通西里7鄰中正路72號,"24.490551, 120.680245",1.0,200,通霄分局,通霄所,不堪使用、積水
公寓,通南里,苗栗縣通霄鎮通南里通南47號,"24.478866, 120.677376",1.0,74,通霄分局,通霄所,
公寓,通西里,苗栗縣通霄鎮通西里1鄰信義路193號,"24.491022, 120.681183",1.0,1061,通霄分局,通霄所,
公寓,客庒里,苗栗縣苑裡鎮客庒里13鄰新興路6號,"24.4407655,120.6524894",1.0,205,通霄分局,苑裡所,
台電-通霄發電廠,通西里,苗栗縣通霄鎮通西里33鄰海濱路1-31號,"24.490858, 120.674454",1.0,320,通霄分局,通霄所,
公寓,山腳里,苗栗縣苑裡鎮山腳里19鄰錦山62-1號,"24.421620, 120.692887",1.0,8,通霄分局,山腳所,
苗栗縣立苑裡完全中學,客庒里,苗栗縣苑裡鎮客庒里24鄰新興路19號,"24.43839,120.66348",1.0,246,通霄分局,苑裡所,
苑裡鎮立托兒所,舊社里,苗栗縣苑裡鎮舊社里10鄰舊社110-1號,"24.417513, 120.683590",1.0,716,通霄分局,山腳所,
苑裡鎮聯合活動中心,苑北里,苗栗縣苑裡鎮苑北里13鄰中山路312號,"24.4473562,120.6546996",1.0,520,通霄分局,苑裡所,
