編號,里別,地址,可容納人數,經度,緯度,避難樓層,轄管分局
41.0,長榮里,臺中市大里區長榮里14鄰西榮路212號,12.0,120.6832652,24.109205,1.0,霧峰分局
42.0,長榮里,臺中市大里區長榮里15鄰西榮路242號,19.0,120.6828739,24.1086331,1.0,霧峰分局
43.0,長榮里,臺中市大里區長榮里15鄰西榮路240號,19.0,120.6827941,24.1086938,1.0,霧峰分局
44.0,長榮里,臺中市大里區長榮里10鄰新南路226號,128.0,120.6836651,24.1088768,1.0,霧峰分局
45.0,長榮里,臺中市大里區長榮里5鄰益民路2段66號,9.0,120.6834271,24.1070549,1.0,霧峰分局
46.0,長榮里,臺中市大里區長榮里5鄰益民路2段60號,11.0,120.6812341,24.1070418,1.0,霧峰分局
47.0,長榮里,臺中市大里區長榮里5鄰益民路2段58號,11.0,120.6835047,24.1069233,1.0,霧峰分局
48.0,長榮里,臺中市大里區長榮里5鄰益民路2段64號,18.0,120.6836387,24.1070222,1.0,霧峰分局
49.0,永隆里,臺中市大里區永隆里6鄰永隆8街166號,547.0,120.6854101,24.1242974,1.0,霧峰分局
50.0,永隆里,臺中市大里區永隆里6鄰東榮路602號,108.0,120.6755164,24.1094899,1.0,霧峰分局
51.0,長榮里,臺中市大里區長榮里7鄰新芳路55號,746.0,120.6807632,24.1068116,1.0,霧峰分局
52.0,長榮里,臺中市大里區長榮里3鄰東明路520號,347.0,120.6751003,24.1122336,1.0,霧峰分局
53.0,永隆里,臺中市大里區永隆里4鄰永隆八街102號,451.0,120.6743666,24.114353,1.0,霧峰分局
54.0,永隆里,臺中市大里區永隆里14鄰永隆五街2號,532.0,120.6743666,24.1143725,1.0,霧峰分局
55.0,國光里,臺中市大里區國光里8鄰東榮路369號,108.0,120.6800967,24.109292,2.0,霧峰分局
56.0,永隆里,臺中市大里區永隆里5鄰國光路2段779號,236.0,120.6723719,24.1093161,2.0,霧峰分局
57.0,永隆里,臺中市大里區永隆里15鄰永隆三街1號,1281.0,120.6753148,24.1076944,1.0,霧峰分局
58.0,永隆里,臺中市大里區永隆里3鄰大明路448號,571.0,120.6747414,24.1150786,2.0,霧峰分局
59.0,永隆里,臺中市大里區永隆里3鄰大明路460號,614.0,120.6747414,24.1150811,2.0,霧峰分局
60.0,國光里,臺中市大里區國光里7鄰永興路7號,614.0,120.6784212,24.1103313,1.0,霧峰分局
61.0,長榮里,臺中市大里區長榮里5鄰德芳南路296號,1625.0,120.6730058,24.1093057,2.0,霧峰分局
62.0,永隆里,臺中市大里區永隆里11鄰國光路2段481號,569.0,120.6765732,24.1108487,2.0,霧峰分局
63.0,永隆里,臺中市大里區永隆里5鄰永隆五街3號,245.0,120.675571,24.1091216,1.0,霧峰分局
64.0,永隆里,臺中市大里區永隆里5鄰永大街377號,490.0,120.6751568,24.1139287,2.0,霧峰分局
65.0,永隆里,臺中市大里區永隆里3鄰大明路410號,2034.0,120.6751568,24.1139384,2.0,霧峰分局
66.0,長榮里,臺中市大里區長榮里8鄰德芳南路292號,2801.0,120.6837716,24.1029887,3.0,霧峰分局
67.0,長榮里,臺中市大里區長榮里5鄰益民路2段62號,17.0,120.6835905,24.1068977,1.0,霧峰分局
68.0,永隆里,臺中市大里區永隆里3鄰大明路486號,1092.0,120.6758657,24.1069218,4.0,霧峰分局
69.0,東興里,臺中市大里區東興里16鄰爽文路955號,409.0,120.6719677,24.1106733,3.0,霧峰分局
70.0,東興里,臺中市大里區東興里30鄰新生西路199號,849.0,120.6824824,24.1053569,3.0,霧峰分局
71.0,國光里,臺中市大里區國光里12德芳南路478號,584.0,120.6794646,24.1049087,1.0,霧峰分局
72.0,長榮里,臺中市大里區長榮里27鄰中興路二段119號,566.0,120.6862117,24.1041875,2.0,霧峰分局
73.0,永隆里,臺中市大里區永隆里3鄰爽文路1222號,354.0,120.6718505,24.1161266,3.0,霧峰分局
74.0,永隆里,臺中市大里區永隆里6鄰爽文路1090號,647.0,120.6721422,24.1138364,5.0,霧峰分局
75.0,永隆里,臺中市大里區永隆里27鄰大明路398號,309.0,120.6752298,24.1152538,3.0,霧峰分局
76.0,東興里,臺中市大里區東興里29鄰國光路2段398號,1400.0,120.4310934,23.9936841,4.0,霧峰分局
77.0,大明里,臺中市大里區大明里20鄰東興路66號之1,313.0,120.6789177,24.1160635,1.0,霧峰分局
78.0,大明里,臺中市大里區大明里20鄰國光路2段710號,39480.0,120.660893,24.1161061,2.0,霧峰分局
79.0,永隆里,臺中市大里區永隆里13鄰東榮路652號,533.0,120.6743705,24.1095682,1.0,霧峰分局
80.0,永隆里,臺中市大里區永隆里6鄰永隆八街172號,336.0,120.672921,24.1143686,1.0,霧峰分局
81.0,國光里,臺中市大里區國光里2鄰東榮路483號,1466.0,120.6779224,24.1091211,2.0,霧峰分局
82.0,長榮里,臺中市大里市長榮里1鄰中興路2段153巷6號,2390.0,120.6863281,24.1053505,1.0,霧峰分局
83.0,永隆里,臺中市大里區永隆里29鄰永隆九街65號,1369.0,120.6739148,24.1156775,1.0,霧峰分局
84.0,永隆里,臺中市大里區永隆里31鄰大明路569號,562.0,120.6700145,24.1147251,3.0,霧峰分局
85.0,永隆里,臺中市大里區永隆里3鄰環河路107號,764.0,120.6721926,24.1162993,3.0,霧峰分局
86.0,東興里,臺中市大里市東興里8鄰大明路135號,2545.0,120.6828141,24.1151248,1.0,霧峰分局
87.0,東興里,臺中市大里區東興里29鄰國光路二段500號,924.0,120.5265518,23.9825832,3.0,霧峰分局
88.0,國光里,臺中市大里區國光里9鄰永興路16號,232.0,120.6803034,24.1063106,1.0,霧峰分局
89.0,東興里,臺中市大里區東興里29鄰大德街20號,937.0,120.6771532,24.1119423,1.0,霧峰分局
90.0,東興里,臺中市大里區東興里17鄰東明路347號,545.0,120.6783847,24.1127654,1.0,霧峰分局
91.0,永隆里,臺中市大里市永隆里5鄰永隆八街92巷2號,702.0,120.6745667,24.1143856,2.0,霧峰分局
92.0,永隆里,臺中市大里區永隆里5鄰永隆八街80號,466.0,120.6748707,24.1144046,2.0,霧峰分局
93.0,立仁里,臺中市大里區立仁里20鄰立新街338號,793.0,120.6832539,24.1064101,1.0,霧峰分局
94.0,立仁里,臺中市大里區立仁里20鄰甲堤路236號,946.0,120.6944036,24.1043929,1.0,霧峰分局
95.0,立德里,臺中市大里區立德里26鄰自強街291號,936.0,120.6952302,24.1024458,1.0,霧峰分局
96.0,立德里,臺中市大里區立德里22鄰立中街96號,335.0,120.6947224,24.1029776,1.0,霧峰分局
97.0,立仁里,臺中市大里區立仁里20鄰立新街338號,386.0,120.6947224,24.1029873,1.0,霧峰分局
98.0,立仁里,臺中市大里區立仁里22立新二街85號,184.0,120.6958294,24.1043101,1.0,霧峰分局
99.0,立仁里,臺中市大里區立仁里22鄰立新二街87號,89.0,120.694902,24.1040316,1.0,霧峰分局
100.0,立德里,臺中市大里區立德里22鄰立新二街89號,90.0,120.6948733,24.1041251,1.0,霧峰分局
101.0,立德里,臺中市大里區立德里22鄰立新二街91號,90.0,120.694769,24.1041309,1.0,霧峰分局
102.0,立德里,臺中市大里區立德里22新甲路56號,1672.0,120.6950286,24.1026266,2.0,霧峰分局
103.0,立德里,臺中市大里區立德里28鄰甲堤南路70號,1642.0,120.6927231,24.1022071,2.0,霧峰分局
104.0,立德里,臺中市大里區立德里23鄰新甲路92號,224.0,120.6938516,24.1026923,1.0,霧峰分局
105.0,新仁里,臺中市大里區新仁里5鄰新仁路一段71之3號,1773.0,120.704265,24.1117072,1.0,霧峰分局
106.0,立仁里,臺中市大里區立仁里1鄰甲堤路328號,370.0,120.6958631,24.1094099,7.0,霧峰分局
107.0,立德里,臺中市大里區立德里26鄰自強街33號,230.0,120.6950814,24.1020835,2.0,霧峰分局
108.0,立仁里,臺中市大里區立仁里3鄰甲興路100號,357.0,120.6954706,24.1067466,1.0,霧峰分局
109.0,立德里,臺中市大里區立德里31鄰立新2街83號,168.0,120.6952276,24.1042714,1.0,霧峰分局
110.0,立德里,臺中市大里區立德里22鄰立新二街57號,707.0,120.6913419,24.1072012,2.0,霧峰分局
111.0,中正里,臺中市霧峰區中正里1鄰民生路58號,40.0,120.6978366,24.0654788,1.0,霧峰分局
112.0,中正里,臺中市霧峰區中正里10鄰中正路933號,1638.0,120.6962125,24.0658727,1.0,霧峰分局
113.0,中正里,臺中市霧峰區中正里5鄰民生路46巷2號,429.0,120.6980878,24.0649518,1.0,霧峰分局
114.0,中正里,臺中市霧峰區中正里13鄰林森路767號,120.0,120.6933206,24.0663771,1.0,霧峰分局
115.0,本鄉里,臺中市霧峰區本鄉里5鄰民權街37號,5.0,120.6977948,24.0668671,1.0,霧峰分局
116.0,坑口里,臺中市霧峰區坑口里31鄰中正路557巷18號,112.0,120.6884412,24.0479157,1.0,霧峰分局
117.0,坑口里,臺中市霧峰區坑口里31鄰中正路561號,154.0,120.6895969,24.0462058,1.0,霧峰分局
118.0,中正里,臺中市霧峰區中正里9鄰四德路10號,1118.0,120.6818721,24.0462299,2.0,霧峰分局
119.0,本鄉里,臺中市霧峰區本鄉里1鄰民生路66號,23.0,120.6979961,24.0659136,1.0,霧峰分局
120.0,本堂里,臺中市霧峰區本堂里23鄰樹仁六街88號,55.0,120.6932686,24.0600398,1.0,霧峰分局
121.0,萊園里,臺中市霧峰區萊園里8鄰萊園路91號,962.0,120.7005355,24.0612163,1.0,霧峰分局
122.0,本堂里,臺中市霧峰區本堂里19鄰樹仁路194號,325.0,120.69364,24.0583668,1.0,霧峰分局
123.0,本堂里,臺中市霧峰區本堂里9鄰中正路736號,485.0,120.6952806,24.0569425,1.0,霧峰分局
124.0,本堂里,臺中市霧峰區本堂里13鄰蘭生街61號,1903.0,120.6942137,24.0564735,1.0,霧峰分局
125.0,中正里,臺中市霧峰區中正里14鄰振德街29巷1號,2490.0,120.6932255,24.0600509,2.0,霧峰分局
126.0,本堂里,臺中市霧峰區本堂里23鄰樹仁六街68號,151.0,120.693156,24.0603722,1.0,霧峰分局
127.0,本堂里,臺中市霧峰區本堂里13鄰蘭生街48號,812.0,120.694048,24.0562656,1.0,霧峰分局
128.0,本堂里,臺中市霧峰區本堂里29鄰樹仁五街17號,667.0,120.6936709,24.0627241,1.0,霧峰分局
129.0,坑口里,臺中市霧峰區坑口里31鄰中正路523號,583.0,120.6894715,24.0452753,1.0,霧峰分局
130.0,本鄉里,臺中市霧峰區本鄉里1鄰民生路78號,629.0,120.698191,24.0664433,1.0,霧峰分局
131.0,本堂里,臺中市霧峰區本堂里21鄰中正路737號,213.0,120.6953019,24.0595867,1.0,霧峰分局
132.0,本堂里,臺中市霧峰區本堂里23鄰樹仁路130號,248.0,120.6938197,24.0606244,1.0,霧峰分局
133.0,坑口里,臺中市霧峰區坑口里3鄰新生路5號,536.0,120.6900073,24.0448647,1.0,霧峰分局
134.0,本堂里,臺中市霧峰區本堂里14鄰樹仁路239號,276.0,120.6945674,24.0573802,2.0,霧峰分局
135.0,坑口里,臺中市霧峰區坑口里2鄰中正路706巷17號,1506.0,120.6919364,24.0504183,1.0,霧峰分局
136.0,本堂里,臺中市霧峰區本堂里9鄰中正路738-2號,788.0,120.6965302,24.0585793,1.0,霧峰分局
137.0,本堂里,臺中市霧峰區本堂里9鄰中正路738-4號,2657.0,120.695226,24.0580669,2.0,霧峰分局
138.0,萬豐里,臺中市霧峰區萬豐里16鄰中正路189號,255.0,120.6939261,24.0299287,1.0,霧峰分局
139.0,舊正里,臺中市霧峰區舊正里20鄰中正路91巷5號,958.0,120.6927096,24.0186886,1.0,霧峰分局
140.0,南勢里,臺中市霧峰區南勢里02鄰豐正路工業巷9號,240.0,120.6737737,24.0297217,1.0,霧峰分局
141.0,丁台里,臺中市霧峰區丁台里06鄰丁台路537號,93.0,120.6563874,24.0497884,1.0,霧峰分局
142.0,南勢里,臺中市霧峰區南勢里02鄰豐正路566號,120.0,120.6657637,24.0362495,1.0,霧峰分局
143.0,六股里,臺中市霧峰區六股里11鄰六股路73巷18號,611.0,120.6887807,24.0377813,1.0,霧峰分局
144.0,大里里,臺中市大里區大里里15鄰長興一街79號,897.0,120.6777936,24.0981855,1.0,霧峰分局
145.0,大里里,臺中市大里區大里里16鄰長興一街80號,807.0,120.6777936,24.0981952,1.0,霧峰分局
146.0,大里里,臺中市大里區大里里16鄰長興三街18號,33.0,120.6771549,24.0980327,1.0,霧峰分局
147.0,大里里,臺中市大里區大里里8鄰大里路461號,23.0,120.6689445,24.0968682,1.0,霧峰分局
148.0,大里里,臺中市大里區大里里8鄰大里路441號,23.0,120.6715817,24.0974761,1.0,霧峰分局
149.0,新里里,臺中市大里區新里里19鄰愛心一街18號,42.0,120.6784664,24.1008654,1.0,霧峰分局
150.0,新里里,臺中市大里區新里里34鄰青松街172號,42.0,120.6789782,24.1008488,1.0,霧峰分局
151.0,新里里,臺中市大里區新里里34鄰青松街112號,42.0,120.6788474,24.1020124,1.0,霧峰分局
152.0,新里里,臺中市大里區新里里14鄰新興路將軍二巷8號,26.0,120.6743882,24.1004223,1.0,霧峰分局
153.0,新里里,臺中市大里區新里里18鄰新興路99巷16弄56號,16.0,120.6735492,24.1006328,1.0,霧峰分局
154.0,大元里,臺中市大里區大元里17鄰國中一路25巷17號,104.0,120.6825282,24.0939236,1.0,霧峰分局
155.0,大元里,臺中市大里區大元里7鄰大衛路38號,34.0,120.6786795,24.0937997,1.0,霧峰分局
156.0,大元里,臺中市大里區大元里7鄰大衛路46號,126.0,120.6785841,24.0945753,1.0,霧峰分局
157.0,大元里,臺中市大里區大元里7鄰國中二路2號,34.0,120.6812035,24.0954185,1.0,霧峰分局
158.0,大元里,臺中市大里區大元里7鄰大衛路34號,151.0,120.6795995,24.0934977,1.0,霧峰分局
159.0,大元里,臺中市大里區大元里7鄰大衛路37巷3號,120.0,120.6762838,24.0938422,1.0,霧峰分局
160.0,大元里,臺中市大里區大元里7鄰國中二路16號,350.0,120.6806632,24.0949739,1.0,霧峰分局
161.0,大元里,臺中市大里區大元里21鄰國中路292號,63.0,120.6770492,24.0956601,1.0,霧峰分局
162.0,大元里,臺中市大里區大元里18鄰中興路二段73-15號,24.0,120.6847411,24.0989598,1.0,霧峰分局
163.0,大元里,臺中市大里區大元里18鄰中興路二段73-16號,26.0,120.6833476,24.0989176,1.0,霧峰分局
164.0,大元里,臺中市大里區大元里16鄰大衛路37巷6號,24.0,120.6782911,24.0940558,1.0,霧峰分局
165.0,大元里,臺中市大里區大元里21鄰國中路30號,33.0,120.6824656,24.0956632,1.0,霧峰分局
166.0,大元里,臺中市大里區大元里18鄰中興路二段73-11號,66.0,120.6846208,24.0989399,1.0,霧峰分局
167.0,大元里,臺中市大里區大元里16鄰大衛路29號,72.0,120.679603,24.0931791,1.0,霧峰分局
168.0,大元里,臺中市大里區大元里16鄰大衛路31巷11號,34.0,120.6795274,24.0933869,1.0,霧峰分局
169.0,大元里,臺中市大里區大元里8鄰夏元路6號,173.0,120.6759763,24.0910682,1.0,霧峰分局
170.0,大元里,臺中市大里區大元里21鄰國中路186號,128.0,120.6795791,24.0963209,1.0,霧峰分局
171.0,大元里,臺中市大里區大元里11鄰國光路一段74號,30.0,120.6849594,24.0930713,1.0,霧峰分局
172.0,大元里,臺中市大里區大元里15鄰國光路一段121號,75.0,120.5265518,23.9751102,1.0,霧峰分局
173.0,大元里,臺中市大里區大元里22鄰國中路365號,528.0,120.6767949,24.0940865,1.0,霧峰分局
174.0,大元里,臺中市大里區大元里11鄰國光路一段16號,275.0,120.6849594,24.0930713,1.0,霧峰分局
175.0,大元里,臺中市大里區大元里11鄰國光路一段82號,177.0,120.6849594,24.0930713,1.0,霧峰分局
176.0,大元里,臺中市大里區大元里11鄰中興路二段69號之10,78.0,120.6844327,24.0983598,1.0,霧峰分局
177.0,樹王里,臺中市大里區樹王里12鄰東興路537號,53.0,120.6595459,24.1019575,1.0,霧峰分局
178.0,樹王里,臺中市大里區樹王里12鄰東興路506號,58.0,120.6628994,24.1044523,1.0,霧峰分局
179.0,樹王里,臺中市大里區樹王里14鄰樹王路342號,500.0,120.6650019,24.1116279,1.0,霧峰分局
180.0,國光里,臺中市大里區國光里15鄰大里二街86號,585.0,120.6833862,24.1020741,2.0,霧峰分局
181.0,樹王里,臺中市大里區樹王里14鄰樹王路342號,738.0,120.6650019,24.1116279,1.0,霧峰分局
182.0,新里里,臺中市大里區新里里5鄰新興路97號,661.0,120.6742013,24.1002499,1.0,霧峰分局
183.0,新里里,臺中市大里區新里里29鄰德芳路二段105號,1750.0,120.6754507,24.1037066,3.0,霧峰分局
184.0,新里里,臺中市大里區新里里14鄰長興一街2號,3450.0,120.675929,24.0988626,4.0,霧峰分局
185.0,大里里,臺中市大里區大里里12鄰瓦瑤路16號,260.0,120.675929,24.0988723,2.0,霧峰分局
186.0,大里里,臺中市大里區大里里3鄰大里路320號,790.0,120.6757949,24.0975181,4.0,霧峰分局
187.0,樹王里,臺中市大里區樹王里14鄰樹王路425號,697.0,120.6632623,24.1112721,1.0,霧峰分局
188.0,新里里,臺中市大里區新里里29鄰德芳路2段145號,732.0,120.6747051,24.1033598,3.0,霧峰分局
189.0,國光里,臺中市大里區國光里16鄰國光路1段258號,2071.0,120.6763224,24.1182033,1.0,霧峰分局
190.0,大里里,臺中市大里區大里里17鄰勝利二路11號,2529.0,120.6804291,24.1009324,3.0,霧峰分局
191.0,新里里,臺中市大里區新里里30鄰大新街34之6號,732.0,120.6763007,24.0997097,1.0,霧峰分局
192.0,甲寅里,臺中市霧峰區甲寅里4鄰中正路1222號,561.0,120.6974343,24.0736701,1.0,霧峰分局
193.0,甲寅里,臺中市霧峰區甲寅里4鄰中正路1208號,761.0,120.6971154,24.0719921,1.0,霧峰分局
194.0,甲寅里,臺中市霧峰區甲寅里17鄰中正路1070號,441.0,120.6981775,24.0698235,1.0,霧峰分局
195.0,甲寅里,臺中市霧峰區甲寅里17鄰中正路1056巷29號,35.0,120.6984914,24.0680028,1.0,霧峰分局
196.0,甲寅里,臺中市霧峰區甲寅里17鄰德泰街103號,24.0,120.6993435,24.0682543,1.0,霧峰分局
197.0,甲寅里,臺中市霧峰區甲寅里16鄰民生路193號,823.0,120.701138,24.0698256,1.0,霧峰分局
198.0,甲寅里,臺中市霧峰區甲寅里17鄰民生路156號,1148.0,120.7015242,24.0701996,1.0,霧峰分局
199.0,甲寅里,臺中市霧峰區甲寅里23鄰民生路172號之48,127.0,120.7025139,24.0710674,1.0,霧峰分局
200.0,吉峰里,臺中市霧峰區吉峰里2鄰吉峰西路35號,42.0,120.7105106,24.0794176,1.0,霧峰分局
201.0,吉峰里,臺中市霧峰區吉峰里2鄰吉峰西路68號,341.0,120.7105106,24.0794273,1.0,霧峰分局
202.0,吉峰里,臺中市霧峰區吉峰里23鄰民生路349號,1297.0,120.7162763,24.0797558,1.0,霧峰分局
203.0,吉峰里,臺中市霧峰區吉峰里23鄰民生路391巷54號,156.0,120.7167436,24.0787637,1.0,霧峰分局
204.0,吉峰里,臺中市霧峰區吉峰里23鄰民生路396號,521.0,120.7180297,24.0780163,1.0,霧峰分局
205.0,吉峰里,臺中市霧峰區吉峰里11鄰吉峰東路168號,1592.0,120.7115805,24.0702648,1.0,霧峰分局
206.0,吉峰里,臺中市霧峰區吉峰里32鄰吉峰東路60號,367.0,120.7118737,24.0742832,1.0,霧峰分局
207.0,吉峰里,臺中市霧峰區吉峰里32鄰民生路216號,102.0,120.7103768,24.0750593,1.0,霧峰分局
208.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1065巷18號,124.0,120.6963916,24.0680712,1.0,霧峰分局
209.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1291號,116.0,120.6967506,24.0767303,1.0,霧峰分局
210.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1293號,116.0,120.6967321,24.0767909,1.0,霧峰分局
211.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1295號,116.0,120.6967453,24.0767709,1.0,霧峰分局
212.0,吉峰里,臺中市霧峰區吉峰里14鄰吉峰路74號,50.0,120.7014956,24.0760421,1.0,霧峰分局
213.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1236號,415.0,120.6976151,24.0750097,1.0,霧峰分局
214.0,甲寅里,臺中市霧峰區甲寅里20鄰草湖路22號,26.0,120.6958465,24.0681443,1.0,霧峰分局
215.0,甲寅里,臺中市霧峰區甲寅里28鄰中正路1109號,181.0,120.6965523,24.0693731,1.0,霧峰分局
216.0,甲寅里,臺中市霧峰區甲寅里27鄰林森路947號,1352.0,120.693936,24.0698494,1.0,霧峰分局
217.0,甲寅里,臺中市霧峰區甲寅里27鄰林森路976號,491.0,120.6951928,24.0711339,1.0,霧峰分局
218.0,甲寅里,臺中市霧峰區甲寅里20鄰草湖路62號,11724.0,120.6953344,24.0688193,1.0,霧峰分局
219.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷51號,30.0,120.7154657,24.0758236,1.0,霧峰分局
220.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷49號,30.0,120.7154667,24.0757943,1.0,霧峰分局
221.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷47號,34.0,120.7154644,24.07573,1.0,霧峰分局
222.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷57號,34.0,120.7155225,24.0759897,1.0,霧峰分局
223.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷55號,30.0,120.7154963,24.0759252,1.0,霧峰分局
224.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷53號,30.0,120.7154988,24.0758713,1.0,霧峰分局
225.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路312號,221.0,120.7155401,24.0782232,1.0,霧峰分局
226.0,吉峰里,臺中市霧峰區吉峰里1鄰吉峰路101號,555.0,120.7080298,24.0771311,1.0,霧峰分局
227.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路61號,42.0,120.6986649,24.076211,1.0,霧峰分局
228.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路31號,175.0,120.7002812,24.0761177,1.0,霧峰分局
229.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路21號,62.0,120.6987156,24.0760402,1.0,霧峰分局
230.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路71號,994.0,120.70279,24.0764563,1.0,霧峰分局
231.0,吉峰里,臺中市霧峰區吉峰里10鄰自強路201號,375.0,120.7092601,24.0714799,1.0,霧峰分局
232.0,吉峰里,臺中市霧峰區吉峰里39鄰錦州路499號,551.0,120.7066073,24.08032,1.0,霧峰分局
233.0,甲寅里,臺中市霧峰區甲寅里3鄰德維西街19號,611.0,120.6962997,24.0716627,2.0,霧峰分局
234.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷1號,26.0,120.6860184,24.1241968,1.0,霧峰分局
