建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,placemark_address
台塑石化公司煉油Ｋ二600(3．2路6道),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,68.0,臺西分局,661.0,麥寮鄉工業園區路15號
"台塑石化公司觸煤倉庫(3．7路2道)
",中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,146.0,臺西分局,662.0,麥寮鄉工業園區路15號
"台塑石化公司煉油廠630(3路4道)
",中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,68.0,臺西分局,663.0,麥寮鄉工業園區路15號
台塑石化公司汽三區特高站(8道),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,2268.0,臺西分局,664.0,麥寮鄉工業園區路15號
台塑石化公司ＯＬ二控制室(6道),中興村,麥寮鄉工業園區17號,"23.7912, 120.26525",1.0,913.0,臺西分局,665.0,麥寮鄉工業園區17號
台塑石化公司(6道),中興村,麥寮鄉工業園區路17號,"23.7912, 120.25252",1.0,93.0,臺西分局,666.0,麥寮鄉工業園區路17號
"台灣纖維公司Ｐ Ｐ控制室(6道)",中興村,麥寮鄉工業園區路23號,"23.79922, 120.26217",1.0,352.0,臺西分局,667.0,麥寮鄉工業園區路23號
台灣化學纖維公司(6道),中興村,麥寮鄉工業園區路23號,"23.79922, 120.26217",1.0,143.0,臺西分局,668.0,麥寮鄉工業園區路23號
台灣化學纖維ＡＰ０二控制室(6道),中興村,麥寮鄉工業園區路23號,"23.79922, 120.26217",1.0,192.0,臺西分局,669.0,麥寮鄉工業園區路23號
台灣化學纖維ＡＰ０控制室(6道),中興村,麥寮鄉工業園區路23號,"23.79922, 120.26217",1.0,651.0,臺西分局,670.0,麥寮鄉工業園區路23號
"台灣化學纖維海豐預製廠(6道)
",中興村,麥寮鄉工業園區路23號,"23.79922, 120.26217",1.0,70.0,臺西分局,671.0,麥寮鄉工業園區路23號
ＩＥＭ控制室,中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,454.0,臺西分局,672.0,麥寮鄉中興村工業園區路1號
ＩＥＭ公用廠房,中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,376.0,臺西分局,673.0,麥寮鄉中興村工業園區路1號
PVC大樓,中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,1518.0,臺西分局,674.0,麥寮鄉中興村工業園區路1號
行政大樓,中興村,麥寮鄉中興村工業園區路1之1號,"23.79846, 120.21764",1.0,2773.0,臺西分局,675.0,麥寮鄉中興村工業園區路1之1號
DMF控制室,中興村,麥寮鄉工業園區路5號,"23.79922, 120.26217",1.0,2211.0,臺西分局,676.0,麥寮鄉工業園區路5號
Ｋ八三００控制室,中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,157.0,臺西分局,677.0,麥寮鄉工業園區路15號
二EH控制室,中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,213.0,臺西分局,678.0,麥寮鄉中興村工業園區路2號
ＢＰＡ公用廠房,中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,86.0,臺西分局,679.0,麥寮鄉中興村工業園區路2號
EG控制室,中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,654.0,臺西分局,680.0,麥寮鄉中興村工業園區路2號
現場開關室,中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,281.0,臺西分局,681.0,麥寮鄉中興村工業園區路1號
重工訓練大樓,中興村,麥寮鄉許厝路31之205號,"23.80137, 120.24348",1.0,2888.0,臺西分局,682.0,麥寮鄉許厝路31之205號
556ＰＴＡ控制室,中興村,麥寮鄉許厝31之200號,"23.80137, 120.24348",1.0,391.0,臺西分局,683.0,麥寮鄉許厝31之200號
552ＳＭ-1控制室,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,255.0,臺西分局,684.0,麥寮鄉中興村200號
551ＡＲＯ控制室,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,710.0,臺西分局,685.0,麥寮鄉中興村200號
Ｈ棟宿舍,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,3555.0,臺西分局,686.0,麥寮鄉中興村200號
705ＯＬ-1控制室,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,997.0,臺西分局,687.0,麥寮鄉中興村200號
713汽電廠水處理區操作管理室,中興村,麥寮鄉中興村200號,"23.79753, 120.239",1.0,906.0,臺西分局,688.0,麥寮鄉中興村200號
711汽電ＭＵ-1特定站,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,4549.0,臺西分局,689.0,麥寮鄉中興村200號
763ＭＶＣＭ控制室,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,1054.0,臺西分局,690.0,麥寮鄉中興村200號
761ＨＤＰＥ控制室,中興村,麥寮鄉中興村200號,"23.79753, 120.239",1.0,1024.0,臺西分局,691.0,麥寮鄉中興村200號
764ＨＤＰＥ自動倉儲,中興村,麥寮鄉中興村200號,"23.79753, 120.239",1.0,87.0,臺西分局,692.0,麥寮鄉中興村200號
製程區鋼構廠房,中興村,麥寮鄉中興村200號,"23.79136, 120.24804",1.0,97.0,臺西分局,693.0,麥寮鄉中興村200號
" 824公用廠房",中興村,麥寮鄉中興村200號,"23.79753, 120.239",1.0,264.0,臺西分局,694.0,麥寮鄉中興村200號
818公用廠房,中興村,麥寮鄉中興村200號,"23.79918, 120.24882",1.0,459.0,臺西分局,695.0,麥寮鄉中興村200號
801ＰＡ電控辦公室,中興村,麥寮鄉中興村200號,"23.79753, 120.239",1.0,251.0,臺西分局,696.0,麥寮鄉中興村200號
906發電廠345ＫＶ超高壓站,中興村,麥寮鄉中興村200號,"23.79136, 120.24804",1.0,2452.0,臺西分局,697.0,麥寮鄉中興村200號
ＰＳ廠控制室,中興村,麥寮鄉工業園區路5號,"23.79922, 120.26217",1.0,2172.0,臺西分局,698.0,麥寮鄉工業園區路5號
七四三資材中心,中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,122.0,臺西分局,699.0,麥寮鄉工業園區路15號
ＢＰＡ公用廠房,中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,109.0,臺西分局,700.0,麥寮鄉中興村工業園區路2號
ＰＣ廠中央控制室,中興村,麥寮鄉工業園區路3-1號,"23.79846, 120.21764",1.0,734.0,臺西分局,701.0,麥寮鄉工業園區路3-1號
甲基丁酚廠室,中興村,麥寮鄉工業園區路3-1號,"23.79846, 120.21764",1.0,132.0,臺西分局,702.0,麥寮鄉工業園區路3-1號
ＥＧ3控制室,中興村,麥寮鄉工業園區路52號,"23.79846, 120.21764",1.0,730.0,臺西分局,703.0,麥寮鄉工業園區路52號
南亞塑膠公司,中興村,麥寮鄉工業園區路52號,"23.79846, 120.21764",1.0,888.0,臺西分局,704.0,麥寮鄉工業園區路52號
行政院農業委員會水產試驗所海水繁養殖研究中心,五港村,臺西鄉五港村中央路271號,"23.71718, 120.19933",1.0,490.0,臺西分局,705.0,臺西鄉五港村中央路271號
臺西鄉鄉立圖書館,五港村,臺西鄉五港村五港路505號,"23.71705, 120.20169",1.0,44.0,臺西分局,706.0,臺西鄉五港村五港路505號
"四湖國民小學
",四湖村,"四湖鄉四湖村中山東路 37號","23.63707, 120.22951",1.0,411.0,臺西分局,707.0,"四湖鄉四湖村中山東路 37號"
臺西鄉崙豐國小活動中心,永豐村,臺西鄉永豐村崙豐路47號,"23.72044, 120.20917",1.0,105.0,臺西分局,708.0,臺西鄉永豐村崙豐路47號
"東勢惠安  診所
",東南村,東勢鄉東南村懷恩街46號,"23.67705, 120.25214",1.0,266.0,臺西分局,709.0,東勢鄉東南村懷恩街46號
,施厝村,麥寮鄉施厝村施厝65之1號,"23.79104, 120.28876",1.0,2275.0,臺西分局,710.0,麥寮鄉施厝村施厝65之1號
臺西鄉禮儀館,海南村,臺西鄉海南村民族路299號,"23.68976, 120.1989",1.0,104.0,臺西分局,711.0,臺西鄉海南村民族路299號
麥寮鄉鄉民代表會,麥津村,"麥寮鄉麥津村中興路109號 ","23.75316, 120.25195",1.0,16.0,臺西分局,712.0,麥寮鄉麥津村中興路109號
拱範宮（香客大樓）,麥津村,"麥寮鄉麥津村中山路204號 ","23.74862, 120.25602",1.0,145.0,臺西分局,713.0,麥寮鄉麥津村中山路204號
,麥豐村,"麥寮鄉麥豐村中正路24號 ","23.74849, 120.25515",1.0,34.0,臺西分局,714.0,麥寮鄉麥豐村中正路24號
