電腦編號,類別,村里,地址,地下層數,容量,轄管所別,備註
HNA00019,公寓,照南里,苗栗縣竹南鎮博愛街42號,1.0,140.0,竹南,
HNA00020,公寓,照南里,苗栗縣竹南鎮博愛街44號,1.0,144.0,竹南,
HNA00021,公寓,龍昇村,苗栗縣造橋鄉龍昇村中潭11鄰21號之1號,1.0,141.0,竹南,
HNA00022,公寓,照南里,苗栗縣竹南鎮民族街97號,1.0,186.0,竹南,
HNA00024,公寓,照南里,苗栗縣竹南鎮博愛街128號,1.0,29.0,竹南,
HNA00025,公寓,照南里,苗栗縣竹南鎮照南里12鄰博愛街56號,1.0,36.0,竹南,
HNA00026,公寓,照南里,苗栗縣竹南鎮照南里12鄰博愛街52號,1.0,22.0,竹南,
HNA00027,公寓,照南里,苗栗縣竹南鎮照南里12鄰博愛街54號,1.0,22.0,竹南,
HNA00028,公寓,照南里,苗栗縣竹南鎮民族街95號,1.0,32.0,竹南,
HNA00029,公寓,照南里,苗栗縣竹南鎮照南里15鄰自由街157號,1.0,28.0,竹南,
HNA00030,公寓,照南里,苗栗縣竹南鎮照南里15鄰博愛街106之1號,1.0,33.0,竹南,
HNA00031,公寓,竹南里,苗栗縣竹南鎮竹南里17鄰敦化街1號,1.0,29.0,竹南,
HNA00032,南光醫院,竹南里,苗栗縣竹南鎮竹南里16鄰延平路11號,1.0,248.0,竹南,
HNA00033,大樓,竹南里,苗栗縣竹南鎮竹南里17鄰博愛街133號,1.0,753.0,竹南,
HNA00034,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路166之3號,1.0,22.0,竹南,
HNA00035,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路164號,1.0,30.0,竹南,
HNA00036,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路160號,1.0,37.0,竹南,
HNA00037,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路150號,1.0,32.0,竹南,
HNA00038,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路48之1號,1.0,64.0,竹南,
HNA00039,國泰人壽保險,竹南里,苗栗縣竹南鎮竹南里博愛街217號,1.0,266.0,竹南,
HNA00040,公寓,竹南里,苗栗縣竹南鎮康德街50號,1.0,240.0,竹南,
HNA00041,公寓,竹南里,苗栗縣竹南鎮竹南里17鄰博愛街123號,1.0,248.0,竹南,
HNA00042,公寓,聖福里,苗栗縣竹南鎮聖福里9鄰公教路148號,1.0,101.0,竹南,
HNA00043,公寓,聖福里,苗栗縣竹南鎮聖福里11鄰公教路189巷6號,1.0,41.0,竹南,
HNA00044,公寓,聖福里,苗栗縣竹南鎮聖福里12鄰建國路288巷7號,1.0,36.0,竹南,
HNA00045,公寓,聖福里,苗栗縣竹南鎮聖福里12鄰建國路288巷79弄17號,1.0,33.0,竹南,
HNA00046,公寓,照南里,苗栗縣竹南鎮照南里15鄰博愛街132號,1.0,34.0,竹南,
HNA00047,公寓,照南里,苗栗縣竹南鎮照南里16鄰博愛街140巷50號,1.0,28.0,竹南,
HNA00048,公寓,照南里,苗栗縣竹南鎮照南里11鄰博愛街46號,1.0,140.0,竹南,
HNA00050,公寓,照南里,苗栗縣竹南鎮民族街93號,1.0,34.0,竹南,
HNA00054,公寓,正南里,苗栗縣竹南鎮正南里14鄰中正路52號,1.0,26.0,竹南,
HNA00055,公寓,正南里,苗栗縣竹南鎮正南里10鄰中山路49號,1.0,60.0,竹南,
HNA00056,公寓,正南里,苗栗縣竹南鎮正南里9鄰中正路28號（10號）,1.0,10.0,竹南,
HNA00057,慈佑醫院,正南里,苗栗縣竹南鎮正南里16鄰民治街17之1號,1.0,1161.0,竹南,
HNA00058,公寓,正南里,苗栗縣竹南鎮正南里15鄰光復路6之6號,1.0,213.0,竹南,
HNA00059,公寓,營盤里,苗栗縣竹南鎮營盤里20鄰營盤邊53之6號,1.0,60.0,竹南,
HNA00060,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路291號,1.0,53.0,竹南,
HNA00061,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路277號,1.0,30.0,竹南,
HNA00062,大樓,營盤里,苗栗縣竹南鎮營盤里14鄰環市路三段69號,1.0,1409.0,竹南,
HNA00063,大樓,營盤里,苗栗縣竹南鎮營盤里15鄰博愛街340巷30號,1.0,804.0,竹南,
HNA00064,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之1號,1.0,62.0,竹南,
HNA00065,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之3號,1.0,22.0,竹南,
HNA00066,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之4號,1.0,22.0,竹南,
HNA00067,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之5號,1.0,22.0,竹南,
HNA00068,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之6號,1.0,22.0,竹南,
HNA00069,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街12號,1.0,57.0,竹南,
HNA00070,公寓,竹南里,苗栗縣竹南鎮竹南里7鄰光復路74號,1.0,22.0,竹南,
HNA00071,公寓,竹南里,苗栗縣竹南鎮民權街9號,1.0,32.0,竹南,
HNA00072,公寓,竹南里,苗栗縣竹南鎮竹南里11鄰博愛街49號,1.0,66.0,竹南,
HNA00073,公寓,竹南里,苗栗縣竹南鎮竹南里6鄰光復路90號,1.0,40.0,竹南,
HNA00074,公寓,竹南里,苗栗縣竹南鎮竹南里11鄰和平街106號,1.0,18.0,竹南,
HNA00075,公寓,竹南里,苗栗縣竹南鎮竹南里9鄰民族街83號,1.0,173.0,竹南,
HNA00076,竹信合作社,竹南里,苗栗縣竹南鎮竹南里11鄰光復路88號,1.0,292.0,竹南,
HNA00077,大樓,竹南里,苗栗縣竹南鎮竹南里12鄰民權街69號,1.0,7098.0,竹南,
HNA00078,大樓,竹南里,苗栗縣竹南鎮竹南里12鄰民權街51巷51號,1.0,7098.0,竹南,
HNA00079,公寓,竹南里,苗栗縣竹南鎮和平街100號,1.0,90.0,竹南,
HNA00080,公寓,竹南里,苗栗縣竹南鎮竹南里5鄰中山路61號,1.0,180.0,竹南,
HNA00081,公寓,竹南里,苗栗縣竹南鎮竹南里5鄰中山路83號,1.0,20.0,竹南,
HNA00082,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街14號,1.0,40.0,竹南,
HNA00091,公寓,大山里,苗栗縣後龍鎮大山里12鄰下大山腳1之2號,1.0,298.0,大山,
HNA00092,公寓,大山里,苗栗縣後龍鎮大山里1鄰龍山路50號,1.0,214.0,大山,
HNA00095,公寓,埔頂里,苗栗縣後龍鎮埔頂里15鄰中華路711號,1.0,168.0,新港,
HNA00098,公寓,龍坑里,苗栗縣後龍鎮龍坑里15鄰十班坑153之9號,1.0,157.0,聯港,
HNA00100,公寓,龍津里,苗栗縣後龍鎮公司寮90號,1.0,57.0,聯港,
HNA00101,公寓,龍津里,苗栗縣後龍鎮龍津里16鄰169之4號,1.0,340.0,聯港,
HNA00104,公寓,豐湖村,苗栗縣造橋鄉豐湖村1鄰乳姑山2號,1.0,187.0,造橋,
HNA00105,造橋鄉公所,造橋村,苗栗縣造橋鄉造橋村1鄰2之1號,1.0,193.0,造橋,
HNA00107,造橋鄉農會,造橋村,苗栗縣造橋鄉造橋村1鄰平仁路34號,1.0,61.0,造橋,
HNA00109,造橋分駐所,造橋村,苗栗縣造橋鄉造橋村3鄰平仁路51號,1.0,98.0,造橋,
HNA00111,"強安威勝
股份有限公司",造橋村,"24.639891576289617, 120.86660685282855",1.0,62.0,造橋,"24.639891576289617, 120.86660685282855"
HNA00112,公寓,大西村,苗栗縣造橋鄉大西村8鄰十字路70之3號,1.0,122.0,造橋,
HNA00113,公寓,造橋村,苗栗縣造橋鄉造橋村13鄰東興路5號,1.0,53.0,造橋,
HNA00114,竹南鎮農會信用部中港分部,中港里,苗栗縣竹南鎮中港里7鄰中正路535號,1.0,36.0,中港海口,
HNA00115,公寓,中港里,苗栗縣竹南鎮中港里12鄰中正路435號,1.0,14.0,中港海口,
HNA00116,公寓,中港里,苗栗縣竹南鎮中港里5鄰八德街39號,1.0,72.0,中港海口,
HNA00118,聯順造紙,中美里,苗栗縣竹南鎮中美里8鄰6之1號,1.0,109.0,中港海口,
HNA00119,耶蘇基督聖教會,中美里,苗栗縣竹南鎮中美里7鄰21號,1.0,36.0,中港海口,
HNA00121,公寓,中華里,苗栗縣竹南鎮中華里1鄰新生路159號,1.0,89.0,中港海口,
HNA00122,公寓,中華里,苗栗縣竹南鎮中華里15鄰新生路258號,1.0,421.0,中港海口,
HNA00123,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬大街88號,1.0,305.0,中港海口,
HNA00124,大樓,中華里,苗栗縣竹南鎮中華里15鄰萬大街48號,1.0,1465.0,中港海口,
HNA00125,大樓,中華里,苗栗縣竹南鎮中華里15鄰萬壽街69號,1.0,941.0,中港海口,
HNA00126,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬壽街56號,1.0,33.0,中港海口,
HNA00127,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬大街74號,1.0,33.0,中港海口,
HNA00128,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬大街70號,1.0,33.0,中港海口,
HNA00129,竹建瓦斯,中華里,苗栗縣竹南鎮中華里15鄰環市路三段107號,1.0,368.0,中港海口,
HNA00130,公寓,中華里,苗栗縣竹南鎮新生路260號,1.0,30.0,中港海口,
HNA00131,台灣聖教會,中華里,苗栗縣竹南鎮中華里1鄰中正路212號,1.0,81.0,中港海口,
HNA00132,南龍區漁會,中華里,苗栗縣竹南鎮中華里13鄰民生路52號,1.0,56.0,中港海口,
HNA00134,大樓,中華里,苗栗縣竹南鎮中華里18鄰環市路41號,1.0,3757.0,中港海口,
HNA00135,大樓,中華里,苗栗縣竹南鎮中華里16鄰環市路二段259號,1.0,6336.0,中港海口,
HNA00137,公寓,龍鳯里,苗栗縣竹南鎮龍鳯里7鄰後厝路26號,1.0,124.0,竹南,
HNA00139,公寓,龍鳯里,苗栗縣竹南鎮龍鳯里5鄰山寮56之3號,1.0,33.0,竹南,
HNA00140,大樓,照南里,苗栗縣竹南鎮照南里10鄰三泰街18號,1.0,1196.0,竹南,
HNA00141,公寓,照南里,苗栗縣竹南鎮照南里9鄰光復路290號,1.0,16.0,竹南,
HNA00142,公寓,照南里,苗栗縣竹南鎮照南里3鄰光復路184巷8號,1.0,40.0,竹南,
HNA00143,公寓,照南里,苗栗縣竹南鎮照南里20鄰光復路344號,1.0,64.0,竹南,
HNA00144,公寓,照南里,苗栗縣竹南鎮照南里9鄰光復路304號,1.0,66.0,竹南,
HNA00145,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之2號,1.0,197.0,竹南,
HNA00146,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之15號,1.0,190.0,竹南,
HNA00147,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之1號,1.0,197.0,竹南,
HNA00148,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之17號,1.0,329.0,竹南,
HNA00149,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之7號,1.0,94.0,竹南,
HNA00150,公寓,聖福里,苗栗縣竹南鎮聖福里15鄰建國路288巷197號,1.0,56.0,竹南,
HNA00151,公寓,聖福里,苗栗縣竹南鎮聖福里15鄰建國路288巷201號,1.0,33.0,竹南,
HNA00152,公寓,聖福里,苗栗縣竹南鎮聖福里21鄰建國路79弄19號,1.0,309.0,竹南,
HNA00153,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之13號,1.0,124.0,竹南,
HNA00154,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之17號,1.0,130.0,竹南,
HNA00155,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之5號,1.0,197.0,竹南,
HNA00156,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之13號,1.0,197.0,竹南,
HNA00157,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之9號,1.0,197.0,竹南,
HNA00158,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之3號,1.0,194.0,竹南,
HNA00159,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之11號,1.0,94.0,竹南,
HNA00160,公寓,聖福里,苗栗縣竹南鎮聖福里二20建國路288巷79弄42之1號,1.0,124.0,竹南,
HNA00161,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之5號,1.0,124.0,竹南,
HNA00162,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之9號,1.0,124.0,竹南,
HNA00163,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之3號,1.0,124.0,竹南,
HNA00164,公寓,聖福里,苗栗縣竹南鎮聖福里30鄰建國路288巷79弄42之15號,1.0,124.0,竹南,
HNA00441,公寓,新南里,苗栗縣竹南鎮新南里12鄰29之1號,1.0,24.0,竹南,
HNA00442,公寓,新南里,苗栗縣竹南鎮新南里14鄰崁頂街58號,1.0,33.0,竹南,
HNA00431,公寓,新南里,苗栗縣竹南鎮新南里15鄰崁頂街46號,1.0,110.0,竹南,
HNA00434,公寓,新南里,苗栗縣竹南鎮新南里16鄰崁頂街24號,1.0,21.0,竹南,
HNA00683,友鴻觀光開發,新南里,苗栗縣竹南鎮新南里17鄰公園路106號,1.0,4136.0,竹南,
HNA00437,公寓,新南里,苗栗縣竹南鎮新南里18鄰崁頂街22號,1.0,28.0,竹南,
HNA00429,公寓,新南里,苗栗縣竹南鎮新南里18鄰崁頂街22號,1.0,21.0,竹南,
HNA00178,竹南信用合作社,新南里,苗栗縣竹南鎮新南里19鄰東平路18之6號,1.0,292.0,竹南,
HNA00169,公寓,新南里,苗栗縣竹南鎮新南里1鄰東平路23號,1.0,34.0,竹南,
HNA00175,中油天然氣竹南服務處,新南里,苗栗縣竹南鎮新南里20鄰東平路101之8號,1.0,62.0,竹南,
HNA00435,邸雅企業,新南里,苗栗縣竹南鎮新南里五谷王22鄰92號之2,1.0,1490.0,竹南,
HNA00438,公寓,新南里,苗栗縣竹南鎮新南里22鄰五谷王75號,1.0,37.0,竹南,
HNA00180,公寓,正南里,苗栗縣竹南鎮正南里6鄰中山路4之1號,1.0,25.0,竹南,
HNA00181,公寓,正南里,苗栗縣竹南鎮正南里10鄰中山路45號,1.0,6.0,竹南,
HNA00183,公寓,正南里,苗栗縣竹南鎮正南里15鄰福德路29號,1.0,110.0,竹南,
HNA00184,公寓,正南里,苗栗縣竹南鎮正南里4鄰中山路46號,1.0,20.0,竹南,
HNA00185,公寓,正南里,苗栗縣竹南鎮正南里10鄰中山路35號,1.0,28.0,竹南,
HNA00186,公寓,正南里,苗栗縣竹南鎮正南里13鄰43號,1.0,60.0,竹南,
HNA00187,公寓,正南里,苗栗縣竹南鎮正南里6鄰中山路6號,1.0,22.0,竹南,
HNA00188,公寓,正南里,苗栗縣竹南鎮正南里6鄰中山路8號,1.0,20.0,竹南,
HNA00189,公寓,正南里,苗栗縣竹南鎮正南里19鄰和平街43號,1.0,89.0,竹南,
HNA00190,公寓,營盤里,苗栗縣竹南鎮營盤里14鄰建國路100號,1.0,113.0,竹南,
HNA00191,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路84巷20號,1.0,36.0,竹南,
HNA00192,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路84巷22號,1.0,36.0,竹南,
HNA00193,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰建智街25號,1.0,36.0,竹南,
HNA00194,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰建智街27號,1.0,37.0,竹南,
HNA00195,公寓,營盤里,苗栗縣竹南鎮營盤里5鄰建國路100號,1.0,76.0,竹南,
HNA00196,公寓,營盤里,苗栗縣竹南鎮營盤里14鄰建國路84巷21之3號,1.0,80.0,竹南,
HNA00197,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰自由街184號,1.0,401.0,竹南,
HNA00198,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰忠勤街56號,1.0,222.0,竹南,
HNA00199,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰大營路304號建智街60號,1.0,602.0,竹南,
HNA00200,公寓,營盤里,苗栗縣竹南鎮營盤里2鄰自由街104號,1.0,66.0,竹南,
HNA00201,公寓,營盤里,苗栗縣竹南鎮營盤里14鄰建國路80巷21之4號,1.0,53.0,竹南,
HNA00202,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰61之1號,1.0,26.0,竹南,
HNA00203,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山75之3號,1.0,73.0,竹南,
HNA00204,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山76之1號,1.0,138.0,竹南,
HNA00205,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路19號,1.0,50.0,竹南,
HNA00206,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路89之1號,1.0,94.0,竹南,
HNA00207,公寓,大厝里,苗栗縣竹南鎮大厝里10鄰獅山5之12號,1.0,77.0,竹南,
HNA00208,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰大厝59之12號,1.0,45.0,竹南,
HNA00209,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰56號,1.0,165.0,竹南,
HNA00210,公寓,山佳里,苗栗縣竹南鎮山佳里27鄰龍山路3段37之1號,1.0,272.0,竹南,
HNA00211,大樓,山佳里,苗栗縣竹南鎮山佳里4鄰光復路512號,1.0,1277.0,竹南,
HNA00212,大樓,山佳里,苗栗縣竹南鎮山佳里21鄰佳北二街103號,1.0,1145.0,竹南,
HNA00213,大樓,山佳里,苗栗縣竹南鎮山佳里19鄰佳北二街68號,1.0,1589.0,竹南,
HNA00214,大樓,山佳里,苗栗縣竹南鎮山佳里9鄰佳北二街197巷15號,1.0,1890.0,竹南,
HNA00215,大樓,山佳里,苗栗縣竹南鎮山佳里7鄰龍山路221號,1.0,2796.0,竹南,
HNA00216,公寓,山佳里,苗栗縣竹南鎮山佳里11鄰中興街25號,1.0,274.0,竹南,
HNA00217,公寓,山佳里,苗栗縣竹南鎮山佳里27鄰中興街23、21號,1.0,276.0,竹南,
HNA00218,君毅中學,山佳里,苗栗縣竹南鎮山佳里28鄰華興街76號,1.0,958.0,竹南,
HNA00219,苗栗縣政府公教大樓,大厝里,苗栗縣竹南鎮大厝里18鄰大業街58號,1.0,2294.0,竹南,
HNA00220,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大業街120號,1.0,385.0,竹南,
HNA00222,公寓,佳興里,苗栗縣竹南鎮佳興里6鄰光復路470號,1.0,40.0,竹南,
HNA00223,公寓,佳興里,苗栗縣竹南鎮佳興里10鄰照南路116號,1.0,88.0,竹南,
HNA00224,公寓,佳興里,苗栗縣竹南鎮佳興里2鄰公義路154號,1.0,162.0,竹南,
HNA00225,公寓,山佳里,苗栗縣竹南鎮山佳里15鄰公義路230巷15號,1.0,45.0,竹南,
HNA00227,公寓,佳興里,苗栗縣竹南鎮佳興里1鄰環市路3段559號,1.0,37.0,竹南,
HNA00228,公寓,佳興里,苗栗縣竹南鎮佳興里2鄰公義路172號,1.0,109.0,竹南,
HNA00229,公寓,佳興里,苗栗縣竹南鎮佳興里4鄰光復路420號,1.0,24.0,竹南,
HNA00230,公寓,山佳里,苗栗縣竹南鎮山佳里15鄰照南路86之2號,1.0,68.0,竹南,
HNA00231,公寓,山佳里,苗栗縣竹南鎮山佳里15鄰照南路36之5號,1.0,45.0,竹南,
HNA00232,公寓,佳興里,苗栗縣竹南鎮佳興里1鄰勝利街237號,1.0,117.0,竹南,
HNA00233,冠昇食品,崎頂里,苗栗縣竹南鎮崎頂里8鄰山頂15號,1.0,352.0,大同,
HNA00234,公寓,崎頂里,苗栗縣竹南鎮崎頂里13鄰仁愛路1365巷10號,1.0,100.0,大同,
HNA00236,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰尖山100號,1.0,34.0,大同,
HNA00237,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路330號,1.0,204.0,大同,
HNA00238,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路362號,1.0,304.0,大同,
HNA00238,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和義街8號,1.0,102.0,大同,
HNA00240,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路2095號,1.0,85.0,大同,
HNA00241,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1359號,1.0,84.0,大同,
HNA00243,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和義街5號,1.0,58.0,大同,
HNA00244,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街16號,1.0,86.0,大同,
HNA00245,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街30號,1.0,133.0,大同,
HNA00246,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路354號,1.0,108.0,大同,
HNA00247,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰和誠街18號,1.0,37.0,大同,
HNA00248,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和義街6號,1.0,180.0,大同,
HNA00249,"經濟部竹南工業區
服務中心",崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路336號,1.0,113.0,大同,
HNA00250,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰和誠街20號,1.0,61.0,大同,
HNA00251,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路346號,1.0,180.0,大同,
HNA00252,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1407號,1.0,400.0,大同,
HNA00253,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街14號,1.0,66.0,大同,
HNA00254,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1359號,1.0,121.0,大同,
HNA00255,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街16號,1.0,42.0,大同,
HNA00256,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路381號,1.0,145.0,大同,
HNA00257,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街35號,1.0,64.0,大同,
HNA00259,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路38號,1.0,228.0,大同,
HNA00260,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街6號,1.0,165.0,大同,
HNA00261,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路342號,1.0,74.0,大同,
HNA00262,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1463號,1.0,29.0,大同,
HNA00262,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1463之1號,1.0,29.0,大同,
HNA00263,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1403號,1.0,130.0,大同,
HNA00264,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1453號,1.0,86.0,大同,
HNA00265,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街26號,1.0,86.0,大同,
HNA00266,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1397號,1.0,53.0,大同,
HNA00267,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路330號,1.0,264.0,大同,
HNA00268,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街23號,1.0,144.0,大同,
HNA00269,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路364號,1.0,132.0,大同,
HNA00270,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路338號,1.0,36.0,大同,
HNA00271,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街22號,1.0,96.0,大同,
HNA00273,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1445號,1.0,97.0,大同,
HNA00274,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1387號,1.0,153.0,大同,
HNA00275,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路362號,1.0,256.0,大同,
HNA00276,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路330號,1.0,392.0,大同,
HNA00277,公寓,崎頂里,苗栗縣竹南鎮崎頂里13鄰仁愛路1363巷20號,1.0,61.0,大同,
HNA00278,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街32號,1.0,237.0,大同,
HNA00279,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路346號,1.0,621.0,大同,
HNA00280,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和勇街2號,1.0,178.0,大同,
HNA00281,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠路,1.0,58.0,大同,
HNA00282,台灣煙酒公司,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路345號,1.0,1054.0,大同,
HNA00283,超豐電子,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路358號,1.0,1952.0,大同,
HNA00284,公寓,公義里,苗栗縣竹南鎮公義里11鄰公義路1639號,1.0,484.0,大同,
