"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
東光國小,QPA00121,東光里,屏東縣東港鎮東光里03鄰長春二路15號,"22.468974997409994, 120.45974834597705",1.0,1037.0,東港分局,
東港郵局,QPA00122,東光里,屏東縣東港鎮東光里03鄰光復路一段293號,"22.469704416851233, 120.46007345201608",1.0,1038.0,東港分局,
大潭國小,QQA00015,大潭里,屏東縣東港鎮大潭里02鄰大潭路93號,"22.45647259789148, 120.49550371563916",1.0,582.0,東港分局,
輔英醫院/實習生宿舍大樓,QPA00014,共和里,屏東縣東港鎮共和里07鄰中山路5號,"22.46514412818975, 120.45350499769148",1.0,1533.0,東港分局,共有3處、總計可容納人數3066人
輔英醫院/病房大樓,QPA00125,共和里,屏東縣東港鎮共和里07鄰中山路5號,"22.465263723576584, 120.45304969273342",1.0,1087.0,東港分局,共有3處、總計可容納人數3066人
輔英醫院/門診大樓,QPA00126,共和里,屏東縣東港鎮共和里07鄰光復路三段35號,"22.465292847825882, 120.4527378859387",1.0,446.0,東港分局,共有3處、總計可容納人數3066人
共和新村大樓,QPA00114,共和里,屏東縣東港鎮共和里04鄰共和街100號,"22.46184410176573, 120.45382357239923",1.0,3806.0,東港分局,
共和新城大樓,QPA00115,共和里,屏東縣東港鎮共和里02鄰共和街80號,"22.461790232917966, 120.45319236260904",1.0,1790.0,東港分局,
協和鐵工廠,QPA00010,朝安里,屏東縣東港鎮朝安里05鄰新生一路42-3號,"22.466077634452695, 120.44552768490811",1.0,36.0,東港分局,
—,QPA00008,朝安里,屏東縣東港鎮朝安里01鄰新生一路45-14號,"22.46613723817895, 120.44521542798778",1.0,193.0,東港分局,
—,QPA00007,朝安里,屏東縣東港鎮朝安里01鄰新生一路45-16號,"22.466318655482738, 120.4449051772328",1.0,62.0,東港分局,
屏東縣政府財稅局/東港分局,QPA00009,朝安里,屏東縣東港鎮朝安里05鄰新生二路16號,"22.46692265497989, 120.44620905729677",1.0,196.0,東港分局,
東港鎮漁會,QPA00011,朝安里,屏東縣東港鎮朝安里07鄰新生三路175號,"22.467603400155625, 120.44279979376905",1.0,130.0,東港分局,
東隆世紀大樓,QPA00012,福德里,屏東縣東港鎮福德里08鄰光復路三段144號,"22.464960573397327, 120.44935239056836",1.0,814.0,東港分局,
基督長老教會/東港教會,QPA00021,福德里,屏東縣東港鎮福德里07鄰延平路187號,"22.46558301461669, 120.4474163846229",1.0,183.0,東港分局,
國泰人壽,QPA00013,福德里,屏東縣東港鎮福德里15鄰中山路7號,"22.46557785387347, 120.45222401463494",1.0,105.0,東港分局,
大鵬灣飯店,QPA00017,福德里,屏東縣東港鎮福德里16鄰中山路59號,"22.466438726403833, 120.45053697613507",1.0,105.0,東港分局,
玉山銀行/東港分行,QPA00015,福德里,屏東縣東港鎮福德里17鄰中山路75號,"22.466916391189976, 120.44953653011187",1.0,94.0,東港分局,
勝友旅社,QPA00016,福德里,屏東縣東港鎮福德里14鄰中正路56號,"22.465981608018996, 120.44946620521237",1.0,64.0,東港分局,
中華電信/東港服務中心,QPA00027,頂中里,屏東縣東港鎮頂中里13鄰中正路227號,"22.46972091842027, 120.45165892942022",1.0,131.0,東港分局,
觀海大樓,QQA00077,頂中里,屏東縣東港鎮頂中里15鄰博愛街374號,"22.47046551426729, 120.45158094057676",1.0,595.0,東港分局,
東昇餐廳,QPA00026,新勝里,屏東縣東港鎮新勝里14鄰光復路二段66號,"22.467597010075476, 120.4530516686107",1.0,166.0,東港分局,
商辦華廈,QPA00025,新勝里,屏東縣東港鎮新勝里11鄰中正路114號,"22.467239271565617, 120.45020525779027",1.0,316.0,東港分局,
—,QPA00024,新勝里,屏東縣東港鎮新勝里05鄰中山路30號,"22.466404969299923, 120.45119719449373",1.0,170.0,東港分局,
東港中學/活動中心,QQA00003,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,"22.465703892198533, 120.45585155161288",1.0,426.0,東港分局,共有6處、總計可容納人數1600人
東港中學/自強樓B,QQA00008,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,"22.465385681069893, 120.45588598596463",1.0,176.0,東港分局,共有6處、總計可容納人數1600人
東港中學/自強樓A,QQA00009,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,"22.46508110687659, 120.45596469305438",1.0,272.0,東港分局,共有6處、總計可容納人數1600人
東港中學/萬群樓A,QQA000010,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,"22.465797082462135, 120.45532765754677",1.0,213.0,東港分局,共有6處、總計可容納人數1600人
東港中學/活動中心,QQA00006,新勝里,屏東縣東港鎮新勝里01鄰船頭路2號,"22.46551069267188, 120.45506448071545",1.0,182.0,東港分局,共有6處、總計可容納人數1600人
東港中學活動中心,QQA00007,新勝里,屏東縣東港鎮新勝里01鄰船頭路3號,"22.465149295186983, 120.45487755137731",1.0,331.0,東港分局,共有6處、總計可容納人數1600人
東港鎮中正圖書館,QPA00023,新勝里,屏東縣東港鎮新勝里12鄰新勝街20號,"22.468677060055537, 120.45316171885197",1.0,863.0,東港分局,
台灣銀行/東港分行,QPA00037,新勝里,屏東縣東港鎮新勝里07鄰新勝街109號,"22.467550858233455, 120.4545140414832",1.0,661.0,東港分局,
東隆宮活動中心,QPA00109,東隆里,屏東縣東港鎮東隆里04鄰東隆街21-1號,"22.463215088419286, 120.44910579795909",1.0,427.0,東港分局,
東隆國小/行政樓,QQA00001,東隆里,屏東縣東港鎮東隆里10鄰共和街45號,"22.46465118790606, 120.45066962380993",1.0,316.0,東港分局,共有2處、總計可容納人數372人
東隆國小/東棟樓,QQA00002,東隆里,屏東縣東港鎮東隆里10鄰共和街45號,"22.46461191002234, 120.45110109395685",1.0,56.0,東港分局,共有2處、總計可容納人數372人
海濱國小/東側樓,QPA00032,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,"22.4648270770029, 120.44226680139501",1.0,285.0,東港分局,共有4處、總計可容納人數1207人
海濱國小/西側樓,QPA00035,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,"22.46424493408297, 120.44252283016472",1.0,702.0,東港分局,共有4處、總計可容納人數1207人
海濱國小/行政樓,QPA00119,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,"22.464032033900924, 120.44299118877521",1.0,132.0,東港分局,共有4處、總計可容納人數1207人
豐漁里活動中心,QPA00120,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,"22.46393733045851, 120.44276854870026",1.0,88.0,東港分局,共有4處、總計可容納人數1207人
東港好大樓,QPA00028,鎮海里,屏東縣東港鎮鎮海里03鄰富漁路218號,"22.459455102406697, 120.4451545892741",1.0,765.0,東港分局,
行政院農業委員會/水產試驗所/學人會館,QPA00033,鎮海里,屏東縣東港鎮鎮海里01鄰豐漁街74號,"22.462171202397244, 120.44167736162295",1.0,205.0,東港分局,
順仁醫院,QPA00001,光林村,屏東縣林邊鄉光林村17鄰中山路1-7號,"22.43024655900317, 120.52106133523533",1.0,343.0,東港分局,
中林市場,QPA00002,中林村,屏東縣林邊鄉中林村12鄰中林路179號,"22.43822737373337, 120.51945926547961",1.0,455.0,東港分局,
台電公司/林邊服務處,QPA00003,永樂村,屏東縣林邊鄉永樂村11鄰中山路268號,"22.436517223386165, 120.51338657994498",1.0,210.0,東港分局,
中華電信/林邊服務中心,QPA00007,永樂村,屏東縣林邊鄉永樂村5鄰榮農路2號,"22.435697505792948, 120.51647612173689",1.0,480.0,東港分局,
第一家庭大樓,QPA00112,永樂村,屏東縣林邊鄉永樂村04鄰榮農路5巷3～10號,"22.438715854721057, 120.51742346383554",1.0,640.0,東港分局,
林邊聖教會,QPA00004,林邊村,屏東縣林邊鄉林邊村10鄰忠福巷8號,"22.433732393431768, 120.51969789832606",1.0,31.0,東港分局,
99文具行（舊鄉公所）,QPA00005,仁和村,屏東縣林邊鄉仁和村17鄰中山路279號,"22.43475319544728, 120.51451033856513",1.0,420.0,東港分局,
林邊鄉農會,QPA00006,仁和村,屏東縣林邊鄉仁和村13鄰中山路303號,"22.435497552558207, 120.51391103875683",1.0,133.0,東港分局,
天下第一觀大樓,QPA00108,仁和村,屏東縣林邊鄉仁和村14鄰仁和路126號,"22.43684944311456, 120.51278496613931",1.0,1075.0,東港分局,
南州鄉圖書館,QQA00001,溪南村,屏東縣南州鄉溪南村04鄰人和路三巷15號,"22.48849063295427, 120.50799017718799",1.0,130.0,東港分局,
南糖辦公大樓,QQA00002,溪北村,屏東縣南州鄉溪北村01鄰糖廠路8號,"22.49291217043413, 120.51518623012282",1.0,221.0,東港分局,
台電公司/南州服務所,QQA00006,溪州村,屏東縣南州鄉溪州村21鄰人和路186號,"22.48796008083348, 120.50450266342963",1.0,186.0,東港分局,
南州鄉公所,QQA00003,仁里村,屏東縣南州鄉仁里村01鄰仁里路11號,"22.49037343805053, 120.50984899894988",1.0,128.0,東港分局,
中華電信/南州服務中心,QQA00004,仁里村,屏東縣南州鄉仁里村02鄰仁里路27號,"22.491238211367893, 120.51065305379191",1.0,83.0,東港分局,
有仁汽車企業公司,QQA00005,壽元村,屏東縣南州鄉壽元村10鄰大同路105號,"22.490619964919865, 120.53907910912488",1.0,37.0,東港分局,
慈惠醫專/宿舍大樓,QPA00116,七塊村,屏東縣南州鄉七塊村05鄰文化路50號,"22.48430107120023, 120.50280248971902",1.0,1795.0,東港分局,
慈惠護專/第1教學大樓,QQA00007,七塊村,屏東縣南州鄉七塊村02鄰三民路367號,"22.48602105527338, 120.4892089728799",1.0,1795.0,東港分局,共有2處、總計可容納人數4737人
慈惠護專/第2教學大樓,QQA00008,七塊村,屏東縣南州鄉七塊村02鄰三民路367號,"22.48509491594511, 120.4893374510913",1.0,2942.0,東港分局,共有2處、總計可容納人數4737人
典立塑膠公司,QPA00072,五房村,屏東縣新園鄉五房村09鄰五房路898巷145號,"22.50829741174728, 120.44202203749072",1.0,144.0,東港分局,
祐全產業公司,QPA00071,五房村,屏東縣新園鄉五房村15鄰龍洲路50號,"22.497571163168587, 120.44195422593121",1.0,252.0,東港分局,
金洲海洋科技公司,QPA00075,港西村,屏東縣新園鄉港西村01鄰興安路12號,"22.51422429285328, 120.46264388958372",1.0,345.0,東港分局,
藝統建設大樓,QPA00069,興龍村,屏東縣新園鄉興龍村17鄰臥龍路5巷35號,"22.490712482213137, 120.45827526810265",1.0,388.0,東港分局,
新豐碾米工廠,QPA00056,仙吉村,屏東縣新園鄉仙吉村05鄰仙吉路225號,"22.548201623994633, 120.46367652821276",1.0,122.0,東港分局,
東立飼料工業公司,QPA00057,仙吉村,屏東縣新園鄉仙吉村05鄰仙吉路277號,"22.549743579219193, 120.46470994357453",1.0,117.0,東港分局,
祥興鋼鐵工業公司,QPA00058,仙吉村,屏東縣新園鄉仙吉村04鄰仙吉路418號,"22.551138943766404, 120.46684926109806",1.0,360.0,東港分局,
琦泰實業公司,QPA00067,新園村,屏東縣新園鄉新園村16鄰媽祖路396號,"22.517154396133854, 120.44707186833764",1.0,125.0,東港分局,
高治機械公司,QPA00064,新園村,屏東縣新園鄉新園村16鄰媽祖路398號,"22.516298807180192, 120.44623199717307",1.0,47.0,東港分局,
國統國際公司,QPA00059,新園村,屏東縣新園鄉新園村16鄰媽祖路400號,"22.516344483776674, 120.4453393852495",1.0,166.0,東港分局,
台美好食品有限公司,QPA00062,新園村,屏東縣新園鄉新園村16鄰媽祖路404號,"22.51552365203014, 120.44551550208293",1.0,26.0,東港分局,
宏昇螺旋槳公司,QPA00061,新園村,屏東縣新園鄉新園村16鄰媽祖路408號,"22.51511746350978, 120.44515258377066",1.0,36.0,東港分局,
正忠股份有限公司,QPA00092,新園村,屏東縣新園鄉新園村16鄰媽祖路409號,"22.514196663063323, 120.44453891921559",1.0,124.0,東港分局,
嘉一香食品公司,QPA00074,崁頂村,屏東縣崁頂鄉崁頂村1鄰中正路1-1號,"22.51483894043933, 120.51392878843136",1.0,657.0,東港分局,
崁頂鄉公所,QPA00072,崁頂村,屏東縣崁頂鄉崁頂村4鄰中正路230號,"22.51470148971166, 120.5072775730631",1.0,231.0,東港分局,
崁頂鄉衛生所,QPA00111,崁頂村,屏東縣崁頂鄉崁頂村12鄰興農路29-9號,"22.514704896310676, 120.50727769717305",1.0,245.0,東港分局,
工廠,QPA00073,越溪村,屏東縣崁頂鄉越溪村06鄰民權路1號,"22.498782889699402, 120.49055588550834",1.0,98.0,東港分局,
崁頂焚化廠,QPA00108,越溪村,屏東縣崁頂鄉越溪村08鄰中正路881號,"22.49980761859384, 120.49783383991141",1.0,108.0,東港分局,
琉球鄉衛生所,QPA00113,本福村,屏東縣琉球鄉本福村19鄰中山路51-1號,"22.34855640742591, 120.37847323022979",1.0,296.0,東港分局,
中華電信/琉球服務中心,QQA00124,上福村,屏東縣琉球鄉上福村2鄰中興路39號,"22.340804412615885, 120.36989862567344",1.0,575.0,東港分局,
