類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,信義里2鄰,苗栗縣頭份市信義里中山路79號,"24.684485644068193, 120.90874004289216",1.0,58,頭份分局,頭份派出所,
公寓,信義里2鄰,苗栗縣頭份市中山路81號,"24.56820799510375, 120.82376231220178",1.0,41,頭份分局,頭份派出所,
公寓,信義里9鄰,苗栗縣頭份市和平路50號,"24.564273825227225, 120.81747583733372",1.0,333,頭份分局,頭份派出所,
中華電信頭份服務中心,信義里11鄰,苗栗縣頭份市信義里11鄰和平路70號,"24.56394347290785, 120.81752741220174",1.0,266,頭份分局,頭份派出所,
公寓,信義里4鄰,苗栗縣頭份市中山路115巷5號之7,"24.567533281385483, 120.82346063918584",1.0,89,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市忠孝二路76號,"24.692313932434516, 120.90901945453246",1.0,38,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市長安街20號,"24.56974487497388, 120.82542928336578",1.0,30,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市信東路212號,"24.691784746065128, 120.90815308151637",1.0,37,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市信東路210號,"24.691764029264153, 120.90828302569628",1.0,37,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市信東路218號,"24.69198876822501, 120.90805573733647",1.0,42,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市長泰街13巷13號,"24.691533625568972, 120.90882553918838",1.0,16,頭份分局,頭份派出所,"24.69128425132741, 120.90894683374559"
公寓,自強里10鄰,苗栗縣頭份市自強里10鄰信東路222號,"24.69201902874543, 120.90805455268038",1.0,45,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市自強里10鄰長泰街3號,"24.69109294693327, 120.90938492814963",1.0,61,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市自強里10鄰信東路178號,"24.691148234623515, 120.90869394104034",1.0,33,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市自強里10鄰信東路220號,"24.691995624556863, 120.90810031035241",1.0,52,頭份分局,頭份派出所,
公寓,自強里10鄰,苗栗縣頭份市自強里10鄰信東路214號,"24.69182773334758, 120.90816686802438",1.0,46,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市自強里7鄰忠孝二路70號,"24.692372923730282, 120.90883848336833",1.0,29,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市自強里7鄰長安街22號,"24.569718147272432, 120.82538055267777",1.0,30,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市自強里7鄰長安街16號,"24.570013348569862, 120.82542502384193",1.0,38,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市自強里7鄰忠孝一路129號,"24.691027686894806, 120.90946049500839",1.0,66,頭份分局,頭份派出所,
公寓,忠孝里1鄰,苗栗縣頭份市忠孝里1鄰長安街113號,"24.691248730312417, 120.91213502569637",1.0,382,頭份分局,頭份派出所,
公寓,自強里5鄰,苗栗縣頭份市自強里5鄰長生街14號,"24.691978476710847, 120.90972369686038",1.0,36,頭份分局,頭份派出所,
公寓,忠孝里9鄰,苗栗縣頭份市忠孝里9鄰長安街96號,"24.568066907651325, 120.82527355452984",1.0,22,頭份分局,頭份派出所,
公寓,自強里6鄰,苗栗縣頭份市自強里6鄰長安街106號,"24.567841823191248, 120.82524536802185",1.0,24,頭份分局,頭份派出所,
公寓,自強里6鄰,苗栗縣頭份市自強里6鄰忠孝一路195號,"24.69193008104057, 120.91120305268043",1.0,20,頭份分局,頭份派出所,
公寓,自強里6鄰,苗栗縣頭份市自強里6鄰長安街80弄1號,"24.692383980152705, 120.91090344104039",1.0,236,頭份分局,頭份派出所,
公寓,自強里6鄰,苗栗縣頭份市自強里6鄰忠孝二路74號,"24.6922881846265, 120.90896509686046",1.0,40,頭份分局,頭份派出所,
公寓,忠孝里9鄰,苗栗縣頭份市忠孝里9鄰長安街9號,"24.570125846573873, 120.82564732569384",1.0,22,頭份分局,頭份派出所,
公寓,自強里7鄰,苗栗縣頭份市自強里7鄰忠孝一路121號,"24.6908500750391, 120.90933628336838",1.0,25,頭份分局,頭份派出所,
公寓,忠孝里8鄰,苗栗縣頭份市忠孝里8鄰忠孝二路66號,"24.692422823620998, 120.90885222754841",1.0,38,頭份分局,頭份派出所,
公寓,忠孝里8鄰,苗栗縣頭份市忠孝里8鄰忠孝二路68號,"24.692205041192082, 120.90887891220441",1.0,40,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰中華路815號,"24.6820123004365, 120.90324489871227",1.0,24,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰中華路827號,"24.6822975376594, 120.90353929871219",1.0,37,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰中華路829號,"24.682149019137107, 120.90447942093621",1.0,29,頭份分局,頭份派出所,
公寓,民權里6鄰,苗栗縣頭份市民權里6鄰東民路19號,"24.68200671925963, 120.90270398336817",1.0,37,頭份分局,頭份派出所,
公寓,民權里1鄰,苗栗縣頭份市民權里1鄰中華路885巷6號,"24.68347359177287, 120.90498992331622",1.0,93,頭份分局,頭份派出所,
公寓,民權里1鄰,苗栗縣頭份市民權里1鄰中華路885巷2號,"24.68336375213081, 120.90486100056424",1.0,102,頭份分局,頭份派出所,
公寓,民權里1鄰,苗栗縣頭份市民權里1鄰中華路891號,"24.683124458261013, 120.90475670850016",1.0,30,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰東民路28號,"24.682505164669962, 120.90321393310418",1.0,280,頭份分局,頭份派出所,
大樓,民權里2鄰,苗栗縣頭份市民權里2鄰東民路35號,"24.682934658528268, 120.90341338469219",1.0,1104,頭份分局,頭份派出所,
公寓,民權里1鄰,苗栗縣頭份市民權里1鄰東民路29號,"24.68250721328223, 120.90295077728426",1.0,37,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰東興路97號,"24.68361400904151, 120.90494186934832",1.0,64,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰東興路99號,"24.683669457493654, 120.90432471220427",1.0,26,頭份分局,頭份派出所,
公寓,民權里8鄰,苗栗縣頭份市民權里8鄰東興路165巷22號,"24.68333100074339, 120.90201688336826",1.0,26,頭份分局,頭份派出所,
公寓,民權里2鄰,苗栗縣頭份市民權里2鄰東興路60巷4號,"24.683481451928287, 120.9061601410403",1.0,65,頭份分局,頭份派出所,
公寓,民權里8鄰,苗栗縣頭份市民權里8鄰三份9號之15,"24.683644194314155, 120.90197564104022",1.0,33,頭份分局,頭份派出所,
公寓,民權里8鄰,苗栗縣頭份市民權里8鄰三份9號之16,"24.683663691341625, 120.90185762384422",1.0,40,頭份分局,頭份派出所,
公寓,民權里5鄰,苗栗縣頭份市民權里5鄰中華路693號,"24.67998980439083, 120.90023709686008",1.0,22,頭份分局,頭份派出所,
公寓,民生里5鄰,苗栗縣頭份市民生街5號,"24.555687163880705, 120.81905133918548",1.0,25,頭份分局,頭份派出所,
公寓,民生里5鄰,苗栗縣頭份市民生街3號,"24.55996420223553, 120.81926931078324",1.0,26,頭份分局,頭份派出所,
進南萬公司,民生里3鄰,苗栗縣頭份市民生里3鄰光華街31弄7號,"24.55906836456831, 120.8251369238416",1.0,638,頭份分局,頭份派出所,
公寓,東庄里19鄰,苗栗縣頭份市華隆路29號,"24.685846802784038, 120.89950833918822",1.0,48,頭份分局,頭份派出所,
公寓,東庄里19鄰,苗栗縣頭份市東庄里19鄰民族路252號,"24.68536269708807, 120.9007809103522",1.0,160,頭份分局,頭份派出所,
台灣電力公司變電所,東庄里19鄰,苗栗縣頭份市東庄里19鄰民族路370號,"24.685654248104264, 120.89719998257655",1.0,314,頭份分局,頭份派出所,
公寓,東庄里6鄰,苗栗縣頭份市東庄里6鄰民族路313號,"24.685364993795687, 120.89803138257665",1.0,54,頭份分局,頭份派出所,
公寓,東庄里6鄰,苗栗縣頭份市東庄里6鄰自強路2段68號,"24.684410050245514, 120.89766699421763",1.0,426,頭份分局,頭份派出所,
大樓,東庄里6鄰,苗栗縣頭份市東庄里6鄰自強路2段25號,"24.68473039814091, 120.9003626249048",2.0,3521,頭份分局,頭份派出所,
公寓,東庄里9鄰,苗栗縣頭份市東庄里9鄰民族路414號,"24.685851699406236, 120.89524572490481",1.0,33,頭份分局,頭份派出所,
公寓,東庄里9鄰,苗栗縣頭份市東庄里9鄰民族路418號,"24.685840951065547, 120.89506180956131",1.0,41,頭份分局,頭份派出所,
公寓,東庄里9鄰,苗栗縣頭份市東庄里9鄰民族路426號,"24.685633748139566, 120.89490596723303",1.0,52,頭份分局,頭份派出所,
公寓,東庄里9鄰,苗栗縣頭份市東庄里9鄰民族路436號,"24.685734144703986, 120.89471121141243",1.0,26,頭份分局,頭份派出所,
公寓,東庄里9鄰,苗栗縣頭份市東庄里9鄰民族路438號,"24.68575414140354, 120.89464762490476",1.0,29,頭份分局,頭份派出所,
公寓,東庄里9鄰,苗栗縣頭份市東庄里9鄰民族路440號,"24.68562949327842, 120.89487588257667",1.0,20,頭份分局,頭份派出所,
公寓,東庄里15鄰,苗栗縣頭份市東庄里15鄰信義路195號,"24.689721148886786, 120.90213316723316",1.0,45,頭份分局,頭份派出所,
公寓,蟠桃里3鄰,苗栗縣頭份市蟠桃里3鄰蟠桃63號,"24.691990663907813, 120.9028994537409",1.0,269,頭份分局,頭份派出所,
公寓,蟠桃里4鄰,苗栗縣頭份市花園新城13號,"24.69089299519801, 120.8978611518896",1.0,26,頭份分局,頭份派出所,"24.69075189414212, 120.89792066756605"
公寓,蟠桃里4鄰,苗栗縣頭份市蟠桃里4鄰擁翠庭13號,"24.690525243735937, 120.90016091141263",1.0,400,頭份分局,頭份派出所,
公寓,蟠桃里6鄰,苗栗縣頭份市蟠桃100號之18,"24.692584779674995, 120.90370689421792",1.0,33,頭份分局,頭份派出所,
公寓,建國里10鄰,苗栗縣頭份市建國里10鄰信義路345號之3,"24.694857213521995, 120.89784409421794",1.0,53,頭份分局,頭份派出所,
公寓,建國里10鄰,苗栗縣頭份市建國里10鄰信義路343號,"24.694737132470248, 120.89796652490521",1.0,53,頭份分局,頭份派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路430號,"24.681018904827653, 120.88118783508794",1.0,26,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路434號,"24.68119213369115, 120.88115074736113",1.0,26,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路436號,"24.68126419933862, 120.88117126848508",1.0,26,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路432號,"24.68116030464681, 120.88121335314518",1.0,26,頭份分局,尖山派出所,
公寓,田寮里19鄰,苗栗縣頭份市田寮里19鄰自強路531號,"24.682366705214196, 120.885549099165",1.0,93,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路340號,"24.679522509885775, 120.88282345499007",1.0,36,頭份分局,尖山派出所,
公寓,田寮里21鄰,苗栗縣頭份市田寮里21鄰蘆竹路453號,"24.681185796960282, 120.88099836848514",1.0,200,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路353號,"24.679109454999217, 120.88266099732003",1.0,40,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路355號,"24.679173514944654, 120.88275639732014",1.0,60,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路359號,"24.679131459411728, 120.88260145498994",1.0,42,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路338號,"24.67959170516778, 120.88295264149505",1.0,36,頭份分局,尖山派出所,
公寓,田寮里8鄰,苗栗縣頭份市田寮里南田街175號,"24.68140845032442, 120.88602818382526",1.0,26,頭份分局,尖山派出所,
公寓,田寮里21鄰,苗栗縣頭份市田寮里21鄰蘆竹路453號,"24.68115655083666, 120.88096618198016",1.0,33,頭份分局,尖山派出所,
公寓,田寮里18鄰,苗栗縣頭份市田寮里18鄰蘆竹路438號,"24.681217655822177, 120.88110393965012",1.0,37,頭份分局,尖山派出所,
公寓,田寮里10鄰,苗栗縣頭份市田寮里10鄰維新街20號,"24.683171943882407, 120.88239272615512",1.0,65,頭份分局,尖山派出所,
公寓,田寮里21鄰,苗栗縣頭份市田寮里21鄰蘆竹路295號,"24.678162454851943, 120.88376133965001",1.0,180,頭份分局,尖山派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路764號,"24.68152934220721, 120.90288955188934",1.0,16,頭份分局,頭份派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路788號,"24.6818755439879, 120.90361436908422",1.0,16,頭份分局,頭份派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路790號,"24.68184200599272, 120.90354943839692",1.0,26,頭份分局,頭份派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路794號,"24.682000000375698, 120.90359383839704",1.0,46,頭份分局,頭份派出所,
公寓,民權里4鄰,苗栗縣頭份市民權里4鄰中華路734巷27號,"24.68034321087876, 120.90270235188925",1.0,22,頭份分局,頭份派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路734巷46號,"24.68002505779095, 120.90242289421754",1.0,25,頭份分局,頭份派出所,
公寓,民權里4鄰,苗栗縣頭份市民權里4鄰中華路734巷48號,"24.680040808951208, 120.90308886299688",1.0,25,頭份分局,頭份派出所,
公寓,民生里10鄰,苗栗縣頭份市民生里10鄰中華路533號,"24.677200411686176, 120.89613292490452",1.0,337,頭份分局,頭份派出所,
公寓,民生里9鄰,苗栗縣頭份市民生里9鄰中華路641號,"24.679273454582326, 120.89900764024827",1.0,133,頭份分局,頭份派出所,
公寓,民生里10鄰,苗栗縣頭份市民生里10鄰中華路521巷12號,"24.677441462236068, 120.89539780956103",1.0,54,頭份分局,頭份派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路736號,"24.6809299537225, 120.9021436402483",1.0,50,頭份分局,頭份派出所,
公寓,民權里3鄰,苗栗縣頭份市民權里3鄰中華路718號,"24.680669746816875, 120.9017351267559",1.0,40,頭份分局,頭份派出所,
公寓,仁愛里4鄰,苗栗縣頭份市仁愛里4鄰銀河路50號,"24.68414854466895, 120.90985664024834",1.0,30,頭份分局,頭份派出所,
公寓,仁愛里6鄰,苗栗縣頭份市仁愛里6鄰信義路3號,"24.683793954268108, 120.90942400956118",1.0,57,頭份分局,頭份派出所,
公寓,仁愛里5鄰,苗栗縣頭份市仁愛里5鄰信義路12號,"24.684080453819902, 120.90961599792014",1.0,46,頭份分局,頭份派出所,
公寓,仁愛里9鄰,苗栗縣頭份市仁愛里9鄰和平路19號,"24.683702297047088, 120.90801479421762",1.0,46,頭份分局,頭份派出所,
頭份市公所體育館,仁愛里1鄰,苗栗縣頭份市仁愛里1鄰中山路234號,"24.686906835619087, 120.91327550956132",1.0,260,頭份分局,頭份派出所,
公寓,仁愛里11鄰,苗栗縣頭份市仁愛里11鄰中興巷32號之16,"24.68337429768844, 120.90774630956119",1.0,28,頭份分局,頭份派出所,
公寓,仁愛里11鄰,苗栗縣頭份市仁愛里11鄰中興巷32號之14,"24.683403543291856, 120.90779995374064",1.0,28,頭份分局,頭份派出所,
公寓,仁愛里10鄰,苗栗縣頭份市仁愛里10鄰民族路1號,"24.682647296334572, 120.90730289421758",1.0,96,頭份分局,頭份派出所,
公寓,仁愛里9鄰,苗栗縣頭份市仁愛里9鄰和平路13號,"24.683570654617423, 120.9082291114124",1.0,106,頭份分局,頭份派出所,
公寓,仁愛里3鄰,苗栗縣頭份市仁愛里3鄰仁愛路8號,"24.684627643694594, 120.91064084024843",1.0,60,頭份分局,頭份派出所,
公寓,仁愛里11鄰,苗栗縣頭份市仁愛里11鄰中興巷32號之6,"24.683345052078185, 120.9077248518894",1.0,44,頭份分局,頭份派出所,
公寓,仁愛里11鄰,苗栗縣頭份市仁愛里11鄰中興巷32號之12,"24.68335480061571, 120.90858315876083",1.0,29,頭份分局,頭份派出所,
公寓,仁愛里12鄰,苗栗縣頭份市仁愛里12鄰銀河路30號,"24.68455034692645, 120.91088368257665",1.0,80,頭份分局,頭份派出所,
公寓,仁愛里12鄰,苗栗縣頭份市仁愛里12鄰日新街11號,"24.685371280995803, 120.91129635188942",1.0,50,頭份分局,頭份派出所,
公寓,仁愛里9鄰,苗栗縣頭份市仁愛里中山路64號,"24.683737748451854, 120.90787535188937",1.0,18,頭份分局,頭份派出所,
公寓,仁愛里9鄰,苗栗縣頭份市仁愛里9鄰中山路66號,"24.683728051419063, 120.90787663654584",1.0,37,頭份分局,頭份派出所,
公寓,仁愛里3鄰,苗栗縣頭份市仁愛里3鄰仁愛路11號,"24.684580595329567, 120.91026430956127",1.0,85,頭份分局,頭份派出所,
公寓,仁愛里1鄰,苗栗縣頭份市仁愛里1鄰中山路218號,"24.68649382978182, 120.9122953230536",1.0,21,頭份分局,頭份派出所,
公寓,仁愛里8鄰,苗栗縣頭份市仁愛里8鄰和平路14號,"24.683551300262213, 120.90850014024838",1.0,28,頭份分局,頭份派出所,
頭份市公所,仁愛里8鄰,苗栗縣頭份市仁愛里8鄰中山路234號,"24.686848346049256, 120.91336134024844",1.0,401,頭份分局,頭份派出所,
公寓,仁愛里11鄰,苗栗縣頭份市仁愛里11鄰銀河路106號,"24.682811350190864, 120.90780640956119",1.0,62,頭份分局,頭份派出所,
公寓,仁愛里14鄰,苗栗縣頭份市仁愛里14鄰中山路187號,"24.686741691103418, 120.91222643839718",1.0,50,頭份分局,頭份派出所,
公寓,仁愛里2鄰,苗栗縣頭份市中山路175號,"24.686317301999935, 120.91170019606895",1.0,30,頭份分局,頭份派出所,
公寓,仁愛里2鄰,苗栗縣頭份市仁愛里2鄰信東路31號,"24.686415750166177, 120.9116605942177",1.0,50,頭份分局,頭份派出所,
公寓,仁愛里2鄰,苗栗縣頭份市中山路175號,"24.686346546912887, 120.91170019606895",1.0,52,頭份分局,頭份派出所,
公寓,仁愛里2鄰,苗栗縣頭份市仁愛里2鄰信東路33號,"24.686469836576233, 120.91172063839717",1.0,41,頭份分局,頭份派出所,
公寓,仁愛里12鄰,苗栗縣頭份市仁愛里12鄰銀河路33號,"24.683519948860717, 120.90941212305354",1.0,354,頭份分局,頭份派出所,
公寓,仁愛里13鄰,苗栗縣頭份市仁愛里13鄰中山路212號,"24.686177747203295, 120.91174102305358",1.0,68,頭份分局,頭份派出所,
大樓,仁愛里11鄰,苗栗縣頭份市仁愛里11鄰銀河路92號,"24.68316050096527, 120.90839700956118",2.0,684,頭份分局,頭份派出所,
公寓,成功里10鄰,苗栗縣頭份市成功里10鄰建國路183號,"24.696686014195826, 120.90862234024874",1.0,30,頭份分局,頭份派出所,
公寓,成功里10鄰,苗栗縣頭份市成功里10鄰建國路185號,"24.69661540939455, 120.9085258960693",1.0,30,頭份分局,頭份派出所,
公寓,成功里7鄰,苗栗縣頭份市成功里7鄰信東路316號,"24.694341233151786, 120.9060818383974",1.0,30,頭份分局,頭份派出所,
公寓,成功里7鄰,苗栗縣頭份市成功里7鄰山下街69號,"24.695439536045086, 120.90738343839745",1.0,169,頭份分局,頭份派出所,
公寓,成功里7鄰,苗栗縣頭份市成功里蟠桃47之20號,"24.692436279965456, 120.90332996723325",1.0,26,頭份分局,頭份派出所,
公寓,成功里3鄰,苗栗縣頭份市成功里3鄰節約街34號,"24.69492502744615, 120.9081790095615",1.0,24,頭份分局,頭份派出所,
公寓,成功里3鄰,苗栗縣頭份市成功里3鄰節約街29號,"24.695153274650526, 120.90839548072569",1.0,22,頭份分局,頭份派出所,
公寓,成功里7鄰,苗栗縣頭份市成功里中興路60號,"24.69513333178812, 120.90787930956152",1.0,20,頭份分局,頭份派出所,
大樓,成功里2鄰,苗栗縣頭份市成功里2鄰建國路119號,"24.69557777382008, 120.91038135374103",2.0,2704,頭份分局,頭份派出所,
