電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局
XX0328," 新興區",光耀里,高雄市新興區中正三路5號,"22.630434,120.311047",1,"  1,124 ",新興分局
XX0329," 新興區",成功里,高雄市新興區林森一路230號,"22.63382674720717, 120.30513712308989",1,"  3,338 ",新興分局
XX0330," 新興區",永寧里,高雄市新興區五福二路172號,"22.624986,120.305986",1,"  200 ",新興分局
XX0335," 新興區",德望里,高雄市新興區復橫一路156之1號,"22.62948,120.308421",1,"  1,015 ",新興分局
XX0336," 新興區",德望里,高雄市新興區復興一路22號,"22.629138,120.308164",1,"  886 ",新興分局
XX0343," 新興區",明莊里,高雄市新興區中正四路72號,"22.630744,120.299266",1,"  149 ",新興分局
XX0349," 新興區",南港里,高雄市新興區仁愛一街291巷8號,"22.634708,120.307231",1,"  1,495 ",新興分局
XX0354," 新興區",仁聲里,高雄市新興區復興一路49號,"22.629916,120.307875",1,"  709 ",新興分局
XX0355," 新興區",德望里,高雄市新興區復興一路42號,"22.630026,120.308392",1,"  579 ",新興分局
QJ0170," 新興區",三川里,高雄市前金區七賢二路118號之底層,"22.63403213,120.297674069166",2,"  339 ",新興分局
XX0357," 新興區",仁聲里,高雄市新興區仁愛一街98號,"22.630175,120.307411",1,"  282 ",新興分局
XX0358," 新興區",秋山里,高雄市新興區六合二路30號,"22.632838,120.300835",1,"  304 ",新興分局
XX0359," 新興區",中東里,高雄市新興區復興一路74號,"22.633016,120.308505",1,"  270 ",新興分局
QJ0175," 前金區",東金里,高雄市前金區自強一路54號,"22.630638,120.293439",1,"  671 ",新興分局
QJ0176," 前金區",民生里,高雄市前金區中華三路81號,"22.62768,120.296244",1,"  371 ",新興分局
XX0364," 新興區",德望里,高雄市新興區中正三路31號之1,"22.63063119,120.309442167346",1,"  185 ",新興分局
QJ0178," 前金區",新生里,高雄市前金區市中一路272號,"22.632289,120.288921",1,"  534 ",新興分局
QJ0179," 前金區",社東里,高雄市前金區五福三路102號,"22.621534,120.295546",1,"  244 ",新興分局
XX0367," 新興區",振成里,高雄市新興區仁智街304號,"22.622982,120.302105",1,"  169 ",新興分局
XX0368," 前金區",玉衡里,高雄市新興區中山一路10之2號,"22.625264,120.301563",1,"  114 ",新興分局
XX0370," 新興區",愛平里,高雄市新興區興華路62號,"22.632245,120.303618",1,"  334 ",新興分局
XX0374," 新興區",德望里,高雄市新興區錦田路43號,"22.629835,120.31005",1,"  354 ",新興分局
XX0377," 新興區",振成里,高雄市新興區文化路97號,"22.622605,120.30253",1,"  344 ",新興分局
XX0388," 新興區",長驛里,高雄市新興區明星街68號,"22.633592,120.29901",1,"  193 ",新興分局
QJ0182," 前金區",新生里,高雄市前金區七賢二路329號,"22.630994,120.290048",3,"  940 ",新興分局
QJ0184," 前金區",博孝里,高雄市前金區五福三路122號,"22.620936,120.292738",1,"  659 ",新興分局
XX0393," 新興區",成功里,高雄市新興區忠孝一路344號,"22.632346,120.306335",1,"  146 ",新興分局
QJ0188," 前金區",長城里,高雄市前金區瑞源路75號,"22.63070269,120.297601767346",1,"  292 ",新興分局
XX0409," 新興區",秋山里,高雄市新興區明星街42號,"22.63391439,120.299912496183",1,"  206 ",新興分局
QJ0192," 前金區",東金里,高雄市前金區中正四路168號,"22.629445,120.295244",3,"  992 ",新興分局
XX0425," 新興區",南港里,高雄市新興區八德一路194號,"22.635742,120.308181",1,"  535 ",新興分局
QJ0197," 前金區",三川里,高雄市前金區瑞源路192號,"22.634913,120.296242",1,"  52 ",新興分局
QJ0198," 前金區",東金里,高雄市前金區文武一街18號,"22.62995,120.294912",1,"  498 ",新興分局
QJ0199," 前金區",東金里,高雄市前金區七賢二路203號,"22.632375,120.293983",1,"  509 ",新興分局
QJ0200," 前金區",文東里,高雄市前金區五福三路21號,"22.622312,120.299715",2,"  876 ",新興分局
XX0435," 新興區",光耀里,高雄市新興區民生一路40號,"22.628278,120.31151",1,"  119 ",新興分局
QJ0204," 前金區",青山里,高雄市前金區新盛二街83號,"22.628603,120.297055",1,"  544 ",新興分局
QJ0205," 前金區",長城里,高雄市前金區瑞源路88號,"22.631352,120.297573",1,"  312 ",新興分局
QJ0206," 前金區",國民里,高雄市前金區民生二路202號,"22.624213,120.290678",3,"  10,878 ",新興分局
QJ0210," 前金區",社東里,高雄市前金區自強二路59號,"22.623559,120.295723",1,"  169 ",新興分局
XX0439," 新興區",中東里,高雄市新興區六合一路96巷18號,"22.633338,120.307975",1,"  3,072 ",新興分局
XX0440," 新興區",建華里,高雄市新興區八德二路10號,"22.63618249,120.301502067346",1,"  419 ",新興分局
XX0441," 新興區",建華里,高雄市新興區八德二路6號,"22.636201,120.301706",1,"  462 ",新興分局
QJ0211," 前金區",東金里,高雄市前金區榮安街43號,"22.630901,120.293665",1,"  150 ",新興分局
XX0443," 新興區",德望里,高雄市新興區達仁街111號,"22.630299,120.308773",1,"  122 ",新興分局
XX0445," 新興區",大明里,高雄市新興區中正四路53號,"22.630496,120.300034",1,"  795 ",新興分局
XX0451," 新興區",南港里,高雄市新興區七賢一路398號,"22.634463,120.306861",2,"  1,456 ",新興分局
QJ0212," 前金區",東金里,高雄市前金區自強一路36號,"22.629961,120.293721",1,"  169 ",新興分局
XX0454," 新興區",建華里,高雄市新興區七賢二路102號,"22.634263,120.298263",1,"  153 ",新興分局
XX0462," 新興區",永寧里,高雄市新興區五福二路198號,"22.624756,120.305299",1,"  199 ",新興分局
XX0463," 新興區",愛平里,高雄市新興區林森一路203巷37號,"22.632407,120.303495",1,"  91 ",新興分局
XX0464," 新興區",順昌里,高雄市新興區七賢一路106號,"22.63397,120.314231",1,"  183 ",新興分局
XX0468," 新興區",黎明里,高雄市新興區中山一路210號,"22.633478,120.302463",1,"  121 ",新興分局
QJ0214," 前金區",東金里,高雄市前金區七賢二路201號,"22.632411,120.294175",1,"  178 ",新興分局
QJ0215," 前金區",博孝里,高雄市前金區河東路2號,"22.621146,120.291123",1,"  558 ",新興分局
XX0469," 新興區",新江里,高雄市新興區七賢一路480號,"22.634677,120.304089",1,"  688 ",新興分局
QJ0216," 前金區",長城里,高雄市前金區瑞源路72號,"22.630793,120.29786",1,"  324 ",新興分局
QJ0217," 前金區",社西里,高雄市前金區民生二路227號,"22.623529,120.291192",1,"  507 ",新興分局
QJ0218," 前金區",新生里,高雄市前金區七賢二路328號,"22.63164689,120.29060133851",1,"  459 ",新興分局
XX0472," 新興區",仁聲里,高雄市新興區復興一路19號,"22.628796,120.307809",1,"  798 ",新興分局
XX0473," 新興區",仁聲里,高雄市新興區中正三路61號,"22.63072,120.30794",3,"  427 ",新興分局
XX0475," 新興區",新江里,高雄市新興區七賢一路464號,"22.634661,120.30463",1,"  94 ",新興分局
QJ0222," 前金區",長生里,高雄市前金區民生二路71號,"22.625205,120.296229",1,"  858 ",新興分局
QJ0223," 前金區",社東里,高雄市前金區自強二路41號,"22.62318,120.295906",1,"  160 ",新興分局
QJ0224," 前金區",後金里,高雄市前金區中正四路226號,"22.629079,120.292734",1,"  658 ",新興分局
QJ0225," 前金區",林投里,高雄市前金區自強二路169號,"22.627535,120.294278",1,"  641 ",新興分局
XX0493," 前金區",愛平里,高雄市新興區六合一路159之4號,"22.632767,120.303147",1,"  176 ",新興分局
QJ0228," 前金區",博孝里,高雄市前金區市中一路7號,"22.621084,120.291512",1,"  324 ",新興分局
XX0501," 新興區",德生里,高雄市新興區民生一路99號,"22.62762997945902, 120.3115729387458",1,"  685 ",新興分局
XX0502," 新興區",德生里,高雄市新興區民生一路23號,"22.62810298535493, 120.3129912387459",1,"  523 ",新興分局
XX0503," 新興區",中東里,高雄市新興區中正三路54號,"22.631157,120.309",1,"  143 ",新興分局
XX0505," 新興區",光耀里,高雄市新興區渤海街16號,"22.63008,120.312479",1,"  1,207 ",新興分局
XX0527," 新興區",德望里,高雄市新興區中正三路45號,"22.630588,120.308795",2,"  604 ",新興分局
XX0549," 新興區",永寧里,高雄市新興區五福二路196號,"22.624775,120.305379",1,"  708 ",新興分局
XX0556," 新興區",秋山里,高雄市新興區民主路9號,"22.633216,120.300668",1,"  356 ",新興分局
XX0558," 新興區",振成里,高雄市新興區文化路58之3號,"22.623389,120.304282",1,"  339 ",新興分局
QJ0248," 前金區",民生里,高雄市前金區中華三路89號,"22.627986,120.29611",1,"  173 ",新興分局
XX0564," 新興區",順昌里,高雄市新興區七賢一路25號,"22.633337,120.315974",1,"  417 ",新興分局
XX0570," 新興區",中東里,高雄市新興區七賢一路321號,"22.634015,120.307813",1,"  1,423 ",新興分局
XX0588," 新興區",明莊里,高雄市新興區中山橫路47號,"22.631653,120.30049",1,"  72 ",新興分局
XX0592," 新興區",振成里,高雄市新興區五福二路195號,"22.623289,120.302111",1,"  113 ",新興分局
XX0601," 新興區",成功里,高雄市新興區六合一路63之1號,"22.63247,120.307633",1,"  110 ",新興分局
XX0603," 新興區",秋山里,高雄市新興區七賢二路25號,"22.634481,120.300856",1,"  610 ",新興分局
QJ0256," 前金區",青山里,高雄市前金區中正四路143號,"22.629352,120.296595",1,"  479 ",新興分局
QJ0257," 前金區",長生里,高雄市前金區中華三路53號,"22.624849,120.297341",1,"  410 ",新興分局
XX0607," 新興區",文昌里,高雄市新興區中正二路192號,"22.630728,120.316153",1,"  512 ",新興分局
XX0608," 新興區",文昌里,高雄市新興區中正二路190號,"22.630718,120.316276",1,"  264 ",新興分局
XX0627," 新興區",成功里,高雄市新興區中正三路110號,"22.63145,120.305693",1,"  237 ",新興分局
XX0630," 新興區",成功里,高雄市新興區中正三路134號,"22.631484,120.305",1,"  221 ",新興分局
QJ0259," 前金區",長城里,高雄市前金區瑞源路78號,"22.631136,120.297729",1,"  188 ",新興分局
XX0635," 新興區",開平里,高雄市新興區錦田路135巷33號,"22.634962,120.309825",1,"  239 ",新興分局
XX0636," 新興區",秋山里,高雄市新興區中山一路183號,"22.633365,120.301778",1,"  165 ",新興分局
XX0637," 新興區",新江里,高雄市新興區中山一路308號,"22.636413,120.302722",2,"  962 ",新興分局
XX0639," 新興區",南港里,高雄市新興區忠孝一路456號,"22.634551,120.306492",2,"  813 ",新興分局
XX0645," 新興區",浩然里,高雄市新興區五福二路3號,"22.625236778324307, 120.30877633099703",1,"  1,063 ",新興分局
QJ0268," 前金區",林投里,高雄市前金區中正四路261號,"22.627101,120.289858",1,"  316 ",新興分局
QJ0269," 前金區",長生里,高雄市前金區光復一街2號,"22.623694,120.297693",1,"  1,187 ",新興分局
XX0649," 新興區",長驛里,高雄市新興區七賢二路89號,"22.633976,120.298779",1,"  119 ",新興分局
XX0650," 新興區",大明里,高雄市新興區中正四路1號,"22.63079,120.301382",1,"  168 ",新興分局
XX0651," 新興區",秋山里,高雄市新興區七賢二路71號,"22.634224,120.29955",1,"  367 ",新興分局
XX0655," 新興區",秋山里,高雄市新興區七賢二路65號,"22.634277,120.299718",1,"  220 ",新興分局
QJ0271," 前金區",長生里,高雄市前金區五福三路60號,"22.621993,120.296993",1,"  466 ",新興分局
QJ0272," 前金區",新生里,高雄市前金區賢中街3號,"22.631325,120.288676",1,"  194 ",新興分局
XX0657," 新興區",成功里,高雄市新興區中正三路78之1號,"22.63127379,120.307718625019",1,"  238 ",新興分局
QJ0276," 前金區",長城里,高雄市前金區中華三路232號,"22.633956,120.294354",2,"  536 ",新興分局
XX0665," 新興區",中東里,高雄市新興區中正三路68之4號,"22.631191,120.308443",1,"  96 ",新興分局
QJ0277," 前金區",文東里,高雄市前金區中山二路533號,"22.620659,120.301548",1,"  566 ",新興分局
QJ0278," 前金區",草江里,高雄市前金區七賢二路183號,"22.633071,120.296098",1,"  212 ",新興分局
QJ0281," 前金區",新生里,高雄市前金區七賢二路377號,"22.630517,120.28852",1,"  126 ",新興分局
QJ0282," 前金區",新生里,高雄市前金區七賢二路426號,"22.630749,120.287764",1,"  781 ",新興分局
XX0674," 新興區",大明里,高雄市新興區大同一路180號,"22.62909,120.300895",1,"  432 ",新興分局
XX0681," 新興區",仁聲里,高雄市新興區復興一路51號,"22.630023,120.307879",1,"  1,017 ",新興分局
QJ0283," 前金區",青山里,高雄市前金區中華三路98號,"22.628312,120.296559",1,"  553 ",新興分局
XX0684," 新興區",大明里,高雄市新興區中正四路25號,"22.630807,120.300867",1,"  150 ",新興分局
QJ0284," 前金區",三川里,高雄市前金區七賢二路156號,"22.633704,120.296701",1,"  341 ",新興分局
XX0701," 新興區",建華里,高雄市新興區七賢二路86號,"22.634454,120.298886",1,"  480 ",新興分局
XX0705," 新興區",成功里,高雄市新興區中正三路129號,"22.630889,120.305223",1,"  335 ",新興分局
QJ0292," 前金區",三川里,高雄市前金區七賢二路122號,"22.633942,120.297393",1,"  396 ",新興分局
XX0710," 新興區",振成里,高雄市新興區文化路65號,"22.623099,120.303993",1,"  232 ",新興分局
XX0712," 新興區",成功里,高雄市新興區中正三路84號,"22.631295,120.307486",1,"  313 ",新興分局
QJ0293," 前金區",榮復里,高雄市前金區自強三路277號,"22.620909,120.296835",1,"  134 ",新興分局
XX0715," 新興區",長驛里,高雄市新興區明星街66號,"22.633634,120.299083",1,"  367 ",新興分局
XX0719," 新興區",南港里,高雄市新興區仁愛一街296號,"22.634964,120.307799",1,"  85 ",新興分局
QJ0294," 前金區",博孝里,高雄市前金區五福三路122號,"22.62192103838953, 120.29412097973614",1,"  1,368 ",新興分局
XX0721," 新興區",新江里,高雄市新興區八德一路330號,"22.636023,120.304329",1,"  559 ",新興分局
XX0722," 新興區",黎明里,高雄市新興區六合一路174號,"22.633118,120.302739",1,"  200 ",新興分局
QJ0297," 前金區",長生里,高雄市前金區五福三路50號,"22.622185,120.297563",1,"  510 ",新興分局
QJ0300," 前金區",青山里,高雄市前金區中正四路87號,"22.630019,120.298638",2,"  705 ",新興分局
XX0727," 新興區",秋山里,高雄市新興區六合二路56號,"22.632601,120.300156",1,"  171 ",新興分局
XX0728," 新興區",建華里,高雄市新興區七賢二路42號,"22.634903,120.300296",1,"  83 ",新興分局
XX0733," 新興區",愛平里,高雄市新興區中山一路162號,"22.632375,120.302342",1,"  205 ",新興分局
QJ0302," 前金區",新生里,高雄市前金區七賢二路356號,"22.631489,120.290035",1,"  126 ",新興分局
XX0740," 新興區",開平里,高雄市新興區河南一路1之1號,"22.636526,120.311955",1,"  488 ",新興分局
XX0741," 新興區",德生里,高雄市新興區民生一路185號,"22.627233,120.309901",1,"  162 ",新興分局
XX0742," 新興區",德生里,高雄市新興區民生一路183號,"22.627179,120.309985",1,"  120 ",新興分局
QJ0305," 前金區",博孝里,高雄市前金區市中一路39號,"22.622053,120.292022",1,"  236 ",新興分局
QJ0307," 前金區",草江里,高雄市前金區中華三路156號,"22.631485,120.295272",1,"  702 ",新興分局
XX0757," 新興區",建華里,高雄市新興區中山一路263號,"22.635408,120.301911",1,"  671 ",新興分局
XX0758," 新興區",中東里,高雄市新興區七賢一路393號,"22.633899,120.306945",1,"  249 ",新興分局
QJ0310," 前金區",後金里,高雄市前金區六合二路278號,"22.629882627003212, 120.29003981011144",1,"  1,302 ",新興分局
QJ0311," 前金區",長城里,高雄市前金區六合二路145號之1,"22.63101129,120.296378267346",1,"  433 ",新興分局
QJ0312," 前金區",青山里,高雄市前金區瑞源路31之1號,"22.628944,120.29821",1,"  1,675 ",新興分局
QJ0313," 前金區",草江里,高雄市前金區草江里新盛一街47號,"22.631381,120.296012",1,"  381 ",新興分局
QJ0314," 前金區",後金里,高雄市前金區中正四路258號,"22.628143,120.29134",1,"  1,140 ",新興分局
XX0770," 新興區",中東里,高雄市新興區七賢一路299號,"22.633897,120.308908",1,"  953 ",新興分局
QJ0315," 前金區",長生里,高雄市前金區中華三路5號,"22.622855,120.298122",1,"  270 ",新興分局
QJ0316," 前金區",長生里,高雄市前金區中華三路7號,"22.622965,120.298088",1,"  189 ",新興分局
XX0782," 新興區",建華里,高雄市新興區七賢二路74號,"22.634602,120.299338",1,"  681 ",新興分局
QJ0325," 前金區",長生里,高雄市前金區民生二路67號,"22.62526,120.296398",1,"  198 ",新興分局
XX0792," 新興區",南港里,高雄市新興區七賢一路430號,"22.634557,120.305564",1,"  538 ",新興分局
QJ0330," 前金區",社西里,高雄市前金區民生二路205號,"22.623612,120.291501",1,"  192 ",新興分局
QJ0331," 前金區",青山里,高雄市前金區瑞源路26號,"22.628917,120.298574",1,"  200 ",新興分局
QJ0333," 前金區",長城里,高雄市前金區中華三路126號,"22.63020349,120.295778767346",1,"  301 ",新興分局
XX0794," 新興區",秋山里,高雄市新興區明星街5號,"22.633949,120.300939",1,"  685 ",新興分局
QJ0334," 前金區",文西里,高雄市前金區五福三路59號,"22.621617,120.297619",3,"  2,694 ",新興分局
QJ0335," 前金區",東金里,高雄市前金區中華三路129號,"22.62988,120.295452",2,"  409 ",新興分局
QJ0336," 前金區",復元里,高雄市前金區中華三路67號,"22.626408,120.296705",1,"  704 ",新興分局
XX0812," 新興區",德生里,高雄市新興區五福一街2號之1,"22.62608689,120.308828267346",1,"  905 ",新興分局
XX0813," 新興區",光耀里,高雄市新興區民生一路52號,"22.628112,120.3109",1,"  346 ",新興分局
XX0816," 新興區",浩然里,高雄市新興區五福二路3號,"22.62452374939731, 120.30921621328498",1,"  1,246 ",新興分局
XX0817," 新興區",永寧里,高雄市新興區五福二路200號,"22.624693,120.305122",1,"  772 ",新興分局
XX0818," 新興區",興昌里,高雄市新興區中正三路28號,"22.631025,120.311798",1,"  225 ",新興分局
XX0823," 新興區",成功里,高雄市新興區中正三路88號,"22.631294,120.307126",1,"  371 ",新興分局
XX0827," 新興區",南港里,高雄市新興區七賢一路424號,"22.63453,120.305822",1,"  334 ",新興分局
XX0828," 新興區",永寧里,高雄市新興區德智街33號,"22.626251,120.306257",1,"  157 ",新興分局
QJ0346," 前金區",國民里,高雄市前金區大同二路61號,"22.626351,120.293921",1,"  825 ",新興分局
XX0833," 新興區",德政里,高雄市新興區球庭路7之1號,"22.630047,120.306923",1,"  566 ",新興分局
QJ0348," 前金區",青山里,高雄市前金區自立橫路65號,"22.629214,120.299035",1,"  1,231 ",新興分局
XX0837," 新興區",黎明里,高雄市新興區中山一路242號,"22.634208,120.302533",1,"  921 ",新興分局
QJ0350," 前金區",長城里,高雄市前金區中正四路136號,"22.630077,120.297095",1,"  416 ",新興分局
XX0841," 新興區",長驛里,高雄市新興區南台路127號,"22.633987,120.299085",1,"  410 ",新興分局
QJ0354," 前金區",榮復里,高雄市前金區五福三路87號,"22.621067,120.29584",2,"  736 ",新興分局
XX0852," 新興區",開平里,高雄市新興區開封路449號,"22.636256,120.311952",1,"  772 ",新興分局
XX0853," 新興區",文昌里,高雄市新興區尚義街138號,"22.631727,120.315498",1,"  456 ",新興分局
XX0857," 新興區",光耀里,高雄市新興區南海街2號,"22.628305,120.311257",1,"  111 ",新興分局
XX0861," 新興區",華聲里,高雄市新興區忠孝一路147號,"22.627973,120.30564",1,"  172 ",新興分局
XX0862," 新興區",新江里,高雄市新興區八德一路392號,"22.636106,120.302691",2,"  160 ",新興分局
XX0871," 新興區",德政里,高雄市新興區中正三路93號,"22.630725,120.307208",1,"  309 ",新興分局
XX0872," 新興區",振成里,高雄市新興區文化路56號,"22.623498,120.30463",1,"  148 ",新興分局
XX0874," 新興區",振成里,高雄市新興區林森一路14號,"22.624945,120.304975",1,"  917 ",新興分局
XX0875," 新興區",光耀里,高雄市新興區民生一路22號,"22.628443,120.311997",1,"  645 ",新興分局
QJ0361," 前金區",草江里,高雄市前金區七賢二路189號,"22.632988,120.295911",1,"  514 ",新興分局
QJ0363," 前金區",復元里,高雄市前金區中華三路68號,"22.626989,120.297205",2,"  1,327 ",新興分局
QJ0366," 前金區",後金里,高雄市前金區中正四路264號,"22.627662,120.289591",1,"  231 ",新興分局
XX0888," 新興區",興昌里,高雄市新興區六合一路27號,"22.632092,120.312123",1,"  375 ",新興分局
QJ0367," 前金區",長城里,高雄市前金區中山橫路95號,"22.631067,120.298665",1,"  861 ",新興分局
XX0895," 新興區",振華里,高雄市新興區文橫二路119號,"22.621005,120.304316",1,"  167 ",新興分局
QJ0370," 前金區",新生里,高雄市前金區河南二路196號,"22.632247,120.287426",1,"  1,644 ",新興分局
QJ0371," 前金區",長城里,高雄市前金區七賢二路220之8號,"22.632726,120.293799",1,"  159 ",新興分局
XX0903," 新興區",中東里,高雄市新興區七賢一路249號,"22.633842,120.309702",2,"  1,891 ",新興分局
QJ0374," 前金區",社東里,高雄市前金區自強二路75號,"22.624262,120.295511",1,"  90 ",新興分局
XX0904," 新興區",興昌里,高雄市新興區信守街121號,"22.631363,120.312734",1,"  188 ",新興分局
XX0906," 新興區",興昌里,高雄市新興區中正三路2號,"22.630956,120.312712",3,"  1,587 ",新興分局
XX0912," 新興區",東坡里,高雄市新興區中山一路86號,"22.630441,120.302167",1,"  158 ",新興分局
XX0914," 新興區",南港里,高雄市新興區南華橫二路33號,"22.634889,120.306629",1,"  667 ",新興分局
QJ0377," 前金區",社西里,高雄市前金區民生二路207號,"22.623584,120.291396",1,"  204 ",新興分局
QJ0379," 前金區",國民里,高雄市前金區大同二路61號,"22.626351,120.293921",1,"  453 ",新興分局
XX0927," 新興區",振成里,高雄市新興區文化路83號,"22.622741,120.303004",1,"  262 ",新興分局
QJ0381," 前金區",東金里,高雄市前金區七賢二路201之3號,"22.632394,120.294107",1,"  124 ",新興分局
XX0934," 新興區",中東里,高雄市新興區七賢一路393號,"22.633899,120.306945",1,"  300 ",新興分局
