電腦編號,建築物名稱,里別,緯度,經度,避難樓層,轄管分局,可容納人數,備註
A0050,利菱企業(股)公司,湧光里,"24.897705 ","121.206817 ",B01,平鎮分局,55.0,
A0051,聯祥企業(股)公司,湧光里,"24.897203 ","121.206791 ",B01,平鎮分局,56.0,
A0055,溱濠機械有限公司,湧安里,"24.897362 ","121.200614 ",B01,平鎮分局,50.0,
A0056,宏嘉電器工業(股)公司,湧安里,"24.897205 ","121.202546 ",B01,平鎮分局,313.0,
A0059,慶榮發企業(股)公司,湧安里,24.8971674,121.2002742,B01,平鎮分局,71.0,
A0061,志順企業(股)公司,湧安里,"24.897126 ","121.199805 ",B01,平鎮分局,168.0,
A0065,祥竑科技(股)公司,湧安里,"24.896920 ","121.203487 ",B01,平鎮分局,142.0,
A0066,志順企業(股)公司,湧安里,"24.897253 ","121.203144 ",B01,平鎮分局,191.0,
A0067,健鼎科技(股)公司,湧安里,"24.896663 ","121.203845 ",B01,平鎮分局,157.0,
A0069,臺灣厚木工業(股)公司,湧安里,"24.897253 ","121.203144 ",B01,平鎮分局,175.0,
A0070,平鎮區農會,平南里,,,B01,平鎮分局,798.0,
A0072,仁寶電腦工業(股)公司,南勢里,24.9199957,121.2132536,B01,平鎮分局,3425.0,
A0074,大潤發,南勢里,24.9206831,121.2130813,B01,平鎮分局,5338.0,
A0075,技嘉科技(股)公司,金星里,"24.920246 ","121.205564 ",B01,平鎮分局,3881.0,
A0077,華信光電科技(股)公司,鎮興里,"24.900092 ","121.192290 ",B01,平鎮分局,2245.0,
A0078,華宇光能(股)公司,鎮興里,"24.900092 ","121.192290 ",B01B02,平鎮分局,1874.0,
A0079,合信汽車工業(股)公司,鎮興里,"24.894112 ","121.189281 ",B01,平鎮分局,76.0,
A0080,富奧特公司,鎮興里,"24.896260 ","121.188750 ",B01,平鎮分局,234.0,
A0081,九泓有限公司,鎮興里,"24.896157 ","121.188127 ",B01,平鎮分局,138.0,
A0084,美磊科技(股)公司,湧豐里,"24.900179 ","121.199487 ",B01,平鎮分局,750.0,
A0088,山豐國小,山峰里,"24.896440 ","121.213061 ",B01,平鎮分局,333.0,
A0089,南勢國小,南勢里,"24.913476 ","121.210641 ",B01,平鎮分局,932.0,
A0091,凱琦工業(股)公司,平南里,"24.906892 ","121.206499 ",B01,平鎮分局,603.0,
A0093,裕群光電,平南里,"24.907474 ","121.206384 ",B01,平鎮分局,257.0,
A0094,快樂斑比幼稚園,平南里,"24.908887 ","121.208145 ",B01,平鎮分局,53.0,
A0096,亞德光機(股)公司,平南里,"24.908690 ","121.207215 ",B01,平鎮分局,1113.0,
A0097,東方之星2期社區,金星里,"24.913922 ","121.206513 ",B01,平鎮分局,543.0,
A0098,東方之星2期社區,金星里,"24.914917 ","121.206490 ",B01,平鎮分局,2524.0,
A0099,東方之星1期社區,金星里,"24.913592 ","121.207518 ",B01,平鎮分局,2853.0,
A0100,平鎮分局,平鎮分局,,,B01,平鎮分局,625.0,
A0102,平鎮幼兒園紹豐分班,湧光里,"24.896802 ","121.209666 ",B01,平鎮分局,55.0,
A0103,家安幼稚園,湧光里,"24.891835 ","121.204432 ",B01,平鎮分局,534.0,
A0104,衛肯生技製藥(股)公司,湧安里,"24.897108 ","121.200510 ",B01,平鎮分局,2181.0,
A0105,宜誠臻邸社區,金星里,"24.914555 ","121.206484 ",B01B02B03,平鎮分局,1890.0,
A0106,雲鼎社區,平南里,"24.913209 ","121.206095 ",B01B02,平鎮分局,1488.0,
A0107,臺灣晶技(股)公司,湧安里,"24.898504 ","121.198958 ",B01,平鎮分局,1112.0,
A0109,美麗殿社區,金星里,"24.914063 ","121.206760 ",B01B02,平鎮分局,1310.0,
A0110,臺灣晶技(股)公司,湧安里,"24.898504 ","121.198958 ",B01,平鎮分局,650.0,
A0112,臺灣晶技(股)公司,湧安里,"24.898504 ","121.198958 ",B01,平鎮分局,1605.0,
A0113,巢世代社區,金星里,"24.918033 ","121.205008 ",B01B02B03,平鎮分局,1071.0,
A0114,三秀1景社區,湧安里,"24.894359 ","121.201786 ",B01,平鎮分局,789.0,
A0115,明富臻品社區,平安里,"24.920124 ","121.210664 ",B01,平鎮分局,252.0,
A0116,四季行館社區,莊敬里,"24.903979 ","121.212052 ",B01B02,平鎮分局,3146.0,
A0117,全新光電科技(股)公司,湧豐里,"24.904942 ","121.203674 ",B01,平鎮分局,1008.0,
A0118,耀太心聚社區,金星里,"24.915607 ","121.206880 ",B01B02,平鎮分局,494.0,
A0119,平鎮育樂有限公司,湧豐里,"24.900656 ","121.210936 ",B01,平鎮分局,380.0,
A0120,東京晴社區,平安里,"24.918447 ","121.210250 ",B01B02,平鎮分局,295.0,
A0121,大清祥安社區,湧安里,"24.894416 ","121.204095 ",B01B02B03,平鎮分局,1565.0,
A0122,御皇苑社區,平南里,"24.912829 ","121.207174 ",B01B02,平鎮分局,788.0,
A0123,大清馥御,金星里,"24.916402 ","121.205127 ",B01B02,平鎮分局,1733.0,
A0124,美活市社區,平安里,"24.919450 ","121.207535 ",B01B02B03,平鎮分局,2530.0,
A0125,鼎藏悅華社區,金星里,"24.915513 ","121.206378 ",B01B02B03,平鎮分局,945.0,
A0126,京沅夢想家社區,平安里,"24.920726 ","121.205252 ",B01B02,平鎮分局,1203.0,
A0127,大清時尚社區,金星里,"24.917505 ","121.205195 ",B01,平鎮分局,173.0,
A0128,春天行館社區,莊敬里,"24.903487 ","121.212042 ",B01,平鎮分局,2296.0,
A0129,大清MBA社區,福林里,"24.901095 ","121.224408 ",B01,平鎮分局,1325.0,
A0130,春天行館社區,莊敬里,"24.903377 ","121.212676 ",B01B02B03,平鎮分局,185.0,
A0131,如意之星社區,金星里,"24.916912 ","121.202668 ",B01B02B03,平鎮分局,1279.0,
A0132,幸福公園社區,平南里,"24.911046 ","121.208761 ",B01B02B03,平鎮分局,3060.0,
A0133,合遠家和雅苑社區,南勢里,"24.920485 ","121.212255 ",B01B02B03,平鎮分局,727.0,
A0134,皇京圓社區,金星里,"24.918185 ","121.203521 ",B01B02,平鎮分局,195.0,
A0135,合遠家和心苑社區,南勢里,"24.920501 ","121.212438 ",B01B02B03,平鎮分局,1041.0,
A0136,茂捷雲耀社區,平鎮里,"24.926375 ","121.195620 ",B01B02,平鎮分局,1614.0,
A0137,品東西股份有限公司,平南里,"24.918420 ","121.210889 ",B01,平鎮分局,1490.0,
A0138,京戀社區-葉曼玲,平安里,"24.916625 ","121.208338 ",B01B02B03,平鎮分局,1982.0,
A0140,騰信工業股份有限公司,平南里,"24.906862 ","121.205538 ",B01,平鎮分局,1293.0,
A0141,鼎藏樸麗Ⅰ社區,金星里,"24.915301 ","121.207230 ",B01B02B03,平鎮分局,2618.0,
A0142,臺灣家樂福股份有限公司,莊敬里,"24.902636 ","121.212451 ",B01B02,平鎮分局,3179.0,
A0143,櫻花時代社區,平南里,"24.907782 ","121.211540 ",B01B02B03,平鎮分局,1072.0,
A0144,鼎藏璞麗Ⅱ主區,金星里,"24.915868 ","121.205576 ",B01B02B03,平鎮分局,2605.0,
A0145,湧光禪寺,湧光里,"24.893988 ","121.206129 ",B01,平鎮分局,1426.0,
A0146,三秀吉錦社區,湧安里,"24.893722 ","121.203584 ",B01B02,平鎮分局,1003.0,
A0147,進化論社區,平安里,"24.917783 ","121.210045 ",B01B02B03,平鎮分局,1598.0,
A0148,大清新世界社區,金星里,"24.913491 ","121.204990 ",B01B02B03,平鎮分局,2172.0,
A0149,正旻工業股份有限公司負責人,平南里,"24.908512 ","121.206559 ",B01,平鎮分局,962.0,
A0150,宜雄丰賦社區,平安里,"24.921555 ","121.211393 ",B01B02,平鎮分局,1869.0,
A0151,誼山精機股份有限公司,平南里,"24.907865 ","121.209326 ",B01,平鎮分局,1764.0,
A0152,厚陞禾社區,平鎮里,"24.927679 ","121.196785 ",B01,平鎮分局,801.0,
A0153,寶欣里安社區,福林里,"24.903123 ","121.215542 ",B01B02,平鎮分局,1538.0,
A0154,中華精測科技(股)公司,湧豐里,"24.903853 ","121.199954 ",B01B02,平鎮分局,6641.0,
A0155,淘堡社區,鎮興里,"24.902873 ","121.192252 ",B01B02,平鎮分局,382.0,
A0156,凱琦工業股份有限公司,鎮興里,"24.921677 ","121.192590 ",B01,平鎮分局,1047.0,
A0157,威諾那社區,平南里,"24.911289 ","121.209160 ",B01B02,平鎮分局,2747.0,
A0158,桃園市立圖書館山子頂圖書分館,莊敬里,"24.901365 ","121.213244 ",B01,平鎮分局,328.0,
A0159,宜誠禾雅社區,湧安里,"24.890586 ","121.202892 ",B01,平鎮分局,636.0,
A0160,鼎藏璞悅社區,莊敬里,"24.903108 ","121.215262 ",B01B02,平鎮分局,4157.0,
A0161,宜雄丰疆社區,平安里,"24.920890 ","121.211178 ",B01B02B03,平鎮分局,1790.0,
A0162,君品社區,金星里,"24.916242 ","121.207643 ",B01B02,平鎮分局,676.0,
A0163,平鎮一號社會住宅,平南里,"24.890586 ","121.202892 ",B01B02,平鎮分局,1205.0,
A0164,心擎天,湧豐里,24.9004686,121.2085411,B01B02,平鎮分局,2043.0,
A0165,大金囍一期,平安里,"24.920327 ","121.207770 ",B01B02,平鎮分局,764.0,
A0166,大金囍二期社區,平安里,"24.919653 ","121.208850 ",B01B02,平鎮分局,404.0,
A0167,康捷雲鑽社區,平安里,"24.919252 ","121.209497 ",B01B02,平鎮分局,4833.0,
A0168,天悅社區,南勢里,"24.917314 ","121.224304 ",B01,平鎮分局,659.0,
A0169,科達製藥股份有限公司,湧豐里,"24.906608 ","121.196732 ",B01,平鎮分局,1555.0,
B0002,私人住宅,義興里,"24.951406 ","121.211205 ",B01,平鎮分局,487.0,
B0005,南山人壽大樓,復興里,"24.955782 ","121.206726 ",B01,平鎮分局,309.0,
B0006,平鎮郵局,平鎮郵局,,,B01,平鎮分局,597.0,
B0008,金華社區,平興里,"24.950501 ","121.214263 ",B01B02,平鎮分局,1088.0,
B0011,新竹物流,宋屋里,"24.930882 ","121.196200 ",B01,平鎮分局,98.0,
B0014,瀧澤科技,宋屋里,"24.930509 ","121.197163 ",B01B02,平鎮分局,2068.0,
B0015,元隆(力)汽車,宋屋里,"24.931757 ","121.197195 ",B01,平鎮分局,2543.0,
B0017,私人住宅,復興里,"24.954967 ","121.203390 ",B01,平鎮分局,181.0,
B0018,茉莉園社區,復旦里,"24.949554 ","121.202026 ",B01,平鎮分局,214.0,
B0025,私人住宅,義興里,"24.949251 ","121.211816 ",B01,平鎮分局,125.0,
B0026,曼哈頓社區,廣興里,"24.951171 ","121.214052 ",B01,平鎮分局,55.0,
B0027,泛亞公司,廣仁里,"24.937911 ","121.202669 ",B01,平鎮分局,84.0,
B0029,民宅,復興里,"24.952526 ","121.203436 ",B01B02,平鎮分局,54.0,
B0030,文化國小,復興里,"24.953189 ","121.203324 ",B01,平鎮分局,2086.0,
B0031,名門家園社區,復興里,"24.953238 ","121.205186 ",B01,平鎮分局,101.0,
B0032,麗芝寶社區,平興里,"24.945195 ","121.202535 ",B01,平鎮分局,1113.0,
B0040,私人住宅,義興里,"24.951710 ","121.209892 ",B01,平鎮分局,384.0,
B0041,誠鴻有限公司,廣達里,"24.952206 ","121.206994 ",B01B02,平鎮分局,135.0,
B0042,私人民宅,廣達里,"24.952307 ","121.206948 ",B01,平鎮分局,92.0,
B0044,和陽汽車材料,義民里,"24.945623 ","121.208823 ",B01,平鎮分局,228.0,
B0045,中新捲門材料行,廣達里,"24.940254 ","121.221496 ",B01,平鎮分局,53.0,
B0047,名揚社區,復興里,"24.956593 ","121.206636 ",B01,平鎮分局,691.0,
B0048,復旦中學,復旦里,"24.948380 ","121.203094 ",B01,平鎮分局,212.0,
B0049,生活特區社區,廣興里,"24.953264 ","121.212361 ",B01B02,平鎮分局,717.0,
B0053,私人住宅,義興里,"24.950093 ","121.210724 ",B01,平鎮分局,97.0,
B0056,新光公司,廣仁里,"24.937911 ","121.202669 ",B01,平鎮分局,575.0,
B0057,華廈,廣仁里,"24.939611 ","121.206037 ",B01,平鎮分局,601.0,
B0060,天文公司,義民里,"24.941012 ","121.210077 ",B01,平鎮分局,423.0,
B0061,中華郵政高雙郵局,高雙里,,,B01,平鎮分局,3436.0,
B0062,武田華廈,復旦里,"24.950309 ","121.202431 ",B01,平鎮分局,713.0,
B0063,全航華廈,復興里,"24.953862 ","121.205208 ",B01,平鎮分局,111.0,
B0064,永冠天廈社區,復旦里,"24.953923 ","121.202835 ",B01,平鎮分局,613.0,
B0065,春虹大地社區,平興里,"24.944238 ","121.201134 ",B01,平鎮分局,343.0,
B0067,文化宮園,復旦里,"24.942274 ","121.190871 ",B01,平鎮分局,6738.0,
B0068,福運物流(股)公司,雙連里,"24.959711 ","121.182225 ",B01,平鎮分局,2666.0,
B0069,育達高中,廣達里,"24.951907 ","121.209573 ",B01B02,平鎮分局,823.0,
B0072,甜蜜家園社區,義民里,"24.947799 ","121.204172 ",B01,平鎮分局,282.0,
B0073,采邑建設,復興里,"24.950624 ","121.205221 ",B01,平鎮分局,125.0,
B0075,順林桂冠社區,廣興里,"24.953852 ","121.213690 ",B01,平鎮分局,1989.0,
B0076,文化翰林社區,復興里,"24.952889 ","121.205318 ",B01,平鎮分局,278.0,
B0077,長堤康橋社區,義民里,"24.948065 ","121.203941 ",B01,平鎮分局,706.0,
B0078,城市之光社區,復旦里,"24.956868 ","121.202697 ",B01,平鎮分局,1691.0,
B0079,宋俊宏婦幼醫院,廣達里,"24.956885 ","121.203366 ",B01B02,平鎮分局,878.0,
B0080,春虹麗晶社區,義民里,"24.944254 ","121.208994 ",B01B02B03,平鎮分局,2032.0,
B0081,士盛配管材料,復興里,"24.953297 ","121.206477 ",B01B02,平鎮分局,312.0,
B0082,時代廣場社區,義興里,"24.950100 ","121.213887 ",B01B02B03,平鎮分局,2206.0,
B0083,萬芳鵝肉,廣達里,"24.956451 ","121.209197 ",B01,平鎮分局,24.0,
B0084,貳輪嶼,廣達里,"24.956463 ","121.209252 ",B01B02,平鎮分局,24.0,
B0086,米蘭花園社區,復興里,"24.951428 ","121.205236 ",B01,平鎮分局,972.0,
B0091,雲能百貨行-彭子君,廣達里,"24.951816 ","121.206900 ",B01,平鎮分局,63.0,
B0096,名人居社區-葉思頡,義民里,"24.946519 ","121.203441 ",B01,平鎮分局,536.0,
B0097,巴黎春天社區-張溢盛,平興里,"24.942452 ","121.205775 ",B01,平鎮分局,3034.0,
B0098,春園藝術廣場社區-劉子興,復旦里,"24.947150 ","121.201342 ",B01B02,平鎮分局,1797.0,
B0099,秉坤婦幼醫院-洪秉坤,義興里,"24.948194 ","121.211437 ",B01B02B03,平鎮分局,698.0,
B0100,澤苑聖宅NO.6社區,復興里,"24.956387 ","121.204596 ",B01B02,平鎮分局,1120.0,
B0102,私人住宅,平興里,"24.944330 ","121.204526 ",B01B02,平鎮分局,329.0,
B0103,私人住宅,平興里,"24.944330 ","121.204526 ",B01B02,平鎮分局,366.0,
B0104,文化帝寶透天社區,復旦里,"24.955494 ","121.202915 ",B01,平鎮分局,2492.0,
B0105,私人住宅,廣達里,"24.957052 ","121.207658 ",B01,平鎮分局,133.0,
B0106,群都2期社區,復興里,"24.956414 ","121.204381 ",B01,平鎮分局,380.0,
B0107,極光社區-方正豪,義興里,"24.950771 ","121.216427 ",B01,平鎮分局,1049.0,
B0108,城上水美社區,義民里,"24.950255 ","121.214140 ",B01B02,平鎮分局,1393.0,
B0109,崇義七賢社區,平興里,"24.944403 ","121.205588 ",B01B02B03B04,平鎮分局,3263.0,
B0110,六和高中,雙連里,"24.945228 ","121.185949 ",B01B02B03,平鎮分局,4104.0,
B0111,鴻築吾江社區,廣興里,"24.950324 ","121.213796 ",B01B02,平鎮分局,2871.0,
B0112,極品套房,雙連里,"24.965628 ","121.188105 ",B01,平鎮分局,588.0,
B0113,大通宗教用品百貨,高雙里,"24.956758 ","121.197231 ",B01B02B03,平鎮分局,198.0,
B0114,櫻花樸心匯社區,平興里,"24.943693 ","121.201179 ",B01,平鎮分局,1348.0,
B0115,玉山社區-林秀玲,廣達里,"24.956757 ","121.207647 ",B01,平鎮分局,1854.0,
B0116,天籟社區-游坤能,高雙里,"24.956344 ","121.190068 ",B01B02B03,平鎮分局,1038.0,
B0117,壢新醫院-黃忠智,義民里,"24.947184 ","121.206039 ",B01B02B03B04B05,平鎮分局,290.0,
B0118,三揚精品商旅,復興里,"24.957091 ","121.204376 ",B01B02B03,平鎮分局,417.0,
B0119,合作金庫,廣達里,,,B01,平鎮分局,455.0,
B0120,易家大禾社區,平興里,"24.943463 ","121.204232 ",B01B02,平鎮分局,1074.0,
B0121,宜誠恆美社區,義民里,"24.946854 ","121.207624 ",B01B02B03B04,平鎮分局,1438.0,
B0122,瑞旭奕居社區,義民里,"24.946991 ","121.208125 ",B01B02B03,平鎮分局,636.0,
B0123,慕光社區,廣達里,"24.956310 ","121.207980 ",B01B02B03,平鎮分局,494.0,
B0124,易家寬禾社區,宋屋里,"24.942643 ","121.204026 ",B01B02,平鎮分局,602.0,
B0125,復旦上苑社區,義興里,"24.947565 ","121.209025 ",B01B02B03B04,平鎮分局,514.0,
B0127,立益紡織股份有限公司,雙連里,"24.963209 ","121.187077 ",B01B02,平鎮分局,32.0,
B0128,鉑晶悦社區,義興里,"24.948657 ","121.208156 ",B01B02,平鎮分局,1078.0,
B0129,茂捷雲禮社區,宋屋里,"24.943668 ","121.203228 ",B01,平鎮分局,2888.0,
B0130,央大麗景社區,高雙里,"24.958310 ","121.191716 ",B01B02,平鎮分局,1454.0,
B0131,天之驕子社區,復旦里,"24.951493 ","121.201977 ",B01B02B03,平鎮分局,1079.0,
B0132,早安小米社區,廣興里,"24.952763 ","121.213805 ",B01B02B03,平鎮分局,656.0,
B0133,華廈,雙連里,"24.955811 ","121.188438 ",B01B02,平鎮分局,476.0,
B0134,易家豐禾社區,宋屋里,"24.942975 ","121.203945 ",B01B02,平鎮分局,1649.0,
B0135,立益紡織股份有限公司,雙連里,"24.961710 ","121.187796 ",B01,平鎮分局,47.0,
B0136,桃園市余姓宗親會,高雙里,"24.943810 ","121.196964 ",B01B02,平鎮分局,582.0,
B0137,京耀富達社區,廣達里,"24.953549 ","121.209515 ",B01,平鎮分局,1234.0,
B0138,桃苗汽車股份有限公司,宋屋里,"24.931250 ","121.199400 ",B01,平鎮分局,717.0,
B0139,天臻社區,復旦里,"24.954260 ","121.202210 ",B01B02B03,平鎮分局,932.0,
B0140,私人住宅,復旦里,"24.954158 ","121.203095 ",B01,平鎮分局,278.0,
B0141,群邑禾豐社區,廣達里,"24.955693 ","121.208869 ",B01B02,平鎮分局,548.0,
B0142,義民社福館,義民里,"24.948778 ","121.204042 ",B01,平鎮分局,1092.0,
B0143,立益物流開發股份有限公司,雙連里,"24.961626 ","121.187826 ",B01B02,平鎮分局,625.0,
C0005,私人住宅,新勢里,"24.948327 ","121.216249 ",B01,平鎮分局,28.0,
C0007,私人住宅,新榮里,"24.942573 ","121.211485 ",B01,平鎮分局,13.0,
C0014,華廈,新勢里,"24.949194 ","121.215983 ",B01,平鎮分局,262.0,
C0015,平鎮衛生所,新富里,"24.945973 ","121.217849 ",B01,平鎮分局,156.0,
C0027,群英圍城社區,新勢里,"24.947461 ","121.217305 ",B01,平鎮分局,505.0,
C0028,私人住宅,新勢里,"24.949832 ","121.218191 ",B01,平鎮分局,32.0,
C0029,相知相惜社區,新英里,"24.940104 ","121.213136 ",B01,平鎮分局,584.0,
C0032,凱旋門社區,北勢里,"24.948516 ","121.220255 ",B01,平鎮分局,338.0,
C0033,合邦富貴社區,新榮里,"24.943855 ","121.212665 ",B01,平鎮分局,958.0,
C0035,私人住宅,北安里,"24.951563 ","121.221214 ",B01B02,平鎮分局,37.0,
C0036,私人住宅,新富里,"24.941300 ","121.216775 ",B01,平鎮分局,83.0,
C0037,私人住宅,新富里,"24.941431 ","121.216786 ",B01,平鎮分局,87.0,
C0039,私人住宅,新勢里,"24.949293 ","121.218108 ",B01,平鎮分局,140.0,
C0041,私人住宅,新勢里,"24.948099 ","121.215526 ",B01,平鎮分局,548.0,
C0043,私人住宅,北安里,"24.951444 ","121.220652 ",B01,平鎮分局,28.0,
C0044,私人住宅,北安里,"24.952158 ","121.221358 ",B01,平鎮分局,58.0,
C0045,商業大樓,新勢里,"24.951527 ","121.218680 ",B01,平鎮分局,70.0,
C0046,私人住宅,新勢里,"24.948316 ","121.215538 ",B01,平鎮分局,600.0,
C0049,私人住宅,北安里,"24.951890 ","121.221569 ",B01,平鎮分局,56.0,
C0053,園訂三生社區,新榮里,"24.945499 ","121.215368 ",B01,平鎮分局,1971.0,
C0057,私人住宅,北勢里,"24.947184 ","121.220567 ",B01,平鎮分局,51.0,
C0061,私人住宅,北勢里,"24.946596 ","121.220107 ",B01,平鎮分局,27.0,
C0062,北興里活動中心,金陵里,"24.941210 ","121.222112 ",B01,平鎮分局,33.0,
C0063,環南家緣社區,新榮里,"24.942701 ","121.213494 ",B01,平鎮分局,488.0,
C0064,雙橡園社區,新勢里,"24.946543 ","121.211942 ",B01,平鎮分局,22.0,
C0065,私人住宅,新勢里,"24.949537 ","121.215457 ",B01,平鎮分局,46.0,
C0066,麗園社區-,新榮里,"24.943024 ","121.212138 ",B01,平鎮分局,53.0,
C0067,私人住宅,北勢里,"24.948684 ","121.220953 ",B01,平鎮分局,182.0,
C0069,私人住宅,北安里,"24.949040 ","121.220086 ",B01,平鎮分局,123.0,
C0070,私人住宅,新勢里,"24.947885 ","121.216755 ",B01,平鎮分局,212.0,
C0071,寶成皇家社區,新英里,"24.939120 ","121.213794 ",B01,平鎮分局,1478.0,
C0072,私人住宅,新勢里,"24.949340 ","121.218122 ",B01,平鎮分局,13.0,
C0073,私人住宅,新榮里,"24.943329 ","121.212640 ",B01B02,平鎮分局,64.0,
C0076,私人住宅,新富里,"24.906418 ","121.213159 ",B01,平鎮分局,117.0,
C0077,私人住宅,新富里,"24.941387 ","121.217887 ",B01,平鎮分局,90.0,
C0078,私人住宅,新富里,"24.910396 ","121.211872 ",B01,平鎮分局,90.0,
C0081,錫城華廈,北安里,"24.953529 ","121.220691 ",B01,平鎮分局,600.0,
C0082,私人住宅大樓,新富里,"24.940725 ","121.216306 ",B01,平鎮分局,131.0,
C0083,私人住宅,新勢里,"24.946581 ","121.213809 ",B01,平鎮分局,193.0,
C0085,私人住宅,新勢里,"24.947556 ","121.217034 ",B01,平鎮分局,212.0,
C0086,私人住宅,新勢里,"24.948178 ","121.217556 ",B01,平鎮分局,20.0,
C0088,私人住宅,新勢里,"24.949429 ","121.218389 ",B01,平鎮分局,22.0,
C0089,柏彌蘭金屬化研究(股)公司-,新貴里,"24.933663 ","121.215490 ",B01,平鎮分局,37.0,
C0091,北勢國小,北興里,"24.935850 ","121.223844 ",B01,平鎮分局,1328.0,
C0092,當代米羅社區,北華里,"24.940268 ","121.219814 ",B01,平鎮分局,1755.0,
C0093,公園麗景社區,新英里,"24.938634 ","121.213641 ",B01,平鎮分局,2149.0,
C0094,平鎮區公所,新富里,"24.945717 ","121.218324 ",B01,平鎮分局,639.0,
C0095,傳世經典社區,北華里,"24.945261 ","121.219446 ",B01B02,平鎮分局,378.0,
C0096,新榮國小,新勢里,"24.952849 ","121.218359 ",B01,平鎮分局,3193.0,
C0097,城市CRV社區,金陵里,"24.940305 ","121.221097 ",B01B02,平鎮分局,2131.0,
C0098,領袖王朝社區,新英里,"24.941285 ","121.212253 ",B01,平鎮分局,685.0,
C0099,早安東京社區,北華里,"24.941835 ","121.220268 ",B01B02B03,平鎮分局,2168.0,
C0100,典藏巴黎社區,金陵里,"24.941798 ","121.224510 ",B01,平鎮分局,164.0,
C0101,平鎮高中,北興里,"24.939916 ","121.218938 ",B01B02,平鎮分局,1691.0,
C0102,里仁為美社區,北華里,"24.941635 ","121.220521 ",B01,平鎮分局,1804.0,
C0103,南區青年活動中心,新勢里,"24.950773 ","121.216891 ",B01,平鎮分局,4098.0,
C0104,中壢國中,新勢里,"24.950257 ","121.219591 ",B01B02,平鎮分局,1323.0,
C0105,源美亞典社區,新富里,"24.942156 ","121.218792 ",B01,平鎮分局,10319.0,
C0106,台灣電力公司,新貴里,,,B01,平鎮分局,270.0,
C0107,天閱社區,新富里,"24.943663 ","121.218211 ",B01B02B03,平鎮分局,2222.0,
C0108,兆發富御社區,北安里,"24.953808 ","121.220141 ",B01,平鎮分局,178.0,
C0109,璟都大觀苑社區,新英里,"24.940386 ","121.212841 ",B01B02B03,平鎮分局,2771.0,
C0110,新文華社區,金陵里,"24.942694 ","121.221078 ",B01B02,平鎮分局,2154.0,
C0111,璟都綠城市社區,新榮里,"24.944169 ","121.213740 ",B01B02B03,平鎮分局,1701.0,
