類別,電腦編號,村里別,地下層數位址,可容納人數,轄管分局,備註
大樓,EOA00102,仁義里,1.0,"6,489 ",大溪分局,
公寓,EOA00103,一德里,1.0,"873 ",大溪分局,
公寓,EOA00104,興和里,1.0,"296 ",大溪分局,
大樓,EOA00105,一心里,1.0,"1,922 ",大溪分局,
大樓,EOA00106,義和里,1.0,"1,001 ",大溪分局,
大樓,EOA00107,一德里,1.0,"5,588 ",大溪分局,
公寓,EOA00108,一心里,1.0,"318 ",大溪分局,
大樓,EOA00110,一心里,1.0,"2,109 ",大溪分局,
公寓,EOA00111,永福里,1.0,"428 ",大溪分局,
大樓,EOA00112,一德里,1.0,"2,793 ",大溪分局,
大樓,EOA00113,一心里,1.0,"1,597 ",大溪分局,
大樓,EOA00114,瑞源里,1.0,"993 ",大溪分局,
大樓,EOA00116,仁善里,1.0,"12,921 ",大溪分局,
大樓,EOA00117,一心里,1.0,"1,124 ",大溪分局,
大樓,EOA00118,一德里,1.0,"673 ",大溪分局,
大樓,EOA00119,瑞興里,2.0,"1,190 ",大溪分局,
公寓,EOA00120,瑞興里,2.0,"318 ",大溪分局,
大樓,EOA00121,福安里,1.0,"534 ",大溪分局,
大樓,EOA00123,仁愛里,1.0,"4,244 ",大溪分局,
大樓,EOA00124,僑愛里,1.0,"2,909 ",大溪分局,
大樓,EOA00125,福仁里,1.0,"1,610 ",大溪分局,
大樓,"EOA00126 ",美華里,1.0,"893 ",大溪分局,
大樓,EOA00127,光明里,1.0,"2,960 ",大溪分局,
大樓,EOA00128,仁善里,1.0,"3,341 ",大溪分局,
大樓,EOA00129,美華里,3.0,"4,596 ",大溪分局,
大樓,EOA00130,仁和里,1.0,"808 ",大溪分局,
大樓,EOA00131,仁愛里,1.0,"3,438 ",大溪分局,
公寓,EOA00132,澤仁里,1.0,"70 ",大溪分局,
大樓,EOA00133,仁和里,1.0,"1,598 ",大溪分局,
大樓,EOA00135,一德里,1.0,"726 ",大溪分局,
大樓,EOA00136,一德里,1.0,"3,495 ",大溪分局,
大樓,EOA00138,美華里,2.0,"541 ",大溪分局,
大樓,EOA00139,仁善里,1.0,"1,514 ",大溪分局,
大樓,EOA00140,一德里,1.0,"1,204 ",大溪分局,
大樓,EOA00141,仁善里,1.0,"7,179 ",大溪分局,
大樓,EOA00142,南興里,1.0,"2,457 ",大溪分局,
公寓,EOA00143,光明里,1.0,"547 ",大溪分局,
大樓,EOA00144,仁善里,1.0,"1,230 ",大溪分局,
大樓,EOA00145,仁武里,1.0,"3,577 ",大溪分局,
大樓,EOA00146,一德里,1.0,"752 ",大溪分局,
大樓,EOA00147,仁愛里,1.0,"619 ",大溪分局,
大樓,EOA00148,仁和里,2.0,"2,030 ",大溪分局,
大樓,EOA00149,一心里,1.0,"1,595 ",大溪分局,
大樓,EOA00150,仁善里,3.0,"11,979 ",大溪分局,
大樓,EOA00152,瑞興里,2.0,"985 ",大溪分局,
大樓,EOA00153,仁武里,1.0,"272 ",大溪分局,
公寓,EOA00154,光明里,1.0,"1,429 ",大溪分局,
大樓,EOA00157,一心里,1.0,"626 ",大溪分局,
大樓,EOA00158,一心里,2.0,"788 ",大溪分局,
大樓,EOA00159,仁文里,2.0,"817 ",大溪分局,
大樓,EOA00160,僑愛里,1.0,"1,481 ",大溪分局,
大樓,EOA00161,員林里,2.0,"1,447 ",大溪分局,
大樓,EOA00162,仁和里,2.0,"3,387 ",大溪分局,
文化會館,EOA00002,興和里,1.0,"2,256 ",大溪分局,
地政事務所,EOA00015,興和里,1.0,"573 ",大溪分局,
郵局,EOA00026,一德里,1.0,"724 ",大溪分局,桃園市大溪區康莊路210號
區公所,EOA00036,興和里,1.0,"414 ",大溪分局,
學校,EOA00037,福仁里,1.0,"40 ",大溪分局,
農會,EOA00042,福仁里,1.0,"173 ",大溪分局,桃園市大溪區民生路1號
警察機關,EOA00122,一心里,1.0,"734 ",大溪分局,桃園市大溪區康莊路181號
學校,EOA00134,仁和里,1.0,"2,224 ",大溪分局,
學校,EOA00137,員林里,1.0,"1,430 ",大溪分局,
警察機關,EOA00155,仁和里,1.0,"620 ",大溪分局,桃園市大溪區仁和里18鄰員林路一段198號
學校,EOA00156,光明里,1.0,"4,225 ",大溪分局,
警察機關,EOA00151,福安里,2.0,"2,202 ",大溪分局,桃園市大溪區福安里18鄰復興路一段385號
區公所,EOA00109,澤仁里,2.0,"809 ",大溪分局,
大樓,EOA00163,南興里,1.0,"972 ",大溪分局,
