編號,里別,地址,可容納人數,經度,緯度,避難所在之地下樓層數,轄管分局
45.0,藍興里,臺中市西區藍興里22鄰三民路一段118號,1356.0,120.668353,24.130749,1.0,第一分局
46.0,三民里,臺中市西區三民里15鄰公館路114號,83.0,120.670192,24.134157,1.0,第一分局
47.0,三民里,臺中市西區三民里15鄰公館路120號,93.0,120.670067,24.134253,1.0,第一分局
48.0,三民里,臺中市西區三民里09鄰公館路130號,98.0,120.669931,24.134395,1.0,第一分局
49.0,藍興里,臺中市西區藍興里22鄰公館路41巷5號,86.0,120.671473,24.132261,1.0,第一分局
50.0,藍興里,臺中市西區藍興里08鄰公館路123號,200.0,120.669777,24.134066,1.0,第一分局
51.0,三民里,臺中市西區三民里08鄰公館路46巷1號,106.0,120.671941,24.133175,1.0,第一分局
52.0,三民里,臺中市西區三民里05鄰林森路36號,944.0,120.672543,24.136334,1.0,第一分局
53.0,三民里,臺中市西區三民里04鄰林森路30號,644.0,120.673396,24.135653,1.0,第一分局
54.0,三民里,臺中市西區三民里06鄰三民路一段149號,218.0,120.672184,24.135597,1.0,第一分局
55.0,三民里,臺中市西區三民里09鄰貴和街1號,433.0,120.6715894,24.13559095,1.0,第一分局
56.0,三民里,臺中市西區三民里08鄰林森路69巷9號,120.0,120.671937,24.135797,1.0,第一分局
57.0,三民里,臺中市西區三民里10鄰三民路一段174號,461.0,120.675261,24.138065,1.0,第一分局
58.0,三民里,臺中市西區三民里03鄰三民路一段171號,628.0,120.67366,24.137805,1.0,第一分局
59.0,三民里,臺中市西區三民里02鄰三民路一段178號,227.0,120.675788,24.138262,1.0,第一分局
60.0,三民里,臺中市西區三民里02鄰四維街38號,727.0,120.675334,24.137899,1.0,第一分局
61.0,三民里,臺中市西區三民里03鄰四維街48號,84.0,120.674666,24.138525,1.0,第一分局
62.0,三民里,臺中市西區三民里03鄰四維街46號,216.0,120.674741,24.138445,1.0,第一分局
63.0,利民里,臺中市西區利民里01鄰四維街24號,613.0,120.676312,24.137063,1.0,第一分局
64.0,利民里,臺中市西區利民里01鄰四維街29號,140.0,120.675586,24.13728,1.0,第一分局
65.0,利民里,臺中市西區利民里14鄰三民路一段168巷7號,28.0,120.675363,24.137212,1.0,第一分局
66.0,利民里,臺中市西區利民里14鄰三民路一段168巷11號,94.0,120.675487,24.137115,1.0,第一分局
67.0,利民里,臺中市西區利民里12鄰民生路47巷3號,406.0,120.676222,24.138107,1.0,第一分局
68.0,利民里,臺中市西區利民里03鄰四維街31號,198.0,120.675455,24.137394,1.0,第一分局
69.0,利民里,"臺中市西區利民里21鄰府後街37號 ",220.0,120.676322,24.13748,1.0,第一分局
70.0,利民里,臺中市西區利民里08鄰林森路24巷55號,111.0,120.675218,24.135344,1.0,第一分局
71.0,利民里,臺中市西區利民里08鄰林森路24巷57號,111.0,120.675149,24.135466,1.0,第一分局
72.0,利民里,臺中市西區利民里04鄰府後街38號之1,613.0,120.67595,24.13673,1.0,第一分局
73.0,利民里,臺中市西區利民里05鄰四維街3巷1號,190.0,120.676286,24.136462,1.0,第一分局
74.0,利民里,臺中市西區利民里13鄰四維街2之1號,63.0,120.676775,24.136689,1.0,第一分局
75.0,利民里,臺中市西區利民里05鄰四維街3巷2號,96.0,120.676192,24.136361,1.0,第一分局
76.0,利民里,臺中市西區利民里02鄰市府路23號,177.0,120.676854,24.136631,1.0,第一分局
77.0,利民里,臺中市西區利民里06鄰市府路1號,330.0,120.6760736,24.13617966,1.0,第一分局
78.0,利民里,臺中市西區利民里06鄰市府路13號,93.0,120.676409,24.136227,1.0,第一分局
79.0,利民里,臺中市西區利民里06鄰市府路19號,105.0,120.676519,24.136334,1.0,第一分局
80.0,利民里,臺中市西區利民里15鄰民權路99號,309.0,120.6785187,24.13884986,1.0,第一分局
81.0,利民里,臺中市西區民生里07鄰民權路95號,512.0,120.679177,24.138159,2.0,第一分局
82.0,利民里,臺中市西區利民里15鄰市府路37號,830.0,120.677876,24.137667,1.0,第一分局
83.0,利民里,臺中市西區利民里15鄰市府路39號,902.0,120.677829,24.13811727,1.0,第一分局
84.0,利民里,臺中市西區利民里15鄰民權路99-1號,751.0,120.677734,24.138959,1.0,第一分局
85.0,廣民里,臺中市西區廣民里2鄰三民路一段193號,1595.0,120.675563,24.139545,1.0,第一分局
86.0,廣民里,臺中市西區廣民里2鄰三民路一段199號,3468.0,120.6763434,24.1406092,1.0,第一分局
87.0,廣民里,臺中市西區廣民里20鄰大明街27號,801.0,120.6733387,24.13904561,1.0,第一分局
88.0,廣民里,臺中市西區廣民里22鄰四維街62號,126.0,120.674314,24.138825,2.0,第一分局
89.0,廣民里,臺中市西區廣民里18鄰自治街7號,171.0,120.672721,24.137112,1.0,第一分局
90.0,廣民里,臺中市西區廣民里18鄰自治街11號之1,376.0,120.672128,24.137404,1.0,第一分局
91.0,廣民里,臺中市西區廣民里18鄰大全街7號,23.0,120.672397,24.137081,1.0,第一分局
92.0,廣民里,臺中市西區廣民里18鄰大全街9號,122.0,120.672366,24.137018,1.0,第一分局
93.0,廣民里,臺中市西區廣民里17鄰大全街4號,112.0,120.672217,24.137214,1.0,第一分局
94.0,東昇里,臺中市西區東昇里013鄰貴和街30號,465.0,120.6709152,24.13711582,1.0,第一分局
95.0,東昇里,臺中市西區東昇里019鄰大全街74號,166.0,120.6701587,24.13563698,1.0,第一分局
96.0,民生里,臺中市西區民生里25鄰自由路一段95號,1881.0,120.677375,24.135895,1.0,第一分局
97.0,利民里,臺中市西區利民里7鄰自由路一段75號,2400.0,120.673212,24.132476,1.0,第一分局
98.0,民生里,臺中市西區民生里21鄰法院前街10號,126.0,120.676678,24.134029,1.0,第一分局
99.0,民生里,臺中市西區民生里19鄰建國路31巷6號,162.0,120.677293,24.134205,1.0,第一分局
100.0,民生里,臺中市西區民生里17鄰自由路一段122號,173.0,120.676824,24.134606,1.0,第一分局
101.0,民生里,臺中市西區民生里25鄰自由路一段138號,1201.0,120.678251,24.135635,1.0,第一分局
102.0,民生里,臺中市西區民生里17鄰自由路一段91號,4761.0,120.675582,24.134618,1.0,第一分局
103.0,民生里,臺中市西區民生里17鄰自由路一段91號,2226.0,120.6764153,24.13500709,1.0,第一分局
104.0,民生里,臺中市西區民生里17鄰自由路一段98-1號,144.0,120.676238,24.134067,1.0,第一分局
105.0,民生里,臺中市西區民生里17鄰自由路一段124號,127.0,120.676857,24.134634,1.0,第一分局
106.0,民生里,臺中市西區民生里17鄰自由路一段128號,94.0,120.676888,24.134665,1.0,第一分局
107.0,平和里,臺中市西區平和里03鄰中華路一段5號,164.0,120.673098,24.141929,1.0,第一分局
108.0,平和里,臺中市西區平和里03鄰中華路一段7號,216.0,120.673212,24.14209,1.0,第一分局
109.0,平和里,臺中市西區平和里03鄰中華路一段27號,98.0,120.673502,24.142326,1.0,第一分局
110.0,平和里,臺中市西區平和里03鄰中華路一段29號,104.0,120.67352,24.142355,1.0,第一分局
111.0,平和里,臺中市西區平和里07鄰中華路一段35號,655.0,120.673839,24.14280393,1.0,第一分局
112.0,平和里,臺中市西區平和里07鄰民生路140號,505.0,120.6726346,24.1430245,1.0,第一分局
113.0,平和里,臺中市西區平和里06鄰中華路一段1號之120,1538.0,120.6730827,24.14170989,3.0,第一分局
114.0,平和里,臺中市西區平和里03鄰中華路一段1號之1,455.0,120.672836,24.14172943,1.0,第一分局
115.0,平和里,臺中市西區平和里06鄰民生路135號,7064.0,120.672223,24.14161,345.0,第一分局
116.0,平和里,臺中市西區平和里08鄰金山路11號,836.0,120.671164,24.141169,1.0,第一分局
117.0,平和里,臺中市西區平和里12鄰自治街32號之2,181.0,120.6710821,24.13964795,1.0,第一分局
118.0,平和里,臺中市西區平和里08鄰金山路27號,224.0,120.6707653,24.14107012,1.0,第一分局
119.0,平和里,臺中市西區平和里07鄰民生路140號,363.0,120.6726346,24.1430245,1.0,第一分局
120.0,平和里,臺中市西區平和里03鄰中華路一段1號,969.0,120.672836,24.14172943,1.0,第一分局
121.0,平和里,臺中市西區平和里08鄰金山路29號,296.0,120.6706849,24.14118191,1.0,第一分局
122.0,平和里,臺中市西區平和里17鄰民生路126巷21號,97.0,120.6728071,24.14246419,1.0,第一分局
123.0,平和里,臺中市西區平和里16鄰民生路126巷29號,87.0,120.6729941,24.14250998,1.0,第一分局
124.0,平和里,臺中市西區平和里07鄰民生路137號,321.0,120.6720757,24.14196229,1.0,第一分局
125.0,平和里,臺中市西區平和里06鄰民生路109號,325.0,120.6728725,24.14137561,2.0,第一分局
126.0,平和里,臺中市西區平和里10鄰自治街57號,96.0,120.670884,24.138776,1.0,第一分局
127.0,平和里,臺中市西區平和里12鄰自治街59號,98.0,120.670848,24.138788,1.0,第一分局
128.0,平和里,臺中市西區平和里12鄰自治街61號,102.0,120.670816,24.138802,1.0,第一分局
129.0,平和里,臺中市西區平和里12鄰自治街63號,93.0,120.670788,24.138817,1.0,第一分局
130.0,公民里,臺中市西區公民里20鄰林森路155號,788.0,120.6684112,24.13966355,1.0,第一分局
131.0,平和里,臺中市西區平和里07鄰金山路5號,112.0,120.671467,24.141687,1.0,第一分局
132.0,平和里,臺中市西區平和里08鄰金山路15號,206.0,120.670948,24.141144,1.0,第一分局
133.0,平和里,臺中市西區平和里11鄰林森路120號,133.0,120.670135,24.138401,1.0,第一分局
134.0,平和里,臺中市西區平和里13鄰林森路135號,91.0,120.670192,24.137851,1.0,第一分局
135.0,平和里,臺中市西區平和里09鄰柳川東路二段196號,131.0,120.67224,24.140015,2.0,第一分局
136.0,廣民里,臺中市西區廣民里02鄰民權路131號,137.0,120.67518,24.141781,1.0,第一分局
137.0,廣民里,臺中市西區廣民里02鄰民權路135號,345.0,120.674905,24.14194,1.0,第一分局
138.0,廣民里,臺中市西區廣民里02鄰柳川西路二段196號,370.0,120.674957,24.141729,1.0,第一分局
139.0,公民里,臺中市西區公民里29鄰五權五街2號,359.0,120.665366,24.136728,1.0,第一分局
140.0,廣民里,臺中市西區廣民里02鄰民權路151號,298.0,120.67455,24.142257,1.0,第一分局
141.0,廣民里,臺中市西區廣民里08鄰自立街19號,503.0,120.672095,24.139033,1.0,第一分局
142.0,廣民里,臺中市西區廣民里08鄰樂群街56巷1號,188.0,120.671627,24.138608,1.0,第一分局
143.0,廣民里,臺中市西區廣民里14鄰樂群街37號,250.0,120.672658,24.138939,1.0,第一分局
144.0,廣民里,臺中市西區廣民里12鄰自立街1號,83.0,120.672732,24.138524,1.0,第一分局
145.0,廣民里,臺中市西區廣民里14鄰樂群街27之1號,100.0,120.673306,24.139727,1.0,第一分局
146.0,廣民里,臺中市西區廣民里14鄰樂群街23號,122.0,120.673452,24.139811,1.0,第一分局
147.0,廣民里,臺中市西區廣民里10鄰樂群街61號之1,94.0,120.671901,24.138351,1.0,第一分局
148.0,廣民里,臺中市西區廣民里10鄰自治街30號,130.0,120.6712409,24.13901743,1.0,第一分局
149.0,平和里,臺中市西區平和里22鄰樂群街86號,92.0,120.671311,24.138102,1.0,第一分局
150.0,平和里,臺中市西區平和里22鄰樂群街88號,93.0,120.671274,24.138079,1.0,第一分局
151.0,廣民里,臺中市西區廣民里20鄰自治街41號,572.0,120.6712055,24.13838582,1.0,第一分局
152.0,民生里,臺中市西區民生里07鄰自由路一段97號,500.0,120.678726,24.137074,1.0,第一分局
153.0,民生里,臺中市西區民生里07鄰自由路一段101號,608.0,120.679288,24.137736,12.0,第一分局
154.0,民生里,臺中市西區民生里07鄰自由路一段105號,228.0,120.679621,24.137824,1.0,第一分局
155.0,民生里,臺中市西區民生里02鄰繼光街19號,125.0,120.680366,24.137018,1.0,第一分局
156.0,民生里,臺中市西區民生里03鄰民權路61號,90.0,120.680815,24.136873,1.0,第一分局
157.0,民生里,臺中市西區民生里03鄰繼光街18號,102.0,120.6804787,24.1369425,1.0,第一分局
158.0,民生里,臺中市西區民生里07鄰民權路91號,458.0,120.6795761,24.13828013,1.0,第一分局
159.0,民生里,臺中市西區民生里07鄰自由路一段144號,477.0,120.67941,24.137141,1.0,第一分局
160.0,民生里,臺中市西區民生里07鄰自由路一段148號,558.0,120.679678,24.137309,3.0,第一分局
161.0,民生里,臺中市西區民生里08鄰自由路一段150號,561.0,120.679753,24.137385,1.0,第一分局
162.0,民生里,臺中市西區民生里06鄰自由路一段140號,1649.0,120.67897,24.136626,1.0,第一分局
163.0,民生里,臺中市西區民生里10鄰繼光街2號,209.0,120.679451,24.135732,1.0,第一分局
164.0,民生里,臺中市西區民生里05鄰民生路30號,381.0,120.679997,24.135216,1.0,第一分局
165.0,民生里,臺中市西區民生里10鄰繼光街6號,804.0,120.679807,24.136074,1.0,第一分局
166.0,公民里,臺中市西區公民里07鄰自立街75號2,91.0,120.6707,24.140176,1.0,第一分局
167.0,公民里,臺中市西區公民里04鄰忠仁街114號,41.0,120.669976,24.142081,1.0,第一分局
168.0,公民里,臺中市西區公民里02鄰五廊街4巷6號,63.0,120.670589,24.142344,1.0,第一分局
169.0,公民里,臺中市西區公民里06鄰五廊街37號,376.0,120.670151,24.141276,1.0,第一分局
170.0,公民里,臺中市西區公民里06鄰五廊街29號之4,627.0,120.670573,24.141749,1.0,第一分局
171.0,公民里,臺中市西區公民里01鄰金山路6-1號,472.0,120.671468,24.141981,1.0,第一分局
172.0,公民里,臺中市西區公民里01鄰金山路6號之3,567.0,120.671302,24.14213,1.0,第一分局
173.0,公民里,臺中市西區公民里02鄰金山路16號,573.0,120.670649,24.14129,1.0,第一分局
174.0,公民里,臺中市西區公民里02鄰金山路18號之3,168.0,120.670139,24.140743,1.0,第一分局
175.0,公民里,臺中市西區公民里07鄰金山路31號,274.0,120.67043,24.140554,1.0,第一分局
176.0,公民里,臺中市西區公民里07鄰金山路31號1,92.0,120.670359,24.140608,1.0,第一分局
177.0,公民里,臺中市西區公民里08鄰金山路53號,157.0,120.669568,24.139828,1.0,第一分局
178.0,公民里,臺中市西區公民里08鄰金山路57之1號,97.0,120.669492,24.139738,1.0,第一分局
179.0,公民里,臺中市西區公民里26鄰五權路2-138號,741.0,120.665937,24.137212,1.0,第一分局
180.0,公民里,臺中市西區公民里28鄰五權路1-23號,329.0,120.6654193,24.13872298,1.0,第一分局
181.0,公民里,臺中市西區公民里28鄰五權路1-67號,1014.0,120.665496,24.137083,1.0,第一分局
182.0,公民里,臺中市西區公民里22鄰忠勤街60-1號,99.0,120.666655,24.13768,1.0,第一分局
183.0,公民里,臺中市西區公民里09鄰公館路255號,523.0,120.666224,24.136223,2.0,第一分局
184.0,公民里,臺中市西區公民里21鄰五廊街124號,619.0,120.666026,24.138085,12.0,第一分局
185.0,公民里,臺中市西區公民里28鄰五權路1-43號,306.0,120.665411,24.137516,1.0,第一分局
186.0,公民里,臺中市西區公民里29鄰五權五街12號,126.0,120.665128,24.136731,1.0,第一分局
187.0,公民里,臺中市西區公民里23鄰五權路2-97號,122.0,120.6657878,24.14073838,1.0,第一分局
188.0,公民里,臺中市西區公民里23鄰五權路2-99號,111.0,120.665933,24.139627,1.0,第一分局
189.0,公民里,臺中市西區公民里23鄰五權路2-101號,135.0,120.665933,24.139548,1.0,第一分局
190.0,公民里,臺中市西區公民里23鄰貴和街212號,92.0,120.666191,24.13941,1.0,第一分局
191.0,公民里,臺中市西區公民里25鄰忠勤街72號,59.0,120.666653,24.138521,1.0,第一分局
192.0,公民里,臺中市西區公民里28鄰五權路1-75號,347.0,120.665477,24.136787,1.0,第一分局
193.0,公民里,臺中市西區公民里22鄰公館路234號,627.0,120.666774,24.136664,2.0,第一分局
194.0,公民里,臺中市西區公民里22鄰忠勤街27號,730.0,120.6664344,24.13691399,1.0,第一分局
195.0,公舘里,臺中市西區公館里33鄰五權路1-135號,82.0,120.665462,24.135283,1.0,第一分局
196.0,公舘里,臺中市西區公館里33鄰五權路1-136號,133.0,120.665456,24.135235,1.0,第一分局
197.0,公舘里,臺中市西區公館里33鄰五權路1-137號,91.0,120.665462,24.135207,1.0,第一分局
198.0,公舘里,臺中市西區公館里10鄰五權路1-191號,208.0,120.666657,24.132704,1.0,第一分局
199.0,公舘里,臺中市西區公館里10鄰五權路1-192號,87.0,120.666676,24.132684,1.0,第一分局
200.0,公舘里,臺中市西區公館里10鄰五權路1-193號,100.0,120.666684,24.132646,1.0,第一分局
201.0,公舘里,臺中市西區公館里24鄰柳川東路二段81號,102.0,120.665768,24.134339,1.0,第一分局
202.0,公舘里,臺中市西區公館里10鄰五權路1-201號,114.0,120.667049,24.132,1.0,第一分局
203.0,公舘里,臺中市西區公館里29鄰五權西一街111號,165.0,120.664306,24.1348,1.0,第一分局
204.0,公舘里,臺中市西區公館里33鄰五權七街18號,112.0,120.66495,24.135273,1.0,第一分局
205.0,公舘里,臺中市西區公館里20鄰五權八街27號,214.0,120.6648098,24.13448508,1.0,第一分局
206.0,公舘里,臺中市西區公館里21鄰柳川西路二段23號,156.0,120.663473,24.133158,1.0,第一分局
207.0,公舘里,臺中市西區公館里24鄰樂群街352號,148.0,120.66585,24.133258,1.0,第一分局
208.0,公舘里,臺中市西區公館里35鄰五權路1-150號,1884.0,120.665943,24.133975,12.0,第一分局
209.0,公民里,臺中市西區公民里五廊街61號,119.0,120.669337,24.140502,1.0,第一分局
210.0,公民里,臺中市西區公民里14鄰五廊街63號,210.0,120.669287,24.140426,1.0,第一分局
211.0,公民里,臺中市西區公民里13鄰五廊街105號,471.0,120.667345,24.138238,1.0,第一分局
212.0,公民里,臺中市西區公民里16鄰自立街95巷17號,40.0,120.669038,24.140758,1.0,第一分局
213.0,公民里,臺中市西區公民里20鄰林森路155號,825.0,120.6684112,24.13966355,1.0,第一分局
214.0,公民里,臺中市西區公民里16鄰忠仁街82號,103.0,120.668963,24.141086,1.0,第一分局
215.0,公民里,臺中市西區公民里16鄰忠仁街88號,97.0,120.669079,24.14128,1.0,第一分局
216.0,公民里,臺中市西區公民里16鄰忠仁街90號,81.0,120.669147,24.141279,1.0,第一分局
217.0,公民里,臺中市西區公民里16鄰忠仁街98號,136.0,120.669287,24.141425,1.0,第一分局
218.0,公民里,臺中市西區公民里13鄰忠信街2號,185.0,120.667706,24.138385,1.0,第一分局
219.0,公舘里,臺中市西區公舘里016鄰三民西路77號,128.0,120.6659492,24.1310038,1.0,第一分局
220.0,公舘里,臺中市西區公舘里009鄰樂群街409號,180.0,120.6659889,24.1314847,2.0,第一分局
221.0,公舘里,臺中市西區公舘里011鄰三民路一段39巷3弄9號,358.0,120.6665656,24.13111457,1.0,第一分局
222.0,公舘里,臺中市西區公舘里017鄰三民西路178號,136.0,120.6633675,24.13027146,1.0,第一分局
223.0,公舘里,臺中市西區公館里25鄰南屯路一段79之1號,81.0,120.663878,24.132003,1.0,第一分局
224.0,公舘里,臺中市西區公館里25鄰南屯路一段81號,14.0,120.663628,24.131972,1.0,第一分局
225.0,公舘里,臺中市西區公館里33鄰五權六街9號,1171.0,120.6645493,24.13578084,1.0,第一分局
226.0,公舘里,臺中市西區公館里25鄰南屯路一段69號,162.0,120.664122,24.132003,1.0,第一分局
227.0,公舘里,臺中市西區公館里12鄰三民路一段23號,250.0,120.666695,24.129449,1.0,第一分局
228.0,公舘里,臺中市西區公館里18鄰民興街119巷17號,56.0,120.662527,24.129503,1.0,第一分局
229.0,公舘里,臺中市西區公館里23鄰三民路一段18號,166.0,120.667148,24.129508,1.0,第一分局
230.0,公舘里,臺中市西區公館里23鄰三民路一段26號,115.0,120.667123,24.129701,1.0,第一分局
231.0,公舘里,臺中市西區公館里36鄰永安街83號,362.0,120.665595,24.129746,1.0,第一分局
232.0,公舘里,臺中市西區公館里36鄰永安街87號,158.0,120.665668,24.129678,1.0,第一分局
233.0,公舘里,臺中市西區公館里32鄰三民路一段50巷1之8號,2233.0,120.6683418,24.13027839,1.0,第一分局
234.0,公舘里,臺中市西區公館里02鄰南屯路一段68巷32號,178.0,120.665139,24.132476,1.0,第一分局
235.0,公舘里,臺中市西區公館里02鄰南屯路一段58號,125.0,120.665978,24.132358,1.0,第一分局
236.0,公舘里,臺中市西區公館里02鄰樂群街381號,288.0,120.665696,24.132611,1.0,第一分局
237.0,公舘里,臺中市西區公館里02鄰樂群街363號,288.0,120.665839,24.132923,1.0,第一分局
238.0,公舘里,臺中市西區公館里15鄰永安街16號,114.0,120.664624,24.131273,1.0,第一分局
239.0,藍興里,臺中市西區藍興里11鄰五權路2-211號之4,334.0,120.667281,24.132456,1.0,第一分局
240.0,藍興里,臺中市西區藍興里11鄰五權路2-211號之5,225.0,120.6673,24.132417,1.0,第一分局
241.0,藍興里,臺中市西區藍興里11鄰五權路2-211號之6,237.0,120.667317,24.132386,1.0,第一分局
242.0,藍興里,臺中市西區藍興里11鄰五權路2-211號之7,163.0,120.667321,24.132331,1.0,第一分局
243.0,民生里,臺中市西區民生里15鄰綠川西街2號,324.0,120.68055,24.135421,1.0,第一分局
244.0,民生里,臺中市西區民生里12鄰建國路71號,142.0,120.681826,24.135802,1.0,第一分局
245.0,民生里,臺中市西區民生里13鄰建國路59號,85.0,120.681366,24.135632,1.0,第一分局
246.0,民生里,臺中市西區民生里13鄰建國路61號,88.0,120.681422,24.135662,1.0,第一分局
247.0,民生里,臺中市西區民生里13鄰建國路63號,114.0,120.681493,24.135694,1.0,第一分局
248.0,民生里,臺中市西區民生里15鄰綠川西街4號,190.0,120.680946,24.135757,1.0,第一分局
249.0,藍興里,臺中市西區藍興里16鄰建國北路三段16號,93.0,120.669107,24.130345,1.0,第一分局
250.0,藍興里,臺中市西區藍興里15鄰三民路一段58-3號,199.0,120.668177,24.130672,1.0,第一分局
251.0,藍興里,臺中市西區藍興里15鄰三民路一段68號,85.0,120.668456,24.131456,1.0,第一分局
252.0,藍興里,臺中市西區藍興里16鄰建國北路三段8號,81.0,120.668623,24.130291,1.0,第一分局
253.0,藍興里,臺中市西區藍興里04鄰仁福街12號,208.0,120.66865,24.130424,1.0,第一分局
254.0,藍興里,臺中市西區藍興里018鄰自由路一段28之5號,400.0,120.6703138,24.13184356,1.0,第一分局
255.0,藍興里,臺中市西區藍興里04鄰仁福街38號,238.0,120.668935,24.130693,1.0,第一分局
256.0,藍興里,臺中市西區藍興里04鄰仁福街41號,166.0,120.668878,24.130925,1.0,第一分局
257.0,藍興里,臺中市西區藍興里21鄰自由路一段32號,113.0,120.670481,24.131691,1.0,第一分局
258.0,藍興里,臺中市西區藍興里16鄰仁福街18號,209.0,120.668693,24.13059,1.0,第一分局
259.0,三民里,臺中市西區三民里05鄰三民路一段161號,1016.0,120.673006,24.13643879,12.0,第一分局
260.0,藍興里,臺中市西區藍興里09鄰大全街129號,138.0,120.667663,24.132515,1.0,第一分局
261.0,三民里,臺中市西區三民里14鄰三民路一段187號,294.0,120.675287,24.138722,1.0,第一分局
262.0,東昇里,臺中市西區東昇里07鄰朝陽街79號,1009.0,120.669045,24.136154,2.0,第一分局
263.0,廣民里,臺中市西區廣民里20鄰大明街27號,675.0,120.674204,24.139315,1.0,第一分局
264.0,三民里,臺中市西區三民里03鄰四維街42號,230.0,120.674837,24.138397,1.0,第一分局
