編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別
47.0,臺中市北屯區太原路3段423號,1.0,520.0,第五分局,120.6988344,24.16524059,三光里
48.0,臺中市北屯區太原路3段633號,5.0,1011.0,第五分局,120.7071639,24.16513069,水景里
49.0,臺中市北屯區太原路554號,1.0,416.0,第五分局,120.6975039,24.16488275,北興里
50.0,臺中市北屯區文心路4段956號,1.0,2151.0,第五分局,120.6956428,24.17063731,平昌里
51.0,"臺中市北屯區文昌東12街15號 ",1.0,870.0,第五分局,120.6949781,24.16708594,三光里
52.0,"臺中市北屯區文昌東十一街47號 ",1.0,1031.0,第五分局,120.6938715,24.16816775,平昌里
53.0,臺中市北屯區東山路1段147巷31弄1號,1.0,33.0,第五分局,120.7064542,24.17094962,水景里
54.0,臺中市北屯區東山路1段147巷41弄5號,1.0,33.0,第五分局,120.7064942,24.17132777,水景里
55.0,臺中市北屯區東山路1段192-1號,1.0,25.0,第五分局,120.7098265,24.17154408,水景里
56.0,臺中市北屯區東山路1段192-2號,1.0,25.0,第五分局,120.7098655,24.17149049,水景里
57.0,臺中市北屯區東山路1段192-33號,1.0,33.0,第五分局,120.7110593,24.17216244,水景里
58.0,臺中市北屯區東山路1段192-34號,1.0,33.0,第五分局,120.7100544,24.17133205,水景里
59.0,臺中市北屯區東山路1段192巷3弄10號,1.0,58.0,第五分局,120.7100115,24.17136141,水景里
60.0,臺中市北屯區東山路1段192巷3弄14號,1.0,58.0,第五分局,120.7100034,24.17118519,水景里
61.0,臺中市北屯區東山路1段192巷3弄18號,1.0,58.0,第五分局,120.7102328,24.17135305,水景里
62.0,臺中市北屯區東山路1段192巷3弄19號,1.0,58.0,第五分局,120.7102328,24.17135305,水景里
63.0,臺中市北屯區東山路1段192巷3弄21號,1.0,33.0,第五分局,120.7103964,24.17154777,水景里
64.0,臺中市北屯區東山路1段192巷3弄22號,1.0,58.0,第五分局,120.710308,24.17131211,水景里
65.0,臺中市北屯區東山路1段192巷3弄26號,1.0,58.0,第五分局,120.7103757,24.17142882,水景里
66.0,臺中市北屯區東山路1段192巷3弄30號,1.0,58.0,第五分局,120.710454,24.17145072,水景里
67.0,臺中市北屯區東山路1段192號,1.0,58.0,第五分局,120.7103568,24.17179559,水景里
68.0,臺中市北屯區水景街11號,1.0,83.0,第五分局,120.7115093,24.17017883,水景里
69.0,臺中市北屯區水景街13號,1.0,83.0,第五分局,120.7115304,24.17028324,水景里
70.0,臺中市北屯區水景街17號,1.0,83.0,第五分局,120.7115264,24.17041391,水景里
71.0,臺中市北屯區水景街19號,1.0,86.0,第五分局,120.7114873,24.17045111,水景里
72.0,臺中市北屯區水景街21號,1.0,83.0,第五分局,120.7114552,24.17045366,水景里
73.0,臺中市北屯區水景街7號,1.0,83.0,第五分局,120.7115582,24.17019052,水景里
74.0,臺中市北屯區水景街9號,1.0,83.0,第五分局,120.7115057,24.17018073,水景里
75.0,臺中市北屯區東山路1段東興巷6號,1.0,83.0,第五分局,120.7128008,24.17213156,水景里
76.0,臺中市北屯區東山路1段200號,1.0,83.0,第五分局,120.7121098,24.17258995,水景里
77.0,臺中市北屯區東山路1段202號,1.0,83.0,第五分局,120.7121692,24.17264823,水景里
78.0,臺中市北屯區東山路1段204號,1.0,33.0,第五分局,120.7122044,24.172683,水景里
79.0,臺中市北屯區東山路1段206-12號,1.0,33.0,第五分局,120.7124118,24.17263264,水景里
80.0,臺中市北屯區東山路1段206號,1.0,33.0,第五分局,120.7123904,24.17269136,水景里
81.0,臺中市北屯區東山路1段208-1號,1.0,50.0,第五分局,120.7124882,24.17268245,水景里
82.0,臺中市北屯區東山路1段208-2號,1.0,50.0,第五分局,120.7124668,24.17268801,水景里
83.0,臺中市北屯區東山路1段210巷12弄15號,1.0,50.0,第五分局,120.7126441,24.17228883,水景里
84.0,臺中市北屯區東山路1段210巷12弄17號,1.0,50.0,第五分局,120.7126589,24.17211653,水景里
85.0,臺中市北屯區東山路1段210巷12弄19號,1.0,50.0,第五分局,120.7127929,24.17213981,水景里
86.0,臺中市北屯區東山路1段210巷12弄20號,1.0,50.0,第五分局,120.7126003,24.17205968,水景里
87.0,臺中市北屯區東山路1段210巷12弄21號,1.0,42.0,第五分局,120.7128738,24.17227991,水景里
88.0,臺中市北屯區東山路1段210巷12弄22號,1.0,50.0,第五分局,120.7126539,24.17216735,水景里
89.0,臺中市北屯區東山路1段210巷12弄23號,1.0,42.0,第五分局,120.7123957,24.17203643,水景里
90.0,臺中市北屯區東山路1段210巷12弄25號,1.0,42.0,第五分局,120.71233,24.17209374,水景里
91.0,臺中市北屯區東山路1段210巷12弄27號,1.0,42.0,第五分局,120.7122114,24.17203225,水景里
92.0,臺中市北屯區東山路1段210巷12弄29號,1.0,33.0,第五分局,120.7123659,24.17189604,水景里
93.0,臺中市北屯區東山路1段210巷12弄31號,1.0,33.0,第五分局,120.7122903,24.17175217,水景里
94.0,臺中市北屯區東山路1段210巷12弄35號,1.0,66.0,第五分局,120.7123471,24.17179742,水景里
95.0,臺中市北屯區東山路1段210巷12弄37號,1.0,33.0,第五分局,120.712599,24.17182914,水景里
96.0,臺中市北屯區東山路1段210巷12弄39號,1.0,33.0,第五分局,120.7123844,24.17178993,水景里
97.0,臺中市北屯區東山路1段210巷12弄41號,1.0,33.0,第五分局,120.7126557,24.17168965,水景里
98.0,臺中市北屯區東山路1段210巷12弄43號,1.0,33.0,第五分局,120.712694,24.17177729,水景里
99.0,臺中市北屯區東山路1段210巷12弄45號,1.0,33.0,第五分局,120.7126761,24.17181093,水景里
100.0,臺中市北屯區東山路1段192巷5弄11號,1.0,83.0,第五分局,120.7098139,24.17102677,水景里
101.0,臺中市北屯區東山路1段192巷5弄9號,1.0,42.0,第五分局,120.7102739,24.17087755,水景里
102.0,臺中市北屯區東山路1段186-1號,1.0,33.0,第五分局,120.7085816,24.17064143,水景里
103.0,臺中市北屯區東山路1段186-2號,1.0,33.0,第五分局,120.7091998,24.17095769,水景里
104.0,臺中市北屯區東山路1段186-3號,1.0,33.0,第五分局,120.7085988,24.17063044,水景里
105.0,臺中市北屯區東山路1段147巷20弄30-2號,1.0,42.0,第五分局,120.7077707,24.17106093,水景里
106.0,臺中市北屯區東山路1段147巷20弄30號,1.0,50.0,第五分局,120.7076048,24.17089358,水景里
107.0,臺中市北屯區東山路1段147巷20弄6號,1.0,33.0,第五分局,120.7074968,24.17087774,水景里
108.0,臺中市北屯區東山路1段209號,1.0,33.0,第五分局,120.712813,24.17311626,水景里
109.0,臺中市北屯區東山路1段215-1號,1.0,33.0,第五分局,120.7135602,24.17354946,水景里
110.0,臺中市北屯區東山路1段215-2號,1.0,33.0,第五分局,120.7135952,24.17363908,水景里
111.0,臺中市北屯區東山路1段215-3號,1.0,33.0,第五分局,120.7136624,24.17367377,水景里
112.0,臺中市北屯區東山路1段215-4號,1.0,33.0,第五分局,120.7136201,24.17360636,水景里
113.0,臺中市北屯區東山路1段215-6號,1.0,33.0,第五分局,120.7137174,24.17374715,水景里
114.0,臺中市北屯區東山路1段215-7號,1.0,33.0,第五分局,120.7138606,24.17370074,水景里
115.0,臺中市北屯區東山路1段215號,1.0,33.0,第五分局,120.7136741,24.17368135,水景里
116.0,臺中市北屯區東山路1段147巷40弄11-28號,1.0,8.0,第五分局,120.707804,24.17196287,水景里
117.0,臺中市北屯區東山路1段208-10號,1.0,50.0,第五分局,120.7128477,24.17287109,水景里
118.0,臺中市北屯區東山路1段208-6號,1.0,50.0,第五分局,120.7126216,24.17277971,水景里
119.0,臺中市北屯區東山路1段208-7號,1.0,50.0,第五分局,120.7126006,24.17288082,水景里
120.0,臺中市北屯區東山路1段208-9號,1.0,50.0,第五分局,120.712687,24.17294298,水景里
121.0,臺中市北屯區東山路1段208號,1.0,50.0,第五分局,120.7124119,24.1727955,水景里
122.0,臺中市北屯區東山路1段210巷10-1號,1.0,50.0,第五分局,120.7130811,24.17249621,水景里
123.0,臺中市北屯區東山路1段210巷10號,1.0,50.0,第五分局,120.7130048,24.17266233,水景里
124.0,臺中市北屯區東山路1段210巷12弄5號,1.0,42.0,第五分局,120.7128068,24.17231418,水景里
125.0,臺中市北屯區東山路1段210巷12弄7號,1.0,42.0,第五分局,120.7128317,24.17222114,水景里
126.0,臺中市北屯區東山路1段210巷14號,1.0,42.0,第五分局,120.7130453,24.17246186,水景里
127.0,臺中市北屯區東山路1段210巷16號,1.0,42.0,第五分局,120.7130696,24.17237695,水景里
128.0,臺中市北屯區東山路1段210巷18號,1.0,42.0,第五分局,120.7131869,24.17235826,水景里
129.0,臺中市北屯區東山路1段210巷2號,1.0,50.0,第五分局,120.7128682,24.17276796,水景里
130.0,臺中市北屯區東山路1段210巷4號,1.0,50.0,第五分局,120.7129605,24.17273426,水景里
131.0,臺中市北屯區東山路1段210巷6號,1.0,50.0,第五分局,120.7129235,24.17264125,水景里
132.0,臺中市北屯區東山路1段210巷8號,1.0,50.0,第五分局,120.7130415,24.17277831,水景里
133.0,臺中市北屯區東山路1段212-1號,1.0,50.0,第五分局,120.7130561,24.17284441,水景里
134.0,臺中市北屯區東山路1段212-2號,1.0,50.0,第五分局,120.7130561,24.17284441,水景里
135.0,臺中市北屯區東山路1段212號,1.0,50.0,第五分局,120.7129757,24.17292271,水景里
136.0,臺中市北屯區東山路1段216號,1.0,25.0,第五分局,120.7133329,24.17287616,水景里
137.0,臺中市北屯區水景街23號,1.0,83.0,第五分局,120.7115139,24.17047223,水景里
138.0,臺中市北屯區水景街5號,1.0,116.0,第五分局,120.7115575,24.17015871,水景里
139.0,"臺中市北屯區水景街88巷3號 ",1.0,923.0,第五分局,120.7117367,24.17365704,水景里
140.0,臺中市北屯區國校巷64號,1.0,83.0,第五分局,120.6906373,24.16545813,北京里
141.0,臺中市北屯區國校巷68號,1.0,83.0,第五分局,120.6907993,24.16534599,北京里
142.0,"臺中市北屯區北屯路106號 ",1.0,500.0,第五分局,120.6937589,24.16405264,北興里
143.0,"臺中市北屯區北屯路174-1號 ",1.0,100.0,第五分局,120.6947614,24.16548722,三光里
144.0,"臺中市北屯區北屯路174號 ",1.0,292.0,第五分局,120.6946755,24.16530124,三光里
145.0,"臺中市北屯區北屯路190號 ",1.0,166.0,第五分局,120.6950483,24.16610548,三光里
146.0,"臺中市北屯區北屯路192號 ",1.0,200.0,第五分局,120.6951154,24.16613333,三光里
147.0,"臺中市北屯區北屯路200巷5號 ",1.0,578.0,第五分局,120.6959268,24.16690157,三光里
148.0,臺中市北屯區北屯路212巷126號,1.0,258.0,第五分局,120.6990794,24.16645862,三光里
149.0,"臺中市北屯區北屯路226巷41弄61號 ",1.0,283.0,第五分局,120.6987473,24.16950186,三光里
150.0,"臺中市北屯區北屯路226巷43號 ",3.0,1292.0,第五分局,120.698374,24.16845256,三光里
151.0,"臺中市北屯區北屯路226巷47號 ",1.0,500.0,第五分局,120.698537,24.16842777,三光里
152.0,臺中市北屯區北屯路226巷61號,1.0,388.0,第五分局,120.698764,24.16881686,三光里
153.0,臺中市北屯區北屯路226巷7號,1.0,150.0,第五分局,120.6972388,24.1691904,三光里
154.0,"臺中市北屯區北屯路226巷94弄2號 ",1.0,753.0,第五分局,120.697705,24.16797911,三光里
155.0,"臺中市北屯區北屯路240巷5-1號 ",1.0,735.0,第五分局,120.6980334,24.16998393,三光里
156.0,"臺中市北屯區北屯路247號 ",1.0,333.0,第五分局,120.6942996,24.16578201,北屯里
157.0,"臺中市北屯區北屯路72巷1-1號 ",1.0,166.0,第五分局,120.6934981,24.16327152,北興里
158.0,"臺中市北屯區北平路4段207號 ",1.0,166.0,第五分局,120.6968185,24.16999943,三光里
159.0,臺中市北屯區北安街53號,1.0,250.0,第五分局,120.6978664,24.16479635,北興里
160.0,臺中市北屯區進化北路55號,1.0,83.0,第五分局,120.6902908,24.16304491,北京里
161.0,臺中市北屯區北屯路135號,1.0,75.0,第五分局,120.6929777,24.16339431,北京里
162.0,臺中市北屯區進化北路6號,1.0,83.0,第五分局,120.6905264,24.16339645,北京里
163.0,臺中市北屯區進化北路20號,1.0,83.0,第五分局,120.6901188,24.16324966,北京里
164.0,臺中市北屯區進化北路24巷7弄17號,1.0,75.0,第五分局,120.6894117,24.1635423,北京里
165.0,臺中市北屯區進化北路24巷8弄12號,1.0,83.0,第五分局,120.6904817,24.16361245,北京里
166.0,臺中市北屯區進化北路64巷1號,1.0,83.0,第五分局,120.6891633,24.16349199,北京里
167.0,臺中市北屯區進化北路64巷3號,1.0,83.0,第五分局,120.6891377,24.16360897,北京里
168.0,臺中市北屯區天祥街37號,1.0,92.0,第五分局,120.6957001,24.16146754,北京里
169.0,臺中市北屯區進化北路39巷21號,1.0,75.0,第五分局,120.6911689,24.1622654,北京里
170.0,臺中市北屯區進化北路75號,1.0,83.0,第五分局,120.6892588,24.16298798,北京里
171.0,"臺中市北屯區北祥街6號 ",1.0,250.0,第五分局,120.6991616,24.16433126,北興里
172.0,臺中市北屯區北華街113巷2號,1.0,158.0,第五分局,120.6962285,24.16259129,北興里
173.0,臺中市北屯區北華街115號,1.0,125.0,第五分局,120.6964325,24.16256161,北興里
174.0,臺中市北屯區北華街119號,1.0,208.0,第五分局,120.6965782,24.16259533,北興里
175.0,"臺中市北屯區北華街153號 ",1.0,350.0,第五分局,120.6977569,24.16244216,北興里
176.0,臺中市北屯區北華街210號,1.0,416.0,第五分局,120.6987395,24.16209719,北興里
177.0,臺中市北屯區北華街47號,1.0,150.0,第五分局,120.6944538,24.16293481,北興里
178.0,臺中市北屯區北華街49-1號,1.0,145.0,第五分局,120.6945226,24.16290525,北興里
179.0,"臺中市北屯區北華街50弄30-11號  ",1.0,266.0,第五分局,120.694446,24.16258813,北興里
180.0,臺中市北屯區北華街71巷1號,1.0,483.0,第五分局,120.6948939,24.16298638,北興里
181.0,"臺中市北屯區北華街87巷25號 ",1.0,150.0,第五分局,120.6950213,24.16299636,北興里
182.0,臺中市北屯區北華街93號,1.0,166.0,第五分局,120.6958898,24.16275014,北興里
183.0,臺中市北屯區三光巷8號,1.0,92.0,第五分局,120.6942809,24.1643922,北興里
184.0,臺中市北屯區北華街71巷6號,1.0,83.0,第五分局,120.6954807,24.16293438,北興里
185.0,臺中市北屯區北興巷22弄9-1號,1.0,725.0,第五分局,120.6886274,24.16379881,北興里
186.0,臺中市北屯區北興巷26號,1.0,250.0,第五分局,120.6897435,24.16413513,北興里
187.0,臺中市北屯區北興巷30號,1.0,225.0,第五分局,120.6895447,24.16414922,北興里
188.0,臺中市北屯區北興巷50弄63號,1.0,308.0,第五分局,120.6879897,24.16378474,北興里
189.0,臺中市北屯區北興街43號,1.0,800.0,第五分局,120.6889023,24.16387834,北京里
190.0,臺中市北屯區昌平路1段48號,1.0,42.0,第五分局,120.6934097,24.16786577,平昌里
191.0,臺中市北屯區昌平路1段50號,1.0,42.0,第五分局,120.6933146,24.16787917,平昌里
192.0,臺中市北屯區昌平路1段52號,1.0,42.0,第五分局,120.6934546,24.1680829,平昌里
193.0,臺中市北屯區興安路1段128巷3號,1.0,66.0,第五分局,120.6935975,24.16851725,平昌里
194.0,臺中市北屯區江興街89號,2.0,1757.0,第五分局,120.6968779,24.16350791,北興里
195.0,臺中市北屯區旱溪東路三段41號,1.0,520.0,第五分局,120.7110848,24.17604094,水景里
196.0,"臺中市北屯區昌平路1段17之3號 ",3.0,539.0,第五分局,120.694358,24.1658246,北屯里
197.0,臺中市北屯區昌平路1段21巷6號,2.0,553.0,第五分局,120.6938709,24.16635528,北屯里
198.0,"臺中市北屯區昌平路1段30-11號 ",1.0,200.0,第五分局,120.6939379,24.16702947,平昌里
199.0,臺中市北屯區昌平路1段30-12號,1.0,166.0,第五分局,120.6940174,24.16715314,平昌里
200.0,"臺中市北屯區昌平路一段30-6號 ",1.0,905.0,第五分局,120.6941657,24.16692888,三光里
201.0,"臺中市北屯區東山路1段138巷31號 ",1.0,142.0,第五分局,120.7027667,24.16787394,三和里
202.0,臺中市北屯區東山路1段138巷46-2號,1.0,132.0,第五分局,120.7026564,24.16759112,三和里
203.0,臺中市北屯區東山路1段138巷50號,1.0,308.0,第五分局,120.7026048,24.16754309,三和里
204.0,臺中市北屯區東山路1段140巷2弄13-4號,1.0,875.0,第五分局,120.7032979,24.16817277,三和里
205.0,臺中市北屯區東山路1段140巷81弄14-3號,1.0,425.0,第五分局,120.704458,24.16742211,三和里
206.0,"臺中市北屯區東山路1段146號 ",2.0,3373.0,第五分局,120.7041095,24.16950592,三和里
207.0,臺中市北屯區東山路1段147巷20弄30-2號,1.0,520.0,第五分局,120.7077386,24.17106093,水景里
208.0,臺中市北屯區東山路1段147巷21弄1號,1.0,186.0,第五分局,120.7063934,24.17060174,水景里
209.0,臺中市北屯區東山路1段147巷40弄11-21號,1.0,260.0,第五分局,120.7072233,24.17203399,水景里
210.0,臺中市北屯區東山路1段154巷22弄33號,1.0,784.0,第五分局,120.7081409,24.1690551,水景里
211.0,臺中市北屯區東山路1段192-31號,1.0,100.0,第五分局,120.7109005,24.17206959,水景里
212.0,臺中市北屯區東山路1段192巷25弄46號,1.0,542.0,第五分局,120.7099788,24.16982634,水景里
213.0,臺中市北屯區東山路1段192巷25弄47號,1.0,100.0,第五分局,120.7099788,24.16982634,水景里
214.0,"臺中市北屯區東山路1段192巷28弄17號 ",1.0,520.0,第五分局,120.7097703,24.16995724,水景里
215.0,臺中市北屯區東山路1段207巷37號,1.0,1620.0,第五分局,120.7124575,24.17388394,水景里
216.0,臺中市北屯區東山路1段210巷11弄5號,1.0,283.0,第五分局,120.7133117,24.17306833,水景里
217.0,臺中市北屯區東山路1段218巷6弄1號,1.0,108.0,第五分局,120.7145697,24.17353341,軍功里
218.0,臺中市北屯區東山路1段218巷6弄2號,1.0,1911.0,第五分局,120.7144899,24.17340541,軍功里
219.0,臺中市北屯區東山路1段220-18號,1.0,810.0,第五分局,120.7165338,24.17518337,軍功里
220.0,臺中市北屯區東山路1段225-16巷1號,1.0,375.0,第五分局,120.7159929,24.1751768,軍功里
221.0,"臺中市北屯區東山路1段225-16號 ",1.0,1055.0,第五分局,120.7160358,24.17520616,軍功里
222.0,臺中市北屯區東山路1段240號,1.0,216.0,第五分局,120.7177167,24.17559017,軍功里
223.0,"臺中市北屯區東山路1段244號 ",1.0,100.0,第五分局,120.7177666,24.17565521,軍功里
224.0,"臺中市北屯區東山路1段246-1號 ",1.0,100.0,第五分局,120.717811,24.1756898,軍功里
225.0,臺中市北屯區東山路1段246-3號,1.0,100.0,第五分局,120.7178613,24.17561028,軍功里
226.0,臺中市北屯區東山路1段246號,1.0,100.0,第五分局,120.7177648,24.17562007,軍功里
227.0,臺中市北屯區東山路1段248號,1.0,783.0,第五分局,120.7180386,24.17562245,軍功里
228.0,"臺中市北屯區東山路1段50巷30弄11號 ",1.0,202.0,第五分局,120.7012003,24.16783542,三和里
229.0,"臺中市北屯區東山路1段50巷40-2號 ",1.0,208.0,第五分局,120.7018797,24.16778358,三和里
230.0,"臺中市北屯區東山路1段50巷47號 ",1.0,200.0,第五分局,120.7020259,24.16756886,三和里
231.0,臺中市北屯區東山路1段50巷58號,1.0,3450.0,第五分局,120.7016134,24.16725334,三和里
232.0,"臺中市北屯區東山路一段147巷266號 ",1.0,629.0,第五分局,120.7102122,24.17285783,水景里
233.0,臺中市北屯區東山路一段152號,1.0,651.0,第五分局,120.7064238,24.17121323,水景里
234.0,"臺中市北屯區東山路一段238巷15弄33號 ",1.0,472.0,第五分局,120.7186069,24.17575848,軍功里
235.0,臺中市北屯區東光路790號,1.0,1161.0,第五分局,120.7005235,24.16799937,三和里
236.0,臺中市北屯區松竹二路138號,1.0,81.0,第五分局,120.7176438,24.1819658,軍功里
237.0,臺中市北屯區松竹五路261號,1.0,638.0,第五分局,120.7132662,24.18197339,軍功里
238.0,臺中市北屯區松竹五路2段428號,3.0,373.0,第五分局,120.7136897,24.1825212,軍功里
239.0,"臺中市北屯區松竹五路89號 ",1.0,376.0,第五分局,120.7124607,24.17711893,水景里
240.0,"臺中市北屯區松竹路1段833號 ",3.0,579.0,第五分局,120.7160522,24.18302889,軍功里
241.0,"臺中市北屯區松竹路1段929號 ",4.0,1081.0,第五分局,120.7126969,24.18311449,軍功里
242.0,臺中市北屯區松竹路3段33號,3.0,687.0,第五分局,120.7152778,24.18201675,軍功里
243.0,"臺中市北屯區松竹路一段887號 ",3.0,2058.0,第五分局,120.714839,24.18293144,軍功里
244.0,"臺中市北屯區青島路4段10號 ",1.0,166.0,第五分局,120.6855347,24.16900366,北屯里
245.0,臺中市北屯區青島路4段199號,1.0,116.0,第五分局,120.6918808,24.16746073,北屯里
246.0,臺中市北屯區青島路4段203號,1.0,3333.0,第五分局,120.6918709,24.16723607,北屯里
247.0,臺中市北屯區青島路4段239號,1.0,416.0,第五分局,120.6924526,24.16623504,北屯里
248.0,臺中市北屯區南京東路3段142號,1.0,516.0,第五分局,120.6999573,24.16864104,三光里
249.0,臺中市北屯區軍功路2段88號,1.0,144.0,第五分局,120.7196034,24.17823492,軍功里
250.0,"臺中市北屯區軍和街227巷22弄2號 ",1.0,624.0,第五分局,120.7204169,24.17865137,軍功里
251.0,臺中市北屯區軍和街27號,1.0,3562.0,第五分局,120.7151256,24.17594158,軍功里
252.0,"臺中市北屯區軍榮一街28號 ",3.0,1056.0,第五分局,120.7204689,24.17930266,軍功里
253.0,臺中市北屯區軍榮一街35號,3.0,365.0,第五分局,120.7202336,24.17990561,軍功里
254.0,"臺中市北屯區軍福18路99號 ",2.0,834.0,第五分局,120.7180521,24.17901257,軍功里
255.0,"臺中市北屯區軍福十八路275號 ",1.0,877.0,第五分局,120.7142459,24.17898702,軍功里
256.0,臺中市北屯區國校巷41號,1.0,116.0,第五分局,120.6905465,24.16535337,北京里
257.0,臺中市北屯區國校巷48號,1.0,116.0,第五分局,120.690518,24.16509014,北屯里
258.0,臺中市北屯區國校巷69號,1.0,125.0,第五分局,120.6906375,24.16639971,北屯里
259.0,臺中市北屯區國校巷7-2號,1.0,116.0,第五分局,120.6906281,24.16489974,北京里
260.0,臺中市北屯區崇興路1段15號,1.0,186.0,第五分局,120.6916707,24.1665437,北屯里
261.0,臺中市北屯區崇興路1段1號,1.0,739.0,第五分局,120.6920562,24.16664605,北屯里
262.0,臺中市北屯區崇興路1段78號,1.0,1527.0,第五分局,120.6905258,24.16656262,北屯里
263.0,臺中市北屯區景和東街360號,2.0,523.0,第五分局,120.7178592,24.17026501,水景里
264.0,"臺中市北屯區景和街336號 ",2.0,831.0,第五分局,120.7095209,24.17052801,水景里
265.0,臺中市北屯區景賢6路200號,1.0,2022.0,第五分局,120.7123086,24.16742726,水景里
266.0,"臺中市北屯區景賢二路56號 ",2.0,1020.0,第五分局,120.7149405,24.16590505,水景里
267.0,"臺中市北屯區景賢南一路26號 ",1.0,366.0,第五分局,120.7111053,24.16667118,水景里
268.0,臺中市北屯區景賢南二路307號,4.0,735.0,第五分局,120.7074945,24.16622,水景里
