類別,電腦編號,村里別,地下樓層數,可容納人數,轄館分局,備註
大樓,TMA0097,民權里,1.0,708.0,宜蘭分局,
公家機關,TMA0098,民權里,1.0,1076.0,宜蘭分局,
大樓,TMA0099,小東里,2.0,5432.0,宜蘭分局,
銀行,TMA0100,神農里,1.0,1525.0,宜蘭分局,
大樓,TMA0110,大新里,1.0,765.0,宜蘭分局,
學校,TMA0111,小東里,1.0,1364.0,宜蘭分局,
醫院,TMA0112,新民里,2.0,3082.0,宜蘭分局,
銀行,TMA0113,民權里,1.0,548.0,宜蘭分局,
公家機關,TMA0114,西門里,1.0,2696.0,宜蘭分局,
大樓,TMA0115,思源里,2.0,2322.0,宜蘭分局,
大樓,TMA0116,民權里,1.0,1252.0,宜蘭分局,
學校,TMB0001,思源里,1.0,16972.0,宜蘭分局,
大樓,TMB0002,文化里,2.0,567.0,宜蘭分局,
學校,TMB0003,思源里,1.0,3526.0,宜蘭分局,
大樓,TMB0004,文化里,1.0,311.0,宜蘭分局,
大樓,TMB0005,泰山里,1.0,1561.0,宜蘭分局,
旅館,TMB0006,民族里,1.0,600.0,宜蘭分局,
公寓,TMB0007,民族里,1.0,57.0,宜蘭分局,
公寓,TMB0008,復興里,1.0,83.0,宜蘭分局,
公寓,TMB0009,民族里,1.0,54.0,宜蘭分局,
公寓,TMB0010,泰山里,1.0,327.0,宜蘭分局,
大樓,TMB0011,思源里,1.0,5667.0,宜蘭分局,
公寓,TMB0012,文化里,1.0,60.0,宜蘭分局,
公寓,TMB0013,文化里,1.0,94.0,宜蘭分局,
公寓,TMB0014,文化里,1.0,148.0,宜蘭分局,
公寓,TMB0015,民族里,1.0,140.0,宜蘭分局,
公寓,TMB0016,負郭里,1.0,32.0,宜蘭分局,
大樓,TMB0017,泰山里,1.0,1868.0,宜蘭分局,
大樓,TMB0018,文化里,1.0,893.0,宜蘭分局,
公寓,TMB0019,復興里,1.0,393.0,宜蘭分局,
大樓,TMB0020,思源里,1.0,2939.0,宜蘭分局,
大樓,TMB0021,思源里,1.0,1300.0,宜蘭分局,
公寓,TMB0022,泰山里,1.0,51.0,宜蘭分局,
公寓,TMB0023,文化里,1.0,33.0,宜蘭分局,
公寓,TMB0024,負郭里,1.0,152.0,宜蘭分局,
學校,TMB0025,思源里,1.0,298.0,宜蘭分局,
大樓,TMB0026,民族里,1.0,635.0,宜蘭分局,
大樓,TMB0028,思源里,2.0,954.0,宜蘭分局,
大樓,TMB0029,負郭里,1.0,2042.0,宜蘭分局,
公寓,TMB0030,文化里,1.0,298.0,宜蘭分局,
大樓,TMB0031,泰山里,1.0,861.0,宜蘭分局,
公寓,TMB0032,負郭里,1.0,219.0,宜蘭分局,
公寓,TMB0033,泰山里,1.0,170.0,宜蘭分局,
公寓,TMB0035,負郭里,1.0,124.0,宜蘭分局,
公寓,TMB0037,文化里,1.0,131.0,宜蘭分局,
公寓,TMB0038,文化里,1.0,246.0,宜蘭分局,
大樓,TMB0039,思源里,1.0,282.0,宜蘭分局,
大樓,TMB0040,文化里,1.0,1143.0,宜蘭分局,
大樓,TMB0041,思源里,1.0,2581.0,宜蘭分局,
大樓,TMB0042,文化里,1.0,206.0,宜蘭分局,
公寓,TMB0043,泰山里,1.0,79.0,宜蘭分局,
公寓,TMB0045,負郭里,1.0,129.0,宜蘭分局,
大樓,TMB0046,建軍里,1.0,328.0,宜蘭分局,
大樓,TMB0047,民族里,1.0,544.0,宜蘭分局,
公寓,TMB0048,泰山里,1.0,190.0,宜蘭分局,
大樓,TMB0049,建軍里,2.0,5041.0,宜蘭分局,
大樓,TMB0050,七結里,1.0,600.0,宜蘭分局,
大樓,TMB0051,文化里,1.0,527.0,宜蘭分局,
學校,TMB0052,思源里,1.0,5826.0,宜蘭分局,
大樓,TMB0053,文化里,2.0,3684.0,宜蘭分局,
佛堂,TMB0054,復興里,1.0,64.0,宜蘭分局,
公寓,TMB0056,建軍里,1.0,222.0,宜蘭分局,
公寓,TMB0057,復興里,1.0,107.0,宜蘭分局,
公寓,TMB0058,民族里,1.0,28.0,宜蘭分局,
學校,TMB0059,思源里,1.0,1006.0,宜蘭分局,
公寓,TMB0060,建軍里,1.0,230.0,宜蘭分局,
學校,TMB0062,文化里,1.0,132.0,宜蘭分局,
大樓,TMB0063,復興里,1.0,550.0,宜蘭分局,
公寓,TMB0064,復興里,1.0,133.0,宜蘭分局,
大樓,TMB0065,復興里,1.0,1896.0,宜蘭分局,
大樓,TMB0066,民族里,1.0,1447.0,宜蘭分局,
大樓,TMB0067,文化里,1.0,3453.0,宜蘭分局,
學校,TMB0068,思源里,1.0,3504.0,宜蘭分局,
大樓,TMB0069,負郭里,2.0,18590.0,宜蘭分局,
公家機關,TMB0070,負郭里,2.0,3996.0,宜蘭分局,
公寓,TMB0073,建軍里,1.0,39.0,宜蘭分局,
公寓,TMB0075,負郭里,1.0,112.0,宜蘭分局,
公家機關,TMB0076,復興里,1.0,49.0,宜蘭分局,
學校,TMB0079,負郭里,1.0,2692.0,宜蘭分局,
公寓,TMB0087,南門里,1.0,27.0,宜蘭分局,
大樓,TMB0088,南門里,1.0,314.0,宜蘭分局,
公寓,TMB0089,南門里,1.0,96.0,宜蘭分局,
公寓,TMB0090,南門里,1.0,66.0,宜蘭分局,
公寓,TMB0091,負郭里,1.0,69.0,宜蘭分局,
公寓,TMB0092,負郭里,1.0,84.0,宜蘭分局,
大樓,TMB0093,復興里,1.0,458.0,宜蘭分局,
大樓,TMB0094,南門里,4.0,47374.0,宜蘭分局,
公家機關,TMB0095,負郭里,1.0,2397.0,宜蘭分局,
大樓,TMB0096,復興里,1.0,761.0,宜蘭分局,
大樓,TMB0097,七結里,1.0,2759.0,宜蘭分局,
大樓,TMB0098,建軍里,1.0,2613.0,宜蘭分局,
大樓,TMB0099,民族里,1.0,317.0,宜蘭分局,
公寓,TMB0100,復興里,1.0,86.0,宜蘭分局,
大樓,TMB0101,負郭里,1.0,1429.0,宜蘭分局,
公寓,TMB0102,文化里,1.0,121.0,宜蘭分局,
公寓,TMB0103,文化里,1.0,274.0,宜蘭分局,
公寓,TMB0104,民族里,1.0,265.0,宜蘭分局,
大樓,TMB0105,思源里,2.0,7820.0,宜蘭分局,
學校,TMB0106,建軍里,1.0,2323.0,宜蘭分局,
公寓,TMB0107,負郭里,1.0,383.0,宜蘭分局,
公寓,TMB0108,負郭里,1.0,109.0,宜蘭分局,
大樓,TMC0001,北津里,1.0,842.0,宜蘭分局,
工廠,TMC0002,梅洲里,1.0,18.0,宜蘭分局,
大樓,TMC0004,茭白里,1.0,3732.0,宜蘭分局,
工廠,TMC0005,新生里,1.0,84.0,宜蘭分局,
工廠,TMC0006,新生里,1.0,202.0,宜蘭分局,
大樓,TMC0007,北津里,1.0,1074.0,宜蘭分局,
公寓,TMC0008,梅洲里,1.0,82.0,宜蘭分局,
工廠,TMC0009,新生里,1.0,2140.0,宜蘭分局,
大樓,TMC0010,北津里,1.0,493.0,宜蘭分局,
大樓,TMC0011,茭白里,1.0,840.0,宜蘭分局,
大樓,TMC0012,北津里,1.0,1972.0,宜蘭分局,
工廠,TMC0013,梅洲里,1.0,105.0,宜蘭分局,
工廠,TMC0014,梅洲里,1.0,144.0,宜蘭分局,
工廠,TMC0015,梅洲里,1.0,242.0,宜蘭分局,
工廠,TMC0016,梅洲里,1.0,294.0,宜蘭分局,
工廠,TMC0017,梅洲里,1.0,137.0,宜蘭分局,
大樓,TMC0018,北津里,1.0,3117.0,宜蘭分局,
大樓,TMC0019,北津里,1.0,168.0,宜蘭分局,
工廠,TMC0021,梅洲里,1.0,26.0,宜蘭分局,
工廠,TMC0022,梅洲里,1.0,81.0,宜蘭分局,
工廠,TMC0023,梅洲里,1.0,54.0,宜蘭分局,
公寓,TMC0024,北津里,1.0,103.0,宜蘭分局,
工廠,TMC0026,新生里,1.0,102.0,宜蘭分局,
公寓,TMC0027,北門里,1.0,66.0,宜蘭分局,
公寓,TMC0028,北門里,1.0,73.0,宜蘭分局,
公寓,TMC0030,孝廉里,1.0,49.0,宜蘭分局,
公寓,TMC0031,北門里,1.0,325.0,宜蘭分局,
公寓,TMC0033,孝廉里,1.0,114.0,宜蘭分局,
公寓,TMC0036,孝廉里,1.0,83.0,宜蘭分局,
廟宇,TMC0039,北門里,3.0,2978.0,宜蘭分局,
大樓,TMC0040,孝廉里,2.0,2282.0,宜蘭分局,
大樓,TMC0041,菜園里,1.0,771.0,宜蘭分局,
工廠,TMC0042,孝廉里,1.0,297.0,宜蘭分局,
大樓,TMC0045,孝廉里,1.0,180.0,宜蘭分局,
公寓,TMC0046,菜園里,1.0,1069.0,宜蘭分局,
旅館,TMC0048,孝廉里,1.0,393.0,宜蘭分局,
公寓,TMC0051,菜園里,1.0,28.0,宜蘭分局,
廟宇,TMC0052,孝廉里,1.0,455.0,宜蘭分局,
大樓,TMC0053,孝廉里,1.0,396.0,宜蘭分局,
大樓,TMC0054,孝廉里,1.0,565.0,宜蘭分局,
學校,TMC0060,孝廉里,1.0,759.0,宜蘭分局,
大樓,TMC0061,菜園里,1.0,208.0,宜蘭分局,
旅館,TMC0062,茭白里,1.0,2318.0,宜蘭分局,
大樓,TMC0063,菜園里,2.0,3804.0,宜蘭分局,
廟宇,TMC0064,北門里,1.0,1855.0,宜蘭分局,
公寓,TMC0065,孝廉里,1.0,17.0,宜蘭分局,
公寓,TMC0066,菜園里,1.0,31.0,宜蘭分局,
公寓,TMC0068,菜園里,1.0,971.0,宜蘭分局,
大樓,TMC0069,新生里,1.0,3077.0,宜蘭分局,
公家機關,TMD0001,新東里,1.0,200.0,宜蘭分局,
電信局,TMD0002,新東里,1.0,1298.0,宜蘭分局,
公寓,TMD0003,東村里,1.0,106.0,宜蘭分局,
公寓,TMD0004,東村里,1.0,342.0,宜蘭分局,
公寓,TMD0005,成功里,1.0,189.0,宜蘭分局,
電信局,TMD0006,成功里,2.0,940.0,宜蘭分局,
公寓,TMD0007,成功里,1.0,2169.0,宜蘭分局,
大樓,TMD0008,新東里,1.0,1490.0,宜蘭分局,
大樓,TMD0009,延平里,1.0,670.0,宜蘭分局,
學校,TMD0010,成功里,1.0,1832.0,宜蘭分局,
電信局,TMD0011,延平里,1.0,1088.0,宜蘭分局,
大樓,TMD0012,成功里,1.0,1920.0,宜蘭分局,
大樓,TMD0013,成功里,1.0,164.0,宜蘭分局,
大樓,TMD0014,延平里,1.0,1238.0,宜蘭分局,
學校,TMD0015,成功里,1.0,221.0,宜蘭分局,
大樓,TMD0016,成功里,1.0,1391.0,宜蘭分局,
大樓,TMD0017,新東里,1.0,3418.0,宜蘭分局,
大樓,TMD0018,延平里,1.0,4778.0,宜蘭分局,
大樓,TMD0020,延平里,1.0,344.0,宜蘭分局,
大樓,TMD0021,新東里,1.0,808.0,宜蘭分局,
大樓,TMD0022,中興里,1.0,2680.0,宜蘭分局,
大樓,TMD0023,中興里,1.0,1333.0,宜蘭分局,
醫院,TMD0024,東村里,2.0,19085.0,宜蘭分局,
大樓,TMD0025,新東里,1.0,448.0,宜蘭分局,
公寓,TMD0026,東村里,1.0,187.0,宜蘭分局,
學校,TMD0027,延平里,1.0,298.0,宜蘭分局,
公家機關,TMD0028,延平里,1.0,111.0,宜蘭分局,
大樓,TMD0029,新東里,1.0,952.0,宜蘭分局,
公寓,TMD0030,東村里,1.0,327.0,宜蘭分局,
學校,TMD0032,新東里,1.0,103.0,宜蘭分局,
農會,TMD0033,東村里,1.0,184.0,宜蘭分局,
大樓,TME0001,建業里,2.0,20912.0,宜蘭分局,
大樓,TME0002,擺厘里,1.0,219.0,宜蘭分局,
公家機關,TME0003,南津里,2.0,8917.0,宜蘭分局,
公家機關,TME0004,南津里,1.0,4198.0,宜蘭分局,
公家機關,TME0005,南津里,1.0,2889.0,宜蘭分局,
公家機關,TME0006,南津里,2.0,4447.0,宜蘭分局,
公家機關,TME0007,南津里,1.0,4356.0,宜蘭分局,
公家機關,TME0008,南津里,1.0,5738.0,宜蘭分局,
公寓,TME0009,進士里,1.0,359.0,宜蘭分局,
大樓,TME0010,南津里,2.0,1968.0,宜蘭分局,
旅館,TME0011,南津里,3.0,2460.0,宜蘭分局,
公家機關,TME0012,建業里,1.0,5315.0,宜蘭分局,
學校,TME0013,建業里,1.0,1211.0,宜蘭分局,
大樓,TME0014,建業里,1.0,909.0,宜蘭分局,
大樓,TME0015,擺厘里,1.0,1922.0,宜蘭分局,
大樓,TME0016,擺厘里,1.0,504.0,宜蘭分局,
大樓,TME0017,擺厘里,1.0,1112.0,宜蘭分局,
大樓,TME0019,擺厘里,1.0,1641.0,宜蘭分局,
大樓,TME0020,擺厘里,1.0,614.0,宜蘭分局,
大樓,TME0021,擺厘里,1.0,1308.0,宜蘭分局,
大樓,TME0022,擺厘里,2.0,1298.0,宜蘭分局,
大樓,TME0023,擺厘里,1.0,1436.0,宜蘭分局,
大樓,TME0024,擺厘里,1.0,1008.0,宜蘭分局,
大樓,TME0025,擺厘里,2.0,4085.0,宜蘭分局,
大樓,TME0026,擺厘里,1.0,511.0,宜蘭分局,
電信局,TME0029,擺厘里,2.0,1943.0,宜蘭分局,
大樓,TME0030,進士里,1.0,2543.0,宜蘭分局,
大樓,TME0031,進士里,1.0,557.0,宜蘭分局,
大樓,TME0033,進士里,1.0,363.0,宜蘭分局,
大樓,TME0034,進士里,1.0,1433.0,宜蘭分局,
大樓,TME0035,進士里,1.0,1613.0,宜蘭分局,
大樓,TME0036,擺厘里,1.0,181.0,宜蘭分局,
學校,TME0037,擺厘里,1.0,733.0,宜蘭分局,
大樓,TME0038,擺厘里,1.0,285.0,宜蘭分局,
大樓,TME0041,擺厘里,2.0,1674.0,宜蘭分局,
公家機關,TME0043,建業里,1.0,1450.0,宜蘭分局,
學校,TME0045,擺厘里,1.0,580.0,宜蘭分局,
學校,TME0046,擺厘里,1.0,492.0,宜蘭分局,
學校,TME0047,南津里,1.0,789.0,宜蘭分局,
公家機關,TME0048,南津里,1.0,7562.0,宜蘭分局,
大樓,TME0049,進士里,1.0,405.0,宜蘭分局,
大樓,TME0050,擺厘里,1.0,588.0,宜蘭分局,
大樓,TME0051,進士里,1.0,1098.0,宜蘭分局,
農會,TMF0001,員山村,1.0,188.0,宜蘭分局,
公家機關,TMF0002,員山村,1.0,721.0,宜蘭分局,
公寓,TMF0003,員山村,1.0,147.0,宜蘭分局,
公家機關,TMF0004,員山村,1.0,723.0,宜蘭分局,
佛堂,TMG0001,枕山村,1.0,473.0,宜蘭分局,
電力公司,TMG0003,永和村,1.0,113.0,宜蘭分局,
廟宇,TMH0001,逸仙村,1.0,113.0,宜蘭分局,
醫院,TMI0001,內城村,1.0,702.0,宜蘭分局,
醫院,TMI0002,內城村,1.0,692.0,宜蘭分局,
醫院,TMI0003,內城村,1.0,1356.0,宜蘭分局,
