類別,建築物名稱,電腦編號,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
,,EPA01006,13鄰興建街8號,24.953879,121.224461,1,214.0,中壢分局,,中壢所
,,EPA01013,3鄰中正路92號,24.955007,121.223691,1,84.0,中壢分局,,中壢所
,,EPA01016,11鄰延平路645號,24.953253,121.222317,2,1273.0,中壢分局,,中壢所
,,EPA01041,9鄰中平路206號,24.956009,121.221681,1,98.0,中壢分局,,中壢所
,,EPA01059,1鄰元化路165巷52號,24.959962,121.228716,2,695.0,中壢分局,,中壢所
,,EPA01061,1鄰元化路165巷50號,24.96019,121.228484,2,1127.0,中壢分局,,中壢所
,,EPA01066,5鄰中央西路一段65號,24.957887,121.221881,2,83.0,中壢分局,,中壢所
,,EPA01069,6鄰中央西路一段120號,24.95854,121.219944,5,2083.0,中壢分局,,中壢所
,,EPA01072,9鄰新生路59號,24.95953,121.222508,1,111.0,中壢分局,,中壢所
,,EPA01079,10鄰永嘉街31巷12號,24.959273,121.221299,1,312.0,中壢分局,,中壢所
,,EPA01090,17鄰慈惠二街45號,24.960921,121.224313,2,621.0,中壢分局,,中壢所
,,EPA01091,13鄰延平路356號,24.960226,121.225199,2,1731.0,中壢分局,,中壢所
,,EPA01093,1鄰大同路31號,24.958705,121.224033,1,349.0,中壢分局,,中壢所
,,EPA01094,11鄰中美路一段12號,24.959781,121.223924,2,1492.0,中壢分局,,中壢所
,,EPA01100,1鄰大同路6號,24.959132,121.224256,1,17.0,中壢分局,,中壢所
,,EPA01101,1鄰大同路66號,24.958138,121.223136,1,45.0,中壢分局,,中壢所
,,EPA01103,5鄰中平路24號,24.955148,121.225785,1,28.0,中壢分局,,中壢所
,,EPA01107,3鄰中平路80號,24.956311,121.22426,1,220.0,中壢分局,,中壢所
,,EPA01109,3鄰中平路52號,24.955451,121.224495,1,154.0,中壢分局,,中壢所
,,EPA01110,3鄰中平路88巷1號之1,24.955639,121.223914,1,127.0,中壢分局,,中壢所
,,EPA01157,5鄰復興路35號,24.957827,121.225622,1,220.0,中壢分局,,中壢所
,,EPA01175,10鄰復興路8號,24.958738,121.225448,2,672.0,中壢分局,,中壢所
,,EPA01192,8鄰中山路118號,24.956657,121.225407,1,464.0,中壢分局,,中壢所
,,EPA01213,13鄰復興路161號,24.953933,121.223638,3,609.0,中壢分局,,中壢所
,,EPA01216,3鄰龍岡路一段215號,24.948036,121.225843,1,83.0,中壢分局,,中壢所
,,EPA01225,6鄰延平路241號,24.961695,121.22728,1,384.0,中壢分局,,中壢所
,,EPA01226,6鄰延平路366-372號,24.959911,121.224895,3,947.0,中壢分局,,中壢所
,,EPA01236,6鄰延平路394號,24.959909,121.224314,1,821.0,中壢分局,,中壢所
,,EPA01237,9鄰中正路51號,24.95434,121.224015,3,1521.0,中壢分局,,中壢所
,,EPA01256,10鄰中和路210號,24.953866,121.223001,1,163.0,中壢分局,,中壢所
,,EPA01258,15鄰新生路188號,24.985053,121.223965,4,33822.0,中壢分局,,中壢所
,,EPA01265,22鄰興南路九和一街五十二號,24.96207,121.224391,3,2581.0,中壢分局,,中壢所
,,EPA01266,6鄰中平路四十六號,24.955055,121.225112,1,14455.0,中壢分局,,中壢所
,,EPA01267,13鄰中正路二四八號,24.955636,121.219777,1,1741.0,中壢分局,,中壢所
,,EPA01268,10鄰中正路八十九號,24.954599,121.223491,3,681.0,中壢分局,,中壢所
,,EPA01270,11鄰慈惠三街一0六號,24.96301,121.225634,1,11619.0,中壢分局,,中壢所
,,EPA01277,19鄰中北路208巷210號,24.95284,121.228223,2,49103.0,中壢分局,,中壢所
,,EPA01282,1鄰中和路139號,24.953898,121.225874,1,412.0,中壢分局,,中壢所
,,EPA01295,15鄰新生路一八二號,24.96146,121.223135,4,7575.0,中壢分局,,中壢所
