類別,電腦編號,村里別,地址,地下樓層數,可容納人數
飯店,TOA0031,德陽村,宜蘭縣礁溪鄉德陽村礁溪路5段156號,1.0,723.0
飯店,TOA0032,德陽村,宜蘭縣礁溪鄉德陽村德陽路6號,1.0,337.0
旅館,TOA0033,德陽村,宜蘭縣礁溪鄉德陽村仁愛路26號,1.0,387.0
商店,TOA0034,德陽村,宜蘭縣礁溪鄉德陽村礁溪路5段92號,1.0,828.0
飯店,TOA0035,德陽村,宜蘭縣礁溪鄉德陽村中山路2段187號,1.0,1496.0
飯店,TOA0036,德陽村,宜蘭縣礁溪鄉德陽村德陽路43號,1.0,482.0
旅館,TOA0037,德陽村,宜蘭縣礁溪鄉德陽村德陽路65號,1.0,197.0
旅館,TOA0038,德陽村,宜蘭縣礁溪鄉德陽村中山路2段159號,1.0,584.0
住宅,TOA0039,德陽村,宜蘭縣礁溪鄉德陽村仁愛路64號,2.0,921.0
飯店,TOA0040,德陽村,宜蘭縣礁溪鄉德陽村德陽路24巷8號,1.0,1288.0
飯店,TOA0041,德陽村,宜蘭縣礁溪鄉德陽村德陽路16號,1.0,477.0
住宅,TOA0042,大忠村,宜蘭縣礁溪鄉大忠村和平路85號,1.0,619.0
住宅,TOA0043,大忠村,宜蘭縣礁溪鄉大忠村大忠路118號,1.0,1797.0
飯店,TOA0044,大忠村,宜蘭縣礁溪鄉大忠村大忠路142號,1.0,341.0
住宅,TOA0045,德陽村,宜蘭縣礁溪鄉德陽村溫泉路37號,1.0,1153.0
住宅,TOA0046,德陽村,宜蘭縣礁溪鄉德陽村仁愛路110號,1.0,732.0
住宅,TOA0047,德陽村,宜蘭縣礁溪鄉德陽村仁愛路156巷1號,3.0,5986.0
住宅,TOA0048,德陽村,宜蘭縣礁溪鄉德陽村陽路176號,1.0,2552.0
住宅,TOA0049,德陽村,宜蘭縣礁溪鄉德陽村大忠路187號,1.0,572.0
住宅,TOA0050,德陽村,宜蘭縣礁溪鄉德陽村德陽路200之1號,1.0,1597.0
住宅,TOA0051,德陽村,宜蘭縣礁溪鄉德陽村德陽路150號,1.0,261.0
住宅,TOA0052,大忠村,宜蘭縣礁溪鄉大忠村大忠路100號,1.0,1161.0
住宅,TOA0053,大忠村,宜蘭縣礁溪鄉大忠村大忠路98號,1.0,353.0
住宅,TOA0054,大忠村,宜蘭縣礁溪鄉大忠村大忠路96號,1.0,2061.0
飯店,TOA0055,德陽村,宜蘭縣礁溪鄉德陽村德陽路243號,1.0,493.0
飯店,TOA0056,玉石村,宜蘭縣礁溪鄉玉石村礁溪路六段6號,1.0,615.0
住宅,TOA0057,大忠村,宜蘭縣礁溪鄉大忠村大忠路209號,2.0,4486.0
住宅,TOA0058,玉石村,宜蘭縣礁溪鄉玉石村公園路70巷39弄9號,1.0,2245.0
住宅,TOA0059,德陽村,宜蘭縣礁溪鄉德陽村德陽路62巷11號,1.0,1461.0
住宅,TOA0060,玉石村,宜蘭縣礁溪鄉玉石村健康一街56-58號,2.0,2529.0
住宅,TOA0061,德陽村,宜蘭縣礁溪鄉德陽村忠孝路1巷1-3號,1.0,703.0
學校,TOA0062,林美村,宜蘭縣礁溪鄉林美村林尾路160-1號,1.0,5728.0
學校,TOA0063,林美村,宜蘭縣礁溪鄉林美村林尾路180-11號,1.0,893.0
學校,TOA0064,吳沙村,宜蘭縣礁溪鄉吳沙村育英路79號,1.0,805.0
住宅,TOA0065,玉光村,宜蘭縣礁溪鄉玉光村瑪僯路26-3號,1.0,1556.0
住宅,TOA0066,光武村,宜蘭縣礁溪鄉光武村武暖路80之8號,1.0,1430.0
工廠,TOA0067,龍潭村,宜蘭縣礁溪鄉龍潭村漳福路155號,1.0,1269.0
工廠,TOA0068,龍潭村,宜蘭縣礁溪鄉龍潭村漳福路155號,1.0,641.0
工廠,TOA0069,龍潭村,宜蘭縣礁溪鄉龍潭村漳福路155號,1.0,505.0
工廠,TOA0070,龍潭村,宜蘭縣礁溪鄉龍潭村漳福路155號,1.0,2209.0
工廠,TOA0071,龍潭村,宜蘭縣礁溪鄉龍潭村漳福路155號,1.0,626.0
工廠,TOA0072,龍潭村,宜蘭縣礁溪鄉龍潭村龍泉路189號,1.0,1908.0
住宅,TOA0073,吉祥村,宜蘭縣壯圍鄉吉祥村壯五路130號,1.0,229.0
鄉公所,TOA0074,吉祥村,宜蘭縣壯圍鄉吉祥村壯志路1號,1.0,126.0
服務所,TOA0075,永鎮村,宜蘭縣壯圍鄉永鎮村永鎮路1號,1.0,125.0
住宅,TOA0076,大福村,宜蘭縣壯圍鄉大福村壯濱路6段235巷11號,2.0,1397.0
旅館,TOA0077,大福村,宜蘭縣壯圍鄉大福村壯濱路六段278號,1.0,816.0
工廠,TOA0078,拔雅里,宜蘭縣頭城鎮拔雅里復興路37巷27號,1.0,37.0
學校,TOA0079,新建里,宜蘭縣頭城鎮新建里新興路111號,1.0,530.0
住宅,TOA0080,拔雅里,宜蘭縣頭城鎮拔雅里復興路61巷2之10號,1.0,585.0
住宅,TOA0081,拔雅里,宜蘭縣頭城鎮拔雅里公園路136號,1.0,609.0
農會,TOA0082,城北里,宜蘭縣頭城鎮城北里西五巷3之1號,1.0,1741.0
住宅,TOA0083,武營里,宜蘭縣頭城鎮武營里開蘭路369號,1.0,845.0
工廠,TOA0084,拔雅里,宜蘭縣頭城鎮拔雅里吉祥路236巷1號,1.0,94.0
住宅,TOA0085,城南里,宜蘭縣頭城鎮城南里青雲路3段40號,1.0,638.0
工廠,TOA0086,拔雅里,宜蘭縣頭城鎮拔雅里吉祥路105號,1.0,121.0
工廠,TOA0087,拔雅里,宜蘭縣頭城鎮拔雅里吉祥路97號,1.0,208.0
工廠,TOA0088,拔雅里,宜蘭縣頭城鎮拔雅里吉祥路250號,1.0,42.0
學校,TOA0089,拔雅里,宜蘭縣頭城鎮拔雅里復興路79號,1.0,694.0
分駐所,TOA0090,武營里,宜蘭縣頭城鎮武營里開蘭路283號,1.0,149.0
電信局,TOA0091,武營里,宜蘭縣頭城鎮武營里開蘭路279巷8號,1.0,632.0
工廠,TOA0092,大坑里,宜蘭縣頭城鎮大坑里協天路468號,1.0,1439.0
住宅,TOA0093,新建里,宜蘭縣頭城鎮新建里新忠路20號,1.0,936.0
學校,TOA0094,新建里,宜蘭縣頭城鎮新建里新興路111號,1.0,2124.0
住宅,TOA0095,拔雅里,宜蘭縣頭城鎮拔雅里復興路87號,1.0,661.0
住宅,TOA0096,城西里,宜蘭縣頭城鎮城西里南門路2之6號,1.0,310.0
工廠,TOA0097,大坑里,宜蘭縣頭城鎮大坑里協天路468號,2.0,1541.0
住宅,TOA0098,大坑里,宜蘭縣頭城鎮大坑里協天路676號,1.0,872.0
公廟,TOA0099,石城里,宜蘭縣頭城鎮石城里濱海路7段33號,1.0,253.0
住宅,TOA0100,六結村,宜蘭縣礁溪鄉六結村中山路一段241巷20號,1.0,167.0
住宅,TOA0101,玉石村,宜蘭縣礁溪鄉玉石村公園路86巷21號,1.0,877.0
住宅,TOA0102,德陽村,宜蘭縣礁溪鄉德陽村德陽路173號,1.0,836.0
住宅,TOA0103,德陽村,宜蘭縣礁溪鄉德陽村德陽路174號,1.0,572.0
住宅,TOA0104,大忠村,宜蘭縣礁溪鄉大忠村礁溪路四段78號,1.0,632.0
住宅,TOA0105,玉石村,宜蘭縣礁溪鄉玉石村公園路89號,1.0,291.0
住宅,TOA0106,玉石村,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號,1.0,1916.0
住宅,TOA0107,大忠村,宜蘭縣礁溪鄉大忠村和平路91號,1.0,263.0
住宅,TOA0108,德陽村,宜蘭縣礁溪鄉德陽村中山路二段136巷2號,1.0,508.0
住宅,TOA0109,時潮村,宜蘭縣礁溪鄉時潮村塭底路107號,1.0,2250.0
住宅,TOA0110,大忠村,宜蘭縣礁溪鄉大忠村礁溪路四段73號,1.0,433.0
住宅,TOA0111,大忠村,宜蘭縣礁溪鄉大忠村和平路32號,1.0,848.0
住宅,TOA0112,德陽村,宜蘭縣礁溪鄉德陽村興農路291巷1號,1.0,807.0
飯店,TOA0113,德陽村,宜蘭縣礁溪鄉德陽村礁溪路五段118號,1.0,1527.0
學校,TOA0114,新建里,宜蘭縣頭城鎮新建里新興路111號,1.0,530.0
住宅,TOA0115,新建里,宜蘭縣頭城鎮新建里新忠路47號,1.0,1003.0
住宅,TOA0116,武營里,宜蘭縣頭城鎮武營里青雲路三段515巷2號,1.0,1207.0
住宅,TOA0117,金面里,宜蘭縣頭城鎮金面里青雲路二段629巷10號,1.0,4420.0
學校,TOA0118,龍潭村,宜蘭縣礁溪鄉龍潭村育龍路71號,1.0,641.0
學校,TOA0119,三民村,宜蘭縣礁溪鄉三民村十六結路100號,1.0,1135.0
