類別,電腦編號,村里別,地址,地下層數層數,可容納人數,備註
公寓,49.0,新市里,"24.440077627044595, 118.41485889801596",1.0,8人,金門縣金湖鎮新市里武德新莊2號
公寓,50.0,新市里,"24.440102045724498, 118.41479988941457",1.0,8人,金門縣金湖鎮武德新莊3號
公寓,51.0,新市里,"24.440149522636425, 118.41456575340474",1.0,8人,金門縣金湖鎮新市里武德新莊8號
公寓,52.0,新市里,"24.440162481466295, 118.41449695423107",1.0,8人,金門縣金湖鎮新市里武德新莊9號
公寓,53.0,新市里,"24.44016682790653, 118.41443459008704",1.0,8人,金門縣金湖鎮新市里武德新莊10號
公寓,54.0,新市里,"24.440205, 118.414326",1.0,8人,金門縣金湖鎮新市里武德新莊11號
公寓,55.0,新市里,"24.440212, 118.414283",1.0,8人,金門縣金湖鎮新市里武德新莊12號
公寓,56.0,新市里,"24.440240567663185, 118.41420444736308",1.0,8人,金門縣金湖鎮新市里武德新莊14號
公寓,57.0,新市里,"24.43950134482142, 118.41450216419847",1.0,8人,金門縣金湖鎮新市里武德新莊15號
公寓,58.0,新市里,"24.4402382050015, 118.41416164193284",1.0,8人,金門縣金湖鎮新市里武德新莊16號
公寓,59.0,新市里,"24.44030574408469, 118.41409356473515",1.0,8人,金門縣金湖鎮新市里武德新莊17號
公寓,60.0,新市里,"24.440328071650498, 118.41404626612848",1.0,8人,金門縣金湖鎮新市里武德新莊18號
公寓,61.0,新市里,"24.44034718500861, 118.41392725021237",1.0,8人,金門縣金湖鎮新市里武德新莊19號
公寓,62.0,新市里,"24.440374, 118.413905",1.0,8人,金門縣金湖鎮新市里武德新莊20號
公寓,63.0,新市里,"24.440381371086048, 118.41379850417297",1.0,8人,金門縣金湖鎮新市里武德新莊23號
公寓,64.0,新市里,"24.440418, 118.413769",1.0,8人,金門縣金湖鎮新市里武德新莊24號
公寓,65.0,新市里,"24.440433, 118.413705",1.0,8人,金門縣金湖鎮新市里武德新莊25號
公寓,66.0,新市里,金門縣金湖鎮新市里武德新莊26號,1.0,8人,
公寓,67.0,新市里,"24.440469, 118.413621",1.0,8人,金門縣金湖鎮新市里武德新莊27號
公寓,68.0,新市里,"24.440459231573033, 118.41357540229913",1.0,8人,金門縣金湖鎮新市里武德新莊28號
公寓,69.0,新市里,"24.440449696730184, 118.41351876175413",1.0,8人,金門縣金湖鎮新市里武德新莊29號
公寓,70.0,新市里,"24.44045190599031, 118.41342788079567",1.0,8人,金門縣金湖鎮新市里武德新莊30號
公寓,71.0,新市里,"24.44049097575989, 118.41339837649497",1.0,8人,金門縣金湖鎮新市里武德新莊31號
公寓,72.0,新市里,"24.439885, 118.414546",1.0,7人,金門縣金湖鎮新市里武德新莊32號
公寓,73.0,新市里,"24.43990819679733, 118.41445480476109",1.0,7人,金門縣金湖鎮新市里武德新莊33號
公寓,74.0,新市里,"24.439935, 118.414364",1.0,7人,金門縣金湖鎮新市里武德新莊34號
公寓,75.0,新市里,"24.439971016607835, 118.41428353358161",1.0,7人,金門縣金湖鎮新市里武德新莊35號
公寓,76.0,新市里,"24.440010753613482, 118.41423186943395",1.0,7人,金門縣金湖鎮新市里武德新莊36號
公寓,77.0,新市里,"24.440028573493425, 118.41409009015209",1.0,7人,金門縣金湖鎮新市里武德新莊38號
公寓,78.0,新市里,"24.440032893107674, 118.41402722194162",1.0,7人,金門縣金湖鎮新市里武德新莊39號
公寓,79.0,新市里,"24.44006642326108, 118.41394564795563",1.0,10人,金門縣金湖鎮新市里武德新莊40號
公寓,80.0,新市里,"24.440075315635227, 118.41388704232135",1.0,10人,金門縣金湖鎮新市里武德新莊41號
公寓,81.0,新市里,"24.440093100381617, 118.41383087858848",1.0,10人,金門縣金湖鎮新市里武德新莊42號
公寓,82.0,新市里,"24.44011310821832, 118.41377715675706",1.0,8人,金門縣金湖鎮新市里武德新莊43號
公寓,83.0,新市里,"24.44013978532897, 118.41369657400992",1.0,8人,金門縣金湖鎮新市里武德新莊43之1號
公寓,84.0,新市里,"24.440164239342117, 118.41361843316422",1.0,8人,金門縣金湖鎮新市里武德新莊45號
公寓,85.0,新市里,"24.44019425107904, 118.41353284646037",1.0,8人,金門縣金湖鎮新市里武德新莊46號
公寓,86.0,新市里,"24.44021869640492, 118.4134599209539",1.0,8人,金門縣金湖鎮新市里武德新莊47號
公寓,87.0,新市里,"24.440243830577863, 118.41339780286826",1.0,8人,金門縣金湖鎮新市里武德新莊48號
公寓,88.0,新市里,"24.44025514095405, 118.41335639081119",1.0,8人,金門縣金湖鎮新市里武德新莊49號
公寓,89.0,新市里,"24.440261424495947, 118.41330807674461",1.0,8人,金門縣金湖鎮新市里武德新莊50號
公寓,90.0,新市里,"24.44026393791262, 118.41326114307991",1.0,8人,金門縣金湖鎮新市里武德新莊51號
公寓,91.0,新市里,"24.43975221342362, 118.41440551194964",1.0,7人,金門縣金湖鎮新市里武德新莊52號
公寓,92.0,新市里,"24.43976517229433, 118.41436280901424",1.0,7人,金門縣金湖鎮新市里武德新莊53號
公寓,93.0,新市里,"24.439778131163703, 118.41431536130824",1.0,7人,金門縣金湖鎮新市里武德新莊54號
公寓,94.0,新市里,"24.43979540965413, 118.41424418974923",1.0,7人,金門縣金湖鎮新市里武德新莊55號
公寓,95.0,新市里,"24.439851564731658, 118.41405914369582",1.0,7人,金門縣金湖鎮新市里武德新莊58號
公寓,96.0,新市里,"24.439866683402105, 118.4139998340633",1.0,7人,金門縣金湖鎮新市里武德新莊59號
公寓,97.0,新市里,"24.439916359022416, 118.413883587199",1.0,7人,金門縣金湖鎮新市里武德新莊60號
公寓,98.0,新市里,"24.439916359022416, 118.41381716041059",1.0,7人,金門縣金湖鎮新市里武德新莊61號
公寓,99.0,新市里,"24.43992938060927, 118.41377473553965",1.0,7人,金門縣金湖鎮新市里武德新莊62號
公寓,100.0,新市里,"24.439971619426757, 118.41368438518683",1.0,8人,金門縣金湖鎮新市里武德新莊63號
公寓,101.0,新市里,"24.439993850377657, 118.41355252250969",1.0,8人,金門縣金湖鎮新市里武德新莊65號
公寓,102.0,新市里,"24.440013858230092, 118.41347438166397",1.0,8人,金門縣金湖鎮新市里武德新莊66號
公寓,103.0,新市里,"24.440047204645158, 118.41340356654763",1.0,8人,金門縣金湖鎮新市里武德新莊67號
公寓,104.0,新市里,"24.440071658676263, 118.41333275140623",1.0,8人,金門縣金湖鎮新市里武德新莊68號
公寓,105.0,新市里,"24.440098335795685, 118.41325949436337",1.0,8人,金門縣金湖鎮新市里武德新莊69號
公寓,106.0,新市里,"24.44012501290947, 118.41319600492626",1.0,8人,金門縣金湖鎮新市里武德新莊70號
公寓,107.0,新市里,"24.439930308922133, 118.4130513914776",1.0,8人,金門縣金湖鎮新市里武德新莊71號
公寓,108.0,新市里,"24.4399644951126, 118.41294410311872",1.0,8人,金門縣金湖鎮新市里武德新莊72號
公寓,109.0,新市里,"24.439524741571116, 118.41429155531483",1.0,8人,金門縣金湖鎮新市里武德新莊73號
公寓,110.0,新市里,"24.439541834722505, 118.4142271822995",1.0,8人,金門縣金湖鎮新市里武德新莊74號
公寓,111.0,新市里,"24.439568695384278, 118.41417353812007",1.0,8人,金門縣金湖鎮新市里武德新莊75號
公寓,112.0,新市里,"24.439583346651922, 118.41409575405986",1.0,8人,金門縣金湖鎮新市里武德新莊76號
公寓,113.0,新市里,"24.439607765427546, 118.41403406325354",1.0,8人,金門縣金湖鎮新市里武德新莊77號
公寓,114.0,新市里,"24.43964683545872, 118.41396969023822",1.0,8人,金門縣金湖鎮新市里武德新莊78號
公寓,115.0,新市里,"24.439651719211767, 118.41389458838698",1.0,8人,金門縣金湖鎮新市里武德新莊79號
公寓,116.0,新市里,"24.43968590547778, 118.4137873000281",1.0,8人,金門縣金湖鎮新市里武德新莊80號
公寓,117.0,新市里,"24.439705440482776, 118.4137417024756",1.0,8人,金門縣金湖鎮新市里武德新莊81號
公寓,118.0,新市里,"24.439727417359773, 118.41364782516159",1.0,8人,金門縣金湖鎮新市里武德新莊82號
公寓,119.0,新市里,"24.439754277982008, 118.41356467668345",1.0,8人,金門縣金湖鎮新市里武德新莊83號
公寓,120.0,新市里,"24.439778696724527, 118.41348957483225",1.0,8人,金門縣金湖鎮新市里武德新莊84號
公寓,121.0,新市里,"24.43980311546232, 118.41341983739898",1.0,8人,金門縣金湖鎮新市里武德新莊85號
公寓,122.0,新市里,"24.43980311546232, 118.41340374414516",1.0,8人,金門縣金湖鎮新市里武德新莊86號
公寓,123.0,新市里,"24.439834859814386, 118.41330718462214",1.0,8人,金門縣金湖鎮新市里武德新莊87號
公寓,124.0,新市里,"24.439851952923725, 118.41324549381582",1.0,8人,金門縣金湖鎮新市里武德新莊88號
公寓,125.0,新市里,"24.439873929775178, 118.41316502754667",1.0,8人,金門縣金湖鎮新市里武德新莊89號
公寓,126.0,新市里,"24.43989834849453, 118.41307383244163",1.0,8人,金門縣金湖鎮新市里武德新莊90號
公寓,127.0,新市里,"24.439922767209154, 118.41299873059039",1.0,8人,金門縣金湖鎮新市里武德新莊92號
公寓,128.0,新市里,"24.439944744048262, 118.41292899315715",1.0,8人,金門縣金湖鎮新市里武德新莊93號
公寓,129.0,新市里,"24.43938311251337, 118.41418963137389",1.0,8人,金門縣金湖鎮新市里武德新莊94號
公寓,130.0,新市里,"24.43940508944654, 118.41410916510473",1.0,8人,金門縣金湖鎮新市里武德新莊95號
公寓,131.0,新市里,"24.439427066375902, 118.4140367454625",1.0,8人,金門縣金湖鎮新市里武德新莊96號
公寓,132.0,新市里,"24.439444159540525, 118.41398041907408",1.0,8人,金門縣金湖鎮新市里武德新莊97號
公寓,133.0,新市里,"24.43946125270283, 118.4139106816408",1.0,8人,金門縣金湖鎮新市里武德新莊98號
公寓,134.0,新市里,"24.43948078774263, 118.41383826199858",1.0,8人,金門縣金湖鎮新市里武德新莊99號
公寓,135.0,新市里,"24.439524741571116, 118.41373365584869",1.0,8人,金門縣金湖鎮新市里武德新莊100號
公寓,136.0,新市里,"24.439544276601083, 118.41366123620645",1.0,8人,金門縣金湖鎮新市里武德新莊101號
公寓,137.0,新市里,"24.43956320115844, 118.41361832086287",1.0,8人,金門縣金湖鎮新市里武德新莊102號
公寓,138.0,新市里,"24.4395802943046, 118.41356199447446",1.0,8人,金門縣金湖鎮新市里武德新莊103號
公寓,139.0,新市里,"24.439592503693294, 118.41348957483221",1.0,8人,金門縣金湖鎮新市里武德新莊104號
公寓,140.0,新市里,"24.43962180622136, 118.4134225196079",1.0,8人,金門縣金湖鎮新市里武德新莊105號
公寓,141.0,新市里,"24.439631573729216, 118.41335009996568",1.0,8人,金門縣金湖鎮新市里武德新莊106號
公寓,142.0,新市里,"24.439680411257054, 118.41320526068121",1.0,8人,金門縣金湖鎮新市里武德新莊107號
公寓,143.0,新市里,"24.43969262063606, 118.41316770975561",1.0,8人,金門縣金湖鎮新市里武德新莊108號
公寓,144.0,新市里,"24.43970971376469, 118.41309529011336",1.0,8人,金門縣金湖鎮新市里武德新莊109號
公寓,145.0,新市里,"24.439729248765982, 118.4130255526801",1.0,8人,金門縣金湖鎮新市里武德新莊110號
公寓,146.0,新市里,"24.439746341889634, 118.4129772729186",1.0,8人,金門縣金湖鎮新市里武德新莊111號
公寓,147.0,新市里,"24.439763435010978, 118.41292899315711",1.0,8人,金門縣金湖鎮新市里武德新莊112號
公寓,148.0,新市里,"24.43977808625599, 118.41288607781358",1.0,8人,金門縣金湖鎮新市里武德新莊113號
公寓,149.0,新湖里,金門縣金湖鎮新湖里塔后12號,1.0,26人,
公寓,150.0,新湖里,金門縣金湖鎮新湖里塔后31號,1.0,26人,
公寓,151.0,新湖里,金門縣金湖鎮新湖里塔后41號,1.0,80人,
公寓,152.0,新湖里,金門縣金湖鎮新湖里塔后43號,1.0,53人,
公寓,153.0,新湖里,金門縣金湖鎮新湖里塔后47之1號,1.0,26人,
公寓,154.0,新湖里,金門縣金湖鎮新湖里塔后67號,1.0,53人,
公寓,155.0,新湖里,金門縣金湖鎮新湖里塔后70號,1.0,40人,
公寓,156.0,新湖里,金門縣金湖鎮新湖里塔后76號,1.0,26人,
公寓,157.0,新湖里,金門縣金湖鎮新湖里塔后87號,1.0,53人,
公寓,158.0,新湖里,金門縣金湖鎮新湖里塔后90號,1.0,33人,
公寓,159.0,新湖里,金門縣金湖鎮信義新村1號,2.0,10人,
公寓,160.0,新湖里,金門縣金湖鎮新湖里信義新村2號,1.0,10人,
公寓,161.0,新湖里,金門縣金湖鎮信義新村3號,1.0,10人,
公寓,162.0,新湖里,金門縣金湖鎮新湖里信義新村4號,1.0,10人,
公寓,163.0,新湖里,金門縣金湖鎮信義新村5號,1.0,10人,
公寓,164.0,新湖里,金門縣金湖鎮新湖里信義新村6號,1.0,10人,
公寓,165.0,新湖里,金門縣金湖鎮新湖里信義新村7號,1.0,10人,
公寓,166.0,新湖里,金門縣金湖鎮新湖里信義新村8號,1.0,10人,
公寓,167.0,新湖里,金門縣金湖鎮新湖里信義新村9號,1.0,10人,
公寓,168.0,新湖里,金門縣金湖鎮新湖里信義新村10號,1.0,10人,
公寓,169.0,新湖里,金門縣金湖鎮新湖里信義新村11號,1.0,10人,
公寓,170.0,新湖里,金門縣金湖鎮新湖里信義新村12號,1.0,10人,
公寓,171.0,新湖里,金門縣金湖鎮新湖里信義新村13號,1.0,10人,
公寓,172.0,新湖里,金門縣金湖鎮新湖里信義新村14號,1.0,10人,
公寓,173.0,新湖里,金門縣金湖鎮新湖里信義新村15號,1.0,10人,
公寓,174.0,新湖里,金門縣金湖鎮信義新村16號,1.0,10人,
公寓,175.0,新湖里,金門縣金湖鎮信義新村17號,1.0,10人,
公寓,176.0,新湖里,金門縣金湖鎮信義新村18號,1.0,10人,
公寓,177.0,新湖里,金門縣金湖鎮新湖里信義新村19號,1.0,10人,
公寓,178.0,新湖里,金門縣金湖鎮新湖里信義新村20號,1.0,10人,
公寓,179.0,新湖里,金門縣金湖鎮信義新村21號,1.0,10人,
公寓,180.0,新湖里,金門縣金湖鎮信義新村22號,1.0,10人,
公寓,181.0,新湖里,金門縣金湖鎮新湖里信義新村23號,1.0,10人,
公寓,182.0,新湖里,金門縣金湖鎮新湖里信義新村24號,1.0,10人,
公寓,183.0,新湖里,金門縣金湖鎮新湖里信義新村25號,1.0,10人,
公寓,184.0,新湖里,金門縣金湖鎮信義新村26號,1.0,10人,
公寓,185.0,新湖里,金門縣金湖鎮信義新村27號,1.0,10人,
公寓,186.0,新湖里,金門縣金湖鎮新湖里信義新村28號,1.0,10人,
公寓,187.0,新湖里,金門縣金湖鎮新湖里信義新村29號,1.0,10人,
公寓,188.0,新湖里,金門縣金湖鎮信義新村30號,1.0,10人,
公寓,189.0,新湖里,金門縣金湖鎮新湖里信義新村31號,1.0,10人,
公寓,190.0,新湖里,金門縣金湖鎮信義新村32號,1.0,10人,
公寓,191.0,新湖里,金門縣金湖鎮信義新村33號,1.0,10人,
公寓,192.0,新湖里,金門縣金湖鎮信義新村34號,1.0,10人,
公寓,193.0,新湖里,金門縣金湖鎮新湖里信義新村35號,1.0,10人,
公寓,194.0,新湖里,金門縣金湖鎮信義新村36號,1.0,10人,
公寓,195.0,新湖里,金門縣金湖鎮新湖里信義新村37號,1.0,10人,
公寓,196.0,新湖里,金門縣金湖鎮信義新村38號,1.0,10人,
公寓,197.0,新湖里,金門縣金湖鎮信義新村39號,1.0,10人,
公寓,198.0,新湖里,金門縣金湖鎮新湖里信義新村40號,1.0,10人,
公寓,199.0,新湖里,金門縣金湖鎮新湖里信義新村41號,1.0,10人,
公寓,200.0,新湖里,金門縣金湖鎮信義新村42號,1.0,10人,
公寓,201.0,新湖里,金門縣金湖鎮信義新村43號,1.0,10人,
公寓,202.0,新湖里,金門縣金湖鎮信義新村44號,1.0,10人,
公寓,203.0,新湖里,金門縣金湖鎮新湖里信義新村45號,1.0,10人,
公寓,204.0,新湖里,金門縣金湖鎮新湖里信義新村46號,1.0,10人,
公寓,205.0,新湖里,金門縣金湖鎮信義新村47號,1.0,10人,
公寓,206.0,新湖里,金門縣金湖鎮信義新村48號,1.0,10人,
公寓,207.0,新湖里,金門縣金湖鎮信義新村49號,1.0,10人,
公寓,208.0,新湖里,金門縣金湖鎮信義新村50號,1.0,10人,
公寓,209.0,新湖里,金門縣金湖鎮信義新村51號,1.0,10人,
公寓,210.0,新湖里,金門縣金湖鎮信義新村52號,1.0,10人,
公寓,211.0,新湖里,金門縣金湖鎮信義新村53號,1.0,10人,
公寓,212.0,新湖里,金門縣金湖鎮新湖里信義新村54號,1.0,10人,
公寓,213.0,新湖里,金門縣金湖鎮信義新村55號,1.0,10人,
公寓,214.0,新湖里,金門縣金湖鎮信義新村56號,1.0,10人,
公寓,215.0,新湖里,金門縣金湖鎮信義新村57號,1.0,10人,
公寓,216.0,新湖里,金門縣金湖鎮信義新村58號,1.0,10人,
公寓,217.0,新湖里,金門縣金湖鎮新湖里信義新村59號,1.0,10人,
公寓,218.0,新湖里,金門縣金湖鎮信義新村60號,1.0,10人,
公寓,219.0,新湖里,金門縣金湖鎮新湖里信義新村61號,1.0,10人,
公寓,220.0,新湖里,金門縣金湖鎮信義新村62號,1.0,10人,
公寓,221.0,新湖里,金門縣金湖鎮信義新村63號,1.0,10人,
公寓,222.0,新湖里,金門縣金湖鎮新湖里信義新村64號,1.0,10人,
公寓,223.0,新湖里,金門縣金湖鎮信義新村65號,1.0,10人,
公寓,224.0,新湖里,金門縣金湖鎮新湖里信義新村66號,1.0,10人,
公寓,225.0,新湖里,金門縣金湖鎮信義新村67號,1.0,10人,
公寓,226.0,新湖里,金門縣金湖鎮信義新村68號,1.0,10人,
公寓,227.0,新湖里,金門縣金湖鎮新湖里信義新村69號,1.0,10人,
公寓,228.0,新湖里,金門縣金湖鎮信義新村70號,1.0,10人,
公寓,229.0,新湖里,金門縣金湖鎮新湖里信義新村71號,1.0,10人,
公寓,230.0,新湖里,金門縣金湖鎮新湖里信義新村72號,1.0,10人,
公寓,231.0,新湖里,金門縣金湖鎮信義新村73號,1.0,10人,
公寓,232.0,新湖里,金門縣金湖鎮信義新村74號,1.0,10人,
公寓,233.0,新湖里,金門縣金湖鎮新湖里信義新村75號,1.0,10人,
公寓,234.0,新湖里,金門縣金湖鎮信義新村76號,1.0,10人,
公寓,235.0,新湖里,金門縣金湖鎮新湖里信義新村77號,1.0,10人,
公寓,236.0,新湖里,金門縣金湖鎮信義新村78號,1.0,10人,
公寓,237.0,新湖里,金門縣金湖鎮信義新村79號,1.0,10人,
公寓,238.0,新湖里,金門縣金湖鎮信義新村80號,1.0,10人,
公寓,239.0,新湖里,金門縣金湖鎮信義新村81號,1.0,10人,
公寓,240.0,新湖里,金門縣金湖鎮信義新村82號,1.0,10人,
公寓,241.0,新湖里,金門縣金湖鎮新湖里信義新村83號,1.0,10人,
公寓,242.0,新湖里,金門縣金湖鎮信義新村80號,1.0,10人,
公寓,243.0,新湖里,金門縣金湖鎮新湖里信義新村85號,1.0,10人,
公寓,244.0,新湖里,金門縣金湖鎮信義新村86號,1.0,10人,
公寓,245.0,新湖里,金門縣金湖鎮信義新村87號,1.0,10人,
公寓,246.0,新湖里,金門縣金湖鎮新湖里信義新村88號,1.0,10人,
公寓,247.0,新湖里,金門縣金湖鎮信義新村89號,1.0,10人,
公寓,248.0,新湖里,金門縣金湖鎮新湖里信義新村90號,1.0,10人,
公寓,249.0,新湖里,金門縣金湖鎮新湖里信義新村91號,1.0,10人,
公寓,250.0,新湖里,金門縣金湖鎮信義新村92號,1.0,10人,
公寓,251.0,新湖里,金門縣金湖鎮信義新村93號,1.0,10人,
公寓,252.0,新湖里,金門縣金湖鎮信義新村94號,1.0,10人,
公寓,253.0,新湖里,金門縣金湖鎮信義新村95號,1.0,10人,
公寓,254.0,新湖里,金門縣金湖鎮信義新村96號,1.0,10人,
公寓,255.0,新湖里,金門縣金湖鎮信義新村97號,1.0,10人,
公寓,256.0,新湖里,金門縣金湖鎮信義新村98號,1.0,10人,
公寓,257.0,新湖里,金門縣金湖鎮信義新村99號,1.0,10人,
公寓,258.0,新湖里,金門縣金湖鎮信義新村100號,1.0,10人,
公寓,259.0,新湖里,金門縣金湖鎮新湖里信義新村101號,1.0,10人,
公寓,260.0,新湖里,金門縣金湖鎮信義新村102號,1.0,10人,
公寓,261.0,新湖里,金門縣金湖鎮信義新村103號,1.0,10人,
公寓,262.0,新湖里,金門縣金湖鎮信義新村104號,1.0,10人,
公寓,263.0,新湖里,金門縣金湖鎮信義新村105號,1.0,10人,
公寓,264.0,新湖里,金門縣金湖鎮新湖里漁村23號,1.0,46人,
公寓,265.0,新湖里,金門縣金湖鎮新湖里漁村24號,1.0,40人,
公寓,266.0,新湖里,金門縣金湖鎮后園1號,1.0,26人,
公寓,267.0,新湖里,金門縣金湖鎮后園7號,1.0,20人,
公寓,268.0,新湖里,金門縣金湖鎮新湖里后園8號,1.0,26人,
公寓,269.0,新湖里,金門縣金湖鎮新湖里后園13號,1.0,20人,
公寓,270.0,新湖里,金門縣金湖鎮湖前22之1號,1.0,26人,
公寓,271.0,新湖里,金門縣金湖鎮新湖里湖前23號,1.0,26人,
公寓,272.0,新湖里,金門縣金湖鎮湖前25之2號,1.0,20人,
公寓,273.0,新湖里,金門縣金湖鎮新湖里湖前26號,1.0,33人,
公寓,274.0,新湖里,金門縣金湖鎮湖前27之1號,1.0,26人,
公寓,275.0,新湖里,金門縣金湖鎮新湖里湖前43之1號,1.0,20人,
公寓,276.0,新湖里,金門縣金湖鎮新湖里湖前62號,1.0,80人,
公寓,277.0,新湖里,金門縣金湖鎮湖前62之1號,1.0,106人,
公寓,278.0,新湖里,金門縣金湖鎮新湖里湖前67號,1.0,14人,
公寓,279.0,新湖里,金門縣金湖鎮新湖里湖前68號,1.0,16人,
公寓,280.0,新湖里,金門縣金湖鎮新湖里湖前69號,1.0,20人,
公寓,281.0,新湖里,金門縣金湖鎮新湖里湖前70號,1.0,10人,
公寓,282.0,新湖里,金門縣金湖鎮新湖里湖前71號,1.0,16人,
公寓,283.0,山外里,"24.44262245278504, 118.41445004897588",1.0,106人,金門縣金湖鎮山外里黃海路1號
公寓,284.0,山外里,金門縣金湖鎮山外里山外76號,1.0,40人,
公寓,285.0,山外里,金門縣金湖鎮山外里復興西路8號,1.0,133人,
公寓,286.0,山外里,金門縣金湖鎮山外里下莊中興路1之2號,1.0,5人,
公寓,287.0,山外里,金門縣金湖鎮山外里下莊中興路2號,1.0,30人,
公寓,288.0,山外里,金門縣金湖鎮下莊光武路23號,1.0,12人,
公寓,289.0,山外里,金門縣金湖鎮山外里下莊中興路44號,1.0,13人,
公寓,290.0,山外里,金門縣金湖鎮山外里下莊中興路49號,1.0,20人,
公寓,291.0,山外里,金門縣金湖鎮山外里下莊中興路46號,1.0,300人,
公寓,292.0,山外里,金門縣金湖鎮山外里下莊中興路43號,1.0,14人,
公寓,293.0,山外里,金門縣金湖鎮山外里下莊中興路4號,1.0,30人,
公寓,294.0,山外里,金門縣金湖鎮山外里下莊中興路16號,1.0,16人,
公寓,295.0,山外里,金門縣金湖鎮山外里下莊中興路18號,1.0,16人,
公寓,296.0,山外里,金門縣金湖鎮山外里下莊中興路28號,1.0,20人,
公寓,297.0,山外里,金門縣金湖鎮山外里下莊中興路30號,1.0,20人,
公寓,298.0,山外里,金門縣金湖鎮山外里下莊中興路32號,1.0,10人,
公寓,299.0,山外里,金門縣金湖鎮山外里下莊中興路34號,1.0,10人,
公寓,300.0,山外里,金門縣金湖鎮山外里下莊中興路41號,1.0,10人,
公寓,301.0,山外里,金門縣金湖鎮山外里下莊中興路45號,1.0,10人,
公寓,302.0,山外里,金門縣金湖鎮山外里下莊光武路1之1號,1.0,5人,
公寓,303.0,山外里,金門縣金湖鎮山外里下莊光武路5號,1.0,5人,
公寓,304.0,山外里,金門縣金湖鎮山外里下莊光武路11號,1.0,10人,
公寓,305.0,山外里,金門縣金湖鎮山外里下莊新生街31之3號,1.0,14人,
