類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
"立仁國小
西棟",532.0,立仁里,虎尾鎮立仁里立仁路40號,1.0,736.0,虎尾分局,
大樓,533.0,西安里,虎尾鎮西安里中正路263號,1.0,423.0,虎尾分局,
大樓,534.0,西安里,虎尾鎮西安里26鄰八德街101號,1.0,1815.0,虎尾分局,
公寓,535.0,西安里,虎尾鎮五間厝60號,1.0,635.0,虎尾分局,
大樓,536.0,西安里,虎尾鎮西安里中正路189號,1.0,339.0,虎尾分局,
白宮影城,537.0,西安里,虎尾鎮西安里中正路257號,1.0,93.0,虎尾分局,
"虎科大
",538.0,西安里,虎尾鎮西安里工專路103號,1.0,146.0,虎尾分局,
"虎科大學
單一館",539.0,西安里,虎尾鎮西安里文化路83號,1.0,535.0,虎尾分局,
"虎科大學
機械館",540.0,西安里,虎尾鎮西安里文化路64號,1.0,2388.0,虎尾分局,
"虎科大學
行政大樓",541.0,西安里,虎尾鎮西安里文化路64號,1.0,724.0,虎尾分局,
登豐米蘭,542.0,西安里,虎尾鎮西安里林森路2段57、59號,1.0,2886.0,虎尾分局,
"虎科技大學
文理大樓",543.0,西安里,虎尾鎮西安里文化路64號,1.0,1376.0,虎尾分局,
土庫鎮公所零售市場,544.0,忠正里,土庫鎮文化路5號,1.0,872.0,虎尾分局,
禾康公司,545.0,忠正里,土庫鎮忠正里中華路58號,1.0,179.0,虎尾分局,
蔡醫院,546.0,忠正里,土庫鎮忠正里中山路64號,1.0,114.0,虎尾分局,
大樓,547.0,東仁里,虎尾鎮東仁里三民路35號,1.0,1630.0,虎尾分局,
國泰人壽,548.0,東仁里,虎尾鎮信義路67號,1.0,45.0,虎尾分局,
"虎尾高中
至善樓",549.0,東仁里,虎尾鎮東仁里光復路222號,1.0,563.0,虎尾分局,
"虎尾高中
圖書館",550.0,東仁里,虎尾鎮東仁里光復路222號,1.0,615.0,虎尾分局,
上毅公司,551.0,東仁里,虎尾鎮信義路28號,1.0,301.0,虎尾分局,
"鄉寶公司
世中居大樓",552.0,東仁里,虎尾鎮東仁里福民路76號,1.0,590.0,虎尾分局,
東仁國中辦公大樓,553.0,東仁里,虎尾鎮東仁里東明路85號,1.0,568.0,虎尾分局,
"東仁國中
停車場",554.0,東仁里,虎尾鎮東仁里東明路85號,1.0,3952.0,虎尾分局,
不開放,555.0,東平里,土庫鎮東平里民族路40號,1.0,589.0,虎尾分局,
不開放,556.0,長北村,元長鄉長北村中山路124之2號,1.0,196.0,虎尾分局,
公寓,557.0,長南村,元長鄉長南村中山路31號,1.0,109.0,虎尾分局,
不開放,558.0,長南村,元長鄉長南村中山路42號,1.0,129.0,虎尾分局,
"元長鄉
圖書館",559.0,長南村,元長鄉長南村仁愛路1之1號,1.0,94.0,虎尾分局,
不開放,560.0,長南村,元長鄉長南村仁愛路1號,1.0,585.0,虎尾分局,
公寓,561.0,惠來里,虎尾鎮惠來里惠來145之10號,1.0,169.0,虎尾分局,
殯葬管理所,562.0,惠來里,虎尾鎮惠來里惠來201號,1.0,456.0,虎尾分局,
台榮企業,563.0,惠來里,虎尾鎮惠來里惠來112號,1.0,96.0,虎尾分局,
公寓,564.0,越港里,土庫鎮越港里成功路1之62號,1.0,41.0,虎尾分局,
永年中學,565.0,越港里,土庫鎮越港里建國路13號,1.0,157.0,虎尾分局,
"土庫國小
越港分校",566.0,越港里,土庫鎮越港里林森路100號,1.0,1619.0,虎尾分局,
順天宮香客大樓,567.0,順天里,土庫鎮順天里中正路107巷16號,1.0,133.0,虎尾分局,
"土庫商工
工科大樓",568.0,順天里,土庫鎮中央路2號,1.0,491.0,虎尾分局,
土庫商工圖書館,569.0,順天里,土庫鎮順天里中央路2號,1.0,529.0,虎尾分局,
巨路國際公司,570.0,順天里,土庫鎮順天里中央路71號,1.0,260.0,虎尾分局,
"土庫商工
體育館",571.0,順天里,土庫鎮順天里中央路2號,1.0,529.0,虎尾分局,
"台大醫院
虎尾院區",572.0,廉使里,虎尾鎮廉使里學府路95號,1.0,6264.0,虎尾分局,
大樓,573.0,新吉里,虎尾鎮新吉里工專路281號,1.0,1653.0,虎尾分局,
大樓,574.0,新吉里,虎尾鎮新吉里林森路2段436巷68號,1.0,918.0,虎尾分局,
大樓,575.0,新吉里,虎尾鎮新吉里工專路231號,1.0,969.0,虎尾分局,
公寓,576.0,新吉里,虎尾鎮新吉里工專路113號,1.0,910.0,虎尾分局,
公寓,577.0,新興里,虎尾鎮新興里光復路441號,1.0,356.0,虎尾分局,
大樓,578.0,新興里,虎尾鎮新興里新生路92號,1.0,266.0,虎尾分局,
大樓,579.0,新興里,虎尾鎮新興里民生路46號,1.0,353.0,虎尾分局,
雲林縣稅務局虎尾分局,580.0,新興里,虎尾鎮新興里光明路118號,1.0,864.0,虎尾分局,
虎尾地政事務所,581.0,新興里,虎尾鎮新興里光明路120號,1.0,661.0,虎尾分局,
"虎尾
鎮公所",582.0,新興里,虎尾鎮新興里行政路6號,1.0,1000.0,虎尾分局,
源欣安股份有限公司,583.0,新興里,虎尾鎮新興里和平路1號,1.0,906.0,虎尾分局,
不開放,584.0,新興里,虎尾鎮新興里新興路80號,1.0,937.0,虎尾分局,
不開放,585.0,新興里,虎尾鎮新興里新生路136號,1.0,1102.0,虎尾分局,
元富證券,586.0,新興里,虎尾鎮新興里中正路15號,1.0,772.0,虎尾分局,
海洋商業大樓,587.0,新興里,虎尾鎮新興里光復路443號,1.0,264.0,虎尾分局,
若瑟醫院A棟,588.0,新興里,虎尾鎮新興里民權路2號,1.0,2466.0,虎尾分局,
公寓,589.0,德興里,虎尾鎮德興里德興路84號,1.0,1754.0,虎尾分局,
公寓,590.0,德興里,虎尾鎮德興里德興路97號,1.0,1838.0,虎尾分局,
大樓,591.0,德興里,虎尾鎮德興里德興路155號,1.0,1253.0,虎尾分局,
聯合報虎尾辦事處,592.0,德興里,虎尾鎮德興里北平路64號,1.0,493.0,虎尾分局,
天主堂,593.0,德興里,虎尾鎮德興里北平路77號,1.0,499.0,虎尾分局,
不開放,594.0,德興里,虎尾鎮德興里德興路97號,1.0,253.0,虎尾分局,
友華生技醫藥股份有限公司,595.0,墾地里,雲林縣虎尾鎮墾地里科虎路128號,1.0,1000.0,虎尾分局,
松嶺實業有限公司,596.0,墾地里,虎尾鎮墾地里1鄰永興北二街150號,1.0,2100.0,虎尾分局,
雲林家扶中心,597.0,穎川里,虎尾鎮穎川里1鄰頂南56號,1.0,1144.0,虎尾分局,
公寓,598.0,興新里,土庫鎮頂圍路36號,1.0,425.0,虎尾分局,
敬業公司,599.0,興新里,虎尾鎮興新里和平路17號,1.0,2044.0,虎尾分局,
若瑟醫院B棟,600.0,興新里,虎尾鎮興新里新生路74號,1.0,333.0,虎尾分局,
安慶國小,601.0,安慶里,虎尾鎮安慶里中山路36號,1.0,897.0,虎尾分局,
安安婦產科,602.0,穎川里,虎尾鎮穎川里林森路2段428號,1.0,661.0,虎尾分局,
