類別,編號,村里別,地址,地下層數,可容納人數,定位點,備考
工廠行號,129.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街29號,地下1層,28,"23.52341, 120.45735",
工廠行號,130.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街31號,地下1層,42,"23.52341, 120.45761",
工廠行號,131.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街33號,地下1層,47,"23.52356, 120.45785",
工廠行號,132.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街34號,地下1層,72,"23.52313, 120.45757",
工廠行號,133.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街35號,地下1層,49,"23.52359, 120.45804",
工廠行號,134.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街38號,地下1層,36,"23.52319, 120.45794",
工廠行號,135.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街40號,地下1層,45,"23.52341, 120.45847",
工廠行號,136.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街47號,地下1層,70,"23.52397, 120.45959",
工廠行號,137.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街49號,地下1層,117,"23.52413, 120.46004",
工廠行號,138.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路2號,地下1層,141,"23.51997, 120.44060",
工廠行號,139.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路2之2號,地下1層,239,"23.51895, 120.44089",
工廠行號,140.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路3號,地下2層,20830,"23.52207, 120.44377",
工廠行號,141.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路4號,地下1層,87,"23.51998, 120.44399",
電信公司,142.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路5號,地下1層,656,"23.52342, 120.44704",不對外開放
工廠行號,143.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路6號,地下1層,119,"23.52344, 120.44807",
工廠行號,144.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路9號,地下1層,106,"23.52380, 120.44766",
工廠行號,145.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路11號,地下1層,136,"23.52418, 120.44818",
工廠行號,146.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路12號,地下1層,144,"23.52411, 120.44908",
工廠行號,147.0," 雙福村",嘉義縣民雄鄉雙福村民雄工業區中山路15號,地下1層,128,"23.52476, 120.44937",
工廠行號,148.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路16號,地下1層,75,"23.52445, 120.44963",
工廠行號,149.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路19號,地下1層,233,"23.52536, 120.45010",
工廠行號,150.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路20號,地下1層,244,"23.52474, 120.45050",
工廠行號,151.0,福樂村,嘉義縣民雄鄉福樂村民雄工業中山路26號,地下1層,219,"23.52572, 120.45200",
工廠行號,152.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路32號,地下1層,97,"23.52704, 120.45375",
工廠行號,153.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路34號,地下1層,178,"23.52725, 120.45412",
工廠行號,154.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路36號,地下1層,197,"23.52740, 120.45425",
工廠行號,155.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路38號,地下1層,218,"23.52772, 120.45472",
工廠行號,156.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路40號,地下1層,184,"23.52790, 120.45548",
工廠行號,157.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路48號,地下1層,91,"23.52923, 120.45717",
工廠行號,158.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路49號,地下1層,144,"23.52997, 120.45748",
工廠行號,159.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路52號,地下1層,140,"23.53056, 120.45926",
工廠行號,160.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街8號,地下1層,188,"23.52220, 120.45196",
工廠行號,161.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街9號,地下1層,68,"23.52414, 120.45507",
工廠行號,162.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功二街10號,地下1層,74,"23.52307, 120.45274",
工廠行號,163.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街18號,地下1層,58,"23.52347, 120.45410",
工廠行號,164.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街25號,地下1層,36,"23.52487, 120.45782",
工廠行號,165.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街26號,地下1層,53,"23.52401, 120.45550",
工廠行號,166.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街27號,地下1層,58,"23.52493, 120.45805",
工廠行號,167.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街38號,地下1層,557,"23.52428, 120.45684",
工廠行號,168.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街39號,地下1層,51,"23.52553, 120.45931",
工廠行號,169.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街40號,地下1層,180,"23.52457, 120.45753",
工廠行號,170.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興街10號,地下1層,54,"23.51989, 120.46125",
工廠行號,171.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興街2號,地下1層,155,"23.51979, 120.4595",
工廠行號,172.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街2號,地下1層,69,"23.51803, 120.45517",
工廠行號,173.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街1號,地下1層,94,"23.51688, 120.45283",
工廠行號,174.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街7號,地下1層,138,"23.5175658, 120.4518511",
工廠行號,175.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街10號,地下1層,78,"23.51760, 120.45370",
工廠行號,176.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街3號,地下1層,441,"23.5204656, 120.4497306",
工廠行號,177.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街17號,地下1層,49,"23.52326, 120.45192",
工廠行號,178.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街19號,地下1層,100,"23.52375, 120.45215",
工廠行號,179.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街21號,地下1層,2045,"23.52392, 120.45252",
工廠行號,180.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街29號,地下1層,58,"23.52521, 120.45541",
工廠行號,181.0,福樂村,嘉義縣民雄鄉福樂村建國路三段125號,地下1層,6,"23.52259, 120.43944",
工廠行號,182.0,福樂村,嘉義縣民雄鄉福樂村建國路三段144之1號,地下1層,6,"23.52313, 120.43975",
工廠行號,183.0,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷9號,地下1層,259,"23.52756, 120.43989",
工廠行號,184.0,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷11號,地下1層,125,"23.52772, 120.44091",
工廠行號,185.0,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷15號,地下1層,281,"23.52849, 120.44050",
工廠行號,186.0,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷19號,地下1層,48,"23.52827, 120.44000",
工廠行號,187.0,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷31號,地下1層,156,"23.52828, 120.44176",
工廠行號,188.0,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷33號,地下1層,76,"23.52786, 120.44163",
工廠行號,189.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功四街10號,地下1層,68,"23.52553, 120.45413",
工廠行號,190.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區新生街10之1號,地下1層,46,"23.52591, 120.46059",
工廠行號,191.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區新生街8號,地下1層,298,"23.52703, 120.45948",
工廠行號,192.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區新生街10號,地下1層,96,"23.52554, 120.45996",
工廠行號,193.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區新生街12號,地下1層,77,"23.52467, 120.46044",
工廠行號,194.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街1號,地下1層,84,"23.52257, 120.44849",
工廠行號,195.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街2號,地下1層,256,"23.52173, 120.44892",
工廠行號,196.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街2之1號,地下1層,31,"23.52256, 120.44925",
工廠行號,197.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街5-1號,地下1層,191,"23.52281, 120.44924",
工廠行號,198.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街4號,地下1層,44,"23.52267, 120.44937",
工廠行號,199.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街6之1號,地下1層,20,"23.52285, 120.44966",
工廠行號,200.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街7號,地下1層,116,"23.52291, 120.44930",
工廠行號,201.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街8號,地下1層,69,"23.52322, 120.45047",
工廠行號,202.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街9號,地下1層,44,"23.52310, 120.44961",
工廠行號,203.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街11號,地下1層,50,"23.52341, 120.45004",
電信公司,204.0,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街13號,地下1層,150,"23.52383, 120.45004",不對外開放
中油公司,205.0,大崎村,嘉義縣民雄鄉大崎村4鄰大崎腳20號,地下1層,256,"23.52602, 120.47615",不對外開放
工廠行號,206.0,大崎村,嘉義縣民雄鄉大崎村7鄰十四甲3之2號,地下1層,167,"23.51462, 120.47215",
大樓,207.0,松山村,嘉義縣民雄鄉松山村四鄰松子腳33之45號,地下1層,917,"23.53791, 120.47476",
工廠行號,208.0,松山村,嘉義縣民雄鄉松山村五鄰48之8號,地下1層,29,"23.54649, 120.47618",
大樓,209.0,福樂村,嘉義縣民雄鄉福樂村一鄰2之186-2之221號,地下1層,4599,"23.52866, 120.44836",
學校,210.0,福樂村,嘉義縣民雄鄉福樂村31鄰光明二街191號,地下1層,3989,"23.52907, 120.45196",
工廠行號,211.0,豐收村,嘉義縣民雄鄉豐收村16鄰好收73號,地下1層,97,"23.5576, 120.44043",
工廠行號,213.0,豐收村,嘉義縣民雄鄉豐收村16鄰好收73-7號,地下1層,134,"23.55743, 120.4401",
學校,214.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,852,"23.56068, 120.47243",
學校,215.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,1506,"23.56179, 120.4707",
學校,216.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,7311,"23.5635, 120.47378",
學校,217.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,3473,"23.5618, 120.4752",
工廠行號,218.0,鎮北村,嘉義縣民雄鄉鎮北村建國路一段1024號,地下1層,157,"23.5789, 120.43983",
學校,219.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,6130,"23.56054, 120.47455",
學校,220.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,2392,"23.56551, 120.47297",
學校,221.0,三興村,嘉義縣民雄鄉三興村陳厝寮160號,地下1層,3124,"23.56059, 120.46868",
工廠行號,222.0,菁埔村,嘉義縣民雄鄉菁埔村7鄰菁埔140-29號,地下1層,90,"23.56083, 120.39295",
市場,223.0,吉林里,嘉義縣大林鎮吉林里中山路12號,地下1層,1619,"23.60250, 120.45484",
郵局,224.0,吉林里,嘉義縣大林鎮吉林里平和街28-1號,地下1層,229,"23.60232, 120.45661",不對外開放
金融機構,225.0,東林里,嘉義縣大林鎮東林里中山路130號,地下1層,20,"23.60416, 120.45549",不對外開放
電力公司,226.0,平林里,嘉義縣大林鎮平林里中興路274號,地下1層,111,"23.60248, 120.46201",不對外開放
政府機關,227.0,平林里,嘉義縣大林鎮平林里新興街96、98號,地下1層,360,"23.60058, 120.45827",
圖書館,228.0,平林里,嘉義縣大林鎮平林里中正路467巷1-1號,地下1層,99,"23.60357, 120.45380",
市場,229.0,平林里,嘉義縣大林鎮平林里信義街11號,地下1層,665,"23.60168, 120.45953",
大樓,230.0,平林里,嘉義縣大林鎮平林里中正路673號,地下1層,194,"23.60671, 120.45706",
電信公司,231.0,平林里,嘉義縣大林鎮平林里中山路245號,地下1層,73,"23.60657, 120.45594",不對外開放
工廠行號,232.0,明華里,嘉義縣大林鎮明華里明華路177-8號,地下1層,97,"23.59974, 120.44783",
