電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備駐
QMA00283,光榮里,屏東縣屏東市光榮里06鄰忠孝路37號,1,17.0,屏東分局,
QMA00288,光榮里,屏東縣屏東市光榮里07鄰忠孝路60號,1,36.0,屏東分局,
QMA00287,光榮里,屏東縣屏東市光榮里07鄰忠孝路61號,1,26.0,屏東分局,
QMA00289,光榮里,屏東縣屏東市光榮里07鄰忠孝路62號,1,33.0,屏東分局,
QMA00290,光榮里,屏東縣屏東市光榮里07鄰忠孝路66號,1,17.0,屏東分局,
QMA00285,光榮里,屏東縣屏東市光榮里07鄰忠孝路69號,1,26.0,屏東分局,
QMA00213,光榮里,屏東縣屏東市光榮里05鄰忠孝路72號,1,80.0,屏東分局,
QMA00286,光榮里,屏東縣屏東市光榮里07鄰忠孝路73號,1,61.0,屏東分局,
QMA00215,光榮里,屏東縣屏東市光榮里05鄰忠孝路74號,1,26.0,屏東分局,
QMA00214,光榮里,屏東縣屏東市光榮里05鄰忠孝路76-1號,1,26.0,屏東分局,
QMA00209,光榮里,屏東縣屏東市光榮里05鄰忠孝路83號,1,40.0,屏東分局,
QMA00210,光榮里,屏東縣屏東市光榮里05鄰忠孝路87號,1,186.0,屏東分局,
QMA00211,光榮里,屏東縣屏東市光榮里05鄰忠孝路87號,1,40.0,屏東分局,
QMA00208,光榮里,屏東縣屏東市光榮里05鄰忠孝路91號,1,106.0,屏東分局,
QMA00212,光榮里,屏東縣屏東市光榮里05鄰忠孝路94號,1,53.0,屏東分局,
QMA00342,光榮里,屏東縣屏東市光榮里03鄰民族路98號,1,40.0,屏東分局,共有2處、總計可容納人數57人
QMA00413,光榮里,屏東縣屏東市光榮里03鄰民族路98號,1,17.0,屏東分局,共有2處、總計可容納人數57人
QMA00343,光榮里,屏東縣屏東市光榮里04鄰民族路134號,1,40.0,屏東分局,
QMA00344,光榮里,屏東縣屏東市光榮里04鄰民族路136號,1,40.0,屏東分局,
QMA00378,光榮里,屏東縣屏東市光榮里06鄰民族路152號,1,30.0,屏東分局,
QMA00345,光榮里,屏東縣屏東市光榮里07鄰民族路164號,1,40.0,屏東分局,
QMA00346,光榮里,屏東縣屏東市光榮里07鄰民族路166號,1,40.0,屏東分局,
QMA00348,光榮里,屏東縣屏東市光榮里07鄰民族路170號,1,40.0,屏東分局,
QMA00347,光榮里,屏東縣屏東市光榮里07鄰民族路170號之1,1,40.0,屏東分局,
QMA00349,光榮里,屏東縣屏東市光榮里07鄰民族路184號,1,40.0,屏東分局,
QMA00272,光榮里,屏東縣屏東市光榮里01鄰信義路14-1號,1,61.0,屏東分局,
QMA00277,光榮里,屏東縣屏東市光榮里02鄰信義路28號,1,33.0,屏東分局,
QMA00282,光榮里,屏東縣屏東市光榮里02鄰信義路36-1號,1,33.0,屏東分局,
QMA00273,光榮里,屏東縣屏東市光榮里02鄰信義路38號,1,26.0,屏東分局,
QMA00271,光榮里,屏東縣屏東市光榮里02鄰信義路38-5號,1,26.0,屏東分局,
QMA00274,光榮里,屏東縣屏東市光榮里02鄰信義路39號,1,36.0,屏東分局,共有2處、總計可容納人數69人
QMA00275,光榮里,屏東縣屏東市光榮里02鄰信義路39號,1,33.0,屏東分局,共有2處、總計可容納人數69人
QMA00216,光榮里,屏東縣屏東市光榮里01鄰信義路46號,1,26.0,屏東分局,
QMA00217,光榮里,屏東縣屏東市光榮里01鄰信義路66號,1,26.0,屏東分局,
QMA00276,光榮里,屏東縣屏東市光榮里06鄰信義路67號,1,17.0,屏東分局,
QMA00279,光榮里,屏東縣屏東市光榮里06鄰信義路73號,1,61.0,屏東分局,
QMA00278,光榮里,屏東縣屏東市光榮里02鄰信義路73-4號,1,26.0,屏東分局,
QMA00280,光榮里,屏東縣屏東市光榮里06鄰信義路75號,1,26.0,屏東分局,
QMA00281,光榮里,屏東縣屏東市光榮里06鄰信義路75-5號,1,36.0,屏東分局,
QMA00293,光榮里,屏東縣屏東市光榮里09鄰博愛路18號,1,17.0,屏東分局,
QMA00292,光榮里,屏東縣屏東市光榮里09鄰博愛路20號,1,33.0,屏東分局,
QMA00196,光榮里,屏東縣屏東市光榮里08鄰公園西路20號,1,48.0,屏東分局,
QMA00270,光榮里,屏東縣屏東市光榮里04鄰貴陽街65號,1,33.0,屏東分局,
QMA00269,光榮里,屏東縣屏東市光榮里04鄰貴陽街67號,1,17.0,屏東分局,
QMA00339,光榮里,屏東縣屏東市光榮里05鄰桂林街23號,1,40.0,屏東分局,
QMA00340,光榮里,屏東縣屏東市光榮里05鄰桂林街25號,1,40.0,屏東分局,
QMA00338,光榮里,屏東縣屏東市光榮里05鄰桂林街27號,1,40.0,屏東分局,
QMA00194,光榮里,屏東縣屏東市光榮里03鄰桂林街38號,1,332.0,屏東分局,
QMA00193,光榮里,屏東縣屏東市光榮里03鄰桂林街56號,1,48.0,屏東分局,
