類別,建築物名稱,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)"
一般建築,榮耀一生大樓,YH0409,光明里,高雄市鹽埕區光明里光榮街72號之1,1,294,鹽埕分局,1111026.0,,
一般建築,早安鹽埕大樓,YH0426,壽星里,高雄市鹽埕區壽星里新興街210號,1,294,鹽埕分局,1111026.0,,
一般建築,日日升電子科技股份有限公司,YH0407,府北里,高雄市鹽埕區府北里七賢二路468號,1,301,鹽埕分局,1111026.0,,
一般建築,塩埕江山大樓,YH0419,光明里,高雄市鹽埕區光明里大仁路1號,1,313,鹽埕分局,1111026.0,,
一般建築,勝一大樓,YH0429,陸橋里,高雄市鹽埕區陸橋里建國四路257號,1,322,鹽埕分局,,,
一般建築,一般民宅,YH0410,教仁里,高雄市鹽埕區教仁里大安街115號,1,330,鹽埕分局,1111026.0,,
一般建築,塩埕長老協會,YH0423,港都里,高雄市鹽埕區港都里必忠街225號,1,347,鹽埕分局,1111026.0,,
一般建築,春翠名廈,YH0393,教仁里,高雄市鹽埕區教仁里新樂街245號,1,387,鹽埕分局,1111026.0,,
一般建築,鹽埕學苑,YH0446,新樂里,高雄市鹽埕區新樂里鹽埕街5號之1,1,390,鹽埕分局,,,
一般建築,真善美大廈,YH0444,中原里,高雄市鹽埕區中原里七賢三路196號,1,393,鹽埕分局,,,
一般建築,國聯美河棧大,YH0466,育仁里,高雄市鹽埕區育仁里大義街113號,2,436,鹽埕分局,,,
一般建築,,YH0413,中山里,高雄市鹽埕區中山里五福四路307號,1,449,鹽埕分局,,,
一般建築,,YH0420,新樂里,高雄市鹽埕區新樂里瀨南街166之2號,2,474,鹽埕分局,,,
一般建築,麗晶大廈,YH0433,中山里,高雄市鹽埕區中山里大仁路196號,1,501,鹽埕分局,,,
一般建築,高雄市政府動產質借所,YH0430,港都里,高雄市鹽埕區港都里新興街40號,1,513,鹽埕分局,,,
一般建築,,YH0443,港都里,高雄市鹽埕區港都里七賢三路60號,1,514,鹽埕分局,,,
一般建築,天子閣飯店有限公司,YH0462,中原里,高雄市鹽埕區中原里七賢三路128號,1,554,鹽埕分局,,,
一般建築,星愛河大樓,YH0463,府北里,高雄市鹽埕區府北里府北路32號,2,560,鹽埕分局,1111026.0,,
一般建築,花旗商旅,YH0408,河濱里,高雄市鹽埕區河濱里五福四路111號,3,571,鹽埕分局,,,
一般建築,塩埕寶弟大廈,YH0441,江南里,高雄市鹽埕區江南里堀江街31號之1,1,581,鹽埕分局,1111026.0,,
一般建築,愛河灣大廈,YH0453,光明里,高雄市鹽埕區光明里大仁路27號,1,586,鹽埕分局,1111026.0,,
一般建築,鹽埕寶座,YH0425,藍橋里,高雄市鹽埕區藍橋里新興街303號,1,619,鹽埕分局,1111026.0,,
一般建築,慶安居大樓,YH0431,教仁里,高雄市鹽埕區教仁里新興街73號之1,1,624,鹽埕分局,1111026.0,,
一般建築,大裕首席寶座大廈,YH0398,府北里,高雄市鹽埕區府北里七賢二路472號,1,627,鹽埕分局,1111026.0,,
一般建築,光榮國民小學,YH0448,育仁里,高雄市鹽埕區育仁里大智路150號,1,713,鹽埕分局,1111026.0,,
一般建築,戀戀塩埕大廈,YH0432,光明里,高雄市鹽埕區光明里莒光街159號,1,822,鹽埕分局,,,
一般建築,鹽埕國寶大樓,YH0442,新樂里,高雄市鹽埕區新樂里鹽埕街10號,1,859,鹽埕分局,,,
一般建築,協勝發大樓,YH0411,教仁里,高雄市鹽埕區教仁里建國四路175號,2,905,鹽埕分局,1111026.0,,
一般建築,一般民宅,YH0404,府北里,高雄市鹽埕區府北里七賢二路425號,1,912,鹽埕分局,1111026.0,,
一般建築,彰化商業銀行,YH0435,新樂里,高雄市鹽埕區新樂里大勇路85號,1,941,鹽埕分局,,,
一般建築,華南商業銀行,YH0438,新樂里,高雄市鹽埕區新樂里五福四路178號,2,1096,鹽埕分局,,,
一般建築,國泰塩埕大樓,YH0401,光明里,高雄市鹽埕區光明里大勇路106號,3,1150,鹽埕分局,1111026.0,,
一般建築,港灣麗池大廈,YH0458,南端里,高雄市鹽埕區南端里五福四路81號,3,1320,鹽埕分局,,,
一般建築,海洋美景大樓,YH0403,沙地里,高雄市鹽埕區沙地里必忠街39號之1,2,1464,鹽埕分局,,,
一般建築,塩埕國小,YH0399,河濱里,高雄市鹽埕區河濱里必忠街186號,1,2058,鹽埕分局,1111026.0,,
一般建築,翰品酒店,VSA00721,光明里,高雄市鹽埕區光明里大仁路43號,2,2177,鹽埕分局,,,
一般建築,褔容大飯店,YH0454,南端里,高雄市鹽埕區南端里五福四路45號,3,2206,鹽埕分局,,,
一般建築,鹽埕行政中心,YH0436,光明里,高雄市鹽埕區光明里大仁路6號,2,2452,鹽埕分局,1111026.0,,
一般建築,塩埕序大樓,YH0468,中山里,高雄市鹽埕區中山里大公路99號,3,2490,鹽埕分局,,,
一般建築,鹽埕國民中學,YH0457,育仁里,高雄市鹽埕區育仁里新樂街46號,1,2507,鹽埕分局,,,
一般建築,馥寓大廈,YH0464,府北里,高雄市鹽埕區府北里七賢二路437號,3,2676,鹽埕分局,,,
一般建築,大元國際大樓,YH0447,沙地里,高雄市鹽埕區沙地里五福四路3號,4,3090,鹽埕分局,1111026.0,,
一般建築,海揚大樓必信,YH0450,新豐里,高雄市鹽埕區新豐里新興街6號,1.2,3261,鹽埕分局,,,
一般建築,,YH0456,新化里,高雄市鹽埕區新化里大義街1號,1,3613,鹽埕分局,,,
一般建築,華運大樓,YH0469,江南里,高雄市鹽埕區江南里大勇路11號,2,3642,鹽埕分局,1111026.0,,
一般建築,山盟海誓大廈,YH0440,藍橋里,高雄市鹽埕區藍橋里北端街72號,3,4091,鹽埕分局,,,
一般建築,百達富埕大樓,YH0465,中山里,高雄市鹽埕區中山里大仁路193號,3,5024,鹽埕分局,,,
一般建築,鹽埕立體停車場,VSA00746,光明里,高雄市鹽埕區光明里大仁路10號,1,5544,鹽埕分局,,,
一般建築,高雄國際會議中心,YH0445,府北里,高雄市鹽埕區府北里中正四路274號,3,6306,鹽埕分局,,,
一般建築,海揚大樓七賢區,YH0452,新豐里,高雄市鹽埕區新豐里新興街2號,1.2,6306,鹽埕分局,,,
一般建築,,YH0467,沙地里,高雄市鹽埕區沙地里真愛路1號,1,15186,鹽埕分局,,,
一般建築,,XX1493,德生里,高雄市新興區德生里光華一路383號,1,15,新興分局,,,
一般建築,,QJ0579,青山里,高雄市前金區青山里瑞源路33號,1,58,新興分局,,,
一般建築,風尚雅居大廈,XX1363,文昌里,高雄市新興區文昌里尚義街157號,1,63,新興分局,,,
一般建築,,QJ0197,三川里,高雄市前金區三川里瑞源路192號,1,69,新興分局,,,
一般建築,甲園大廈,QJ0578,北金里,高雄市前金區北金里文武一街89號,1,70,新興分局,,,
一般建築,,XX1205,漢民里,高雄市新興區漢民里民生一路348號,1,73,新興分局,,,
一般建築,,XX1344,蕉園里,高雄市新興區蕉園里球庭路47號,1,75,新興分局,,,
一般建築,尚義大樓,XX1348,文昌里,高雄市新興區文昌里尚義街156號,1,77,新興分局,,,
一般建築,,XX1397,成功里,高雄市新興區成功里忠孝一路291號,1,89,新興分局,,,
一般建築,,QJ0538,草江里,高雄市前金區草江里新盛一街42號,1,91,新興分局,,,
一般建築,,XX0588,明莊里,高雄市新興區明莊里中山橫路47號,1,96,新興分局,,,
一般建築,,XX1380,建華里,高雄市新興區建華里河南二路46號,1,96,新興分局,,,
一般建築,蒙地卡羅大廈,XX1265,光耀里,高雄市新興區光耀里民族二路13號,1,97,新興分局,,,
一般建築,,XX1149,漢民里,高雄市新興區漢民里民生一路352號,1,103,新興分局,,,
一般建築,,XX1362,振華里,高雄市新興區振華里新田路161號,1,104,新興分局,,,
辦公室,,XX0097,新江里,高雄市新興區新江里中山一路300號,1,104,新興分局,,,
一般建築,,XX1353,德望里,高雄市新興區德望里渤海街163號,1,107,新興分局,,,
一般建築,,XX1392,秋山里,高雄市新興區秋山里明星街52號,1,108,新興分局,,,
一般建築,,XX1415,華聲里,高雄市新興區華聲里大同一路21號,1,109,新興分局,,,
一般建築,,XX0728,建華里,高雄市新興區建華里七賢二路42號,1,111,新興分局,,,
一般建築,,XX0719,南港里,高雄市新興區南港里仁愛一街296號,1,113,新興分局,,,
一般建築,,XX1375,長驛里,高雄市新興區長驛里南台路99號,1,114,新興分局,,,
一般建築,江山雅築,QJ0588,東金里,高雄市前金區東金里六合二路173號,1,115,新興分局,,,
一般建築,,QJ0563,東金里,高雄市前金區東金里中華三路185號,1,119,新興分局,,,
一般建築,七克拉商務大樓,XX1309,長驛里,高雄市新興區長驛里七賢二路95之1號,1,119,新興分局,,,
一般建築,新興貴族華廈,XX1351,華聲里,高雄市新興區華聲里大同一路67號,1,119,新興分局,,,
一般建築,,XX1401,漢民里,高雄市新興區漢民里新興路55號,1,120,新興分局,,,
一般建築,全泰大樓,QJ0374,社東里,高雄市前金區社東里自強二路75號,1,121,新興分局,,,
一般建築,,XX0463,愛平里,高雄市新興區愛平里林森一路203巷37號,1,121,新興分局,,,
一般建築,世邦新銳大樓,QJ0512,新生里,高雄市前金區新生里七賢二路249號,1,122,新興分局,,,
一般建築,,XX0475,新江里,高雄市新興區新江里七賢一路464號,1,125,新興分局,,,
一般建築,,XX1237,成功里,高雄市新興區成功里仁愛一街167號,1,126,新興分局,,,
一般建築,,XX0665,中東里,高雄市新興區中東里中正三路68之4號,1,127,新興分局,,,
一般建築,,XX1318,德生里,高雄市新興區德生里五福二路26號,1,134,新興分局,,,
一般建築,,QJ0556,復元里,高雄市前金區復元里自強二路102之6號,1,135,新興分局,,,
一般建築,,XX1346,浩然里,高雄市新興區浩然里民權街8之4號,1,136,新興分局,,,
一般建築,,XX1424,蕉園里,高雄市新興區蕉園里林森一路158巷25號,1,136,新興分局,,,
一般建築,,XX1387,振成里,高雄市新興區振成里文化路103號,1,139,新興分局,,,
一般建築,,XX1259,振華里,高雄市新興區振華里民享街127號,1,141,新興分局,,,
一般建築,,XX1531,成功里,高雄市新興區成功里忠孝一路255號,2,142,新興分局,,,
一般建築,,XX1316,興昌里,高雄市新興區興昌里信守街123號,1,143,新興分局,,,
一般建築,,XX0958,永寧里,高雄市新興區永寧里德智街17號,1,145,新興分局,,,
一般建築,,XX0601,成功里,高雄市新興區成功里六合一路63之1號,1,147,新興分局,,,
一般建築,,XX0857,光耀里,高雄市新興區光耀里南海街2號,1,148,新興分局,,,
一般建築,,XX0592,振成里,高雄市新興區振成里五福二路195號,1,151,新興分局,,,
商場,,XX0368,玉衡里,高雄市新興區玉衡里中山一路10之2號,1,152,新興分局,,,
一般建築,,XX1446,華聲里,高雄市新興區華聲里林森一路134號,1,152,新興分局,,,
一般建築,企業家華廈,QJ0483,民生里,高雄市前金區民生里前金一街19號,1,155,新興分局,,,
辦公室,,XX1349,秋山里,高雄市新興區秋山里七賢二路69號,1,156,新興分局,,,
一般建築,,XX0649,長驛里,高雄市新興區長驛里七賢二路89號,1,158,新興分局,,,
一般建築,馨園華廈,XX1376,德望里,高雄市新興區德望里達仁街101號,1,158,新興分局,,,
一般建築,,XX0435,光耀里,高雄市新興區光耀里民生一路40號,1,159,新興分局,,,
一般建築,,XX1258,興昌里,高雄市新興區興昌里中東街221號,1,159,新興分局,,,
一般建築,,XX0742,德生里,高雄市新興區德生里民生一路183號,1,161,新興分局,,,
一般建築,都會小雅,QJ0585,青山里,高雄市前金區青山里瑞源路46號,1,162,新興分局,,,
一般建築,,XX1148,漢民里,高雄市新興區漢民里民生一路350號,1,162,新興分局,,,
一般建築,,XX0468,黎明里,高雄市新興區黎明里中山一路210號,1,162,新興分局,,,
一般建築,達仁大廈,XX0443,德望里,高雄市新興區德望里達仁街111號,1,163,新興分局,,,
一般建築,,XX1072,秋山里,高雄市新興區秋山里六合二路28號,1,164,新興分局,,,
一般建築,,XX1416,華聲里,高雄市新興區華聲里忠孝一路186號,1,164,新興分局,,,
一般建築,,QJ0381,東金里,高雄市前金區東金里七賢二路201之3號,1,165,新興分局,,,
一般建築,,XX1425,成功里,高雄市新興區成功里忠孝一路320巷11之2號,1,166,新興分局,,,
一般建築,,QJ0467,文西里,高雄市前金區文西里中華四路283號,1,167,新興分局,,,
一般建築,,XX1395,愛平里,高雄市新興區愛平里林森一路195號,1,167,新興分局,,,
辦公室,,QJ0302,新生里,高雄市前金區新生里七賢二路356號,1,168,新興分局,,,
一般建築,,QJ0564,新生里,高雄市前金區新生里成功一路553號,1,168,新興分局,,,
辦公室,,QJ0281,新生里,高雄市前金區新生里七賢二路377號,1,169,新興分局,,,
一般建築,,XX1359,浩然里,高雄市新興區浩然里民權街8之9號,1,171,新興分局,,,
一般建築,,XX1312,華聲里,高雄市新興區華聲里新興路26號,1,172,新興分局,,,
一般建築,金成功商業大,QJ0488,榮復里,高雄市前金區榮復里成功一路308號,1,174,新興分局,,,
一般建築,,XX1378,東坡里,高雄市新興區東坡里大同一路116號,1,176,新興分局,,,
一般建築,星星月亮太陽,XX1270,浩然里,高雄市新興區浩然里復興二路157號,1,176,新興分局,,,
一般建築,,XX1450,德望里,高雄市新興區德望里黃海街188號,1,177,新興分局,,,
一般建築,,QJ0293,榮復里,高雄市前金區榮復里自強三路277號,1,178,新興分局,,,
一般建築,,XX1340,玉衡里,高雄市新興區玉衡里文橫一路68號,1.2,180,新興分局,,,
一般建築,,XX1285,興昌里,高雄市新興區興昌里中東街227號,1,182,新興分局,,,
一般建築,,XX1320,浩然里,高雄市新興區浩然里忠孝一路74號,1.2,184,新興分局,,,
一般建築,中正懷石庭,QJ0532,新生里,高雄市前金區新生里市中一路236號,1,185,新興分局,,,
一般建築,,XX1271,南港里,高雄市新興區南港里仁愛一街311號,1,187,新興分局,,,
一般建築,,XX1262,浩然里,高雄市新興區浩然里仁愛二街75號,1,187,新興分局,,,
一般建築,,XX1366,興昌里,高雄市新興區興昌里開封路114號,1,190,新興分局,,,
一般建築,,XX0503,中東里,高雄市新興區中東里中正三路54號,1,191,新興分局,,,
一般建築,,XX0393,成功里,高雄市新興區成功里忠孝一路344號,1,195,新興分局,,,
一般建築,雅舍小品大廈,QJ0530,東金里,高雄市前金區東金里文武一街52號,1,196,新興分局,,,
一般建築,,QJ0478,社西里,高雄市前金區社西里市中一路109號,1,196,新興分局,,,
一般建築,,XX0872,振成里,高雄市新興區振成里文化路56號,1,197,新興分局,,,
一般建築,良辰美景大樓,QJ0557,長城里,高雄市前金區長城里中山橫路98號,1,198,新興分局,,,
一般建築,,XX0343,明莊里,高雄市新興區明莊里中正四路72號,1,199,新興分局,,,
一般建築,,XX0684,大明里,高雄市新興區大明里中正四路25號,1,200,新興分局,,,
一般建築,榮安大廈,QJ0211,東金里,高雄市前金區東金里榮安街43號,1,200,新興分局,,,
一般建築,,QJ0519,新生里,高雄市前金區新生里旺盛街162號,1,200,新興分局,,,
辦公室,,XX1333,玉衡里,高雄市新興區玉衡里竹圍路2號,1,201,新興分局,,,
一般建築,東京摩登銀座,XX1302,南港里,高雄市新興區南港里八德一路193號,1,203,新興分局,,,
一般建築,朝威大廈,XX0454,建華里,高雄市新興區建華里七賢二路102號,1,204,新興分局,,,
一般建築,福興大樓,QJ0464,民生里,高雄市前金區民生里大同二路18號,1,205,新興分局,,,
一般建築,,XX1139,浩然里,高雄市新興區浩然里五福二路45之1號,1,205,新興分局,,,
一般建築,,XX1306,開平里,高雄市新興區開平里同心路34號,1,205,新興分局,,,
一般建築,,QJ0547,東金里,高雄市前金區東金里榮安街35號,1,207,新興分局,,,
一般建築,城市明星大廈,QJ0612,草江里,高雄市前金區草江里明星街137號,1,208,新興分局,,,
一般建築,,QJ0548,文西里,高雄市前金區文西里新田路234號,1,210,新興分局,,,
一般建築,高雄綠鄉大廈,XX1016,永寧里,高雄市新興區永寧里忠孝一路128號,1,210,新興分局,,,
一般建築,,XX0828,永寧里,高雄市新興區永寧里德智街33號,1,210,新興分局,,,
一般建築,,XX0912,東坡里,高雄市新興區東坡里中山一路86號,1,210,新興分局,,,
一般建築,貴族小品大廈,QJ0543,北金里,高雄市前金區北金里文武一街141號,1,211,新興分局,,,
醫院照護,高雄市私立大順老人長期照顧中心,QJ0371,長城里,高雄市前金區長城里七賢二路220之8號,1,212,新興分局,,,
一般建築,禮仁大樓,QJ0223,社東里,高雄市前金區社東里自強二路41號,1,213,新興分局,,,
一般建築,達亨大樓,QJ0589,青山里,高雄市前金區青山里自立橫路52號,1,214,新興分局,,,
一般建築,,XX0862,新江里,高雄市新興區新江里八德一路392號,1.2,214,新興分局,,,
一般建築,,XX1269,永寧里,高雄市新興區永寧里仁愛二街218號,1,215,新興分局,,,
一般建築,,XX0741,德生里,高雄市新興區德生里民生一路185號,1,215,新興分局,,,
一般建築,前金名廬大廈,QJ0623,民生里,高雄市前金區民生里自強二路188號,1,218,新興分局,,,
一般建築,,QJ0562,新生里,高雄市前金區新生里市中一路290號,1,218,新興分局,,,
一般建築,,XX1404,玉衡里,高雄市新興區玉衡里文橫一路5巷30號,1,220,新興分局,,,
一般建築,阿波羅大廈,XX0636,秋山里,高雄市新興區秋山里中山一路183號,1,220,新興分局,,,
一般建築,,XX1138,德生里,高雄市新興區德生里德順街12號,1,220,新興分局,,,
一般建築,,XX1355,中東里,高雄市新興區中東里中正三路68之5號,1,223,新興分局,,,
一般建築,,XX0895,振華里,高雄市新興區振華里文橫二路119號,1,223,新興分局,,,
一般建築,,XX0650,大明里,高雄市新興區大明里中正四路1號,1,224,新興分局,,,
一般建築,,QJ0492,文東里,高雄市前金區文東里中華四路314號,1,224,新興分局,,,
一般建築,,XX0244,德生里,高雄市新興區德生里五福二路14號,1,224,新興分局,,,
一般建築,,QJ0212,東金里,高雄市前金區東金里自強一路36號,1,225,新興分局,,,
一般建築,,XX1184,秋山里,高雄市新興區秋山里六合二路52號,1.2,225,新興分局,,,
一般建築,,XX0367,振成里,高雄市新興區振成里仁智街304號,1,225,新興分局,,,
一般建築,百興大樓,XX1284,德生里,高雄市新興區德生里五福二路28號,1,225,新興分局,,,
一般建築,翡翠大廈,XX1352,德政里,高雄市新興區德政里復橫一路221號,1,225,新興分局,,,
一般建築,百老匯貴族大廈,XX1323,文昌里,高雄市新興區文昌里六合路138號,1,226,新興分局,,,
一般建築,吉林大廈,QJ0210,社東里,高雄市前金區社東里自強二路59號,1,226,新興分局,,,
一般建築,,XX1383,德望里,高雄市新興區德望里達仁街32號,1,226,新興分局,,,
一般建築,哲仙大樓,XX0727,秋山里,高雄市新興區秋山里六合二路56號,1,228,新興分局,,,
一般建築,,XX1396,德望里,高雄市新興區德望里復興一路18號,1,228,新興分局,,,
一般建築,,QJ0613,民生里,高雄市前金區民生里文武二街210號,1,230,新興分局,,,
一般建築,,XX0861,華聲里,高雄市新興區華聲里忠孝一路147號,1,230,新興分局,,,
一般建築,,QJ0248,民生里,高雄市前金區民生里中華三路89號,1,231,新興分局,,,
一般建築,大立薇閣大廈,QJ0673,文西里,高雄市前金區文西里光明街1號,1.2,234,新興分局,,,
一般建築,,XX0493,愛平里,高雄市新興區愛平里六合一路159之4號,1,235,新興分局,,,
一般建築,香檳華廈大樓,QJ0214,東金里,高雄市前金區東金里七賢二路201號,1,237,新興分局,,,
一般建築,,XX1368,振華里,高雄市新興區振華里新田路7號,1,243,新興分局,,,
一般建築,,XX0464,順昌里,高雄市新興區順昌里七賢一路106號,1,244,新興分局,,,
一般建築,一般建築,XX1423,振華里,高雄市新興區振華里民享街108號,1,245,新興分局,,,
一般建築,閃耀之旅大廈,XX1400,漢民里,高雄市新興區漢民里新興路67號,1,247,新興分局,,,
一般建築,,XX0364,德望里,高雄市新興區德望里中正三路31號之1,1,247,新興分局,,,
旅館,"JOHO HOYEL高雄精品酒品",XX1521,新江里,高雄市新興區新江里中山一路306號,1.2,248,新興分局,,,
一般建築,,XX0115,成功里,高雄市新興區成功里六合一路109號,1,249,新興分局,,,
一般建築,,XX0294,南港里,高雄市新興區南港里忠孝一路437巷18號,1,250,新興分局,,,
一般建築,,XX0904,興昌里,高雄市新興區興昌里信守街121號,1,250,新興分局,,,
一般建築,,QJ0259,長城里,高雄市前金區長城里瑞源路78號,1,251,新興分局,,,
一般建築,一般建築,XX1037,振華里,高雄市新興區振華里民享街105號,1,251,新興分局,,,
辦公室,,XX1420,振華里,高雄市新興區振華里民享街74之1號,1,251,新興分局,,,
一般建築,,QJ0463,草江里,高雄市前金區草江里明星街153號,1,251,新興分局,,,
一般建築,,QJ0316,長生里,高雄市前金區長生里中華三路7號,1,252,新興分局,,,
一般建築,,QJ0330,社西里,高雄市前金區社西里民生二路205號,1,255,新興分局,,,
一般建築,,QJ0593,青山里,高雄市前金區青山里瑞源路16號,1,255,新興分局,,,
辦公室,,XX1342,華聲里,高雄市新興區華聲里民生一路328號,1.2,255,新興分局,,,
一般建築,家天下管理,QJ0449,文西里,高雄市前金區文西里中華四路331號,1,256,新興分局,,,
一般建築,,XX1124,南港里,高雄市新興區南港里忠孝一路476號,1,256,新興分局,,,
一般建築,,XX0388,長驛里,高雄市新興區長驛里明星街68號,1,258,新興分局,,,
一般建築,,QJ0272,新生里,高雄市前金區新生里賢中街3號,1,258,新興分局,,,
一般建築,,XX1371,秋山里,高雄市新興區秋山里南台路124號,1,259,新興分局,,,
一般建築,民生國賓大廈,QJ0594,長生里,高雄市前金區長生里民生二路89號,1.2,261,新興分局,,,
一般建築,,QJ0599,草江里,高雄市前金區草江里中華三路196號,1,261,新興分局,,,
一般建築,,XX1358,浩然里,高雄市新興區浩然里民權街8之15號,1,262,新興分局,,,
一般建築,,XX0462,永寧里,高雄市新興區永寧里五福二路198號,1,265,新興分局,,,
一般建築,,QJ0636,社西里,高雄市前金區社西里市中一路105號,1,265,新興分局,,,
一般建築,,QJ0325,長生里,高雄市前金區長生里民生二路67號,1,265,新興分局,,,
一般建築,,XX1398,振華里,高雄市新興區振華里新田路23號,1,265,新興分局,,,
一般建築,,XX0330,永寧里,高雄市新興區永寧里五福二路172號,1,266,新興分局,,,
一般建築,,QJ0331,青山里,高雄市前金區青山里瑞源路26號,1,266,新興分局,,,
一般建築,,XX0722,黎明里,高雄市新興區黎明里六合一路174號,1,266,新興分局,,,
一般建築,,XX1389,開平里,高雄市新興區開平里開封路377號,1,267,新興分局,,,
一般建築,,QJ0490,長城里,高雄市前金區長城里河南二路109號,1,269,新興分局,,,
一般建築,,XX1461,德望里,高雄市新興區德望里黃海街171號,1,269,新興分局,,,
一般建築,,QJ0535,復元里,高雄市前金區復元里大同二路11號,1,271,新興分局,,,
一般建築,,XX1429,永寧里,高雄市新興區永寧里五福二路166號,1,272,新興分局,,,
一般建築,,QJ0377,社西里,高雄市前金區社西里民生二路207號,1,273,新興分局,,,
一般建築,,XX0733,愛平里,高雄市新興區愛平里中山一路162號,1,273,新興分局,,,
辦公室,立德大廈,XX1332,建華里,高雄市新興區建華里八德二路98號,1,274,新興分局,,,
一般建築,,XX0409,秋山里,高雄市新興區秋山里明星街42號,1,275,新興分局,,,
一般建築,國賓財經大樓,QJ0524,國民里,高雄市前金區國民里市中一路167號,1,275,新興分局,,,
旅館,瑞谷商旅,XX0144,順昌里,高雄市新興區順昌里七賢一路75號,1,276,新興分局,,,
一般建築,六閤大樓,XX0141,中東里,高雄市新興區中東里六合一路90號,1,277,新興分局,,,
一般建築,,QJ0546,民生里,高雄市前金區民生里自強二路168號,1,280,新興分局,,,
一般建築,新漢神大樓,QJ0618,榮復里,高雄市前金區榮復里允文街75號,1,280,新興分局,,,
辦公室,,QJ0278,草江里,高雄市前金區草江里七賢二路183號,1,283,新興分局,,,
一般建築,,QJ0445,東金里,高雄市前金區東金里六合二路166號,1,287,新興分局,,,
一般建築,,QJ0576,草江里,高雄市前金區草江里六合二路128號,1.2,287,新興分局,,,
一般建築,泉源大廈,QJ0202,草江里,高雄市前金區草江里六合二路124號,1,290,新興分局,,,
一般建築,,XX0655,秋山里,高雄市新興區秋山里七賢二路65號,1,294,新興分局,,,
一般建築,首都大廈,XX0630,成功里,高雄市新興區成功里中正三路134號,1,295,新興分局,,,
一般建築,,QJ0523,民生里,高雄市前金區民生里文武二街168號,1,296,新興分局,,,
一般建築,,XX1215,愛平里,高雄市新興區愛平里林森一路187號,1.2,297,新興分局,,,
一般建築,鳴洲大樓,XX0818,興昌里,高雄市新興區興昌里中正三路28號,1,300,新興分局,,,
一般建築,,XX1214,大明里,高雄市新興區大明里自立二路8號,1,304,新興分局,,,
一般建築,,XX0183,建華里,高雄市新興區建華里八德二路94號,1,304,新興分局,,,
一般建築,,XX1331,德望里,高雄市新興區德望里南海街195號,1,304,新興分局,,,
一般建築,四季芳庭社區,XX1100,永寧里,高雄市新興區永寧里仁愛二街113號,1,306,新興分局,,,
