電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局,備註
ZN2276,楠梓區,翠屏里,高雄市楠梓區德民路356巷46弄48號,"22.72791851,120.305850938596",1,126.0,楠梓分局,
ZN2277,楠梓區,翠屏里,高雄市楠梓區德民路400巷37弄13號,"22.72708275,120.29967194179",1,1137.0,楠梓分局,
ZN2278,楠梓區,翠屏里,高雄市楠梓區德民路52號,"22.728372,120.312393",1,1255.0,楠梓分局,
ZN2280,楠梓區,清豐里,高雄市楠梓區清安街42巷3號,"22.737811,120.338488",1,845.0,楠梓分局,
ZN2281,楠梓區,瑞屏里,高雄市楠梓區瑞仁路36號,"22.723718,120.313886",1,203.0,楠梓分局,
ZN2282,楠梓區,清豐里,高雄市楠梓區清平街16號,"22.735372,120.338623",1,1147.0,楠梓分局,
ZN2283,楠梓區,清豐里,高雄市楠梓區清平街50號,"22.736059,120.338856",1,1756.0,楠梓分局,
ZN2285,楠梓區,中陽里,高雄市楠梓區朝明路130巷7弄8號,"22.724067,120.328773",1,370.0,楠梓分局,
ZN2286,楠梓區,仁昌里,高雄市楠梓區壽豐路404號,"22.724989,120.296505",2,538.0,楠梓分局,
ZN2288,楠梓區,翠屏里,高雄市楠梓區翠屏里德賢路210號,"22.726828,120.306419",1,743.0,楠梓分局,
ZN2289,楠梓區,秀昌里,高雄市楠梓區後昌路876巷2弄105號,"22.712558,120.297899",1,465.0,楠梓分局,
ZN2290,楠梓區,翠屏里,高雄市楠梓區德民路356巷60弄2號,"22.728836,120.304922",1,1304.0,楠梓分局,
ZN2293,楠梓區,翠屏里,高雄市楠梓區德民路400巷37弄8號,"22.72652329,120.299658580821",1,1548.0,楠梓分局,
ZN2294,楠梓區,翠屏里,高雄市楠梓區德賢路220巷67號,"22.728165,120.306223",1,1546.0,楠梓分局,
ZN2295,楠梓區,中陽里,高雄市楠梓區朝明路114之1號,"22.723822,120.327988",1,218.0,楠梓分局,
ZN2296,楠梓區,清豐里,高雄市楠梓區常德路317巷4號,"22.737324,120.336905",1,1911.0,楠梓分局,
ZN2297,楠梓區,惠民里,高雄市楠梓區高楠公路1868巷1號,"22.730902,120.321138",1,313.0,楠梓分局,
ZN2298,楠梓區,清豐里,高雄市楠梓區清成街74號,"22.737086,120.335787",1,513.0,楠梓分局,
ZN2299,楠梓區,清豐里,高雄市楠梓區旗楠路534號,"22.737499,120.335218",1,699.0,楠梓分局,
ZN2300,楠梓區,隆昌里,高雄市楠梓區後昌路837巷37號,"22.71112338,120.293975296185",1,3671.0,楠梓分局,
ZN2301,楠梓區,清豐里,高雄市楠梓區常德路240巷23弄76號,"22.736616,120.338077",1,3633.0,楠梓分局,
ZN2302,楠梓區,瑞屏里,高雄市楠梓區瑞仁路56號,"22.723507,120.313191",1,1085.0,楠梓分局,
ZN2304,楠梓區,久昌里,高雄市楠梓區廣昌街43巷87號,"22.70746,120.284525",1,275.0,楠梓分局,
ZN2305,楠梓區,翠屏里,高雄市楠梓區德祥路172號,"22.726673,120.308122",1,873.0,楠梓分局,
ZN2306,楠梓區,加昌里,高雄市楠梓區壽民路223號,"22.716329,120.296867",1,101.0,楠梓分局,
ZN2309,楠梓區,翠屏里,高雄市楠梓區德祥路5號,"22.729037,120.311378",1,288.0,楠梓分局,
ZN2310,楠梓區,加昌里,高雄市楠梓區壽民路180巷1弄13號,"22.717202,120.29613",1,1077.0,楠梓分局,
ZN2312,楠梓區,瑞屏里,高雄市楠梓區德賢路537號,"22.725822,120.301499",2,263.0,楠梓分局,
ZN2314,楠梓區,翠屏里,高雄市楠梓區德祥路5號,"22.729037,120.311378",1,889.0,楠梓分局,
ZN2315,楠梓區,翠屏里,高雄市楠梓區德賢路153號,"22.726614,120.306842",1,253.0,楠梓分局,
ZN2316,楠梓區,東寧里,高雄市楠梓區旗楠路長安巷30弄2號,"22.73101,120.329975",1,1923.0,楠梓分局,
ZN2317,楠梓區,久昌里,高雄市楠梓區久昌街28巷1號,"22.709584,120.284698",1,1267.0,楠梓分局,
ZN2318,楠梓區,清豐里,高雄市楠梓區清平街24號,"22.735527,120.338678",1,309.0,楠梓分局,
ZN2319,楠梓區,翠屏里,高雄市楠梓區德賢路550巷10弄1號,"22.726319,120.301394",1,890.0,楠梓分局,
ZN2320,楠梓區,清豐里,高雄市楠梓區常德路247號,"22.736169,120.336753",1,377.0,楠梓分局,
ZN2322,楠梓區,惠民里,高雄市楠梓區高楠公路1692號,"22.727347,120.322089",1,1127.0,楠梓分局,
ZN2323,楠梓區,清豐里,高雄市楠梓區清平街47號,"22.736529,120.338828",1,1446.0,楠梓分局,
ZN2324,楠梓區,翠屏里,高雄市楠梓區加仁路76號,"22.72791,120.301571",1,800.0,楠梓分局,
ZN2325,楠梓區,清豐里,高雄市楠梓區清平街51巷44號,"22.73707658,120.337877467349",1,1611.0,楠梓分局,
ZN2326,楠梓區,清豐里,高雄市楠梓區常德路240巷23弄17號,"22.736073,120.337659",1,2023.0,楠梓分局,
ZN2328,楠梓區,興昌里,高雄市楠梓區右昌街487巷30號,"22.71570558,120.286269425021",1,931.0,楠梓分局,
ZN2329,楠梓區,翠屏里,高雄市楠梓區德民路376號,"22.725529,120.302283",1,258.0,楠梓分局,
ZN2331,楠梓區,享平里,高雄市楠梓區岳陽街25巷8號,"22.730042,120.330595",1,2479.0,楠梓分局,
ZN2333,楠梓區,五常里,高雄市楠梓區鳳楠路108巷29號,"22.723749,120.331744",1,67.0,楠梓分局,
ZN2334,楠梓區,翠屏里,高雄市楠梓區加仁路13巷1號,"22.727758,120.299884",1,1327.0,楠梓分局,
ZN2335,楠梓區,瑞屏里,高雄市楠梓區後昌路128號,"22.718374,120.310246",1,626.0,楠梓分局,
ZN2336,楠梓區,翠屏里,高雄市楠梓區德賢路127號,"22.727277,120.308668",1,5217.0,楠梓分局,
ZN2338,楠梓區,翠屏里,高雄市楠梓區惠民路48號,"22.724834,120.298544",2,1566.0,楠梓分局,
ZN2339,楠梓區,清豐里,高雄市楠梓區清成街92號,"22.737548,120.336061",1,1088.0,楠梓分局,
ZN2340,楠梓區,清豐里,高雄市楠梓區清成街73號,"22.737302,120.335605",1,1045.0,楠梓分局,
ZN2341,楠梓區,翠屏里,高雄市楠梓區德賢路143號,"22.727062,120.308205",1,1425.0,楠梓分局,
ZN2342,楠梓區,慶昌里,高雄市楠梓區新昌街115號,"22.711314,120.298447",1,63.0,楠梓分局,
ZN2343,楠梓區,秀昌里,高雄市楠梓區後昌路876巷2弄71號,"22.712212,120.297081",1,509.0,楠梓分局,
ZN2344,楠梓區,翠屏里,高雄市楠梓區德賢路208號,"22.726838,120.306479",1,2712.0,楠梓分局,
ZN2347,楠梓區,加昌里,高雄市楠梓區壽民路222號,"22.716301,120.296576",1,1009.0,楠梓分局,
ZN2348,楠梓區,翠屏里,高雄市楠梓區德賢路544號,"22.726558,120.301464",1,3617.0,楠梓分局,
ZN2350,楠梓區,翠屏里,高雄市楠梓區德民路266號之1,"22.72603428,120.308121767349",1,530.0,楠梓分局,
ZN2351,楠梓區,翠屏里,高雄市楠梓區德賢路248巷30號,"22.727087,120.305567",2,1063.0,楠梓分局,
ZN2352,楠梓區,仁昌里,高雄市楠梓區壽豐路424號,"22.724967,120.296251",1,860.0,楠梓分局,
ZN2353,楠梓區,翠屏里,高雄市楠梓區德民路356巷30之1號,"22.726551,120.304744",1,3253.0,楠梓分局,
ZN2354,楠梓區,仁昌里,高雄市楠梓區壽豐路410號,"22.724969,120.296402",2,1172.0,楠梓分局,
ZN2355,楠梓區,仁昌里,高雄市楠梓區壽豐路405號,"22.72472,120.296664",1,2463.0,楠梓分局,
ZN2356,楠梓區,翠屏里,高雄市楠梓區加仁路102號,"22.728006,120.302325",1,2492.0,楠梓分局,
ZN2357,楠梓區,秀昌里,高雄市楠梓區後昌路826號,"22.711168,120.295692",1,93.0,楠梓分局,
ZN2358,楠梓區,翠屏里,高雄市楠梓區海專路420號,"22.727637,120.309854",1,130.0,楠梓分局,
ZN2359,楠梓區,加昌里,高雄市楠梓區外環西路119號,"22.717976,120.299927",1,1126.0,楠梓分局,
ZN2360,楠梓區,清豐里,高雄市楠梓區常德路318號,"22.73707388,120.337305725022",1,509.0,楠梓分局,
ZN2362,楠梓區,清豐里,高雄市楠梓區清平街66號,"22.736874,120.339174",1,477.0,楠梓分局,
ZN2364,楠梓區,隆昌里,高雄市楠梓區後昌路803之2號,"22.711057,120.295204",1,114.0,楠梓分局,
ZN2365,楠梓區,翠屏里,高雄市楠梓區德祥路12之6號,"22.728368,120.311544",1,398.0,楠梓分局,
ZN2366,楠梓區,翠屏里,高雄市楠梓區德惠路60巷5號,"22.726769,120.303186",1,1013.0,楠梓分局,
ZN2367,楠梓區,慶昌里,高雄市楠梓區新昌街101號,"22.710947,120.29894",1,333.0,楠梓分局,
ZN2368,楠梓區,隆昌里,高雄市楠梓區後昌路837巷11號,"22.711524,120.294533",1,226.0,楠梓分局,
ZN2369,楠梓區,翠屏里,高雄市楠梓區德民路338號,"22.7258,120.306066",1,542.0,楠梓分局,
ZN2371,楠梓區,清豐里,高雄市楠梓區常德路305號,"22.736865,120.336952",1,1022.0,楠梓分局,
ZN2372,楠梓區,翠屏里,高雄市楠梓區德賢路161號,"22.726586,120.306656",1,155.0,楠梓分局,
ZN2373,楠梓區,稔田里,高雄市楠梓區高楠公路1001號,"22.714493,120.32546",1,1296.0,楠梓分局,
ZN2374,楠梓區,興昌里,高雄市楠梓區右昌街419號,"22.7159,120.287774",3,152.0,楠梓分局,
ZN2377,楠梓區,享平里,高雄市楠梓區旗楠路126巷109號,"22.730582,120.331739",1,1636.0,楠梓分局,
ZN2378,楠梓區,享平里,高雄市楠梓區興楠路298號,"22.729797,120.332453",1,1757.0,楠梓分局,
ZN2379,楠梓區,五常里,高雄市楠梓區興楠路151巷7號,"22.730685,120.336495",1,1371.0,楠梓分局,
ZN2381,楠梓區,清豐里,高雄市楠梓區旗楠路99號,"22.74938222019968, 120.34552443040533",1,419.0,楠梓分局,
ZN2382,楠梓區,翠屏里,高雄市楠梓區德民路150號,"22.727018,120.310586",1,371.0,楠梓分局,
ZN2383,楠梓區,翠屏里,高雄市楠梓區德祥路5號,"22.729037,120.311378",2,1004.0,楠梓分局,
ZN2385,楠梓區,五常里,高雄市楠梓區楠陽路63巷58號,"22.723956,120.331729",1,806.0,楠梓分局,
ZN2386,楠梓區,翠屏里,高雄市楠梓區德賢路143號,"22.727062,120.308205",1,575.0,楠梓分局,
ZN2387,楠梓區,翠屏里,高雄市楠梓區德賢路208號,"22.726838,120.306479",1,660.0,楠梓分局,
ZN2388,楠梓區,秀昌里,高雄市楠梓區加昌路781號,"22.714001,120.295075",1,811.0,楠梓分局,
ZN2389,楠梓區,秀昌里,高雄市楠梓區後昌路858之1號,"22.712139,120.294825",1,166.0,楠梓分局,
ZN2391,楠梓區,翠屏里,高雄市楠梓區德民路266號之1,"22.72603428,120.308121767349",1,297.0,楠梓分局,
ZN2392,楠梓區,加昌里,高雄市楠梓區秀群路539巷45號,"22.717362,120.297704",1,5175.0,楠梓分局,
ZN2393,楠梓區,翠屏里,高雄市楠梓區德賢路588號,"22.725838,120.300702",2,506.0,楠梓分局,
ZN2394,楠梓區,翠屏里,高雄市楠梓區德賢路547號,"22.725275,120.30007",2,3976.0,楠梓分局,
ZN2395,楠梓區,翠屏里,高雄市楠梓區德民路172號,"22.726441,120.309498",1,2371.0,楠梓分局,
ZN2396,楠梓區,翠屏里,高雄市楠梓區壽民路86之2號,"22.720666,120.295169",1,35.0,楠梓分局,
ZN2397,楠梓區,加昌里,高雄市楠梓區加宏路22巷32號,"22.719456,120.297608",1,4558.0,楠梓分局,
ZN2398,楠梓區,翠屏里,高雄市楠梓區德賢路380巷26號,"22.727091,120.304508",1,1240.0,楠梓分局,
ZN2399,楠梓區,翠屏里,高雄市楠梓區德民路356巷18號,"22.725981,120.304748",1,3331.0,楠梓分局,
ZN2400,楠梓區,翠屏里,高雄市楠梓區德賢路220巷85號,"22.72876,120.306155",1,1007.0,楠梓分局,
ZN2401,楠梓區,加昌里,高雄市楠梓區樂群路72巷1號,"22.716777,120.298074",1,558.0,楠梓分局,
ZN2402,楠梓區,金田里,高雄市楠梓區學專路775號,"22.721938,120.317286",1,395.0,楠梓分局,
ZN2405,楠梓區,慶昌里,高雄市楠梓區新昌街49號,"22.709835,120.298766",1,501.0,楠梓分局,
ZN2406,楠梓區,宏昌里,高雄市楠梓區信昌街28號,"22.717113,120.293086",1,886.0,楠梓分局,
ZN2407,楠梓區,惠豐里,高雄市楠梓區高楠公路1753號,"22.728083,120.32101",1,1559.0,楠梓分局,
ZN2408,楠梓區,加昌里,高雄市楠梓區加昌路602號,"22.715996,120.299178",1,166.0,楠梓分局,
ZN2409,楠梓區,享平里,高雄市楠梓區楠梓東街79號,"22.729763,120.329732",1,413.0,楠梓分局,
ZN2412,楠梓區,宏昌里,高雄市楠梓區藍昌路360巷51號之1,"22.72269662,120.29245891756",1,297.0,楠梓分局,
ZN2413,楠梓區,加昌里,高雄市楠梓區壽民路146號,"22.718166,120.295575",2,1292.0,楠梓分局,
ZN2414,楠梓區,宏昌里,高雄市楠梓區宏昌街132號,"22.717392,120.293747",2,641.0,楠梓分局,
ZN2415,楠梓區,東寧里,高雄市楠梓區旗楠路67號,"22.732482,120.330051",1,1222.0,楠梓分局,
ZN2417,楠梓區,翠屏里,高雄市楠梓區德賢路220巷22號,"22.726989,120.305933",1,414.0,楠梓分局,
ZN2418,楠梓區,翠屏里,高雄市楠梓區德民路1010號,"22.719434,120.286067",1,2027.0,楠梓分局,
ZN2419,楠梓區,東寧里,高雄市楠梓區旗楠路67號,"22.732482,120.330051",1,1222.0,楠梓分局,
ZN2421,楠梓區,惠豐里,高雄市楠梓區惠豐街105號,"22.7282,120.318698",1,520.0,楠梓分局,
ZN2422,楠梓區,仁昌里,高雄市楠梓區藍昌路360巷77號,"22.722605,120.292897",2,963.0,楠梓分局,
ZN2423,楠梓區,宏昌里,高雄市楠梓區德民路829號,"22.721419,120.291783",1,1327.0,楠梓分局,
ZN2424,楠梓區,仁昌里,高雄市楠梓區藍昌路360巷30號,"22.722669,120.291809",2,754.0,楠梓分局,
ZN2426,楠梓區,盛昌里,高雄市楠梓區久昌街632號,"22.71828,120.279666",1,590.0,楠梓分局,
ZN2427,楠梓區,惠豐里,高雄市楠梓區惠春街143號,"22.727606,120.318821",1,5539.0,楠梓分局,
ZN2428,楠梓區,惠豐里,高雄市楠梓區惠豐街248號,"22.7296,120.31733",1,2009.0,楠梓分局,
ZN2429,楠梓區,加昌里,高雄市楠梓區壽民路128號,"22.718477,120.295156",1,307.0,楠梓分局,
ZN2430,楠梓區,清豐里,高雄市楠梓區卓越路2號,"22.751963,120.331323",1,4619.0,楠梓分局,
ZN2431,楠梓區,惠豐里,高雄市楠梓區惠豐街206巷26號,"22.729438,120.318368",2,1445.0,楠梓分局,
ZN2432,楠梓區,惠豐里,高雄市楠梓區惠春街161號,"22.727806,120.318502",1,2214.0,楠梓分局,
ZN2433,楠梓區,惠豐里,高雄市楠梓區惠豐街300號,"22.730492,120.316654",2,4127.0,楠梓分局,
ZN2436,楠梓區,五常里,高雄市楠梓區興楠路151巷46號,"22.729873,120.336673",1,297.0,楠梓分局,
ZN2439,楠梓區,宏榮里,高雄市楠梓區榮新街163號,"22.712696,120.299638",1,538.0,楠梓分局,
ZN2440,楠梓區,惠豐里,高雄市楠梓區惠豐街300號,"22.730492,120.316654",1,724.0,楠梓分局,
ZN2442,楠梓區,中和里,高雄市楠梓區德中路280巷251號,"22.72538488,120.276031767349",1,1160.0,楠梓分局,
ZN2443,楠梓區,加昌里,高雄市楠梓區秀群路451號,"22.716258,120.299518",1,540.0,楠梓分局,
ZN2444,楠梓區,藍田里,高雄市楠梓區高雄大學路700號,"22.733891,120.28281",1,2655.0,楠梓分局,
ZN2445,楠梓區,藍田里,高雄市楠梓區高雄大學路700號,"22.733891,120.28281",2,2405.0,楠梓分局,
ZN2446,楠梓區,建昌里,高雄市楠梓區軍校路973號,"22.711741,120.291807",2,1141.0,楠梓分局,
ZN2448,楠梓區,清豐里,高雄市楠梓區安泰街180號,"22.745049,120.336616",1,1268.0,楠梓分局,
ZN2449,楠梓區,仁昌里,高雄市楠梓區藍昌路360巷55號,"22.722586,120.292539",1,588.0,楠梓分局,
ZN2450,楠梓區,清豐里,高雄市楠梓區卓越路51巷6號,"22.751234,120.332716",1,2304.0,楠梓分局,
ZN2451,楠梓區,加昌里,高雄市楠梓區秀群路457巷11號,"22.716218,120.298997",1,514.0,楠梓分局,
ZN2452,楠梓區,瑞屏里,高雄市楠梓區瑞屏路66巷2號,"22.723523,120.31168",2,1708.0,楠梓分局,
ZN2453,楠梓區,藍田里,高雄市楠梓區高雄大學路700號,"22.733891,120.28281",1,1635.0,楠梓分局,
ZN2455,楠梓區,加昌里,高雄市楠梓區加宏路22巷9號,"22.719086,120.297498",1,2097.0,楠梓分局,
ZN2456,楠梓區,藍田里,高雄市楠梓區大學七街336號,"22.729614,120.288984",1,656.0,楠梓分局,
ZN2457,楠梓區,東寧里,高雄市楠梓區土庫一路199號,"22.736084,120.328616",2,1807.0,楠梓分局,
ZN2458,楠梓區,惠豐里,高雄市楠梓區德民路22之6號,"22.732657,120.318181",1,2164.0,楠梓分局,
ZN2459,楠梓區,加昌里,高雄市楠梓區壽民路178號,"22.717537,120.29612",2,1673.0,楠梓分局,
ZN2460,楠梓區,東寧里,高雄市楠梓區土庫一路175號,"22.735925,120.329552",2,1008.0,楠梓分局,
ZN2461,楠梓區,建昌里,高雄市楠梓區軍校路930號,"22.713799,120.290879",2,542.0,楠梓分局,
ZN2462,楠梓區,中和里,高雄市楠梓區大學五十八街81號,"22.730346,120.27579",1,592.0,楠梓分局,
ZN2463,楠梓區,翠屏里,高雄市楠梓區德惠路70巷19號,"22.727499,120.303848",1,411.0,楠梓分局,
ZN2464,楠梓區,藍田里,高雄市楠梓區大學東路399號,"22.730248,120.290231",1,473.0,楠梓分局,
ZN2465,楠梓區,仁昌里,高雄市楠梓區惠民路241號,"22.723593,120.293173",2,3033.0,楠梓分局,
ZN2467,楠梓區,五常里,高雄市楠梓區興楠路355巷82弄25號,"22.728321,120.332883",2,1002.0,楠梓分局,
ZN2469,楠梓區,宏昌里,高雄市楠梓區加宏路191巷53號,"22.715468,120.294895",2,821.0,楠梓分局,
ZN2470,楠梓區,五常里,高雄市楠梓區興楠路355巷83號之1,"22.727637,120.332657",1,469.0,楠梓分局,
ZN2472,楠梓區,五常里,高雄市楠梓區興楠路355巷58號,"22.728196,120.33194",2,884.0,楠梓分局,
ZN2473,楠梓區,宏榮里,高雄市楠梓區榮昌街6號,"22.714511,120.298165",2,1384.0,楠梓分局,
ZN2474,楠梓區,宏榮里,高雄市楠梓區榮新街17號,"22.714462,120.297607",2,2068.0,楠梓分局,
ZN2478,楠梓區,清豐里,高雄市楠梓區卓越路251號,"22.751469,120.32861",1,792.0,楠梓分局,
ZN2479,楠梓區,五常里,高雄市楠梓區興楠路355巷82弄2號,"22.728071,120.332886",1,864.0,楠梓分局,
ZN2480,楠梓區,瑞屏里,高雄市楠梓區海專路142號,"22.724713,120.314498",1,1403.0,楠梓分局,
ZN2481,楠梓區,藍田里,高雄市楠梓區高雄大學路375號,"22.728638,120.284242",1,572.0,楠梓分局,
ZN2482,楠梓區,宏昌里,高雄市楠梓區藍昌路320號,"22.72253838,120.291369367349",2,2185.0,楠梓分局,
ZN2483,楠梓區,翠屏里,高雄市楠梓區德民路450號,"22.724701,120.300085",2,1314.0,楠梓分局,
ZN2485,楠梓區,藍田里,高雄市楠梓區大學十一街66號,"22.72511,120.28793",2,928.0,楠梓分局,
ZN2488,楠梓區,藍田里,高雄市楠梓區高雄大學路205號,"22.726182,120.284779",2,1047.0,楠梓分局,
ZN2489,楠梓區,翠屏里,高雄市楠梓區德豐街225號,"22.727423,120.298392",1,333.0,楠梓分局,
ZN2490,楠梓區,中陽里,高雄市楠梓區中陽里朝明路108號,"22.723913,120.327707",1,691.0,楠梓分局,
ZN2491,楠梓區,清豐里,高雄市楠梓區創新路888號,"22.749922,120.331819",1,660.0,楠梓分局,
ZN2493,楠梓區,翠屏里,高雄市楠梓區德賢路588號,"22.725838,120.300702",1,738.0,楠梓分局,
ZN2494,楠梓區,興昌里,高雄市楠梓區德民路1226號,"22.7175,120.283432",2,3037.0,楠梓分局,
ZN2495,楠梓區,翠屏里,高雄市楠梓區德豐街165號,"22.725916,120.298236",1,1588.0,楠梓分局,
ZN2496,楠梓區,裕昌里,高雄市楠梓區裕昌街167號,"22.71692,120.288335",3,2270.0,楠梓分局,
ZN2497,楠梓區,東寧里,高雄市楠梓區楠裕街22號,"22.732313,120.331236",3,1722.0,楠梓分局,
ZN2498,楠梓區,加昌里,高雄市楠梓區秀群路457巷2號,"22.716533,120.29938",3,2662.0,楠梓分局,
ZN2499,楠梓區,藍田里,高雄市楠梓區藍田里高雄大學路397號,"22.729299,120.284242",3,833.0,楠梓分局,
ZN2502,楠梓區,宏昌里,高雄市楠梓區後昌新路58巷27號,"22.719608,120.292677",3,919.0,楠梓分局,
ZN2505,楠梓區,五常里,高雄市楠梓區鳳楠路96號,"22.723054,120.331441",1,1616.0,楠梓分局,
ZN2507,楠梓區,宏昌里,高雄市楠梓區宏昌里信昌街122號,"22.718574,120.29255",1,630.0,楠梓分局,
ZN2508,楠梓區,玉屏里,高雄市楠梓區聖雲街36巷50號,"22.716214,120.316419",1,166.0,楠梓分局,
ZN2509,楠梓區,裕昌里,高雄市楠梓區裕昌街157號,"22.717063,120.288535",1,586.0,楠梓分局,
ZN2510,楠梓區,翠屏里,高雄市楠梓區德惠路128號,"22.728356,120.303383",1,3072.0,楠梓分局,
ZN2511,楠梓區,藍田里,高雄市楠梓區大學二十六街27巷9號,"22.728684,120.290933",3,1440.0,楠梓分局,
ZN2514,楠梓區,藍田里,高雄市楠梓區高雄大學路700號,"22.733891,120.28281",1,1419.0,楠梓分局,
ZN2515,楠梓區,清豐里,高雄市楠梓區土庫二路188號,"22.739464,120.326126",1,2393.0,楠梓分局,
ZN2516,楠梓區,藍田里,高雄市楠梓區大學二十五路130號,"22.726344,120.282386",1,1369.0,楠梓分局,
ZN2517,楠梓區,藍田里,高雄市楠梓區大學十七街300號,"22.727782,120.283525",1,941.0,楠梓分局,
ZN2518,楠梓區,藍田里,高雄市楠梓區藍田路845號,"22.727761,120.282218",1,1238.0,楠梓分局,
ZN2519,楠梓區,仁昌里,高雄市楠梓區藍昌路360巷50號,"22.722549,120.292139",1,391.0,楠梓分局,
ZN2520,楠梓區,藍田里,高雄市楠梓區大學二十六街30號,"22.729081,120.291151",2,1083.0,楠梓分局,
ZN2522,楠梓區,五常里,高雄市楠梓區常興街87號,"22.732844,120.337368",1,1833.0,楠梓分局,
ZN2523,楠梓區,翠屏里,高雄市楠梓區翠屏路67號,"22.726517,120.299139",1,2484.0,楠梓分局,
ZN2524,楠梓區,中和里,高雄市楠梓區大學六十二街71號,"22.73053,120.273167",1,900.0,楠梓分局,
ZN2525,楠梓區,中陽里,高雄市楠梓區朝明路130巷7弄12號,"22.72415,120.328895",1,460.0,楠梓分局,
ZN2526,楠梓區,藍田里,高雄市楠梓區高雄大學路700號,"22.733891,120.28281",1,1419.0,楠梓分局,
ZN2527,楠梓區,仁昌里,高雄市楠梓區德民路782號,"22.721993,120.292606",3,1245.0,楠梓分局,
ZN2529,楠梓區,清豐里,高雄市楠梓區土庫二路22號,"22.737138,120.327687",2,2522.0,楠梓分局,
ZN2530,楠梓區,藍田里,高雄市楠梓區高雄大學路180號,"22.72615627525812, 120.28550553874797",2,1000.0,楠梓分局,
ZN2535,楠梓區,中和里,高雄市楠梓區大學五十六街129號,"22.728514,120.2747",3,675.0,楠梓分局,
ZN2538,楠梓區,仁昌里,高雄市楠梓區藍昌路360巷70號,"22.722306,120.29266",2,654.0,楠梓分局,
ZN2540,楠梓區,翠屏里,高雄市楠梓區德富街306號,"22.729925,120.298368",1,1817.0,楠梓分局,
ZN2541,楠梓區,中和里,高雄市楠梓區德中路268號之1,"22.72556327,120.275545496185",1,2019.0,楠梓分局,
ZN2542,楠梓區,清豐里,高雄市楠梓區卓越路163號,"22.751571,120.330884",3,1997.0,楠梓分局,
ZN2545,楠梓區,藍田里,高雄市楠梓區大學二十六街429號,"22.729606,120.282623",3,1186.0,楠梓分局,
ZN2548,楠梓區,久昌里,高雄市楠梓區廣昌街181號,"22.70862,120.285199",2,2147.0,楠梓分局,
ZN2550,楠梓區,瑞屏里,高雄市楠梓區海專路251號,"22.725011583438906, 120.31230113874776",2,1240.0,楠梓分局,
ZN2553,楠梓區,金田里,高雄市楠梓區金田里加昌路81號,"22.722731,120.317974",2,2492.0,楠梓分局,
ZN2555,楠梓區,中和里,高雄市楠梓區大學二十六街321號,"22.72940979,120.287282567349",2,1178.0,楠梓分局,
ZN2557,楠梓區,藍田里,高雄市楠梓區高雄大學路700號,"22.733891,120.28281",1,493.0,楠梓分局,
ZN2558,楠梓區,藍田里,高雄市楠梓區大學十街476號,"22.725428,120.28464",1,1269.0,楠梓分局,
