電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SNA00058,私人透天,勝安村,花蓮縣吉安鄉自強路218號,1.0,30人,,花蓮縣吉安鄉自強路218號
SNA00059,私人透天,勝安村,花蓮縣吉安鄉自強路214號,1.0,69人,,花蓮縣吉安鄉自強路214號
SNA00060,私人透天,勝安村,花蓮縣吉安鄉自強路226號,1.0,29人,,花蓮縣吉安鄉自強路226號
SNA00061,私人透天,勝安村,花蓮縣吉安鄉自強路224號,1.0,30人,,花蓮縣吉安鄉自強路224號
SNA00062,私人透天,勝安村,花蓮縣吉安鄉自強路210號,1.0,38人,,花蓮縣吉安鄉自強路210號
SNA00063,私人透天,勝安村,花蓮縣吉安鄉自強路208號,1.0,38人,,花蓮縣吉安鄉自強路208號
SNA00064,私人透天,勝安村,花蓮縣吉安鄉自強路206號,1.0,38人,,花蓮縣吉安鄉自強路206號
SNA00065,東港汽車有限公司,北昌村,花蓮縣吉安鄉中央路三段424號,1.0,176人,,花蓮縣吉安鄉中央路三段424號
SNA00066,私人透天,北昌村,花蓮縣吉安鄉建國路一段39號,1.0,21人,,花蓮縣吉安鄉建國路一段39號
SNA00067,私人透天,北昌村,花蓮縣吉安鄉建國路一段43號,1.0,21人,,花蓮縣吉安鄉建國路一段43號
SNA00068,私人透天,北昌村,花蓮縣吉安鄉建國路一段41號,1.0,21人,,花蓮縣吉安鄉建國路一段41號
SNA00069,私人透天,北昌村,花蓮縣吉安鄉建國路一段37號,1.0,24人,,花蓮縣吉安鄉建國路一段37號
SNA00070,私人透天,北昌村,花蓮縣吉安鄉建國路一段45號,1.0,21人,,花蓮縣吉安鄉建國路一段45號
SNA00071,私人透天,北昌村,花蓮縣吉安鄉建國路一段51號,1.0,21人,,花蓮縣吉安鄉建國路一段51號
SNA00072,私人透天,北昌村,花蓮縣吉安鄉建國路一段49號,1.0,21人,,花蓮縣吉安鄉建國路一段49號
SNA00073,私人透天,北昌村,花蓮縣吉安鄉建國路一段47號,1.0,21人,,花蓮縣吉安鄉建國路一段47號
SNA00074,私人透天,北昌村,花蓮縣吉安鄉建國路一段191號,1.0,60人,,花蓮縣吉安鄉建國路一段191號
SNA00075,私人透天,北昌村,花蓮縣吉安鄉建國路一段1號,1.0,190人,,花蓮縣吉安鄉建國路一段1號
SNA00076,私人透天,北昌村,花蓮縣吉安鄉建國路一段3號,1.0,191人,,花蓮縣吉安鄉建國路一段3號
SNA00077,私人透天,北昌村,花蓮縣吉安鄉建國路一段5號,1.0,90人,,花蓮縣吉安鄉建國路一段5號
SNA00078,私人透天,北昌村,花蓮縣吉安鄉建國路一段15號,1.0,58人,,花蓮縣吉安鄉建國路一段15號
SNA00079,私人透天,北昌村,花蓮縣吉安鄉建國路一段13號,1.0,192人,,花蓮縣吉安鄉建國路一段13號
SNA00080,私人透天,北昌村,花蓮縣吉安鄉建國路一段7號,1.0,56人,,花蓮縣吉安鄉建國路一段7號
SNA00081,私人透天,北昌村,花蓮縣吉安鄉建國路一段9號,1.0,56人,,花蓮縣吉安鄉建國路一段9號
SNA00082,私人透天,北昌村,花蓮縣吉安鄉建國路一段225號,1.0,49人,,花蓮縣吉安鄉建國路一段225號
SNA00083,私人透天,勝安村,花蓮縣吉安鄉自強路248號,1.0,84人,,花蓮縣吉安鄉自強路248號
SNA00084,中華賓士展示廠,勝安村,花蓮縣吉安鄉中原路一段268號,1.0,34人,,花蓮縣吉安鄉中原路一段268號
SNA00085,私人透天,勝安村,花蓮縣吉安鄉中央路三段238號,1.0,62人,,花蓮縣吉安鄉中央路三段238號
SNA00086,私人透天,勝安村,花蓮縣吉安鄉中央路三段250號,1.0,62人,,花蓮縣吉安鄉中央路三段250號
SNA00087,私人透天,勝安村,花蓮縣吉安鄉中央路三段256號,1.0,62人,,花蓮縣吉安鄉中央路三段256號
SNA00090,私人透天,勝安村,花蓮縣吉安鄉自強路300巷40號,1.0,34人,,花蓮縣吉安鄉自強路300巷40號
SNA00091,順益汽車股份有限公司,北昌村,花蓮縣吉安鄉建國路一段197號,1.0,53人,,花蓮縣吉安鄉建國路一段197號
SNA00092,私人透天,勝安村,花蓮縣吉安鄉自強路133號,1.0,36人,,花蓮縣吉安鄉自強路133號
SNA00093,奇來金屬企業有限公司,勝安村,花蓮縣吉安鄉和平路一段1號,1.0,65人,,花蓮縣吉安鄉和平路一段1號
SNA00094,私人透天,勝安村,花蓮縣吉安鄉自強路131號,1.0,62人,,花蓮縣吉安鄉自強路131號
SNA00095,私人透天,勝安村,花蓮縣吉安鄉自強路356號,1.0,44人,,花蓮縣吉安鄉自強路356號
SNA00096,私人透天,勝安村,花蓮縣吉安鄉自強路135號,1.0,36人,,花蓮縣吉安鄉自強路135號
SNA00097,私人透天,勝安村,花蓮縣吉安鄉自強路137號,1.0,36人,,花蓮縣吉安鄉自強路137號
