類別,電腦編號,村里別,經度緯度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
公寓,A1413096,大同里,"24.989266,121.342209",1,211人,龜山分局,O,
公寓,A1414097,大同里,"24.989367,121.342076",1,257人,龜山分局,O,
公寓,A1415098,大同里,"24.988396,121.343658",1,406人,龜山分局,O,
公寓,A1416099,大同里,"24.990219,121.342395",1,96人,龜山分局,O,
公寓,A1417100,大同里,"24.990034,121.344427",2,2354人,龜山分局,,
公寓,A1418101,大同里,"24.988462,121.343878",1,294人,龜山分局,,
公寓,A1501102,嶺頂里,"25.002970,121.367465",1,214人,龜山分局,,
公寓,A1502103,嶺頂里,"25.001526,121.363243",1,2326人,龜山分局,,
大樓,A1701104,新路里,"24.993300,121.337546",3,810人,龜山分局,O,
公寓,A1802155,兔坑里,"24.991910,121.358309",1,1088人,龜山分局,,
公寓,A1804108,兔坑里,"24.988996,121.365630",1,141人,龜山分局,O,
公寓,A1805109,兔坑里,"24.992003,121.372721",1,73人,龜山分局,,
公寓,A2102111,龜山里,"24.996604,121.337873",1,403人,龜山分局,O,
公寓,A2301113,兔坑里,"24.996579,121.363686",1,221人,龜山分局,,
公寓,A2303115,兔坑里,"24.992342,121.364279",1,2562人,龜山分局,,
公寓,A2401116,兔坑里,"24.995282,121.358092",1,2689人,龜山分局,,
公寓,A2601117,新嶺里,"25.001300,121.361294",1,3680人,龜山分局,O,
大樓,A2602118,新嶺里,"24.999224,121.362001",1,10054人,龜山分局,O,
公寓,A2703121,大同里,"24.996603,121.344787",1,297人,龜山分局,,
公寓,A2705123,大同里,"24.992896,121.341596",2,640人,龜山分局,O,
大樓,A1104125,新路里,"24.993511,121.335120",1,693人,龜山分局,,
公寓,A2103128,龜山里,"24.998950,121.338768",1,987人,龜山分局,,
大樓,A2707130,大同里,"24.999886,121.347128",2,3288人,龜山分局,,
大樓,A2708131,大同里,"24.998926,121.346267",1,2021人,龜山分局,O,
大樓,A2709132,大同里,"24.998819,121.345562",2,4210人,龜山分局,,
大樓,A2710133,大同里,"24.999289,121.346896",2,2324人,龜山分局,O,
公寓,A1804134,大同里,"24.988740,121.348521",1,2157人,龜山分局,,
公寓,A2711135,大同里,"24.998946,121.346828",1,199人,龜山分局,O,
公寓,A1308136,大同里,"24.988344,121.347983",1,2157人,龜山分局,,
公寓,A2104137,龜山里,"24.996936,121.333764",1,406人,龜山分局,,
公寓,A1309138,大同里,"24.989705,121.345088",2,1972人,龜山分局,O,
大樓,A0207139,新嶺里,"25.000797,121.348010",1,1832人,龜山分局,O,
大樓,A1806140,兔坑里,"24.992003,121.372721",1,1034人,龜山分局,O,
大樓,A0610141,新嶺里,"25.004677,121.373115",1,3516人,龜山分局,,
大樓,A0506142,楓樹里,"25.008702,121.342151",2,2450人,龜山分局,,
公寓,A2202143,龜山里,"24.994807,121.340954",1,33049人,龜山分局,O,
大樓,A1603144,楓樹里,"25.011438,121.342429",1,1701人,龜山分局,O,
公寓,A2203145,龜山里,"24.994807,121.340954",1,3316人,龜山分局,,
大樓,A2204146,龜山里,"24.998942,121.339429",3,1699人,龜山分局,O,
大樓,A2205147,龜山里,"24.997005,121.344843",3,805人,龜山分局,O,
大樓,A2206148,龜山里,"24.998954,121.339984",3,1699人,龜山分局,O,
公寓,A2304149,嶺頂里,"24.998642,121.355170",1,1420人,龜山分局,,
公寓,A2305150,龜山里,"24.995882,121.339438",1,38人,龜山分局,,
大樓,A2303151,楓樹里,"25.004923,121.345338",3,1608人,龜山分局,O,
公寓,A2303152,大同里,"24.989850,121.342789",1,929人,龜山分局,O,
大樓,A3703153,楓樹里,"25.008817,121.342637",3,3176人,龜山分局,O,
公寓,F0601003,山福里,"24.989414,121.328836",1,80人,龜山分局,,
公寓,F0602004,山福里,"24.988765,121.328765",1,34人,龜山分局,,
公寓,F0603005,山福里,"24.988582,121.329128",1,73人,龜山分局,,
公寓,F0606008,山福里,"24.988844,121.329066",1,34人,龜山分局,,
大樓,F0801009,山福里,"24.982519,121.332052",1,3917人,龜山分局,O,
大樓,F0802010,山頂里,"24.982728,121.333421",1,800人,龜山分局,,
公寓,F1001011,山福里,"24.989163,121.329525",1,4022人,龜山分局,O,
公寓,F1401013,山頂里,"24.983729,121.327048",1,61人,龜山分局,,
公寓,F1402014,山頂里,"24.984235,121.328379",1,176人,龜山分局,,
公寓,F1405017,山頂里,"24.983903,121.327454",1,304人,龜山分局,,
公寓,F1406018,山頂里,"24.983597,121.326807",1,189人,龜山分局,,
公寓,F1407019,山頂里,"24.987525,121.326713",1,164人,龜山分局,,
公寓,F1408020,山頂里,"24.983580,121.327511",1,45人,龜山分局,,
公寓,F1409021,山頂里,"24.981020,121.329796",1,88人,龜山分局,,
公寓,F1410022,山頂里,"24.983872,121.328196",1,58人,龜山分局,,
公寓,F1413025,山頂里,"24.985146,121.322984",1,3378人,龜山分局,O,
公寓,F1414026,山頂里,"24.983288,121.328610",1,220人,龜山分局,,
公寓,F1416028,山頂里,"24.986101,121.325877",1,9781人,龜山分局,O,
公寓,F1417029,山頂里,"24.987047,121.327237",1,2369人,龜山分局,O,
公寓,F1418030,山頂里,"24.983903,121.327454",1,154人,龜山分局,,
公寓,F1419031,山頂里,"24.981448,121.329618",1,950人,龜山分局,,
公寓,F1420032,山頂里,"24.982861,121.329773",1,84人,龜山分局,,
公寓,F1421033,山頂里,"24.982181,121.330316",2,1200人,龜山分局,O,
公寓,F1422034,山頂里,"24.982281,121.330242",2,8220人,龜山分局,O,
公寓,F1423035,山德里,"24.988771,121.324015",1,405人,龜山分局,,
公寓,F1424036,山頂里,"24.985294,121.327096",1,9162人,龜山分局,O,
公寓,F1425037,山頂里,"24.987525,121.326713",2、3,9652人,龜山分局,O,
公寓,F1426038,山頂里,"24.987331,121.329474",1,1781人,龜山分局,O,
大樓,F1427039,山頂里,"24.988264,121.328249",1,1845人,龜山分局,O,
公寓,F1428040,山頂里,"24.985294,121.327096",3,9162人,龜山分局,O,
公寓,F1429041,山頂里,"24.982552,121.330063",1、2,6566人,龜山分局,O,
公寓,F1431043,山頂里,"24.985294,121.327096",3,9162人,龜山分局,O,
公寓,F1432044,山頂里,"24.987525,121.326713",2、3,11198人,龜山分局,O,
大樓,F1601045,新興里,"24.989531,121.332792",1,2010人,龜山分局,O,
大樓,F1602046,新興里,"24.990105,121.333457",1,2700人,龜山分局,O,
公寓,F1603047,新興里,"24.992536,121.332691",1,74人,龜山分局,,
大樓,F1605049,新興里,"24.989840,121.332626",1,2464人,龜山分局,,
公寓,F1801051,中興里,"24.994686,121.328423",1,2482人,龜山分局,O,
大樓,F1804054,中興里,"24.993514,121.331562",1,1022人,龜山分局,,
公寓,F1902056,中興里,"24.993266,121.325406",1,260人,龜山分局,,
大樓,F1434061,山頂里,"24.987192,121.324231",1、2,10190人,龜山分局,O,
大樓,F1404062,山頂里,"24.987404,121.330341",1,4384人,龜山分局,O,
大樓,F1436063,山頂里,"24.987425,121.328050",1,4747人,龜山分局,O,
大樓,F1437064,山頂里,"24.987055,121.331017",1,4407人,龜山分局,O,
公寓,F2401065,新興里,"24.992236,121.340635",1,1512人,龜山分局,O,
大樓,F1904066,中興里,"24.994323,121.325232",3,3710人,龜山分局,O,
公寓,F1438067,山頂里,"24.986101,121.325877",1,4084人,龜山分局,O,
公寓,F1439068,山頂里,"24.984919,121.326988",2,8960人,龜山分局,O,
大樓,F130270,山福里,"24.992751,121.328518",3,3179人,龜山分局,O,
大樓,F130271,幸福里,"24.986687,121.335429",1,2193人,龜山分局,O,
大樓,F221472,中興里,"24.993666,121.331342",2,1763人,龜山分局,O,
大樓,F125673,幸福里,"24.986868,121.335341",1,1660人,龜山分局,O,
大樓,F210174,山德里,"24.992001,121.323569",1,2743人,龜山分局,O,
公寓,G0401001,文化里,"25.053571,121.371883",1,1879人,龜山分局,,
金融機構,G0801002,文化里,",",1,5915人,龜山分局,O,機敏單位
公寓,G0701004,文化里,"25.055261,121.374956",1,318人,龜山分局,,
公寓,G0101005,文化里,"25.059391,121.370512",1,2212人,龜山分局,O,
公寓,G0501006,文化里,"25.055142,121.373340",1,455人,龜山分局,,
公寓,G0102007,文化里,"25.058433,121.369802",1,682人,龜山分局,,
公寓,G0103008,文化里,"25.057560, 121.372720",1,302人,龜山分局,,
公寓,G0201010,文化里,"25.058391,121.369342",1,428人,龜山分局,,
公寓,G0302011,文化里,"25.056163,121.368463",1,174人,龜山分局,,
公寓,G0202013,文化里,"25.057379,121.367405",1,1314人,龜山分局,,
公寓,G0404014,文化里,"25.057542,121.369384",1,394人,龜山分局,,
公寓,G0701015,文化里,"25.054732,121.374869",1,116人,龜山分局,,
公寓,G0802016,文化里,"25.048378,121.377003",1,9302人,龜山分局,,
公寓,G0803017,文化里,"25.047487,121.375398",1,11165人,龜山分局,O,
公寓,G0804018,文化里,"25.039722,121.372478",1,3156人,龜山分局,O,
公寓,G0805020,文化里,"25.041253,121.374655",1,3996人,龜山分局,O,
大樓,G0806021,文化里,"25.041969,121.370977",3,4511人,龜山分局,O,
公寓,G0807022,文化里,"25.037845,121.375639",1,6262人,龜山分局,O,
公寓,G0808023,文化里,"25.037845,121.375639",1,2569人,龜山分局,O,
公寓,G0809024,文化里,"25.040295,121.372152",2,2136人,龜山分局,O,
公寓,G0702025,文化里,"25.054093,121.374585",1,857人,龜山分局,,
公寓,G0601026,文化里,"25.053348,121.372626",1,705人,龜山分局,,
公寓,G0104027,文化里,"25.055879,121.372376",1,1453人,龜山分局,,
公寓,G0810029,文化里,"25.042392,121.372020",1,5283人,龜山分局,O,
公寓,G0811030,文化里,"25.041253,121.374655",1,3996人,龜山分局,O,
公寓,G0812031,文化里,"25.048365,121.374448",1,9410人,龜山分局,O,
公寓,G0813032,文化里,"25.040212,121.373104",2,7718人,龜山分局,O,
公寓,G0814033,文化里,"25.048365,121.374448",2,3064人,龜山分局,O,
公寓,G0815034,文化里,"25.041253,121.374655",1,652人,龜山分局,,
公寓,G0816035,文化里,"25.046122,121.374745",1,9216人,龜山分局,O,
公寓,G0817036,文化里,"25.043755,121.374016",1,35750人,龜山分局,O,
公寓,G0818037,文化里,"25.046880,121.375389",1,417人,龜山分局,,
公寓,G0819038,文化里,"25.044046,121.375117",2,3092人,龜山分局,O,
公寓,G0820039,文化里,"25.041875,121.374857",1,469人,龜山分局,,
公寓,G0821040,文化里,"25.044125,121.371858",1,1793人,龜山分局,,
公寓,G0822041,文化里,"25.043164,121.373813",1,9615人,龜山分局,O,
公寓,G0823042,文化里,"25.051344,121.375786",1,9528人,龜山分局,O,
大樓,G0824043,文化里,"25.040212,121.373104",1,2007人,龜山分局,O,
公寓,G0105046,文化里,"25.059398,121.369967",1,335人,龜山分局,,
公寓,G0105047,文化里,"25.058955,121.370414",1,270人,龜山分局,,
公寓,G0206048,文化里,"25.054607,121.372615",1,2929人,龜山分局,O,
公寓,G0204049,文化里,"25.058973,121.368101",2,453人,龜山分局,,
公寓,G0703050,文化里,"25.055288,121.373721",1,375人,龜山分局,,
公寓,G3008058,大華里,"25.045314,121.360018",1,533人,龜山分局,,
公寓,G3009059,大華里,"25.039459,121.364465",1,513人,龜山分局,,
公寓,G3010060,大華里,"25.052094,121.363823",1,534人,龜山分局,,
公寓,G3011061,大華里,"25.044021,121.361435",1,400人,龜山分局,,
公寓,G3014064,大華里,"25.038913,121.364862",1,512人,龜山分局,,
公寓,G3017067,大華里,"25.046506,121.360530",1,460人,龜山分局,,
公寓,G3022072,大華里,"25.045853,121.360971",1,2037人,龜山分局,O,
公寓,G3024074,大華里,"25.045680,121.365515",1,404人,龜山分局,,
公寓,G3029079,大華里,"25.048575,121.362056",1,136人,龜山分局,,
公寓,G3033083,大華里,"25.044021,121.361435",1,253人,龜山分局,,
公寓,G3034084,大華里,"25.038913,121.364862",1,60人,龜山分局,,
公寓,G3042092,大華里,"25.038114,121.363878",1,96人,龜山分局,,
公寓,G3043093,大華里,"25.054131,121.361249",1,253人,龜山分局,,
公寓,G3045095,大華里,"25.038699,121.364175",1,98人,龜山分局,,
公寓,G3049099,大華里,"25.041029,121.362672",1,90人,龜山分局,,
公寓,G3050100,大華里,"25.045853,121.360971",1,5382人,龜山分局,O,
公寓,G3055105,大華里,"25.040412,121.366515",1,265人,龜山分局,,
公寓,G3059109,大華里,"25.049336,121.362915",1,913人,龜山分局,,
公寓,G3061111,大華里,"25.039531,121.363356",1,5830人,龜山分局,O,
公寓,G1801112,大華里,"25.050034,121.368728",1,668人,龜山分局,,
公寓,G3063114,大華里,"25.049336,121.362915",1,789人,龜山分局,,
公寓,G2201115,大華里,"25.055806,121.362763",1,1330人,龜山分局,,
公寓,G2301116,大華里,"25.054957,121.362525",1,438人,龜山分局,,
公寓,G2401117,大華里,"25.055088,121.362755",1,456人,龜山分局,,
公寓,G2202118,大華里,"25.056135,121.363277",1,1052人,龜山分局,,
大樓,G1101120,文化里,"25.057358,121.365140",3,1045人,龜山分局,,
大樓,G1001121,文化里,"25.055374,121.366674",1,2726人,龜山分局,O,
大樓,G1102122,文化里,"25.056916,121.365478",3,1513人,龜山分局,,
大樓,G0204123,文化里,"25.057762,121.366017",1,574人,龜山分局,,
大樓,G0205124,文化里,"25.057255,121.366307",2,1689人,龜山分局,,
公寓,G1103125,文化里,"25.056348,121.365157",1,513人,龜山分局,,
公寓,G2203126,大華里,"25.056024,121.364412",1,1588人,龜山分局,,
公寓,G2204127,大華里,"25.055108,121.365063",1,464人,龜山分局,,
公寓,G1901128,大華里,"25.051349,121.368990",1,1050人,龜山分局,,
公寓,G2204130,大華里,"25.054675, 121.366229",1,516人,龜山分局,,
公寓,G2303132,大華里,"25.052156,121.366860",1,377人,龜山分局,,
公寓,G2801133,大華里,"25.053072,121.362816",1,1277人,龜山分局,,
公寓,G1701134,大華里,"25.050951,121.367834",2,786人,龜山分局,,
公寓,G1801135,大華里,"25.049833,121.367382",1,763人,龜山分局,,
公寓,G1602136,大華里,"25.050128,121.363397",1,421人,龜山分局,,
公寓,G2206137,大華里,"25.054704,121.364236",1,567人,龜山分局,,
公寓,G0207137,文化里,"25.057621,121.367203",1,937人,龜山分局,,
大樓,G3063115,文化里,"25.055852,121.365688",4,789人,龜山分局,,
大樓,G3063120,文化里,"25.056244,121.367058",1,1090人,龜山分局,,
公寓,G3063118,文化里,"25.058655,121.367678",2,814人,龜山分局,,
大樓,G3063119,文化里,"25.055284,121.367292",1,339人,龜山分局,,
大樓,G3063117,大華里,"25.053597,121.363051",2,1473人,龜山分局,,
大樓,G3063116,大華里,"25.052873,121.363149",1,850人,龜山分局,,
大樓,G3063121,文化里,"25.056829,121.371730",1,730人,龜山分局,,
公寓,G3063122,文化里,"25.054843,121.375441",1,595人,龜山分局,,
公寓,G2403138,大華里,"25.055471,121.363947",1,650人,龜山分局,,
大樓,G1902148,文化里,"25.056021,121.373949",1,2368人,龜山分局,O,
大樓,G1903149,大華里,"25.051375,121.364016",1,1018人,龜山分局,,
大樓,G1904150,文化里,"25.054679,121.366704",1,938人,龜山分局,,
公寓,G1905151,大華里,"25.054013,121.365703",1,1398人,龜山分局,,
公寓,G1907153,文化里,"25.058337,121.369901",1,1043人,龜山分局,,
大樓,G1908154,文化里,"25.056597,121.369330",1,1019人,龜山分局,,
大樓,G1906152,文化里,"25.052341,121.373172",2,1538人,龜山分局,,
公寓,G1908155,大華里,"25.052205,121.359801",1,436人,龜山分局,,
大樓,G1908156,文化里,"25.047146,121.379762",1,1469人,龜山分局,,
大樓,G1908157,大華里,"25.050621,121.362168",1、2,1202人,龜山分局,,
公寓,G1908171,大華里,"25.049676,121.367913",2,706人,龜山分局,,
大樓,G1908172,公西里,"25.060459,121.364988",2、3,16749人,龜山分局,O,
公寓,G1908174,大華里,"25.050272,121.367123",2,823人,龜山分局,,
公寓,G1908173,文化里,"25.054831,121.370788",1,246人,龜山分局,,
公寓,E0101001,舊路里,"25.009747,121.354935",1,238人,龜山分局,,
公寓,E0102002,舊路里,"25.015761,121.366954",1,6324人,龜山分局,O,
公寓,E0103003,舊路里,"25.015761,121.366954",1,976人,龜山分局,,
大樓,E0104004,舊路里,"25.016812,121.366857",1,6498人,龜山分局,O,
大樓,E0304008,舊路里,"25.033395,121.385344",1,2494人,龜山分局,,
公寓,E0501012,樂善里,"25.063082,121.376228",1,666人,龜山分局,,
公寓,E0502013,樂善里,"25.050680,121.381929",1,60人,龜山分局,,
公寓,E0503014,樂善里,"25.063068,121.373343",1,224人,龜山分局,,
公寓,E0504015,樂善里,"25.057053,121.374787",1,658人,龜山分局,,
公寓,E0506017,樂善里,"25.062083,121.373681",1,676人,龜山分局,,
公務機關,E0507018,樂善里,",",1,213人,龜山分局,,機敏單位
公寓,E0508019,樂善里,"25.055287,121.378862",1,261人,龜山分局,,
公寓,E0510021,樂善里,"25.052256,121.379431",1,2530人,龜山分局,O,
公寓,E0602023,舊路里,"25.014026,121.359041",1,732人,龜山分局,,
大樓,E0801024,長庚里,"25.054058,121.382947",1,5476人,龜山分局,O,
大樓,E0802025,長庚里,"25.059597,121.383985",1,1485人,龜山分局,O,
大樓,E0901026,長庚里,"25.059325,121.385245",1,3410人,龜山分局,O,
大樓,E0902027,長庚里,"25.059180,121.385101",1,420人,龜山分局,,
大樓,E0903028,長庚里,"25.058395,121.385109",1,565人,龜山分局,,
大樓,E0904029,長庚里,"25.058702,121.383475",1,1109人,龜山分局,O,
大樓,E0905030,長庚里,"25.057832,121.384251",1,1528人,龜山分局,O,
大樓,E1001032,長庚里,"25.058883,121.385795",1,454人,龜山分局,,
大樓,E1002033,長庚里,"25.058021,121.388336",1,480人,龜山分局,,
大樓,E1003034,長庚里,"25.060048,121.386940",1,946人,龜山分局,,
大樓,E1004035,長庚里,"25.057835,121.388006",1,960人,龜山分局,,
公寓,E1101036,長庚里,"25.061760,121.387054",1,1088人,龜山分局,,
大樓,E0307037,舊路里,"25.033395,121.385344",1,6662人,龜山分局,O,
公寓,E1102038,長庚里,"25.061760,121.387054",1,1089人,龜山分局,,
大樓,E0105039,舊路里,"25.018802,121.370378",1,32038人,龜山分局,O,
公寓,E0511040,樂善里,"25.060265,121.381274",1,805人,龜山分局,,
公寓,E0106041,舊路里,"25.020496,121.371824",1,9595人,龜山分局,O,
公寓,E1601043,樂善里,"25.057188,121.381237",1,634人,龜山分局,,
公寓,E0701044,樂善里,"25.056908,121.381135",1,259人,龜山分局,,
大樓,E0511022,樂善里,"25.039590,121.389290",1,18336人,龜山分局,O,
公寓,E1610045,樂善里,"25.053177,121.379988",1,2732人,龜山分局,O,
公寓,E1610046,樂善里,"25.058897,121.381456",1,4557人,龜山分局,O,
大樓,E1707048,樂善里,"25.053553,121.381066",1,1390人,龜山分局,,
大樓,E1701049,樂善里,"25.062311,121.370105",1、2,6076人,龜山分局,O,
大樓,E1701050,樂善里,"25.051269,121.388255",1,5658人,龜山分局,O,
大樓,E1701051,文青里,"25.039134,121.392463",1,1968人,龜山分局,O,
大樓,E1701052,長庚里,"25.054990,121.383551",1,5321人,龜山分局,O,
公寓,E1701053,樂善里,"25.051106,121.393979",1,648人,龜山分局,,
公寓,E1701054,樂善里,"25.051075,121.394088",2,712人,龜山分局,,
公寓,E1701055,樂善里,"25.052911,121.390805",1,383人,龜山分局,,
大樓,E1701058,長庚里,"25.054901,121.384326",4,2942人,龜山分局,O,
大樓,E1701056,文青里,"25.039117,121.391946",3,2903人,龜山分局,O,
大樓,E1701060,樂善里,"25.044772,121.388400",1,3757人,龜山分局,O,
大樓,E1701061,樂善里,"25.048069,121.382394",1,2784人,龜山分局,O,
公寓,C0801004,大湖里,"25.057888,121.362628",1,966人,龜山分局,,
公寓,C0802005,大湖里,"25.056332,121.361453",1,554人,龜山分局,,
大樓,C0702007,大湖里,"25.059961,121.364293",2,908人,龜山分局,,
公寓,C1001008,大崗里,"25.054625,121.357001",1,1481人,龜山分局,,
公寓,C1008016,大崗里,"25.049578,121.358665",1,502人,龜山分局,,
公寓,C1102019,大湖里,"25.059203,121.363007",1,770人,龜山分局,,
大樓,C0910020,大湖里,"25.060110,121.363709",1,345人,龜山分局,,
大樓,C1104022,大湖里,"25.059342,121.362894",1,764人,龜山分局,,
公寓,C1105023,大湖里,"25.059408,121.363726",1,578人,龜山分局,,
大樓,C1106024,大湖里,"25.059562,121.363998",1,536人,龜山分局,,
大樓,C1107025,大湖里,"25.059156,121.363376",1,442人,龜山分局,,
大樓,C1201027,大湖里,"25.058443,121.364731",1,434人,龜山分局,,
公寓,C1302028,大湖里,"25.055416,121.359779",1,2184人,龜山分局,O,
公寓,C1303029,大湖里,"25.055416,121.359779",1,2184人,龜山分局,O,
公寓,C1304030,大湖里,"25.055502,121.359190",1,260人,龜山分局,,
公寓,C1305031,大湖里,"25.056481,121.359104",1,1493人,龜山分局,,
大樓,C0804033,大湖里,"25.058631,121.364293",1,1132人,龜山分局,,
公寓,C1009134,大崗里,"25.054207,121.352830",1,2661人,龜山分局,O,
公寓,C1306035,大湖里,"25.056481,121.359104",1,2261人,龜山分局,O,
公寓,C0501001,大湖里,"25.055516,121.360274",1,852人,龜山分局,,
公寓,C1007015,大崗里,"25.056197,121.352829",1,142人,龜山分局,,
大樓,C0301017,公西里,"25.060390,121.367627",1,12570人,龜山分局,O,
大樓,C0302037,公西里,"25.061906,121.361262",1,1399人,龜山分局,,
大樓,C0302038,公西里,"25.062166,121.361622",1,1451人,龜山分局,,
公寓,B0101001,迴龍里,"25.020921,121.410602",1,1441人,龜山分局,,
公寓,B0201002,龍華里,"25.017316,121.403791",1,252人,龜山分局,,
大樓,B0202003,龍華里,"25.016442,121.400451",1,693人,龜山分局,,
公寓,B0301004,龍壽里,"25.017244,121.396085",1,41人,龜山分局,,
大樓,B0302005,龍壽里,"25.016710,121.396071",1,60人,龜山分局,,
公寓,B0305008,龍壽里,"25.016394,121.395565",1,28人,龜山分局,,
公寓,B0306009,龍壽里,"25.015958,121.394012",1,534人,龜山分局,,
公寓,B0308011,龍壽里,"25.015706,121.396154",1,116人,龜山分局,,
大樓,B0310013,龍壽里,"25.016302,121.395962",1,238人,龜山分局,,
公寓,B0311014,龍壽里,"25.016165,121.393657",3,6701人,龜山分局,O,
公寓,B0402016,龍壽里,"25.010791,121.389320",1,36人,龜山分局,,
公寓,B0403017,龍壽里,"25.010791,121.389320",1,240人,龜山分局,,
公寓,B0404018,龍壽里,"25.011250,121.377707",1,197人,龜山分局,,
公寓,B0405019,龍壽里,"25.011116,121.377706",1,269人,龜山分局,,
公寓,B0406020,龍壽里,"25.009136,121.378930",1,89人,龜山分局,,
公寓,B0407021,龍壽里,"25.009370,121.375221",2,949人,龜山分局,,
公寓,B0408022,龍壽里,"25.007895,121.378917",1,130人,龜山分局,,
公寓,B0501023,龍壽里,"25.007712,121.379915",1,188人,龜山分局,,
公寓,B0601024,迴龍里,"25.019068,121.406353",1,670人,龜山分局,,
公寓,B0602025,迴龍里,"25.019121,121.406566",1,1220人,龜山分局,,
公寓,B0603026,迴龍里,"25.018598,121.406909",1,1574人,龜山分局,,
公寓,B0604027,迴龍里,"25.019812,121.406470",1,4322人,龜山分局,O,
大樓,B0606029,迴龍里,"25.0192354, 121.4079109",1,3412人,龜山分局,O,
大樓,B0607030,迴龍里,"25.019230,121.407030",3,1125人,龜山分局,,
公寓,B0801031,龍華里,"25.017467,121.402587",1,865人,龜山分局,,
公寓,B0803033,龍華里,"25.018287,121.402989",1,544人,龜山分局,,
公寓,B0903039,龍華里,"25.017146,121.401353",1,162人,龜山分局,,
大樓,B0905041,龍華里,"25.017199,121.401539",1,820人,龜山分局,,
公寓,B1001042,龍華里,"25.016562,121.398219",1,10496人,龜山分局,O,
公寓,B1103045,迴龍里,"25.020284,121.406692",1,49人,龜山分局,,
公寓,B1201047,迴龍里,"25.018298,121.407606",1,618人,龜山分局,,
大樓,B1202048,迴龍里,"025.01827,121.407520",1,244人,龜山分局,,
公寓,B1203049,迴龍里,"25.017302,121.405748",1,2541人,龜山分局,O,
公寓,B1204050,迴龍里,"25.017751,121.406051",1,93人,龜山分局,,
公寓,B1302052,迴龍里,"25.018450,121.406313",1,76人,龜山分局,,
公寓,B1304054,迴龍里,"25.018954,121.403957",1,422人,龜山分局,,
公寓,B1305055,迴龍里,"25.017478,121.404929",1,1370人,龜山分局,,
公寓,B1306056,迴龍里,"25.019801,121.402852",1,2012人,龜山分局,O,
大樓,B1307057,迴龍里,"25.018450,121.406313",1,1656人,龜山分局,,
公寓,B0701058,迴龍里,"25.018414,121.410205",1,274人,龜山分局,,
公寓,B0409059,龍壽里,"25.008006,121.379352",1,607人,龜山分局,,
大樓,B1401060,迴龍里,"25.018848,121.405423",1,1817人,龜山分局,,
大樓,B0102062,龍華里,"25.016134,121.399490",1,261人,龜山分局,,
公寓,B0102063,龍壽里,"25.010033,121.378532",1,891人,龜山分局,,
大樓,A0115048,迴龍里,"25.018272,121.403394",2,627人,龜山分局,,
大樓,A0213141,龍華里,"25.016455,121.401392",1,1999人,龜山分局,O,
公寓,D0101001,南上里,"25.042548,121.299338",1,33人,龜山分局,,
公寓,D0102002,南上里,"25.042971,121.298492",1,70人,龜山分局,,
公寓,D0103003,南上里,"25.040694,121.300197",1,614人,龜山分局,,
公寓,D0104004,南上里,"25.042459,121.298978",1,30人,龜山分局,,
公寓,D0105005,南上里,"25.042297,121.299069",1,52人,龜山分局,,
公寓,D0107007,南上里,"25.042884,121.299400",1,1114人,龜山分局,O,
