類別,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
一般住宅,FOA00077,振興里,新竹市東區振興里南大路446號,24.7969941,120.968133,20.0,第三分局
一般住宅,FOA00078,振興里,新竹市東區振興里南大路418號,24.7972662,120.9689326,10.0,第三分局
一般住宅,FOA00079,振興里,新竹市東區振興里興學街14號,24.7954488,120.9639695,10.0,第三分局
一般住宅,FOA00080,振興里,"新竹市東區振興里南大路428號 B1",24.7971197,120.9686729,584.0,第三分局
一般住宅,FOA00081,頂竹里,新竹市東區頂竹里東南街163號B1,24.7971503,120.9746878,22.0,第三分局
一般住宅,FOA00082,頂竹里,新竹市東區頂竹里東南街69巷22-26號B1,24.7989865,120.9736313,27.0,第三分局
一般住宅,FOA00083,頂竹里,新竹市東區頂竹里東南街53巷16號,24.7991806,120.975359,32.0,第三分局
一般住宅,FOA00084,頂竹里,新竹市東區頂竹里食品路204號B1,24.7969074,120.9755566,64.0,第三分局
一般住宅,FOA00085,頂竹里,新竹市東區頂竹里東南街75號B1,24.799102,120.973342,8.0,第三分局
一般住宅,FOA00086,頂竹里,新竹市東區頂竹里東南街167巷1號B1,24.7971713,120.9747709,60.0,第三分局
一般住宅,FOA00087,頂竹里,新竹市東區頂竹里東南街115號B1,24.7980149,120.9740371,53.0,第三分局
一般住宅,FOA00088,頂竹里,新竹市東區頂竹里東南街53巷6弄14號,24.7991288,120.9739633,23.0,第三分局
一般住宅,FOA00089,頂竹里,新竹市東區頂竹里東南街53巷6弄5號B1,24.799086,120.974479,226.0,第三分局
一般住宅,FOA00090,頂竹里,新竹市東區頂竹里東南街53巷10弄16號,24.7989032,120.9743222,28.0,第三分局
一般住宅,FOA00092,頂竹里,新竹市東區頂竹里東南街239巷1號,24.795561,120.976075,84.0,第三分局
一般住宅,FOA00093,頂竹里,新竹市東區頂竹里食品路169號,24.7968245,120.9760783,50.0,第三分局
一般住宅,FOA00094,頂竹里,新竹市東區頂竹里食品路179號,24.7966696,120.9757901,51.0,第三分局
一般住宅,FOA00095,頂竹里,新竹市東區頂竹里東南街167巷53弄10號,24.7977457,120.975535,28.0,第三分局
一般住宅,FOA00096,頂竹里,新竹市東區頂竹里東南街167巷53弄9.11號,24.797596,120.975199,54.0,第三分局
一般住宅,FOA00097,頂竹里,新竹市東區頂竹里東南街237號,24.7954497,120.9757347,126.0,第三分局
一般住宅,FOA00098,頂竹里,新竹市東區頂竹里食品路176號,24.7973581,120.976184,18.0,第三分局
一般住宅,FOA00099,頂竹里,新竹市東區頂竹里食品路174號,24.7973811,120.976221,20.0,第三分局
一般住宅,FOA00100,頂竹里,新竹市東區頂竹里培英街32巷22號,24.7960826,120.9778156,170.0,第三分局
一般住宅,FOA00101,頂竹里,新竹市東區頂竹里食品路177巷24號,24.796078,120.9761972,183.0,第三分局
一般住宅,FOA00102,頂竹里,新竹市東區頂竹里食品路160號,24.797583,120.976563,56.0,第三分局
一般住宅,FOA00103,頂竹里,新竹市東區頂竹里食品路186號,24.7972301,120.975909,33.0,第三分局
一般住宅,FOA00104,頂竹里,新竹市東區頂竹里食品路184號,24.797254,120.975958,33.0,第三分局
一般住宅,FOA00105,頂竹里,新竹市東區頂竹里食品路182號,24.79728,120.976013,33.0,第三分局
一般住宅,FOA00106,頂竹里,新竹市東區頂竹里食品路178號,24.797335,120.976146,21.0,第三分局
一般住宅,FOA00107,頂竹里,新竹市東區頂竹里食品路188號,24.7972051,120.975859,35.0,第三分局
一般住宅,FOA00108,頂竹里,新竹市東區頂竹里培英街32巷15號,24.7958473,120.9773103,74.0,第三分局
一般住宅,FOA00109,頂竹里,新竹市東區頂竹里食品路191巷25號,24.7956991,120.9761747,133.0,第三分局
一般住宅,FOA00110,頂竹里,新竹市東區頂竹里食品路165巷40號,24.7960576,120.9766498,34.0,第三分局
一般住宅,FOA00111,頂竹里,新竹市東區頂竹里食品路191巷36號,24.7956262,120.9759623,36.0,第三分局
公有建築物,FOA00112,下竹里,新竹市東區下竹里東南街15號,24.8003879,120.9722747,76.0,第三分局
一般住宅,FOA00113,福德里,新竹市東區福德里中華路二段675號,24.798266,120.965901,22.0,第三分局
一般住宅,FOA00114,福德里,新竹市東區福德里德高街4號,24.8004324,120.9654936,13.0,第三分局
一般住宅,FOA00115,福德里,新竹市東區福德里福德街14號,24.7988884,120.9648184,21.0,第三分局
一般住宅,FOA00116,福德里,新竹市東區福德里林森路180號,24.7992368,120.964294,204.0,第三分局
一般住宅,FOA00117,福德里,新竹市東區福德里德高街6號,24.8003787,120.9654365,36.0,第三分局
一般住宅,FOA00118,福德里,新竹市東區福德里林森路182巷14號,24.7995011,120.963841,45.0,第三分局
一般住宅,FOA00119,福德里,新竹市東區福德里林森路159號,24.7993905,120.9651413,21.0,第三分局
一般住宅,FOA00120,福德里,新竹市東區福德里林森路158巷19號,24.7999345,120.9644995,14.0,第三分局
一般住宅,FOA00121,福德里,新竹市東區福德里中華路二段733號,24.7975044,120.9644741,48.0,第三分局
一般住宅,FOA00122,福德里,新竹市東區福德里中華路二段737號,24.7974767,120.9644315,22.0,第三分局
一般住宅,FOA00123,福德里,新竹市東區福德里林森路150號,24.799769,120.9651455,27.0,第三分局
一般住宅,FOA00124,福德里,新竹市東區福德里林森路158巷8號,24.7995804,120.9645154,22.0,第三分局
一般住宅,FOA00125,福德里,新竹市東區福德里林森路182巷18號,24.799672,120.963734,71.0,第三分局
一般住宅,FOA00126,福德里,新竹市東區福德里中華路二段727號,24.7975927,120.9646418,193.0,第三分局
一般住宅,FOA00127,福德里,新竹市東區福德里林森路210巷9號,24.7989773,120.9633152,18.0,第三分局
一般住宅,FOA00128,福德里,新竹市東區福德里德成街25號,24.8002372,120.964258,45.0,第三分局
一般住宅,FOA00129,福德里,新竹市東區福德里中華路二段671號,24.7982931,120.965955,21.0,第三分局
一般住宅,FOA00130,福德里,新竹市東區福德里林森路163號,24.7993775,120.9650403,24.0,第三分局
一般住宅,FOA00131,福德里,新竹市東區福德里林森路161號,24.7993543,120.9650817,16.0,第三分局
一般住宅,FOA00132,福德里,新竹市東區福德里中華路二段700號,24.7979015,120.9647246,24.0,第三分局
一般住宅,FOA00133,福德里,新竹市東區福德里中華路二段714號,24.7977093,120.9644382,20.0,第三分局
一般住宅,FOA00134,福德里,新竹市東區福德里中華路二段718號,24.7977605,120.9641912,20.0,第三分局
一般住宅,FOA00135,福德里,新竹市東區福德里福德街33號,24.798608,120.9646806,34.0,第三分局
一般住宅,FOA00136,福德里,新竹市東區福德里林森路158巷2號,24.7996071,120.9647075,34.0,第三分局
一般住宅,FOA00137,福德里,新竹市東區福德里林森路158巷6號,24.799555,120.9645535,27.0,第三分局
一般住宅,FOA00138,福德里,新竹市東區福德里林森路158巷4號,24.7995273,120.964602,31.0,第三分局
一般住宅,FOA00139,福德里,"新竹市東區福德里林森路196號 B2",24.7989339,120.9638481,981.0,第三分局
一般住宅,FOA00140,福德里,"新竹市東區福德里5鄰林森路187號 B2",24.7989745,120.9643631,302.0,第三分局
一般住宅,FOA00141,福德里,新竹市東區福德里中華路二段708巷19號,24.7980659,120.9641288,20.0,第三分局
一般住宅,FOA00142,福德里,"新竹市東區福德里6鄰林森路175號 B1",24.7990563,120.9646288,217.0,第三分局
一般住宅,FOA00143,福德里,新竹市東區福德里德成街13號,24.8006561,120.9646586,24.0,第三分局
一般住宅,FOA00144,福德里,新竹市東區福德里中華路二段658號,24.7985655,120.965815,22.0,第三分局
一般住宅,FOA00145,福德里,新竹市東區福德里德高路12號,24.8000205,120.9651886,23.0,第三分局
一般住宅,FOA00147,福德里,新竹市東區福德里中華路二段652號,24.7986632,120.9659754,45.0,第三分局
一般住宅,FOA00148,福德里,新竹市東區福德里福德街6號,24.7990804,120.9649744,22.0,第三分局
一般住宅,FOA00149,福德里,新竹市東區福德里中華路二段672號,24.7984231,120.9655642,23.0,第三分局
一般住宅,FOA00150,福德里,新竹市東區福德里中華路二段650號,24.798701,120.9660398,26.0,第三分局
一般住宅,FOA00151,福德里,新竹市東區福德里福德街16號,24.7988672,120.9647761,27.0,第三分局
一般住宅,FOA00152,福德里,新竹市東區福德里德成街3號,24.8009378,120.9646957,23.0,第三分局
一般住宅,FOA00153,福德里,新竹市東區福德里德成街17號,24.8006052,120.9645232,14.0,第三分局
一般住宅,FOA00154,福德里,新竹市東區福德里中華路二段716號,24.7976681,120.9643836,20.0,第三分局
一般住宅,FOA00155,福德里,新竹市東區福德里中華路二段710號,24.7977401,120.9644961,23.0,第三分局
一般住宅,FOA00156,福德里,新竹市東區福德里中華路二段708巷16號,24.7982301,120.9644264,21.0,第三分局
一般住宅,FOA00157,寺前里,新竹市東區寺前里南大路370號,24.798108,120.970054,22.0,第三分局
一般住宅,FOA00158,寺前里,新竹市東區寺前里南大路366號,24.7981701,120.970119,22.0,第三分局
一般住宅,FOA00160,寺前里,新竹市東區寺前里西大路262號,24.7987685,120.9681449,195.0,第三分局
一般住宅,FOA00161,寺前里,新竹市東區寺前里南大路382號,24.7980341,120.969825,23.0,第三分局
一般住宅,FOA00162,寺前里,新竹市東區寺前里南大路394號,24.797862,120.969624,44.0,第三分局
一般住宅,FOA00163,寺前里,新竹市東區寺前里南大路396號,24.797821,120.969586,33.0,第三分局
一般住宅,FOA00164,寺前里,新竹市東區寺前里南大路398號,24.797778,120.969556,25.0,第三分局
一般住宅,FOA00165,寺前里,新竹市東區寺前里南大路374巷1號,24.798159,120.969917,21.0,第三分局
公有建築物,FOA00166,寺前里,新竹市東區寺前里竹蓮街101巷10號,24.7984416,120.9696152,16.0,第三分局
一般住宅,FOA00167,寺前里,新竹市東區寺前里南大路372號,24.797999,120.9701022,20.0,第三分局
一般住宅,FOA00168,寺前里,新竹市東區寺前里西大路182號,24.7975591,120.9692051,12.0,第三分局
一般住宅,FOA00169,寺前里,新竹市東區寺前里1鄰竹蓮街183號,24.7990374,120.9685375,22.0,第三分局
一般住宅,FOA00170,寺前里,新竹市東區寺前里南大路408巷29-35號,24.7983115,120.9690405,138.0,第三分局
一般住宅,FOA00171,寺前里,新竹市東區寺前里西大路192號,24.797691,120.9690484,37.0,第三分局
一般住宅,FOA00172,寺前里,新竹市東區寺前里竹蓮街101巷31號,24.798073,120.9692463,16.0,第三分局
一般住宅,FOA00173,寺前里,新竹市東區寺前里西大路156號B1,24.7970875,120.9698459,23.0,第三分局
一般住宅,FOA00174,南大里,新竹市東區南大里西大路154號,24.7970639,120.9698814,23.0,第三分局
一般住宅,FOA00175,南大里,新竹市東區南大里南大路349號,24.7973143,120.9694762,133.0,第三分局
一般住宅,FOA00176,南大里,新竹市東區南大里南大路337號,24.7975607,120.9697664,24.0,第三分局
一般住宅,FOA00177,南大里,新竹市東區南大里南大路343號,24.797477,120.9696406,26.0,第三分局
一般住宅,FOA00178,南大里,新竹市東區南大里南大路345號,24.7974355,120.9695032,158.0,第三分局
一般住宅,FOA00180,南大里,新竹市東區南大里西大路168號,24.7972471,120.9696365,21.0,第三分局
一般住宅,FOA00181,南大里,新竹市東區南大里西大路164號,24.7971964,120.9697094,23.0,第三分局
一般住宅,FOA00182,南大里,新竹市東區南大里西大路158號,24.7970409,120.9697361,23.0,第三分局
一般住宅,FOA00183,南大里,新竹市東區南大里西大路118號,24.796542,120.9703944,37.0,第三分局
一般住宅,FOA00184,南大里,新竹市東區南大里南大路313號,24.7978505,120.9703964,22.0,第三分局
一般住宅,FOA00185,南大里,新竹市東區南大里南大路327號,24.7976341,120.970115,41.0,第三分局
一般住宅,FOA00186,南大里,新竹市東區南大里南大路325號,24.7976591,120.970158,14.0,第三分局
一般住宅,FOA00187,南大里,新竹市東區南大里西大路87號,24.7960071,120.970825,93.0,第三分局
一般住宅,FOA00188,南大里,新竹市東區南大里西大路89號,24.7960321,120.97079,70.0,第三分局
一般住宅,FOA00189,南大里,新竹市東區南大里西大路95號,24.7961069,120.9706672,75.0,第三分局
一般住宅,FOA00190,南大里,新竹市東區南大里西大路102巷1號,24.7964352,120.9707757,100.0,第三分局
一般住宅,FOA00191,南大里,新竹市東區南大里西大路102巷4號,24.7963957,120.9710036,105.0,第三分局
一般住宅,FOA00192,南門里,新竹市東區南門里林森路60號,24.8013984,120.9677267,188.0,第三分局
供公眾使用建築物,FOA00193,南門里,新竹市東區南門里林森路64號,24.80131,120.9676415,103.0,第三分局
一般住宅,FOA00194,南門里,新竹市東區南門里林森路59號,24.8013346,120.9681102,23.0,第三分局
一般住宅,FOA00195,南門里,新竹市東區南門里林森路78號,24.8010296,120.9671939,36.0,第三分局
一般住宅,FOA00196,南門里,新竹市東區南門里林森路81號,24.8008758,120.9673892,142.0,第三分局
公有建築物,FOA00197,南門里,新竹市東區南門里勝利路85號,24.8002287,120.9675408,35.0,第三分局
一般住宅,FOA00198,南門里,新竹市東區南門里勝利路17號,24.8011504,120.9693281,22.0,第三分局
一般住宅,FOA00199,南門里,新竹市東區南門里勝利路3號,24.8012031,120.968716,16.0,第三分局
一般住宅,FOA00200,南門里,新竹市東區南門里勝利路5號,24.8014187,120.9695275,22.0,第三分局
一般住宅,FOA00201,南門里,新竹市東區南門里勝利路41號,24.8008818,120.9689731,20.0,第三分局
一般住宅,FOA00202,南門里,新竹市東區南門里勝利路37號,24.8008911,120.969063,18.0,第三分局
一般住宅,FOA00203,南門里,新竹市東區南門里勝利路9號,24.801279,120.969609,48.0,第三分局
一般住宅,FOA00204,南門里,"新竹市東區南門里勝利路126號 B2",24.8007176,120.9683277,779.0,第三分局
一般住宅,FOA00205,南門里,新竹市東區南門里勝利路65號,24.800466,120.9682232,22.0,第三分局
一般住宅,FOA00206,南門里,新竹市東區南門里勝利路49號,24.8006856,120.9686227,43.0,第三分局
一般住宅,FOA00208,南門里,新竹市東區南門里南門街47號,24.8012453,120.96707,31.0,第三分局
一般住宅,FOA00209,南門里,新竹市東區南門里南門街30號,24.8007507,120.9676438,26.0,第三分局
一般住宅,FOA00210,南門里,新竹市東區南門里南門街49-51號,24.8013451,120.9670676,31.0,第三分局
一般住宅,FOA00211,南門里,新竹市東區南門里南門街14號,24.80042,120.967911,16.0,第三分局
一般住宅,FOA00212,南門里,新竹市東區南門里南門街43-45號,24.801218,120.9672001,22.0,第三分局
一般住宅,FOA00213,南門里,新竹市東區南門里南門街32號,24.8007555,120.9676332,46.0,第三分局
一般住宅,FOA00214,南門里,新竹市東區南門里南門街18號,24.8018591,120.9671085,23.0,第三分局
一般住宅,FOA00215,南門里,新竹市東區南門里南門街16號,24.8004551,120.9678469,18.0,第三分局
一般住宅,FOA00216,南門里,新竹市東區南門里南城街10號,24.8009176,120.9668588,30.0,第三分局
一般住宅,FOA00217,南門里,新竹市東區南門里武昌街23號,24.8011295,120.9682716,38.0,第三分局
一般住宅,FOA00218,南門里,新竹市東區南門里西大路338號,24.8013036,120.9662754,27.0,第三分局
一般住宅,FOA00219,南門里,新竹市東區南門里西大路336號,24.8012652,120.9663393,15.0,第三分局
一般住宅,FOA00220,南門里,新竹市東區南門里西大路320號,24.8008567,120.9666107,50.0,第三分局
供公眾使用建築物,FOA00222,南門里,新竹市東區南門里武昌街29號,24.8012408,120.9682437,14.0,第三分局
一般住宅,FOA00223,南門里,新竹市東區南門里武昌街25號,24.8011708,120.9682638,23.0,第三分局
一般住宅,FOA00224,南門里,新竹市東區南門里中華路二段538號,24.8003909,120.9687293,11.0,第三分局
一般住宅,FOA00225,南門里,新竹市東區南門里中華路二段554號,24.8001631,120.9683805,21.0,第三分局
供公眾使用建築物,FOA00226,南門里,新竹市東區南門里中華路二段560號,24.8000593,120.9682212,129.0,第三分局
一般住宅,FOA00227,南門里,"新竹市東區南門里7鄰中華路2段593號 B1",24.7995047,120.967764,1321.0,第三分局
一般住宅,FOA00228,南門里,新竹市東區南門里中華路二段536號,24.8004067,120.9687379,54.0,第三分局
一般住宅,FOA00229,南門里,新竹市東區南門里中華路二段518號,24.8006223,120.9690998,28.0,第三分局
供公眾使用建築物,FOA00230,南門里,新竹市東區南門里9鄰中華路二段502號,24.8008638,120.9694173,208.0,第三分局
供公眾使用建築物,FOA00231,南門里,"新竹市東區南門里勝利路13-15號 B1",24.8012235,120.9695383,200.0,第三分局
一般住宅,FOA00232,南門里,新竹市東區南門里勝利路39號,24.8008703,120.9690306,27.0,第三分局
一般住宅,FOA00234,振興里,新竹市東區振興里南大路550巷37號,24.795622,120.9634831,15.0,第三分局
一般住宅,FOA00235,振興里,"新竹市東區振興里20鄰振興路58號 B1",24.79502,120.9623973,252.0,第三分局
一般住宅,FOA00236,振興里,新竹市東區振興里振興路90號B1,24.7950751,120.9615152,193.0,第三分局
一般住宅,FOA00237,振興里,"新竹市東區振興里振興路104號 B1",24.7951231,120.9611963,492.0,第三分局
一般住宅,FOA00238,振興里,新竹市東區振興里南大路632號,24.793402,120.962754,73.0,第三分局
一般住宅,FOA00239,振興里,新竹市東區振興里南大路612號,24.793758,120.963174,55.0,第三分局
一般住宅,FOA00240,振興里,"新竹市東區振興里振興路86號 B1",24.7950632,120.9616136,685.0,第三分局
一般住宅,FOA00241,竹蓮里,新竹市東區竹蓮里南大路256號,24.7995072,120.9728176,294.0,第三分局
一般住宅,FOA00243,竹蓮里,新竹市東區竹蓮里南大路278號,24.7993037,120.9721996,41.0,第三分局
一般住宅,FOA00244,竹蓮里,新竹市東區竹蓮里南大路296號,24.7991191,120.9719311,33.0,第三分局
一般住宅,FOA00245,竹蓮里,新竹市東區竹蓮里南大路276號,24.7993052,120.9722596,41.0,第三分局
一般住宅,FOA00246,竹蓮里,新竹市東區竹蓮里東南街2巷5號,24.7987321,120.97381,15.0,第三分局
一般住宅,FOA00247,竹蓮里,新竹市東區竹蓮里南大路270號,24.7995078,120.9722917,483.0,第三分局
一般住宅,FOA00248,竹蓮里,新竹市東區竹蓮里東南街28巷23-24號,24.800108,120.971687,55.0,第三分局
一般住宅,FOA00249,竹蓮里,新竹市東區竹蓮里竹蓮街110號,24.79901,120.9697213,14.0,第三分局
一般住宅,FOA00250,下竹里,新竹市東區下竹里南大路149號,24.8002109,120.9740605,241.0,第三分局
一般住宅,FOA00251,下竹里,新竹市東區下竹里南大路173號,24.7998099,120.973583,32.0,第三分局
一般住宅,FOA00252,下竹里,新竹市東區下竹里南大路240號,24.7997982,120.9730275,47.0,第三分局
一般住宅,FOA00253,下竹里,新竹市東區下竹里東南街53巷5弄19號,24.7998767,120.9742302,44.0,第三分局
一般住宅,FOA00254,下竹里,新竹市東區下竹里南大路177號,24.7998226,120.9734262,26.0,第三分局
一般住宅,FOA00255,下竹里,新竹市東區下竹里南大路157號,24.800048,120.9738761,22.0,第三分局
一般住宅,FOA00256,下竹里,新竹市東區下竹里東南街143巷56號,24.7988633,120.9755513,13.0,第三分局
一般住宅,FOA00257,下竹里,新竹市東區下竹里東南街143巷54號,24.7988597,120.9755506,17.0,第三分局
一般住宅,FOA00258,下竹里,新竹市東區下竹里東南街143巷58號,24.798867,120.9755521,27.0,第三分局
一般住宅,FOA00259,下竹里,新竹市東區下竹里東南街53巷5弄10號,24.7997649,120.9742279,30.0,第三分局
一般住宅,FOA00260,下竹里,新竹市東區下竹里東南街53巷5弄12號,24.7997999,120.9742643,30.0,第三分局
公有建築物,FOA00261,新興里,"新竹市東區新興里南大路521號 B1",24.7931736,120.9633505,346.0,第三分局
公有建築物,FOA00262,新興里,新竹市東區新興里南大路521號B1,24.7931736,120.9633505,81.0,第三分局
公有建築物,FOA00263,新興里,新竹市東區新興里南大路521號B1,24.7931736,120.9633505,87.0,第三分局
公有建築物,FOA00264,新興里,新竹市東區新興里南大路521號B1,24.7931736,120.9633505,56.0,第三分局
公有建築物,FOA00265,新興里,新竹市東區新興里南大路512號B1,24.7950347,120.9653391,110.0,第三分局
公有建築物,FOA00266,新興里,新竹市東區新興里南大路511巷6號B1,24.7947892,120.9656665,34.0,第三分局
一般住宅,FOA00267,新興里,新竹市東區新興里南大路359巷1號B1,24.7969622,120.9691445,290.0,第三分局
一般住宅,FOA00268,新興里,新竹市東區新興里食品路449號B1,24.793492,120.967091,22.0,第三分局
