建築物名稱,"電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
大田精密鑄造公司,QSA00035,豐田村,屏東縣內埔鄉豐田村29鄰建富路8號,"22.641899187100627, 120.54774416834016",1.0,53.0,內埔分局,
春澤企業公司,QSA00042,豐田村,屏東縣內埔鄉豐田村29鄰建富路14號,"22.642904587027648, 120.54890059717562",1.0,53.0,內埔分局,
內埔菸廠,QSA00043,豐田村,屏東縣內埔鄉豐田村09鄰中正路11號,"22.640175287225787, 120.5361062683401",1.0,133.0,內埔分局,
壯台鐵材加工廠,QSA00046,豐田村,屏東縣內埔鄉豐田村09鄰中正路16號,"22.625772291387424, 120.55316206833982",1.0,33.0,內埔分局,
光兆電子,QSA00044,豐田村,屏東縣內埔鄉豐田村29鄰建民路1號,"22.64235728706736, 120.54726006834018",1.0,26.0,內埔分局,
億發食品公司,QSA00051,豐田村,屏東縣內埔鄉豐田村29鄰建民路3號,"22.642445985146917, 120.54756926834024",1.0,33.0,內埔分局,
國盛食品公司,QSA00036,豐田村,屏東縣內埔鄉豐田村23鄰興中一巷22號,"22.627485494133442, 120.55354983950454",1.0,106.0,內埔分局,
陸仕企業股份有限公司,QSA00052,上樹村,屏東縣內埔鄉上樹村16鄰北寧路2段88號,"22.629723082323125, 120.56800159717534",1.0,66.0,內埔分局,
綠藻有限公司,QSA00063,龍泉村,屏東縣內埔鄉龍泉村16鄰金陵路212號,"22.681656086042384, 120.61218323950567",1.0,33.0,內埔分局,
龍泉郵局,QSA00066,龍潭村,屏東縣內埔鄉龍潭村12鄰昭勝路265號,"22.67462408594686, 120.60050459717623",1.0,26.0,內埔分局,
榮民醫院/屏東分院/急診大樓,QSA00064,龍潭村,屏東縣內埔鄉龍潭村13鄰昭勝路安平1巷1號,"22.67448758552851, 120.5990553683408",1.0,1788.0,內埔分局,共有3處、總計可容納人數5240人
榮民醫院/屏東分院/A棟,QSA00065,龍潭村,屏東縣內埔鄉龍潭村13鄰昭勝路安平1巷1號,"22.675556738412688, 120.59745677187205",1.0,1294.0,內埔分局,共有3處、總計可容納人數5240人
榮民醫院/屏東分院/醫療大樓,QSA00106,龍潭村,屏東縣內埔鄉龍潭村13鄰昭勝路安平1巷1號,"22.674744974947597, 120.5971670933173",1.0,2158.0,內埔分局,共有3處、總計可容納人數5240人
三喜產業公司,QSA00067,中林村,屏東縣內埔鄉中林村10鄰大同路88號,"22.66408848548896, 120.59902256834047",1.0,276.0,內埔分局,共有2處、總計可容納人數517人
萬甲香有限公司,QSA00068,中林村,屏東縣內埔鄉中林村10鄰大同路88號,"22.66393007975224, 120.59909767018799",1.0,241.0,內埔分局,共有2處、總計可容納人數517人
鉅興有限公司,QSA00069,中林村,屏東縣內埔鄉中林村11鄰中林路877號,"22.654671984108834, 120.59758606834048",1.0,33.0,內埔分局,
屏東科技大學/述耘堂,QSA00071,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64559002039483, 120.60825110367689",1.0,1144.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/誠齋堂,QSA00072,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64868242272037, 120.61394417215098",1.0,594.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/農園系,QSA00073,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64919342061902, 120.61232058117497",1.0,313.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/圖書館,QSA00074,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64540560823484, 120.61094275010905",1.0,3108.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/電算中心,QSA00075,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.6445625153622, 120.60935830648516",1.0,804.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/植醫系,QSA00076,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.643190528175783, 120.61073194356561",1.0,349.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學養殖系,QSA00077,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64253829133605, 120.61336980373655",1.0,581.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/農機械館,QSA00078,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64680109959981, 120.60747829123541",1.0,313.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/仁.實齋樓,QSA00079,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.646315676586624, 120.61615803728213",1.0,1858.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/德齋樓,QSA00080,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64621948626834, 120.61806776411947",1.0,594.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/行政大樓,QSA00081,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64349523720828, 120.60998906446905",1.0,1097.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/智齋樓,QSA00082,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.649066082827904, 120.61588660755771",1.0,358.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/學生第一餐廳,QSA00118,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.648168132284663, 120.61566042051606",1.0,1445.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/學生第二餐廳,QSA00119,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64817075090898, 120.61397243067866",1.0,1324.0,內埔分局,共有15處、總計可容納人數14258人
屏東科技大學/生物科技大樓,QSA00120,老埤村,屏東縣內埔鄉老埤村24鄰學府路1號,"22.64381832124213, 120.60320626255117",1.0,376.0,內埔分局,共有15處、總計可容納人數14258人
內埔配銷處,QSA00088,內埔村,屏東縣內埔鄉內埔村27鄰文化路177號,"22.610831870661716, 120.56992423083523",1.0,28.0,內埔分局,
內埔鄉公所/文康中心,QSA00104,內埔村,屏東縣內埔鄉內埔村27鄰文化路183號,"22.611018590799343, 120.56944414712216",1.0,797.0,內埔分局,
內埔市場,QSA00093,內埔村,屏東縣內埔鄉內埔村31鄰文化路233號,"22.611771681039436, 120.56820156833953",1.0,46.0,內埔分局,
內埔郵局,QSA00091,內埔村,屏東縣內埔鄉內埔村32鄰文化路277號,"22.612295176991935, 120.56707843950412",1.0,165.0,內埔分局,
內埔警察分局,QSA00109,內埔村,屏東縣內埔鄉內埔村22鄰中興路158號,"22.612710677051616, 120.56948296833963",1.0,974.0,內埔分局,
內埔國小,QSA00111,內埔村,屏東縣內埔鄉內埔村35鄰廣濟路2號,"22.610097376676737, 120.56565156833963",1.0,880.0,內埔分局,
台電公司/內埔服務處,QSA00092,內埔村,屏東縣內埔鄉內埔村39鄰勝光路55號,"22.614611281242347, 120.5714913971749",1.0,36.0,內埔分局,
仲豪建設大樓,QSA00083,內埔村,屏東縣內埔鄉內埔村36鄰惠陽街34號,"22.615215977411175, 120.56963023950428",1.0,104.0,內埔分局,
歐洲皇宮大樓,QSA00101,內埔村,屏東縣內埔鄉內埔村39鄰光華街8號,"22.615456789019337, 120.57319973950429",1.0,2568.0,內埔分局,
金博士大樓,QSA00084,美和村,屏東縣內埔鄉美和村06鄰學人路267號,"22.599236510307087, 120.55933284135139",1.0,2327.0,內埔分局,
美和科大/美和大樓,QSA00099,美和村,屏東縣內埔鄉美和村06鄰學人路321號,"22.600053895104153, 120.55979122601005",1.0,2586.0,內埔分局,
美和科大/醫護生技大樓,QSA00097,美和村,屏東縣內埔鄉美和村06鄰屏光路23號,"22.603903208625415, 120.56089244135158",1.0,2277.0,內埔分局,共有4處、總計可容納人數15490人
美和科大/圖書館大樓,QSA00105,美和村,屏東縣內埔鄉美和村06鄰屏光路23號,"22.60315989940078, 120.55948919717468",1.0,9797.0,內埔分局,共有4處、總計可容納人數15490人
美和科大/仁發樓,QSA00114,美和村,屏東縣內埔鄉美和村06鄰屏光路23號,"22.603060851930422, 120.56027240215604",1.0,882.0,內埔分局,共有4處、總計可容納人數15490人
美和科大/商業大樓,QSA00115,美和村,屏東縣內埔鄉美和村06鄰屏光路23號,"22.60387303908304, 120.56000418127202",1.0,2534.0,內埔分局,共有4處、總計可容納人數15490人
美和科大/致美軒宿舍,QSA00116,美和村,屏東縣內埔鄉美和村06鄰陽明路39號,"22.59966518516888, 120.55807449717472",1.0,2069.0,內埔分局,
台灣基督長老教會,QSA00095,東寧村,屏東縣內埔鄉東寧村32鄰北寧路31號,"22.619206888747353, 120.56577499717511",1.0,62.0,內埔分局,
天仁醫院,QSA00085,東寧村,屏東縣內埔鄉東寧村18鄰北寧路142號,"22.619523792290817, 120.56607453950443",1.0,42.0,內埔分局,
屏東龍泉啤酒廠,QSA00122,東寧村,屏東縣內埔鄉東寧村33鄰北寧路448號,"22.624239901293514, 120.56729803950438",1.0,890.0,內埔分局,
日通御花園大廈,QSA00098,東寧村,屏東縣內埔鄉東寧村28鄰康寧路148號,"22.619461782804326, 120.56397811088893",1.0,1433.0,內埔分局,
中華電信/內埔服務中心,QSA00094,東寧村,屏東縣內埔鄉東寧村37鄰南寧路168號,"22.61952928763116, 120.56264309965037",1.0,40.0,內埔分局,
內埔地區農會,QSA00107,東寧村,屏東縣內埔鄉東寧村39鄰平昌街1號,"22.618229689580502, 120.56460150273692",1.0,165.0,內埔分局,
加州大樓,QSA00086,和興村,屏東縣內埔鄉和興村21鄰學興路26號,"22.603453804688804, 120.56724742297497",1.0,3236.0,內埔分局,
巨星大樓,QSA00117,內田村,屏東縣內埔鄉內田村40鄰永光路12號,"22.60901524593595, 120.56422285764073",1.0,2858.0,內埔分局,
新雪黎大樓,QSA00087,內田村,屏東縣內埔鄉內田村28鄰德美路296號,"22.606444505323797, 120.56229950628145",1.0,1051.0,內埔分局,
中興富豪大樓,QSA00110,內田村,屏東縣內埔鄉內田村02鄰光明路226號,"22.61592422052141, 120.56991063251189",1.0,600.0,內埔分局,
內埔農工/農機大樓,QSA00003,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.709816739256794, 120.64273918279306",1.0,265.0,內埔分局,共有7處、總計可容納人數4957人
內埔農工/女生宿舍,QSA00004,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.7089812356539, 120.64235204570487",1.0,562.0,內埔分局,共有7處、總計可容納人數4957人
內埔農工/誠正大樓,QSA00005,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.708362230481693, 120.64294497902027",1.0,562.0,內埔分局,共有7處、總計可容納人數4957人
內埔農工/新農機大樓,QSA00006,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.708554887659332, 120.64356281728209",1.0,562.0,內埔分局,共有7處、總計可容納人數4957人
內埔農工/教學大樓,QSA00007,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.70899237899343, 120.64240545828457",1.0,2470.0,內埔分局,共有7處、總計可容納人數4957人
內埔農工/農科實習大樓,QSA00100,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.709197076293506, 120.64274483423122",1.0,268.0,內埔分局,共有7處、總計可容納人數4957人
內埔農工/活動中心,QSA00108,水門村,屏東縣內埔鄉水門村04鄰成功路83號,"22.70878366770566, 120.64197036091709",1.0,268.0,內埔分局,共有7處、總計可容納人數4957人
屏山旅社,QSA00112,水門村,屏東縣內埔鄉水門村02鄰中山路339號,"22.70912102926198, 120.64597308077975",1.0,106.0,內埔分局,
第一銀行/萬巒分行,QSA00001,萬巒村,屏東縣萬巒鄉萬巒村12鄰中正路29號,"22.57313536968635, 120.5678194802327",1.0,458.0,內埔分局,
萬巒鄉公所/圖書館,QSA00002,萬和村,屏東縣萬巒鄉萬和村19鄰中正路24號,"22.572258618535646, 120.5673946199615",1.0,163.0,內埔分局,
中鐵國際有限公司,QSA00061,佳和村,屏東縣萬巒鄉佳和村05鄰佳興路79號,"22.570458536631364, 120.58952030352324",1.0,258.0,內埔分局,
恩盈企業有限公司,QSA00059,佳和村,屏東縣萬巒鄉佳和村05鄰佳興路83號,"22.570449007840057, 120.58733518979408",1.0,128.0,內埔分局,
慈峰玻璃公司,QSA00062,佳和村,屏東縣萬巒鄉佳和村05鄰佳興路83-1號,"22.569912042122024, 120.58890159196729",1.0,81.0,內埔分局,
屏東農產公司,QSA00054,新厝村,屏東縣萬巒鄉新厝村08鄰新生路56號,"22.574093306117483, 120.61081535502562",1.0,165.0,內埔分局,
萬金天主教堂,QSA00103,萬金村,屏東縣萬巒鄉萬金村07鄰萬興路24號,"22.59538165817008, 120.6108983772318",1.0,286.0,內埔分局,
道明會天主之母隱修院,QSA00123,萬金村,屏東縣萬巒鄉萬金村08鄰萬聖路40號,"22.59713756809847, 120.61064649253044",1.0,2870.0,內埔分局,
長榮百合國小,QSA00121,瑪家鄉,屏東縣瑪家鄉瑪家村08鄰和平路1段65號,"22.69824333740217, 120.64265783427635",1.0,478.0,內埔分局,
