類別,電腦編號,村里別,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,placemark_address
大樓,EVY10207,長興里,1,3640,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路二段323號
工廠,EVY10209,長興里,1,693,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段11號
大樓,EVY10210,五福里,1,1043,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街31號
大樓,EVY10211,五福里,1,1402,蘆竹分局,南崁所,O,桃園市蘆竹區中山路115號
工廠,EVY10212,山鼻里,1,4581,蘆竹分局,南崁所,O,桃園市蘆竹區南山路三段17巷10號
大樓,EVY10213,羊稠里,1,4213,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路101號
工廠,EVY10214,內厝里,1,85,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段5巷16號
工廠,EVY10215,內厝里,1,933,蘆竹分局,南崁所,,桃園市蘆竹區內厝街46號
大樓,EVY10216,營盤里,1,2310,蘆竹分局,南崁所,O,桃園市蘆竹區六福路191號
工廠,EVY10217,長興里,1,40,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段402巷28號
大樓,EVY10218,羊稠里,1,5252,蘆竹分局,南崁所,O,桃園市蘆竹區中山路8號
大樓,EVY10219,五福里,1,3062,蘆竹分局,南崁所,O,桃園市蘆竹區中山路167號
大樓,EVY10220,羊稠里,1,4588,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路119號
工廠,EVY10221,南榮里,1,896,蘆竹分局,南崁所,,桃園市蘆竹區新南路一段305巷5弄3號
大樓,EVY10222,南崁里,1,4538,蘆竹分局,南崁所,O,桃園市蘆竹區鎮江街38號
工廠,EVY10223,內厝里,1,2108,蘆竹分局,南崁所,O,桃園市蘆竹區榮安路6號
工廠,EVY10224,南崁里,1,2658,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段376號之3
工廠,EVY10225,南榮里,1,5698,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段305巷10號
工廠,EVY10226,內厝里,1,2056,蘆竹分局,南崁所,O,桃園市蘆竹區內溪路47號
工廠,EVY10227,內厝里,1,2522,蘆竹分局,南崁所,O,桃園市蘆竹區南山路二段5巷12號
大樓,EVY10228,五福里,1,2178,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街189號
台茂購物中心,EVY10230,錦中里,1、2,83674,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段112號
工廠,EVY10231,內厝里,1,314,蘆竹分局,南崁所,,桃園市蘆竹區長興路三段45號
大樓,EVY10232,五福里,1,1751,蘆竹分局,南崁所,O,桃園市蘆竹區中山路123-5號
大樓,EVY10233,五福里,1,4160,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街197號
大樓,EVY10234,羊稠里,1,5970,蘆竹分局,南崁所,O,桃園市蘆竹區南祥路111號
工廠,EVY10235,內厝里,1,120,蘆竹分局,南崁所,,桃園市蘆竹區內溪路39巷13號
工廠,EVY10236,內厝里,1,228,蘆竹分局,南崁所,,桃園市蘆竹區內溪路39巷11號
學校,EVY10237,羊稠里,1,570,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路160號
大樓,EVY10238,五福里,1,1684,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街34號
大樓,EVY10239,營福里,1,2158,蘆竹分局,南崁所,O,桃園市蘆竹區中山路108巷13號
大樓,EVY10241,五福里,1,1117,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街56號
工廠,EVY10242,山鼻里,1,328,蘆竹分局,南崁所,,桃園市蘆竹區南山路三段17巷1號
工廠,EVY10243,內厝里,1,572,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段120巷17號
大樓,EVY10244,營福里,1,5372,蘆竹分局,南崁所,O,桃園市蘆竹區六福路148號
工廠,EVY10245,山鼻里,1,2753,蘆竹分局,南崁所,O,桃園市蘆竹區南山路三段17巷11號
大樓,EVY10246,南榮里,1,3144,蘆竹分局,南崁所,O,桃園市蘆竹區光明路一段123號
大樓,EVY10247,五福里,1,698,蘆竹分局,南崁所,O,桃園市蘆竹區中山路75號
大樓,EVY10248,五福里,1,2532,蘆竹分局,南崁所,O,桃園市蘆竹區中山路125巷1號
大樓,EVY10249,羊稠里,1,5205,蘆竹分局,南崁所,O,桃園市蘆竹區仁愛路三段46號
工廠,EVY10250,山鼻里,1,2753,蘆竹分局,南崁所,O,桃園市蘆竹區南山路三段17巷11號
大樓,EVY10251,吉祥里,1,4480,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路99號
金融機構,EVY10253,南崁里,1,2789,蘆竹分局,南崁所,O
大樓,EVY10254,營福里,1,1614,蘆竹分局,南崁所,O,桃園市蘆竹區中山路136號
工廠,EVY10255,內厝里,1,262,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段56號
大樓,EVY10256,營盤里,1,3484,蘆竹分局,南崁所,O,桃園市蘆竹區六福路276號
工廠,EVY10257,長興里,1,213,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段57號
工廠,EVY10258,南崁里,1,4324,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段127號
大樓,EVY10259,羊稠里,1,4893,蘆竹分局,南崁所,O,桃園市蘆竹區中山路25號
工廠,EVY10260,瓦窯里,1,58,蘆竹分局,南崁所,,桃園市蘆竹區六福路20號
工廠,EVY10261,南崁里,1,379,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段77號
公寓,EVY10262,五福里,1,225,蘆竹分局,南崁所,,桃園市蘆竹區五福一路90號
公寓,EVY10263,錦興里,1,360,蘆竹分局,南崁所,,桃園市蘆竹區光明路二段251號
大樓,EVY10264,羊稠里,1,769,蘆竹分局,南崁所,O,桃園市蘆竹區中山路羊稠巷1號
學校,EVY10265,羊稠里,1,2634,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路160號
大樓,EVY10266,羊稠里,1,1334,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路29號
工廠,EVY10267,山鼻里,1,1165,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段470巷26號
學校,EVY10268,南榮里,1,2052,蘆竹分局,南崁所,O,桃園市蘆竹區光明路一段123號
大樓,EVY10269,五福里,1,2602,蘆竹分局,南崁所,O,桃園市蘆竹區五福六路81號
大樓,EVY10270,錦中里,1,421,蘆竹分局,南崁所,,桃園市蘆竹區中正路346號
大樓,EVY10272,瓦窯里,1,5701,蘆竹分局,南崁所,O,桃園市蘆竹區仁愛路二段7號
大樓,EVY10273,羊稠里,1,1377,蘆竹分局,南崁所,O,桃園市蘆竹區長壽二街1號
大樓,EVY10274,羊稠里,1,2476,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路128號
大樓,EVY10275,瓦窯里,1,3998,蘆竹分局,南崁所,O,桃園市蘆竹區五福路86號
大樓,EVY10276,五福里,1,2154,蘆竹分局,南崁所,O,桃園市蘆竹區五福一路175號
大樓,EVY10277,營盤里,1,5752,蘆竹分局,南崁所,O,桃園市蘆竹區六福路217號
大樓,EVY10278,錦興里,1,7617,蘆竹分局,南崁所,O,桃園市蘆竹區中正路287號
大樓,EVY10279,長興里,1,5322,蘆竹分局,南崁所,O,桃園市蘆竹區厚生路2號
公寓,EVY10280,錦興里,1,1229,蘆竹分局,南崁所,,桃園市蘆竹區南竹路一段158號
大樓,EVY10281,五福里,1,5170,蘆竹分局,南崁所,O,桃園市蘆竹區中山路125巷2號
大樓,EVY10282,南榮里,1,3246,蘆竹分局,南崁所,O,桃園市蘆竹區南竹路一段65號
工廠,EVY10283,長興里,1,3818,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段336號
大樓,EVY10284,五福里,1,1550,蘆竹分局,南崁所,O,桃園市蘆竹區五福六路56巷27弄10號
大樓,EVY10285,五福里,1,3684,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街39號
大樓,EVY10286,五福里,1,3521,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街190號
大樓,EVY10287,羊稠里,1,3946,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路28號
大樓,EVY10288,羊稠里,1,4952,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路39號
學校,EVY10289,五福里,1,1845,蘆竹分局,南崁所,O,桃園市蘆竹區仁愛路二段1號
大樓,EVY10290,羊稠里,1,3266,蘆竹分局,南崁所,O,桃園市蘆竹區長春路7巷17號
大樓,EVY10291,錦中里,1,1098,蘆竹分局,南崁所,O,桃園市蘆竹區錦中街2號
大樓,EVY10292,羊稠里,1,2642,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路71號
大樓,EVY10293,五福里,1,2134,蘆竹分局,南崁所,O,桃園市蘆竹區五福一路69號
大樓,EVY10294,羊稠里,1,4484,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路132巷2號
大樓,EVY10295,營盤里,1,6529,蘆竹分局,南崁所,O,桃園市蘆竹區六福一路1號
大樓,EVY10296,錦興里,1,2442,蘆竹分局,南崁所,O,桃園市蘆竹區錦明街39號
大樓,EVY10297,南榮里,1,4096,蘆竹分局,南崁所,O,桃園市蘆竹區光明路一段111號
大樓,EVY10298,錦興里,1,3254,蘆竹分局,南崁所,O,桃園市蘆竹區光明路二段30號
大樓,EVY10299,羊稠里,1,1666,蘆竹分局,南崁所,O,桃園市蘆竹區中山路6號
大樓,EVY10300,錦中里,1,7193,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段80號
大樓,EVY10301,五福里,1,6796,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街81號
大樓,EVY10303,五福里,1,4086,蘆竹分局,南崁所,O,桃園市蘆竹區五福一路13號
大樓,EVY10304,南榮里,1,9970,蘆竹分局,南崁所,O,桃園市蘆竹區中正路29號
大樓,EVY10305,羊稠里,1,2105,蘆竹分局,南崁所,O,桃園市蘆竹區吉林路143號
大樓,EVY10307,南榮里,1,3292,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段305巷10號
工廠,EVY10308,長興里,1,5492,蘆竹分局,南崁所,,桃園市蘆竹區厚生路51號
政府機關,EVY10309,內厝里,1,2244,蘆竹分局,南崁所,O,桃園市蘆竹區長安路二段236號
大樓,EVY10310,南崁里,1,765,蘆竹分局,南崁所,O,桃園市蘆竹區南華一街168號
工廠,EVY10311,長興里,1,180,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段142巷35號
大樓,EVY10312,羊稠里,1,19794,蘆竹分局,南崁所,O,桃園市蘆竹區中山路50號
公寓,EVY10313,南榮里,1,473,蘆竹分局,南崁所,,桃園市蘆竹區南平街38-3號
大樓,EVY10314,長興里,1,6270,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段286號
工廠,EVY10315,內厝里,1,3757,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段303號
工廠,EVY10316,錦興里,1,80,蘆竹分局,南崁所,,桃園市蘆竹區錦福路2號
大樓,EVY10317,錦中里,1,10044,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段108號
工廠,EVY10318,南榮里,1,2472,蘆竹分局,南崁所,,桃園市蘆竹區新南路一段305巷2弄8號
公寓,EVY10319,羊稠里,1,316,蘆竹分局,南崁所,,桃園市蘆竹區中山路72號
工廠,EVY10320,內厝里,1,404,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段205巷22弄11號
大樓,EVY10321,營盤里,1,5432,蘆竹分局,南崁所,O,桃園市蘆竹區歐楓街51號
大樓,EVY10322,羊稠里,1,5520,蘆竹分局,南崁所,O,桃園市蘆竹區中山路22號
大樓,EVY10323,羊稠里,1,3094,蘆竹分局,南崁所,O,桃園市蘆竹區愛山街1號
大樓,EVY10324,營盤里,1,7715,蘆竹分局,南崁所,O,桃園市蘆竹區六福路120號
大樓,EVY10325,錦中里,1,5793,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段138號
大樓,EVY10326,瓦窯里,1,4703,蘆竹分局,南崁所,O,桃園市蘆竹區長榮路55號
大樓,EVY10327,南崁里,1,5022,蘆竹分局,南崁所,O,桃園市蘆竹區經國路900號
大樓,EVY10328,長興里,1,3994,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路二段28號
大樓,EVY10329,南崁里,1,2937,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段376號
大樓,EVY10330,營盤里,1,1167,蘆竹分局,南崁所,O,桃園市蘆竹區六福一路5號
大樓,EVY10331,長壽里,1,2508,蘆竹分局,南崁所,O,桃園市蘆竹區長春路51號
大樓,EVY10332,瓦窯里,1,3912,蘆竹分局,南崁所,O,桃園市蘆竹區南山路一段125號
學校,EVY10333,興榮里,1,2313,蘆竹分局,南崁所,O,桃園市蘆竹區南竹路一段100號
大樓,EVY10334,南崁里,1,3338,蘆竹分局,南崁所,O,桃園市蘆竹區忠孝東路11-2號
工廠,EVY10335,內厝里,1,315,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段500號。
工廠,EVY10336,山鼻里,1,3956,蘆竹分局,南崁所,,桃園市蘆竹區南山路三段17巷4號
大樓,EVY10337,中山里,1,3170,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街76號
大樓,EVY10338,錦興里,1,2935,蘆竹分局,南崁所,O,桃園市蘆竹區錦明街80號
公寓,EVY10339,五福里,1,497,蘆竹分局,南崁所,,桃園市蘆竹區五福一路202號
公寓,EVY10340,內厝里,1,806,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段220號
工廠,EVY10341,瓦窯里,1,810,蘆竹分局,南崁所,,桃園市蘆竹區六福路95號
公寓,EVY10342,中山里,1,297,蘆竹分局,南崁所,,桃園市蘆竹區中山路125巷21號
工廠,EVY10343,內厝里,1,10313,蘆竹分局,南崁所,O,桃園市蘆竹區長安路二段109號
工廠,EVY10344,內厝里,1,6973,蘆竹分局,南崁所,O,桃園市蘆竹區長興路三段3號
工廠,EVY10345,福祿里,1,8893,蘆竹分局,南崁所,,桃園市蘆竹區六福路36號
大樓,EVY10346,營盤里,1,3860,蘆竹分局,南崁所,O,桃園市蘆竹區長興路一段40號
工廠,EVY10347,瓦窯里,1,555,蘆竹分局,南崁所,,桃園市蘆竹區南山路一段438號
工廠,EVY10348,長興里,1,5634,蘆竹分局,南崁所,O,桃園市蘆竹區西溪路231巷28號
工廠,EVY10349,長興里,1,608,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段297巷32號
學校,EVY10350,五福里,1,1999,蘆竹分局,南崁所,O,桃園市蘆竹區五福六路1號
工廠,EVY10351,長興里,1,400,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段402巷15號
大樓,EVY10352,錦興里,1,4014,蘆竹分局,南崁所,O,桃園市蘆竹區光明路二段56號
工廠,EVY10353,錦中里,1,6127,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段101號
工廠,EVY10354,山鼻里,1,487,蘆竹分局,南崁所,,桃園市蘆竹區長興路二段236號
大樓,EVY10355,南榮里,1,5916,蘆竹分局,南崁所,O,桃園市蘆竹區忠孝西路53號
政府機構,EVY10356,錦中里,1,1327,蘆竹分局,南崁所,O,桃園市蘆竹區錦溪路125號
大樓,EVY10357,羊稠里,1,2697,蘆竹分局,南崁所,O,桃園市蘆竹區中山北街101號
市民運動中心,EVY10358,瓦窯里,1,5245,蘆竹分局,南崁所,O,桃園市蘆竹區仁愛路一段49號
工廠,EVY10359,長興里,1,1051,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段8-8號
大樓,EVY10360,南榮里,1,887,蘆竹分局,南崁所,O,桃園市蘆竹區榮興路22巷30號
工廠,EVY10361,內厝里,1,1623,蘆竹分局,南崁所,,桃園市蘆竹區內溪路7號
工廠,EVY10362,內厝里,1,1687,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段12巷58號
工廠,EVY10363,內厝里,1,254,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段230號
