類別,電腦編號,村里別,緯經度,可容納人數,轄管分局,備註,停車場坡道,建築物名稱,地下樓層數
工廠,ETA00103,大發里,"24.96156,121.32321",33.0,八德分局,,,千太精機廠,1
工廠,ETA00104,大發里,"24.955203,121.324257",27.0,八德分局,,,柏德橡膠有限公司,1
大樓,ETA00109,大發里,"24.956651,121.323849",46.0,八德分局,,,大樓,1
工廠,ETA00110,大發里,"24.956583,121.324304",48.0,八德分局,,,禾翌精密科技有限公司,1
工廠,ETA00111,大發里,"24.95654,121.323933",46.0,八德分局,,,匯盈工業股份有限公司,1
工廠,ETA00112,大發里,"24.95553,121.323976",31.0,八德分局,,,立暐製版公司,1
工廠,ETA00113,大發里,"24.95636,121.32403",50.0,八德分局,,,匯盈工業股份有限公司,1
工廠,ETA00114,大發里,"24.956448,121.324385",50.0,八德分局,,,虹麗實業有限公司,1
工廠,ETA00115,大發里,"24.956309,121.324115",48.0,八德分局,,,鵬格實業公司,1
公寓,ETA00116,大發里,"24.956334,121.324445",50.0,八德分局,,,中華民國寧瑪巴白玉顯密金剛法輪學會,1
工廠,ETA00117,大發里,"24.956213,121.324225",44.0,八德分局,,,綠得食品企業,1
工廠,ETA00118,大千里,"24.96204,121.304405",1330.0,八德分局,,,新東嘉建設公司,2
工廠,ETA00120,大千里,"24.961715,121.305848",1988.0,八德分局,,,嘉勛國際人力公司,2
工廠,ETA00121,大漢里,"24.963429,121.305975",2345.0,八德分局,,,豪偉建設公司,1
工廠,ETA00122,大竹里,"24.95511,121.311655",38.0,八德分局,,,資億公司,1
學校,ETA00123,大勇里,"24.968004,121.304039",117.0,八德分局,,,大勇國小,1
大樓,ETA00124,大勇里,"24.969415,121.305172",346.0,八德分局,,,校園森活社區,1
大樓,ETA00126,大勇里,"24.969078,121.303263",261.0,八德分局,,,龍傳家社區,1
工廠,ETA00127,大湳里,"24.966867,121.320438",254.0,八德分局,,O,凌巨科技公司,1
工廠,ETA00132,大明里,"24.966578,121.327876",123.0,八德分局,,,鋐達企業股份有限公司,1
大樓,ETA00133,大漢里,"24.962858,121.306465",540.0,八德分局,,,台北富達社區,1
大樓,ETA00138,大漢里,"24.97004,121.30886",391.0,八德分局,,,大樓,1
大樓,ETA00141,大千里,"24.960044,121.305034",152.0,八德分局,,,大樓,1
學校,ETA00143,大千里,"24.961912,121.305879",140.0,八德分局,,,愛兒群幼兒園,2
大樓,ETA00145,大千里,"24.957592,121.305736",81.0,八德分局,,,大樓,1
大樓,ETA00147,大義里,"24.963524,121.303954",7022.0,八德分局,,O,阿拉丁花園城堡社區,2
大樓,ETA00148,大和里,"24.955614,121.295423",16240.0,八德分局,,O,力霸倫敦城社區,3
公家機關,ETA00149,大慶里,"24.958904,121.298111",1159.0,八德分局,,O,八德區大湳公有停車場,1
大樓,ETA00150,大勇里,"24.968872,121.302716",4263.0,八德分局,,,全佳福社區,1
大樓,ETA00151,茄明里,"24.983336,121.278413",138.0,八德分局,,,中華路199號華廈,1
