"unnamed (1)",類別,經緯度,村里別,地址,地下層數位址,可容納人數,轄管分局,備註,placemark_address
14.0,大樓,"25.03227, 121.21201",青山里,桃園市大園區青山里中山南路二段156號,1.0,26,大園分局,,"大樓 ENA01032 青山里 桃園市大園區青山里中山南路二段156號 26 大園分局"
15.0,大樓大園消防隊,"25.06137, 121.20112",橫峰里,337桃園市大園區橫峰里11鄰和平二街18號,1.0,94,大園分局,,"大樓大園消防隊 ENA01033 橫峰里 337桃園市大園區橫峰里11鄰和平二街18號 94 大園分局"
16.0,大樓,"25.03104, 121.21216",青山里,桃園市大園區青山里中山南路二段206號,1.0,203,大園分局,,"大樓 ENA01034 青山里 桃園市大園區青山里中山南路二段206號 203 大園分局"
17.0,大樓,"25.02649, 121.21336",青峰里,桃園市大園區青山里中山南路二段379號,1.0,300,大園分局,,"大樓 ENA01037 青峰里 桃園市大園區青山里中山南路二段379號 300 大園分局"
18.0,大樓,"25.02169, 121.2127",青山里,桃園市大園區青山里中山南路二段586號,1.0,101,大園分局,,"大樓 ENA01040 青山里 桃園市大園區青山里中山南路二段586號 101 大園分局"
19.0,大樓,"25.04601, 121.19298",溪海里,337桃園市大園區溪海里8鄰聖德北路52巷43號,1.0,71,大園分局,,"大樓 ENA01042 溪海里 337桃園市大園區溪海里8鄰聖德北路52巷43號 71 大園分局"
20.0,大樓,"25.04651, 121.19079",溪海里,337桃園市大園區溪海里8鄰聖德北路68號,1.0,165,大園分局,,"大樓 ENA01043 溪海里 337桃園市大園區溪海里8鄰聖德北路68號 165 大園分局"
21.0,大樓,"25.04763, 121.19041",溪海里,337桃園市大園區溪海里11鄰崙頂38號,1.0,194,大園分局,,"大樓 ENA01044 溪海里 337桃園市大園區溪海里11鄰崙頂38號 194 大園分局"
22.0,公寓,"25.05994, 121.19925",溪海里,337桃園市大園區溪海里11鄰和平西路1段369號,1.0,267,大園分局,,"公寓 ENA01045 溪海里 337桃園市大園區溪海里11鄰和平西路1段369號 267 大園分局"
23.0,大樓,"25.06496, 121.19714",大園里,337桃園市大園區大園里11鄰中山北路44號,1.0,91,大園分局,,"大樓 ENA01051 大園里 337桃園市大園區大園里11鄰中山北路44號 91 大園分局"
24.0,大樓大園戶政所,"25.06785, 121.19584",大園里,337桃園市大園區大園里18鄰中山北路162號,1.0,158,大園分局,,"大樓大園戶政所 ENA01054 大園里 337桃園市大園區大園里18鄰中山北路162號 158 大園分局"
25.0,大樓（大園衛生所）,"25.06344, 121.19536",田心里,337桃園市大園區田心里9鄰中正西路19號,2.0,1293,大園分局,,"大樓（大園衛生所） ENA01055 田心里 337桃園市大園區田心里9鄰中正西路19號 1293 大園分局"
26.0,大樓,"25.06195, 121.20043",大園里,337桃園市大園區大園里33鄰和平二街114巷6號,1.0,287,大園分局,,"大樓 ENA01056 大園里 337桃園市大園區大園里33鄰和平二街114巷6號 287 大園分局"
27.0,大樓,"25.05928, 121.20121",橫峰里,337桃園市大園區橫峰里12鄰中山南路310號,3.0,680,大園分局,,"大樓 ENA01058 橫峰里 337桃園市大園區橫峰里12鄰中山南路310號 680 大園分局"
28.0,大樓,"25.05892, 121.20123",橫峰里,337桃園市大園區橫峰里12鄰水源路11號,3.0,1576,大園分局,,"大樓 ENA01059 橫峰里 337桃園市大園區橫峰里12鄰水源路11號 1576 大園分局"
29.0,大樓,"25.05865, 121.1952",田心里,337桃園市大園區田心里20鄰長興街50號,2.0,2589,大園分局,,"大樓 ENA01060 田心里 337桃園市大園區田心里20鄰長興街50號 2589 大園分局"
30.0,大樓,"25.05994, 121.19925",溪海里,337桃園市大園區溪海里17鄰聖德北路1076巷1號,2.0,1436,大園分局,,"大樓 ENA01061 溪海里 337桃園市大園區溪海里17鄰聖德北路1076巷1號 1436 大園分局"
31.0,大樓,"25.0479, 121.17796",和平里,337桃園市大園區和平里1鄰開和路128號,1.0,195,大園分局,,"大樓 ENA01062 和平里 337桃園市大園區和平里1鄰開和路128號 195 大園分局"
32.0,大樓,"25.06121, 121.19389",田心里,337桃園市大園區田心里15鄰新園街62號,2.0,1876,大園分局,,"大樓 ENA01063 田心里 337桃園市大園區田心里15鄰新園街62號 1876 大園分局"
33.0,大樓,"25.02708, 121.19458",溪海里,337桃園市大園區溪海里22鄰柴梳崙路338號,1.0,750,大園分局,,"大樓 ENA01064 溪海里 337桃園市大園區溪海里22鄰柴梳崙路338號 750 大園分局"
34.0,大樓,"25.06147, 121.203",橫峰里,337桃園市大園區橫峰里中正東路200號,1.0,220,大園分局,,"大樓 ENA01065 橫峰里 337桃園市大園區橫峰里中正東路200號 220 大園分局"
35.0,大樓大園區公所,"25.06385, 121.19546",田心里,337桃園市大園區田心里7鄰中正西路12號,2.0,850,大園分局,,"大樓大園區公所 ENA01066 田心里 337桃園市大園區田心里7鄰中正西路12號 850 大園分局"
36.0,大樓,"25.0634, 121.19574",田心里,337桃園市大園區田心里12鄰大興路107-1號,2.0,3906,大園分局,,"大樓 ENA01067 田心里 337桃園市大園區田心里12鄰大興路107-1號 3906 大園分局"
37.0,大樓,"25.05753, 121.19695",田心里,337桃園市大園區田心里23鄰和平西路112號,2.0,3641,大園分局,,"大樓 ENA01068 田心里 337桃園市大園區田心里23鄰和平西路112號 3641 大園分局"
38.0,大樓,"25.05778, 121.19529",田心里,337桃園市大園區田心里21鄰新興路268巷9號,2.0,617,大園分局,,"大樓 ENA01069 田心里 337桃園市大園區田心里21鄰新興路268巷9號 617 大園分局"
39.0,大樓,"25.04651, 121.19079",溪海里,337桃園市大園區溪海里11鄰崙頂38號,1.0,124,大園分局,,"大樓 ENA01070 溪海里 337桃園市大園區溪海里11鄰崙頂38號 124 大園分局"
40.0,大樓,"25.01824, 121.21036",青山里,337桃園市大園區青山里永園路二段87號,2.0,684,大園分局,,"大樓 ENA01071 青山里 337桃園市大園區青山里永園路二段87號 684 大園分局"
41.0,大樓,"25.0634, 121.19574",大園里,337桃園市大園區大園里中華路2號,2.0,792,大園分局,,"大樓 ENA01072 大園里 337桃園市大園區大園里中華路2號 792 大園分局"
42.0,公寓,"25.10019, 121.21275",沙崙里,337桃園市大園區沙崙里6鄰桃25鄉道118-1號,1.0,47,大園分局,,"公寓 ENA02003 沙崙里 337桃園市大園區沙崙里6鄰桃25鄉道118-1號 47 大園分局"
43.0,大樓,"25.10019, 121.21275",沙崙里,337桃園市大園區沙崙里6鄰桃25鄉道118-1號,1.0,81,大園分局,,"大樓 ENA02004 沙崙里 337桃園市大園區沙崙里6鄰桃25鄉道118-1號 81 大園分局"
44.0,公寓,"25.10444, 121.24634",海口里,337桃園市大園區海口里7鄰三民路一段122巷12號,1.0,1171,大園分局,,"公寓 ENA02005 海口里 337桃園市大園區海口里7鄰三民路一段122巷12號 1171 大園分局"
45.0,公寓,"25.10856, 121.24963",海口里,337桃園市大園區海口里9鄰國際路三段932號,1.0,1428,大園分局,,"公寓 ENA02006 海口里 337桃園市大園區海口里9鄰國際路三段932號 1428 大園分局"
46.0,大樓,"25.099655, 121.252344",竹圍里,337桃園市大園區竹圍里19鄰航翔路99號,1.0,8649,大園分局,,"大樓 ENA02007 竹圍里 337桃園市大園區竹圍里19鄰航翔路99號 8649 大園分局"
47.0,大樓,"25.05775, 121.21223",埔心里,桃園市大園區埔心里中正東路444巷21號,1.0,2341,大園分局,,"大樓 ENA03003 埔心里 桃園市大園區埔心里中正東路444巷21號 2341 大園分局"
48.0,公寓,"25.05425, 121.22423",埔心里,桃園市大園區埔心里18鄰海豐坡23之10號,1.0,1003,大園分局,,"公寓 ENA03004 埔心里 桃園市大園區埔心里18鄰海豐坡23之10號 1003 大園分局"
49.0,公寓,"25.03832, 121.22812",埔心里,337桃園市大園區埔心里中正東路一段840巷119號,1.0,150,大園分局,,"公寓 ENA03005 埔心里 337桃園市大園區埔心里中正東路一段840巷119號 150 大園分局"
50.0,公寓,"25.03364, 121.23355",埔心里,337桃園市大園區埔心里中正東路一段700巷29-1號,1.0,3578,大園分局,,"公寓 ENA03006 埔心里 337桃園市大園區埔心里中正東路一段700巷29-1號 3578 大園分局"
51.0,大樓,"25.01707, 121.23182",五權里,337桃園市大園區五權里12鄰中正東路三段61巷123號,1.0,568,大園分局,,"大樓 ENA03007 五權里 337桃園市大園區五權里12鄰中正東路三段61巷123號 568 大園分局"
52.0,大樓,"25.02054, 121.23663",五權里,337桃園市大園區五權里五青路143號,1.0,140,大園分局,,"大樓 ENA03008 五權里 337桃園市大園區五權里五青路143號 140 大園分局"
53.0,公寓,"25.02577, 121.23629",五權里,337桃園市大園區五權里五青路70巷180號,1.0,3185,大園分局,,"公寓 ENA03009 五權里 337桃園市大園區五權里五青路70巷180號 3185 大園分局"
54.0,大樓,"25.02459, 121.23307",五權里,337桃園市大園區五權里中正東路二段511巷36之1號,1.0,122,大園分局,,"大樓 ENA03010 五權里 337桃園市大園區五權里中正東路二段511巷36之1號 122 大園分局"
55.0,大樓,"25.02459, 121.23307",五權里,337桃園市大園區五權里中正東路二段511巷36號,1.0,268,大園分局,,"大樓 ENA03011 五權里 337桃園市大園區五權里中正東路二段511巷36號 268 大園分局"
56.0,大樓,"25.02039, 121.22641",五權里,337桃園市大園區五權里4鄰五青路515號,2.0,671,大園分局,,"大樓 ENA03014 五權里 337桃園市大園區五權里4鄰五青路515號 671 大園分局"
57.0,大樓,"25.00699, 121.22579",五權里,337桃園市大園區五權里8鄰高鐵站前西路三段77號,1.0,6755,大園分局,,"大樓 ENA03015 五權里 337桃園市大園區五權里8鄰高鐵站前西路三段77號 6755 大園分局"
58.0,大樓,"25.0634, 121.19574",五權里,337桃園市大園區五權里09鄰中正東路三段429號,1.0,350,大園分局,,"大樓 ENA03016 五權里 337桃園市大園區五權里09鄰中正東路三段429號 350 大園分局"
59.0,大樓,"25.01067, 121.22909",五權里,337桃園市大園區五權里9鄰中正東路三段245巷30弄71號,1.0,233,大園分局,,"大樓 ENA03017 五權里 337桃園市大園區五權里9鄰中正東路三段245巷30弄71號 233 大園分局"
60.0,大樓,"25.00635, 121.22582",五權里,337桃園市大園區五權里8鄰高鐵站前西路三段66號,2.0,9857,大園分局,,"大樓 ENA03020 五權里 337桃園市大園區五權里8鄰高鐵站前西路三段66號 9857 大園分局"
61.0,大樓,"25.00635, 121.22582",五權里,337桃園市大園區五權里8鄰高鐵站前西路三段68號,2.0,9219,大園分局,,"大樓 ENA03021 五權里 337桃園市大園區五權里8鄰高鐵站前西路三段68號 9219 大園分局"
62.0,大樓,"25.01205, 121.22574",五權里,337桃園市大園區五權里中正東路三段336巷83號,2.0,160,大園分局,,"大樓 ENA03024 五權里 337桃園市大園區五權里中正東路三段336巷83號 160 大園分局"
63.0,大樓,"25.01373, 121.2327",五權里,337桃園市大園區五權里中興路二段371巷19號,2.0,712,大園分局,,"大樓 ENA03025 五權里 337桃園市大園區五權里中興路二段371巷19號 712 大園分局"
64.0,大樓,"25.00754, 121.22559",五權里,337桃園市大園區五權里青昇路一段132巷338-1號,1.0,879,大園分局,,"大樓 ENA03026 五權里 337桃園市大園區五權里青昇路一段132巷338-1號 879 大園分局"
65.0,公寓,"25.02045, 121.2357",五權里,337桃園市大園區五權里五青路183巷168號,1.0,397,大園分局,,"公寓 ENA03027 五權里 337桃園市大園區五權里五青路183巷168號 397 大園分局"
66.0,公寓,"25.01461, 121.23066",五權里,337桃園市大園區五權里9鄰中正東路三段131巷88號,1.0,288,大園分局,,"公寓 ENA03028 五權里 337桃園市大園區五權里9鄰中正東路三段131巷88號 288 大園分局"
67.0,大樓,"24.97791, 121.15652",五權里,桃園市大園區五權里11鄰五青路151巷325號,2.0,1034,大園分局,,"大樓 ENA03029 五權里 桃園市大園區五權里11鄰五青路151巷325號 1034 大園分局"
68.0,大樓（埔心國小）,"25.04902, 121.22563",埔心里,桃園市大園區中正東路一段189巷35號,1.0,112,大園分局,,"大樓（埔心國小） ENA03030 埔心里 桃園市大園區中正東路一段189巷35號 112 大園分局"
69.0,大樓,"25.091103, 121.248425",埔心里,桃園市大園區埔心里16鄰航勤北路8-6號,1.0,545,大園分局,,"大樓 ENA03031 埔心里 桃園市大園區埔心里16鄰航勤北路8-6號 545 大園分局"
70.0,大樓,"25.091093, 121.248404",埔心里,桃園市大園區埔心里16鄰航勤北路8-8號,1.0,2886,大園分局,,"大樓 ENA03032 埔心里 桃園市大園區埔心里16鄰航勤北路8-8號 2886 大園分局"
71.0,大樓,"25.009811, 121.224390",五權里,桃園市大園區五權里8鄰青昇路一段48巷250號,2.0,933,大園分局,,"大樓 ENA03033 五權里 桃園市大園區五權里8鄰青昇路一段48巷250號 933 大園分局"
72.0,大樓,"25.07712, 121.1757",北港里,337桃園市大園區北港里大工路11號,1.0,75,大園分局,,"大樓 ENA04002 北港里 337桃園市大園區北港里大工路11號 75 大園分局"
73.0,大樓,"25.0672, 121.17969",北港里,337桃園市大園區北港里大工路13號,2.0,103,大園分局,,"大樓 ENA04003 北港里 337桃園市大園區北港里大工路13號 103 大園分局"
74.0,大樓,"25.06847, 121.17908",北港里,337桃園市大園區北港里大工路17號,10.0,5601,大園分局,,"大樓 ENA04005 北港里 337桃園市大園區北港里大工路17號 5601 大園分局"
75.0,大樓,"25.06847, 121.17908",北港里,337桃園市大園區北港里大工路17號,1.0,1248,大園分局,,"大樓 ENA04006 北港里 337桃園市大園區北港里大工路17號 1248 大園分局"
76.0,大樓,"25.07355, 121.17654",北港里,337桃園市大園區北港里大工路31號,3.0,93,大園分局,,"大樓 ENA04008 北港里 337桃園市大園區北港里大工路31號 93 大園分局"
77.0,大樓,"25.07355, 121.17654",北港里,337桃園市大園區北港里大工路31號,6.0,391,大園分局,,"大樓 ENA04009 北港里 337桃園市大園區北港里大工路31號 391 大園分局"
78.0,大樓,"25.07355, 121.17654",北港里,337桃園市大園區北港里大工路31號,1.0,391,大園分局,,"大樓 ENA04010 北港里 337桃園市大園區北港里大工路31號 391 大園分局"
79.0,大樓,"25.07401, 121.17672",北港里,337桃園市大園區北港里大工路126號,1.0,130,大園分局,,"大樓 ENA04013 北港里 337桃園市大園區北港里大工路126號 130 大園分局"
80.0,大樓,"25.07464, 121.17681",北港里,337桃園市大園區北港里大工路132號,1.0,196,大園分局,,"大樓 ENA04014 北港里 337桃園市大園區北港里大工路132號 196 大園分局"
81.0,大樓,"25.07775, 121.17596",北港里,337桃園市大園區北港里大工路138-1號,5.0,761,大園分局,,"大樓 ENA04015 北港里 337桃園市大園區北港里大工路138-1號 761 大園分局"
82.0,大樓,"25.07068, 121.1762",北港里,337桃園市大園區北港里工四路2號,2.0,213,大園分局,,"大樓 ENA04017 北港里 337桃園市大園區北港里工四路2號 213 大園分局"
83.0,工廠,"25.0726, 121.17843",北港里,337桃園市大園區北港里工四路15號,1.0,83,大園分局,,"工廠 ENA04020 北港里 337桃園市大園區北港里工四路15號 83 大園分局"
84.0,大樓,"25.07311, 121.17439",北港里,337桃園市大園區北港里工五路11號,3.0,1040,大園分局,,"大樓 ENA04025 北港里 337桃園市大園區北港里工五路11號 1040 大園分局"
85.0,大樓,"25.07088, 121.20485",圳頭里,桃園市大園區圳頭里中華路298號,1.0,824,大園分局,,"大樓 ENA04027 圳頭里 桃園市大園區圳頭里中華路298號 824 大園分局"
86.0,公寓,"25.05316, 121.16559",南港里,337桃園市大園區南港里六鄰環區西路278號,4.0,218,大園分局,,"公寓 ENA04030 南港里 337桃園市大園區南港里六鄰環區西路278號 218 大園分局"
87.0,大樓,"25.05125, 121.17453",南港里,337桃園市大園區南港里六鄰環區西路296號,4.0,212,大園分局,,"大樓 ENA04031 南港里 337桃園市大園區南港里六鄰環區西路296號 212 大園分局"
88.0,大樓,"25.0634, 121.19574",內海里,337桃園市大園區內海里中山北路252號,3.0,1103,大園分局,,"大樓 ENA04033 內海里 337桃園市大園區內海里中山北路252號 1103 大園分局"
89.0,大樓,"25.07391, 121.1892",內海里,337桃園市大園區內海里中山北路262號,1.0,527,大園分局,,"大樓 ENA04036 內海里 337桃園市大園區內海里中山北路262號 527 大園分局"
90.0,大樓,"25.07391, 121.1892",內海里,337桃園市大園區內海里中山北路271號,4.0,133,大園分局,,"大樓 ENA04038 內海里 337桃園市大園區內海里中山北路271號 133 大園分局"
91.0,大樓,"25.07605, 121.18575",內海里,337桃園市大園區內海里中山北路271號,2.0,269,大園分局,,"大樓 ENA04039 內海里 337桃園市大園區內海里中山北路271號 269 大園分局"
92.0,公寓,"25.0769, 121.18474",內海里,337桃園市大園區內海里中山北路275號,3.0,3261,大園分局,,"公寓 ENA04040 內海里 337桃園市大園區內海里中山北路275號 3261 大園分局"
93.0,公寓,"25.07672, 121.18568",內海里,337桃園市大園區內海里中山北路277號,2.0,247,大園分局,,"公寓 ENA04041 內海里 337桃園市大園區內海里中山北路277號 247 大園分局"
94.0,大樓,"25.07737, 121.186",內海里,337桃園市大園區內海里中山北路278號,3.0,982,大園分局,,"大樓 ENA04042 內海里 337桃園市大園區內海里中山北路278號 982 大園分局"
95.0,大樓,"25.08097, 121.18385",內海里,337桃園市大園區內海里中山北路280巷2號,2.0,251,大園分局,,"大樓 ENA04043 內海里 337桃園市大園區內海里中山北路280巷2號 251 大園分局"
96.0,大樓,"25.07663, 121.18357",內海里,337桃園市大園區內海里民權路7-1號,1.0,111,大園分局,,"大樓 ENA04044 內海里 337桃園市大園區內海里民權路7-1號 111 大園分局"
97.0,公寓,"25.07593, 121.18335",內海里,337桃園市大園區內海里民權路12號,4.0,421,大園分局,,"公寓 ENA04048 內海里 337桃園市大園區內海里民權路12號 421 大園分局"
98.0,大樓,"25.07794, 121.18842",內海里,337桃園市大園區內海里民生路119號,1.0,728,大園分局,,"大樓 ENA04051 內海里 337桃園市大園區內海里民生路119號 728 大園分局"
99.0,大樓,"25.0735, 121.1911",內海里,337桃園市大園區內海里民生路123-1號,1.0,263,大園分局,,"大樓 ENA04052 內海里 337桃園市大園區內海里民生路123-1號 263 大園分局"
100.0,大樓,"25.0735, 121.1911",內海里,337桃園市大園區內海里民族街5號,1.0,152,大園分局,,"大樓 ENA04053 內海里 337桃園市大園區內海里民族街5號 152 大園分局"
101.0,公寓,"25.07322, 121.19063",內海里,337桃園市大園區內海里民族路8號,3.0,178,大園分局,,"公寓 ENA04055 內海里 337桃園市大園區內海里民族路8號 178 大園分局"
102.0,大樓,"25.05712, 121.18066",南港里,桃園市大園區南港里長發一路216號,1.0,61,大園分局,,"大樓 ENA04057 南港里 桃園市大園區南港里長發一路216號 61 大園分局"
103.0,大樓,"25.0579, 121.16817",南港里,337桃園市大園區南港里六鄰環區西路198號,2.0,30,大園分局,,"大樓 ENA04058 南港里 337桃園市大園區南港里六鄰環區西路198號 30 大園分局"
104.0,大樓,"25.05316, 121.16559",南港里,337桃園市大園區南港里六鄰環區西路218號,2.0,148,大園分局,,"大樓 ENA04059 南港里 337桃園市大園區南港里六鄰環區西路218號 148 大園分局"
105.0,大樓,"25.05323, 121.16697",南港里,"337桃園市大園區南港里 11鄰園航路391-13號",10.0,3478,大園分局,,"大樓 ENA04060 南港里 337桃園市大園區南港里 11鄰園航路391-13號 3478 大園分局"
106.0,大樓,"25.04597, 121.17165",南港里,337桃園市大園區南港里園一街1-6號,11.0,1325,大園分局,,"大樓 ENA04061 南港里 337桃園市大園區南港里園一街1-6號 1325 大園分局"
107.0,大樓,"25.04456, 121.17083",南港里,337桃園市大園區南港里環區東路450-2號,7.0,1174,大園分局,,"大樓 ENA04062 南港里 337桃園市大園區南港里環區東路450-2號 1174 大園分局"
108.0,公寓,"25.04456, 121.17083",南港里,337桃園市大園區南港里南和路185-28號,8.0,5501,大園分局,,"公寓 ENA04063 南港里 337桃園市大園區南港里南和路185-28號 5501 大園分局"
109.0,大樓,"25.04528, 121.16708",南港里,337桃園市大園區南港里潮音一路188號,3.0,376,大園分局,,"大樓 ENA04064 南港里 337桃園市大園區南港里潮音一路188號 376 大園分局"
110.0,大樓,"25.09245, 121.2034",圳頭里,337桃園市大園區圳頭里濱海路二段208號,3.0,4703,大園分局,,"大樓 ENA04065 圳頭里 337桃園市大園區圳頭里濱海路二段208號 4703 大園分局"
111.0,大樓,"25.09264, 121.20366",圳頭里,337桃園市大園區圳頭里濱海路二段198號,1.0,100,大園分局,,"大樓 ENA04066 圳頭里 337桃園市大園區圳頭里濱海路二段198號 100 大園分局"
112.0,公寓,"25.0934, 121.19671",圳頭里,337桃園市大園區圳頭里濱海路三段151號,1.0,93,大園分局,,"公寓 ENA04067 圳頭里 337桃園市大園區圳頭里濱海路三段151號 93 大園分局"
113.0,大樓,"25.0934, 121.19671",圳頭里,337桃園市大園區圳頭里濱海路三段151號,1.0,82,大園分局,,"大樓 ENA04068 圳頭里 337桃園市大園區圳頭里濱海路三段151號 82 大園分局"
114.0,大樓,"25.07125, 121.20358",圳頭里,桃園市大園區圳頭里中華路259號,1.0,885,大園分局,,"大樓 ENA04070 圳頭里 桃園市大園區圳頭里中華路259號 885 大園分局"
115.0,公寓,"25.06287, 121.16815",南港里,337桃園市大園區南港里園科路400號,1.0,1753,大園分局,,"公寓 ENA04071 南港里 337桃園市大園區南港里園科路400號 1753 大園分局"
116.0,大樓,"25.05646, 121.21708",內海里,337桃園市大園區內海里13鄰中山北路259號,1.0,1769,大園分局,,"大樓 ENA04072 內海里 337桃園市大園區內海里13鄰中山北路259號 1769 大園分局"
117.0,大樓,"25.05015, 121.16617",南港里,337桃園市大園區南港里學十一街91號,2.0,4361,大園分局,,"大樓 ENA04073 南港里 337桃園市大園區南港里學十一街91號 4361 大園分局"
118.0,大樓,"25.05093, 121.1739",南港里,337桃園市大園區南港里學六街9號,2.0,1440,大園分局,,"大樓 ENA04074 南港里 337桃園市大園區南港里學六街9號 1440 大園分局"
119.0,大樓,"25.05328, 121.17147",南港里,337桃園市大園區南港里園航路393號,2.0,3601,大園分局,,"大樓 ENA04075 南港里 337桃園市大園區南港里園航路393號 3601 大園分局"
120.0,大樓,"25.05239, 121.16652",南港里,337桃園市大園區南港里29鄰園學路173號,2.0,1665,大園分局,,"大樓 ENA04076 南港里 337桃園市大園區南港里29鄰園學路173號 1665 大園分局"
121.0,大樓,"25.05081, 121.17481",南港里,桃園市大園區南港里30鄰文興街15號二樓之1,2.0,1556,大園分局,,"大樓 ENA04077 南港里 桃園市大園區南港里30鄰文興街15號二樓之1 1556 大園分局"
122.0,大樓,"25.078748, 121.185392",內海里,桃園市大園區內海里13鄰民權路3-2號,1.0,1727,大園分局,,"大樓 ENA04078 內海里 桃園市大園區內海里13鄰民權路3-2號 1727 大園分局"
123.0,公寓,"25.0732, 121.25716",菓林里,337桃園市大園區菓林里3鄰菓林路47號,1.0,5022,大園分局,,"公寓 ENA05001 菓林里 337桃園市大園區菓林里3鄰菓林路47號 5022 大園分局"
124.0,公寓,"25.07678, 121.26205",菓林里,337桃園市大園區菓林里6鄰菓林路172號,1.0,253,大園分局,,"公寓 ENA05002 菓林里 337桃園市大園區菓林里6鄰菓林路172號 253 大園分局"
125.0,公寓,"25.07743, 121.26257",菓林里,337桃園市大園區菓林里6鄰菓林路160號,1.0,334,大園分局,,"公寓 ENA05003 菓林里 337桃園市大園區菓林里6鄰菓林路160號 334 大園分局"
126.0,公寓,"25.07177, 121.25693",菓林里,337桃園市大園區菓林里16鄰三和路27巷4弄8號,1.0,796,大園分局,,"公寓 ENA05004 菓林里 337桃園市大園區菓林里16鄰三和路27巷4弄8號 796 大園分局"
127.0,公寓,"25.07105, 121.2578",三石里,337桃園市大園區三石里16鄰三和路28巷6號,1.0,1370,大園分局,,"公寓 ENA05005 三石里 337桃園市大園區三石里16鄰三和路28巷6號 1370 大園分局"
128.0,公寓,"25.07059, 121.25759",三石里,337桃園市大園區三石里16鄰三和路28巷11號,1.0,418,大園分局,,"公寓 ENA05006 三石里 337桃園市大園區三石里16鄰三和路28巷11號 418 大園分局"
129.0,公寓,"25.072, 121.25733",三石里,337桃園市大園區三石里16鄰三和路27巷10號,1.0,95,大園分局,,"公寓 ENA05007 三石里 337桃園市大園區三石里16鄰三和路27巷10號 95 大園分局"
130.0,大樓（菓林國小）,"25.0775, 121.26171",菓林里,337桃園市大園區菓林里12鄰桃5線41號,1.0,788,大園分局,,"大樓（菓林國小） ENA05008 菓林里 337桃園市大園區菓林里12鄰桃5線41號 788 大園分局"
131.0,大樓,"25.07634, 121.26105",菓林里,337桃園市大園區菓林里福德路68巷45號,2.0,1473,大園分局,,"大樓 ENA05009 菓林里 337桃園市大園區菓林里福德路68巷45號 1473 大園分局"
132.0,大樓,"25.07743, 121.26257",菓林里,337桃園市大園區菓林里30鄰拔子林三路53巷17弄51號,1.0,2022,大園分局,,"大樓 ENA05010 菓林里 337桃園市大園區菓林里30鄰拔子林三路53巷17弄51號 2022 大園分局"
133.0,公寓,"25.07177, 121.25693",菓林里,337桃園市大園區菓林里31鄰拔子林一路139號,3.0,1298,大園分局,,"公寓 ENA05011 菓林里 337桃園市大園區菓林里31鄰拔子林一路139號 1298 大園分局"
134.0,公寓,"25.07537, 121.26405",菓林里,337桃園市大園區菓林里32鄰拔子林一路226號,3.0,1173,大園分局,,"公寓 ENA05012 菓林里 337桃園市大園區菓林里32鄰拔子林一路226號 1173 大園分局"
