類別,電腦編號,編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
公寓,WXA01403,13597.0,中正里,臺北市松山區敦化北路56號,"25.050789,121.548548",2,"1517 ",
大樓,WXA01472,13598.0,中正里,臺北市松山區敦化北路4巷1號,"25.050059,121.547343",1,"136 ",
大樓,WXA01474,13599.0,中正里,臺北市松山區敦化北路50巷1號,"25.050546,121.548191",1,"297 ",
大樓,WXA01475,13600.0,中正里,臺北市松山區敦化北路50巷5號,"25.05055,121.547966",1,"58 ",
大樓,WXA01852,13601.0,中正里,臺北市松山區敦化北路88號,"25.051354,121.548501",2,"3200 ",
公寓,WXA00018,13602.0,中正里,臺北市松山區八德路二段439號,"25.04831,121.546955",1,"694 ",
公寓,WXA00019,13603.0,中正里,臺北市松山區八德路二段447號,"25.048309,121.547147",1,"476 ",
公寓,WXA00020,13604.0,中正里,臺北市松山區八德路二段449號,"25.048307,121.547323",1,"154 ",
大樓,WXA00061,13605.0,中正里,臺北市松山區八德路二段437巷10弄2號,"25.049738,121.547377",1,"112 ",
大樓,WXA00067,13606.0,中正里,臺北市松山區八德路二段437巷6弄1號,"25.049166,121.546992",1,"136 ",
大樓,WXA00068,13607.0,中正里,臺北市松山區八德路二段437巷6弄2號,"25.049302,121.547088",1,"153 ",
大樓,WXA00069,13608.0,中正里,臺北市松山區八德路二段437巷6弄20號,"25.049315,121.546392",1,"633 ",
大樓,WXA00071,13609.0,中正里,臺北市松山區八德路二段437巷7弄1號,"25.04933,121.547387",1,"174 ",
大樓,WXA00072,13610.0,中正里,臺北市松山區八德路二段451巷1號,"25.048542,121.547361",1,"276 ",
大樓,WXA00622,13611.0,中正里,臺北市松山區八德路二段437巷6弄4號,"25.049305,121.546961",1,"225 ",
大樓,WXA01776,13612.0,中正里,臺北市松山區八德路二段437巷6弄7號,"25.049042,121.546689",3,"2046 ",
大樓,WXA01814,13613.0,中正里,臺北市松山區八德路二段391號,"25.04833,121.546261",1,"1205 ",
大樓,WXA00031,13614.0,中正里,臺北市松山區南京東路三段256巷51號,"25.049378,121.544599",1,"209 ",
大樓,WXA00830,13615.0,中正里,臺北市松山區南京東路三段256巷39號,"25.050039,121.544635",1,"321 ",
大樓,WXA00928,13616.0,中正里,臺北市松山區長安東路二段215號,"25.048369,121.544424",2,"2202 ",
大樓,WXA00929,13617.0,中正里,臺北市松山區長安東路二段219號,"25.048349,121.54483",1,"832 ",
大樓,WXA00930,13618.0,中正里,臺北市松山區長安東路二段294號,"25.048124,121.545379",1,"125 ",
大樓,WXA00979,13619.0,中正里,臺北市松山區南京東路三段256巷46號,"25.048825,121.544746",1,"830 ",
大樓,WXA01298,13620.0,中正里,臺北市松山區復興北路1號,"25.047968,121.544158",1、2,"2554 ",
大樓,WXA01314,13621.0,中正里,臺北市松山區復興北路33號,"25.049985,121.544217",2,"720 ",
大樓,WXA01888,13622.0,中正里,臺北市松山區長安東路二段225號,"25.048425,121.545337",1,"10714 ",
大樓,WXA00002,13623.0,中正里,臺北市松山區南京東路三段256巷11-19號,"25.051134,121.544648",1,"265 ",
大樓,WXA00032,13624.0,中正里,臺北市松山區敦化北路4巷46號,"25.050253,121.545333",1,"46 ",
大樓,WXA00775,13625.0,中正里,臺北市松山區敦化北路4巷52號,"25.05028,121.545041",1,"368 ",
大樓," WXA00795",13626.0,中正里,臺北市松山區敦化北路4巷50號,"25.050324,121.545162",1,"386 ",
大樓,WXA00872,13627.0,中正里,臺北市松山區敦化北路4巷60號,"25.050277,121.544619",1,"221 ",
大樓,WXA00951,13628.0,中正里,臺北市松山區南京東路三段248號,"25.051642,121.54458",2、3,"2874 ",
大樓,WXA00956,13629.0,中正里,臺北市松山區南京東路三段258號,"25.051629,121.544828",1,"168 ",
大樓,WXA00002,13630.0,中正里,臺北市松山區南京東路三段272號,"25.051621,121.545424",1,"201 ",
大樓,WXA009060,13631.0,中正里,臺北市松山區南京東路三段278號,"25.051618,121.545613",1,"300 ",
大樓,WXA00976,13632.0,中正里,臺北市松山區南京東路三段256巷21號,"25.050754,121.544669",1,"40 ",
大樓,WXA00978,13633.0,中正里,臺北市松山區南京東路三段256巷24號,"25.050398,121.544747",1,"198 ",
大樓,WXA0098,13634.0,中正里,臺北市松山區南京東路三段256巷20弄12號,"25.050654,121.545164",2,"152 ",
大樓,WXA00982,13635.0,中正里,臺北市松山區南京東路三段256巷20弄13號,"25.050784,121.545531",1,"300 ",
大樓,WXA00983,13636.0,中正里,臺北市松山區南京東路三段256巷20弄14號,"25.050608,121.545261",1,"186 ",
大樓,WXA00984,13637.0,中正里,臺北市松山區南京東路三段256巷20弄6號,"25.05064,121.544933",1,"118 ",
大樓,WXA00985,13638.0,中正里,臺北市松山區南京東路三段256巷20弄8號,"25.050616,121.545015",1,"221 ",
大樓,WXA01330,13639.0,中正里,臺北市松山區復興北路57號,"25.050474,121.544229",1,"2012 ",
大樓,WXA01331,13640.0,中正里,臺北市松山區復興北路69號,"25.050858,121.544234",1,"174 ",
大樓,WXA01332,13641.0,中正里,臺北市松山區復興北路73號,"25.051045,121.544241",1,"449 ",
大樓,WXA01356,13642.0,中正里,臺北市松山區復興北路81巷20號,"25.05113,121.544989",1,"93 ",
大樓,WXA01357,13643.0,中正里,臺北市松山區復興北路81巷27號,"25.051276,121.545255",1,"376 ",
大樓,WXA01358,13644.0,中正里,臺北市松山區復興北路81巷30號,"25.051079,121.545357",1,"557 ",
大樓,WXA01729,13645.0,中正里,臺北市松山區南京東路三段256巷20弄9號,"25.050816,121.545216",1,"310 ",
大樓,WXA01799,13646.0,中正里,臺北市松山區南京東路三段256巷21-27號,"25.050754,121.544669",1,"181 ",
大樓,WXA01855,13647.0,中正里,臺北市松山區復興北路81巷25號,"25.051286,121.544936",1,"1301 ",
大樓,WXA01864,13648.0,中正里,臺北市松山區復興北路81巷6號,"25.051137,121.544464",1,"186 ",
大樓,WXA01885,13649.0,中正里,臺北市松山區敦化北路4巷36號,"25.050257,121.545592",1,"529 ",
大樓,WXA01894,13650.0,中正里,臺北市松山區敦化北路4巷37號,"25.050097,121.545154",1,"109 ",
大樓,WXA00935,13651.0,中正里,臺北市松山區長春路420號,"25.054449,121.544559",1,"565 ",
大樓,WXA00936,13652.0,中正里,臺北市松山區長春路432號,"25.054441,121.544883",1,"272 ",
大樓,WXA00937,13653.0,中正里,臺北市松山區長春路438號,"25.054428,121.545001",1,"1174 ",
大樓,WXA00955,13654.0,中正里,臺北市松山區南京東路三段255號,"25.052029,121.544619",1,"1058 ",
大樓,WXA00957,13655.0,中正里,臺北市松山區南京東路三段259號,"25.052026,121.544918",2,"280 ",
大樓,WXA00959,13656.0,中正里,臺北市松山區南京東路三段275號,"25.052012,121.545638",1,"729 ",
大樓,WXA00961,13657.0,中正里,臺北市松山區南京東路三段285號,"25.052008,121.545839",1,"882 ",
大樓,WXA00962,13658.0,中正里,臺北市松山區南京東路三段287號,"25.051998,121.546149",1,"1577 ",
大樓,WXA00964,13659.0,中正里,臺北市松山區南京東路三段301號,"25.051987,121.546637",1,"449 ",
大樓,WXA00993,13660.0,中正里,臺北市松山區南京東路三段269巷2號之1,"25.052329,121.545483",1,"370 ",
大樓,WXA00994,13661.0,中正里,臺北市松山區南京東路三段269巷6號之1,"25.052503,121.545676",1,"1121 ",
大樓,WXA01003,13662.0,中正里,臺北市松山區南京東路三段303巷3弄2號,"25.052537,121.54655",1,"317 ",
大樓,WXA01004,13663.0,中正里,臺北市松山區南京東路三段303巷3弄4號,"25.052537,121.546396",1,"1153 ",
大樓,WXA01009,13664.0,中正里,臺北市松山區南京東路三段303巷7弄5號,"25.052816,121.546457",1、2,"660 ",
大樓,WXA01017,13665.0,中正里,臺北市松山區南京東路三段335巷5號,"25.052195,121.547499",1,"309 ",
大樓,WXA01300,13666.0,中正里,臺北市松山區復興北路143號,"25.053552,121.544292",1,"624 ",
大樓,WXA01301,13667.0,中正里,臺北市松山區復興北路169號,"25.054034,121.544307",1,"1373 ",
大樓,WXA01304,13668.0,中正里,臺北市松山區復興北路179號,"25.054335,121.544307",1、2,"970 ",
大樓,WXA01333,13669.0,中正里,臺北市松山區復興北路97號,"25.052614,121.544282",2,"3362 ",
大樓,WXA01334,13670.0,中正里,臺北市松山區復興北路141巷6弄10號,"25.053569,121.544638",1,"426 ",
大樓,WXA01335,13671.0,中正里,臺北市松山區復興北路141巷6弄6號,"25.053543,121.544636",1,"326 ",
大樓,WXA01529,13672.0,中正里,臺北市松山區慶城街23號,"25.053494,121.545225",1,"1762 ",
大樓,WXA01530,13673.0,中正里,臺北市松山區慶城街24號,"25.053692,121.545739",1,"428 ",
大樓,WXA01534,13674.0,中正里,臺北市松山區慶城街6-2號,"25.052472,121.544878",1,"1173 ",
大樓,WXA01536,13675.0,中正里,臺北市松山區慶城街16巷1號,"25.053087,121.545635",1,"358 ",
大樓,WXA01538,13676.0,中正里,臺北市松山區慶城街16巷6號,"25.052938,121.545486",1,"398 ",
大樓,WXA01756,13677.0,中正里,臺北市松山區慶城街28號,"25.054033,121.546099",1,"2064 ",
大樓,WXA01779,13678.0,中正里,臺北市松山區慶城街29號,"25.054003,121.545604",3,"1553 ",
大樓,WXA01890,13679.0,中正里,臺北市松山區慶城街25號,"25.053691,121.545322",2,"1177 ",
大樓,WXA01912,13680.0,中正里,臺北市松山區敦化北路6號,"25.050232,121.548556",5,"3113 ",
大樓,WXA01360,13681.0,中正里,臺北市松山區復興南路一段27號,"25.04652,121.544115",2,"262 ",
敦化國中,WXA00963,14692.0,中正里,臺北市松山區南京東路三段300號,"25.051524,121.546792",1,"2378 ",
敦化國小,WXA01375,14693.0,中正里,臺北市松山區敦化北路2號,"25.049102,121.548541",1,"94 ",
敦化國小,WXA01376,14694.0,中正里,臺北市松山區敦化北路2號,"25.049102,121.548541",1,"202 ",
敦化國小,WXA01378,14695.0,中正里,臺北市松山區敦化北路2號,"25.049102,121.548541",1,"1570 ",
敦化國小,WXA01379,14696.0,中正里,臺北市松山區敦化北路2號,"25.049102,121.548541",1,"644 ",
敦化國小,WXA01380,14697.0,中正里,臺北市松山區敦化北路2號,"25.049102,121.548541",1,"2096 ",
消防局,WXA01519,14704.0,中正里,臺北市松山區長安東路二段229號,"25.04838,121.545849",2,"1517 ",
百貨公司(南京微風),WXA00971,14735.0,中正里,臺北市松山區南京東路三段337號,"25.051963,121.547995",1,"2693 ",
百貨公司(南京微風),WXA00972,14736.0,中正里,臺北市松山區南京東路三段337號,"25.051963,121.547995",1,"2693 ",
百貨公司(南京微風),WXA00973,14737.0,中正里,臺北市松山區南京東路三段337號,"25.051963,121.547995",3,"7250 ",
百貨公司(南京微風),WXA00974,14738.0,中正里,臺北市松山區南京東路三段337號,"25.051963,121.547995",3,"19617 ",
大樓,WXA01362,13682.0,中崙里,"臺北市松山區復興南路一段43號 ","25.045648,121.544088",1,"469 ",
大樓,WXA01363,13683.0,中崙里,臺北市松山區復興南路一段49號,"25.045456,121.544085",2,"208 ",
大樓,WXA01364,13684.0,中崙里,"臺北市松山區復興南路一段57號 ","25.045283,121.544085",1,"234 ",
大樓,WXA01365,13685.0,中崙里,"臺北市松山區復興南路一段63號 ","25.045107,121.544079",1,"149 ",
大樓,WXA01757,13686.0,中崙里,臺北市松山區復興南路一段39號,"25.046129,121.544126",3,"12710 ",
大樓,WXA00001,13687.0,中崙里,"臺北市松山區八德路二段342號 ","25.047573,121.544425",1,"2301 ",
大樓,WXA00006,13688.0,中崙里,"臺北市松山區八德路二段342號 ","25.047573,121.544425",1,"378 ",
大樓,WXA00035,13689.0,中崙里,"臺北市松山區八德路二段346巷5號 ","25.047272,121.544985",1,"116 ",
大樓,WXA00037,13690.0,中崙里,"臺北市松山區八德路二段346巷5弄27號 ","25.047201,121.545642",1,"309 ",
大樓,WXA00038,13691.0,中崙里,"臺北市松山區八德路二段346巷5弄3號 ","25.047207,121.545058",1,"285 ",
大樓,WXA00039,13692.0,中崙里,"臺北市松山區八德路二段346巷5弄9號 ","25.047205,121.54525",1,"318 ",
大樓,WXA00040,13693.0,中崙里,"臺北市松山區八德路二段346巷7弄19號 ","25.046823,121.545418",1,"120 ",
大樓,WXA00041,13694.0,中崙里,"臺北市松山區八德路二段346巷7弄28號 ","25.046707,121.545607",1,"177 ",
大樓,WXA00585,13695.0,中崙里,"臺北市松山區八德路二段346巷7弄28號 ","25.046707,121.545607",1,"297 ",
大樓,WXA01505,13696.0,中崙里,"臺北市松山區八德路二段366巷36號 ","25.046555,121.545938",1,"457 ",
大樓,WXA01767,13697.0,中崙里,"臺北市松山區八德路二段346巷5號5之1 ","25.047272,121.544985",1,"1245 ",
大樓,WXA01838,13698.0,中崙里,"臺北市松山區八德路二段348號 ","25.047785,121.545304",1,"678 ",
大樓,WXA01865,13699.0,中崙里,"臺北市松山區八德路二段346巷5弄8號 ","25.047084,121.545457",1,"549 ",
大樓,WXA01882,13700.0,中崙里," 臺北市松山區八德路二段346巷7弄22號","25.0467,121.545405",1,"166 ",
大樓,WXA00045,13701.0,中崙里," 臺北市松山區八德路二段366巷7號","25.047726,121.546032",1,"694 ",
大樓,WXA00046,13702.0,中崙里," 臺北市松山區八德路二段366巷77號","25.045508,121.546409",1,"236 ",
大樓,WXA00049,13703.0,中崙里," 臺北市松山區八德路二段410巷18號","25.047035,121.546639",1,"289 ",
大樓,WXA00050,13704.0,中崙里," 臺北市松山區八德路二段410巷22號","25.046897,121.546638",1,"173 ",
大樓,WXA00051,13705.0,中崙里," 臺北市松山區八德路二段410巷26號","25.046745,121.546636",1,"93 ",
大樓,WXA00052,13706.0,中崙里," 臺北市松山區八德路二段410巷30號","25.046589,121.546634",1,"269 ",
大樓,WXA00053,13707.0,中崙里," 臺北市松山區八德路二段410巷90號","25.045832,121.546663",1,"162 ",
大樓,WXA00054,13708.0,中崙里," 臺北市松山區八德路二段410巷92號","25.045715,121.546663",1,"145 ",
大樓,WXA00055,13709.0,中崙里," 臺北市松山區八德路二段410巷16弄1號","25.04708,121.546392",1,"317 ",
大樓,WXA01593,13710.0,中崙里," 臺北市松山區八德路二段366巷35號","25.046661,121.546055",1,"845 ",
大樓,WXA01871,13711.0,中崙里," 臺北市松山區八德路二段366巷31號","25.046764,121.546209",4,"2344 ",
大樓,WXA00008,13712.0,中崙里," 臺北市松山區八德路二段350號","25.047816,121.545418",4,"465 ",
大樓,WXA000011,13713.0,中崙里," 臺北市松山區八德路二段384號","25.047995,121.546279",1,"650 ",
大樓,WXA00012,13714.0,中崙里," 臺北市松山區八德路二段400號","25.048043,121.54657",3,"657 ",
大樓,WXA00013,13715.0,中崙里," 臺北市松山區八德路二段406號","25.048075,121.546768",1,"118 ",
大樓,WXA00009,13716.0,中崙里," 臺北市松山區八德路二段367號","25.047868,121.544659",1,"452 ",
大樓,WXA00010,13717.0,中崙里," 臺北市松山區八德路二段381號","25.047972,121.545086",1,"656 ",
大樓,WXA00017,13718.0,中崙里," 臺北市松山區八德路二段358號","25.047899,121.545759",4,"725 ",
大樓,WXA00036,13719.0,中崙里," 臺北市松山區八德路二段346巷3弄15號","25.04754,121.545576",1,"340 ",
大樓,WXA00043,13720.0,中崙里," 臺北市松山區八德路二段366巷17號","25.047295,121.546074",1,"128 ",
大樓,WXA00044,13721.0,中崙里," 臺北市松山區八德路二段366巷19號","25.047245,121.546075",1,"128 ",
大樓,WXA00056,13722.0,中崙里," 臺北市松山區八德路二段410巷16弄8號","25.047188,121.546147",1,"136 ",
大樓,WXA01913,13723.0,中崙里," 臺北市松山區市民大道四段39之2號","25.046202,121.545687",1,"4113 ",
大樓,WXA00081,13724.0,中崙里," 臺北市松山區八德路三段108號","25.048064,121.553737",1,"158 ",
大樓,WXA01211,14469.0,中華里,臺北市松山區南京東路四段55號之1,"25.05186,121.552385",1,"656 ",
公寓,WXA00358,14470.0,中華里,臺北市松山區敦化北路153號,"25.054134,121.549439",1,"650 ",
公寓,WXA01240,14471.0,中華里,臺北市松山區健康路7巷2號,"25.05288,121.552454",1,"878 ",
公寓,WXA01242,14472.0,中華里,臺北市松山區敦化北路9號,"25.050453,121.548559",1,"712 ",
大樓,WXA00431,14473.0,中華里,臺北市松山區敦化北路165巷1-19號,"25.054862,121.550084",1,"369 ",
大樓,WXA01254,14474.0,中華里,臺北市松山區敦化北路165巷2-20號,"25.054649,121.550124",1,"1132 ",
大樓,WXA01245,14475.0,中華里,臺北市松山區敦化北路155巷111號,"25.054127,121.552519",1,"497 ",
大樓,WXA01246,14476.0,中華里,臺北市松山區敦化北路155巷103號,"25.054155,121.552282",1,"118 ",
公寓,WXA01413,14477.0,中華里,臺北市松山區敦化北路145巷36號,"25.053829,121.552295",1,"254 ",
公寓,WXA01739,14478.0,中華里,臺北市松山區敦化北路155巷100弄2號,"25.054855,121.552272",1,"4737 ",
大樓,WXA00392,14479.0,中華里,臺北市松山區敦化北路199號,"25.055508,121.549618",1,"543 ",
大樓,WXA01373,14480.0,中華里,臺北市松山區敦化北路167號,"25.054708,121.549434",4,"3661 ",
大樓,WXA01374,14481.0,中華里,臺北市松山區敦化北路199號,"25.055508,121.549618",1,"2820 ",
公寓,WXA01425,14482.0,中華里,臺北市松山區敦化北路155巷66弄38號,"25.055161,121.551424",1,"202 ",
公寓,WXA01426,14483.0,中華里,臺北市松山區敦化北路155巷66弄39號,"25.055149,121.550261",1,"576 ",
大樓,WXA01432,14484.0,中華里,臺北市松山區敦化北路199巷6號,"25.055893,121.550127",3,"226 ",
大樓,WXA01433,14485.0,中華里,臺北市松山區敦化北路199巷8號,"25.055952,121.550576",2,"2412 ",
大樓,WXA01435,14486.0,中華里,臺北市松山區敦化北路199巷16弄1號,"25.05636,121.551241",1,"3810 ",
公寓,WXA01436,14487.0,中華里,臺北市松山區敦化北路199巷2弄1號,"25.055737,121.550039",1,"790 ",
公寓,WXA01562,14488.0,中華里,臺北市松山區敦化北路199巷2弄7-19號,"25.055496,121.550038",1,"268 ",
大樓,WXA01183,14489.0,中華里,臺北市松山區南京東路四段1號,"25.051919,121.549637",1,"1528 ",
大樓,WXA01371,14490.0,中華里,臺北市松山區敦化北路147號,"25.053908,121.549359",1,"118 ",
大樓,WXA01202,14491.0,中華里,臺北市松山區南京東路四段19號,"25.051908,121.550246",1,"748 ",
大樓,WXA01204,14492.0,中華里,臺北市松山區南京東路四段25號,"25.051901,121.550605",1,"342 ",
大樓,WXA01205,14493.0,中華里,臺北市松山區南京東路四段45號,"25.051898,121.550749",1,"332 ",
大樓,WXA01422,14494.0,中華里,臺北市松山區敦化北路155巷87號,"25.054183,121.551501",1,"792 ",
大樓,WXA01209,14495.0,中華里,臺北市松山區南京東路四段51號,"25.051894,121.55095",1,"318 ",
大樓,WXA01210,14496.0,中華里,臺北市松山區南京東路四段51號之2,"25.051891,121.551058",1,"176 ",
公寓,WXA01416,14497.0,中華里,臺北市松山區敦化北路145巷8號,"25.053896,121.550049",1,"665 ",
大樓,WXA01754,14498.0,中華里,臺北市松山區南京東路四段53巷3弄12號,"25.052402,121.550522",1,"1292 ",
大樓,WXA01837,14499.0,中華里,臺北市松山區南京東路四段23號,"25.051912,121.55049",1,"582 ",
公寓,WXA01850,14500.0,中華里,臺北市松山區南京東路四段53巷11弄18號,"25.053455,121.55061",1,"113 ",
大樓,WXA01241,14501.0,中華里,臺北市松山區南京東路四段53巷8弄1號,"25.052931,121.551196",1,"1945 ",
公寓,WXA01410,14502.0,中華里,臺北市松山區敦化北路145巷20號,"25.053843,121.551236",1,"344 ",
公寓,WXA01417,14503.0,中華里,臺北市松山區敦化北路145巷18弄2號,"25.053993,121.551051",1,"382 ",
大樓,WXA01418,14504.0,中華里,臺北市松山區敦化北路155巷1號,"25.054207,121.549695",1,"318 ",
公寓,WXA01415,14505.0,中華里,臺北市松山區敦化北路145巷71號,"25.05356,121.552105",1,"329 ",
大樓,WXA01421,14506.0,中華里,臺北市松山區敦化北路155巷76號,"25.054319,121.551475",1,"580 ",
大樓,WXA01424,14507.0,中華里,臺北市松山區敦化北路155巷100弄9號,"25.054822,121.552107",1,"522 ",
大樓,WXA01780,14508.0,中華里,臺北市松山區敦化北路155巷78號,"25.054368,121.551783",1,"2145 ",
大樓,WXA01419,14509.0,中華里,臺北市松山區敦化北路155巷2號,"25.05442,121.55009",1,"2436 ",
大樓,WXA01420,14510.0,中華里,臺北市松山區敦化北路155巷7號,"25.054219,121.550276",1,"281 ",
