電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備駐
QQA00019,三和里,屏東縣潮州鎮三和里和興街6號,"22.558615042673708, 120.53909932855376",1.0,253.0,潮州分局,
QPA00199,三和里,屏東縣潮州鎮三和里華巖街1號,"22.556840524779126, 120.5380849179059",1.0,1000.0,潮州分局,共有3處、總計可容納人數3374人
QPA00200,三和里,屏東縣潮州鎮三和里華巖街1號,"22.55720952105996, 120.53791782767382",1.0,781.0,潮州分局,共有3處、總計可容納人數3374人
QPA00201,三和里,屏東縣潮州鎮三和里華巖街1號,"22.556323928327604, 120.53787423891761",1.0,1593.0,潮州分局,共有3處、總計可容納人數3374人
QPA00008,三共里,屏東縣潮州鎮三共里文化路66號,"22.553933352091057, 120.54290942052361",1.0,168.0,潮州分局,共有4處、總計可容納人數3437人
QPA00004,三共里,屏東縣潮州鎮三共里文化路66號,"22.55418494587363, 120.54302928960317",1.0,1592.0,潮州分局,共有4處、總計可容納人數3437人
QQA00007,三共里,屏東縣潮州鎮三共里文化路66號,"22.5533798441543, 120.54349060393962",1.0,805.0,潮州分局,共有4處、總計可容納人數3437人
QQA00001,三共里,屏東縣潮州鎮三共里文化路66號,"22.554456666643453, 120.54327629255496",1.0,872.0,潮州分局,共有4處、總計可容納人數3437人
QPA00024,三共里,屏東縣潮州鎮三共里文化路191號,"22.55777884301884, 120.5434535563727",1.0,250.0,潮州分局,
QPA00002,三共里,屏東縣潮州鎮三共里文化路214號,"22.559323505431365, 120.54409550129014",1.0,26.0,潮州分局,
QQA00005,三共里,屏東縣潮州鎮三共里文化路215號,"22.55842928267539, 120.54368860185824",1.0,28.0,潮州分局,
QPA00013,三共里,屏東縣潮州鎮三共里文化路222號,"22.559437546590356, 120.54423964100671",1.0,24.0,潮州分局,
QQA00030,三共里,屏東縣潮州鎮三共里朝昇路2號,"22.554673868323047, 120.54714902198229",1.0,596.0,潮州分局,
QQA00026,三共里,屏東縣潮州鎮三共里朝昇路8號,"22.554755797335396, 120.54703366952373",1.0,34.0,潮州分局,
QPA00002,三共里,屏東縣潮州鎮三共里朝昇路43號,"22.555065551759395, 120.54617522263905",1.0,34.0,潮州分局,
QPA000018,三共里,屏東縣潮州鎮三共里永坤路2巷55弄2號,"22.553390957981573, 120.54491349250598",1.0,128.0,潮州分局,
QPA00057,三共里,屏東縣潮州鎮三共里四維路189巷13號,"22.554247719721047, 120.54597158896152",1.0,1022.0,潮州分局,
QQA00006,三共里,屏東縣潮州鎮三共里永坤路107號,"22.553308209870835, 120.54237679010191",1.0,417.0,潮州分局,
QPA00035,三共里,屏東縣潮州鎮三共里永坤路136號,"22.553543836883055, 120.54173438035245",1.0,54.0,潮州分局,
QQA00032,三共里,屏東縣潮州鎮三共里延平路92號,"22.553872564592286, 120.54038425639718",1.0,22.0,潮州分局,
QQA00004,三共里,屏東縣潮州鎮三共里延平路142號,"22.555052220041595, 120.54040407075135",1.0,361.0,潮州分局,共有2處、總計可容納人數654人
QPA00014,三共里,屏東縣潮州鎮三共里延平路142號,"22.55505345856688, 120.54054220450662",1.0,293.0,潮州分局,共有2處、總計可容納人數654人
QPA00103,三共里,屏東縣潮州鎮三共里明義路8號,"22.554547265508646, 120.54250551017282",1.0,1212.0,潮州分局,
QPA00104,三共里,屏東縣潮州鎮三共里北門路25號,"22.556786297759583, 120.54725071160763",1.0,1249.0,潮州分局,
QPA00037,三共里,屏東縣潮州鎮三共里北門路68號,"22.557930220849315, 120.54751314097821",1.0,1060.0,潮州分局,
QPA00023,三共里,屏東縣潮州鎮三共里振昇路126號,"22.55723087267764, 120.54298170712431",1.0,122.0,潮州分局,
QQA00025,三共里,屏東縣潮州鎮三共里豐年街5號,"22.553546652128322, 120.54553236464406",1.0,40.0,潮州分局,
QPA00029,三共里,屏東縣潮州鎮三共里海康街110號,"22.558719130635552, 120.54676516967791",1.0,50.0,潮州分局,
QPA00036,三共里,屏東縣潮州鎮三共里海康街112號,"22.558688499074446, 120.54666900201104",1.0,50.0,潮州分局,
QPA00092,三共里,屏東縣潮州鎮三共里海康街212號,"22.55933371862093, 120.54389127677518",1.0,1974.0,潮州分局,共有2處、總計可容納人數3948人
QQA00016,三共里,屏東縣潮州鎮三共里海康街212號,"22.559357949865444, 120.54375191850181",1.0,1974.0,潮州分局,共有2處、總計可容納人數3948人
QQA00009,三共里,屏東縣潮州鎮三共里曲江街20巷1號,"22.557577680994704, 120.54647688740367",1.0,89.0,潮州分局,
QPA00012,三共里,屏東縣潮州鎮三共里曲江街31號,"22.55879803234192, 120.54628229400906",1.0,482.0,潮州分局,
QPA00025,三共里,屏東縣潮州鎮三共里瑞昌街47號,"22.557845904384298, 120.54441727143647",1.0,848.0,潮州分局,
QQA00187,新生里,屏東縣潮州鎮新生里中山路81號,"22.549805103748497, 120.5384144199456",1.0,422.0,潮州分局,
QPA00198,新生里,屏東縣潮州鎮新生里中山路158號,"22.54959461621674, 120.53903051816769",1.0,52.0,潮州分局,
QQA00106,新生里,屏東縣潮州鎮新生里中山路172號,"22.549633678638042, 120.53868612884109",1.0,610.0,潮州分局,
QQA00110,新生里,屏東縣潮州鎮新生里新生路74號,"22.549812005741554, 120.53867141142877",1.0,202.0,潮州分局,
QQA00113,新生里,屏東縣潮州鎮新生里新生路74-1號,"22.549821426939165, 120.53867994642313",1.0,156.0,潮州分局,
QQA00135,新生里,屏東縣潮州鎮新生里新生路78-1號,"22.5500582684208, 120.5386624363544",1.0,204.0,潮州分局,
QQA00128,新生里,屏東縣潮州鎮新生里新生路106號,"22.551329380149344, 120.53902983015375",1.0,49.0,潮州分局,
QQA00163,新生里,屏東縣潮州鎮新生里新生路110號,"22.55123458560867, 120.53877965315769",1.0,301.0,潮州分局,
QQA00112,新生里,屏東縣潮州鎮新生里新生路123號,"22.55156604760609, 120.53883516265715",1.0,136.0,潮州分局,
QQA00122,新生里,屏東縣潮州鎮新生里六合路1-15號,"22.55135666396508, 120.53839965963385",1.0,76.0,潮州分局,
QQA00123,新生里,屏東縣潮州鎮新生里平安路32-4號,"22.552565109410622, 120.53694539820418",1.0,13.0,潮州分局,
QQA00155,新生里,屏東縣潮州鎮新生里中正路25號,"22.55233219994783, 120.53852163524056",1.0,301.0,潮州分局,
QQA00115,新榮里,屏東縣潮州鎮新榮里新生路8號,"22.547110341835033, 120.53770194512015",1.0,46.0,潮州分局,
QQA00139,新榮里,屏東縣潮州鎮新榮里新生路12號,"22.547250351437338, 120.53782779682182",1.0,364.0,潮州分局,
QQA00180,新榮里,屏東縣潮州鎮新榮里新生路13號,"22.54739979814561, 120.5375724323863",1.0,986.0,潮州分局,
QQA00125,新榮里,屏東縣潮州鎮新榮里新生路46號,"22.548455108403147, 120.53827782402142",1.0,48.0,潮州分局,
QQA00160,新榮里,屏東縣潮州鎮新榮里新生路56號,"22.548672715747713, 120.53844902330437",1.0,30.0,潮州分局,
QPA00194,新榮里,屏東縣潮州鎮新榮里新生路71號,"22.54916533420065, 120.53828920276138",1.0,610.0,潮州分局,
QQA00119,新榮里,屏東縣潮州鎮新榮里清水南路41-45號,"22.54858046533742, 120.54009761775552",1.0,92.0,潮州分局,
QQA00181,新榮里,屏東縣潮州鎮新榮里中山路117號,"22.549390907683936, 120.53986168198944",1.0,269.0,潮州分局,
QQA00124,新榮里,屏東縣潮州鎮新榮里中山路129號,"22.549316855587136, 120.53948189142736",1.0,42.0,潮州分局,
QQA00130,新榮里,屏東縣潮州鎮新榮里中山路133號,"22.5492856426088, 120.53935311457994",1.0,60.0,潮州分局,
QQA00127,新榮里,屏東縣潮州鎮新榮里育英路57號,"22.548296404301897, 120.5391386250779",1.0,96.0,潮州分局,
QQA00126,新榮里,屏東縣潮州鎮新榮里育英路61號,"22.548236137661206, 120.53907549366208",1.0,104.0,潮州分局,
QPA00202,新榮里,屏東縣潮州鎮新榮里和平路28號,"22.548133864944205, 120.53686307115572",1.0,1740.0,潮州分局,
QQA00105,新榮里,屏東縣潮州鎮新榮里民榮街20-4號,"22.54799767530246, 120.53961910490075",1.0,569.0,潮州分局,
QQA00103,蓬萊里,屏東縣潮州鎮蓬萊里榮祥路32號,"22.549215469000597, 120.53413731206209",1.0,36.0,潮州分局,
QQA00189,蓬萊里,屏東縣潮州鎮蓬萊里榮吉街115號,"22.551701314564596, 120.53561951966118",1.0,740.0,潮州分局,
QQA00015,蓬萊里,屏東縣潮州鎮蓬萊里榮田路123號,"22.551856557830977, 120.53338528833449",1.0,877.0,潮州分局,
QQA00107,五魁里,屏東縣潮州鎮五魁里太平路232號,"22.55732124656642, 120.53568432933429",1.0,801.0,潮州分局,
QQA00140,五魁里,屏東縣潮州鎮五魁里太平路477號,"22.56129170775446, 120.53198955030284",1.0,536.0,潮州分局,
QQA00191,五魁里,屏東縣潮州鎮五魁里杭州街122巷1號,"22.556522791918407, 120.53463159839313",1.0,1308.0,潮州分局,
QQA00108,五魁里,屏東縣潮州鎮五魁里杭州街175號,"22.556935135339003, 120.53454151022471",1.0,924.0,潮州分局,
QQA00109,永春里,屏東縣潮州鎮永春里光輪路135號,"22.54338393393812, 120.54192679136865",1.0,2793.0,潮州分局,
QQA00133,永春里,屏東縣潮州鎮永春里興隆路155號,"22.543667909901245, 120.53986509156154",1.0,81.0,潮州分局,
QQA00117,永春里,屏東縣潮州鎮永春里五福路45號,"22.545322718120826, 120.53488710431442",1.0,30.0,潮州分局,
QQA00118,永春里,屏東縣潮州鎮永春里介壽路108號,"22.543899450048634, 120.53597607700739",1.0,52.0,潮州分局,
QQA00129,永春里,屏東縣潮州鎮永春里大同路22號,"22.542798737713216, 120.53439154802363",1.0,86.0,潮州分局,
QQA00131,永春里,屏東縣潮州鎮永春里大同路200號,"22.541812472235073, 120.5259036264511",1.0,108.0,潮州分局,
QQA00132,永春里,屏東縣潮州鎮永春里大同路256號,"22.54158663922481, 120.52392883291841",1.0,210.0,潮州分局,
QQA00111,永春里,屏東縣潮州鎮永春里永昌路45號,"22.544563011032796, 120.53778165254052",1.0,1208.0,潮州分局,
QQA00136,永春里,屏東縣潮州鎮永春里光春路13號,"22.54473011663511, 120.53713516980218",1.0,536.0,潮州分局,
QQA00150,永春里,屏東縣潮州鎮永春里光春路71號,"22.54360298932455, 120.53745281816816",1.0,76.0,潮州分局,
QQA00153,永春里,屏東縣潮州鎮永春里長春路47號,"22.54522833088932, 120.53832458506076",1.0,196.0,潮州分局,
QQA00154,永春里,屏東縣潮州鎮永春里新興路48號,"22.543013010483165, 120.53653369150983",1.0,76.0,潮州分局,
QQA00142,永春里,屏東縣潮州鎮永春里永康街308號,"22.543982743596718, 120.53780689759779",1.0,110.0,潮州分局,
QQA00144,永春里,屏東縣潮州鎮永春里永康街319號,"22.543817131359123, 120.53777397652381",1.0,72.0,潮州分局,
QQA00146,永春里,屏東縣潮州鎮永春里永康街321號,"22.543726569712643, 120.53779031851779",1.0,72.0,潮州分局,
QQA00149,永春里,屏東縣潮州鎮永春里永康街323號,"22.54378591145764, 120.53770284984583",1.0,72.0,潮州分局,
QQA00151,永春里,屏東縣潮州鎮永春里永康街325號,"22.543700261169732, 120.53769400065055",1.0,72.0,潮州分局,
QQA00147,永春里,屏東縣潮州鎮永春里永康街327號,"22.543686628382183, 120.53767217513469",1.0,72.0,潮州分局,
QQA00148,永春里,屏東縣潮州鎮永春里永康街329號,"22.54375256901286, 120.53759465152334",1.0,72.0,潮州分局,
QQA00145,永春里,屏東縣潮州鎮永春里永康街331號,"22.54374384610706, 120.53756634831095",1.0,72.0,潮州分局,
QPA00200,富春里,屏東縣潮州鎮富春里田單路15號,"22.538405997657833, 120.54368764045071",1.0,1162.0,潮州分局,
QQA00138,光春里,屏東縣潮州鎮光春里光復路255號,"22.53453242274362, 120.53551485356702",1.0,94.0,潮州分局,
QQA00104,光春里,屏東縣潮州鎮光春里光復路259號,"22.534034175697105, 120.53511863629043",1.0,260.0,潮州分局,
QQA00152,光春里,屏東縣潮州鎮光春里光復路593號,"22.524329315174334, 120.53161062930164",1.0,194.0,潮州分局,
QQA00134,光春里,屏東縣潮州鎮光春里光春路140-10號,"22.54163563654456, 120.53751467062035",1.0,196.0,潮州分局,
QQA00121,光春里,屏東縣潮州鎮光春里光春路290號,"22.534406240527094, 120.54067336454148",1.0,174.0,潮州分局,共有3處、總計可容納人數604人
QQA00137,光春里,屏東縣潮州鎮光春里光春路290號,"22.534487995400458, 120.54055802956135",1.0,152.0,潮州分局,共有3處、總計可容納人數604人
QQA00141,光春里,屏東縣潮州鎮光春里光春路290號,"22.534395046891717, 120.5400662199241",1.0,278.0,潮州分局,共有3處、總計可容納人數604人
QPA00179,光春里,屏東縣潮州鎮光春里光春路300號,"22.53308347581064, 120.54089849358223",1.0,457.0,潮州分局,
QPA00180,光春里,屏東縣潮州鎮光春里光春路311號,"22.534230170944124, 120.54321438057463",1.0,566.0,潮州分局,
QQA00188,光春里,屏東縣潮州鎮光春里志成路201號,"22.540641025162262, 120.53678247789645",1.0,1528.0,潮州分局,
QQA00143,八爺里,屏東縣潮州鎮八爺里介壽路308號,"22.537973808688086, 120.53362591465913",1.0,64.0,潮州分局,
QQA00120,八爺里,屏東縣潮州鎮八爺里介壽路468號,"22.52903932522495, 120.528128405092",1.0,357.0,潮州分局,
QQA00164,檨子里,屏東縣潮州鎮檨子里光復路31號,"22.509211145554506, 120.53186516754509",1.0,90.0,潮州分局,
QQA00114,檨子里,屏東縣潮州鎮檨子里光復路一段53號,"22.509913548788504, 120.5314817433441",1.0,130.0,潮州分局,
QQA00075,四林里,屏東縣潮州鎮四林里通潮路152號,"22.550036767834843, 120.56362900612562",1.0,68.0,潮州分局,
QPA00190,竹田村,屏東縣竹田鄉竹田村中正路123號,"22.58472267726117, 120.54398953767915",1.0,401.0,潮州分局,
QPA00169,永豐村,屏東縣竹田鄉永豐村永豐路14巷35號,"22.636277670137876, 120.53839223306925",1.0,288.0,潮州分局,
QPA00197,永豐村,屏東縣竹田鄉永豊村永豊路120號,"22.629490374726398, 120.52859367938603",1.0,229.0,潮州分局,
QPA00171,永豐村,屏東縣竹田鄉永豐村永豐路130號,"22.63140020067546, 120.53077042069063",1.0,830.0,潮州分局,
QPA00170,永豐村,屏東縣竹田鄉永豐村永豐路132號,"22.632706905715516, 120.53231496361802",1.0,1226.0,潮州分局,
QPA00182,永豐村,屏東縣竹田鄉永豐村永豐路227號,"22.633118926492557, 120.53431095491541",1.0,152.0,潮州分局,
QPA00181,南勢村,屏東縣竹田鄉南勢村南西路166號,"22.606214316646696, 120.52819554685885",1.0,332.0,潮州分局,
QPA00195,大湖村,屏東縣竹田鄉大湖村大成路46號,"22.57456249319998, 120.5168216150496",1.0,650.0,潮州分局,
QPA00191,大湖村,屏東縣竹田鄉大湖村大成路57號,"22.5767816692577, 120.51270647556753",1.0,37.0,潮州分局,共有2處、總計可容納人數245人
QPA00192,大湖村,屏東縣竹田鄉大湖村大成路57號,"22.576867059629713, 120.51222591028228",1.0,208.0,潮州分局,共有2處、總計可容納人數245人
QQA00175,新埤村,屏東縣新埤鄉新埤村中正路40號,"22.470190249722997, 120.54987293096781",1.0,193.0,潮州分局,
QQA00177,新埤村,屏東縣新埤鄉新埤村中正路62號,"22.470196106638173, 120.54895797243984",1.0,181.0,潮州分局,
QPA00193,箕湖村,屏東縣新埤鄉箕湖村進化路12號之200,"22.463219788993616, 120.6151205448135",1.0,1572.0,潮州分局,
QPA00183,古樓村,屏東縣來義鄉古樓村中正路147號,"22.52537419055243, 120.62926931116162",1.0,580.0,潮州分局,
