電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
C27,雙溪村,新竹科學園區園區二路40號,24.77505,121.00448,1.0,1058.0,保安警察第二總隊三大一中,竹科
C29,雙溪村,新竹科學園區工業東九路22號,24.77254,121.00526,1.0,997.0,保安警察第二總隊三大一中,竹科
C30,雙溪村,新竹科學園區工業東九路9號,24.77241,121.00845,1.0,893.0,保安警察第二總隊三大一中,竹科
C31,雙溪村,新竹科學園區研發六路2號,24.78037,120.9937,1.0,2479.0,保安警察第二總隊三大一中,竹科
C32,雙溪村,新竹科學園區園區三路121號,24.7739,120.99778,1.0,5254.0,保安警察第二總隊三大一中,竹科
C33,雙溪村,新竹科學園區創新一路13號,24.77595,120.99727,1.0,5205.0,保安警察第二總隊三大一中,竹科
C34,雙溪村,新竹科學園區研發三路8號,24.77701,120.99968,1.0,1124.0,保安警察第二總隊三大一中,竹科
C35,雙溪村,新竹科學園區研發六路2號,24.78036,120.99371,1.0,1156.0,保安警察第二總隊三大一中,竹科
C36,雙溪村,新竹科學園區研發一路12號,24.7748,121.00234,1.0,190.0,保安警察第二總隊三大一中,竹科
C37,雙溪村,新竹科學園區研發二路1號,24.77572,121.00003,1.0,8852.0,保安警察第二總隊三大一中,竹科
C38,雙溪村,新竹科學園區研新二路5號,24.77659,120.98957,1.0,2488.0,保安警察第二總隊三大一中,竹科
C39,雙溪村,新竹科學園區創新一路1-1號,24.77252,121.00227,1.0,2248.0,保安警察第二總隊三大一中,竹科
C40,雙溪村,新竹科學園區研新一路8號,24.7739,120.99227,1.0,1049.0,保安警察第二總隊三大一中,竹科
C41,雙溪村,新竹科學園區園區三路123號,24.7756,120.99641,1.0,3201.0,保安警察第二總隊三大一中,竹科
C42,雙溪村,新竹科學園區創新一路8號,24.77569,120.99844,1.0,1226.0,保安警察第二總隊三大一中,竹科
C43,雙溪村,新竹科學園區工業東九路30號,24.77429,121.00558,1.0,6095.0,保安警察第二總隊三大一中,竹科
C44,雙溪村,新竹科學園區研新一路9號,24.77523,120.99022,2.0,8765.0,保安警察第二總隊三大一中,竹科
C45,雙溪村,新竹科學園區研新一路16號,24.775,120.9938,2.0,5126.0,保安警察第二總隊三大一中,竹科
C46,雙溪村,新竹科學園區創新二路6號,24.77971,120.99548,1.0,4322.0,保安警察第二總隊三大一中,竹科
C47,雙溪村,新竹科學園區研新一路20號,24.77647,120.99529,1.0,3303.0,保安警察第二總隊三大一中,竹科
C50,雙溪村,新竹科學園區研新一路9號,24.77521,120.9902,2.0,5318.0,保安警察第二總隊三大一中,竹科
C51,雙溪村,新竹科學園區研新一路18號,24.77562,120.9942,2.0,5096.0,保安警察第二總隊三大一中,竹科
C52,雙溪村,新竹科學園區園區三路123號,24.77556,120.99642,1.0,4329.0,保安警察第二總隊三大一中,竹科
C53,雙溪村,新竹科學園區工業東九路12號,24.77257,121.00806,2.0,2967.0,保安警察第二總隊三大一中,竹科
C54,雙溪村,新竹科學園區工業東九路17號,24.77212,121.00579,2.0,1750.0,保安警察第二總隊三大一中,竹科
C55,雙溪村,新竹科學園區研新二路6號,24.77879,120.9922,2.0,1371.0,保安警察第二總隊三大一中,竹科
C56,雙溪村,新竹科學園區工業東九路2號,24.77327,121.00847,1.0,3655.0,保安警察第二總隊三大一中,竹科
C57,雙溪村,新竹科學園區創新一路19號,24.77828,120.99481,1.0,3965.0,保安警察第二總隊三大一中,竹科
C58,雙溪村,新竹科學園區研發二路1-1號,24.77705,121.00104,3.0,9707.0,保安警察第二總隊三大一中,竹科
C59,雙溪村,新竹科學園區園區二路20號,24.7779,120.99981,3.0,12979.0,保安警察第二總隊三大一中,竹科
