類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
基隆市立正濱國民中學,正砂012,正砂里,基隆市中正區正榮街88號,1.0,745,,"基隆市立正濱國民中學 正砂012 正砂里 基隆市中正區正榮街88號 745 第二分局"
公寓,正砂013,正砂里,基隆市中正區中正路315號,2.0,980,,"公寓 正砂013 正砂里 基隆市中正區中正路315號 980 第二分局"
大樓,正砂014,正砂里,基隆市中正區中正路331號,2.0,738,,"大樓 正砂014 正砂里 基隆市中正區中正路331號 738 第二分局"
國立台灣海洋大學,建國001,建國里,基隆市中正區祥豐街335號,1.0,1025,,"國立台灣海洋大學 建國001 建國里 基隆市中正區祥豐街335號 1025 第二分局"
財政部基隆關,建國002,建國里,基隆市中正區祥豐街198巷6號,1.0,1202,,"財政部基隆關 建國002 建國里 基隆市中正區祥豐街198巷6號 1202 第二分局"
基隆市私立二信高級中學,建國003,建國里,基隆市中正區立德路243號,1.0,759,,"基隆市私立二信高級中學 建國003 建國里 基隆市中正區立德路243號 759 第二分局"
公寓,建國004,建國里,基隆市中正區立德路188號之1,1.0,226,,"公寓 建國004 建國里 基隆市中正區立德路188號之1 226 第二分局"
國立台灣海洋大學,建國005,建國里,基隆市中正區祥豐街237號,1.0,2884,,"國立台灣海洋大學 建國005 建國里 基隆市中正區祥豐街237號 2884 第二分局"
台灣省基隆市私立二信高級中學,建國006,建國里,基隆市中正區立德路243號,1.0,1817,,"台灣省基隆市私立二信高級中學 建國006 建國里 基隆市中正區立德路243號 1817 第二分局"
正濱國小,建國007,建國里,基隆市中正區祥豐街216號,1.0,569,,"正濱國小 建國007 建國里 基隆市中正區祥豐街216號 569 第二分局"
正濱國小,建國009,建國里,基隆市中正區祥豐路216號,1.0,2643,,"正濱國小 建國009 建國里 基隆市中正區祥豐路216號 2643 第二分局"
二信高中,建國011,建國里,基隆市立德路206,1.0,835,,"二信高中 建國011 建國里 基隆市立德路206 835 第二分局"
公寓,建國012,建國里,基隆市祥豐街399號,1.0,722,,"公寓 建國012 建國里 基隆市祥豐街399號 722 第二分局"
基隆市政府,砂灣001,砂灣里,基隆市中正區祥豐街66號,1.0,1002,,"基隆市政府 砂灣001 砂灣里 基隆市中正區祥豐街66號 1002 第二分局"
公寓,砂灣002,砂灣里,基隆市中正區祥豐街121號,1.0,290,,"公寓 砂灣002 砂灣里 基隆市中正區祥豐街121號 290 第二分局"
公寓,砂灣003,砂灣里,基隆市中正區祥豐街73號,1.0,395,,"公寓 砂灣003 砂灣里 基隆市中正區祥豐街73號 395 第二分局"
公寓,砂灣004,砂灣里,基隆市中正區祥豐街81號,1.0,1852,,"公寓 砂灣004 砂灣里 基隆市中正區祥豐街81號 1852 第二分局"
公寓,砂灣005,砂灣里,基隆市中正區祥豐街216號,1.0,229,,"公寓 砂灣005 砂灣里 基隆市中正區祥豐街216號 229 第二分局"
公寓,砂灣006,砂灣里,基隆市中正區祥豐街95號,2.0,3257,,"公寓 砂灣006 砂灣里 基隆市中正區祥豐街95號 3257 第二分局"
公寓,砂灣007,砂灣里,基隆市中正區祥豐街119之1號,1.0,216,,"公寓 砂灣007 砂灣里 基隆市中正區祥豐街119之1號 216 第二分局"
公寓,砂灣008,砂灣里,基隆市中正區正榮街121號,2.0,1787,,"公寓 砂灣008 砂灣里 基隆市中正區正榮街121號 1787 第二分局"
公寓,真砂001,真砂里,基隆市中正區豐稔街41巷2號,1.0,1183,,"公寓 真砂001 真砂里 基隆市中正區豐稔街41巷2號 1183 第二分局"
公寓,真砂002,真砂里,基隆市中正區豐稔街15號,1.0,265,,"公寓 真砂002 真砂里 基隆市中正區豐稔街15號 265 第二分局"
公寓,真砂003,真砂里,基隆市中正區豐稔街17號,1.0,317,,"公寓 真砂003 真砂里 基隆市中正區豐稔街17號 317 第二分局"
台灣造船股份有限公司,平寮001,平寮里,基隆市中正區和一路224號,1.0,2133,,"台灣造船股份有限公司 平寮001 平寮里 基隆市中正區和一路224號 2133 第二分局"
台灣造船股份有限公司,平寮002,平寮里,基隆市中正區和一路224號,1.0,1373,,"台灣造船股份有限公司 平寮002 平寮里 基隆市中正區和一路224號 1373 第二分局"
台灣省水產試驗所,平寮004,平寮里,基隆市中正區和一路199號,1.0,239,,"台灣省水產試驗所 平寮004 平寮里 基隆市中正區和一路199號 239 第二分局"
基隆港務局,平寮005,平寮里,基隆市中正區平一路480號,1.0,701,,"基隆港務局 平寮005 平寮里 基隆市中正區平一路480號 701 第二分局"
台灣造船股份有限公司,社寮001,社寮里,基隆市中正區和一路155巷14號,1.0,726,,"台灣造船股份有限公司 社寮001 社寮里 基隆市中正區和一路155巷14號 726 第二分局"
公寓,東光001,東光里,基隆市信義區東信路156號,1.0,176,,"公寓 東光001 東光里 基隆市信義區東信路156號 176 第二分局"
公寓,東光004,東光里,基隆市信義區崇法街89巷1號,3.0,6655,,"公寓 東光004 東光里 基隆市信義區崇法街89巷1號 6655 第二分局"
公寓,東安001,東安里,基隆市信義區東信路2巷9號,1.0,195,,"公寓 東安001 東安里 基隆市信義區東信路2巷9號 195 第二分局"
交通部電信總局,東安003,東安里,基隆市信義區東信路3巷5號,1.0,1398,,"交通部電信總局 東安003 東安里 基隆市信義區東信路3巷5號 1398 第二分局"
公寓,東安004,東安里,基隆市信義區培德路17號,1.0,162,,"公寓 東安004 東安里 基隆市信義區培德路17號 162 第二分局"
公寓,東安005,東安里,基隆市信義區培德路173號,1.0,221,,"公寓 東安005 東安里 基隆市信義區培德路173號 221 第二分局"
基隆市政府,東安006,東安里,基隆市信義區培德路221之3號,1.0,144,,"基隆市政府 東安006 東安里 基隆市信義區培德路221之3號 144 第二分局"
公寓,東安007,東安里,基隆市信義區培德路16號,1.0,262,,"公寓 東安007 東安里 基隆市信義區培德路16號 262 第二分局"
公寓,東安008,東安里,基隆市信義區培德路14巷19號,2.0,203,,"公寓 東安008 東安里 基隆市信義區培德路14巷19號 203 第二分局"
公寓,東安009,東安里,基隆市信義區培德路75之3號,1.0,300,,"公寓 東安009 東安里 基隆市信義區培德路75之3號 300 第二分局"
公寓,東安010,東安里,基隆市信義區培德路189號,2.0,566,,"公寓 東安010 東安里 基隆市信義區培德路189號 566 第二分局"
公寓,東安011,東安里,基隆市信義區東信路5號,1.0,179,,"公寓 東安011 東安里 基隆市信義區東信路5號 179 第二分局"
信義國中,東安012,東安里,基隆市信義區東信路4號,1.0,729,,"信義國中 東安012 東安里 基隆市信義區東信路4號 729 第二分局"
公寓,東明001,東明里,基隆市信義區東信路55巷17號,1.0,1209,,"公寓 東明001 東明里 基隆市信義區東信路55巷17號 1209 第二分局"
公寓,東明002,東明里,基隆市信義區東信路35巷110號,1.0,661,,"公寓 東明002 東明里 基隆市信義區東信路35巷110號 661 第二分局"
公寓,東明004,東明里,基隆市信義區東光路42號,3.0,393,,"公寓 東明004 東明里 基隆市信義區東光路42號 393 第二分局"
公寓,東明006,東明里,基隆市信義區東信路37號,1.0,474,,"公寓 東明006 東明里 基隆市信義區東信路37號 474 第二分局"
公寓,東明008,東明里,基隆市信義區東光路40之2號,1.0,270,,"公寓 東明008 東明里 基隆市信義區東光路40之2號 270 第二分局"
公寓,東明003,東明里,基隆市信義區東信路55巷42之3號,1.0,176,,"公寓 東明003 東明里 基隆市信義區東信路55巷42之3號 176 第二分局"
公寓,東明005,東明里,基隆市信義區東信路71號,1.0,1019,,"公寓 東明005 東明里 基隆市信義區東信路71號 1019 第二分局"
公寓,東明007,東明里,基隆市信義區東光路201之1號,3.0,2372,,"公寓 東明007 東明里 基隆市信義區東光路201之1號 2372 第二分局"
公寓,東明009,東明里,基隆市信義區東光路40之3號,1.0,199,,"公寓 東明009 東明里 基隆市信義區東光路40之3號 199 第二分局"
公寓,東信001,東信里,基隆市信義區東信路180巷28號,1.0,239,,"公寓 東信001 東信里 基隆市信義區東信路180巷28號 239 第二分局"
公寓,東信002,東信里,基隆市信義區花源五街47號,1.0,1206,,"公寓 東信002 東信里 基隆市信義區花源五街47號 1206 第二分局"
公寓,東信003,東信里,基隆市信義區花源五街1號,2.0,2755,,"公寓 東信003 東信里 基隆市信義區花源五街1號 2755 第二分局"
公寓,東信004,東信里,基隆市信義區正信路227巷21弄8號,3.0,21194,,"公寓 東信004 東信里 基隆市信義區正信路227巷21弄8號 21194 第二分局"
公寓,東信005,東信里,基隆市信義區東信路236巷32號,2.0,7088,,"公寓 東信005 東信里 基隆市信義區東信路236巷32號 7088 第二分局"
公寓,東信006,東信里,基隆市信義區正信路295號,1.0,763,,"公寓 東信006 東信里 基隆市信義區正信路295號 763 第二分局"
公寓,信綠001,信綠里,基隆市信義區東信路282號,1.0,486,,"公寓 信綠001 信綠里 基隆市信義區東信路282號 486 第二分局"
公寓,信綠002,信綠里,基隆市信義區正信路24之5號,1.0,343,,"公寓 信綠002 信綠里 基隆市信義區正信路24之5號 343 第二分局"
公寓,信綠003,信綠里,基隆市信義區正信路203號,1.0,1526,,"公寓 信綠003 信綠里 基隆市信義區正信路203號 1526 第二分局"
公寓,信綠004,信綠里,基隆市信義區正信路24之52號,1.0,270,,"公寓 信綠004 信綠里 基隆市信義區正信路24之52號 270 第二分局"
公寓,信綠005,信綠里,基隆市信義區正信路26號,1.0,204,,"公寓 信綠005 信綠里 基隆市信義區正信路26號 204 第二分局"
公寓,信綠006,信綠里,基隆市信義區正信路26號,1.0,346,,"公寓 信綠006 信綠里 基隆市信義區正信路26號 346 第二分局"
公寓,信綠007,信綠里,基隆市信義區東信路306號,1.0,219,,"公寓 信綠007 信綠里 基隆市信義區東信路306號 219 第二分局"
公寓,信綠008,信綠里,基隆市信義區東信路169號,1.0,250,,"公寓 信綠008 信綠里 基隆市信義區東信路169號 250 第二分局"
公寓,信綠009,信綠里,基隆市信義區正信路35號,1.0,188,,"公寓 信綠009 信綠里 基隆市信義區正信路35號 188 第二分局"
公寓,信綠010,信綠里,基隆市信義區正信路215號,1.0,534,,"公寓 信綠010 信綠里 基隆市信義區正信路215號 534 第二分局"
公寓,信綠011,信綠里,基隆市信義區正信路95號,1.0,302,,"公寓 信綠011 信綠里 基隆市信義區正信路95號 302 第二分局"
大樓,信綠012,信綠里,基隆市信義區孝東路27號,1.0,1491,,"大樓 信綠012 信綠里 基隆市信義區孝東路27號 1491 第二分局"
公寓,信綠013,信綠里,基隆市信義區正信路179號,1.0,1519,,"公寓 信綠013 信綠里 基隆市信義區正信路179號 1519 第二分局"
公寓,信綠014,信綠里,基隆市信義區正信路223號,2.0,536,,"公寓 信綠014 信綠里 基隆市信義區正信路223號 536 第二分局"
公寓,信綠015,信綠里,基隆市信義區正信路213號,1.0,191,,"公寓 信綠015 信綠里 基隆市信義區正信路213號 191 第二分局"
公寓,信綠016,信綠里,基隆市信義區正信路49號,2.0,330,,"公寓 信綠016 信綠里 基隆市信義區正信路49號 330 第二分局"
基隆市政府,信綠017,信綠里,基隆市信義區東信路282之45號,1.0,1187,,"基隆市政府 信綠017 信綠里 基隆市信義區東信路282之45號 1187 第二分局"
公寓,信綠018,信綠里,基隆市信義區正信路175巷15之5號,2.0,173,,"公寓 信綠018 信綠里 基隆市信義區正信路175巷15之5號 173 第二分局"
公寓,信綠019,信綠里,基隆市信義區正信路26號,1.0,694,,"公寓 信綠019 信綠里 基隆市信義區正信路26號 694 第二分局"
公寓,信綠020,信綠里,基隆市信義區正信路26號,1.0,793,,"公寓 信綠020 信綠里 基隆市信義區正信路26號 793 第二分局"
公寓,信綠021,信綠里,基隆市信義區正信路151巷7之7號,1.0,154,,"公寓 信綠021 信綠里 基隆市信義區正信路151巷7之7號 154 第二分局"
台灣省基隆女子高級中學,禮東001,禮東里,基隆市信義區東明路77巷7弄1號,1.0,1083,,"台灣省基隆女子高級中學 禮東001 禮東里 基隆市信義區東明路77巷7弄1號 1083 第二分局"
公寓,禮東002,禮東里,基隆市信義區東明路69號,1.0,1229,,"公寓 禮東002 禮東里 基隆市信義區東明路69號 1229 第二分局"
公寓,禮東003,禮東里,基隆市信義區東明路77巷7弄14號,2.0,1035,,"公寓 禮東003 禮東里 基隆市信義區東明路77巷7弄14號 1035 第二分局"
公寓,禮東004,禮東里,基隆市信義區東明路39巷33號,1.0,453,,"公寓 禮東004 禮東里 基隆市信義區東明路39巷33號 453 第二分局"
大樓,入船002,入船里,基隆市中正區中船路134號,1.0,444,,"大樓 入船002 入船里 基隆市中正區中船路134號 444 第二分局"
公寓,中船001,中船里,基隆市中正區中正路102號,1.0,493,,"公寓 中船001 中船里 基隆市中正區中正路102號 493 第二分局"
公寓,中船002,中船里,基隆市中正區中正路90號,1.0,166,,"公寓 中船002 中船里 基隆市中正區中正路90號 166 第二分局"
基隆市中正國民小學,中船003,中船里,基隆市中正區中船路36巷4號,1.0,1175,,"基隆市中正國民小學 中船003 中船里 基隆市中正區中船路36巷4號 1175 第二分局"
公寓,中船004,中船里,基隆市中正區中船路22號,1.0,525,,"公寓 中船004 中船里 基隆市中正區中船路22號 525 第二分局"
基隆市立中正國民中學,中船005,中船里,基隆市中正區中船路36巷59號,1.0,1360,,"基隆市立中正國民中學 中船005 中船里 基隆市中正區中船路36巷59號 1360 第二分局"
基隆市立中正國民中學,中船006,中船里,基隆市中正區中船路36巷59號,1.0,974,,"基隆市立中正國民中學 中船006 中船里 基隆市中正區中船路36巷59號 974 第二分局"
公寓,正義001,正義里,基隆市中正區義二路162號,2.0,173,,"公寓 正義001 正義里 基隆市中正區義二路162號 173 第二分局"
公寓,正義002,正義里,基隆市中正區義二路164號之1,1.0,418,,"公寓 正義002 正義里 基隆市中正區義二路164號之1 418 第二分局"
公寓,信義001,信義里,基隆市中正區義二路175號,1.0,275,,"公寓 信義001 信義里 基隆市中正區義二路175號 275 第二分局"
財政部基隆關,港通001,港通里,基隆市中正區中正路16號,1.0,419,,"財政部基隆關 港通001 港通里 基隆市中正區中正路16號 419 第二分局"
公寓,港通002,港通里,基隆市中正區中正路34號,1.0,814,,"公寓 港通002 港通里 基隆市中正區中正路34號 814 第二分局"
公寓,港通005,港通里,基隆市中正區義一路71號,1.0,452,,"公寓 港通005 港通里 基隆市中正區義一路71號 452 第二分局"
基隆市政府,港通006,港通里,基隆市中正區信一路181號,2.0,4609,,"基隆市政府 港通006 港通里 基隆市中正區信一路181號 4609 第二分局"
國泰人壽保險股份有限公司,港通007,港通里,基隆市中正區義一路83號,1.0,424,,"國泰人壽保險股份有限公司 港通007 港通里 基隆市中正區義一路83號 424 第二分局"
"台灣省菸酒公賣局 基隆分局",港通009,港通里,基隆市中正區中正路16號,1.0,304,,"台灣省菸酒公賣局 基隆分局 港通009 港通里 基隆市中正區中正路16號 304 第二分局"
公寓,港通010,港通里,基隆市中正區中正路30號,2.0,814,,"公寓 港通010 港通里 基隆市中正區中正路30號 814 第二分局"
公寓,港通011,港通里,基隆市中正區義一路43號,1.0,598,,"公寓 港通011 港通里 基隆市中正區義一路43號 598 第二分局"
公寓,港通013,港通里,基隆市中正區義一路212號,1.0,175,,"公寓 港通013 港通里 基隆市中正區義一路212號 175 第二分局"
公寓,港通014,港通里,基隆市中正區義一路23號,1.0,209,,"公寓 港通014 港通里 基隆市中正區義一路23號 209 第二分局"
公寓,港通015,港通里,基隆市中正區中正路12號,1.0,183,,"公寓 港通015 港通里 基隆市中正區中正路12號 183 第二分局"
公寓,港通016,港通里,基隆市中正區義一路95號,1.0,161,,"公寓 港通016 港通里 基隆市中正區義一路95號 161 第二分局"
公寓,港通017,港通里,基隆市中正區義一路182號,1.0,189,,"公寓 港通017 港通里 基隆市中正區義一路182號 189 第二分局"
公寓,港通018,港通里,基隆市中正區義一路41號,1.0,188,,"公寓 港通018 港通里 基隆市中正區義一路41號 188 第二分局"
公寓,港通019,港通里,基隆市中正區義一路112號,1.0,387,,"公寓 港通019 港通里 基隆市中正區義一路112號 387 第二分局"
公寓,港通020,港通里,基隆市中正區義一路61號,1.0,152,,"公寓 港通020 港通里 基隆市中正區義一路61號 152 第二分局"
公寓,港通021,港通里,基隆市中正區義一路188號,1.0,219,,"公寓 港通021 港通里 基隆市中正區義一路188號 219 第二分局"
公寓,港通022,港通里,基隆市中正區信二路274號,2.0,241,,"公寓 港通022 港通里 基隆市中正區信二路274號 241 第二分局"
公寓,港通023,港通里,基隆市中正區義一路87號,2.0,690,,"公寓 港通023 港通里 基隆市中正區義一路87號 690 第二分局"
長榮國際股份有限公司,港通024,港通里,基隆市中正區中正路62號之1,4.0,2336,,"長榮國際股份有限公司 港通024 港通里 基隆市中正區中正路62號之1 2336 第二分局"
大樓,港通025,港通里,基隆市中正區義一路59號,1.0,243,,"大樓 港通025 港通里 基隆市中正區義一路59號 243 第二分局"
公寓,港通026,港通里,基隆市中正區信四路31號,1.0,152,,"公寓 港通026 港通里 基隆市中正區信四路31號 152 第二分局"
大樓,港通028,港通里,基隆市中正區信一路177號,7.0,1824,,"大樓 港通028 港通里 基隆市中正區信一路177號 1824 第二分局"
