建築物名稱,村里別,地址,地下樓層數,可容納人數,轄管分局,編號,備註,經度,緯度,placemark_address
億東企業股份有限公司,崙西村,"雲林縣二崙鄉崙西村中山路357號  ",1.0,198.0,西螺分局,608.0,,23.76704,120.40701,雲林縣二崙鄉崙西村中山路357號
東生農業加工廠,崙西村,"雲林縣二崙鄉崙西村中山路369號  ",1.0,67.0,西螺分局,609.0,,23.76689,120.4068,雲林縣二崙鄉崙西村中山路369號
崙背鄉公所清潔隊,崙前村,"雲林縣崙背鄉崙前村南光路5號  ",1.0,92.0,西螺分局,610.0,,23.75902,120.3532,雲林縣崙背鄉崙前村南光路5號
東元塑膠工廠,崙前村,"雲林縣崙背鄉崙前村大利街28號  ",1.0,176.0,西螺分局,611.0,,23.75208,120.34807,雲林縣崙背鄉崙前村大利街28號
金樹塑膠工業公司,崙前村,"雲林縣崙背鄉崙前村大利街29號  ",1.0,78.0,西螺分局,612.0,,23.75247,120.34834,雲林縣崙背鄉崙前村大利街29號
文興國小行政樓,新豐里,"雲林縣西螺鎮新豐里新社路259號  ",1.0,31.0,西螺分局,613.0,,23.78363,120.44621,雲林縣西螺鎮新豐里新社路259號
雲林基督教醫院,新豐里,"雲林縣西螺鎮新豐里市場南路375號  ",1.0,3930.0,西螺分局,614.0,"雲林基督教醫院行政樓1797人、總務樓284人、雅各大樓1849人(西螺鎮新豐里市場南路371號 )",23.78363,120.44633,雲林縣西螺鎮新豐里市場南路375號
文興國小總務樓,新豐里,"雲林縣西螺鎮新豐里新社路257號  ",1.0,259.0,西螺分局,615.0,,23.78801,120.44463,雲林縣西螺鎮新豐里新社路257號
西螺鎮果菜市場,漢光里,"雲林縣西螺鎮漢光里建興路101-1號  ",1.0,150.0,西螺分局,616.0,,23.79609,120.45887,雲林縣西螺鎮漢光里建興路101-1號
滿固泠藏工廠,福田里,雲林縣西螺鎮福田里社口68-21號,1.0,105.0,西螺分局,617.0,,23.786883,120.431177
金農米公司,福田里,雲林縣西螺鎮福田里社口68-20號,1.0,122.0,西螺分局,618.0,,23.786996,120.4313306
鋐嶸金屬工業公司,福田里,雲林縣西螺鎮福田里社口68-18號,1.0,162.0,西螺分局,619.0,,23.78913,120.4336
,福興里,"雲林縣西螺鎮福興里修文路87巷3號  ",1.0,209.0,西螺分局,620.0,,23.80308,120.46312,雲林縣西螺鎮福興里修文路87巷3號
,福興里,"雲林縣西螺鎮福興里修文路87巷5號  ",1.0,209.0,西螺分局,621.0,,23.80308,120.46312,雲林縣西螺鎮福興里修文路87巷5號
西螺中央市場,福興里,雲林縣西螺鎮福興里中山路138號,1.0,1284.0,西螺分局,622.0,,23.800449,120.459947,雲林縣西螺鎮福興里中山路138號
育仁醫院,福興里,"雲林縣西螺鎮福興里延平路162號  ",1.0,419.0,西螺分局,623.0,,23.80139,120.46095,雲林縣西螺鎮福興里延平路162號
祥意大第,廣福里,雲林縣西螺鎮廣福里廣興路180號,1.0,938.0,西螺分局,624.0,,23.79387,120.46522,雲林縣西螺鎮廣福里廣興路180號
西螺鎮公所,廣福里,"雲林縣西螺鎮廣福里光復西路20號  ",1.0,620.0,西螺分局,625.0,,23.79793,120.4655,雲林縣西螺鎮廣福里光復西路20號
中山國小,廣福里,"雲林縣西螺鎮廣福里新街路2號  ",1.0,249.0,西螺分局,626.0,,23.79464,120.46534,雲林縣西螺鎮廣福里新街路2號
廣興國小,廣興里,雲林縣西螺鎮廣興里廣興59號,1.0,128.0,西螺分局,627.0,,23.7664,120.45867,雲林縣西螺鎮廣興里廣興59號
慈惠寺,港尾村,"雲林縣崙背鄉港尾村港尾48號  ",1.0,421.0,西螺分局,628.0,,23.74847,120.37528,雲林縣崙背鄉港尾村港尾48號
皇宮大旅社,羅厝村,"雲林縣崙背鄉羅厝村東興247號  ",1.0,41.0,西螺分局,629.0,,23.75673,120.36906,雲林縣崙背鄉羅厝村東興247號
