類別,電腦編號,村里別,地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FMA00026,潛園里,新竹市北區潛園里2鄰中山路196號,"24.8033638,120.9633436",36.0,第一分局,
一般住宅,FMA00027,潛園里,新竹市北區潛園里中山路198號,"24.8034681,120.963192",34.0,第一分局,
一般住宅,FMA00028,潛園里,新竹市北區潛園里中山路198號,"24.8034544,120.9632019",25.0,第一分局,
一般住宅,FMA00029,潛園里,新竹市北區潛園里中山路204號,"24.8032642,120.9631903",220.0,第一分局,
一般住宅,FMA00030,潛園里,新竹市北區潛園里西大路469巷25號,"24.8042527,120.963169",17.0,第一分局,
一般住宅,FMA00031,潛園里,新竹市北區潛園里西大路469巷7號,"24.80467,120.963103",176.0,第一分局,
一般住宅,FMA00032,潛園里,新竹市北區潛園里集和街65號,"24.8054105,120.9625299",260.0,第一分局,
一般住宅,FMA00033,潛園里,新竹市北區潛園里西大路471號,"24.8049883,120.9630843",142.0,第一分局,
一般住宅,FMA00034,潛園里,新竹市北區潛園里西大路473號,"24.804938,120.96291",53.0,第一分局,
一般住宅,FMA00035,潛園里,新竹市北區潛園里西大路469巷2號,"24.8048138,120.9629574",174.0,第一分局,
一般住宅,FMA00036,潛園里,新竹市北區潛園里集和街80號,"24.8052881,120.9627271",18.0,第一分局,
一般住宅,FMA00037,潛園里,新竹市北區潛園里和福街40號,"24.8046002,120.9624553",41.0,第一分局,
一般住宅,FMA00038,潛園里,新竹市北區潛園里西大路513號,"24.8059613,120.9623336",86.0,第一分局,
一般住宅,FMA00039,仁德里,新竹市北區仁德里世界街238號,"24.806115,120.963308",37.0,第一分局,
一般住宅,FMA00040,仁德里,新竹市北區仁德里長安街81號,"24.8066045,120.9652133",88.0,第一分局,
一般住宅,FMA00041,仁德里,新竹市北區仁德里長安街93號,"24.8072645,120.965049",117.0,第一分局,
一般住宅,FMA00042,仁德里,新竹市北區仁德里仁德街50號,"24.80673,120.9640636",162.0,第一分局,
一般住宅,FMA00043,仁德里,新竹市北區仁德里仁德街52號,"24.8067896,120.9639626",188.0,第一分局,
一般住宅,FMA00044,仁德里,新竹市北區仁德里長安街87號之3,"24.8069574,120.9652116",84.0,第一分局,
一般住宅,FMA00045,仁德里,新竹市北區仁德里世界街186巷4號,"24.8070391,120.9648318",72.0,第一分局,
一般住宅,FMA00046,仁德里,新竹市北區仁德里北大路255號,"24.8070972,120.964137",21.0,第一分局,
供公眾使用建築物,FMA00047,仁德里,新竹市北區仁德里北大路556號,"24.8015655,120.9601053",48.0,第一分局,
一般住宅,FMA00048,仁德里,新竹市北區仁德里北大路253號,"24.8071366,120.96416",24.0,第一分局,
一般住宅,FMA00049,仁德里,新竹市北區仁德里北大路299號,"24.8064875,120.963079",20.0,第一分局,
一般住宅,FMA00050,仁德里,新竹市北區仁德里北大路251號,"24.8071741,120.9641805",9.0,第一分局,
一般住宅,FMA00051,仁德里,新竹市北區仁德里北大路239號,"24.8074094,120.9645674",182.0,第一分局,
一般住宅,FMA00052,仁德里,新竹市北區仁德里長安街41號,"24.8057222,120.9652021",80.0,第一分局,
一般住宅,FMA00053,仁德里,新竹市北區仁德里長安街83號,"24.8067673,120.9652056",50.0,第一分局,
一般住宅,FMA00054,仁德里,新竹市北區仁德里北大路239巷17號,"24.8068789,120.964282",20.0,第一分局,
一般住宅,FMA00055,仁德里,新竹市北區仁德里長安街99號,"24.8072929,120.9648883",162.0,第一分局,
一般住宅,FMA00056,仁德里,新竹市北區仁德里北大路237號,"24.8074291,120.964589",24.0,第一分局,
一般住宅,FMA00057,仁德里,新竹市北區仁德里北大路307號,"24.8062624,120.9627978",1377.0,第一分局,
一般住宅,FMA00058,西門里,新竹市北區西門里西大路468號,"24.804612,120.9637638",33.0,第一分局,
一般住宅,FMA00060,西門里,新竹市北區西門里9鄰西大路476號,"24.7943598,120.9726225",25.0,第一分局,
一般住宅,FMA00061,西門里,新竹市北區西門里西大路462號,"24.8044811,120.9638463",16.0,第一分局,
一般住宅,FMA00062,西門里,新竹市北區西門里西大路464號,"24.8045078,120.9638094",26.0,第一分局,
一般住宅,FMA00063,西門里,新竹市北區西門里中山路114號,"24.804522,120.965034",28.0,第一分局,
一般住宅,FMA00064,西門里,新竹市北區西門里西大路460號,"24.8044389,120.9639071",22.0,第一分局,
一般住宅,FMA00065,西門里,新竹市北區西門里中山路112號,"24.8044785,120.9652292",65.0,第一分局,
一般住宅,FMA00066,西門里,新竹市北區西門里中山路116號,"24.8044906,120.9649892",29.0,第一分局,
一般住宅,FMA00067,西門里,新竹市北區西門里西大路506之2號,"24.8052041,120.963464",38.0,第一分局,
一般住宅,FMA00068,西門里,新竹市北區西門里仁化街37號,"24.8238676,120.9474747",38.0,第一分局,
一般住宅,FMA00069,西門里,新竹市北區西門里仁化街5號,"24.8238676,120.9474747",34.0,第一分局,
一般住宅,FMA00072,西門里,新竹市北區西門里中山路136號,"24.8042141,120.9646538",44.0,第一分局,
一般住宅,FMA00073,西門里,新竹市北區西門里5鄰仁化街26號,"24.8238676,120.9474747",29.0,第一分局,
一般住宅,FMA00075,中央里,新竹市北區中央里西安街31巷13號,"24.8033896,120.9651505",81.0,第一分局,
一般住宅,FMA00076,中央里,新竹市北區中央里西大路408號,"24.8029925,120.9649423",21.0,第一分局,
一般住宅,FMA00077,中央里,新竹市北區中央里西大路432號,"24.8036745,120.9647228",32.0,第一分局,
一般住宅,FMA00078,中央里,新竹市北區中央里西大路434號,"24.803713,120.964664",26.0,第一分局,
一般住宅,FMA00079,中央里,新竹市北區中央里中山路111號,"24.803821,120.964829",66.0,第一分局,
一般住宅,FMA00080,中央里,新竹市北區中央里西大路430號,"24.803665,120.964815",32.0,第一分局,
一般住宅,FMA00081,中央里,新竹市北區中央里西安街40號,"24.803919,120.965333",18.0,第一分局,
一般住宅,FMA00082,中央里,新竹市北區中央里中山路121號,"24.8037902,120.9644892",37.0,第一分局,
供公眾使用建築物,FMA00083,中央里,新竹市北區中央里西門街16號,"24.8032288,120.9659548",345.0,第一分局,
一般住宅,FMA00084,中央里,新竹市北區中央里西安街31巷5號,"24.8035707,120.9650066",52.0,第一分局,
一般住宅,FMA00085,中央里,新竹市北區中央里西門街46號,"24.8027973,120.9652722",18.0,第一分局,
一般住宅,FMA00086,中央里,新竹市北區中央里西門街18號,"24.8031949,120.9659011",22.0,第一分局,
供公眾使用建築物,FMA00087,中央里,新竹市北區中央里西門街148號,"24.8010917,120.9627794",733.0,第一分局,
一般住宅,FMA00088,中央里,新竹市北區中央里西大路430號,"24.803665,120.964815",29.0,第一分局,
一般住宅,FMA00089,石坊里,新竹市北區石坊里石坊街2號,"24.8024787,120.9641249",20.0,第一分局,
一般住宅,FMA00090,石坊里,新竹市北區石坊里西門街52號,"24.802731,120.964823",56.0,第一分局,
一般住宅,FMA00091,石坊里,新竹市北區石坊里西大路409號,"24.8034302,120.9642844",18.0,第一分局,
一般住宅,FMA00092,石坊里,新竹市北區石坊里石坊街17號,"24.8028032,120.9644414",30.0,第一分局,
一般住宅,FMA00093,石坊里,新竹市北區石坊里西門街64巷1號,"24.8024086,120.9646988",28.0,第一分局,
一般住宅,FMA00094,石坊里,新竹市北區石坊里西門街86號,"24.8021881,120.9641527",20.0,第一分局,
一般住宅,FMA00095,石坊里,新竹市北區石坊里勝利路300號,"24.8021008,120.9637807",25.0,第一分局,
一般住宅,FMA00096,石坊里,新竹市北區石坊里西門街82號,"24.8021412,120.9642904",34.0,第一分局,
一般住宅,FMA00097,石坊里,新竹市北區石坊里西門街84號,"24.8021678,120.9642606",26.0,第一分局,
一般住宅,FMA00098,石坊里,新竹市北區石坊里西大路369號,"24.8027133,120.9649226",42.0,第一分局,
一般住宅,FMA00099,石坊里,新竹市北區石坊里西門街68號,"24.8023905,120.96459",34.0,第一分局,
一般住宅,FMA00100,石坊里,新竹市北區石坊里中山路163號,"24.8030593,120.9634314",482.0,第一分局,
一般住宅,FMA00101,石坊里,新竹市北區石坊里中山路153號,"24.8032808,120.9636782",810.0,第一分局,
一般住宅,FMA00102,興南里,新竹市北區興南里勝利路150巷235號,"24.8003513,120.9673422",134.0,第一分局,
一般住宅,FMA00103,興南里,新竹市北區興南里興南街1-3號,"24.8007196,120.96402",78.0,第一分局,
一般住宅,FMA00104,興南里,新竹市北區興南里西門街150巷3號,"24.8012692,120.9623224",8.0,第一分局,
一般住宅,FMA00105,興南里,新竹市北區興南里勝利路247號,"24.8025936,120.963114",149.0,第一分局,
一般住宅,FMA00106,興南里,新竹市北區興南里興南街2弄2-8號,"24.8010156,120.9640642",314.0,第一分局,
一般住宅,FMA00107,興南里,新竹市北區興南里德成街30號,"24.800456,120.963912",25.0,第一分局,
一般住宅,FMA00108,興南里,新竹市北區興南里德成街6-1號,"24.8009142,120.9645107",2784.0,第一分局,
一般住宅,FMA00109,興南里,新竹市北區興南里勝利路231號,"24.8021996,120.9633532",205.0,第一分局,
一般住宅,FMA00110,興南里,新竹市北區興南里西門街129號,"24.8012444,120.9632621",130.0,第一分局,
供公眾使用建築物,FMA00111,興南里,新竹市北區興南里西門街165號,"24.8007805,120.9631403",33.0,第一分局,
一般住宅,FMA00112,興南里,新竹市北區興南里中山路221號之3,"24.802015,120.9619187",45.0,第一分局,
供公眾使用建築物,FMA00113,興南里,新竹市北區興南里西門街116號,"24.8017248,120.9635931",1026.0,第一分局,
一般住宅,FMA00114,興南里,新竹市北區興南里中山路241號之1,"24.801635,120.961501",18.0,第一分局,
一般住宅,FMA00115,興南里,新竹市北區興南里西門街106號,"24.801776,120.9636946",26.0,第一分局,
一般住宅,FMA00116,興南里,新竹市北區興南里中山路239-6號,"24.8014621,120.962028",452.0,第一分局,
一般住宅,FMA00117,興南里,新竹市北區興南里西門街201巷9-11號,"24.7998644,120.9624568",65.0,第一分局,
一般住宅,FMA00118,興南里,新竹市北區興南里中山路211號,"24.802205,120.9621488",18.0,第一分局,
供公眾使用建築物,FMA00119,興南里,新竹市北區興南里西門街146號,"24.8014392,120.9631362",1356.0,第一分局,
一般住宅,FMA00120,興南里,新竹市北區興南里中山路245、247號,"24.8017985,120.9613508",120.0,第一分局,
一般住宅,FMA00121,興南里,新竹市北區興南里勝利路219號,"24.8019655,120.9635097",24.0,第一分局,
供公眾使用建築物,FMA00122,興南里,新竹市北區興南里西門街120號,"24.8016053,120.9634921",44.0,第一分局,
一般住宅,FMA00123,興南里,新竹市北區興南里西門街15-19號,"24.8031115,120.9660598",78.0,第一分局,
一般住宅,FMA00124,興南里,新竹市北區興南里西門街150巷30號,"24.8019115,120.9621991",42.0,第一分局,
一般住宅,FMA00125,興南里,新竹市北區興南里德成街28號之2,"24.800497,120.963939",38.0,第一分局,
一般住宅,FMA00126,興南里,新竹市北區興南里興南街51號之2,"24.8021575,120.9627028",97.0,第一分局,
一般住宅,FMA00127,興南里,新竹市北區興南里德成街26號,"24.800528,120.963961",18.0,第一分局,
一般住宅,FMA00128,興南里,新竹市北區興南里中山路239-6號,"24.8014621,120.962028",452.0,第一分局,
一般住宅,FMA00129,育英里,新竹市北區育英里中山路251號,"24.8015807,120.9612646",52.0,第一分局,
一般住宅,FMA00130,育英里,新竹市北區育英里中山路259號,"24.8014781,120.961101",98.0,第一分局,
一般住宅,FMA00131,育英里,新竹市北區育英里中山路269號,"24.8013112,120.961045",160.0,第一分局,
一般住宅,FMA00132,育英里,新竹市北區育英里四維路57號,"24.8008106,120.9609477",25.0,第一分局,
一般住宅,FMA00133,育英里,新竹市北區育英里四維路63號,"24.8004728,120.9610174",1029.0,第一分局,
供公眾使用建築物,FMA00134,育英里,新竹市北區育英里四維路77號,"24.8007763,120.9607753",40.0,第一分局,
一般住宅,FMA00135,育英里,新竹市北區育英里四維路83巷2號,"24.8008361,120.9606249",97.0,第一分局,
一般住宅,FMA00136,育英里,新竹市北區育英里四維路89巷2號,"24.8009716,120.9606682",50.0,第一分局,
一般住宅,FMA00137,育英里,新竹市北區育英里四維路91號,"24.8010304,120.9605893",1361.0,第一分局,
一般住宅,FMA00138,育英里,新竹市北區育英里中山路329號,"24.8007481,120.959409",18.0,第一分局,
一般住宅,FMA00139,育英里,新竹市北區育英里中山路329號,"24.8007481,120.959409",86.0,第一分局,
一般住宅,FMA00140,育英里,新竹市北區育英里中山路371號,"24.8003886,120.9586582",33.0,第一分局,
一般住宅,FMA00141,育英里,新竹市北區育英里中山路375號,"24.800401,120.9585482",88.0,第一分局,
一般住宅,FMA00142,育英里,新竹市北區育英里中山路377號,"24.8003833,120.9585129",122.0,第一分局,
一般住宅,FMA00143,育英里,新竹市北區育英里中山路393巷3號,"24.800039,120.9584956",30.0,第一分局,
一般住宅,FMA00144,育英里,新竹市北區育英里中山路393巷9號,"24.8000241,120.9586134",217.0,第一分局,
一般住宅,FMA00145,育英里,新竹市北區育英里林森路213號,"24.7986014,120.963833",264.0,第一分局,
公有建築物,FMA00146,育英里,新竹市北區育英里17鄰四維路47號,"24.7997382,120.9616313",374.0,第一分局,
一般住宅,FMA00147,育英里,新竹市北區育英里林森路242號,"24.7982888,120.9625606",106.0,第一分局,
一般住宅,FMA00148,育英里,新竹市北區育英里林森路244號,"24.7982425,120.9624863",112.0,第一分局,
一般住宅,FMA00149,育英里,新竹市北區育英里林森路246號,"24.7981757,120.9625129",78.0,第一分局,
一般住宅,FMA00150,育英里,新竹市北區育英里林森路248號,"24.7981961,120.962411",162.0,第一分局,
一般住宅,FMA00151,育英里,新竹市北區育英里林森路252號,"24.7980054,120.9624539",69.0,第一分局,
一般住宅,FMA00152,育英里,新竹市北區育英里林森路278號,"24.797656,120.9619183",78.0,第一分局,
一般住宅,FMA00153,育英里,新竹市北區育英里林森路280號,"24.7977059,120.9617382",52.0,第一分局,
一般住宅,FMA00154,育英里,新竹市北區育英里林森路302號,"24.7973599,120.961438",402.0,第一分局,
供公眾使用建築物,FMA00155,育英里,新竹市北區育英里林森路310號,"24.7975279,120.9612019",236.0,第一分局,
一般住宅,FMA00156,育英里,新竹市北區育英里西門街201巷24-26號,"24.7995295,120.9625572",178.0,第一分局,
供公眾使用建築物,FMA00157,育英里,新竹市北區育英里四維路58號,"24.7990634,120.962502",184.0,第一分局,
一般住宅,FMA00158,育英里,新竹市北區育英里四維路21巷31-39號,"24.797966,120.96184",234.0,第一分局,
一般住宅,FMA00159,育英里,新竹市北區育英里中華路三段122巷32號,"24.796903,120.9600576",122.0,第一分局,
一般住宅,FMA00160,育英里,新竹市北區育英里中華路三段110巷13號,"24.7968569,120.9604699",1810.0,第一分局,
一般住宅,FMA00161,育英里,新竹市北區育英里四維路50號,"24.7988529,120.9626332",613.0,第一分局,
公有建築物,FMA00162,育英里,新竹市北區育英里17鄰四維路47號,"24.7997382,120.9616313",169.0,第一分局,
一般住宅,FMA00163,育英里,新竹市北區育英里林森路210巷8-3號,"24.7990026,120.9630145",109.0,第一分局,
一般住宅,FMA00164,育英里,新竹市北區育英里林森路210巷2-1號,"24.7988426,120.9631704",138.0,第一分局,
一般住宅,FMA00165,育英里,新竹市北區育英里林森路210巷8-1號,"24.7988437,120.9630822",148.0,第一分局,
一般住宅,FMA00166,育英里,新竹市北區育英里林森路210巷6-8號,"24.7987504,120.9630955",100.0,第一分局,
一般住宅,FMA00167,育英里,新竹市北區育英里四維路33號,"24.7988707,120.9622452",17.0,第一分局,
一般住宅,FMA00168,育英里,新竹市北區育英里四維路17號,"24.7982114,120.9627237",120.0,第一分局,
供公眾使用建築物,FMA00169,育英里,新竹市北區育英里四維路45號,"24.7991392,120.9619862",114.0,第一分局,
公有建築物,FMA00170,育英里,新竹市北區育英里17鄰四維路47號,"24.7997382,120.9616313",157.0,第一分局,
公有建築物,FMA00171,育英里,新竹市北區育英里17鄰四維路47號,"24.7997382,120.9616313",150.0,第一分局,
公有建築物,FMA00172,育英里,新竹市北區育英里17鄰四維路47號,"24.7997382,120.9616313",130.0,第一分局,
一般住宅,FMA00173,育英里,新竹市北區育英里林森路240號,"24.798318,120.962603",106.0,第一分局,
一般住宅,FMA00174,台溪里,新竹市北區台溪里中華路三段2號,"24.7972419,120.963352",2422.0,第一分局,
一般住宅,FMA00175,台溪里,新竹市北區台溪里中山路451號,"24.79835,120.9567099",972.0,第一分局,
一般住宅,FMA00176,台溪里,新竹市北區台溪里中華路三段42號,"24.7973232,120.9626457",2966.0,第一分局,
一般住宅,FMA00177,台溪里,新竹市北區台溪里中華路三段9號,"24.7969422,120.9634195",1442.0,第一分局,
一般住宅,FMA00178,台溪里,新竹市北區台溪里四維路8號,"24.7976564,120.9635547",1578.0,第一分局,
一般住宅,FMA00179,台溪里,新竹市北區台溪里中華路三段228號,"24.7967283,120.956438",121.0,第一分局,
一般住宅,FMA00180,台溪里,新竹市北區台溪里中華路三段224號,"24.796799,120.9565604",124.0,第一分局,
一般住宅,FMA00181,台溪里,新竹市北區台溪里中華路三段202號,"24.7967471,120.95706",66.0,第一分局,
一般住宅,FMA00182,台溪里,新竹市北區台溪里中華路三段196號,"24.7968679,120.9570994",66.0,第一分局,
一般住宅,FMA00183,台溪里,新竹市北區台溪里中華路三段85號,"24.7967165,120.9615579",434.0,第一分局,
一般住宅,FMA00184,台溪里,新竹市北區台溪里中華路三段50號,"24.7971089,120.9622712",417.0,第一分局,
一般住宅,FMA00185,台溪里,新竹市北區台溪里中華路三段93號,"24.7966001,120.9612736",13.0,第一分局,
一般住宅,FMA00186,台溪里,新竹市北區台溪里中華路三段2號,"24.7972921,120.9633891",396.0,第一分局,
一般住宅,FMA00187,台溪里,新竹市北區台溪里中華路三段37號,"24.7968942,120.9626717",102.0,第一分局,
一般住宅,FMA00188,台溪里,新竹市北區台溪里中華路三段109號,"24.7966029,120.960953",24.0,第一分局,
一般住宅,FMA00189,台溪里,新竹市北區台溪里中華路三段66號,"24.7970479,120.9618841",102.0,第一分局,
一般住宅,FMA00190,台溪里,新竹市北區台溪里四維路15號,"24.7982128,120.962726",112.0,第一分局,
一般住宅,FMA00191,台溪里,新竹市北區台溪里中華路三段101號,"24.7966051,120.961143",296.0,第一分局,
一般住宅,FMA00192,台溪里,新竹市北區台溪里中華路三段128號,"24.7969001,120.9599294",1194.0,第一分局,
一般住宅,FMA00193,曲溪里,新竹市北區曲溪里崧嶺路57巷41號,"24.7935302,120.9547531",3532.0,第一分局,
一般住宅,FMA00194,曲溪里,新竹市北區曲溪里崧嶺路128巷46號,"24.7911881,120.9533166",86.0,第一分局,
一般住宅,FMA00195,曲溪里,新竹市北區曲溪里崧嶺路181號,"24.7913331,120.9543941",793.0,第一分局,
一般住宅,FMA00196,客雅里,"新竹市北區客雅里延平路一段 214巷34弄14-18號","24.805972,120.9539989",4201.0,第一分局,
一般住宅,FMA00197,客雅里,新竹市北區客雅里延平路一段244、246號,"24.8051488,120.953302",181.0,第一分局,
一般住宅,FMA00198,客雅里,新竹市北區客雅里經國路二段462號,"24.8058724,120.9556744",169.0,第一分局,
一般住宅,FMA00199,客雅里,"新竹市北區客雅里延平路一段 214巷34弄6號","24.8058847,120.9539021",330.0,第一分局,
一般住宅,FMA00200,客雅里,新竹市北區客雅里經國路二段635號,"24.8016767,120.9548806",101.0,第一分局,
一般住宅,FMA00201,客雅里,"新竹市北區客雅里延平路一段 214巷34弄43號","24.806381,120.953445",606.0,第一分局,
一般住宅,FMA00202,客雅里,新竹市北區客雅里經國路二段637號,"24.8016724,120.9548111",122.0,第一分局,
一般住宅,FMA00203,客雅里,新竹市北區客雅里經國路二段639號,"24.8015735,120.9547923",217.0,第一分局,
一般住宅,FMA00204,客雅里,新竹市北區客雅里經國路二段494號,"24.8052406,120.9555095",30.0,第一分局,
一般住宅,FMA00205,客雅里,新竹市北區客雅里經國路二段649號,"24.8013731,120.954651",77.0,第一分局,
一般住宅,FMA00206,中雅里,新竹市北區中雅里11鄰中和路117號,"24.8018964,120.9549459",1462.0,第一分局,
一般住宅,FMA00207,客雅里,新竹市北區客雅里經國路二段626號,"24.801484,120.954033",46.0,第一分局,
一般住宅,FMA00208,西雅里,新竹市北區西雅里北新街39巷40號,"24.8018292,120.957792",22.0,第一分局,
一般住宅,FMA00209,西雅里,新竹市北區西雅里中山路334巷28弄2號,"24.8013251,120.9601194",44.0,第一分局,
一般住宅,FMA00210,西雅里,新竹市北區西雅里中山路378巷9號,"24.8009193,120.9585996",49.0,第一分局,
公有建築物,FMA00211,西雅里,新竹市北區西雅里1鄰北大路450號,"24.8026949,120.9596744",1350.0,第一分局,
一般住宅,FMA00212,西雅里,新竹市北區西雅里北新街45-47號,"24.802308,120.958013",88.0,第一分局,
一般住宅,FMA00213,西雅里,新竹市北區西雅里北新街1-1號,"24.802031,120.9595778",44.0,第一分局,
一般住宅,FMA00214,西雅里,新竹市北區西雅里中山路344巷11號,"24.801476,120.959338",224.0,第一分局,
一般住宅,FMA00215,西雅里,新竹市北區西雅里北新街39巷19號,"24.8018813,120.9579062",77.0,第一分局,
一般住宅,FMA00216,西雅里,新竹市北區西雅里北新街3號,"24.802009,120.9595695",77.0,第一分局,
一般住宅,FMA00217,西雅里,新竹市北區西雅里北大路468號,"24.8016646,120.9600781",625.0,第一分局,
一般住宅,FMA00218,西雅里,新竹市北區西雅里中和路20號,"24.800744,120.9575336",968.0,第一分局,
一般住宅,FMA00219,西雅里,新竹市北區西雅里中山路344巷28弄1號,"24.8013221,120.9584453",258.0,第一分局,
一般住宅,FMA00220,西雅里,新竹市北區西雅里北新街41號,"24.8024077,120.958163",30.0,第一分局,
一般住宅,FMA00221,西雅里,新竹市北區西雅里延平路一段113巷21號,"24.803444,120.957944",70.0,第一分局,
一般住宅,FMA00222,西雅里,新竹市北區西雅里中山路26號,"24.8059243,120.9672917",198.0,第一分局,
一般住宅,FMA00223,西雅里,新竹市北區西雅里北新街23巷1號,"24.8021957,120.9589498",28.0,第一分局,
一般住宅,FMA00224,西雅里,新竹市北區西雅里北新街23巷7號,"24.8021957,120.9589498",433.0,第一分局,
一般住宅,FMA00225,西雅里,新竹市北區西雅里中山路344巷12號,"24.8014499,120.959642",18.0,第一分局,
一般住宅,FMA00226,西雅里,新竹市北區西雅里中和路14號,"24.8006042,120.9578922",21.0,第一分局,
一般住宅,FMA00227,西雅里,新竹市北區西雅里民富街263號,"24.8032716,120.957605",54.0,第一分局,
公有建築物,FMA00228,西雅里,新竹市北區西雅里1鄰北大路450號,"24.8026949,120.9596744",105.0,第一分局,
一般住宅,FMA00229,西雅里,新竹市北區西雅里北新街37號,"24.802386,120.9582997",40.0,第一分局,
一般住宅,FMA00230,西雅里,新竹市北區西雅里中山路344巷28弄6號,"24.8015773,120.9584054",54.0,第一分局,
一般住宅,FMA00231,西雅里,新竹市北區西雅里中和路68號,"24.8014712,120.9566076",130.0,第一分局,
一般住宅,FMA00232,西雅里,新竹市北區西雅里民富街218號,"24.8026949,120.9596744",294.0,第一分局,
一般住宅,FMA00233,西雅里,新竹市北區西雅里中山路446號,"24.7997261,120.9573948",30.0,第一分局,
一般住宅,FMA00234,西雅里,新竹市北區西雅里中和路95巷6弄10號,"24.8015064,120.9554652",22.0,第一分局,
一般住宅,FMA00235,西雅里,新竹市北區西雅里延平路一段113巷72號,"24.8024395,120.9566525",24.0,第一分局,
一般住宅,FMA00236,西雅里,新竹市北區西雅里中山路432號,"24.799947,120.9574929",16.0,第一分局,
一般住宅,FMA00237,西雅里,新竹市北區西雅里中山路426號,"24.800037,120.9575972",17.0,第一分局,
一般住宅,FMA00238,西雅里,新竹市北區西雅里中和路51號,"24.8009864,120.9568518",678.0,第一分局,
一般住宅,FMA00239,西雅里,新竹市北區西雅里民富街329號,"24.8007181,120.9563994",36.0,第一分局,
一般住宅,FMA00240,南勢里,新竹市北區南勢里延平路一段401巷2號,"24.8047274,120.9479377",258.0,第一分局,
一般住宅,FMA00241,南勢里,新竹市北區南勢里延平路一段312巷12號,"24.8057029,120.9518356",748.0,第一分局,
一般住宅,FMA00242,南勢里,新竹市北區南勢里延平路一段312巷25號,"24.8059839,120.9507323",33.0,第一分局,
公有建築物,FMA00243,曲溪里,新竹市北區曲溪里崧嶺路40號,"24.7950737,120.9555067",500.0,第一分局,
一般住宅,FMA00244,曲溪里,新竹市北區曲溪里崧嶺路62號,"24.7945926,120.9545458",88.0,第一分局,
一般住宅,FMA00245,曲溪里,新竹市北區曲溪里崧嶺路35巷176號,"24.7948029,120.9559442",254.0,第一分局,
一般住宅,FMA00246,曲溪里,新竹市北區曲溪里崧嶺路35巷144號,"24.7948029,120.9559442",252.0,第一分局,
