電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備駐
QOA00064,新龍村,屏東縣枋寮鄉新龍村義民路3號,"22.371104309922824, 120.59068519089632",1.0,1682.0,枋寮分局,共有3處、總計可容納人數2750人
QOA00065,新龍村,屏東縣枋寮鄉新龍村義民路3號,"22.371729791272987, 120.59083276668959",1.0,522.0,枋寮分局,共有3處、總計可容納人數2750人
QOA00012,隆山村,屏東縣枋寮鄉隆山村隆山路111號,"22.3643244236103, 120.59800027960117",1.0,106.0,枋寮分局,
QOA00007,隆山村,屏東縣枋寮鄉隆山村隆山路164-1號,"22.36459445919382, 120.59978926664903",1.0,66.0,枋寮分局,
QOA00008,隆山村,屏東縣枋寮鄉隆山村隆山路257號,"22.36674933942049, 120.60242906187483",1.0,66.0,枋寮分局,
QOA00050,隆山村,屏東縣枋寮鄉隆山村僑德路186號,"22.36301209895829, 120.60040407006815",1.0,592.0,枋寮分局,
QOA00006,隆山村,屏東縣枋寮鄉隆山村中山路36號,"22.357663839347747, 120.60041348653066",1.0,20.0,枋寮分局,
QOA00080,中寮村,屏東縣枋寮鄉中寮村保安路215號,"22.36167843638306, 120.59619297876472",1.0,392.0,枋寮分局,
QOA00005,安樂村,屏東縣枋寮鄉安樂村安樂路6巷口,"22.3604380426715, 120.59913953338334",1.0,133.0,枋寮分局,
QOA00081,安樂村,屏東縣枋寮鄉安樂村隆山路59號,"22.363999918152242, 120.59657761769569",1.0,408.0,枋寮分局,
QOA00014,安樂村,屏東縣枋寮鄉安樂村中山路139號,"22.363925212678176, 120.59634309104872",1.0,200.0,枋寮分局,
QOA00016,地利村,屏東縣枋寮鄉地利村建興路286號,"22.387079283863525, 120.59453732843987",1.0,66.0,枋寮分局,
QOA00073,東海村,屏東縣枋寮鄉東海村東海路433號,"22.40141970436758, 120.57818967766691",1.0,225.0,枋寮分局,
QOA00086,東海村,屏東縣枋寮鄉東海村臨海路二段112號,"22.40577662795099, 120.5710038775871",1.0,544.0,枋寮分局,
QOA00017,東海村,屏東縣枋寮鄉東海村屏南路17號,"22.410038376793803, 120.57750714678996",1.0,233.0,枋寮分局,
QOA00031,東海村,屏東縣枋寮鄉東海村屏南路23號,"22.411933461843706, 120.57720439008126",1.0,168.0,枋寮分局,
QOA00020,東海村,屏東縣枋寮鄉東海村屏南路25號,"22.411422575385107, 120.57694765784188",1.0,122.0,枋寮分局,
QOA00055,東海村,屏東縣枋寮鄉東海村屏南路36號,"22.411865272477154, 120.57726138701912",1.0,310.0,枋寮分局,
QOA00021,東海村,屏東縣枋寮鄉東海村精進路17號,"22.408918251110087, 120.57763315015708",1.0,110.0,枋寮分局,
QOA00083,東海村,屏東縣枋寮鄉東海村精進路22號,"22.408089713879345, 120.57882303419464",1.0,516.0,枋寮分局,
QOA00018,東海村,屏東縣枋寮鄉東海村精進路24號,"22.40771899075233, 120.57767417428015",1.0,133.0,枋寮分局,
QOA00027,東海村,屏東縣枋寮鄉東海村精進路26號,"22.407716613511795, 120.57772217364132",1.0,200.0,枋寮分局,
QOA00026,東海村,屏東縣枋寮鄉東海村精進路30號,"22.40890715591766, 120.57762399383513",1.0,41.0,枋寮分局,
QOA00032,東海村,屏東縣枋寮鄉東海村精進路33號,"22.40664213432289, 120.57458209874497",1.0,166.0,枋寮分局,
QOA00074,東海村,屏東縣枋寮鄉東海村永翔路2號,"22.41466810396171, 120.58320378657656",1.0,64.0,枋寮分局,
QOA00056,東海村,屏東縣枋寮鄉東海村永翔路2-6號,"22.413497612922765, 120.58080900492713",1.0,842.0,枋寮分局,共有2處、總計可容納人數1394人
QOA00057,東海村,屏東縣枋寮鄉東海村永翔路2-6號,"22.41341983050144, 120.58114555907841",1.0,552.0,枋寮分局,共有2處、總計可容納人數1394人
QOA00019,東海村,屏東縣枋寮鄉東海村永翔路2-8號,"22.413036145796067, 120.57935181047873",1.0,100.0,枋寮分局,
QOA00025,東海村,屏東縣枋寮鄉東海村永翔路4-5號,"22.4117258227107, 120.57513689679709",1.0,128.0,枋寮分局,
QOA00023,東海村,屏東縣枋寮鄉東海村永翔路25號,"22.411487666221028, 120.57551004230079",1.0,366.0,枋寮分局,
QOA00028,東海村,屏東縣枋寮鄉東海村永翔路27號,"22.41108982668355, 120.57405104640364",1.0,450.0,枋寮分局,
QOA00029,東海村,屏東縣枋寮鄉東海村永翔路49號,"22.408030013164673, 120.57015966246723",1.0,100.0,枋寮分局,
QOA00084,太源村,屏東縣枋寮鄉太源村中山路三段55號,"22.406105237638993, 120.5869893080577",1.0,420.0,枋寮分局,共有2處、總計可容納人數869人
QOA00085,太源村,屏東縣枋寮鄉太源村中山路三段55號,"22.406913090467484, 120.58708024778787",1.0,449.0,枋寮分局,共有2處、總計可容納人數869人
QOA00024,太源村,屏東縣枋寮鄉太源村中山路三段63號,"22.410332246580577, 120.58625096050007",1.0,136.0,枋寮分局,
QOA00030,太源村,屏東縣枋寮鄉太源村中山路三段65號,"22.412155886735338, 120.58574484195913",1.0,266.0,枋寮分局,
QOA00022,太源村,屏東縣枋寮鄉太源村中山路三段101號,"22.41760460913955, 120.58373645721355",1.0,133.0,枋寮分局,
QOA00036,佳冬村,屏東縣佳冬鄉佳冬村文化三路24號,"22.419705246911686, 120.5533482472843",1.0,52.0,枋寮分局,
QOA00033,佳冬村,屏東縣佳冬鄉佳冬村文化三路157號,"22.416112246304014, 120.55301674088486",1.0,266.0,枋寮分局,
QOA00049,佳冬村,屏東縣佳冬鄉佳冬村佳昌路2號,"22.419208838374942, 120.55242188358226",1.0,178.0,枋寮分局,
QOA00037,佳冬村,屏東縣佳冬鄉佳冬村佳農街67號,"22.412838004703513, 120.56369501216749",1.0,458.0,枋寮分局,共有6處、總計可容納人數3183人
QOA00038,佳冬村,屏東縣佳冬鄉佳冬村佳農街67號,"22.412829848674043, 120.56392263196923",1.0,474.0,枋寮分局,共有6處、總計可容納人數3183人
QOA00039,佳冬村,屏東縣佳冬鄉佳冬村佳農街67號,"22.413127414335673, 120.5637077192999",1.0,686.0,枋寮分局,共有6處、總計可容納人數3183人
QOA00075,佳冬村,屏東縣佳冬鄉佳冬村佳農街67號,"22.41321992710482, 120.56344230990572",1.0,153.0,枋寮分局,共有6處、總計可容納人數3183人
QOA00076,佳冬村,屏東縣佳冬鄉佳冬村佳農街67號,"22.413356684998522, 120.56394267187837",1.0,1364.0,枋寮分局,共有6處、總計可容納人數3183人
QOA00077,佳冬村,屏東縣佳冬鄉佳冬村佳農街67號,"22.413630200382066, 120.56468668837675",1.0,48.0,枋寮分局,共有6處、總計可容納人數3183人
QOA00034,羌園村,屏東縣佳冬鄉羌園村內館路3之19號,"22.42981862354795, 120.5258555402257",1.0,102.0,枋寮分局,
QOA00071,六根村,屏東縣佳冬鄉六根村復興路21號,"22.414097353399036, 120.54774292888632",1.0,260.0,枋寮分局,
QOA00035,六根村,屏東縣佳冬鄉六根村佳和路87-1號,"22.41471211530625, 120.54946024620509",1.0,106.0,枋寮分局,
QOA00041,萬建村,屏東縣佳冬鄉萬建村文化二路106號,"22.422048468302275, 120.56026438715153",1.0,133.0,枋寮分局,
QOA00040,萬建村,屏東縣佳冬鄉萬建村文化二路108號,"22.422056104812714, 120.56021767904369",1.0,200.0,枋寮分局,
QOA00067,加祿村,屏東縣枋山鄉加祿村會社28號,"22.330299082267018, 120.62093648886801",1.0,369.0,枋寮分局,
QOA00066,加祿村,屏東縣枋山鄉加祿村會社路53號,"22.331001217649735, 120.6245644397234",1.0,213.0,枋寮分局,
QOA00043,善餘村,屏東縣枋山鄉善餘村德隆113號,"22.193128402040706, 120.6907568304535",1.0,110.0,枋寮分局,
QOA00045,善餘村,屏東縣枋山鄉善餘村光復路24號,"22.190664582196842, 120.69254523945743",1.0,301.0,枋寮分局,共有3處、總計可容納人數629人
QOA00069,善餘村,屏東縣枋山鄉善餘村光復路24號,"22.190519548686876, 120.69212754598463",1.0,156.0,枋寮分局,共有3處、總計可容納人數629人
QOA00070,善餘村,屏東縣枋山鄉善餘村光復路24號,"22.191035222708663, 120.69228853201061",1.0,172.0,枋寮分局,共有3處、總計可容納人數629人
QOA00042,楓港村,屏東縣枋山鄉楓港村舊庄路27號,"22.195337987155224, 120.69188885523106",1.0,68.0,枋寮分局,
QOA00046,楓林村,屏東縣獅子鄉楓林村楓林二巷26號,"22.20238775155589, 120.70531602944428",1.0,160.0,枋寮分局,
QOA00047,竹坑村,屏東縣獅子鄉竹坑村竹坑路60號,"22.16708062403133, 120.69681828673092",1.0,1633.0,枋寮分局,
QOA00048,內獅村,屏東縣獅子鄉內獅村內獅巷82號,"22.273099201822646, 120.65666830985694",1.0,53.0,枋寮分局,
QOA00068,內獅村,屏東縣獅子鄉內獅村內獅巷84號,"22.26705034040527, 120.65953779754335",1.0,320.0,枋寮分局,
QOA00082,春日村,屏東縣春日鄉春日村春日路98-1號,"22.36845415926574, 120.62396034631203",1.0,378.0,枋寮分局,
