電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
708.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.78826, 120.26005",1.0,909.0,臺西分局,
709.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.78826, 120.26005",1.0,4610.0,臺西分局,
710.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.78826, 120.26005",1.0,495.0,臺西分局,
711.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,132.0,臺西分局,
712.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,107.0,臺西分局,
713.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,206.0,臺西分局,
714.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,1489.0,臺西分局,
715.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,54.0,臺西分局,
716.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,120.0,臺西分局,
717.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,132.0,臺西分局,
718.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,281.0,臺西分局,
719.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,132.0,臺西分局,
720.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,4357.0,臺西分局,
721.0,三盛村,麥寮鄉三盛村工業園區號十七號,"23.797, 120.26525",1.0,1753.0,臺西分局,
722.0,三盛村,麥寮鄉三盛村工業園區路17號,"23.7912, 120.25252",1.0,180.0,臺西分局,
723.0,三盛村,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,677.0,臺西分局,
724.0,三盛村,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,1475.0,臺西分局,
725.0,三盛村,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,369.0,臺西分局,
726.0,三盛村,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,1252.0,臺西分局,
727.0,三盛村,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,135.0,臺西分局,
728.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,873.0,臺西分局,
729.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,722.0,臺西分局,
730.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,1396.0,臺西分局,
731.0,三盛村,麥寮鄉三盛村工業園區路1之1號,"23.79846, 120.21764",1.0,5320.0,臺西分局,
732.0,三盛村,麥寮鄉三盛村工業園區路5號,"23.79922, 120.26217",1.0,1022.0,臺西分局,
733.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,302.0,臺西分局,
734.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,410.0,臺西分局,
735.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,166.0,臺西分局,
736.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,1256.0,臺西分局,
737.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,541.0,臺西分局,
738.0,三盛村,麥寮鄉三盛村許厝路31之205號,"23.80137, 120.24348",1.0,1120.0,臺西分局,
739.0,三盛村,麥寮鄉三盛村許厝31之200號,"23.80137, 120.24348",1.0,752.0,臺西分局,
740.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,306.0,臺西分局,
741.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,853.0,臺西分局,
742.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,3799.0,臺西分局,
743.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,1197.0,臺西分局,
744.0,三盛村,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,1087.0,臺西分局,
745.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,5460.0,臺西分局,
746.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,1265.0,臺西分局,
747.0,三盛村,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,1229.0,臺西分局,
748.0,三盛村,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,105.0,臺西分局,
749.0,三盛村,麥寮鄉三盛村31-200號,"23.79136, 120.24804",1.0,117.0,臺西分局,
750.0,三盛村,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,317.0,臺西分局,
751.0,三盛村,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,552.0,臺西分局,
752.0,三盛村,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,302.0,臺西分局,
753.0,三盛村,麥寮鄉三盛村31-200號,"23.79136, 120.24804",1.0,2942.0,臺西分局,
754.0,三盛村,麥寮鄉三盛村工業園區路5號,"23.79922, 120.26217",1.0,366.0,臺西分局,
755.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.74997, 120.25386",1.0,89.0,臺西分局,
756.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,131.0,臺西分局,
757.0,三盛村,麥寮鄉三盛村工業園區路3-1號,"23.79846, 120.21764",1.0,881.0,臺西分局,
758.0,三盛村,麥寮鄉三盛村工業園區路3-1號,"23.79846, 120.21764",1.0,159.0,臺西分局,
759.0,三盛村,麥寮鄉三盛村工業園區路52號,"23.79846, 120.21764",1.0,876.0,臺西分局,
760.0,三盛村,麥寮鄉三盛村工業園區路52號,"23.79846, 120.21764",1.0,1066.0,臺西分局,
761.0,五港村,臺西鄉五港村中央路271號,"23.71718, 120.19933",1.0,588.0,臺西分局,
762.0,五港村,臺西鄉五港村五港路505號,"23.71705, 120.20169",1.0,53.0,臺西分局,
763.0,四湖村,"四湖鄉四湖村中山東路 37號","23.63707, 120.22951",1.0,493.0,臺西分局,
764.0,四湖村,四湖鄉四湖村中山東路5號,"23.6369, 120.2327",1.0,160.0,臺西分局,
765.0,永豐村,臺西鄉永豐村崙豐路47號,"23.72044, 120.20917",1.0,126.0,臺西分局,
766.0,東北村,東勢鄉東北村東勢東路300號,"23.67455, 120.26049",1.0,116.0,臺西分局,
767.0,東北村,東勢鄉東北村東勢東路349號,"23.67661, 120.26253",1.0,182.0,臺西分局,
768.0,東南村,東勢鄉東南村民生路56號,"23.6758, 120.25382",1.0,456.0,臺西分局,
769.0,東南村,東勢鄉東南村懷恩街46號,"23.67705, 120.25214",1.0,194.0,臺西分局,
770.0,施厝村,麥寮鄉施厝村施厝65之1至3號,"23.79104, 120.28876",1.0,1778.0,臺西分局,
772.0,海南村,臺西鄉海南村民生路78號,"23.69815, 120.19939",1.0,133.0,臺西分局,
773.0,海南村,臺西鄉海南村民族路299號,"23.68976, 120.1989",1.0,125.0,臺西分局,
774.0,麥津村,"麥寮鄉麥津村中山路208號 ","23.74874, 120.25573",1.0,250.0,臺西分局,
775.0,麥津村,"麥寮鄉麥津村中興路109號 ","23.75316, 120.25195",1.0,20.0,臺西分局,
776.0,麥津村,"麥寮鄉麥津村中山路204號 ","23.74862, 120.25602",1.0,174.0,臺西分局,
777.0,麥津村,"麥寮鄉麥津村中興路310號 ","23.75764, 120.25128",1.0,61.0,臺西分局,
778.0,麥豐村,"麥寮鄉麥豐村中正路24號 ","23.74849, 120.25515",1.0,41.0,臺西分局,
779.0,麥豐村,"麥寮鄉麥豐村光復南路266號 ","23.7444, 120.25651",1.0,1733.0,臺西分局,
780.0,麥豐村,"麥寮鄉麥豐村光復路343號 ","23.74759, 120.25599",1.0,636.0,臺西分局,
781.0,麥豐村,"麥寮鄉麥豐村西濱路2段151號 ","23.74951, 120.26053",1.0,130.0,臺西分局,
782.0,麥豐村,"麥寮鄉麥豐村中華路52號 ","23.75041, 120.25886",1.0,1674.0,臺西分局,
783.0,麥豐村,"麥寮鄉麥豐村中正路25號 ","23.74832, 120.25502",1.0,49.0,臺西分局,
784.0,麥豐村,"麥寮鄉麥豐村中山路667號 ","23.75339, 120.2411",1.0,140.0,臺西分局,
785.0,麥豐村,"麥寮鄉麥豐村新興路37號 ","23.74726, 120.2516",1.0,275.0,臺西分局,
786.0,麥豐村,"麥寮鄉麥豐村光復路24號 ","23.74737, 120.25601",1.0,226.0,臺西分局,
787.0,麥豐村,"麥寮鄉麥豐村光龍江街19號 ","23.7485, 120.25662",1.0,890.0,臺西分局,
788.0,麥豐村,"麥寮鄉麥豐村光龍江街22號 ","23.7485, 120.25662",1.0,1397.0,臺西分局,
789.0,麥豐村,"麥寮鄉麥豐村中華路85號 ","23.75087, 120.25877",1.0,180.0,臺西分局,
790.0,湖西村,"四湖鄉湖西村中正路410號 ","23.63508, 120.22518",1.0,266.0,臺西分局,
791.0,湖西村,四湖鄉湖西村中山西路44號,"23.63801, 120.22434",1.0,506.0,臺西分局,
792.0,湖西村,四湖鄉湖西村中山西路94號,"23.63774, 120.22265",1.0,56.0,臺西分局,
793.0,湖西村,四湖鄉湖西村關聖路87號,"23.63904, 120.22679",1.0,4012.0,臺西分局,
794.0,湖西村,"四湖鄉湖西村新市街102號 ","23.63665, 120.2251",1.0,162.0,臺西分局,
795.0,臺西村,臺西鄉臺西村中山路297號,"23.70062, 120.19538",1.0,777.0,臺西分局,
796.0,臺西村,臺西鄉臺西村中山路122號,"23.70044, 120.1987",1.0,140.0,臺西分局,
797.0,興華村,"麥寮鄉興華村忠興路61號 ","23.75193, 120.25159",1.0,700.0,臺西分局,
