電腦編號,村里別,地址,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
SPA00015,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,1987.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00016,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,412.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00017,泰昌里,花蓮縣玉里鎮中山路二段137號,23.335566,121.314027,B1,343.0,玉里分局,,花蓮縣玉里鎮中山路二段137號
SPA00018,泰昌里,花蓮縣玉里鎮博愛路37之1號,23.336894,121.315718,B1,62.0,玉里分局,,花蓮縣玉里鎮博愛路37之1號
SPA00019,泰昌里,花蓮縣玉里鎮中正路122號,23.334562,121.315444,B1,482.0,玉里分局,,花蓮縣玉里鎮中正路122號
SPA00020,泰昌里,花蓮縣玉里鎮中山路二段135號,23.335353,121.314115,B1,482.0,玉里分局,,花蓮縣玉里鎮中山路二段135號
SPA00021,國武里,花蓮縣玉里鎮光復路52號,23.332252,121.316854,B1,167.0,玉里分局,,花蓮縣玉里鎮光復路52號
SPA00022,中城里,花蓮縣玉里鎮仁愛路一段78號,23.327117,121.315614,B1,368.0,玉里分局,,花蓮縣玉里鎮仁愛路一段78號
SPA00023,國武里,花蓮縣玉里鎮中山路二段51號,23.333162,121.314905,B1,101.0,玉里分局,,花蓮縣玉里鎮中山路二段51號
SPA00024,國武里,花蓮縣玉里鎮民權街1之1號,23.334662,121.318526,B1,1196.0,玉里分局,,花蓮縣玉里鎮民權街1之1號
SPA00025,國武里,花蓮縣玉里鎮中正路91號,23.333566,121.315687,B1,140.0,玉里分局,,花蓮縣玉里鎮中正路91號
SPA00026,國武里,花蓮縣玉里鎮中山路二段49號,23.333075,121.314967,B1,86.0,玉里分局,,花蓮縣玉里鎮中山路二段49號
SPA00027,永昌里,花蓮縣玉里鎮民國路二段63號,23.339725,121.318111,B1,537.0,玉里分局,,花蓮縣玉里鎮民國路二段63號
SPA00028,永昌里,花蓮縣玉里鎮莊敬路18號,23.341626,121.318253,B1,221.0,玉里分局,,花蓮縣玉里鎮莊敬路18號
SPA00029,永昌里,花蓮縣玉里鎮中華路354號,23.340827,121.317303,B1,115.0,玉里分局,,花蓮縣玉里鎮中華路354號
SPA00030,永昌里,花蓮縣玉里鎮中華路424號,23.347017,121.319098,B1,112.0,玉里分局,,花蓮縣玉里鎮中華路424號
SPA00031,永昌里,花蓮縣玉里鎮中華路424號,23.347017,121.319098,B1,133.0,玉里分局,,花蓮縣玉里鎮中華路424號
SPA00032,永昌里,花蓮縣玉里鎮中華路424號,23.347017,121.319098,B1,354.0,玉里分局,,花蓮縣玉里鎮中華路424號
SPA00033,永昌里,花蓮縣玉里鎮中華路424號,23.347017,121.319098,B1,354.0,玉里分局,,花蓮縣玉里鎮中華路424號
SPA00034,永昌里,花蓮縣玉里鎮中華路424號,23.347017,121.319098,B1,146.0,玉里分局,,花蓮縣玉里鎮中華路424號
SPA00035,中城里,花蓮縣玉里鎮忠智路72號,23.328657,121.319972,B1,275.0,玉里分局,,花蓮縣玉里鎮忠智路72號
SPA00036,中城里,花蓮縣玉里鎮中山路一段96號,23.328547,121.316927,B1,298.0,玉里分局,,花蓮縣玉里鎮中山路一段96號
SPA00037,長良里,花蓮縣玉里鎮忠義33號,23.289757,121.295257,B1,623.0,玉里分局,,花蓮縣玉里鎮忠義33號
SPA00038,樂合里,花蓮縣玉里鎮溫泉36號,23.281189,121.341924,B1,80.0,玉里分局,,花蓮縣玉里鎮溫泉36號
SPA00039,松浦里,花蓮縣玉里鎮松浦39號,23.417074,121.370609,B1,365.0,玉里分局,,花蓮縣玉里鎮松浦39號
SPA00040,富里村,花蓮縣富里鄉中山路169號,23.176364,121.248087,B1,103.0,玉里分局,,花蓮縣富里鄉中山路169號
SPA00041,富里村,花蓮縣富里鄉和平街22號,23.172408,121.246572,B1,150.0,玉里分局,,花蓮縣富里鄉和平街22號
SPA00042,富里村,花蓮縣富里鄉中山路37號,23.172781,121.247246,B1,237.0,玉里分局,,花蓮縣富里鄉中山路37號
SPA00043,富里村,花蓮縣富里鄉車站街56號,23.179137,121.248645,B1,85.0,玉里分局,,花蓮縣富里鄉車站街56號
SPA00044,富里村,花蓮縣富里鄉中山路376號,23.179442,121.250287,B1,312.0,玉里分局,,花蓮縣富里鄉中山路376號
SPA00045,富里村,花蓮縣富里鄉永安街173號,23.175799,121.249078,B1,918.0,玉里分局,,花蓮縣富里鄉永安街173號
SPA00046,富里村,花蓮縣富里鄉中山路308號,23.176661,121.248661,B1,620.0,玉里分局,,花蓮縣富里鄉中山路308號
SPA00047,富里村,花蓮縣富里鄉永安街123之2號,23.172756,121.249742,B1,103.0,玉里分局,,花蓮縣富里鄉永安街123之2號
SPA00048,萬寧村,花蓮縣富里鄉鎮寧141號,23.252729,121.296788,B1,210.0,玉里分局,,花蓮縣富里鄉鎮寧141號
SPA00049,萬寧村,花蓮縣富里鄉鎮寧141號,23.252729,121.296788,B1,792.0,玉里分局,,花蓮縣富里鄉鎮寧141號
,,,,,,,,.
