電腦編號,建築物名稱,里別,地址,經度,避難樓層,防空避難設備面積,可容納人數,轄管分局,備註,placemark_address
A01-04-004,透天,龜山里,桃園市龜山區中和南路94巷1號,"121.337670 ",B01,272.0,188.0,龜山分局,,桃園市龜山區中和南路94巷1號
A01-05-005,龜山國小,龜山里,桃園市龜山區萬壽路二段933巷14號,"121.338879 ",B01,490.0,544.0,龜山分局,,桃園市龜山區萬壽路二段933巷14號
A02-02-007,透天,龜山里,桃園市龜山區萬壽路二段662號,"121.345455 ",B01,1267.0,879.0,龜山分局,,桃園市龜山區萬壽路二段662號
A02-03-008,香檳社區(A區),龜山里,桃園市龜山區萬壽路二段628巷19號,"121.363300 ",B01B02,963.66,669.0,龜山分局,,桃園市龜山區萬壽路二段628巷19號
A02-04-009,香檳社區(B區),龜山里,桃園市龜山區萬壽路二段606巷1弄22號,"121.347290 ",B01B02,720.6,500.0,龜山分局,,桃園市龜山區萬壽路二段606巷1弄22號
A02-05-010,工廠,龜山里,桃園市龜山區萬壽路二段606巷1弄7號,"121.325079 ",B01B02,175.58,121.0,龜山分局,,桃園市龜山區萬壽路二段606巷1弄7號
A02-06-011,私人住宅大樓,龜山里,桃園市龜山區萬壽路二段606巷1弄22號,"121.346609 ",B01B02,1412.69,981.0,龜山分局,,桃園市龜山區萬壽路二段606巷1弄22號
A04-01-013,工廠(太友工程),嶺頂里,桃園市龜山區萬壽路一段1671號,"121.368466 ",B01,610.0,423.0,龜山分局,,桃園市龜山區萬壽路一段1671號
A05-03-016,工廠,楓福里,桃園市龜山區長壽路86號,"121.344994 ",B01,3651.0,2535.0,龜山分局,,桃園市龜山區長壽路86號
A05-04-017,皇家豪景社區大樓,楓樹里,桃園市龜山區光榮路11巷18號,"121.342491 ",B01B02,467.0,324.0,龜山分局,,桃園市龜山區光榮路11巷18號
A05-05-018,工廠,楓福里,桃園市龜山區自強北路17巷33號,"121.340744 ",B01,308.0,213.0,龜山分局,,桃園市龜山區自強北路17巷33號
A07-09-027,工廠,福源里,桃園市龜山區海萍路1號,"121.344934 ",B01,210.0,145.0,龜山分局,,桃園市龜山區海萍路1號
A07-16-034,工廠,福源里,桃園市龜山區海萍路10號,"121.344786 ",B01,49.0,34.0,龜山分局,,桃園市龜山區海萍路10號
A07-17-035,透天,福源里,桃園市龜山區海萍路6巷7號,"121.344506 ",B01,150.0,104.0,龜山分局,,桃園市龜山區海萍路6巷7號
A07-20-038,工廠,福源里,桃園市龜山區湖山街180巷79號,"121.350360 ",B01,30.0,20.0,龜山分局,,桃園市龜山區湖山街180巷79號
A08-01-039,私人住宅大樓,陸光里,桃園市龜山區同心一路2-1號,"121.331061 ",B01B02,4789.0,3325.0,龜山分局,,桃園市龜山區同心一路2-1號
A09-01-040,私人住宅大樓,陸光里,桃園市龜山區陸光路85號,"121.330891 ",B01B02,3513.0,2439.0,龜山分局,,桃園市龜山區陸光路85號
A09-02-041,私人住宅大樓,陸光里,桃園市龜山區陸光路81號,"121.331541 ",B01B02,1682.0,1168.0,龜山分局,,桃園市龜山區陸光路81號
A10-01-042,透天,嶺頂里,桃園市龜山區萬壽路二段472號,"121.350166 ",B01,224.0,155.0,龜山分局,,桃園市龜山區萬壽路二段472號
A10-21-062,工廠,嶺頂里,桃園市龜山區萬壽路二段357號,"121.354695 ",B01,511.0,354.0,龜山分局,,桃園市龜山區萬壽路二段357號
A10-25-066,私人住宅大樓,嶺頂里,桃園市龜山區茶專路22號,"121.356326 ",B01,151.0,104.0,龜山分局,,桃園市龜山區茶專路22號
A10-30-071,私人住宅大樓,嶺頂里,桃園市龜山區振興路46號,"121.350575 ",B01,1505.0,1045.0,龜山分局,,桃園市龜山區振興路46號
A10-32-073,透天,嶺頂里,桃園市龜山區茶專路12號,"121.355536 ",B01,575.0,399.0,龜山分局,,桃園市龜山區茶專路12號
A11-03-077,私人住宅大樓,新路里,桃園市龜山區自強南路694號,"121.333979 ",B01,1803.0,1252.0,龜山分局,,桃園市龜山區自強南路694號
A13-04-081,透天,大同里,桃園市龜山區大同路170號,"121.343399 ",B01,744.0,516.0,龜山分局,,桃園市龜山區大同路170號
A13-05-082,私人住宅大樓,大同里,桃園市龜山區大同路313巷12弄1號,"121.346849 ",B01,860.0,597.0,龜山分局,,桃園市龜山區大同路313巷12弄1號
A13-06-083,私人住宅大樓,大同里,桃園市龜山區明成街19號,"121.344634 ",B01,778.0,540.0,龜山分局,,桃園市龜山區明成街19號
A14-02-085,透天,大同里,桃園市龜山區大同路346號,"121.347864 ",B01,75.0,52.0,龜山分局,,桃園市龜山區大同路346號
A14-03-086,私人住宅大樓,大同里,桃園市龜山區大同路330.332號,"121.346743 ",B01,118.0,81.0,龜山分局,,桃園市龜山區大同路330.332號
A14-04-087,私人住宅大樓,新路里,桃園市龜山區明德路1號,"121.337712 ",B01,2146.0,1490.0,龜山分局,,桃園市龜山區明德路1號
A14-06-089,私人住宅大樓,大同里,桃園市龜山區明德路明駝巷8號,"121.341015 ",B01,195.0,135.0,龜山分局,,桃園市龜山區明德路明駝巷8號
A14-07-090,銘傳大學(地下停車場A),大同里,桃園市龜山區德明路5號(同住址),"121.343316 ",B01,1658.0,1151.0,龜山分局,,桃園市龜山區德明路5號(同住址)
A14-08-091,銘傳大學(地下停車場B),大同里,桃園市龜山區德明路5號(同住址),"121.343596 ",B01,1191.0,827.0,龜山分局,,桃園市龜山區德明路5號(同住址)
A14-09-092,私人住宅大樓,大同里,桃園市龜山區明德路240巷6號,"121.341805 ",B01,152.0,105.0,龜山分局,,桃園市龜山區明德路240巷6號
A14-13-096,私人住宅大樓,大同里,桃園市龜山區德明路77巷67號,"121.342555 ",B01,158.53,110.0,龜山分局,,桃園市龜山區德明路77巷67號
A14-14-097,私人住宅大樓,大同里,桃園市龜山區德明路77巷71號,"121.342555 ",B01,193.3,134.0,龜山分局,,桃園市龜山區德明路77巷71號
A14-15-098,大學之道社區大樓,大同里,桃園市龜山區德明路130號,"121.343744 ",B01,304.71,211.0,龜山分局,,桃園市龜山區德明路130號
A14-16-099,私人住宅大樓,大同里,桃園市龜山區德明路89巷81號,"121.343026 ",B01,72.51,50.0,龜山分局,,桃園市龜山區德明路89巷81號
A14-17-100,私人住宅大樓,大同里,桃園市龜山區大同路238號,"121.344538 ",B01B02,1766.0,1226.0,龜山分局,,桃園市龜山區大同路238號
A14-18-101,私人住宅大樓,大同里,桃園市龜山區德明路2段120巷1號,"121.343590 ",B01,221.18,153.0,龜山分局,,桃園市龜山區德明路2段120巷1號
A15-01-102,透天,嶺頂里,桃園市龜山區萬壽路一段1699號,"121.366006 ",B01,161.0,111.0,龜山分局,,桃園市龜山區萬壽路一段1699號
A15-02-103,私人住宅大樓,嶺頂里,桃園市龜山區東萬壽路26號,"121.363324 ",B01,1745.0,1211.0,龜山分局,,桃園市龜山區東萬壽路26號
A17-01-104,私人住宅大樓,新路里,桃園市龜山區明德路20號,"121.337566 ",B01B02B03,608.0,422.0,龜山分局,,桃園市龜山區明德路20號
A18-04-108,工廠,兔坑里,桃園市龜山區大同路1176號,"121.365496 ",B01,106.0,73.0,龜山分局,,桃園市龜山區大同路1176號
A18-05-109,忠恕道院,兔坑里,桃園市龜山區大棟山路111號(同住址),"121.373202 ",B01,55.0,38.0,龜山分局,,桃園市龜山區大棟山路111號(同住址)
A21-02-111,私人住宅大樓,龜山里,桃園市龜山區自強西路57號,"121.337885 ",B01,302.44,210.0,龜山分局,,桃園市龜山區自強西路57號
A23-01-113,工廠,兔坑里,桃園市龜山區茶專一街126號,"121.363716 ",B01,166.0,115.0,龜山分局,,桃園市龜山區茶專一街126號
A23-03-115,私人住宅大樓,兔坑里,桃園市龜山區茶專路196巷1號,"121.355852 ",B01,1922.0,1334.0,龜山分局,,桃園市龜山區茶專路196巷1號
A24-01-116,透天,兔坑里,桃園市龜山區幸美11街13號,"121.358055 ",B01,2017.0,1400.0,龜山分局,,桃園市龜山區幸美11街13號
A26-01-117,私人住宅大樓,新嶺里,桃園市龜山區優美街7巷4號,"121.361580 ",B01,2760.0,1916.0,龜山分局,,桃園市龜山區優美街7巷4號
A26-02-118,私人住宅大樓,新嶺里,桃園市龜山區優美街54巷2號,"121.362020 ",B01B02B03,7541.0,5236.0,龜山分局,,桃園市龜山區優美街54巷2號
A27-03-121,私人住宅大樓,大同里,桃園市龜山區自強東路213號,"121.344716 ",B01,223.0,154.0,龜山分局,,桃園市龜山區自強東路213號
A27-04-122,"學校 (自強國民小學)",大同里,桃園市龜山區自強東路269號,"121.345373 ",B01,1226.08,851.0,龜山分局,,桃園市龜山區自強東路269號
A27-05-123,銘傳財庫社區大樓,大同里,桃園市龜山區大同路104巷11號,"121.341332 ",B01,480.29,333.0,龜山分局,,桃園市龜山區大同路104巷11號
A11-04-125,樂宮璽園社區大樓,新路里,桃園市龜山區中和南路189號,"121.335067 ",B01,520.0,361.0,龜山分局,,桃園市龜山區中和南路189號
A20-01-126,"學校 (新路國小)",新路里,桃園市龜山區永和街12號,"121.336292 ",B01,900.0,625.0,龜山分局,,桃園市龜山區永和街12號
A14-19-127,銘傳大學(體育館大樓),大同里,桃園市龜山區德明路5號,"121.342371 ",B01B02,2031.0,1410.0,龜山分局,,桃園市龜山區德明路5號
A21-03-128,透天,龜山里,桃園市龜山區長壽路295號,"121.338811 ",B01,740.39,514.0,龜山分局,,桃園市龜山區長壽路295號
A12-01-129,龜山區公所,新路里,桃園市龜山區中山街26號,"121.337826 ",B01,756.4,525.0,龜山分局,,桃園市龜山區中山街26號
A27-07-130,私人住宅大樓,大同里,桃園市龜山區萬壽路二段583號,"121.347194 ",B01B02,2466.0,1712.0,龜山分局,,桃園市龜山區萬壽路二段583號
A27-08-131,私人住宅大樓,大同里,桃園市龜山區萬壽路二段653巷3號,"121.363671 ",B01,1516.0,1052.0,龜山分局,,桃園市龜山區萬壽路二段653巷3號
A27-09-132,太子地球村社區大樓,大同里,桃園市龜山區萬壽路二段667號,"121.345287 ",B01B02,3158.0,2193.0,龜山分局,,桃園市龜山區萬壽路二段667號
A27-10-133,私人住宅大樓,大同里,桃園市龜山區萬壽路二段601巷1弄2號,"121.336743 ",B01B02,1743.0,1210.0,龜山分局,,桃園市龜山區萬壽路二段601巷1弄2號
A18-04-134,私人住宅大樓,大同里,桃園市龜山區明成街200號,"121.348449 ",B01B02,1618.0,1123.0,龜山分局,,桃園市龜山區明成街200號
A27-11-135,私人住宅大樓,大同里,桃園市龜山區萬壽路二段601巷8號,"121.344187 ",B01,149.72,103.0,龜山分局,,桃園市龜山區萬壽路二段601巷8號
A13-08-136,私人住宅大樓,大同里,桃園市龜山區明成街218號,"121.348304 ",B01B02,1618.13,1123.0,龜山分局,,桃園市龜山區明成街218號
A21-04-137,透天,龜山里,桃園市龜山區自強西路202號,"121.333764 ",B01,304.53,211.0,龜山分局,,桃園市龜山區自強西路202號
A13-09-138,私人住宅大樓,大同里,桃園市龜山區大同路253號,"121.344877 ",B01B02,1479.02,1027.0,龜山分局,,桃園市龜山區大同路253號
A02-07-139,私人住宅大樓,龜山里,桃園市龜山區萬壽路二段588號,"121.347933 ",B01B02,1374.32,954.0,龜山分局,,桃園市龜山區萬壽路二段588號
A18-06-140,忠恕道院(道場寶塔),兔坑里,桃園市龜山區大棟山路111號(同住址),"121.372283 ",B01,775.6,538.0,龜山分局,,桃園市龜山區大棟山路111號(同住址)
A06-01-141,私人住宅大樓,精忠里,桃園市龜山區光峰路212-1號,"121.342757 ",B01B02B03,2637.51,1831.0,龜山分局,,桃園市龜山區光峰路212-1號
A05-06-142,私人住宅大樓,楓樹里,桃園市龜山區光榮路77號,"121.342178 ",B01B02B03,1838.11,1276.0,龜山分局,,桃園市龜山區光榮路77號
A22-02-143,壽山高中(停車場A),龜山里,桃園市龜山區大同路23號(同住址),"121.341326 ",B01,2487.4,1727.0,龜山分局,,桃園市龜山區大同路23號(同住址)
A16-03-144,"學校 (楓樹國民小學)",楓福里,桃園市龜山區光峰路285號,"121.343253 ",B01B02,1275.79,885.0,龜山分局,,桃園市龜山區光峰路285號
A22-03-145,壽山高中(停車場B),龜山里,桃園市龜山區大同路23號(同住址),"121.341114 ",B01,2487.4,1727.0,龜山分局,,桃園市龜山區大同路23號(同住址)
A22-04-146,冠雲集社區大樓,龜山里,桃園市龜山區長壽路269巷12號,"121.339866 ",B01B02B03,1274.28,884.0,龜山分局,,桃園市龜山區長壽路269巷12號
A22-05-147,私人住宅大樓,龜山里,桃園市龜山區自強東路226號,"121.344632 ",B01B02B03,604.18,419.0,龜山分局,,桃園市龜山區自強東路226號
A22-06-148,冠雲集社區大樓,龜山里,桃園市龜山區長壽路269巷13號5樓,"121.339792 ",B01B02B03,1274.28,884.0,龜山分局,,桃園市龜山區長壽路269巷13號5樓
A23-04-149,"工廠 (晟權精密)",嶺頂里,桃園市龜山區茶專路4號,"121.354709 ",B01,1065.61,1184.0,龜山分局,,桃園市龜山區茶專路4號
A23-03-150,私人住宅大樓,龜山里,桃園市龜山區萬壽路二段890號,"121.339461 ",B01,28.51,31.0,龜山分局,,桃園市龜山區萬壽路二段890號
A23-03-151,私人住宅大樓,楓福里,桃園市龜山區楓樹三街86號,"121.347271 ",B01B02B03,1206.73,1340.0,龜山分局,,桃園市龜山區楓樹三街86號
A23-03-152,私人住宅大樓,大同里,桃園市龜山區德明路89巷68號,"121.343573 ",B01,696.83,774.0,龜山分局,,桃園市龜山區德明路89巷68號
A37-03-153,森麟御社區大樓,楓樹里,桃園市龜山區光榮路76號,"121.342725 ",B01B02B03,2382.4,1654.0,龜山分局,,桃園市龜山區光榮路76號
A27-03-154,大同市民第二活動中心,大同里,桃園市龜山區自強東路27巷8號,"121.341881 ",B01,585.8,406.0,龜山分局,,桃園市龜山區自強東路27巷8號
A18-02-155,工廠,兔坑里,桃園市龜山區茶專二街92巷17號,"121.358694 ",B01B02,816.05,566.0,龜山分局,,桃園市龜山區茶專二街92巷17號
A37-02-156,私人住宅大樓(護理之家),楓樹里,桃園市龜山區光榮路105號,"121.341576 ",B01,187.54,130.0,龜山分局,,桃園市龜山區光榮路105號
A21-01-157,私人住宅大樓,楓福里,桃園市龜山區楓樹三街39號,"121.345999 ",B01B02,1787.99,1241.0,龜山分局,,桃園市龜山區楓樹三街39號
A22-01-158,私人住宅大樓,楓福里,桃園市龜山區楓樹六街138號,"121.347319 ",B01B02,1435.77,997.0,龜山分局,,桃園市龜山區楓樹六街138號
A22-01-159,私人住宅大樓,大同里,桃園市龜山區大同路367號,"121.348400 ",B01B02B03,2259.13,1568.0,龜山分局,,桃園市龜山區大同路367號
A22-01-160,私人住宅大樓,大同里,桃園市龜山區萬壽路二段567號,"121.378900 ",B01,851.13,591.0,龜山分局,,桃園市龜山區萬壽路二段567號
A22-01-161," 工廠(美商威德)",新嶺里,桃園市龜山區寶石街109號,"121.365730 ",B01,107.8,74.0,龜山分局,,桃園市龜山區寶石街109號
C04-01-003,"學校 (中央警察大學)",大崗里,桃園市龜山區樹人路56號,"121.352082 ",B01,2263.0,1571.0,龜山分局,,桃園市龜山區樹人路56號
C08-01-004,私人住宅大樓,大湖里,桃園市龜山區文化三路78巷11-17號,"121.362360 ",B01B02,725.0,805.0,龜山分局,,桃園市龜山區文化三路78巷11-17號
C08-02-005,私人住宅大樓,大湖里,桃園市龜山區文三二街7號,"121.361471 ",B01B02,416.0,462.0,龜山分局,,桃園市龜山區文三二街7號
C07-02-007,私人住宅大樓,大湖里,桃園市龜山區文化二路34巷14弄30號,"121.364311 ",B01B02B03,681.0,756.0,龜山分局,,桃園市龜山區文化二路34巷14弄30號
C10-01-008,工廠,大崗里,桃園市龜山區大湖一路79巷35號,"121.357001 ",B01,1111.0,1234.0,龜山分局,,桃園市龜山區大湖一路79巷35號
C10-08-016,工廠,大崗里,桃園市龜山區大湖路94號,"121.352533 ",B01,377.0,261.0,龜山分局,,桃園市龜山區大湖路94號
C11-02-019,口觀天下社區大樓,大湖里,桃園市龜山區文化三路61-65號,"121.362964 ",B01,578.0,642.0,龜山分局,,桃園市龜山區文化三路61-65號
C09-01-020,私人住宅大樓,大湖里,桃園市龜山區文興路35號,"121.363752 ",B01B02,259.0,287.0,龜山分局,,桃園市龜山區文興路35號
C11-04-022,私人住宅大樓,大湖里,桃園市龜山區文化三路57號,"121.362943 ",B01,573.0,397.0,龜山分局,,桃園市龜山區文化三路57號
C11-05-023,私人住宅大樓,大湖里,桃園市龜山區文興路46號,"121.363676 ",B01,434.0,301.0,龜山分局,,桃園市龜山區文興路46號
C11-06-024,私人住宅大樓,大湖里,桃園市龜山區文興路57號,"121.363975 ",B01,402.0,279.0,龜山分局,,桃園市龜山區文興路57號
C11-07-025,私人住宅大樓,大湖里,桃園市龜山區文二三街26號,"121.363350 ",B01,332.0,230.0,龜山分局,,桃園市龜山區文二三街26號
C12-01-027,私人住宅大樓,大湖里,桃園市龜山區文興路101號,"121.364745 ",B01B02,326.0,362.0,龜山分局,,桃園市龜山區文興路101號
C13-02-028,翔鳳座社區大樓(A棟),大湖里,桃園市龜山區文三三街12號(同住址),"121.359862 ",B01B02,1638.0,1137.0,龜山分局,,桃園市龜山區文三三街12號(同住址)
C13-03-029,翔鳳座社區大樓(B棟),大湖里,桃園市龜山區文三三街12號(同住址),"121.359536 ",B01,1638.0,1137.0,龜山分局,,桃園市龜山區文三三街12號(同住址)
C13-04-030,私人住宅大樓,大湖里,桃園市龜山區文三三街20巷16號,"121.359169 ",B01,195.0,135.0,龜山分局,,桃園市龜山區文三三街20巷16號
C13-05-031,大湖鎮寶社區大樓,大湖里,桃園市龜山區大湖一路17號(同住址),"121.359035 ",B01B02,1120.0,777.0,龜山分局,,桃園市龜山區大湖一路17號(同住址)
