類別,電腦編號,村里別,地址,地下層數,可容納數人,備註
金門縣警察局,700.0,東門里,金門縣金城鎮金山路15號,1.0,1111人,
西門里公所,701.0,西門里,"24.432972, 118.314309",1.0,50人,金門縣金城鎮民權路90-6號
金寧鄉公所,734.0,盤山村,金門縣金寧鄉盤山村仁愛新村1號,1.0,364人,,金門縣金寧鄉盤山村仁愛新村1號
金寧分駐所,735.0,盤山村,"24.45128697578078, 118.33522835725917",1.0,222人,金門縣金寧鄉盤山村18鄰仁愛新村2號
金寧衛生所,736.0,盤山村,"24.45128697578078, 118.33522835725917",1.0,222人,金門縣金寧鄉盤山村仁愛新村2-1號
金門地政局,737.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村3號,1.0,111人,,金門縣金寧鄉盤山村18鄰仁愛新村3號
更生保護會,738.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村5號,1.0,377人,
烈嶼分駐所,739.0,林湖村,金門縣烈嶼鄉林湖村西路37號,1.0,55人,,金門縣烈嶼鄉林湖村西路37號
卓環國小,740.0,林湖村,金門縣烈嶼鄉林湖村西路23號,1.0,7人,,金門縣烈嶼鄉林湖村西路23號
烈嶼公車站,741.0,林湖村,金門縣烈嶼鄉湖下35號,1.0,22人,,金門縣烈嶼鄉湖下35號
烈嶼鄉公所,742.0,林湖村,金門縣烈嶼鄉林湖村西路60號,1.0,1041人,,金門縣烈嶼鄉林湖村西路60號
林湖村公所,743.0,林湖村,金門縣烈嶼鄉林湖村東林24號,1.0,118人,,金門縣烈嶼鄉林湖村東林24號
西口國小,745.0,西口村,金門縣烈嶼鄉西口村西方69號,1.0,40人,,金門縣烈嶼鄉西口村西方69號
"署立金門醫院 烈嶼分院",746.0,上林村,金門縣烈嶼鄉上林村后井37號,1.0,66人,,金門縣烈嶼鄉上林村后井37號
烈嶼國中,747.0,上林村,金門縣烈嶼鄉上林村后井38號,1.0,146人,,金門縣烈嶼鄉上林村后井38號
上岐國小,749.0,上岐村,金門縣烈嶼鄉上岐村青岐123號,1.0,11人,,金門縣烈嶼鄉上岐村青岐123號
海福飯店,751.0,西門里,金門縣金城鎮民權路85號,1.0,141人,,金門縣金城鎮民權路85號
金帝飯店,752.0,西門里,金門縣金城鎮民權路107號,1.0,107人,,金門縣金城鎮民權路107號
新華僑之家,753.0,西門里,金門縣金城鎮光前路147號,1.0,132人,,金門縣金城鎮光前路147號
外武廟管理委員會,754.0,西門里,金門縣金城鎮光前路72號,1.0,111人,,金門縣金城鎮光前路72號
華欣商務旅館,755.0,西門里,金門縣金城鎮莒光路156號之2,1.0,95人,,金門縣金城鎮莒光路156號之2
臺灣中小型企業銀行,756.0,西門里,金門縣金城鎮民權路116號,1.0,257人,,金門縣金城鎮民權路116號
中華電信,757.0,西門里,金門縣金城鎮民權路182號,1.0,555人,,金門縣金城鎮民權路182號
金瑞飯店,758.0,西門里,金門縣金城鎮民權路166號,1.0,111人,
大同之家,759.0,西門里,金門縣金城鎮民生路72號,1.0,88人,,金門縣金城鎮民生路72號
金城天主教,760.0,北門里,金門縣金城鎮北門里民生路10號,1.0,142人,,金門縣金城鎮北門里民生路10號
金信大樓,761.0,北門里,金門縣金城鎮北門里民生路25號,2.0,666人,,金門縣金城鎮北門里民生路25號
IN99飯店,762.0,北門里,金門縣金城鎮北門里民生路16號,1.0,72人,
群力建設開發有限公司,763.0,北門里,金門縣金城鎮北門里珠中興路205巷2號,2.0,360人,,金門縣金城鎮北門里珠中興路205巷2號
浯江飯店,764.0,賢庵里,金門縣金城鎮賢庵里西海路三段100號,1.0,222人,,金門縣金城鎮賢庵里西海路三段100號
金芬芳股份有限公司,765.0,賢庵里,金門縣金城鎮賢庵里古區2-2號,1.0,217人,,金門縣金城鎮賢庵里古區2-2號
金城聯,769.0,榜林村,金門縣金寧鄉榜林村29鄰伯玉路一段232號,1.0,23人,,金門縣金寧鄉榜林村29鄰伯玉路一段232號
陸島酒店,770.0,榜林村,金門縣金寧鄉榜林村下埔下90號,1.0,55人,,金門縣金寧鄉榜林村下埔下90號
大樓,950.0,西門里,金門縣金城鎮西門里珠浦北路46號之2,1.0,145人,,金門縣金城鎮西門里珠浦北路46號之2
大樓,951.0,東門里,金門縣金城鎮東門里浯江北堤路31號,1.0,135人,,金門縣金城鎮東門里浯江北堤路31號
大樓,952.0,南門里,金門縣金城鎮南門里民族路199號,1.0,188人,,金門縣金城鎮南門里民族路199號
大樓,953.0,南門里,金門縣金城鎮南門里光前路39號之6,1.0,58人,,金門縣金城鎮南門里光前路39號之6
公寓,954.0,南門里,金門縣金城鎮南門里民權路70巷8弄15號,1.0,12人,,金門縣金城鎮南門里民權路70巷8弄15號
公寓,955.0,榜林村,金門縣金寧鄉榜林村伯玉路一段232-2號,1.0,473人,,金門縣金寧鄉榜林村伯玉路一段232-2號
公寓,960.0,榜林村,金門縣金寧鄉榜林村伯玉路一段232-3號,1.0,473人,,金門縣金寧鄉榜林村伯玉路一段232-3號
大樓,956.0,西門里,"24.438939963769823, 118.31982611949267",1.0,158人,金門縣金城鎮西門里民權路202號,"24.438939963769823, 118.31982611949267"
大樓,957.0,西門里,"24.439727359410984, 118.31929109692783",1.0,114人,金門縣金城鎮西門里民權路226巷4弄10號,"24.439727359410984, 118.31929109692783"
公寓,958.0,榜林村,金門縣金寧鄉榜林村伯玉路一段234-1號,1.0,300人,,金門縣金寧鄉榜林村伯玉路一段234-1號
公寓,959.0,東門里,金門縣金城鎮東門里民族路93巷5弄17號,1.0,165人,,金門縣金城鎮東門里民族路93巷5弄17號
公寓,962.0,盤山村,金門縣金寧鄉盤山村頂堡5-9號,1.0,350人,,金門縣金寧鄉盤山村頂堡5-9號
湖埔國小,963.0,湖埔村,金門縣金寧鄉湖埔村湖下196號,1.0,350人,,金門縣金寧鄉湖埔村湖下196號
公寓,964.0,榜林村,金門縣金寧鄉榜林村伯玉路一段234號,1.0,284人,,金門縣金寧鄉榜林村伯玉路一段234號
金門縣議會,965.0,東門里,金門縣金城鎮東門里金山路17之2號,1.0,644人,,金門縣金城鎮東門里金山路17之2號
大樓,966.0,湖埔村,金門縣金寧鄉湖埔村湖峰一街8號,1.0,133人,
大樓,767.0,西門里,"24.439185906348495, 118.31940886231529",1.0,721,金城鎮西門里民權路226巷2弄11號
大樓,967.0,湖埔村,金門縣金寧鄉湖埔村6鄰湖下293號,1.0,1279人,,金門縣金寧鄉湖埔村6鄰湖下293號
后盤村公所,732.0,金寧鄉,金門縣金寧鄉后盤村2鄰后盤山33號,1.0,111人,,金門縣金寧鄉后盤村2鄰后盤山33號
大樓,968.0,北門里,金門縣金城鎮北門里珠浦北路29巷6號,1.0,282人,,金門縣金城鎮北門里珠浦北路29巷6號
公寓,969.0,盤山村,金門縣金寧鄉盤山村25鄰伯玉路二段680巷213號,1.0,398人,,金門縣金寧鄉盤山村25鄰伯玉路二段680巷213號
大樓,970.0,湖埔村,金門縣金寧鄉湖埔村26鄰湖峰二街18號,1.0,365人,,金門縣金寧鄉湖埔村26鄰湖峰二街18號
大樓,971.0,湖埔村,金門縣金寧鄉湖埔村26鄰湖峰路18號,1.0,98人,,金門縣金寧鄉湖埔村26鄰湖峰路18號
