編號,村里別,地址,可容納人數,地下樓層數,類別,備註,placemark_address
39.0,中正里,彰化縣員林市中正里博愛路113號,"159 ","1 ",大樓,,彰化縣員林市中正里博愛路113號
40.0,中正里,彰化縣員林市中正里三民街8巷12號,"343 ","1 ",大樓,,彰化縣員林市中正里三民街8巷12號
41.0,中正里,彰化縣員林市中正里育英路22巷24號,"5,031 ","1 ",大樓,,彰化縣員林市中正里育英路22巷24號
42.0,中正里,彰化縣員林市中正里育英路32號1樓,"400 ","1 ",大樓,,彰化縣員林市中正里育英路32號1樓
43.0,中正里,彰化縣員林市中正里博愛路57號,"187 ","1 ",大樓,,彰化縣員林市中正里博愛路57號
44.0,中正里,彰化縣員林市中正里林森路302號,"925 ","1 ",大樓,,彰化縣員林市中正里林森路302號
45.0,中正里,彰化縣員林市中正里三民東街45號,"136 ","1 ",大樓,,彰化縣員林市中正里三民東街45號
46.0,中正里,彰化縣員林市中正里員東路2段498號,"5,038 ","1 ",大樓,,彰化縣員林市中正里員東路2段498號
47.0,仁美里,彰化縣員林市仁美里和平街18號之1,"120 ","1 ",大樓,,彰化縣員林市仁美里和平街18號之1
48.0,仁美里,彰化縣員林市仁美里和平街18號,"13 ","1 ",大樓,,彰化縣員林市仁美里和平街18號
49.0,仁美里,彰化縣員林市仁美里育英路135號,"76 ","1 ",大樓,,彰化縣員林市仁美里育英路135號
50.0,仁美里,彰化縣員林市仁美里靜修東路145號,"28 ","1 ",大樓,,彰化縣員林市仁美里靜修東路145號
51.0,仁美里,彰化縣員林市仁美里靜修東路147號,"28 ","1 ",大樓,,彰化縣員林市仁美里靜修東路147號
52.0,仁美里,彰化縣員林市仁美里育英160巷40弄3號,"53 ","1 ",大樓,,彰化縣員林市仁美里育英160巷40弄3號
53.0,仁美里,彰化縣員林市仁美里中山路2段130巷24號,"19 ","1 ",大樓,,彰化縣員林市仁美里中山路2段130巷24號
54.0,仁美里,彰化縣員林市仁美里靜修東路99號,"56 ","1 ",大樓,,彰化縣員林市仁美里靜修東路99號
55.0,仁美里,彰化縣員林市仁美里靜修東路101號,"56 ","1 ",金天地珠寶銀樓,,彰化縣員林市仁美里靜修東路101號
56.0,仁美里,彰化縣員林市仁美里中山路2段130巷38號,"213 ","1 ",大樓,,彰化縣員林市仁美里中山路2段130巷38號
57.0,仁美里,彰化縣員林市仁美里中山路2段130巷36弄3號,"291 ","1 ",大樓,,彰化縣員林市仁美里中山路2段130巷36弄3號
58.0,仁美里,彰化縣員林市仁美里大同路345號,"137 ","1 ",大樓,,彰化縣員林市仁美里大同路345號
59.0,仁美里,彰化縣員林市仁美里育英路156號,"21 ","1 ",大樓,,彰化縣員林市仁美里育英路156號
60.0,仁美里,彰化縣員林市仁美里育英路158號,"24 ","1 ",金紙店,,彰化縣員林市仁美里育英路158號
61.0,仁美里,彰化縣員林市仁美里育英路160號,"57 ","1 ",東豐雜貨店,,彰化縣員林市仁美里育英路160號
62.0,仁美里,彰化縣員林市仁美里林森路69號,"29 ","1 ",大樓,,彰化縣員林市仁美里林森路69號
63.0,仁美里,彰化縣員林市仁美里林森路71號,"29 ","1 ",大樓,,彰化縣員林市仁美里林森路71號
64.0,仁美里,彰化縣員林市仁美里育英路116巷2號,"56 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷2號
65.0,仁美里,彰化縣員林市仁美里育英路116巷4號,"57 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷4號
66.0,仁美里,彰化縣員林市仁美里育英路116巷6號,"57 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷6號
67.0,仁美里,彰化縣員林市仁美里育英路116巷8號,"57 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷8號
68.0,仁美里,彰化縣員林市仁美里育英路116巷1號,"57 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷1號
69.0,仁美里,彰化縣員林市仁美里育英路116巷12號,"57 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷12號
70.0,仁美里,彰化縣員林市仁美里育英路116巷14號,"57 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷14號
71.0,仁美里,彰化縣員林市仁美里育英路116巷16號,"56 ","1 ",大樓,,彰化縣員林市仁美里育英路116巷16號
72.0,仁美里,彰化縣員林市仁美里中正路622號,"89 ","1 ",大樓,,彰化縣員林市仁美里中正路622號
73.0,仁美里,彰化縣員林市仁美里和平街8巷11號,"67 ","1 ",大樓,,彰化縣員林市仁美里和平街8巷11號
74.0,仁美里,彰化縣員林市仁美里和平街8巷9號,"67 ","1 ",大樓,,彰化縣員林市仁美里和平街8巷9號
75.0,仁美里,彰化縣員林市仁美里和平街8巷7號,"67 ","1 ",大樓,,彰化縣員林市仁美里和平街8巷7號
76.0,仁美里,彰化縣員林市仁美里中正路616號,"92 ","1 ",大樓,,彰化縣員林市仁美里中正路616號
77.0,仁美里,彰化縣員林市仁美里和平街8巷1號,"28 ","1 ",大樓,,彰化縣員林市仁美里和平街8巷1號
78.0,仁美里,彰化縣員林市仁美里和平街8巷5號,"77 ","1 ",大樓,,彰化縣員林市仁美里和平街8巷5號
79.0,仁美里,彰化縣員林市仁美里中正路630號,"80 ","1 ",大樓,,彰化縣員林市仁美里中正路630號
80.0,仁美里,彰化縣員林市仁美里和平東街40號,"152 ","1 ",布拉歐式餐廳,,彰化縣員林市仁美里和平東街40號
81.0,仁美里,彰化縣員林市仁美里中正路628號,"85 ","1 ",大樓,,彰化縣員林市仁美里中正路628號
82.0,仁美里,彰化縣員林市仁美里中正路652號,"945 ","1 ",大樓,,彰化縣員林市仁美里中正路652號
83.0,仁美里,彰化縣員林市仁美里和平東街62之1號,"31 ","1 ",大樓,,彰化縣員林市仁美里和平東街62之1號
84.0,仁美里,彰化縣員林市仁美里靜修東路169.171號,"153 ","1 ",大樓,,彰化縣員林市仁美里靜修東路169.171號
85.0,仁美里,彰化縣員林市仁美里靜修路2之1號,"36 ","1 ",大樓,,彰化縣員林市仁美里靜修路2之1號
86.0,仁美里,彰化縣員林市仁美里靜修路2之11號,"36 ","1 ",大樓,,彰化縣員林市仁美里靜修路2之11號
88.0,仁美里,彰化縣員林市仁美里浮圳路2段345號,"292 ","1 ",大樓,,彰化縣員林市仁美里浮圳路2段345號
89.0,仁美里,彰化縣員林市仁美里育英路140巷25號,"73 ","1 ",大樓,,彰化縣員林市仁美里育英路140巷25號
90.0,仁美里,彰化縣員林市仁美里和平東街34號,"61 ","1 ",愛婗幼兒園,,彰化縣員林市仁美里和平東街34號
91.0,仁美里,彰化縣員林市仁美里靜修東路74號,"72 ","1 ",大樓,,彰化縣員林市仁美里靜修東路74號
92.0,仁美里,彰化縣員林市仁美里靜修東路76號,"72 ","1 ",廉騰教育機構,,彰化縣員林市仁美里靜修東路76號
93.0,仁美里,彰化縣員林市仁美里靜修東路161至167之1號,"99 ","1 ",大樓,,彰化縣員林市仁美里靜修東路161至167之1號
94.0,仁美里,彰化縣員林市仁美里靜修東路48號,"33 ","1 ",大樓,,彰化縣員林市仁美里靜修東路48號
95.0,仁美里,彰化縣員林市仁美里靜修東路52號,"84 ","1 ",翰霖文教機構,,彰化縣員林市仁美里靜修東路52號
96.0,仁美里,彰化縣員林市仁美里和平東街64號,"28 ","1 ",大樓,,彰化縣員林市仁美里和平東街64號
97.0,仁美里,彰化縣員林市仁美里靜修東路120巷1之23號,"2,328 ","1 ",陽明天下,,彰化縣員林市仁美里靜修東路120巷1之23號
98.0,仁美里,彰化縣員林市仁美里育英路140巷31號,"64 ","1 ",大樓,,彰化縣員林市仁美里育英路140巷31號
99.0,仁美里,彰化縣員林市仁美里靜修東路55巷1之31號,"1,643 ","1 ",陽明天下,,彰化縣員林市仁美里靜修東路55巷1之31號
100.0,仁美里,彰化縣員林市仁美里中正路660號,"97 ","1 ",大樓,,彰化縣員林市仁美里中正路660號
101.0,仁美里,彰化縣員林市仁美里中正路658號,"75 ","1 ",大樓,,彰化縣員林市仁美里中正路658號
102.0,仁美里,彰化縣員林市仁美里靜修東路21號,"103 ","1 ",大樓,,彰化縣員林市仁美里靜修東路21號
103.0,仁美里,彰化縣員林市仁美里靜修東路35號,"92 ","1 ",大樓,,彰化縣員林市仁美里靜修東路35號
104.0,仁美里,彰化縣員林市仁美里靜修東路39號,"183 ","1 ",大樓,,彰化縣員林市仁美里靜修東路39號
105.0,仁美里,彰化縣員林市仁美里靜修東路37號,"92 ","1 ",大樓,,彰化縣員林市仁美里靜修東路37號
106.0,仁美里,彰化縣員林市仁美里靜修東路43號,"713 ","1 ",大樓,,彰化縣員林市仁美里靜修東路43號
107.0,仁美里,彰化縣員林市仁美里中正路648號,"67 ","1 ",大樓,,彰化縣員林市仁美里中正路648號
108.0,仁美里,彰化縣員林市仁美里靜修東路60號,"239 ","1 ",大樓,,彰化縣員林市仁美里靜修東路60號
109.0,仁美里,彰化縣員林市仁美里和平街8號,"293 ","1 ",大樓,,彰化縣員林市仁美里和平街8號
110.0,仁美里,彰化縣員林市仁美里靜修東路42號,"160 ","1 ",大樓,,彰化縣員林市仁美里靜修東路42號
111.0,仁美里,彰化縣員林市仁美里浮圳路2段405號,"3,765 ","1 ",大樓,,彰化縣員林市仁美里浮圳路2段405號
112.0,中山里,彰化縣員林市中山里中山路1段844號,"20 ","1 ",大樓,,彰化縣員林市中山里中山路1段844號
113.0,中山里,彰化縣員林市中山里民權街33號,"53 ","1 ",大樓,,彰化縣員林市中山里民權街33號
114.0,中山里,彰化縣員林市中山里民族街25號之2,"13 ","1 ",大樓,,彰化縣員林市中山里民族街25號之2
115.0,中山里,彰化縣員林市中山里中山路1段836號,"47 ","1 ",大樓,,彰化縣員林市中山里中山路1段836號
116.0,中山里,彰化縣員林市中山里民族街33號,"224 ","1 ",大樓,,彰化縣員林市中山里民族街33號
117.0,中山里,彰化縣員林市中山里光明街378號,"67 ","1 ",大樓,,彰化縣員林市中山里光明街378號
118.0,中山里,彰化縣員林市中山里中山路1段838號,"245 ","1 ",大樓,,彰化縣員林市中山里中山路1段838號
119.0,中山里,彰化縣員林市中山里光復街9號,"31 ","1 ",大樓,,彰化縣員林市中山里光復街9號
120.0,中山里,彰化縣員林市中山里光明街285號,"120 ","1 ",大樓,,彰化縣員林市中山里光明街285號
121.0,中山里,彰化縣員林市中山里三民街60號,"55 ","1 ",大樓,,彰化縣員林市中山里三民街60號
122.0,中山里,彰化縣員林市中山里光復街22之2號,"89 ","1 ",大樓,,彰化縣員林市中山里光復街22之2號
123.0,中山里,彰化縣員林市中山里中山路1段780號,"620 ","1 ",大樓,,彰化縣員林市中山里中山路1段780號
124.0,中山里,彰化縣員林市中山里光明街305號,"96 ","1 ",大樓,,彰化縣員林市中山里光明街305號
125.0,中山里,彰化縣員林市中山里光明街303號,"96 ","1 ",大樓,,彰化縣員林市中山里光明街303號
126.0,中山里,彰化縣員林市中山里中山路1段805號,"27 ","1 ",大樓,,彰化縣員林市中山里中山路1段805號
127.0,中山里,彰化縣員林市中山里光明街255號,"23 ","1 ",大樓,,彰化縣員林市中山里光明街255號
128.0,中山里,彰化縣員林市中山里光明街253號,"17 ","1 ",大樓,,彰化縣員林市中山里光明街253號
129.0,中山里,彰化縣員林市中山里光明街251號,"17 ","1 ",大樓,,彰化縣員林市中山里光明街251號
130.0,中山里,彰化縣員林市中山里光明街249號,"17 ","1 ",大樓,,彰化縣員林市中山里光明街249號
131.0,中山里,彰化縣員林市中山里光明街247號,"17 ","1 ",大樓,,彰化縣員林市中山里光明街247號
132.0,中山里,彰化縣員林市中山里光明街245號,"17 ","1 ",大樓,,彰化縣員林市中山里光明街245號
133.0,中山里,彰化縣員林市中山里光明街355號,"89 ","1 ",大樓,,彰化縣員林市中山里光明街355號
134.0,中山里,彰化縣員林市中山里光明街353號,"92 ","1 ",大樓,,彰化縣員林市中山里光明街353號
135.0,中山里,彰化縣員林市中山里光明街351號,"92 ","1 ",大樓,,彰化縣員林市中山里光明街351號
136.0,中山里,彰化縣員林市中山里光明街349號,"92 ","1 ",大樓,,彰化縣員林市中山里光明街349號
137.0,中山里,彰化縣員林市中山里光明街345號,"140 ","1 ",大樓,,彰化縣員林市中山里光明街345號
138.0,中山里,彰化縣員林市中山里光明街343號,"132 ","1 ",大樓,,彰化縣員林市中山里光明街343號
139.0,中山里,彰化縣員林市中山里光明街347號,"365 ","1 ",大樓,,彰化縣員林市中山里光明街347號
140.0,中山里,彰化縣員林市中山里光明街295號,"544 ","1 ",大樓,,彰化縣員林市中山里光明街295號
141.0,中山里,彰化縣員林市中山里中山路1段820號,"88 ","1 ",大樓,,彰化縣員林市中山里中山路1段820號
142.0,中山里,彰化縣員林市中山里民族街33號,"244 ","1 ",大樓,,彰化縣員林市中山里民族街33號
143.0,中山里,彰化縣員林市中山里中山路1段717號,"179 ","1 ",大樓,,彰化縣員林市中山里中山路1段717號
144.0,中山里,彰化縣員林市中山里中山路1段756號,"462 ","1 ",大樓,,彰化縣員林市中山里中山路1段756號
145.0,中山里,彰化縣員林市中山里中山路1段753號,"880 ","1 ",大樓,,彰化縣員林市中山里中山路1段753號
146.0,和平里,彰化縣員林市和平里民權街54號,"53 ","1 ",大樓,,彰化縣員林市和平里民權街54號
147.0,和平里,彰化縣員林市和平里民權街28號,"214 ","1 ",大樓,,彰化縣員林市和平里民權街28號
148.0,和平里,彰化縣員林市和平里中山路2段369巷4號,"240 ","1 ",大樓,,彰化縣員林市和平里中山路2段369巷4號
149.0,和平里,彰化縣員林市和平里中山路2段51號,"227 ","1 ",大樓,,彰化縣員林市和平里中山路2段51號
150.0,和平里,彰化縣員林市和平里中山路2段2號,"331 ","1 ",大樓,,彰化縣員林市和平里中山路2段2號
151.0,和平里,彰化縣員林市和平里民權街48號,"105 ","1 ",大樓,,彰化縣員林市和平里民權街48號
152.0,和平里,彰化縣員林市和平里中正路585號,"239 ","1 ",員林客運,,彰化縣員林市和平里中正路585號
153.0,和平里,彰化縣員林市和平里中山路2段30號,"645 ","1 ",大樓,,彰化縣員林市和平里中山路2段30號
154.0,和平里,彰化縣員林市和平里中山路2段277巷12弄4號,"183 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷12弄4號
155.0,和平里,彰化縣員林市和平里中山路2段123號,"79 ","1 ",大樓,,彰化縣員林市和平里中山路2段123號
156.0,和平里,彰化縣員林市和平里中山路2段277巷40號,"17 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷40號
157.0,和平里,彰化縣員林市和平里中山路2段277巷3號,"19 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷3號
158.0,和平里,彰化縣員林市和平里建國路38巷27號,"29 ","1 ",大樓,,彰化縣員林市和平里建國路38巷27號
159.0,和平里,彰化縣員林市和平里中山路2段36之1號,"60 ","1 ",大樓,,彰化縣員林市和平里中山路2段36之1號
160.0,和平里,彰化縣員林市和平里中山路2段36之2號,"60 ","1 ",大樓,,彰化縣員林市和平里中山路2段36之2號
161.0,和平里,彰化縣員林市和平里中山路2段36之3號,"60 ","1 ",大樓,,彰化縣員林市和平里中山路2段36之3號
162.0,和平里,彰化縣員林市和平里中山路2段131巷48弄1號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄1號
163.0,和平里,彰化縣員林市和平里中山路2段131巷48弄3號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄3號
164.0,和平里,彰化縣員林市和平里中山路2段131巷48弄5號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄5號
165.0,和平里,彰化縣員林市和平里中山路2段131巷48弄7號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄7號
166.0,和平里,彰化縣員林市和平里中山路2段131巷48弄9號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄9號
167.0,和平里,彰化縣員林市和平里中山路2段131巷48弄11號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄11號
168.0,和平里,彰化縣員林市和平里中山路2段131巷48弄13號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄13號
169.0,和平里,彰化縣員林市和平里中山路2段131巷48弄15號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄15號
170.0,和平里,彰化縣員林市和平里中山路2段131巷48弄17號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄17號
171.0,和平里,彰化縣員林市和平里中山路2段131巷48弄19號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄19號
172.0,和平里,彰化縣員林市和平里中山路2段131巷48弄21號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄21號
173.0,和平里,彰化縣員林市和平里中山路2段131巷48弄23號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄23號
174.0,和平里,彰化縣員林市和平里中山路2段131巷48弄25號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄25號
175.0,和平里,彰化縣員林市和平里中山路2段131巷48弄27號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄27號
176.0,和平里,彰化縣員林市和平里中山路2段131巷48弄29號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄29號
177.0,和平里,彰化縣員林市和平里中山路2段131巷48弄2號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄2號
178.0,和平里,彰化縣員林市和平里中山路2段131巷48弄4號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄4號
179.0,和平里,彰化縣員林市和平里中山路2段131巷48弄6號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄6號
180.0,和平里,彰化縣員林市和平里中山路2段131巷48弄8號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄8號
181.0,和平里,彰化縣員林市和平里中山路2段131巷48弄10號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄10號
182.0,和平里,彰化縣員林市和平里中山路2段131巷48弄12號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄12號
183.0,和平里,彰化縣員林市和平里中山路2段131巷48弄14號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄14號
184.0,和平里,彰化縣員林市和平里中山路2段131巷48弄16號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄16號
185.0,和平里,彰化縣員林市和平里中山路2段131巷48弄18號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄18號
186.0,和平里,彰化縣員林市和平里中山路2段131巷48弄20號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄20號
187.0,和平里,彰化縣員林市和平里中山路2段131巷48弄24號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄24號
188.0,和平里,彰化縣員林市和平里中山路2段131巷48弄26號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄26號
189.0,和平里,彰化縣員林市和平里中山路2段131巷48弄28號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄28號
190.0,和平里,彰化縣員林市和平里中山路2段131巷48弄30號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄30號
191.0,和平里,彰化縣員林市和平里中山路2段131巷48弄22號,"21 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷48弄22號
192.0,和平里,彰化縣員林市和平里中正路551巷3號,"51 ","1 ",大樓,,彰化縣員林市和平里中正路551巷3號
193.0,和平里,彰化縣員林市和平里中正路551巷11號,"68 ","1 ",大樓,,彰化縣員林市和平里中正路551巷11號
194.0,和平里,彰化縣員林市和平里莒光路774號,"65 ","1 ",大樓,,彰化縣員林市和平里莒光路774號
195.0,和平里,彰化縣員林市和平里莒光路772號,"65 ","1 ",大樓,,彰化縣員林市和平里莒光路772號
196.0,和平里,彰化縣員林市和平里莒光路764巷1號,"37 ","1 ",大樓,,彰化縣員林市和平里莒光路764巷1號
197.0,和平里,彰化縣員林市和平里莒光路764巷13號,"55 ","1 ",大樓,,彰化縣員林市和平里莒光路764巷13號
198.0,和平里,彰化縣員林市和平里莒光路764巷5號,"55 ","1 ",大樓,,彰化縣員林市和平里莒光路764巷5號
199.0,和平里,彰化縣員林市和平里莒光路764巷15號,"37 ","1 ",大樓,,彰化縣員林市和平里莒光路764巷15號
200.0,和平里,彰化縣員林市和平里莒光路780巷1號,"27 ","1 ",大樓,,彰化縣員林市和平里莒光路780巷1號
201.0,和平里,彰化縣員林市和平里中山路2段277巷10弄6號,"25 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷10弄6號
202.0,和平里,彰化縣員林市和平里莒光路796號,"424 ","1 ",大樓,,彰化縣員林市和平里莒光路796號
203.0,和平里,彰化縣員林市和平里中山路2段369巷133號,"2,040 ","1 ",大樓,,彰化縣員林市和平里中山路2段369巷133號
204.0,和平里,彰化縣員林市和平里莒光路778號,"101 ","1 ",大樓,,彰化縣員林市和平里莒光路778號
205.0,和平里,彰化縣員林市和平里中山路2段121號,"24 ","1 ",大樓,,彰化縣員林市和平里中山路2段121號
206.0,和平里,彰化縣員林市和平里中山路2段119號,"27 ","1 ",大樓,,彰化縣員林市和平里中山路2段119號
207.0,和平里,彰化縣員林市和平里中正路511號,"231 ","1 ",大樓,,彰化縣員林市和平里中正路511號
208.0,和平里,彰化縣員林市和平里中山路2段82號,"91 ","1 ",大樓,,彰化縣員林市和平里中山路2段82號
209.0,和平里,彰化縣員林市和平里中山路2段277巷2弄8號,"20 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷2弄8號
210.0,和平里,彰化縣員林市和平里中山路2段277巷12弄3號,"1,656 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷12弄3號
211.0,和平里,彰化縣員林市和平里中山路2段369巷2弄17號,"96 ","1 ",大樓,,彰化縣員林市和平里中山路2段369巷2弄17號
212.0,和平里,彰化縣員林市和平里中正路573號,"91 ","1 ",大樓,,彰化縣員林市和平里中正路573號
213.0,和平里,彰化縣員林市和平里中山路2段277巷45號,"43 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷45號
214.0,和平里,彰化縣員林市和平里莒光路724-734號,"123 ","1 ",大樓,,彰化縣員林市和平里莒光路724-734號
215.0,和平里,彰化縣員林市和平里靜修路48之1號,"36 ","1 ",大樓,,彰化縣員林市和平里靜修路48之1號
216.0,和平里,彰化縣員林市和平里靜修路48號,"43 ","1 ",大樓,,彰化縣員林市和平里靜修路48號
217.0,和平里,彰化縣員林市和平里莒光路736巷50號,"32 ","1 ",大樓,,彰化縣員林市和平里莒光路736巷50號
218.0,和平里,彰化縣員林市和平里莒光路736巷52號,"56 ","1 ",大樓,,彰化縣員林市和平里莒光路736巷52號
219.0,和平里,彰化縣員林市和平里中山路2段277巷,"8,171 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷
220.0,和平里,彰化縣員林市和平里中山路2段131巷54弄15至24號,"20 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷54弄15至24號
221.0,和平里,彰化縣員林市和平里中山路2段277巷12弄60號,"2,328 ","1 ",大樓,,彰化縣員林市和平里中山路2段277巷12弄60號
222.0,和平里,彰化縣員林市和平里中山路2段131巷54弄13號,"426 ","1 ",大樓,,彰化縣員林市和平里中山路2段131巷54弄13號
224.0,和平里,彰化縣員林市和平里莒光路736巷1號,"1,968 ","1 ",大樓,,彰化縣員林市和平里莒光路736巷1號
