電腦編號(強制),建築物名稱(強制),類別(強制),村里別(強制),地址(強制),經緯度(強制),地下層樓數(強制),通知列管文號(非強制),建築執照文號(非強制),使用執照文號(非強制),建築層數(強制),基層面積(非強制),附建面積(非強制),容量(強制),自用(強制),活動人口(強制),兼作停車場(強制),分局別(強制),所別(強制)
HQA00033,品漾峇里島,大樓,,苗栗縣頭份市忠孝里13鄰忠孝一路69巷98號,"24.690824509947994, 120.90688643543415",1.0,77年1月26日建管字第1643號,,,4.0,2500.0,2328.0,3104.0,2172.0,932.0,無,頭份分局,頭份派出所
HQA00035,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路115號,"24.69046553990829, 120.90872425453236",1.0,78年9月16日建管字第92128號,,,4.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00036,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路109號,"24.69039688403943, 120.90861154104036",1.0,78年9月16日建管字第92129號,,,4.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00037,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路102號,"24.69030586438128, 120.90857268151639",1.0,78年11月28日建管字第120620號,,,4.0,45.0,46.0,61.0,42.0,19.0,無,頭份分局,頭份派出所
HQA00038,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路109號,"24.690455371943997, 120.90853643918834",1.0,78年9月16日建管字第92130號,,,4.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00039,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路106號,"24.690263132317273, 120.90877202569641",1.0,78年9月16日建管字第92127號,,,3.0,60.0,58.0,77.0,53.0,24.0,無,頭份分局,頭份派出所
HQA00040,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路113號,"24.69043898795424, 120.90864872569637",1.0,78年9月16日建管字第92139號,,,3.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00041,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路115號,"24.690572767653347, 120.90876716987637",1.0,78年9月16日建管字第92119號,,,4.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00043,公寓,公寓,,苗栗縣頭份市忠孝里14鄰忠孝一路107號,"24.690376028104833, 120.9084599833684",1.0,78年9月16日建管字第92131號,,,4.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00044,公寓,公寓,,苗栗縣頭份市自強里15鄰自強路82號,"24.68968664124898, 120.91078162384433",1.0,71年9月2日建管字第82621號,,,4.0,110.0,112.0,149.0,104.0,45.0,無,頭份分局,頭份派出所
HQA00045,公寓,公寓,,苗栗縣頭份市自強里16鄰自強路60巷1號,"24.689858689188757, 120.91129369691716",1.0,71年1月20日建都字第1347號,,,4.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00046,公寓,公寓,,苗栗縣頭份市自強里16鄰長樂街32號,"24.68984113028239, 120.9110296990298",1.0,71年1月20日建都字第1346號,,,5.0,60.0,57.0,76.0,53.0,23.0,無,頭份分局,頭份派出所
HQA00047,公寓,公寓,,苗栗縣頭份市自強里16鄰長樂街32號,"24.68984113028239, 120.9110296990298",1.0,71年1月20日建都字第1346號,,,5.0,150.0,175.0,233.0,163.0,70.0,無,頭份分局,頭份派出所
HQA00051,公寓,公寓,,苗栗縣頭份市忠孝里11鄰忠孝一路111巷1號,"24.690507979817156, 120.90834761035235",1.0,70年9月3日建都字第78509號,,,4.0,150.0,160.0,213.0,149.0,64.0,無,頭份分局,頭份派出所
HQA00052,公寓,公寓,,苗栗縣頭份市信義里10鄰中正路103號,"24.68610583083789, 120.90891149686024",1.0,78年7月8日建管字第63550號,,,4.0,100.0,92.0,122.0,85.0,37.0,無,頭份分局,頭份派出所
HQA00053,台灣銀行頭份分行,銀行,,苗栗縣頭份市信義里11鄰中正路65號,"24.685349745510514, 120.9080654122043",1.0,67年11月19日建都字第89759號,,,2.0,150.0,146.0,194.0,135.0,59.0,無,頭份分局,頭份派出所
HQA00054,億品鍋火鍋店,公寓,,苗栗縣頭份市信義里9鄰中正路116號,"24.685274945650946, 120.90816353918828",1.0,67年1月5日建都字第1393號,,,3.0,60.0,59.0,78.0,54.0,24.0,無,頭份分局,頭份派出所
HQA00055,頭份戶政事務所,,,苗栗縣頭份市信義里11鄰和平路68號,"24.685228148922352, 120.90727079686022",1.0,72年9月9日建都字第665732號,,,3.0,85.0,84.0,112.0,78.0,34.0,無,頭份分局,頭份派出所
HQA00056,台灣土地銀行,銀行,,苗栗縣頭份市信義里11鄰中華路932號,"24.685980174585197, 120.90777158932016",1.0,71年1月20日建都字第1346號,,,4.0,150.0,150.0,200.0,140.0,60.0,無,頭份分局,頭份派出所
HQA00057,祥安診所,診所,,苗栗縣頭份市信義里11鄰中華路928號,"24.685784844693707, 120.90753743918832",1.0,71年7月27日建都字第63469號,,,5.0,100.0,100.0,133.0,93.0,40.0,無,頭份分局,頭份派出所
HQA00058,陽光金融大廈,大樓,,苗栗縣頭份市信義里11鄰中華路926號,"24.685837906083965, 120.90772220426824",1.0,78年7月15日建管字第71515號,,,10.0,300.0,294.0,392.0,274.0,118.0,無,頭份分局,頭份派出所
HQA00060,公寓,公寓,,苗栗縣頭份市信義里8鄰信義路68號,"24.68541524217764, 120.90858206802416",1.0,73年12月29日建都字第113245號,,,4.0,15.0,14.0,18.0,12.0,6.0,無,頭份分局,頭份派出所
HQA00061,公寓,公寓,,苗栗縣頭份市信義里中山路79號,"24.684485644068193, 120.90874004289216",1.0,70年1月16日建都字第401號,,,5.0,45.0,44.0,58.0,40.0,18.0,無,頭份分局,頭份派出所
HQA00062,公寓,公寓,,苗栗縣頭份市中山路81號,"24.56820799510375, 120.82376231220178",1.0,77年6月20日建都字第7208號,,,4.0,30.0,31.0,41.0,28.0,13.0,無,頭份分局,頭份派出所
HQA00063,公寓,公寓,,苗栗縣頭份市和平路50號,"24.564273825227225, 120.81747583733372",1.0,70年1月17日建都字第748號,,,5.0,250.0,250.0,333.0,233.0,100.0,無,頭份分局,頭份派出所
HQA00064,中華電信頭份服務中心,,,苗栗縣頭份市信義里11鄰和平路70號,"24.56394347290785, 120.81752741220174",1.0,75年12月3日建管字第109113號,,,3.0,200.0,200.0,266.0,186.0,80.0,無,頭份分局,頭份派出所
HQA00065,公寓,公寓,,苗栗縣頭份市中山路115巷5號之7,查無地址,1.0,76年10月23日建都字第96233號,,,5.0,60.0,67.0,89.0,62.0,27.0,無,頭份分局,頭份派出所
HQA00066,公寓,公寓,,苗栗縣頭份市忠孝里7鄰忠孝二路76號,"24.692313932434516, 120.90901945453246",1.0,72年2月23日建都字第15101號,,,2.0,30.0,29.0,38.0,26.0,12.0,無,頭份分局,頭份派出所
HQA00067,公寓,公寓,,苗栗縣頭份市忠孝里7鄰長安街20號,"24.56974487497388, 120.82542928336578",1.0,73年5月10日建都字第32565號,,,2.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00068,公寓,公寓,,苗栗縣頭份市忠孝里10鄰信東路212號,"24.691784746065128, 120.90815308151637",1.0,75年5月29日建都字第43518號,,,2.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,頭份派出所
HQA00069,公寓,公寓,,苗栗縣頭份市忠孝里10鄰信東路210號,"24.691764029264153, 120.90828302569628",1.0,75年7月7日建管字第58523號,,,3.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,頭份派出所
HQA00070,公寓,公寓,,苗栗縣頭份市忠孝里10鄰信東路218號,"24.69198876822501, 120.90805573733647",1.0,78年1月30日建管字第7410號,,,2.0,30.0,32.0,42.0,29.0,13.0,無,頭份分局,頭份派出所
HQA00071,公寓,公寓,,苗栗縣頭份市忠孝里9鄰長泰街13巷13號,"24.691533625568972, 120.90882553918838",1.0,74年12月31日建都字第10622號,,,2.0,10.0,12.0,16.0,11.0,5.0,無,頭份分局,頭份派出所
HQA00072,公寓,公寓,,苗栗縣頭份市自強里10鄰信東路222號,"24.69201902874543, 120.90805455268038",1.0,78年1月30日建管字第7409號,,,2.0,35.0,34.0,45.0,31.0,14.0,無,頭份分局,頭份派出所
HQA00073,公寓,公寓,,苗栗縣頭份市自強里10鄰長泰街3號,"24.69109294693327, 120.90938492814963",1.0,79年4月9日建管字第22378號,,,2.0,50.0,46.0,61.0,42.0,19.0,無,頭份分局,頭份派出所
HQA00074,公寓,公寓,,苗栗縣頭份市自強里10鄰信東路178號,"24.691148234623515, 120.90869394104034",1.0,78年4月10日建管字第27309號,,,3.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00075,公寓,公寓,,苗栗縣頭份市自強里10鄰信東路220號,"24.691995624556863, 120.90810031035241",1.0,78年1月30日建管字第7413號,,,3.0,40.0,39.0,52.0,36.0,16.0,無,頭份分局,頭份派出所
HQA00076,公寓,公寓,,苗栗縣頭份市自強里10鄰信東路214號,"24.69182773334758, 120.90816686802438",1.0,78年10月27日建管字第104588號,,,3.0,35.0,35.0,46.0,32.0,14.0,無,頭份分局,頭份派出所
HQA00077,公寓,公寓,,苗栗縣頭份市自強里7鄰忠孝二路70號,"24.692372923730282, 120.90883848336833",1.0,71年5月25日建都字第72996號,,,2.0,20.0,22.0,29.0,20.0,9.0,無,頭份分局,頭份派出所
HQA00078,公寓,公寓,,苗栗縣頭份市自強里7鄰長安街22號,"24.569718147272432, 120.82538055267777",1.0,74年4月17日建都字第24757號,,,2.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00079,公寓,公寓,,苗栗縣頭份市自強里7鄰長安街16號,"24.570013348569862, 120.82542502384193",1.0,74年4月29日建都字第28536號,,,2.0,30.0,29.0,38.0,26.0,12.0,無,頭份分局,頭份派出所
HQA00080,公寓,公寓,,苗栗縣頭份市自強里7鄰忠孝一路129號,"24.691027686894806, 120.90946049500839",1.0,76年10月30日建管字第92515號,,,2.0,50.0,50.0,66.0,46.0,20.0,無,頭份分局,頭份派出所
HQA00081,公寓,公寓,,苗栗縣頭份市忠孝里1鄰長安街113號,"24.691248730312417, 120.91213502569637",1.0,79年8月27日建管字第84196號,,,6.0,300.0,287.0,382.0,267.0,115.0,有,頭份分局,頭份派出所
HQA00082,公寓,公寓,,苗栗縣頭份市自強里5鄰長生街14號,"24.691978476710847, 120.90972369686038",1.0,71年11月24日建都字第92225號,,,2.0,30.0,27.0,36.0,25.0,11.0,無,頭份分局,頭份派出所
HQA00083,公寓,公寓,,苗栗縣頭份市忠孝里9鄰長安街96號,"24.568066907651325, 120.82527355452984",1.0,72年12月19日建都字第104353號,,,2.0,20.0,17.0,22.0,15.0,7.0,無,頭份分局,頭份派出所
HQA00084,公寓,公寓,,苗栗縣頭份市自強里6鄰長安街106號,"24.567841823191248, 120.82524536802185",1.0,72年2月23日建都字第15101號,,,2.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00085,公寓,公寓,,苗栗縣頭份市自強里6鄰忠孝一路195號,"24.69193008104057, 120.91120305268043",1.0,72年2月13日建都字第13101號,,,2.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00086,公寓,公寓,,苗栗縣頭份市自強里6鄰長安街80弄1號,"24.692383980152705, 120.91090344104039",1.0,83年1月19日建管字第1250號,,,7.0,150.0,177.0,236.0,165.0,71.0,無,頭份分局,頭份派出所
HQA00087,公寓,公寓,,苗栗縣頭份市自強里6鄰忠孝二路74號,"24.6922881846265, 120.90896509686046",1.0,72年6月20日建都字第47129號,,,3.0,30.0,30.0,40.0,28.0,12.0,無,頭份分局,頭份派出所
HQA00088,公寓,公寓,,苗栗縣頭份市忠孝里9鄰長安街9號,"24.570125846573873, 120.82564732569384",1.0,71年3月25日建都字第42996號,,,2.0,15.0,17.0,22.0,15.0,7.0,無,頭份分局,頭份派出所
HQA00089,公寓,公寓,,苗栗縣頭份市自強里7鄰忠孝一路121號,"24.6908500750391, 120.90933628336838",1.0,72年2月23日建都字第15101號,,,2.0,20.0,19.0,25.0,17.0,8.0,無,頭份分局,頭份派出所
HQA00090,公寓,公寓,,苗栗縣頭份市忠孝里8鄰忠孝二路66號,"24.692422823620998, 120.90885222754841",1.0,72年2月23日建都字第15101號,,,2.0,30.0,29.0,38.0,26.0,12.0,無,頭份分局,頭份派出所
HQA00091,公寓,公寓,,苗栗縣頭份市忠孝里8鄰忠孝二路68號,"24.692205041192082, 120.90887891220441",1.0,71年11月24日建都字第92225號,,,2.0,30.0,30.0,40.0,28.0,12.0,無,頭份分局,頭份派出所
HQA00092,公寓,公寓,,苗栗縣頭份市民權里2鄰中華路815號,"24.6820123004365, 120.90324489871227",1.0,72年7月23日建都字第15101號,,,2.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00093,公寓,公寓,,苗栗縣頭份市民權里2鄰中華路827號,"24.6822975376594, 120.90353929871219",1.0,71年5月25日建都字第42996號,,,2.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,頭份派出所
HQA00094,公寓,公寓,,苗栗縣頭份市民權里2鄰中華路829號,"24.682149019137107, 120.90447942093621",1.0,71年3月10日建都字第17361號,,,2.0,20.0,22.0,29.0,20.0,9.0,無,頭份分局,頭份派出所
HQA00095,公寓,公寓,,苗栗縣頭份市民權里6鄰東民路19號,"24.68200671925963, 120.90270398336817",1.0,71年9月15日建都字第77925號,,,3.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,頭份派出所
HQA00096,公寓,公寓,,苗栗縣頭份市民權里1鄰中華路885巷6號,"24.68347359177287, 120.90498992331622",1.0,70年1月16日建都字第743號,,,6.0,70.0,70.0,93.0,65.0,28.0,無,頭份分局,頭份派出所
HQA00097,公寓,公寓,,苗栗縣頭份市民權里1鄰中華路885巷2號,"24.68336375213081, 120.90486100056424",1.0,70年1月16日建都字第744號,,,6.0,70.0,77.0,102.0,71.0,31.0,無,頭份分局,頭份派出所
HQA00098,公寓,公寓,,苗栗縣頭份市民權里1鄰中華路891號,"24.683124458261013, 120.90475670850016",1.0,78年4月25日建都字第36285號,,,2.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00099,公寓,公寓,,苗栗縣頭份市民權里2鄰東民路28號,"24.682505164669962, 120.90321393310418",1.0,80年8月6日建管字第71285號,,,4.0,210.0,210.0,280.0,196.0,84.0,無,頭份分局,頭份派出所
HQA00100,統帥大樓,大樓,,苗栗縣頭份市民權里2鄰東民路35號,"24.682934658528268, 120.90341338469219",1.0,80年8月6日建管字第71285號,,,6.0,900.0,828.0,1104.0,772.0,332.0,無,頭份分局,頭份派出所
HQA00101,公寓,公寓,,苗栗縣頭份市民權里1鄰東民路29號,"24.68250721328223, 120.90295077728426",1.0,74年2月19日建都字第107453號,,,2.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,頭份派出所
HQA00102,公寓,公寓,,苗栗縣頭份市民權里2鄰東興路97號,"24.68361400904151, 120.90494186934832",1.0,71年11月24日建都字第92225號,,,3.0,50.0,48.0,64.0,44.0,20.0,無,頭份分局,頭份派出所
HQA00103,公寓,公寓,,苗栗縣頭份市民權里2鄰東興路99號,"24.683669457493654, 120.90432471220427",1.0,71年11月24日建都字92225第號,,,3.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00107,公寓,公寓,,苗栗縣頭份市民權里8鄰東興路165巷22號,"24.68333100074339, 120.90201688336826",1.0,70年10月15日建都字第93335號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00108,公寓,公寓,,苗栗縣頭份市民權里2鄰東興路60巷4號,"24.683481451928287, 120.9061601410403",1.0,70年11月26日建都字第10329號,,,2.0,50.0,49.0,65.0,45.0,20.0,無,頭份分局,頭份派出所
HQA00109,公寓,公寓,,苗栗縣頭份市二份9號之5,查無地址,1.0,70年5月6日建都字第35233號,,,2.0,50.0,49.0,65.0,45.0,20.0,無,頭份分局,頭份派出所
HQA00110,公寓,公寓,,苗栗縣頭份市民權里8鄰東銀街28巷10號,"24.68293539146218, 120.90157937184262",1.0,70年5月15日建都字第35235號,,,2.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00111,公寓,公寓,,苗栗縣頭份市民權里8鄰三份9號之15,查無地址,1.0,70年5月6日建都字第35232號,,,2.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00112,公寓,公寓,,苗栗縣頭份市民權里8鄰三份9號之16,查無地址,1.0,77年6月25日建管字第49185號,,,3.0,30.0,30.0,40.0,28.0,12.0,無,頭份分局,頭份派出所
HQA00113,公寓,公寓,,苗栗縣頭份市新屋家43號之20,查無地址,1.0,70年5月11日建都字第34964號,,,5.0,120.0,120.0,160.0,112.0,48.0,無,頭份分局,頭份派出所
HQA00114,公寓,公寓,,苗栗縣頭份市民生里5鄰中華路693號,"24.67998980439083, 120.90023709686008",1.0,70年6月23日建都字第43678號,,,2.0,15.0,17.0,22.0,15.0,7.0,無,頭份分局,頭份派出所
HQA00115,公寓,公寓,,苗栗縣頭份市民生里5鄰民生街5號,"24.555687163880705, 120.81905133918548",1.0,71年1月20日建都字第2398號,,,3.0,20.0,19.0,25.0,17.0,8.0,無,頭份分局,頭份派出所
HQA00116,公寓,公寓,,苗栗縣頭份市民生里5鄰民生街3號,"24.55996420223553, 120.81926931078324",1.0,79年4月13日建管字第22605號,,,3.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00117,進南萬公司,公司,,苗栗縣頭份市民生里3鄰光華街31弄7號,"24.55906836456831, 120.8251369238416",1.0,82年8月21日建管字第24089號,,,7.0,500.0,479.0,638.0,446.0,192.0,無,頭份分局,頭份派出所
HQA00118,公寓,公寓,,苗栗縣頭份市東庄里19鄰華隆街29號,"24.685846802784038, 120.89950833918822",1.0,79年10月30日建管字第105633號,,,2.0,35.0,36.0,48.0,33.0,15.0,無,頭份分局,頭份派出所
HQA00119,六合國小,學校,,苗栗縣頭份市東庄里19鄰民族路252號,"24.685230, 120.901348",1.0,74年12月28日建都字第107698號,,,2.0,119.0,120.0,160.0,112.0,48.0,無,頭份分局,頭份派出所
HQA00120,台灣電力公司變電所,公司,,苗栗縣頭份市東庄里19鄰民族路370號,"24.685654248104264, 120.89719998257655",1.0,76年5月5日建管字第40476號,,,2.0,250.0,236.0,314.0,219.0,95.0,無,頭份分局,頭份派出所
HQA00121,公寓,公寓,,苗栗縣頭份市東庄里6鄰民族路313號,"24.685364993795687, 120.89803138257665",1.0,73年5月29日建管字第46198號,,,2.0,40.0,41.0,54.0,37.0,17.0,無,頭份分局,頭份派出所
HQA00122,嘉里大榮貨運公司,公司,,苗栗縣頭份市東庄里6鄰自強路2段68號,"24.684410050245514, 120.89766699421763",1.0,80年4月2日建管字第29718號,,,2.0,320.0,320.0,426.0,298.0,128.0,無,頭份分局,頭份派出所
HQA00123,拆除,,,苗栗縣頭份市東庄里6鄰自強路2段25號,查無地址,1.0,79年5月8日建管字第41376號,,,3.0,2650.0,2641.0,3521.0,2464.0,1057.0,無,頭份分局,頭份派出所
HQA00124,公寓,公寓,,苗栗縣頭份市東庄里9鄰民族路414號,"24.685851699406236, 120.89524572490481",1.0,72年2月2日建都字第15101號,,,2.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00126,三松木器加工廠,公司,,苗栗縣頭份市東庄里9鄰民族路418號,"24.685840951065547, 120.89506180956131",1.0,86年7月3日苗份警防字第0001號,,,3.0,30.0,31.0,41.0,28.0,13.0,無,頭份分局,頭份派出所
HQA00127,公寓,公寓,,苗栗縣頭份市東庄里9鄰民族路426號,"24.685633748139566, 120.89490596723303",1.0,75年5月27日建都字第43694號,,,3.0,40.0,39.0,52.0,36.0,16.0,無,頭份分局,頭份派出所
HQA00128,公寓,公寓,,苗栗縣頭份市東庄里9鄰民族路436號,"24.685734144703986, 120.89471121141243",1.0,70年4月8日建都字第16814號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00129,公寓,公寓,,苗栗縣頭份市東庄里9鄰民族路438號,"24.68575414140354, 120.89464762490476",1.0,70年1月7日建都字第113167號,,,3.0,25.0,22.0,29.0,20.0,9.0,無,頭份分局,頭份派出所
HQA00130,公寓,公寓,,苗栗縣頭份市東庄里9鄰民族路440號,"24.68562949327842, 120.89487588257667",1.0,70年1月7日建都字第113166號,,,2.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00131,公寓,公寓,,苗栗縣頭份市上庄46號之15,查無地址,1.0,86年7月31日苗份警防字第0002號,,,2.0,50.0,46.0,61.0,42.0,19.0,無,頭份分局,頭份派出所
