類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
工廠,中崙里,基隆市安樂區武訓街45號,"25.14622, 121.69989",1.0,127,第四分局,
工廠,中崙里,基隆市安樂區武訓街43號,"25.14595, 121.70004",1.0,538,第四分局,
工廠,中崙里,基隆市安樂區武訓街50號,"25.14625, 121.70055",1.0,16,第四分局,
工廠,中崙里,基隆市安樂區基金二路13號,"25.14354, 121.70239",2.0,608,第四分局,
工廠,中崙里,基隆市安樂區基金二路1巷174之1號,"25.14161, 121.70045",3.0,5296,第四分局,
工廠,中崙里,基隆市安樂區基金二路1巷176號,"25.14189, 121.70126",2.0,4061,第四分局,
工廠,中崙里,基隆市安樂區基金二路45號,"25.14412, 121.70209",2.0,364,第四分局,,"工廠 中崙013 中崙里 基隆市安樂區基金二路45號 364 第四分局"
工廠,中崙里,基隆市安樂區基金二路1巷33號,"25.14146, 121.70319",1.0,713,第四分局,
工廠,中崙里,基隆市安樂區武訓街16號,"25.14264, 121.69968",1.0,368,第四分局,
工廠,中崙里,基隆市安樂區武訓街15號,"25.14316, 121.69879",1.0,144,第四分局,
工廠,中崙里,基隆市安樂區基金二路1巷32號,"25.14033, 121.70325",1.0,678,第四分局,
工廠,中崙里,基隆市安樂區基金二路1巷50號,"25.14064, 121.70332",1.0,335,第四分局,
工廠,中崙里,基隆市安樂區基金二路1巷38之2號,"25.14214, 121.70298",1.0,495,第四分局,
民宅,中興里,基隆市中山區中山二路53號,"25.138, 121.7405",1.0,286,第四分局,
民宅,中興里,基隆市中山區中山二路21號,"25.13738, 121.74069",1.0,31,第四分局,,"民宅 中興003 中興里 基隆市中山區中山二路21號 31 第四分局"
民宅,中興里,基隆市中山區中山二路1巷7之1號,"25.13683, 121.74069",1.0,68,第四分局,,"民宅 中興004 中興里 基隆市中山區中山二路1巷7之1號 68 第四分局"
民宅,中興里,基隆市中山區中山二路83號,"25.13875, 121.74008",1.0,162,第四分局,,"民宅 中興005 中興里 基隆市中山區中山二路83號 162 第四分局"
民宅,中興里,基隆市中山區中山二路65巷3號,"25.13828, 121.74013",1.0,537,第四分局,,"民宅 中興006 中興里 基隆市中山區中山二路65巷3號 537 第四分局"
民宅,中興里,基隆市中山區中山二路35號,"25.13765, 121.74076",1.0,148,第四分局,,"民宅 中興007 中興里 基隆市中山區中山二路35號 148 第四分局"
民宅,中興里,基隆市中山區華興街53巷7號,"25.13738, 121.73857",3.0,389,第四分局,,"民宅 中興008 中興里 基隆市中山區華興街53巷7號 389 第四分局"
民宅,中興里,基隆市中山區華興街53巷9號,"25.13731, 121.73861",2.0,716,第四分局,,"民宅 中興009 中興里 基隆市中山區華興街53巷9號 716 第四分局"
天下第一景,中興里,基隆市中山區中山二路7號,"25.13708, 121.74093",2.0,296,第四分局,,"天下第一景 中興010 中興里 基隆市中山區中山二路7號 296 第四分局"
民宅,五福里,基隆市安樂區樂利三街30巷67號,"25.12691, 121.71359",1.0,602,第四分局,
民宅,五福里,基隆市安樂區樂利三街30巷3號,"25.12766, 121.71172",1.0,1254,第四分局,
長樂國小,五福里,基隆市安樂區樂利三街30巷123號,"25.12634, 121.71214",1.0,1104,第四分局,
民宅,五福里,基隆市安樂區樂利三街32巷22號,"25.12635, 121.71259",1.0,374,第四分局,
大德國中,仁正里,基隆市中山區中山二路105巷144號,"25.13954, 121.73805",1.0,280,第四分局,
工廠,內寮里,基隆市安樂區武訓街70號,"25.14825, 121.69985",1.0,148,第四分局,
工廠,內寮里,基隆市安樂區武訓街65號,"25.1494, 121.69869",1.0,40,第四分局,
工廠,內寮里,基隆市安樂區武訓街51號,"25.14726, 121.69963",1.0,64,第四分局,
民宅,內寮里,基隆市安樂區基金三路46巷11號,"25.15471, 121.69735",2.0,3127,第四分局,
隆聖國小,內寮里,基隆市安樂區武隆街107號,"25.15578, 121.69456",1.0,146,第四分局,
民宅,內寮里,基隆市安樂區武隆街205號,"25.15849, 121.69367",1.0,226,第四分局,,"民宅 內寮006 內寮里 基隆市安樂區武隆街205號 226 第四分局"
工廠,內寮里,基隆市安樂區武訓街84號,"25.15037, 121.69843",1.0,1192,第四分局,,"工廠 內寮007 內寮里 基隆市安樂區武訓街84號 1192 第四分局"
隆聖國小,內寮里,基隆市安樂區武隆街107號,"25.15578, 121.69456",1.0,422,第四分局,
工廠,內寮里,基隆市安樂區武隆街127號,"25.15688, 121.69458",3.0,893,第四分局,
山海關社區,六合里,基隆市安樂區樂利三街189號,"25.1274, 121.71388",2.0,2359,第四分局,
民宅,六合里,基隆市安樂區樂利三街263巷47號,"25.127, 121.71581",2.0,2982,第四分局,
民宅,六合里,基隆市安樂區樂利三街369號,"25.127, 121.71581",1.0,496,第四分局,
基隆港務局,太白里,基隆市中山區中山四路1號,"25.14924, 121.745",1.0,387,第四分局,
防空洞,太白里,基隆市中山區光華路59號,"25.15201, 121.7436",1.0,126,第四分局,
民宅,文化里,基隆市中山區文化路60之1號,"25.15304, 121.73569",1.0,46,第四分局,
民宅,文化里,基隆市中山區文化路185號,"25.15399, 121.73191",1.0,84,第四分局,
民宅,文化里,基隆市中山區文化路189號,"25.15393, 121.73183",1.0,85,第四分局,
民宅,文化里,基隆市中山區文化路193之2號,"25.15381, 121.73163",1.0,84,第四分局,
中山國中,文化里,基隆市中山區文化路162號,"25.15386, 121.7309",1.0,161,第四分局,
中山國中,文化里,基隆市中山區文化路162號,"25.15386, 121.7309",1.0,104,第四分局,
民宅,文化里,基隆市中山區文化路164號,"25.155, 121.73088",1.0,243,第四分局,,"民宅 文化010 文化里 基隆市中山區文化路164號 243 第四分局"
中山區公所,文化里,基隆市中山區文化路168號,"25.15289, 121.72955",2.0,594,第四分局,
德和國小,文化里,基隆市中山區文化路162號,"25.15385, 121.7309",1.0,2219,第四分局,,"德和國小 文化012 文化里 基隆市中山區文化路162號 2219 第四分局"
仙洞國小,仙洞里,基隆市中山區仁安街141號,"25.1472, 121.7471",1.0,183,第四分局,
仙洞國小,仙洞里,基隆市中山區仁安街141號,"25.1472, 121.7471",1.0,331,第四分局,
東帝士,四維里,基隆市安樂區安和二街15號,"25.13064, 121.72255",1.0,9778,第四分局,,"東帝士 四維001 四維里 基隆市安樂區安和二街15號 9778 第四分局"
東帝士,四維里,基隆市安樂區安和二街15號,"25.13065, 121.72255",2.0,2410,第四分局,
東帝士,四維里,基隆市安樂區安和二街4之1號,"25.12918, 121.72063",1.0,4609,第四分局,,"東帝士 四維003 四維里 基隆市安樂區安和二街4之1號 4609 第四分局"
建德山莊,四維里,基隆市安樂區安和一街330巷3號,"25.1289, 121.72281",3.0,4245,第四分局,
櫻花社區,四維里,基隆市安樂區安和一街148號,"25.12574, 121.72373",2.0,3176,第四分局,
建德國小,四維里,基隆市安樂區安和一街392號,"25.12461, 121.72246",1.0,500,第四分局,
建德國小,四維里,基隆市安樂區安和一街392號,"25.12461, 121.72246",1.0,182,第四分局,,"建德國小 四維007 四維里 基隆市安樂區安和一街392號 182 第四分局"
建德國中,四維里,基隆市安樂區安和一街29號,"25.12717, 121.72204",1.0,472,第四分局,,"建德國中 四維008 四維里 基隆市安樂區安和一街29號 472 第四分局"
涵悅,四維里,基隆市安樂區安和二街66號,"25.1298, 121.72201",2.0,624,第四分局,
涵悅,四維里,基隆市安樂區安和二街52號,"25.1301, 121.72187",2.0,655,第四分局,
涵悅,四維里,基隆市安樂區安和二街48號,"25.13011, 121.72163",1.0,79,第四分局,
涵悅,四維里,基隆市安樂區安和二街38號,"25.12985, 121.72129",1.0,91,第四分局,
涵悅,四維里,基隆市安樂區安和二街46號,"25.13012, 121.72156",1.0,139,第四分局,
涵悅,四維里,基隆市安樂區安和二街40號,"25.13004, 121.7213",1.0,174,第四分局,
涵悅,四維里,基隆市安樂區安和二街30號,"25.12998, 121.72102",2.0,352,第四分局,
涵悅,四維里,基隆市安樂區安和二街56之1號,"25.12998, 121.72226",1.0,112,第四分局,
民宅,外寮里,基隆市安樂區基金一路131之10號,"25.1401, 121.71209",1.0,61,第四分局,
民宅,外寮里,基隆市安樂區基金一路131之1號,"25.14006, 121.71223",1.0,55,第四分局,
民宅,外寮里,基隆市安樂區基金一路131之17號,"25.14019, 121.71194",1.0,752,第四分局,,"民宅 外寮003 外寮里 基隆市安樂區基金一路131之17號 752 第四分局"
民宅,外寮里,基隆市安樂區基金一路110之72號,"25.14026, 121.71411",2.0,640,第四分局,
民宅,外寮里,基隆市安樂區基金一路129巷1號之6,"25.13968, 121.71243",2.0,279,第四分局,
民宅,外寮里,基隆市安樂區武嶺街309號,"25.13769, 121.70791",1.0,3544,第四分局,,"民宅 外寮006 外寮里 基隆市安樂區武嶺街309號 3544 第四分局"
民宅,外寮里,基隆市安樂區武嶺街303號,"25.13753, 121.70741",1.0,3509,第四分局,,"民宅 外寮007 外寮里 基隆市安樂區武嶺街303號 3509 第四分局"
民宅,外寮里,基隆市安樂區武嶺街219號,"25.13772, 121.70764",1.0,1712,第四分局,,"民宅 外寮008 外寮里 基隆市安樂區武嶺街219號 1712 第四分局"
民宅,外寮里,基隆市安樂區武嶺街89號,"25.13994, 121.71097",1.0,1176,第四分局,,"民宅 外寮009 外寮里 基隆市安樂區武嶺街89號 1176 第四分局"
民宅,外寮里,基隆市安樂區基金一路112巷15號,"25.14039, 121.71534",2.0,1562,第四分局,
民宅,外寮里,基隆市安樂區武嶺街315號,"25.13787, 121.70792",1.0,311,第四分局,
民宅,外寮里,基隆市安樂區武嶺街315號,"25.13721, 121.7095",1.0,2400,第四分局,,"民宅 外寮012 外寮里 基隆市安樂區武嶺街315號 2400 第四分局"
民宅,民治里,基隆市中山區中山一路291巷15號,"25.1366, 121.74043",1.0,114,第四分局,,"民宅 民治001 民治里 基隆市中山區中山一路291巷15號 114 第四分局"
民治里活動中心,民治里,基隆市中山區中山一路219之1號,"25.13446, 121.73955",1.0,19,第四分局,,"民治里活動中心 民治002 民治里 基隆市中山區中山一路219之1號 19 第四分局"
民宅,民治里,基隆市中山區中山一路241巷6號,"25.13537, 121.73972",1.0,247,第四分局,,"民宅 民治003 民治里 基隆市中山區中山一路241巷6號 247 第四分局"
民宅,永康里,基隆市安樂區崇德路19號,"25.13096, 121.7312",1.0,113,第四分局,
民宅,永康里,基隆市安樂區崇德路79之10號,"25.1307, 121.73293",1.0,111,第四分局,
民宅,永康里,基隆市安樂區崇德路73號,"25.13061, 121.73307",4.0,343,第四分局,
民宅,安平里,基隆市中山區安一路2號,"25.13149, 121.73755",1.0,147,第四分局,
基隆二信,安民里,基隆市中山區安一路75之2號,"25.13148, 121.73582",1.0,147,第四分局,
民宅,安民里,基隆市中山區新民路28巷1號,"25.13093, 121.73623",1.0,17,第四分局,
民宅,安民里,基隆市中山區安一路84號,"25.13158, 121.73592",1.0,14,第四分局,
民宅,安民里,基隆市中山區新民路27號,"25.13041, 121.73695",1.0,34,第四分局,
民宅,安民里,基隆市中山區安一路81號,"25.13149, 121.73563",1.0,66,第四分局,
民宅,安民里,基隆市中山區安一路99號,"25.13158, 121.7353",1.0,77,第四分局,
民宅,安民里,基隆市中山區安一路55之4號,"25.13137, 121.73651",1.0,19,第四分局,
民宅,安民里,基隆市中山區中山一路49號,"25.13137, 121.73663",1.0,19,第四分局,
民宅,安民里,基隆市中山區安一路38號,"25.13156, 121.73673",1.0,26,第四分局,
民宅,安民里,基隆市中山區安一路101號,"25.1316, 121.73523",1.0,131,第四分局,
民宅,安民里,基隆市中山區安一路105之1號,"25.13162, 121.73516",1.0,89,第四分局,
民宅,安民里,基隆市中山區安一路107號,"25.13162, 121.73511",1.0,169,第四分局,
安樂國小,安和里,基隆市安樂區安一路177巷23號,"25.13181, 121.7308",1.0,611,第四分局,
民宅,安和里,基隆市安樂區安一路157號,"25.13199, 121.73344",2.0,127,第四分局,
安樂國小,安和里,基隆市安樂區安一路177巷23號,"25.13181, 121.73083",1.0,377,第四分局,
民宅,安和里,基隆市安樂區安一路183號,"25.13236, 121.73228",2.0,132,第四分局,
安樂國小,安和里,基隆市安樂區安一路177巷23號,"25.13181, 121.73083",1.0,883,第四分局,
安樂國小,安和里,基隆市安樂區安一路177巷23號,"25.13181, 121.73083",1.0,203,第四分局,
民宅,西川里,基隆市安樂區新西街26號,"25.13819, 121.72981",1.0,220,第四分局,
西定國小,西川里,基隆市安樂區新西街1號,"25.13676, 121.73174",1.0,392,第四分局,,"西定國小 西川011 西川里 基隆市安樂區新西街1號 392 第四分局"
西定國小,西川里,基隆市安樂區新西街1號,"25.13675, 121.73175",1.0,428,第四分局,,"西定國小 西川012 西川里 基隆市安樂區新西街1號 428 第四分局"
西定市場,西定里,基隆市中山區西定路230號,"25.13748, 121.73213",1.0,585,第四分局,
民宅,西康里,基隆市中山區復興路29之1號,"25.14154, 121.72677",1.0,35,第四分局,
民宅,西康里,基隆市中山區復興路36號,"25.14176, 121.72684",1.0,22,第四分局,
民宅,西康里,基隆市中山區復興路12號,"25.14104, 121.72749",1.0,45,第四分局,
民宅,西康里,基隆市中山區西定路423巷9號,"25.13983, 121.7285",1.0,104,第四分局,
民宅,西康里,基隆市中山區西定路423巷12號,"25.13988, 121.72839",1.0,93,第四分局,
民宅,西康里,基隆市中山區復興路32號,"25.14183, 121.72682",1.0,258,第四分局,
聖心國小天主教堂,西華里,基隆市中山區西定路166號,"25.13503, 121.73406",1.0,127,第四分局,,"聖心國小天主教堂 西華001 西華里 基隆市中山區西定路166號 127 第四分局"
安樂教會,西華里,基隆市中山區西定路130號,"25.13443, 121.73475",1.0,116,第四分局,
聖心國小,西華里,基隆市中山區西定路166號,"25.135, 121.73408",1.0,1676,第四分局,,"聖心國小 西華005 西華里 基隆市中山區西定路166號 1676 第四分局"
民宅,西榮里,基隆市中山區西定路46號,"25.13256, 121.73539",1.0,44,第四分局,
民宅,西榮里,基隆市中山區西定路43號,"25.13278, 121.7352",1.0,18,第四分局,
第四分局中山派出所,西榮里,基隆市中山區西定路1號,"25.1318, 121.73532",1.0,232,第四分局,
松竹梅社區,壯觀里,基隆市安樂區樂利二街62巷25號,"25.12099, 121.71439",1.0,1408,第四分局,
慈仁動物醫院,壯觀里,基隆市安樂區樂利二街62巷1號,"25.12022, 121.71541",1.0,1227,第四分局,
八德社區,壯觀里,基隆市安樂區樂利二街62巷57號,"25.12163, 121.71371",2.0,3722,第四分局,
靜園社區,壯觀里,基隆市安樂區樂利二街62巷40號,"25.12242, 121.71517",3.0,5931,第四分局,
九如社區,壯觀里,基隆市安樂區樂利二街62巷214號,"25.12128, 121.71715",4.0,11238,第四分局,,"九如社區 壯觀005 壯觀里 基隆市安樂區樂利二街62巷214號 11238 第四分局"
願景社區,壯觀里,基隆市安樂區樂利二街62巷273號,"25.12089, 121.71571",5.0,3499,第四分局,
爵士堡社區,壯觀里,基隆市安樂區樂利二街62巷52之1號,"25.12208, 121.71404",1.0,240,第四分局,
民宅,壯觀里,基隆市安樂區樂利二街62巷54之1號,"25.12247, 121.71389",1.0,271,第四分局,
莫內花園社區,壯觀里,基隆市安樂區樂利二街62巷367號,"25.12178, 121.71693",1.0,1510,第四分局,
維也納社區,壯觀里,基隆市安樂區樂利二街62巷623號,"25.12096, 121.71774",1.0,1251,第四分局,,"維也納社區 壯觀010 壯觀里 基隆市安樂區樂利二街62巷623號 1251 第四分局"
御花園社區,壯觀里,基隆市安樂區樂利二街62巷536號,"25.12268, 121.71653",2.0,3387,第四分局,
竹城北海道社區,壯觀里,基隆市安樂區樂利二街62巷138號,"25.12172, 121.71498",4.0,1304,第四分局,
港務局水手房,和平里,基隆市中山區中山三路47號,"25.14044, 121.74463",1.0,71,第四分局,
民宅,和平里,基隆市中山區中山三路103巷2號,"25.14266, 121.74515",1.0,87,第四分局,
民宅,定邦里,基隆市安樂區安一路100巷285號,"25.13294, 121.73315",2.0,57,第四分局,
民宅,定邦里,基隆市安樂區安一路100巷188號,"25.1333, 121.73414",1.0,181,第四分局,
民宅,定邦里,基隆市安樂區安一路144號,"25.13225, 121.73352",1.0,139,第四分局,
民宅,定國里,基隆市安樂區定國街11巷66號,"25.13378, 121.73254",1.0,585,第四分局,
民宅,定國里,基隆市安樂區定國街83巷18號,"25.13488, 121.73262",1.0,120,第四分局,
民宅,定國里,基隆市安樂區定國街11巷52號,"25.13334, 121.73268",2.0,850,第四分局,,"民宅 定國009 定國里 基隆市安樂區定國街11巷52號 850 第四分局"
居仁里民會堂,居仁里,基隆市中山區通仁街30巷5號,"25.1462, 121.73763",1.0,111,第四分局,
中山國小,居仁里,基隆市中山區通仁街28號,"25.14619, 121.73611",1.0,266,第四分局,
民宅,武崙里,基隆市安樂區基金一路200之1號,"25.14168, 121.71024",1.0,54,第四分局,,"民宅 武崙001 武崙里 基隆市安樂區基金一路200之1號 54 第四分局"
民宅,武崙里,基隆市安樂區基金一路135巷20號,"25.14166, 121.70865",3.0,3669,第四分局,
民宅,武崙里,基隆市安樂區基金一路135巷21弄1號,"25.14016, 121.70915",2.0,8653,第四分局,
民宅,武崙里,基隆市安樂區基金一路190號,"25.14139, 121.71063",2.0,1877,第四分局,
民宅,武崙里,基隆市安樂區基金一路135巷5弄28號,"25.14071, 121.70973",2.0,3113,第四分局,
民宅,武崙里,基隆市安樂區基金一路135巷73號,"25.13987, 121.70855",1.0,3417,第四分局,
民宅,武崙里,基隆市安樂區基金一路116號,"25.14022, 121.71264",2.0,1479,第四分局,
民宅,武崙里,基隆市安樂區基金一路160之2號,"25.14082, 121.7124",2.0,3549,第四分局,
武崙國中,武崙里,基隆市安樂區武崙街205號,"25.13776, 121.70619",1.0,468,第四分局,,"武崙國中 武崙009 武崙里 基隆市安樂區武崙街205號 468 第四分局"
武崙國中,武崙里,基隆市安樂區武崙街205號,"25.13776, 121.70619",1.0,1149,第四分局,,"武崙國中 武崙010 武崙里 基隆市安樂區武崙街205號 1149 第四分局"
民宅,武崙里,基隆市安樂區基金一路206號,"25.14193, 121.70997",2.0,689,第四分局,
民宅,武崙里,基隆市安樂區武崙街145號,"25.14083, 121.70705",2.0,2931,第四分局,
金閣社區,長樂里,基隆市安樂區樂利三街22號,"25.12962, 121.71781",4.0,1044,第四分局,
大衛營社區,長樂里,基隆市安樂區樂利三街2巷1號,"25.12874, 121.71968",4.0,2873,第四分局,,"大衛營社區 長樂002 長樂里 基隆市安樂區樂利三街2巷1號 2873 第四分局"
龍騰社區,長樂里,基隆市安樂區樂利三街4號,"25.12928, 121.71847",6.0,4064,第四分局,
天驕社區,長樂里,基隆市安樂區樂利三街83號,"25.12738, 121.7148",2.0,3495,第四分局,
中山國小,健民里,基隆市中山區健民街14巷12之1號,"25.14265, 121.73766",1.0,64,第四分局,,"中山國小 健民002 健民里 基隆市中山區健民街14巷12之1號 64 第四分局"
民宅,健民里,基隆市中山區健民街14巷10號,"25.1425, 121.7377",2.0,35,第四分局,
民宅,通化里,基隆市中山區中華路28號,"25.1463, 121.73869",3.0,737,第四分局,
第四分局中華路分駐所,通明里,基隆市中山區通明街2號,"25.14686, 121.73888",1.0,102,第四分局,
民宅,通明里,基隆市中山區中華路101號,"25.14768, 121.73799",1.0,86,第四分局,
民宅,慈仁里,基隆市安樂區安一路176巷20號,"25.13332, 121.73215",1.0,183,第四分局,
民宅,新西里,基隆市安樂區新西街89巷49之2號,"25.13998, 121.7261",1.0,98,第四分局,
民宅,新西里,基隆市安樂區新西街207巷72之1號,"25.14144, 121.72416",1.0,109,第四分局,,"民宅 新西011 新西里 基隆市安樂區新西街207巷72之1號 109 第四分局"
民宅,新西里,基隆市安樂區新西街207巷66號,"25.1416, 121.72415",1.0,78,第四分局,,"民宅 新西012 新西里 基隆市安樂區新西街207巷66號 78 第四分局"
民宅,新西里,基隆市安樂區新西街106號,"25.13963, 121.72722",1.0,250,第四分局,,"民宅 新西017 新西里 基隆市安樂區新西街106號 250 第四分局"
民宅,新建里,基隆市中山區成功二路47號,"25.12976, 121.73629",1.0,251,第四分局,
民宅,新建里,基隆市中山區成功二路61號,"5.12966, 121.73616",2.0,267,第四分局,
民宅,新崙里,基隆市安樂區基金一路210巷1弄4號,"25.14242, 121.71004",1.0,248,第四分局,
民宅,新崙里,基隆市安樂區基金一路361之1號,"25.14163, 121.70451",1.0,880,第四分局,,"民宅 新崙002 新崙里 基隆市安樂區基金一路361之1號 880 第四分局"
民宅,新崙里,基隆市安樂區基金一路214之15號,"25.14223, 121.70859",1.0,1578,第四分局,
民宅,新崙里,基隆市安樂區基金一路210巷1弄3號,"25.14237, 121.71003",2.0,737,第四分局,
民宅,新崙里,基隆市安樂區基金一路210巷1弄2號,"25.14233, 121.71001",1.0,119,第四分局,
民宅,新崙里,基隆市安樂區基金一路210巷1弄14號,"25.14291, 121.70998",1.0,132,第四分局,
民宅,新崙里,基隆市安樂區基金一路210巷1弄12之1號,"25.14286, 121.70997",1.0,166,第四分局,,"民宅 新崙007 新崙里 基隆市安樂區基金一路210巷1弄12之1號 166 第四分局"
民宅,新崙里,基隆市安樂區基金一路210巷1弄18號,"25.14307, 121.70992",1.0,104,第四分局,
民宅,新崙里,基隆市安樂區基金一路210巷29號,"25.14342, 121.71019",1.0,134,第四分局,,"民宅 新崙009 新崙里 基隆市安樂區基金一路210巷29號 134 第四分局"
民宅,新崙里,基隆市安樂區基金一路208巷122號,"25.14611, 121.70848",1.0,599,第四分局,,"民宅 新崙013 新崙里 基隆市安樂區基金一路208巷122號 599 第四分局"
民宅,嘉仁里,基隆市安樂區崇德路232號,"25.12651, 121.73127",1.0,153,第四分局,
民宅,嘉仁里,基隆市安樂區崇德路176之1號,"25.12791, 121.73168",1.0,121,第四分局,
民宅,嘉仁里,基隆市安樂區崇德路212之11號,"25.12684, 121.73109",1.0,129,第四分局,
民宅,嘉仁里,基隆市安樂區安樂路一段123號,"25.12847, 121.73323",1.0,98,第四分局,
民宅,嘉仁里,基隆市安樂區安樂路一段145之1號,"25.12795, 121.73288",1.0,140,第四分局,
民宅,嘉仁里,基隆市安樂區樂一路140號,"25.12785, 121.73242",1.0,127,第四分局,
民宅,嘉仁里,基隆市安樂區安樂路一段150號,"25.12891, 121.73356",4.0,2730,第四分局,
民宅,德安里,基隆市中山區德安路2之2號,"25.14916, 121.72567",1.0,923,第四分局,
民宅,德安里,基隆市中山區復興路329號,"25.15041, 121.72773",2.0,226,第四分局,
經國管理暨健康學院,德安里,基隆市中山區復興路315號,"25.15018, 121.72751",1.0,975,第四分局,
橙品富達社區,德安里,基隆市中山區復興路403號,"25.15194, 121.72859",2.0,526,第四分局,
自立幼兒園,德和里,基隆市中山區復興路212巷19弄2之3號,"25.14824, 121.72754",1.0,396,第四分局,
民宅,德和里,基隆市中山區復興路230巷22弄8號,"25.14745, 121.72667",1.0,127,第四分局,
民宅,德和里,基隆市中山區復興路230巷24弄2號,"25.14785, 121.72657",1.0,127,第四分局,
民宅,德和里,基隆市中山區復興路230巷24弄1號,"25.14809, 121.72664",1.0,127,第四分局,
民宅,德和里,基隆市中山區復興路230巷22弄1號,"25.14777, 121.72653",1.0,127,第四分局,
民宅,德和里,基隆市中山區復興路212巷5弄1號,"25.14682, 121.72667",1.0,132,第四分局,
民宅,德和里,基隆市中山區復興路230巷26弄2號,"25.14824, 121.72754",1.0,127,第四分局,
經國管理暨健康學院,德和里,基隆市中山區復興路336號,"25.14617, 121.72679",1.0,750,第四分局,,"經國管理暨健康學院 德和009 德和里 基隆市中山區復興路336號 750 第四分局"
經國管理暨健康學院,德和里,基隆市中山區復興路336號,"25.14617, 121.72679",1.0,695,第四分局,
經國管理暨健康學院,德和里,基隆市中山區復興路336號,"25.15042, 121.72805",2.0,1216,第四分局,
米蘭皇家社區,德和里,基隆市中山區復興路334巷8號,"25.1495, 121.72747",1.0,1214,第四分局,
米蘭皇家社區,德和里,基隆市中山區復興路334巷11號,"25.14952, 121.72803",1.0,1203,第四分局,
經國管理暨健康學院,德和里,基隆市中山區復興路313號,"25.15014, 121.72747",1.0,731,第四分局,
夢悅城社區,德和里,基隆市中山區復興路221號,"25.14729, 121.72551",5.0,2766,第四分局,
夢悅城社區,德和里,基隆市中山區復興路209號至217號,"25.1473, 121.72552",4.0,6773,第四分局,
民宅,樂一里,基隆市安樂區樂一路101號,"25.12937, 121.73381",1.0,124,第四分局,
民宅,樂一里,基隆市安樂區樂一路87號,"25.12951, 121.7339",1.0,116,第四分局,
民宅,樂一里,基隆市安樂區安樂路一段1號,"25.12913, 121.73494",3.0,1133,第四分局,
民宅,興寮里,基隆市安樂區基金一路108之7號,"25.13966, 121.71615",1.0,1796,第四分局,
民宅,興寮里,基隆市安樂區基金一路110之24號,"25.1413, 121.71587",3.0,382,第四分局,
民宅,興寮里,基隆市安樂區基金一路108之16號,"25.13986, 121.71593",1.0,737,第四分局,
民宅,興寮里,基隆市安樂區基金一路113之1號,"25.13862, 121.71811",1.0,250,第四分局,,"民宅 興寮004 興寮里 基隆市安樂區基金一路113之1號 250 第四分局"
民宅,興寮里,基隆市安樂區麥金路787之2號,"25.13489, 121.72073",4.0,1482,第四分局,
民宅,興寮里,基隆市安樂區麥金路715巷8號,"25.13491, 121.71898",1.0,245,第四分局,
民宅,興寮里,基隆市安樂區基金一路121巷14之9號,"25.13648, 121.71745",1.0,2684,第四分局,
民宅,興寮里,基隆市安樂區基金一路112巷110弄12之7號,"25.1413, 121.71587",1.0,744,第四分局,
