類別,編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,placemark_address
公寓,116.0,豐榮里,臺東市豐榮里5鄰中華路二段236號,1.0,20.0,臺東市豐榮里5鄰中華路二段236號
公寓,117.0,豐榮里,臺東市豐榮里6鄰中華路二段240號,1.0,20.0,臺東市豐榮里6鄰中華路二段240號
公寓,118.0,豐榮里,臺東市豐榮里6鄰中華路二段244號,1.0,20.0,臺東市豐榮里6鄰中華路二段244號
公寓,119.0,豐榮里,臺東市豐榮里6鄰中華路二段242號,1.0,20.0,臺東市豐榮里6鄰中華路二段242號
公寓,120.0,豐榮里,臺東市豐榮里6鄰中華路二段248號,1.0,20.0,臺東市豐榮里6鄰中華路二段248號
公寓,121.0,豐榮里,臺東市豐榮里6鄰中華路二段246號,1.0,20.0,臺東市豐榮里6鄰中華路二段246號
公寓,122.0,豐榮里,臺東市豐榮里6鄰中華路二段252號,1.0,20.0,臺東市豐榮里6鄰中華路二段252號
公寓,123.0,豐榮里,臺東市豐榮里6鄰中華路二段250號,1.0,20.0,臺東市豐榮里6鄰中華路二段250號
公寓,124.0,中正里,臺東市中正里19鄰中山路243號,1.0,122.0,臺東市中正里19鄰中山路243號
公寓,125.0,中正里,臺東市中正里5鄰中正路183號,1.0,45.0,臺東市中正里5鄰中正路183號
公寓,126.0,中正里,臺東市中正里6鄰中正路196號,1.0,311.0,臺東市中正里6鄰中正路196號
公寓,127.0,中正里,"臺東市中正里5鄰中正路 187、189號",1.0,570.0,"臺東市中正里5鄰中正路 187、189號"
公寓,128.0,中正里,"臺東市中正里6鄰中正路 190號",1.0,38.0,"臺東市中正里6鄰中正路 190號"
公寓,129.0,中正里,臺東市中正里5鄰成功路122號,1.0,42.0,臺東市中正里5鄰成功路122號
公寓,130.0,中正里,臺東市中正里3鄰廣東路135號,1.0,32.0,臺東市中正里3鄰廣東路135號
公寓,131.0,中正里,臺東市中正里2鄰廣東路175號,1.0,30.0,臺東市中正里2鄰廣東路175號
公寓,132.0,中正里,臺東市中正里2鄰廣東路177號,1.0,30.0,臺東市中正里2鄰廣東路177號
公寓,133.0,中正里,臺東市中正里2鄰精誠路224號,1.0,21.0,臺東市中正里2鄰精誠路224號
公寓,134.0,中正里,臺東市中正里2鄰精誠路222號,1.0,28.0,臺東市中正里2鄰精誠路222號
公寓,135.0,中正里,臺東市中正里2鄰精誠路220號,1.0,82.0,臺東市中正里2鄰精誠路220號
公寓,136.0,中正里,臺東市中正里精誠路226號,1.0,66.0,臺東市中正里精誠路226號
公寓,137.0,中正里,臺東市中正里5鄰中正路179號,1.0,57.0,臺東市中正里5鄰中正路179號
公寓,138.0,中正里,臺東市中正里5鄰中正路181號,1.0,118.0,臺東市中正里5鄰中正路181號
公寓,139.0,中正里,"臺東市中正里8鄰中正路 220、218號",1.0,120.0,"臺東市中正里8鄰中正路 220、218號"
公寓,140.0,中正里,臺東市中正里14鄰中正路246號,1.0,30.0,臺東市中正里14鄰中正路246號
公寓,141.0,中正里,臺東市中正里18鄰中正路281號,1.0,24.0,臺東市中正里18鄰中正路281號
公寓,142.0,中正里,臺東市中正里8鄰中正路215號,1.0,24.0,臺東市中正里8鄰中正路215號
公寓,143.0,中正里,臺東市中正里18鄰光明路96號,1.0,144.0,臺東市中正里18鄰光明路96號
公寓,144.0,中正里,臺東市中正里18鄰光明路98號,1.0,146.0,臺東市中正里18鄰光明路98號
公寓,145.0,中正里,臺東市中正里18鄰光明路162號,1.0,96.0,臺東市中正里18鄰光明路162號
公寓,146.0,中正里,臺東市中正里12鄰中華路1段330號,1.0,46.0,臺東市中正里12鄰中華路1段330號
公寓,147.0,中正里,"臺東市中正里12鄰中華路1段 372號",1.0,40.0,"臺東市中正里12鄰中華路1段 372號"
公寓,148.0,中正里,"臺東市中正里11鄰中華路1段 376巷 39號",1.0,25.0,"臺東市中正里11鄰中華路1段 376巷 39號"
公寓,149.0,中正里,"臺東市中正里11鄰中華路1段 388號",1.0,30.0,"臺東市中正里11鄰中華路1段 388號"
公寓,150.0,中正里,"臺東市中正里8鄰福建路 126號",1.0,65.0,"臺東市中正里8鄰福建路 126號"
公寓,151.0,中正里,"臺東市中正里8鄰福建路 140號",1.0,34.0,"臺東市中正里8鄰福建路 140號"
公寓,152.0,中正里,臺東市中正里仁愛街88號,1.0,14.0,臺東市中正里仁愛街88號
公寓,153.0,中正里,臺東市中正里9鄰寶桑路178號,1.0,165.0,臺東市中正里9鄰寶桑路178號
公寓,154.0,中正里,臺東市中正里21鄰中山路153號,1.0,234.0,臺東市中正里21鄰中山路153號
