電腦編號,建築物名稱,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
D031,石門雲品大樓,桃園市龍潭區大平里民有一街199號,"24.824878 ","121.241640 ",B01,2769.0,龍潭分局,
D032,透天,桃園市龍潭區大平里民治路355號,"24.820674 ","121.237511 ",B01,209.0,龍潭分局,
D033,肯納莊園大樓,桃園市龍潭區佳安里文化路405巷50-3號,"24.849066 ","121.244621 ",B01,1703.0,龍潭分局,
D034,石門雲享大樓,桃園市龍潭區大平里民有一街233-25號,24.8222641,121.2407296,B01,3285.0,龍潭分局,
D035,中科苑大樓,桃園市龍潭區三坑里永昌路51巷21號,"24.824281 ","121.241325 ",B01,2062.0,龍潭分局,
E001,工廠,桃園市龍潭區高平里高楊南路320巷6弄2號,24.8330727,121.2138201,B01,52.0,龍潭分局,
E002,工廠,桃園市龍潭區高平里高楊南路320巷12弄6號,"24.832881 ","121.213753 ",B01,32.0,龍潭分局,
E003,工廠,桃園市龍潭區高平里高楊南路320巷2號,"24.832764 ","121.213560 ",B01,63.0,龍潭分局,
E004,工廠,桃園市龍潭區高平里高楊南路320巷12弄9號,"24.833064 ","121.214063 ",B01,55.0,龍潭分局,
E005,工廠,桃園市龍潭區高平里高楊南路384號,"24.832719 ","121.213472 ",B01,277.0,龍潭分局,
E007,工廠,桃園市龍潭區高平里高楊南路368號,"24.831898 ","121.214404 ",B01,35.0,龍潭分局,
E008,工廠,桃園市龍潭區高平里中豐路高平段403號,"24.832031 ","121.214258 ",B01,1333.0,龍潭分局,
E009,工廠,桃園市龍潭區高平里高楊南路320巷10號,"24.833467 ","121.206209 ",B01,466.0,龍潭分局,
E011,工廠,桃園市龍潭區高原里中原路2段374號,24.8378235,121.1948068,B01,1651.0,龍潭分局,
E012,工廠,桃園市龍潭區高原里高原路367巷184號,24.8272657,121.1973565,B01,61.0,龍潭分局,
E013,工廠,桃園市龍潭區高平里高楊北路109號,"24.830395 ","121.198099 ",B01,312.0,龍潭分局,
E014,工廠,桃園市龍潭區高原里中原路二段176號,"24.840212 ","121.206010 ",B01,81.0,龍潭分局,
E015,工廠,桃園市龍潭區高原里中原路二段100號,"24.842222 ","121.196449 ",B01,1347.0,龍潭分局,
E016,工廠,桃園市龍潭區高原里中原路二段46號,"24.844008 ","121.197417 ",B01,355.0,龍潭分局,
E017,工廠,桃園市龍潭區高原里中原路二段46號,"24.844878 ","121.197852 ",B01,381.0,龍潭分局,
E018,工廠,桃園市龍潭區高原里中原路三段390號,"24.844878 ","121.197852 ",B01,201.0,龍潭分局,
E020,工廠,桃園市龍潭區高平里龍源路800號,"24.824232 ","121.192048 ",B01,213.0,龍潭分局,
E023,工廠,桃園市龍潭區高原里福源路138號,"24.818276 ","121.220961 ",B01,41.0,龍潭分局,
E024,工廠,桃園市龍潭區高原里高楊北路451巷100號,"24.827411 ","121.188239 ",B01,374.0,龍潭分局,
E025,工廠,桃園市龍潭區高平里中豐路高平段576號,"24.844291 ","121.200005 ",B01,188.0,龍潭分局,
E026,工廠,桃園市龍潭區高原里高楊北路451巷100號,"24.828521 ","121.206261 ",B01,1132.0,龍潭分局,
E027,工廠,桃園市龍潭區高原里高楊北路451巷100號,"24.844291 ","121.200005 ",B01,531.0,龍潭分局,
E028,工廠,桃園市龍潭區高原里福源路138號,"24.844291 ","121.200005 ",B01,31.0,龍潭分局,
E029,工廠,桃園市龍潭區高原里福源路138號,"24.827411 ","121.188239 ",B01,54.0,龍潭分局,
E030,工廠,桃園市龍潭區高原里福源路138號,"24.827411 ","121.188239 ",B01,60.0,龍潭分局,
E031,工廠,桃園市龍潭區高原里福源路138號,"24.827411 ","121.188239 ",B01,251.0,龍潭分局,
E035,工廠,桃園市龍潭區高原里橫岡下4-4號,"24.827411 ","121.188239 ",B01,233.0,龍潭分局,
E037,工廠,桃園市龍潭區高平里高楊南路320巷13弄8號,"24.827411 ","121.188239 ",B01,161.0,龍潭分局,
E038,工廠,桃園市龍潭區渴望里渴望路205巷66號,"24.832274 ","121.213810 ",B01,944.0,龍潭分局,
E039,工廠,桃園市龍潭區渴望里渴望路237巷01號,"24.837984 ","121.187021 ",B01,2407.0,龍潭分局,
E040,高原國小,桃園市龍潭區高原里高原路568號,"24.837309 ","121.187662 ",B01,448.0,龍潭分局,
E041,工廠,桃園市龍潭區高原里龍源路245號,"24.830126 ","121.193890 ",B01,6622.0,龍潭分局,
E042,工廠,桃園市龍潭區高原里龍源路245號,"24.836527 ","121.189363 ",B01,315.0,龍潭分局,
E043,新生醫專,桃園市龍潭區高平里中豐路高平段418號,"24.823552 ","121.211649 ",B01,9827.0,龍潭分局,
E044,新生醫專,桃園市龍潭區高平里中豐路高平段418號,"24.831948 ","121.208634 ",B01,2296.0,龍潭分局,
E045,台灣石油公司,(機敏單位)桃園市龍潭區高平里中豐路高平段108號,,,B01,66.0,龍潭分局,
E046,新生醫專,桃園市龍潭區高平里中豐路高平段418號,"24.838959 ","121.209874 ",B01,323.0,龍潭分局,
E047,工廠,桃園市龍潭區高原里中原路二段188號,"24.831948 ","121.208634 ",B01,2613.0,龍潭分局,
E048,工廠,桃園市龍潭區高原里中原路一段360號,"24.841629 ","121.196306 ",B01,346.0,龍潭分局,
E049,工廠,桃園市龍潭區渴望里新和路1號,"24.850259 ","121.200180 ",B01,20701.0,龍潭分局,
E050,諾瓦國小,桃園市龍潭區渴望里渴望路660巷50弄1號,"24.847031 ","121.186323 ",B01,830.0,龍潭分局,
E051,工廠,桃園市龍潭區高平里中豐路高平段10巷85號,"24.844692 ","121.177684 ",B01,29.0,龍潭分局,
E052,半九十社區大樓,桃園市龍潭區渴望里渴望二路99巷135號,"24.844137 ","121.182895 ",B01,1906.0,龍潭分局,
F003,工廠,桃園市龍潭區三和里大北坑街一段220巷66號,"24.838756 ","121.212762 ",B01,82.0,龍潭分局,
F004,工廠,桃園市龍潭區三水里大北坑街一段220巷65號,"24.871551 ","121.172299 ",B01,56.0,龍潭分局,
