"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
恆春郵局,QNA00077,山腳里,屏東縣恆春鎮山腳里04鄰恆西路1巷32號,"22.001759629397576, 120.74251144773012",1,375.0,恆春分局,
恆春基督教醫院/醫療大樓,QNA00016,山腳里,屏東縣恆春鎮山腳里04鄰恆西路21號,"22.00233672841957, 120.7410539528295",1,140.0,恆春分局,共有2處、總計可容納人數1180人
墾丁公園大亨大樓,QNA00052,山腳里,屏東縣恆春鎮山腳里33鄰恆公路16號,"21.991793666761623, 120.74650613630672",1,902.0,恆春分局,
墾丁風情畫大樓,QNA00020,山腳里,屏東縣恆春鎮山腳里33鄰恆公路22號,"21.99213736853485, 120.74637800593051",1,178.0,恆春分局,
臺電公司/核三廠員工宿舍,QNA00053,山腳里,屏東縣恆春鎮山腳里26鄰恆公路30號,"21.992397361052923, 120.7459926504487",1,435.0,恆春分局,
中華電信/恆春會館,QNA00078,山腳里,屏東縣恆春鎮山腳里06鄰恆公路78號,"21.994654461189615, 120.74427609638936",1,433.0,恆春分局,
墾丁假期飯店,QNA00022,網紗里,屏東縣恆春鎮網紗里02鄰恆公路968號,"22.00862366889951, 120.74071157107548",1,1220.0,恆春分局,
怡灣飯店,QNA00026,網紗里,屏東縣恆春鎮網紗里23鄰恆公路998號,"22.009527502570823, 120.74150256946665",1.2,1981.0,恆春分局,
墾丁日月光飯店,QNA00025,網紗里,屏東縣恆春鎮網紗里16鄰恆公路1180號,"22.013498559547397, 120.74332533250133",1,500.0,恆春分局,
馬爾地夫飯店,QNA00023,網紗里,屏東縣恆春鎮網紗里21鄰省北路40巷69號,"22.00968548420214, 120.74629027464348",1,129.0,恆春分局,
中華電信/恆春服務中心,QNA00021,網紗里,屏東縣恆春鎮網紗里22鄰省北路64號,"22.010535049431642, 120.74423053401166",1,166.0,恆春分局,
福華飯店/員工宿舍,QNA00024,網紗里,屏東縣恆春鎮網紗里22鄰省北路102巷6號,"22.011445850472377, 120.744787661646",1,504.0,恆春分局,
大平國小,QNA00081,頭溝里,屏東縣恆春鎮頭溝里04鄰頭溝路161號,"22.02332585868512, 120.72097035747807",1,207.0,恆春分局,
水泉國小/龍泉分校,QNA00034,龍水里,屏東縣恆春鎮龍水里06鄰草潭路171號,"21.97009754695815, 120.73463736571055",1,166.0,恆春分局,
大光國小,QNA00049,大光里,屏東縣恆春鎮大光里01鄰大光路8-6號,"21.95125177661585, 120.7405843973141",1,166.0,恆春分局,
臺電公司/南部展示館,QNA00035,大光里,屏東縣恆春鎮大光里09鄰大光路79-64號,"21.948032495645073, 120.74427558348334",1,933.0,恆春分局,
山海國小,QNA00056,山海里,"屏東縣恆春鎮山海里10鄰山海路86號 ","21.98351900785427, 120.7152873852131",1,355.0,恆春分局,
悠活渡假村/單車旅館,QNA00063,山海里,屏東縣恆春鎮山海里02鄰萬里路27-8號,"21.997701053409145, 120.70526717859772",1.2,2256.0,恆春分局,共有5處、總計可容納人數11272人
悠活渡假村/巧克力旅館,QNA00064,山海里,屏東縣恆春鎮山海里02鄰萬里路27-8號,"21.99801991093376, 120.70497341245087",1.2,2202.0,恆春分局,共有5處、總計可容納人數11272人
悠活渡假村/兒童旅館,QNA00065,山海里,屏東縣恆春鎮山海里02鄰萬里路27-8號,"21.99821089492084, 120.70501896572979",1.2,2319.0,恆春分局,共有5處、總計可容納人數11272人
悠活渡假村/悠活2館,QNA00066,山海里,屏東縣恆春鎮山海里02鄰萬里路27-8號,"21.99837433293021, 120.70511403347332",1.2,2118.0,恆春分局,共有5處、總計可容納人數11272人
悠活渡假村/臨海3館,QNA00067,山海里,屏東縣恆春鎮山海里02鄰萬里路27-8號,"21.997158639428562, 120.70582639802599",1.2,2377.0,恆春分局,共有5處、總計可容納人數11272人
福華飯店,QNA00054,墾丁里,屏東縣恆春鎮墾丁里08鄰墾丁路2號,"21.941662513663793, 120.80727358341014",1.2.3.4,22994.0,恆春分局,
凱撒大飯店,QNA00029,墾丁里,屏東縣恆春鎮墾丁里04鄰墾丁路6號,"21.94231192159871, 120.80542624294606",1,5541.0,恆春分局,
墾丁國小,QNA00030,墾丁里,屏東縣恆春鎮墾丁里08鄰墾丁路65號,"21.943311527668904, 120.8006221428411",1,430.0,恆春分局,
"墾丁統茂/高山青賓館 ",QNA00031,墾丁里,屏東縣恆春鎮墾丁里03鄰墾丁路271號,"21.945993577032585, 120.79613808215932",1,342.0,恆春分局,
夏都沙灘酒店/波西塔諾館,QNA00068,墾丁里,屏東縣恆春鎮墾丁里03鄰墾丁路451號,"21.945026109295267, 120.79232022490227",1,4412.0,恆春分局,共有2處、總計可容納人數6270人
夏都沙灘酒店/普羅館,QNA00069,墾丁里,屏東縣恆春鎮墾丁里03鄰墾丁路451號,"21.94518227702587, 120.79183830750529",1,1858.0,恆春分局,共有2處、總計可容納人數6270人
"中華電信/墾丁會館 ",QNA00032,墾丁里,屏東縣恆春鎮墾丁里04鄰墾丁路文化巷2-1號,"21.94322398969892, 120.79933539147642",1,500.0,恆春分局,
墾丁警光會館,QNA00057,墾丁里,屏東縣恆春鎮墾丁里04鄰墾丁路文化巷4號,"21.943394171174916, 120.79956949099878",1,825.0,恆春分局,
華泰瑞苑飯店,QNA00082,墾丁里,屏東縣恆春鎮墾丁里03鄰公園路101號,"21.95553883801649, 120.8090893685797",1,921.0,恆春分局,
台電公司/核三廠宿舍/A棟,QNA00026,南灣里,屏東縣恆春鎮南灣里13鄰南灣路387號,"21.967670030520264, 120.75489493800836",1,42.0,恆春分局,共有2處、總計可容納人數860人
台電公司/核三廠宿舍/B棟,QNA00027,南灣里,屏東縣恆春鎮南灣里13鄰南灣路387號,"21.966672173601992, 120.75431998985653",1,818.0,恆春分局,共有2處、總計可容納人數860人
福容大飯店,QNA00075,鵝鑾里,屏東縣恆春鎮鵝鑾里06鄰船帆路1000號,"21.936975178717205, 120.81803650666635",1,1793.0,恆春分局,
統一渡假村/A棟,QNA00058,鵝鑾里,屏東縣恆春鎮鵝鑾里01鄰鵝鑾路230號,"21.905991502097947, 120.85162614127982",1,358.0,恆春分局,共有2處、總計可容納人數3150人
統一渡假村/B棟,QNA00055,鵝鑾里,屏東縣恆春鎮鵝鑾里01鄰鵝鑾路230號,"21.90602505009298, 120.8515099993928",1,2792.0,恆春分局,共有2處、總計可容納人數3150人
車城鄉圖書館,QNA00036,福興村,屏東縣車城鄉福興村15鄰仁愛路26號,"22.072699620101574, 120.71507657775231",1,66.0,恆春分局,
荷蘭邨休閒渡假飯店,QNA00039,福興村,屏東縣車城鄉福興村15鄰仁愛路36號,"22.07352275689863, 120.71498601105982",1,416.0,恆春分局,
車城農會大樓,QNA00077,福興村,屏東縣車城鄉福興村01鄰中山路15號,"22.07245261557748, 120.7141302500213",1,273.0,恆春分局,
車城國中/學生活動中心,QNA00060,福興村,屏東縣車城鄉福興村15鄰新興路42號,"22.07273113347695, 120.71746638406854",1,226.0,恆春分局,
興安社區活動中心,QNA00037,福安村,屏東縣車城鄉福安村08鄰福興路75號,"22.071966549751764, 120.7111534593892",1,57.0,恆春分局,
福安宮/香客大樓,QNA00050,福安村,屏東縣車城鄉福安村04鄰忠孝路199號,"22.069785076135993, 120.71063037528101",1,1865.0,恆春分局,
福安宮/文化館,QNA00051,福安村,屏東縣車城鄉福安村07鄰福安路51號,"22.07090598311292, 120.71141201543261",1,374.0,恆春分局,
台電公司/車城服務處,QNA00038,田中村,屏東縣車城鄉田中村05鄰中山路185號,"22.07890005425991, 120.71380358813593",1,147.0,恆春分局,
墾丁長灘休閒飯店,QNA00033,海口村,屏東縣車城鄉海口村01鄰海口路6-5號,"22.0893114960955, 120.71672403608085",1,2577.0,恆春分局,
陽光城堡渡假飯店,QNA00041,溫泉村,屏東縣車城鄉溫泉村15鄰溫泉路253號,"22.095795611717406, 120.750673377627",1,534.0,恆春分局,
我的墾丁渡假村社區,QNA00076,保力村,屏東縣車城鄉保力村17鄰保力路6-20號,"22.05466656833047, 120.73099065404305",1,1062.0,恆春分局,
海生館/主館行政中心,QNA00070,後灣村,屏東縣車城鄉後灣村01鄰後灣路2號,"22.046227092293076, 120.69942772301492",1,13386.0,恆春分局,共有3處、總計可容納人數24011人
海生館/世界水域館,QNA00071,後灣村,屏東縣車城鄉後灣村01鄰後灣路2號,"22.04621740553075, 120.6990238670645",1,8903.0,恆春分局,共有3處、總計可容納人數24011人
海生館/二研中心,QNA00072,後灣村,屏東縣車城鄉後灣村01鄰後灣路2號,"22.047225154905604, 120.69853911884157",1,1722.0,恆春分局,共有3處、總計可容納人數24011人
滿州鄉衛生所,QNA00042,滿州村,屏東縣滿州鄉滿州村18鄰中山路31號,"22.0186305492698, 120.83802182958482",1,177.0,恆春分局,
滿州鄉立圖書館,QMA00059,滿州村,屏東縣滿州鄉滿州村16鄰中山路152號,"22.02432819755282, 120.83769864373234",1,131.0,恆春分局,
小墾丁渡假村,QNA00045,滿州村,屏東縣滿州鄉滿州村16鄰中山路205號,"22.026338506828996, 120.83224402962158",1,4106.0,恆春分局,
自來水公司/第七區管理處/牡丹水廠,QNA00061,石門村,屏東縣牡丹鄉石門村03鄰石門路35-2號,"22.123853579061752, 120.76991594665473",1,124.0,恆春分局,
恆春國中/寓善樓,QNA00087,城南里,屏東縣恆春鎮城南里14鄰文化路79號,"22.001784130164722, 120.7469791760129",1,147.0,恆春分局,共有3處、總計可容納人數1099人
恆春基督教醫院/許慶淵大樓,QNA00088,山腳里,屏東縣恆春鎮山腳里04鄰恆西路21號,"22.00230117979306, 120.74147415738163",1,1040.0,恆春分局,共有2處、總計可容納人數1180人
