電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局
64,鼓山區,明誠里,高雄市鼓山區明誠里文忠路119號,"22.665057,120.298986",1,607.0,鼓山分局
65,鼓山區,明誠里,高雄市鼓山區明誠里博愛二路345號,"22.663425,120.302949",3,1571.0,鼓山分局
66,鼓山區,明誠里,高雄市鼓山區明誠里南屏路539號,"22.664085,120.30031",2,1680.0,鼓山分局
67,鼓山區,明誠里,高雄市鼓山區明誠里明華路273號,"22.663346,120.299573",1,511.0,鼓山分局
68,鼓山區,明誠里,高雄市鼓山區明誠里明華路349號,"22.663247,120.302137",3,2205.0,鼓山分局
69,鼓山區,明誠里,高雄市鼓山區明誠里南屏路499號,"22.665499,120.300287",1.2.3,1272.0,鼓山分局
70,鼓山區,明誠里,高雄市鼓山區明誠里民泰街13號,"22.661847,120.296305",1.2,665.0,鼓山分局
71,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路2192號,"22.654076,120.293769",1,1693.0,鼓山分局
72,鼓山區,明誠里,高雄市鼓山區明誠里明華路338號,"22.662586,120.301445",1.2,2229.0,鼓山分局
73,鼓山區,明誠里,高雄市鼓山區明誠里文忠路72之5號,"22.665298,120.299008",1.2,1411.0,鼓山分局
74,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路310號,"22.664095,120.298717",1.2.3,1014.0,鼓山分局
75,鼓山區,明誠里,高雄市鼓山區明誠里南屏路849號,"22.657153,120.300445",1,6134.0,鼓山分局
76,鼓山區,明誠里,高雄市鼓山區明誠里明華路298號,"22.662728,120.300901",1.2,2826.0,鼓山分局
77,鼓山區,明誠里,高雄市鼓山區明誠里文忠路189號,"22.664672,120.295921",3,912.0,鼓山分局
78,鼓山區,明誠里,高雄市鼓山區明誠里明華路257號,"22.663328,120.299366",2,920.0,鼓山分局
79,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1509之8號,"22.665002,120.29541",3,939.0,鼓山分局
80,鼓山區,明誠里,高雄市鼓山區明誠里文忠路92號,"22.665306,120.297555",1,404.0,鼓山分局
81,鼓山區,明誠里,高雄市鼓山區明誠里明華路280號,"22.662998,120.300314",1,2412.0,鼓山分局
82,鼓山區,明誠里,高雄市鼓山區明誠里文忠路151號,"22.665099,120.297324",1.2.3,2325.0,鼓山分局
83,鼓山區,明誠里,高雄市鼓山區明誠里文信路246號,"22.664688,120.29965",1,1842.0,鼓山分局
84,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1791號,"22.658245,120.294298",4,3421.0,鼓山分局
85,鼓山區,明誠里,高雄市鼓山區明誠里文忠路93號,"22.665074,120.299274",1.2.3,1758.0,鼓山分局
86,鼓山區,明誠里,高雄市鼓山區明誠里文信路211號,"22.664428,120.301595",1,1203.0,鼓山分局
87,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路302號,"22.663957,120.298835",1.2.3.4,3131.0,鼓山分局
88,鼓山區,明誠里,高雄市鼓山區明誠里南屏路847號,"22.6570943,120.300005300097",5,4682.0,鼓山分局
89,鼓山區,明誠里,高雄市鼓山區明誠里文忠路79號,"22.665077,120.299559",1.2.3,1277.0,鼓山分局
90,鼓山區,明誠里,高雄市鼓山區明誠里文忠路1號,"22.66505,120.302291",1.2,929.0,鼓山分局
91,鼓山區,明誠里,高雄市鼓山區明誠里明華路366號,"22.662728,120.302072",1.2.3.4,2127.0,鼓山分局
92,鼓山區,明誠里,高雄市鼓山區明誠里文信路201號,"22.664449,120.30202",1,811.0,鼓山分局
93,鼓山區,明誠里,高雄市鼓山區明誠里文信路192號,"22.664753,120.302336",1.2.3,2487.0,鼓山分局
94,鼓山區,龍子里,高雄市鼓山區龍子里中華一路403之1號,"22.657647,120.292652",1,678.0,鼓山分局
95,鼓山區,龍子里,高雄市鼓山區龍子里明誠三路714號,"22.661353,120.293789",1,915.0,鼓山分局
96,鼓山區,龍子里,高雄市鼓山區龍子里龍德路58巷26號,"22.655004,120.301895",1,178.0,鼓山分局
97,鼓山區,龍子里,高雄市鼓山區龍子里中華一路316之3號,"22.664861,120.292019",1,937.0,鼓山分局
98,鼓山區,龍子里,高雄市鼓山區龍子里大順一路835號,"22.663571,120.294766",1,1858.0,鼓山分局
99,鼓山區,龍子里,高雄市鼓山區龍子里大順一路439號,"22.65585,120.302801",2.4,1303.0,鼓山分局
100,鼓山區,龍子里,高雄市鼓山區龍子里龍德路249號,"22.653972,120.297453",1,1757.0,鼓山分局
101,鼓山區,龍子里,高雄市鼓山區龍子里中華一路350號,"22.661608,120.29216",1,889.0,鼓山分局
102,鼓山區,龍子里,高雄市鼓山區龍子里中華一路485號,"22.653987,120.292505",1,1213.0,鼓山分局
103,鼓山區,龍子里,高雄市鼓山區龍子里博愛二路343號,"22.663263,120.302908",1,589.0,鼓山分局
104,鼓山區,龍子里,高雄市鼓山區龍子里中華一路469號,"22.65481,120.292546",1,211.0,鼓山分局
105,鼓山區,龍子里,高雄市鼓山區龍子里大順一路947號,"22.654527,120.298255",2,4495.0,鼓山分局
106,鼓山區,龍子里,高雄市鼓山區龍子里大順一路1031號,"22.653915,120.296034",3,10141.0,鼓山分局
107,鼓山區,龍子里,高雄市鼓山區龍子里博愛一路468號,"22.654934,120.303899",1,2436.0,鼓山分局
108,鼓山區,龍子里,高雄市鼓山區龍子里中華一路2209號,"22.650573,120.292348",1,412.0,鼓山分局
109,鼓山區,龍子里,高雄市鼓山區龍子里中華一路453號,"22.655394,120.292557",3,1303.0,鼓山分局
110,鼓山區,龍子里,高雄市鼓山區龍子里大順一路617巷5號,"22.655087,120.301481",1,1015.0,鼓山分局
111,鼓山區,龍子里,高雄市鼓山區龍子里美術東一路10號,"22.656099,120.293625",2,2869.0,鼓山分局
112,鼓山區,龍子里,高雄市鼓山區龍子里龍文街71號,"22.657312,120.300909",2,1412.0,鼓山分局
113,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路116號,"22.653866,120.288358",2,5241.0,鼓山分局
114,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路132巷28號,"22.654088,120.288915",2,1918.0,鼓山分局
115,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路132巷36號,"22.65407,120.289164",2,1768.0,鼓山分局
116,鼓山區,龍子里,高雄市鼓山區龍子里龍文街23號,"22.656146,120.30067",2,1333.0,鼓山分局
117,鼓山區,龍子里,高雄市鼓山區龍子里明誠三路673號,"22.660964,120.295122",2,3451.0,鼓山分局
118,鼓山區,龍子里,高雄市鼓山區龍子里裕國街333號,"22.660228,120.293263",2,2738.0,鼓山分局
119,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路68號,"22.655453,120.296141",2,1665.0,鼓山分局
120,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路46號,"22.65237,120.288346",2,4951.0,鼓山分局
121,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路470號,"22.663255,120.288797",2,5739.0,鼓山分局
122,鼓山區,龍子里,高雄市鼓山區龍子里裕國街340號,"22.6602,120.293657",2,1760.0,鼓山分局
123,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路120號,"22.656459,120.296072",2,2392.0,鼓山分局
124,鼓山區,龍子里,高雄市鼓山區龍子里大順一路868號,"22.654779,120.296449",2,3129.0,鼓山分局
125,鼓山區,龍子里,高雄市鼓山區龍子里龍德路399號,"22.657185,120.29658",2,1931.0,鼓山分局
126,鼓山區,龍子里,高雄市鼓山區龍子里龍德路379號,"22.656445,120.296878",2,1247.0,鼓山分局
127,鼓山區,龍子里,高雄市鼓山區龍子里裕國街129號,"22.656188,120.292875",2,5294.0,鼓山分局
128,鼓山區,龍子里,高雄市鼓山區龍子里龍德路387號,"22.656894,120.296882",3,1843.0,鼓山分局
129,鼓山區,龍子里,高雄市鼓山區龍子里大順一路638號,"22.65567,120.3002",2,2000.0,鼓山分局
130,鼓山區,龍子里,高雄市鼓山區龍子里富農路96號,"22.656699,120.298349",2,4260.0,鼓山分局
131,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路212號,"22.661666,120.287816",3,1554.0,鼓山分局
132,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路78號,"22.655657,120.296285",1.2,1216.0,鼓山分局
133,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路256號,"22.662032,120.287074",3,3294.0,鼓山分局
134,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路43號,"22.661017,120.290015",3,1975.0,鼓山分局
135,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路96號,"22.655875,120.296351",2,2741.0,鼓山分局
136,鼓山區,龍子里,高雄市鼓山區龍子里龍德路355號,"22.655899,120.296578",1.2,2319.0,鼓山分局
137,鼓山區,龍子里,高雄市鼓山區龍子里富農路308號,"22.656783,120.294953",1,172.0,鼓山分局
138,鼓山區,龍子里,高雄市鼓山區龍子里富農路306號,"22.65678,120.295013",1,90.0,鼓山分局
139,鼓山區,龍子里,高雄市鼓山區龍子里富農路302號,"22.656777,120.295051",1,90.0,鼓山分局
140,鼓山區,龍子里,高雄市鼓山區龍子里富農路300號,"22.656776,120.295091",1,85.0,鼓山分局
141,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路436號,"22.662261,120.288769",3,7357.0,鼓山分局
142,鼓山區,龍子里,高雄市鼓山區龍子里裕國街93號,"22.655306,120.292841",1.2,2247.0,鼓山分局
143,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路17號,"22.660965,120.291693",2,1856.0,鼓山分局
144,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路8號,"22.65494,120.296028",1,2086.0,鼓山分局
145,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路161號,"22.66174,120.288267",3,1339.0,鼓山分局
146,鼓山區,龍子里,高雄市鼓山區龍子里神農路183號,"22.657689,120.297343",3,1590.0,鼓山分局
147,鼓山區,龍子里,高雄市鼓山區龍子里明誠三路471之1號,"22.660689,120.300766",1,2390.0,鼓山分局
148,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路148號,"22.657081,120.296045",2,1986.0,鼓山分局
149,鼓山區,龍子里,高雄市鼓山區龍子里至聖路450號,"22.659851,120.296839",2,3111.0,鼓山分局
150,鼓山區,龍子里,高雄市鼓山區龍子里中華一路352號,"22.661398,120.292126",1,2476.0,鼓山分局
151,鼓山區,龍子里,高雄市鼓山區龍子里明誠三路435號,"22.660964,120.301885",2,2447.0,鼓山分局
152,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路276號,"22.662338,120.286514",3,3808.0,鼓山分局
153,鼓山區,龍子里,高雄市鼓山區龍子里大順一路451號,"22.655767,120.302493",2,2877.0,鼓山分局
154,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路226號,"22.661916,120.287404",1.2.3,2983.0,鼓山分局
155,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路177號,"22.662316,120.28831",1.2,1127.0,鼓山分局
156,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路325號,"22.665263,120.28831",2,2355.0,鼓山分局
157,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路245號,"22.663233,120.288259",2,3560.0,鼓山分局
158,鼓山區,龍子里,高雄市鼓山區龍子里明誠四路156號,"22.661542,120.289421",1,1440.0,鼓山分局
159,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路271號,"22.664404,120.288355",3,1592.0,鼓山分局
160,鼓山區,龍子里,高雄市鼓山區龍子里神農路207號,"22.657609,120.296102",1.2.3.4,3862.0,鼓山分局
161,鼓山區,龍子里,高雄市鼓山區龍子里神農路181號,"22.657622,120.297561",1,3960.0,鼓山分局
