電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局
CG154,左營區,褔山里,左營區福山里54鄰文學路611巷56號,"22.690441,120.319401",1、2、3,2657.0,左營分局
CG155,左營區,褔山里,左營區福山里29鄰文川路207號,"22.683319,120.310705",1、2、3、4、5,3312.0,左營分局
CG156,左營區,褔山里,左營區福山里73鄰華夏路1212號,"22.684828,120.310357",1、2、3、4、5、6,5578.0,左營分局
CG157,左營區,褔山里,左營區福山里10鄰文府路498號,"22.691251,120.316767",1,343.0,左營分局
CG158,左營區,褔山里,左營區福山里035鄰博愛四路238號,"22.68497168237516, 120.31458945874006",1,176.0,左營分局
CF001,左營區,菜公里,"高雄市左營區重立路817號
","22.683432884087562, 120.30580699772854",1,685.0,左營分局
CF002,左營區,新光里,高雄市左營區文康路131號,"22.674302,120.304149",2,1283.0,左營分局
CF003,左營區,菜公里,高雄市左營區文強路262號,"22.677329,120.308027",1,583.0,左營分局
CF004,左營區,新光里,高雄市左營區立莊路3號,"22.674806,120.303163",1,1091.0,左營分局
CF005,左營區,菜公里,高雄市左營區重立路500號,"22.678761,120.311715",1,459.0,左營分局
CF006,左營區,菜公里,"高雄市左營區文敬路129號
","22.67868308,120.31142532502",1,537.0,左營分局
CF007,左營區,菜公里,高雄市左營區重立路132號,"22.674256,120.313871",1,410.0,左營分局
CF008,左營區,菜公里,高雄市左營區孟子路382號,"22.67552568,120.30854862502",1,545.0,左營分局
CF009,左營區,菜公里," 左營區重化街126號
","22.675410586064622, 120.30712096889323",2,598.0,左營分局
CF010,左營區,新光里,高雄市左營區立大路66號,"22.675184,120.302312",1,2623.0,左營分局
CF011,左營區,新光里,高雄市左營區崇德路346號,"22.676698,120.302379",1,778.0,左營分局
CF012,左營區,菜公里,高雄市左營區重文街67號二樓之1,"22.683886,120.306173",1,335.0,左營分局
CF013,左營區,菜公里,高雄市左營區文強路240號,"22.676994,120.30783",1,1108.0,左營分局
CF014,左營區,菜公里,高雄市左營區文奇路193號,"22.673531,120.308933",1,311.0,左營分局
CF015,左營區,新光里,高雄市左營區重上街243號,"22.677133,120.302741",1,1125.0,左營分局
CF016,左營區,新光里,高雄市左營區重治路24號,"22.681267,120.304244",1,333.0,左營分局
CF017,左營區,菜公里,高雄市左營區曾子路151號,"22.677534,120.309462",1,1692.0,左營分局
CF018,左營區,新光里,高雄市左營區立大路377巷2號,"22.678459,120.304126",1,474.0,左營分局
CF019,左營區,菜公里,高雄市左營區孟子路391號,"22.675342,120.308099",1、2,1618.0,左營分局
CF020,左營區,新光里,高雄市左營區孟子路599號,"22.677717,120.303814",2,641.0,左營分局
CF021,左營區,菜公里,高雄市左營區重上街46號,"22.674537,120.307852",1,226.0,左營分局
CF022,左營區,菜公里,高雄市左營區自由三路276號,"22.673425,120.311986",1,1339.0,左營分局
CF023,左營區,菜公里,高雄市左營區文自路87號,"22.671883,120.306053",1,634.0,左營分局
CF024,左營區,菜公里,高雄市左營區自由三路256號,"22.672924,120.31191",1,264.0,左營分局
CF025,左營區,菜公里,高雄市左營區政德路779號,"22.682734,120.305001",1,937.0,左營分局
CF026,左營區,菜公里,高雄市左營區菜公一路121號之1,"22.67852548,120.314491896184",1,114.0,左營分局
CF027,左營區,新光里,高雄市左營區重治路64號,"22.681932,120.303403",1,351.0,左營分局
CF028,左營區,菜公里,高雄市左營區自由三路410號,"22.675615,120.312759",1,189.0,左營分局
CF029,左營區,新光里,高雄市左營區重上街174號,"22.676221,120.304569",1,331.0,左營分局
CF030,左營區,新光里,高雄市左營區重上街162號,"22.676086,120.304833",1,667.0,左營分局
CF031,左營區,菜公里,"高雄市左營區重立路232巷21號
","22.67588748513443, 120.31553489772833",1,66.0,左營分局
CF032,左營區,菜公里,高雄市左營區文奇路195號,"22.673603,120.308971",1,247.0,左營分局
CF033,左營區,新光里,高雄市左營區孟子路519號,"22.676749,120.305496",1、2,1568.0,左營分局
CF034,左營區,菜公里,高雄市左營區重立路582號,"22.679614,120.310322",1,1501.0,左營分局
CF035,左營區,新光里,高雄市左營區立大路121號,"22.675833,120.302469",1,74.0,左營分局
CF036,左營區,新光里,高雄市左營區孟子路569號,"22.67725,120.304616",1,486.0,左營分局
CF037,左營區,新光里,高雄市左營區政德路278號,"22.678146,120.301008",1,319.0,左營分局
CF038,左營區,菜公里,高雄市左營區孟子路452號,"22.676017,120.307412",1,1156.0,左營分局
CF039,左營區,新光里,高雄市左營區政德路599號,"22.680112,120.302307",1,458.0,左營分局
CF040,左營區,菜公里,高雄市左營區重景街28號,"22.680783,120.306978",2,773.0,左營分局
CF041,左營區,新光里,高雄市左營區曾子路539號,"22.682185,120.303396",1,1586.0,左營分局
CF042,左營區,菜公里,高雄市左營區文敬路51號,"22.677433,120.311231",1,251.0,左營分局
CF043,左營區,新光里,高雄市左營區立大路339號,"22.677417,120.303642",1,216.0,左營分局
CF044,左營區,菜公里,高雄市左營區政德路763號,"22.682458,120.304505",1,896.0,左營分局
CF045,左營區,菜公里,高雄市左營區博愛三路500號,"22.679092,120.308593",1,2625.0,左營分局
CF046,左營區,新光里,高雄市左營區立道路28號,"22.676718,120.304802",1,287.0,左營分局
CF047,左營區,新光里,高雄市左營區立大路290號,"22.676569,120.303317",2,705.0,左營分局
CF048,左營區,菜公里,高雄市左營區博愛三路326號,"22.67661,120.30678",2,1167.0,左營分局
CF049,左營區,新光里,高雄市左營區立大路428號,"22.677949,120.305768",2,973.0,左營分局
CF050,左營區,菜公里,高雄市左營區華夏路985號,"22.681533,120.305338",1,742.0,左營分局
CF051,左營區,新光里,高雄市左營區文康路129巷30號,"22.674617,120.303388",1,1150.0,左營分局
CF052,左營區,菜公里,高雄市左營區崇德路55號,"22.6734,120.308152",1,415.0,左營分局
CF053,左營區,新光里,高雄市左營區文康路191號,"22.675626,120.304967",1,688.0,左營分局
CF054,左營區,新光里,高雄市左營區重上街152之1號,"22.67597,120.304992",3,808.0,左營分局
CF055,左營區,菜公里,高雄市左營區文瑞路2巷69號,"22.67588018,120.315943967347",1,2222.0,左營分局
CF056,左營區,菜公里,高雄市左營區政德路787號,"22.68295494,120.305297044801",1,659.0,左營分局
CF057,左營區,新光里,高雄市左營區重光路61號,"22.680854,120.302519",1,999.0,左營分局
CF058,左營區,新光里,高雄市左營區政德路300號,"22.678744,120.301497",1,799.0,左營分局
CF059,左營區,新光里,高雄市左營區政德路697號,"22.681736,120.303864",2,582.0,左營分局
CF060,左營區,新光里,高雄市左營區政德路442號,"22.680776,120.30332",2,659.0,左營分局
CF061,左營區,新光里,高雄市左營區重治路77號,"22.68184,120.302966",2,484.0,左營分局
CF062,左營區,菜公里,高雄市左營區崇德路33號,"22.673213,120.308584",1、2,1329.0,左營分局
CF063,左營區,新光里,高雄市左營區華夏路712號,"22.677917,120.302301",2,729.0,左營分局
CF064,左營區,菜公里,高雄市左營區重立路401號,"22.674671,120.313774",1,1643.0,左營分局
CF065,左營區,菜公里,高雄市左營區孟子路420號,"22.675811,120.307801",1,529.0,左營分局
CF066,左營區,菜公里,高雄市左營區政德路430號,"22.680468,120.303053",1,810.0,左營分局
CF067,左營區,菜公里,高雄市左營區曾子路438號,"22.682836,120.303543",2,1292.0,左營分局
CF068,左營區,新光里,高雄市左營區重光路76之1號,"22.681232,120.302528",1,650.0,左營分局
CF069,左營區,菜公里,高雄市左營區文強路86號,"22.674178,120.306194",2,2232.0,左營分局
CF070,左營區,菜公里,高雄市左營區重立路381號,"22.674157,120.313523",1,1196.0,左營分局
CF071,左營區,菜公里,高雄市左營區崇德路10號六樓,"22.673117,120.309383",1,1113.0,左營分局
CF072,左營區,新光里,高雄市左營區華夏路909號,"22.67995,120.303563",2,1013.0,左營分局
CF073,左營區,新光里,高雄市左營區政德路376號,"22.679369,120.302207",3,1044.0,左營分局
CF074,左營區,菜公里,高雄市左營區政德路506號,"22.682124,120.304646",1,612.0,左營分局
CF075,左營區,菜公里,高雄市左營區重化街102號,"22.67518,120.307726",2,540.0,左營分局
CF076,左營區,菜公里,高雄市左營區文莊路43號,"22.677063,120.311722",2,1307.0,左營分局
CF077,左營區,菜公里,高雄市左營區文瑞路3號,"22.67446,120.315012",2,2923.0,左營分局
CF078,左營區,新光里,高雄市左營區政德路595號,"22.679611,120.301862",2,486.0,左營分局
CF079,左營區,菜公里,高雄市左營區文莊路57號,"22.677337,120.312167",2,918.0,左營分局
CF080,左營區,新光里,高雄市左營區重上街246號,"22.677278,120.302819",1,1584.0,左營分局
CF081,左營區,菜公里,高雄市左營區重上街52號,"22.674719,120.30762",2,799.0,左營分局
CF082,左營區,新光里,高雄市左營區華夏路710號,"22.677855,120.302263",3,1050.0,左營分局
CF083,左營區,菜公里,高雄市左營區重上街85號,"22.674661,120.306993",1,470.0,左營分局
CF084,左營區,新光里,高雄市左營區華夏路690號,"22.677361,120.301841",3,1162.0,左營分局
CF085,左營區,菜公里,高雄市左營區博愛三路635號,"22.679887,120.308537",2,450.0,左營分局
CF086,左營區,菜公里,高雄市左營區重景街6號,"22.680596,120.307501",1、2,2855.0,左營分局
CF087,左營區,菜公里,高雄市左營區博愛三路376巷16號,"22.677147,120.307525",1,1078.0,左營分局
CF088,左營區,新光里,高雄市左營區華夏路800號,"22.679829,120.304805",1,1414.0,左營分局
CF089,左營區,菜公里,高雄市左營區孟子路189巷65號,"22.67217,120.312143",2,2109.0,左營分局
CF090,左營區,菜公里,高雄市左營區重立路61號,"22.672951,120.312752",1,165.0,左營分局
CF091,左營區,菜公里,高雄市左營區文育路9號,"22.672778,120.314196",2,1275.0,左營分局
CF092,左營區,新光里,高雄市左營區孟子路540號,"22.677641,120.304506",2,1892.0,左營分局
CF093,左營區,菜公里,高雄市左營區文強路235號,"22.677844,120.308254",2,486.0,左營分局
CF094,左營區,菜公里,高雄市左營區重上街5號,"22.673831,120.308888",2,1573.0,左營分局
CF095,左營區,新光里,高雄市左營區博愛三路253號,"22.674638,120.30499",2,621.0,左營分局
CF096,左營區,菜公里,高雄市左營區重化街51號,"22.674963,120.307638",2,759.0,左營分局
CF097,左營區,菜公里,高雄市左營區孟子路408號,"22.675837,120.308045",1,347.0,左營分局
CF098,左營區,菜公里,高雄市左營區孟子路101號,"22.673093,120.313737",2,1310.0,左營分局
CF099,左營區,菜公里,高雄市左營區重立路379號三樓之1,"22.674202,120.313312",2,1572.0,左營分局
CF100,左營區,新光里,高雄市左營區博愛三路97號,"22.673034,120.304311",1,1134.0,左營分局
CF101,左營區,菜公里,高雄市左營區文強路300號,"22.677222,120.308339",2,1576.0,左營分局
CF102,左營區,菜公里,高雄市左營區自由三路330號,"22.674616,120.312468",1,989.0,左營分局
CF103,左營區,新光里,高雄市左營區文萊路343號,"22.678166,120.302858",3,1346.0,左營分局
CF104,左營區,菜公里,高雄市左營區重化街5號,"22.674426,120.308721",1、2,1140.0,左營分局
CF105,左營區,菜公里,高雄市左營區重化街1號,"22.674247,120.309088",1,1097.0,左營分局
CF106,左營區,新光里,高雄市左營區曾子路281號,"22.679455,120.306725",1,1150.0,左營分局
CF107,左營區,菜公里,高雄市左營區自由三路478號,"22.676691,120.313158",1,477.0,左營分局
CF108,左營區,菜公里,高雄市左營區文奇路215號,"22.674427,120.309256",1,677.0,左營分局
CF109,左營區,菜公里,高雄市左營區菜公一路100號,"22.678367,120.314747",1,164.0,左營分局
CF110,左營區,菜公里,高雄市左營區孟子路365號,"22.674954,120.308908",1,1051.0,左營分局
CF111,左營區,新光里,高雄市左營區立大路173號,"22.677022,120.303332",1、2、3,1361.0,左營分局
CF112,左營區,菜公里,高雄市左營區崇德路100號,"22.674106,120.307272",1、2、3、4、5、6,4328.0,左營分局
CF113,左營區,新光里,高雄市左營區孟子路525號,"22.676787,120.305373",1、2、3、4,1879.0,左營分局
CF114,左營區,新光里,高雄市左營區文康路40號,"22.672906,120.303787",1,333.0,左營分局
CF115,左營區,菜公里,高雄市左營區重立路860號,"22.683707,120.305964",2,561.0,左營分局
CF116,左營區,菜公里,高雄市左營區曾子路274巷16號,"22.679649,120.307973",2,721.0,左營分局
CF117,左營區,菜公里,高雄市左營區孟子路33號,"22.672668,120.31504",1、2,1892.0,左營分局
CF118,左營區,新光里,高雄市左營區政德路288號二樓,"22.678318,120.301169",1、2、3,3312.0,左營分局
CF119,左營區,菜公里,高雄市左營區博愛三路388號,"22.677595,120.307467",1,1886.0,左營分局
CF120,左營區,新光里,高雄市左營區崇德路298號,"22.676144,120.303286",1、2、3、4、5,4832.0,左營分局
CF121,左營區,新光里,高雄市左營區立大路82號,"22.675445085134715, 120.30250956889334",1、2,1407.0,左營分局
CF122,左營區,菜公里,高雄市左營區重立路531號,"22.679420685886846, 120.30995519772841",1、2、3、4,3336.0,左營分局
CF123,左營區,菜公里,高雄市左營區子華路87號,"22.675706,120.31106",1,747.0,左營分局
CF124,左營區,菜公里,高雄市左營區菜公里文自路479巷62號,"22.67227088,120.304945767347",1,1801.0,左營分局
CF125,左營區,菜公里,高雄市左營區菜公里文自路196號,"22.672684,120.307467",2,765.0,左營分局
CF126,左營區,菜公里,高雄市左營區子華路114號,"22.675642,120.310576",1,1640.0,左營分局
CF127,左營區,菜公里,高雄市左營區菜公里57鄰孟子路358號,"22.675236,120.30915",2,842.0,左營分局
CF128,左營區,新光里,左營區新光里3鄰新庄仔路79號,"22.673169,120.300376",1,1327.0,左營分局
CF129,左營區,新光里,高雄市左營區新光里17鄰立道路11號,"22.67687,120.304597",1,274.0,左營分局
CF130,左營區,新光里,高雄市左營區新光里20鄰孟子路612號,"22.678068,120.303773",1、2,2012.0,左營分局
CF131,左營區,新光里,高雄市左營區新光里19鄰立大路185號,"22.677230686326645, 120.30346176889333",1,526.0,左營分局
CF132,左營區,新光里,高雄市左營區孟子路625號,"22.678254484464016, 120.30318539772836",1、2、3、4、5、6,12898.0,左營分局
CF133,左營區,新光里,高雄市左營區華夏路609號,"22.676475,120.300692",1、2,763.0,左營分局
CF134,左營區,菜公里,左營區菜公里44鄰文自路325號,"22.674491,120.308085",1、2,268.0,左營分局
CF135,左營區,新光里,高雄市左營區文康路16號,"22.67193,120.303281",1、2、3、4,1928.0,左營分局
CF136,左營區,菜公里,高雄市左營區大中二路339號,"22.679748,120.312107",1,2156.0,左營分局
CF137,左營區,菜公里,高雄市左營區大中二路341號,"22.679693,120.311732",2,2189.0,左營分局
CF138,左營區,菜公里,高雄市左營區大中二路47之1號,"22.678258,120.317245",1,392.0,左營分局
CF139,左營區,菜公里,高雄市左營區民族一路651號,"22.66981,120.317125",2,1650.0,左營分局
CF140,左營區,菜公里,高雄市左營區文自路425號,"22.677119,120.309589",1,336.0,左營分局
CF141,左營區,菜公里,高雄市左營區大中二路587號,"22.682306,120.308424",1,855.0,左營分局
CF142,左營區,菜公里,高雄市左營區文自路278號,"22.674548,120.308521",1,608.0,左營分局
CF143,左營區,菜公里,高雄市左營區民族一路948號,"22.675587,120.319433",1,10306.0,左營分局
CF144,左營區,菜公里,高雄市左營區民族一路709號,"22.672136,120.317511",1,2909.0,左營分局
CF145,左營區,菜公里,高雄市左營區文自路385號,"22.676145,120.309051",1、2、3,2478.0,左營分局
CF146,左營區,褔山里,高雄市左營區文川路20號,"22.68005967,120.307471923614",1、2、3,432.0,左營分局
CF147,左營區,菜公里,左營區菜公里37鄰重文街25號,"22.683243,120.306634",1、2、3,2460.0,左營分局
CF148,左營區,菜公里,高雄市左營區大中二路637號,"22.683852,120.306841",2,1397.0,左營分局
CF149,左營區,菜公里,高雄市左營區文川路74巷1號,"22.681353,120.309107",1,560.0,左營分局
CF150,左營區,菜公里,高雄市左營區民族一路853號,"22.677351,120.317679",1,6135.0,左營分局
CF151,左營區,菜公里,高雄市左營區大中二路573號,"22.682068,120.308661",3,1484.0,左營分局
CF152,左營區,菜公里,高雄市左營區大中一路399號,"22.677499,120.321085",1,1193.0,左營分局
CF153,左營區,菜公里,高雄市左營區文川路157號,"22.68182,120.30888",1、2,2730.0,左營分局
CF154,左營區,菜公里,高雄市左營區民族一路879號,"22.67910288,120.318979453856",1,2016.0,左營分局
CF155,左營區,菜公里,左營區菜公里20鄰文自路515號,"22.67871198,120.310649667348",1、2、3、4,3685.0,左營分局
CF156,左營區,菜公里,高雄市左營區菜公里37鄰高鐵路168號,"22.68749233839643, 120.30733132592762",1、2、3、4,3548.0,左營分局
CF157,左營區,菜公里,高雄市左營區文自路27號,"22.672279,120.305415",1,66.0,左營分局
CF158,左營區,褔山里,高雄市左營區文川路46號之1,"22.6805019,120.308039825896",1,811.0,左營分局
CF159,左營區,新下里,高雄市左營區新庄仔路41巷48弄84號,"22.67033795,120.303907734884",1,487.0,左營分局
CF160,左營區,菜公里,高雄市左營區菜公里大中二路535號,"22.68216158608339, 120.30856546889342",1、2、3、4,2903.0,左營分局
CG133,左營區,菜公里,高雄市左營區文學路165號,"22.686900676738116, 120.31121840973744",1、2、3,3966.0,左營分局
CE156,左營區,新上里,高雄市左營區保靖街42號,"22.66390028007527, 120.3054676385726",1、2、3、4、5,3956.0,左營分局
CG135,左營區,褔山里,高雄市左營區文川路421號,"22.686131179325226, 120.314049367409",1、2、3,1060.0,左營分局
CE163,左營區,新下里,高雄市左營區重安路43巷21號,"22.676233779856336, 120.29847953857279",1、2、3,1275.0,左營分局
SS8155,三民區,寶泰里,高雄市三民區大昌二路118號,"22.643773,120.332342",1,40.0,三民二分局
SS8158,三民區,寶泰里,高雄市三民區大昌二路116號,"22.643709,120.332386",1,313.0,三民二分局
SS8161,三民區,寶盛里,高雄市三民區九如一路428號,"22.638925,120.330403",1,664.0,三民二分局
SS8169,三民區,寶泰里,高雄市三民區壽昌路209號,"22.644067,120.333466",1,358.0,三民二分局
SS8170,三民區,寶玉里,高雄市三民區大昌二路346號,"22.647863,120.332125",1,215.0,三民二分局
SS8174,三民區,寶興里,高雄市三民區正忠路93號,"22.642969,120.330242",1,58.0,三民二分局
SS8182,三民區,寶德里,高雄市三民區覺民路288巷34號,"22.641577,120.336598",1,40.0,三民二分局
SS8183,三民區,寶德里,高雄市三民區覺民路288巷32號,"22.641542,120.3366",1,40.0,三民二分局
SS8184,三民區,寶德里,高雄市三民區覺民路288巷30號,"22.641506,120.336592",1,40.0,三民二分局
SS8185,三民區,寶德里,高雄市三民區覺民路288巷28號,"22.64147,120.336589",1,40.0,三民二分局
SS8186,三民區,寶德里,高雄市三民區覺民路288巷26號,"22.641428,120.336603",1,40.0,三民二分局
SS8187,三民區,寶德里,高雄市三民區覺民路288巷24號,"22.64138694,120.336669401736",1,40.0,三民二分局
SS8205,三民區,本元里,高雄市三民區大慶街32號,"22.651347,120.333849",1,136.0,三民二分局
SS8242,三民區,寶安里,高雄市三民區覺民路579號,"22.640682,120.329552",1,102.0,三民二分局
SS8257,三民區,本武里,高雄市三民區大昌二路522號,"22.65156,120.33052",1,37.0,三民二分局
SS8258,三民區,本武里,高雄市三民區大昌二路526號,"22.651595,120.330481",1,39.0,三民二分局
SS8259,三民區,本武里,高雄市三民區大昌二路530號,"22.651648,120.330402",1,78.0,三民二分局
SS8264,三民區,寶安里,高雄市三民區大昌二路121號,"22.64275923,120.331954255218",1,1498.0,三民二分局
SS8265,三民區,寶安里,高雄市三民區大昌二路56號,"22.64231801,120.332316062479",1,993.0,三民二分局
SS8268,三民區,寶安里,高雄市三民區覺民路511號,"22.640557,120.331463",1,1422.0,三民二分局
SS8274,三民區,寶獅里,高雄市三民區有光路76號,"22.637391,120.33302",1,128.0,三民二分局
SS8280,三民區,寶興里,高雄市三民區正忠路91號,"22.642889,120.330228",1,64.0,三民二分局
SS8286,三民區,本元里,高雄市三民區皓東路241巷11號,"22.650865,120.334997",1,445.0,三民二分局
SS8291,三民區,寶安里,高雄市三民區臥龍路101號,"22.640097,120.329975",1,1020.0,三民二分局
SS8310,三民區,寶德里,高雄市三民區義華路361巷22號,"22.642876,120.333979",1,18.0,三民二分局
SS8321,三民區,本文里,高雄市三民區本文里建工路422號,"22.651965,120.328132",1,251.0,三民二分局
SS8322,三民區,寶獅里,高雄市三民區光武路152巷17號,"22.640962,120.336382",1,47.0,三民二分局
SS8343,三民區,本武里,高雄市三民區本武里大豐二路485號,"22.649742,120.334304",1,88.0,三民二分局
SS8356,三民區,寶玉里,高雄市三民區大豐二路387號,"22.647179,120.334739",2,427.0,三民二分局
SS8357,三民區,寶德里,高雄市三民區義華路299號,"22.643329,120.336367",1,291.0,三民二分局
SS8365,三民區,寶獅里,高雄市三民區九如一路239之1號,"22.637509,120.336291",1,41.0,三民二分局
SS8394,三民區,寶德里,高雄市三民區光武路35號,"22.639226735643863, 120.33430337518432",1,3455.0,三民二分局
SS8400,三民區,寶玉里,高雄市三民區皓東路50號,"22.647855,120.33228",1,418.0,三民二分局
SS8401,三民區,寶德里,高雄市三民區光武路35號,"22.638797,120.334286",1,1292.0,三民二分局
SS8407,三民區,寶德里,高雄市三民區覺民路288巷36號,"22.640675,120.336667",1,619.0,三民二分局
SS8409,三民區,寶興里,高雄市三民區義華路456號,"22.643519279447744, 120.33150886758135",2,2702.0,三民二分局
SS8411,三民區,寶德里,高雄市三民區寶德里義仁街31號,"22.642814,120.334357",1,65.0,三民二分局
SS8417,三民區,寶盛里,高雄市三民區九如一路458號,"22.639109,120.329471",2,3523.0,三民二分局
SS8426,三民區,本武里,高雄市三民區昭良街105號,"22.651933,120.331196",1,161.0,三民二分局
SS8436,三民區,寶泰里,高雄市三民區義德路77號,"22.644525,120.335063",1,327.0,三民二分局
SS8437,三民區,寶安里,高雄市三民區大昌二路67號,"22.640024,120.332037",2,1097.0,三民二分局
SS8457,三民區,寶德里,高雄市三民區覺民路336號,"22.640526,120.335642",2,1383.0,三民二分局
SS8470,三民區,寶獅里,高雄市三民區克武路72號,"22.636609,120.333834",1,664.0,三民二分局
SS8477,三民區,本元里,高雄市三民區育英街77號,"22.651024,120.334316",1,122.0,三民二分局
SS8478,三民區,寶德里,高雄市三民區淵源街32號,"22.638766,120.335539",1,514.0,三民二分局
SS8502,三民區,寶玉里,高雄市三民區大昌二路266號,"22.646038,120.332213",2,3102.0,三民二分局
SS8505,三民區,寶獅里,高雄市三民區光裕路22號,"22.637412,120.333927",1,699.0,三民二分局
SS8511,三民區,寶泰里,高雄市三民區褒忠街154號,"22.642190581381147, 120.33304769641653",1,323.0,三民二分局
SS8517,三民區,本元里,高雄市三民區大慶街112號,"22.652729,120.334087",1,1470.0,三民二分局
SS8521,三民區,寶泰里,高雄市三民區大昌二路119之2號,"22.642379,120.331931",1,890.0,三民二分局
SS8525,三民區,寶玉里,高雄市三民區修武街14號,"22.645295,120.333536",1,503.0,三民二分局
SS8528,三民區,寶獅里,高雄市三民區光富路46號,"22.636877,120.335605",1,135.0,三民二分局
SS8531,三民區,寶泰里,高雄市三民區義德路58巷2號,"22.646474,120.334777",1,1186.0,三民二分局
SS8536,三民區,寶玉里,高雄市三民區大豐二路341號,"22.64647,120.333941",2,309.0,三民二分局
SS8541,三民區,本元里,高雄市三民區建工路227號,"22.654081,120.333498",1,1153.0,三民二分局
SS8550,三民區,寶興里,高雄市三民區建興路56巷12號,"22.642626,120.330051",1,184.0,三民二分局
SS8552,三民區,本武里,高雄市三民區大昌二路420巷15號,"22.650189,120.332794",1,279.0,三民二分局
SS8553,三民區,寶盛里,高雄市三民區九如一路613號,"22.639236,120.324903",1,529.0,三民二分局
SS8574,三民區,寶興里,高雄市三民區寶興路112之12號,"22.645285,120.328723",1,353.0,三民二分局
SS8582,三民區,本元里,高雄市三民區建工路229巷14號,"22.653566,120.333414",1,929.0,三民二分局
SS8583,三民區,寶德里,高雄市三民區覺民路366號,"22.640772,120.333713",1,1471.0,三民二分局
SS8584,三民區,寶盛里,高雄市三民區有光路124號,"22.637647,120.331489",2,1352.0,三民二分局
SS8589,三民區,寶盛里,高雄市三民區九如一路381巷27號,"22.637187,120.331995",1,150.0,三民二分局
SS8590,三民區,寶盛里,高雄市三民區九如一路381巷31號,"22.637062,120.331971",1,149.0,三民二分局
SS8592,三民區,寶興里,高雄市三民區寶興路50號,"22.644314,120.327628",1,725.0,三民二分局
SS8593,三民區,寶玉里,高雄市三民區皓東路146之1號,"22.648983,120.334444",2,999.0,三民二分局
SS8596,三民區,寶泰里,高雄市三民區義德路52號,"22.645717,120.335556",1,1729.0,三民二分局
SS8606,三民區,寶泰里,高雄市三民區義昌路50號,"22.641596,120.334231",2,648.0,三民二分局
SS8607,三民區,寶安里,高雄市三民區九如一路502號,"22.639398,120.327557",2,2299.0,三民二分局
SS8614,三民區,寶玉里,高雄市三民區大豐二路457號,"22.648461,120.334674",2,1229.0,三民二分局
SS8617,三民區,寶興里,高雄市三民區建武路202之2號,"22.645085,120.330636",1,1727.0,三民二分局
SS8620,三民區,寶玉里,高雄市三民區義德路70巷1號,"22.647176,120.333731",1,1626.0,三民二分局
SS8628,三民區,寶盛里,高雄市三民區九如一路551號,"22.639088,120.326341",3,1312.0,三民二分局
SS8630,三民區,寶德里,高雄市三民區覺民路292號,"22.640224,120.336668",2,1070.0,三民二分局
SS8631,三民區,寶盛里,高雄市三民區臥龍路54巷49號,"22.638162,120.331779",3,934.0,三民二分局
SS8632,三民區,寶獅里,高雄市三民區有光路12號,"22.637059,120.334447",1,311.0,三民二分局
SS8645,三民區,本元里,高雄市三民區秋元街51號,"22.653252,120.335883",1,290.0,三民二分局
SS8647,三民區,寶玉里,高雄市三民區育英街16號,"22.648741,120.332551",1,274.0,三民二分局
SS8652,三民區,寶玉里,高雄市三民區大豐二路346號,"22.646265,120.33435",1,231.0,三民二分局
SS8655,三民區,寶獅里,高雄市三民區光富路8號,"22.637201,120.335059",1,797.0,三民二分局
SS8660,三民區,寶興里,高雄市三民區寶興路28號,"22.644393,120.327067",1,527.0,三民二分局
SS8669,三民區,寶盛里,高雄市三民區大順三路311號,"22.637284,120.327044",2,326.0,三民二分局
SS8682,三民區,寶興里,高雄市三民區建興路116號,"22.64355,120.328492",1,99.0,三民二分局
SS8684,三民區,寶興里,高雄市三民區正忠路95號,"22.642834,120.33022",1,142.0,三民二分局
SS8686,三民區,寶玉里,高雄市三民區春陽街63號,"22.647546,120.334148",1,599.0,三民二分局
SS8687,三民區,寶興里,高雄市三民區建興路106號,"22.64289,120.328643",1,132.0,三民二分局
SS8695,三民區,寶安里,高雄市三民區九如一路276號,"22.63800154,120.33562930387",2,997.0,三民二分局
SS8698,三民區,寶盛里,高雄市三民區教仁路3號,"22.638435,120.325558",1,532.0,三民二分局
SS8699,三民區,寶興里,高雄市三民區寶興路112號之1,"22.645346,120.328345",1,376.0,三民二分局
SS8700,三民區,寶獅里,高雄市三民區九如一路236號,"22.638034,120.335857",2,855.0,三民二分局
SS8704,三民區,寶泰里,高雄市三民區壽昌路301巷5號,"22.644653,120.333501",1,449.0,三民二分局
SS8705,三民區,寶泰里,高雄市三民區義華路434號,"22.643695,120.332511",1,1039.0,三民二分局
SS8710,三民區,寶興里,高雄市三民區寶興路112之17號,"22.645474,120.328683",1,351.0,三民二分局
SS8711,三民區,寶泰里,高雄市三民區義華路402號,"22.643713,120.333098",1,862.0,三民二分局
SS8714,三民區,寶盛里,高雄市三民區教仁路6巷2號,"22.638045,120.325236",1,700.0,三民二分局
SS8715,三民區,寶盛里,高雄市三民區教仁路12之1號,"22.637974,120.325514",1,1105.0,三民二分局
SS8720,三民區,寶玉里,高雄市三民區修武街38號,"22.646287,120.333044",1,375.0,三民二分局
SS8722,三民區,寶盛里,高雄市三民區教仁路78號,"22.637744,120.326756",1,619.0,三民二分局
SS8725,三民區,寶玉里,高雄市三民區大豐二路496號,"22.649266,120.335006",1,763.0,三民二分局
SS8732,三民區,寶興里,高雄市三民區大順二路270號,"22.644759,120.326252",1,662.0,三民二分局
