類別,電腦編號,村里別,緯經度,地下層數位址,可容納人數,轄管分局,備註
大樓,ENA04061,南港里,"25.04597, 121.17165",1.0,1590,大園分局,
大樓,ENA04071,南港里,"25.06287, 121.16815",1.0,3366,大園分局,
大樓,ENA04075,南港里,"25.05328, 121.17147",1.0,4322,大園分局,
大樓,ENA04064,南港里,"25.04528, 121.16708",1.0,722,大園分局,
大樓,ENA04073,南港里,"25.05015, 121.16617",1.0,5233,大園分局,
大樓,ENA04074,南港里,"25.05093, 121.1739",1.0,1728,大園分局,
公寓,ENA04062,南港里,"25.04456, 121.17083",1.0,1409,大園分局,
工廠,ENA06045,大潭里,"25.02506, 121.05798",1.0,211,大園分局,
大樓,ENA06012,大潭里,"25.03586, 121.05807",1.0,250,大園分局,
大樓,ENA06052,大潭里,"25.03759, 121.06266",1.0,2320,大園分局,
工廠,ENA06044,大潭里,"25.02989, 121.0593",1.0,85,大園分局,
工廠,ENA06038,大潭里,"25.03096, 121.05196",1.0,1392,大園分局,
工廠,ENA06039,大潭里,"25.03096, 121.05196",1.0,244,大園分局,
大樓,ENA06037,大潭里,"25.03096, 121.05196",1.0,900,大園分局,
工廠,ENA06040,大潭里,"25.03096, 121.05196",1.0,1048,大園分局,
工廠,ENA06041,大潭里,"25.03096, 121.05196",1.0,193,大園分局,
大樓,ENA06042,大潭里,"25.03096, 121.05196",1.0,1314,大園分局,
工廠,ENA06043,大潭里,"25.02493, 121.05778",1.0,2320,大園分局,
大樓,ENA06054,大潭里,"25.03096, 121.05196",1.0,6090,大園分局,
工廠,ENA06046,大潭里,"25.03557, 121.05828",1.0,2629,大園分局,
工廠,ENA06051,大潭里,"25.03647, 121.05903",1.0,130,大園分局,
大樓,ENA06047,白玉里,"25.04588, 121.09117",1.0,207,大園分局,
大樓,ENA06050,白玉里,"25.04985, 121.08848",1.0,624,大園分局,
大樓,ENA06035,坑尾里,"25.03008, 121.09492",1.0,3238,大園分局,
大樓,ENA06049,坑尾里,"25.03204, 121.10015",1.0,1252,大園分局,
工廠,ENA06020,廣興里,"25.03526, 121.10515",1.0,98,大園分局,
工廠,ENA06026,廣興里,"25.03135, 121.098",1.0,178,大園分局,
大樓,ENA06028,廣興里,"25.0317, 121.08683",1.0,117,大園分局,
工廠,ENA06021,廣興里,"25.03055, 121.08851",1.0,420,大園分局,
大樓,ENA06033,廣興里,"25.03055, 121.08851",1.0,453,大園分局,
大樓,ENA06031,廣興里,"25.03157, 121.08698",1.0,189,大園分局,
大樓,ENA06004,廣興里,"24.86704, 121.23632",1.0,110,大園分局,
工廠,ENA06034,廣興里,"25.03114, 121.0872",1.0,882,大園分局,
大樓,ENA06030,廣興里,"25.03221, 121.08895",1.0,226,大園分局,
大樓,ENA06014,廣興里,"25.03373, 121.09492",1.0,108,大園分局,
工廠,ENA06015,廣興里,"25.03373, 121.09492",1.0,217,大園分局,
大樓,ENA06001,觀音里,"25.03806, 121.07701",1.0,393,大園分局,
大樓,ENA06007,觀音里,"25.03655, 121.08209",1.0,852,大園分局,
大樓,ENA06002,觀音里,"25.02795, 121.08308",1.0,66,大園分局,
大樓,ENA06048,觀音里,"25.03674, 121.07534",1.0,468,大園分局,
工廠,ENA07013,上大里,"24.97406, 121.15967",1.0,45,大園分局,
工廠,ENA07049,上大里,"24.97802, 121.16162",1.0,2923,大園分局,
工廠,ENA07025,大同里,"25.01138, 121.13907",1.0,289,大園分局,
工廠,ENA07050,大同里,"25.00939, 121.14218",1.0,1243,大園分局,
工廠,ENA07039,大堀里,"25.00587, 121.13038",1.0,177,大園分局,
工廠,ENA07034,金湖里,"25.02398, 121.11227",1.0,68,大園分局,
大樓,ENA07046,金湖里,"25.02775, 121.10914",1.0,409,大園分局,
大樓,ENA07028,金湖里,"25.0228, 121.11718",1.0,58,大園分局,
大樓,ENA07001,金湖里,"25.02146, 121.11881",1.0,2320,大園分局,
大樓,ENA07004,金湖里,"25.02146, 121.11881",1.0,790,大園分局,
大樓,ENA07030,金湖里,"25.017, 121.11871",1.0,1269,大園分局,
工廠,ENA07032,金湖里,"25.0213, 121.11972",1.0,436,大園分局,
工廠,ENA07027,金湖里,"25.02969, 121.10569",1.0,88,大園分局,
工廠,ENA07021,崙坪里,"24.9944, 121.16201",1.0,1081,大園分局,
大樓,ENA07017,崙坪里,"24.99467, 121.16234",1.0,877,大園分局,
工廠,ENA07020,崙坪里,"24.99439, 121.16219",1.0,1030,大園分局,
大樓,ENA07023,崙坪里,"24.99404, 121.16215",1.0,758,大園分局,
工廠,ENA07019,崙坪里,"24.99467, 121.16225",1.0,1033,大園分局,
工廠,ENA07022,崙坪里,"24.99513, 121.16246",1.0,878,大園分局,
大樓,ENA07014,崙坪里,"24.99513, 121.16246",1.0,1036,大園分局,
大樓,ENA07018,崙坪里,"24.99427, 121.16208",1.0,986,大園分局,
工廠,ENA07016,崙坪里,"24.99439, 121.16279",1.0,1114,大園分局,
工廠,ENA07015,崙坪里,"24.99513, 121.16246",1.0,922,大園分局,
大樓,ENA07053,崙坪里,"25.00045, 121.15962",1.0,2699,大園分局,
大樓,ENA07052,崙坪里,"25.00045, 121.15962",1.0,1620,大園分局,
大樓,ENA07007,富源里,"  24.97186,121.14263",1.0,910,大園分局,
大樓,ENA07051,富源里,"24.967, 121.14799",1.0,673,大園分局,
大樓,ENA07045,富源里,"24.97573, 121.13736",1.0,1506,大園分局,
工廠,ENA07006,富源里,"24.98523, 121.13007",1.0,160,大園分局,
大樓,ENA07005,富源里,"24.97186, 121.14263",1.0,288,大園分局,
大樓,ENA07002,富源里,"24.99314, 121.13101",1.0,48,大園分局,
工廠,ENA07010,富源里,"24.97369, 121.14017",1.0,54,大園分局,
工廠觀音高中,ENA07047,新坡里,"25.01545, 121.13592",1.0,101,大園分局,
工廠觀音高中,ENA07048,新坡里,"25.01261, 121.13628",1.0,2849,大園分局,
大樓,ENA07040,新坡里,"25.01448, 121.13664",1.0,1025,大園分局,
工廠,ENA07003,新坡里,"25.01474, 121.13277",1.0,101,大園分局,
工廠,ENA07042,新坡里,"25.01448, 121.13664",1.0,1074,大園分局,
大樓,ENA07054,藍埔里,"25.00585, 121.11966",2.0,968,大園分局,
大樓,ENA07031,藍埔里,"24.99839, 121.12008",1.0,1186,大園分局,
大樓,ENA08191,保障里,"25.06948, 121.13949",1.0,6520,大園分局,
工廠,ENA08166,保障里,"25.04718, 121.14298",1.0,69,大園分局,
大樓,ENA08206,草新里,"25.03727, 121.14264",1.0,1137,大園分局,
大樓,ENA08210,草新里,"25.04129, 121.13693",1.0,1058,大園分局,
大樓,ENA08192,草新里,"25.04718, 121.14298",1.0,2057,大園分局,
大樓,ENA08211,草新里,"25.04248, 121.13657",2.0,2868,大園分局,
大樓,ENA08213,草新里,"25.04151, 121.13585",1.0,623,大園分局,
大樓,ENA08205,草新里,"25.03957, 121.14389",1.0,1222,大園分局,
大樓,ENA08033,草漯里,"25.05546, 121.13598",1.0,"138 ",大園分局,
大樓,ENA08004,草漯里,"25.05119, 121.12685",1.0,"448 ",大園分局,
工廠,ENA08005,草漯里,"25.05037, 121.12743",1.0,"120 ",大園分局,
工廠,ENA08003,草漯里,"25.0522, 121.12679",1.0,"306 ",大園分局,
工廠,ENA08001,草漯里,"25.04718, 121.14298",1.0,"822 ",大園分局,
工廠,ENA08007,草漯里,"25.04613, 121.13315",1.0,"132 ",大園分局,
大樓,ENA08006,草漯里,"25.04613, 121.13315",1.0,"132 ",大園分局,
大樓,ENA08008,草漯里,"25.04632, 121.13152",1.0,"230 ",大園分局,
大樓,ENA08009,草漯里,"25.04626, 121.13228",1.0,"494 ",大園分局,
工廠,ENA08167,草漯里,"25.05007, 121.13039",1.0,93,大園分局,
大樓,ENA08002,草漯里,"25.05764, 121.13031",1.0,"164 ",大園分局,
工廠,ENA08022,草漯里,"25.04966, 121.13517",1.0,"126 ",大園分局,
大樓,ENA08023,草漯里,"25.04872, 121.13519",1.0,"108 ",大園分局,
工廠,ENA08024,草漯里,"25.05512, 121.12434",1.0,"37 ",大園分局,
工廠,ENA08019,草漯里,"25.05387, 121.13019",1.0,"120 ",大園分局,
大樓,ENA08025,草漯里,"25.04907, 121.13513",1.0,"776 ",大園分局,
工廠,ENA08026,草漯里,"25.05007, 121.13039",1.0,"128 ",大園分局,
大樓,ENA08027,草漯里,"25.04954, 121.13554",1.0,"85 ",大園分局,
工廠,ENA08169,草漯里,"25.04917, 121.1363",1.0,736,大園分局,
工廠,ENA08028,草漯里,"25.04746, 121.13338",1.0,"145 ",大園分局,
大樓,ENA08029,草漯里,"25.04753, 121.13546",1.0,"53 ",大園分局,
工廠,ENA08170,草漯里,"25.04597, 121.14131",1.0,68,大園分局,
工廠,ENA08020,草漯里,"25.04718, 121.14298",1.0,"526 ",大園分局,
工廠,ENA08021,草漯里,"25.06948, 121.13949",1.0,"169 ",大園分局,
大樓,ENA08032,草漯里,"25.04718, 121.14298",1.0,"4158 ",大園分局,
大樓,ENA08123,草漯里,"25.04954, 121.13704",1.0,94,大園分局,
工廠,ENA08183,草漯里,"25.04954, 121.13554",1.0,53,大園分局,
工廠,ENA08124,草漯里,"25.04917, 121.1363",1.0,4854,大園分局,
工廠,ENA08125,草漯里,"25.05397, 121.12638",1.0,910,大園分局,
大樓,ENA08126,草漯里,"25.05532, 121.12665",1.0,334,大園分局,
工廠,ENA08030,草漯里,"25.05889, 121.13647",1.0,"253 ",大園分局,
工廠,ENA08037,草漯里,"25.04987, 121.12878",1.0,"234 ",大園分局,
工廠,ENA08035,草漯里,"25.05075, 121.12821",1.0,"217 ",大園分局,
工廠,ENA08036,草漯里,"25.05542, 121.13162",1.0,"905 ",大園分局,
工廠,ENA08011,草漯里,"25.05881, 121.12896",1.0,"228 ",大園分局,
工廠,ENA08012,草漯里,"25.05783, 121.12969",1.0,"408 ",大園分局,
大樓,ENA08013,草漯里,"25.05839, 121.12983",1.0,"570 ",大園分局,
大樓,ENA08010,草漯里,"25.0458, 121.13307",1.0,"44 ",大園分局,
工廠,ENA08202,草漯里,"25.05832, 121.12878",1.0,468,大園分局,
大樓,ENA08017,草漯里,"25.04883, 121.13606",1.0,"229 ",大園分局,
工廠,ENA08018,草漯里,"25.05563, 121.13052",1.0,"168 ",大園分局,
大樓,ENA08014,草漯里,"25.05495, 121.13042",1.0,"265 ",大園分局,
大樓,ENA08015,草漯里,"25.05116, 121.12893",1.0,"1302 ",大園分局,
工廠,ENA08016,草漯里,"25.04639, 121.13548",1.0,"570 ",大園分局,
工廠,ENA08203,草漯里,"25.04513, 121.13636",1.0,3088,大園分局,
大樓,ENA08209,草漯里,"25.05832, 121.12878",2.0,1886,大園分局,
工廠,ENA08199,草漯里,"25.04639, 121.13548",1.0,1806,大園分局,
工廠,ENA08201,草漯里,"25.04338, 121.13746",1.0,709,大園分局,
大樓,ENA08212,草漯里,"25.0433, 121.13623",2.0,1421,大園分局,
大樓,ENA08208,草漯里,"25.04718, 121.14298",1.0,1221,大園分局,
工廠,ENA08194,富林里,"25.0478, 121.11278",1.0,457,大園分局,
工廠,ENA08165,富林里,"25.04745, 121.11235",1.0,1260,大園分局,
工廠,ENA08146,富林里,"25.04709, 121.11186",1.0,1868,大園分局,
工廠,ENA08147,富林里,"25.04534, 121.10935",1.0,526,大園分局,
工廠,ENA08173,富林里,"25.04362, 121.10702",1.0,2900,大園分局,
工廠,ENA08144,富林里,"25.04245, 121.1058",1.0,736,大園分局,
工廠,ENA08145,富林里,"25.04782, 121.11614",1.0,68,大園分局,
工廠,ENA08151,富林里,"25.04995, 121.10845",1.0,150,大園分局,
工廠,ENA08143,富林里,"25.05276, 121.10643",1.0,2153,大園分局,
工廠,ENA08190,富林里,"25.05324, 121.10565",1.0,117,大園分局,
工廠,ENA08130,富林里,"25.05919, 121.1115",1.0,118,大園分局,
工廠,ENA08134,富林里,"25.0556, 121.10337",1.0,597,大園分局,
工廠,ENA08135,富林里,"25.04508, 121.11078",1.0,252,大園分局,
工廠,ENA08136,富林里,"25.05293, 121.11686",1.0,185,大園分局,
工廠,ENA08137,富林里,"25.05399, 121.11645",1.0,49,大園分局,
工廠,ENA08138,富林里,"25.05246, 121.11564",1.0,456,大園分局,
工廠,ENA08139,富林里,"25.05895, 121.1137",1.0,765,大園分局,
工廠,ENA08140,富林里,"25.05732, 121.11212",1.0,78,大園分局,
工廠,ENA08141,富林里,"25.05676, 121.10435",1.0,1876,大園分局,
工廠,ENA08163,富林里,"25.05803, 121.1061",1.0,117,大園分局,
工廠,ENA08161,富林里,"25.05958, 121.10577",1.0,142,大園分局,
工廠,ENA08152,富林里,"25.05293, 121.11686",1.0,726,大園分局,
工廠,ENA08153,富林里,"25.05399, 121.11645",1.0,1262,大園分局,
工廠,ENA08154,富林里,"25.03327, 121.12231",1.0,341,大園分局,
工廠,ENA08181,富林里,"25.05872, 121.11389",1.0,217,大園分局,
工廠,ENA08155,富林里,"25.05895, 121.1137",1.0,266,大園分局,
工廠,ENA08157,富林里,"25.05872, 121.11389",1.0,936,大園分局,
工廠,ENA08159,富林里,"25.03682, 121.13481",1.0,238,大園分局,
工廠,ENA08171,樹林里,"25.06749, 121.12635",1.0,1868,大園分局,
工廠,ENA08046,樹林里,"25.06663, 121.12872",1.0,496,大園分局,
大樓,ENA08040,樹林里,"25.06198, 121.12837",1.0,693,大園分局,
工廠,ENA08041,樹林里,"25.06839, 121.12765",1.0,4961,大園分局,
大樓,ENA08038,樹林里,"25.06491, 121.12908",1.0,177,大園分局,
大樓,ENA08039,樹林里,"25.06588, 121.12812",1.0,300,大園分局,
大樓,ENA08044,樹林里,"25.06474, 121.12768",1.0,1244,大園分局,
工廠,ENA08045,樹林里,"25.06576, 121.12627",1.0,288,大園分局,
大樓,ENA08047,樹林里,"25.06645, 121.12641",1.0,202,大園分局,
工廠,ENA08172,樹林里,"25.06645, 121.12641",1.0,526,大園分局,
工廠,ENA08048,樹林里,"25.06697, 121.1259",1.0,142,大園分局,
工廠,ENA08049,樹林里,"25.06713, 121.12478",1.0,92,大園分局,
大樓,ENA08050,樹林里,"25.06674, 121.12371",1.0,210,大園分局,
大樓,ENA08051,樹林里,"25.06706, 121.12335",1.0,269,大園分局,
大樓,ENA08052,樹林里,"25.06198, 121.12837",1.0,141,大園分局,
工廠,ENA08056,樹林里,"25.06039, 121.12341",1.0,2197,大園分局,
工廠,ENA08053,樹林里,"25.05764, 121.12566",1.0,141,大園分局,
工廠,ENA08054,樹林里,"25.05973, 121.12403",1.0,1241,大園分局,
大樓,ENA08063,樹林里,"25.0618, 121.11322",1.0,1157,大園分局,
工廠,ENA08059,樹林里,"25.05841, 121.11892",1.0,466,大園分局,
工廠,ENA08198,樹林里,"25.05841, 121.11892",1.0,2610,大園分局,
大樓,ENA08060,樹林里,"25.0588, 121.1189",1.0,41,大園分局,
大樓,ENA08061,樹林里,"25.0601, 121.11843",1.0,553,大園分局,
大樓,ENA08058,樹林里,"25.05708, 121.11948",1.0,188,大園分局,
工廠,ENA08127,樹林里,"25.05608, 121.1253",1.0,68,大園分局,
工廠,ENA08185,樹林里,"25.05021, 121.11625",1.0,72,大園分局,
工廠,ENA08131,樹林里,"25.05021, 121.11625",1.0,68,大園分局,
工廠,ENA08132,樹林里,"25.04968, 121.11541",1.0,5026,大園分局,
工廠,ENA08133,樹林里,"25.04911, 121.11472",1.0,1194,大園分局,
工廠,ENA08055,樹林里,"25.05267, 121.12613",1.0,1241,大園分局,
工廠,ENA08204,樹林里,"25.05399, 121.11645",1.0,1143,大園分局,
工廠,ENA08200,樹林里,"25.06239, 121.1118",1.0,46,大園分局,
工廠,ENA08064,樹林里,"25.05545, 121.12172",1.0,570,大園分局,
公寓,ENA08065,樹林里,"25.05663, 121.12436",1.0,240,大園分局,
工廠,ENA08195,樹林里,"25.05737, 121.12501",1.0,2873,大園分局,
公寓,ENA08066,樹林里,"25.05715, 121.12247",1.0,170,大園分局,
公寓,ENA08067,樹林里,"25.05741, 121.12333",1.0,854,大園分局,
大樓,ENA08068,樹林里,"25.05741, 121.12333",1.0,1749,大園分局,
工廠,ENA08069,樹林里,"25.05851, 121.12639",1.0,174,大園分局,
大樓,ENA08070,樹林里,"25.05888, 121.1266",1.0,19,大園分局,
工廠,ENA08072,樹林里,"25.05844, 121.12552",1.0,111,大園分局,
大樓,ENA08073,樹林里,"25.05842, 121.12598",1.0,91,大園分局,
大樓,ENA08074,樹林里,"25.06198, 121.12837",1.0,520,大園分局,
工廠,ENA08174,樹林里,"25.05968, 121.12701",1.0,1390,大園分局,
工廠,ENA08078,樹林里,"25.05783, 121.12024",1.0,254,大園分局,
工廠,ENA08175,樹林里,"25.05754, 121.12141",1.0,52,大園分局,
工廠,ENA08081,樹林里,"25.05889, 121.12413",2.0,535,大園分局,
工廠,ENA08077,樹林里,"25.05534, 121.11666",1.0,274,大園分局,
工廠,ENA08082,樹林里,"25.05989, 121.12515",1.0,49,大園分局,
工廠,ENA08083,樹林里,"25.06005, 121.12537",1.0,327,大園分局,
工廠,ENA08084,樹林里,"25.05946, 121.12506",1.0,76,大園分局,
工廠,ENA08085,樹林里,"25.06029, 121.12538",1.0,962,大園分局,
工廠,ENA08086,樹林里,"25.06033, 121.12585",1.0,65,大園分局,
工廠,ENA08088,樹林里,"25.06073, 121.12447",2.0,116,大園分局,
工廠,ENA08089,樹林里,"25.06122, 121.12437",1.0,138,大園分局,
工廠,ENA08176,樹林里,"25.06115, 121.12489",1.0,150,大園分局,
工廠,ENA08090,樹林里,"25.06179, 121.12478",1.0,89,大園分局,
工廠,ENA08091,樹林里,"25.05999, 121.12411",1.0,73,大園分局,
工廠,ENA08092,樹林里,"25.06131, 121.12513",1.0,72,大園分局,
工廠,ENA08093,樹林里,"25.0605, 121.12512",1.0,214,大園分局,
工廠,ENA08094,樹林里,"25.06137, 121.12532",1.0,585,大園分局,
工廠,ENA08095,樹林里,"25.06211, 121.12608",1.0,293,大園分局,
工廠,ENA08087,樹林里,"25.05766, 121.11799",1.0,354,大園分局,
工廠,ENA08113,樹林里,"25.06047, 121.11642",1.0,61,大園分局,
工廠,ENA08114,樹林里,"25.06008, 121.11708",1.0,262,大園分局,
工廠,ENA08110,樹林里,"25.0599, 121.11448",1.0,560,大園分局,
工廠,ENA08111,樹林里,"25.05951, 121.11442",1.0,560,大園分局,
工廠,ENA08119,樹林里,"25.06191, 121.12231",1.0,8013,大園分局,
工廠,ENA08121,樹林里,"25.06738, 121.12471",1.0,45,大園分局,
工廠,ENA08098,樹林里,"25.05963, 121.11784",1.0,484,大園分局,
工廠,ENA08099,樹林里,"25.05962, 121.11806",1.0,97,大園分局,
