類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
松鼎苑,正光里,基隆市七堵區光明路15號,"25.0984714,121.7172012",B01,2671,第三分局,
公寓,正光里,基隆市七堵區光明路26號,"25.0983767,121.7167023",B01,96,第三分局,
公寓,正明里,基隆市七堵區南光街17號,"25.0947374,121.7123848",B01,79,第三分局,
公寓,正明里,基隆市七堵區南光街1巷1號,"25.0947123,121.7113524",B01,106,第三分局,
公寓,正明里,基隆市七堵區南興路102號,"25.0965791,121.7122576",B01,406,第三分局,
財政部基隆關稅局,正明里,基隆市七堵區南光街21號,"25.0948536,121.7123581",B01,459,第三分局,
陽明海運股份有限公司,正明里,基隆市七堵區明德一路271號,"25.0945277,121.7109139",B01,1720,第三分局,
公寓,正明里,基隆市七堵區南興路90號,"25.0966679,121.7125034",B01,181,第三分局,
基盛大樓,正明里,基隆市七堵區明德一路235號,"25.0961636,121.7108826",B01,258,第三分局,
模範家庭,正明里,基隆市七堵區自治街28巷48號,"25.0958832,121.7116065",B01,635,第三分局,
葛萊美-哈佛特區,正明里,基隆市七堵區開元路114號,"25.0956022,121.7119149",B01,1794,第三分局,
公寓,永平里,基隆市七堵區崇信街41巷19號,"25.0994658,121.711436",B01,52,第三分局,
七堵國小-崇真樓,永平里,基隆市七堵區明德一路184號,"25.0984849,121.7138287",B01,285,第三分局,
公寓,永平里,基隆市七堵區明德一路190號,"25.097417,121.7129763",B01,246,第三分局,
公寓,永平里,基隆市七堵區崇智街11巷13號,"25.0994588,121.7133793",B01,931,第三分局,
公寓,永平里,基隆市七堵區崇智街37號,"25.1000357,121.7132496",B01,276,第三分局,
公寓,永平里,基隆市七堵區崇智街25號,"25.0997802,121.7134029",B01,103,第三分局,
崇信大樓,永平里,基隆市七堵區明德一路186號,"25.0975085,121.7131581",B01,322,第三分局,
七堵國小-懷夢樓,永平里,基隆市七堵區明德一路184號,"25.0986398,121.7132466",B01,630,第三分局,
公寓,永安里,基隆市七堵區崇孝街21號,"25.0976634,121.7094249",B01,315,第三分局,
公寓,永安里,基隆市七堵區崇信街37巷20號,"25.0988815,121.7115751",B01,341,第三分局,
永富之星-永富首盛,永安里,基隆市七堵區永富路212之2號,"25.0981184,121.7110256",B01,1102,第三分局,
永富之星-永富之星,永安里,基隆市七堵區永富路238號,"25.0981588,121.7104787",B01,695,第三分局,
永富之星-永富巨星,永安里,基隆市七堵區永富路220號,"25.0981588,121.7106616",B01,1464,第三分局,
詠幸福,永安里,基隆市七堵區崇孝街42巷47號,"25.0986632,121.710515",B01,723,第三分局,
經濟部標準檢驗局,百福里,基隆市七堵區福五街85巷3號,"25.0848624,121.698323",B01,315,第三分局,
我家鄉村,百福里,基隆市七堵區百七街66號,"25.0868969,121.6974835",B01B02,2928,第三分局,
公寓,百福里,基隆市七堵區百五街51號,"25.0839792,121.6965926",B01,272,第三分局,
銀河大地,百福里,基隆市七堵區福六街51號,"25.0832785,121.6998479",B01,368,第三分局,
公寓,百福里,基隆市七堵區福五街8巷17號,"25.0829465,121.6998159",B01,486,第三分局,
公寓,百福里,基隆市七堵區福二街210號,"25.0841514,121.6962271",B01,300,第三分局,
百福綠園,百福里,基隆市七堵區百六街106號,"25.0853119,121.697016",B01,420,第三分局,
公寓,百福里,基隆市七堵區福二街228號,"25.0845826,121.6961641",B01,410,第三分局,
東方吉地,百福里,基隆市七堵區福五街38號,"25.0834784,121.6990667",B01,631,第三分局,
公寓,百福里,基隆市七堵區百六街100巷23號,"25.0845692,121.6968789",B01,1031,第三分局,
公寓,百福里,基隆市七堵區福六街125號,"25.0851694,121.6989677",B01,649,第三分局,
百福吉星,百福里,基隆市七堵區福五街174號,"25.0876828,121.697896",B01,495,第三分局,
公寓,百福里,基隆市七堵區福五街171號,"25.0876065,121.6976793",B01,293,第三分局,
公寓,百福里,基隆市七堵區福六街65號,"25.0835708,121.6996657",B01,437,第三分局,
東煒國寶B區,百福里,基隆市七堵區福五街76之1號,"25.0847276,121.6986623",B01,840,第三分局,
消防局百福分隊,百福里,基隆市七堵區百六街116號,"25.0854887,121.6974073",B01B02,3311,第三分局,
葛萊美一期首盛緻馥,百福里,基隆市七堵區福五街137號,"25.0862702,121.6980272",B01,888,第三分局,
松和臻品,百福里,基隆市七堵區百七街56號,"25.0867633,121.6966601",B01,336,第三分局,
葛萊美三期富蘭克林,百福里,基隆市七堵區百七街69號,"25.0868197,121.6961678",B01,150,第三分局,
精心園,百福里,基隆市七堵區百七街101巷22號,"25.0874969,121.6971361",B01,1099,第三分局,
建築師的家,百福里,基隆市七堵區福五街80號,"25.0847968,121.6986905",B01,346,第三分局,
名軒極景,百福里,基隆市七堵區福六街113號,"25.0847512,121.6991804",B01,1104,第三分局,
透天,百福里,基隆市七堵區百六街136號,"25.085638,121.6986291",B01,856,第三分局,
福邦麗園,百福里,基隆市七堵區福六街61號,"25.0834539,121.6997438",B01B02,1010,第三分局,
一品琚,百福里,基隆市七堵區福五街26號,"25.0831583,121.6991451",B01,566,第三分局,
皇家名邸,百福里,基隆市七堵區福二街328號,"25.0869109,121.6956065",B01B02,1071,第三分局,
萬隆青田,百福里,基隆市七堵區福二街300號,"25.0860551,121.6960667",B01B02,759,第三分局,
淳玥,百福里,基隆市七堵區百六街107巷11號,"25.0862769,121.6968642",B01B02,904,第三分局,
吉璞御沐(百五街),百福里,基隆市七堵區百五街78號,"25.084174,121.6991276",B01B02,223,第三分局,
吉璞御沐(福六街),百福里,基隆市七堵區福六街49號,"25.0830438,121.6999822",B01,253,第三分局,
公寓,自強里,基隆市七堵區大華一路46號,"25.1014802,121.7140764",B01,66,第三分局,
公寓,自強里,基隆市七堵區自強路59號,"25.1085541,121.712375",B01,410,第三分局,
美河新都,自強里,基隆市七堵區大華一路129之6號,"25.1009235,121.7111202",B01,2755,第三分局,
三富臻品,自強里,基隆市七堵區大華一路125巷29號,"25.1007468,121.7119195",B01,85,第三分局,
里山居,長安里,基隆市七堵區長安街233巷50號,"25.0757088,121.6959822",B01,136,第三分局,
公寓,長興里,基隆市七堵區東新街6巷47號,"25.0918862,121.7161223",B01,71,第三分局,
蘇州庭院,長興里,基隆市七堵區東新街89巷36號,"25.0938367,121.7228393",B01,183,第三分局,
私立宏安老人長期照顧中心,長興里,基隆市七堵區東新街91號,"25.0946262,121.7212327",B01,360,第三分局,
公寓,長興里,基隆市七堵區東新街4巷39號,"25.092674,121.7142915",B01,165,第三分局,
台北新境,長興里,基隆市七堵區東新街79巷1號,"25.0949887,121.7209449",B01,142,第三分局,
長興國小-活動中心,長興里,基隆市七堵區東新街3號,"25.0921509,121.7139719",B01,410,第三分局,
典藏天廈,長興里,基隆市七堵區東新街6巷20號,"25.0925485,121.7154534",B01,130,第三分局,
水世界,長興里,基隆市七堵區東新街83之3號,"25.0942623,121.7219456",B01,3297,第三分局,
基隆商工-綜合教學大樓,長興里,基隆市七堵區東新街22號,"25.0938124,121.7182528",B01,330,第三分局,
明德國中-中正堂,長興里,基隆市七堵區東新街20號,"25.093554,121.7159694",B01,462,第三分局,
和嘉苑,長興里,基隆市七堵區東新街82之11號,"25.094106,121.7198928",B01,747,第三分局,
鳳鵬,泰安里,基隆市七堵區明德二路1巷100號,"25.0893577,121.7063695",B01,483,第三分局,
公寓,泰安里,基隆市七堵區泰和街67號,"25.0861236,121.7114349",B01,138,第三分局,
綠園新廈,泰安里,基隆市七堵區泰安路20號,"25.0884404,121.70809",B01,914,第三分局,
幸福人生,泰安里,基隆市七堵區明德二路15之33號,"25.0892486,121.7055788",B01,7017,第三分局,
台北333,泰安里,基隆市七堵區明德二路1之4號,"25.0902185,121.7071907",B01,350,第三分局,
名軒新天地社區,泰安里,基隆市七堵區泰安路21之12號,"25.0890528,121.7078678",B01B02,2144,第三分局,
華興國小-活動中心,泰安里,基隆市七堵區泰安路34號,"25.0878831,121.7080874",B01,677,第三分局,
上品硯,泰安里,基隆市七堵區明德二路15之9號,"25.0898808,121.7060368",B01,298,第三分局,
透天,泰安里,基隆市七堵區泰安路111之1號,"25.0853754,121.710151",B01,137,第三分局,
富源鑫II,泰安里,基隆市七堵區泰和街88號,"25.0855551,121.7111712",B01,715,第三分局,
綠意東居-C區,泰安里,基隆市七堵區泰安路1之2號,"25.0890169,121.707501",B01,379,第三分局,
綠意東居-B區,泰安里,基隆市七堵區泰安路1之8號,"25.089238,121.7075332",B01B02,523,第三分局,
綠意東居-A區,泰安里,基隆市七堵區泰安路1之9號,"25.0890236,121.7072019",B01B02,1152,第三分局,
公寓,堵北里,基隆市七堵區福一街208號,"25.0860665,121.6944923",B01,369,第三分局,
公寓,堵北里,基隆市七堵區福二街215號,"25.0866576,121.6954233",B01,394,第三分局,
公寓,堵北里,基隆市七堵區福一街110巷9號,"25.082653,121.6955872",B01,444,第三分局,
公寓,堵北里,基隆市七堵區福一街114號,"25.0827762,121.6951162",B01,315,第三分局,
理想家,堵北里,基隆市七堵區實踐路176號,"25.0845282,121.6940533",B01,1096,第三分局,
東煒國寶C區,堵北里,基隆市七堵區百六街86號,"25.0850296,121.6953035",B01,1316,第三分局,
百福尊龍,堵北里,基隆市七堵區實踐路286號,"25.0868488,121.6941709",B01,1745,第三分局,
公寓,堵北里,基隆市七堵區福一街105號,"25.0834621,121.6948455",B01,161,第三分局,
公寓,堵北里,基隆市七堵區福一街167號,"25.0852849,121.6944929",B01,168,第三分局,
百吉華夏,堵北里,基隆市七堵區福一街192號,"25.0857138,121.6945776",B01,749,第三分局,
公寓,堵北里,基隆市七堵區福一街202號,"25.0858757,121.6945212",B01,577,第三分局,
萬順名邸,堵北里,基隆市七堵區福一街179號,"25.0856097,121.6943767",B01B02,483,第三分局,
寶吉第品,堵北里,基隆市七堵區福一街133號,"25.0840657,121.6946104",B01,166,第三分局,
大河戀,堵北里,基隆市七堵區實踐路240號,"25.0863951,121.6936371",B01B02,1445,第三分局,
明映塑膠工業股份有限公司,堵南里,基隆市七堵區堵南街44之1號,"25.0823716,121.685275",B01,25,第三分局,
堵南國小-活動中心,堵南里,基隆市七堵區大德路120號,"25.0833119,121.6921958",B01,775,第三分局,
芳丹詩郡,堵南里,基隆市七堵區堵南街12號,"25.0834277,121.6890315",B01,7,第三分局,
公寓,堵南里,基隆市七堵區明德三路101之1號,"25.076969,121.6885981",B01,161,第三分局,
公寓,堵南里,基隆市七堵區大德路32號,"25.0816296,121.6895217",B01,136,第三分局,
富貴大樓,堵南里,基隆市七堵區堵南街51號,"25.0817028,121.6832938",B01,339,第三分局,
健川實業有限公司,堵南里,基隆市七堵區大德路24號,"25.0812973,121.6896055",B01,120,第三分局,
堵南國小-德恩樓,堵南里,基隆市七堵區大德路120號,"25.0828223,121.6920244",B01,300,第三分局,
公寓,堵南里,基隆市七堵區堵南街48號,"25.0822538,121.683901",B01,313,第三分局,
新發製鋼,堵南里,基隆市七堵區明德三路111之2號,"25.0754275,121.6883286",B01,20,第三分局,
樂透台北,堵南里,基隆市七堵區大德路85之2號,"25.0836945,121.6920182",B01B02,577,第三分局,
好起家,堵南里,基隆市七堵區大德路35之8號,"25.0823012,121.6896632",B01,367,第三分局,
公寓,堵南里,基隆市七堵區大德路132號,"25.0840553,121.6921634",B01B02,1090,第三分局,
合邦國際儲運股份有限公司,堵南里,基隆市七堵區大德路131號,"25.085556,121.6919084",B01,15,第三分局,
公寓,堵南里,基隆市七堵區大德路77號,"25.0834164,121.6918975",B01,113,第三分局,
精華光學股份有限公司,堵南里,基隆市七堵區堵南街46號,"25.0826222,121.6847864",B01,1087,第三分局,
國立基隆特殊教育學校-行政大樓,堵南里,基隆市七堵區堵南街20號,"25.082768,121.6875116",B01,170,第三分局,
富源鑫一期,堵南里,基隆市七堵區大德路166號,"25.0821372,121.6891906",B01B02,689,第三分局,
國立基隆特殊教育學校-活動中心,堵南里,基隆市七堵區堵南街20號,"25.0827372,121.6874724",B01,395,第三分局,
萬隆建設-萬隆青青NO.1,堵南里,基隆市七堵區堵南街181號,"25.0806786,121.684286",B01,130,第三分局,
萬隆建設-萬隆青青NO.2,堵南里,基隆市七堵區堵南街133號,"25.0811984,121.6829398",B01,1496,第三分局,
公寓,富民里,基隆市七堵區明德一路34之11號,"25.0994522,121.7178172",B01,75,第三分局,
公寓,富民里,基隆市七堵區崇禮街135號,"25.0999543,121.7143374",B01,157,第三分局,
公寓,富民里,基隆市七堵區明德一路128號,"25.0984817,121.7158225",B01,63,第三分局,
公寓,富民里,基隆市七堵區明德一路124號,"25.098534,121.7159486",B01,70,第三分局,
公寓,富民里,基隆市七堵區崇禮街34號,"25.0985918,121.7151074",B01,136,第三分局,
公寓,富民里,基隆市七堵區明德一路20號,"25.0996616,121.7183237",B01,408,第三分局,
公寓,富民里,基隆市七堵區崇廉街10巷12號,"25.099317,121.7167751",B01,177,第三分局,
公寓,富民里,基隆市七堵區崇義街46之1號,"25.0990263,121.7153936",B01,232,第三分局,
崇德大樓,富民里,基隆市七堵區崇義街37號,"25.0992646,121.7151259",B01,604,第三分局,
商業大樓,富民里,基隆市七堵區明德一路6號,"25.0997709,121.7185108",B01,50,第三分局,
龍冠天下,富民里,基隆市七堵區永富路8號,"25.0994368,121.7176595",B01,573,第三分局,
何嘉仁菁英美語,富民里,基隆市七堵區明德一路158號,"25.0980755,121.714804",B01,142,第三分局,
台灣基督長老教會七堵教會,富民里,基隆市七堵區永富路78之1號,"25.0998082,121.7155547",B01,164,第三分局,
公寓,富民里,基隆市七堵區明德一路134之3號,"25.0985956,121.7155649",B01,64,第三分局,
公寓,暖同里,基隆市暖暖區暖暖街246巷101號,"25.098966,121.7343288",B01,162,第三分局,
公寓,暖同里,基隆市暖暖區暖暖街182號,"25.0994815,121.7357574",B01,67,第三分局,
公寓,暖同里,基隆市暖暖區暖暖街108之6號,"25.1004379,121.7367227",B01,167,第三分局,
公寓,暖同里,基隆市暖暖區暖暖街246巷161號,"25.1001604,121.7355449",B01,402,第三分局,
青青河畔,暖同里,基隆市暖暖區東勢街1之21號,"25.1004516,121.7361496",B01,1179,第三分局,
居觀山水,暖同里,基隆市暖暖區暖暖街248號,"25.0975543,121.7345001",B01,1564,第三分局,
嘉年華,暖同里,基隆市暖暖區暖暖街246巷2號,"25.0980742,121.7341604",B01,3519,第三分局,
萬代福第,暖同里,基隆市暖暖區東勢街1之16號,"25.1000113,121.7363843",B01,369,第三分局,
公寓,暖同里,基隆市暖暖區暖暖街246巷156號,"25.0991339,121.7348026",B01,640,第三分局,
鹿鼎,暖同里,基隆市暖暖區暖暖街16巷30之1號,"25.1018698,121.7371465",B01,110,第三分局,
公寓,暖西里,基隆市暖暖區暖暖街489號,"25.0929616,121.7376148",B01,179,第三分局,
公寓,暖西里,基隆市暖暖區暖暖街530巷116號,"25.0917823,121.7381995",B01,116,第三分局,
寫意山水,暖西里,基隆市暖暖區暖暖街604號,"25.0927843,121.7379038",B01,1786,第三分局,
碧嵐山水,暖西里,基隆市暖暖區東勢街26巷101號,"25.0959954,121.7379085",B01,383,第三分局,
翡翠芳鄰I,暖西里,基隆市暖暖區暖暖街530巷110號,"25.0918588,121.7376041",B01,570,第三分局,
公寓,暖西里,基隆市暖暖區暖暖街355號,"25.0939988,121.7354114",B01,326,第三分局,
鳳翔山水,暖西里,基隆市暖暖區暖暖街530巷95號,"25.0917091,121.7389361",B01,1188,第三分局,
公寓,暖西里,基隆市暖暖區暖暖街335巷18號,"25.0942037,121.7357196",B01,347,第三分局,
翡翠芳鄰II,暖西里,基隆市暖暖區暖暖街530巷104號,"25.0919936,121.737419",B01,326,第三分局,
公寓,暖西里,基隆市暖暖區暖暖街550號,"25.0926709,121.7363774",B01,273,第三分局,
名揚天下,暖西里,基隆市暖暖區暖暖街530巷43號,"25.0921818,121.7364454",B01,324,第三分局,
碧嵐天下,暖西里,基隆市暖暖區東勢街26巷117號,"25.0964084,121.7374968",B01,408,第三分局,
翡翠皇家,暖西里,基隆市暖暖區暖暖街570巷7號,"25.0922286,121.737301",B01,429,第三分局,
公寓,暖西里,基隆市暖暖區暖暖街610巷29號,"25.0921802,121.7384722",B01,390,第三分局,
碧嵐高第,暖西里,基隆市暖暖區東勢街26巷125號,"25.0966124,121.7381432",B01,247,第三分局,
德記哥德堡,暖西里,基隆市暖暖區暖暖街570巷81號,"25.0914299,121.7377983",B01,276,第三分局,
"暖暖教師會館 -教學大樓",暖西里,基隆市暖暖區暖暖街350號,"25.0939644,121.7352201",B01,132,第三分局,
暖西國小-暖暖羽球館,暖西里,基隆市暖暖區暖暖街350號,"25.0929661,121.7355486",B01,1094,第三分局,
台北名門大廈,暖西里,基隆市暖暖區暖暖街459號,"25.0928209,121.7368669",B01,261,第三分局,
竹間,暖西里,基隆市暖暖區東勢街6之50號,"25.0954866,121.7388654",B01,486,第三分局,
松泉,暖西里,基隆市暖暖區暖暖街570巷88號,"25.0911956,121.7377382",B01,1174,第三分局,
涵仰,暖西里,基隆市暖暖區暖暖街570巷65號,"25.0916766,121.7373439",B01,1350,第三分局,
"基隆市立暖暖羽球館  ",暖西里,基隆市暖暖區暖暖街350號,"25.0934595,121.7353591",B01,693,第三分局,
十勝川,暖西里,基隆市暖暖區暖暖街327號,"25.0946201,121.7355321",B01,1389,第三分局,
松妍苑,暖西里,基隆市暖暖區暖暖街572號,"25.0926742,121.7371573",B01,273,第三分局,
十勝苑,暖西里,基隆市暖暖區暖暖街337號,"25.0943938,121.7353071",B01,430,第三分局,
十勝禮,暖西里,基隆市暖暖區暖暖街530巷57號,"25.0921794,121.7368993",B01,222,第三分局,
十勝謙,暖西里,基隆市暖暖區暖暖街530巷86號,"25.0920549,121.7368879",B01,564,第三分局,
十勝璽社區,暖西里,基隆市暖暖區暖暖街379巷98號,"25.0934534,121.7375377",B01,361,第三分局,
暖悅居,暖西里,基隆市暖暖區暖暖街530巷23號,"25.0922013,121.7362207",B01,512,第三分局,
台灣自來水公司第一區管理處,暖西里,基隆市暖暖區水源路38之1號,"25.0956121,121.7335287",B01,1183,第三分局,
上品苑,暖西里,基隆市暖暖區東勢街6之80號,"25.0962902,121.7387346",B01,673,第三分局,
樹里院,暖西里,基隆市暖暖區暖暖街570巷11號,"25.0923841,121.7375934",B01,773,第三分局,
馥宇,暖西里,基隆市暖暖區東勢街6之52號,"25.0954173,121.7388754",B01,205,第三分局,
暖暖十勝,暖西里,基隆市暖暖區東勢街26巷80號,"25.0954941,121.7382548",B01,468,第三分局,
青森悅,暖西里,基隆市暖暖街530巷2號,"25.092555,121.7357112",B01,155,第三分局,
軒秀御宅,暖西里,基隆市暖暖區東勢街6-55號,"25.0953137,121.7385957",B01,166,第三分局,
山水天廈,暖東里,基隆市暖暖區東勢街56之5號,"25.0829281,121.7480007",B01,723,第三分局,
公寓,暖暖里,基隆市暖暖區暖暖街281巷119號,"25.0984186,121.7357049",B01,232,第三分局,
公寓,暖暖里,基隆市暖暖區暖暖街281巷60號,"25.0973307,121.7354813",B01,151,第三分局,
寵物城市,暖暖里,基隆市暖暖區暖暖街251號,"25.0973055,121.7346488",B01,147,第三分局,
公寓,暖暖里,基隆市暖暖區暖暖街197巷1號,"25.0989279,121.7356296",B01,77,第三分局,
暖暖區公所,暖暖里,基隆市暖暖區東勢街2號,"25.1001946,121.7359367",B01,395,第三分局,
暖暖國小-禮堂,暖暖里,基隆市暖暖區暖暖街121號,"25.1007018,121.7376266",B01,69,第三分局,
暖暖國小-暖學樓,暖暖里,基隆市暖暖區暖暖街121號,"25.1003891,121.7370533",B01,23,第三分局,
大豐綠堡,暖暖里,基隆市暖暖區東勢街6之24號,"25.0989959,121.7372168",B01,748,第三分局,
公寓,暖暖里,基隆市暖暖區暖暖街283號,"25.0962026,121.7343406",B01,92,第三分局,
金盤名邸,暖暖里,基隆市暖暖區暖暖街269號,"25.0968206,121.7344954",B01,505,第三分局,
台北金貴族,暖暖里,基隆市暖暖區暖暖街145號,"25.0999329,121.7366017",B01,269,第三分局,
暖暖國小-禮堂,暖暖里,基隆市暖暖區暖暖街121號,"25.1008226,121.7374973",B01,547,第三分局,
公寓,暖暖里,基隆市暖暖區暖暖街281巷83號,"25.1002557,121.7372126",B01,386,第三分局,
雲舞,暖暖里,基隆市暖暖區東勢街6之41號,"25.0987113,121.7377473",B01,230,第三分局,
皇琚,暖暖里,基隆市暖暖區暖暖街281巷22號,"25.0963519,121.7351867",B01,941,第三分局,
綠意皇琚,暖暖里,基隆市暖暖區暖暖街281巷17號,"25.0966264,121.7349885",B01,1329,第三分局,
花見川,暖暖里,基隆市暖暖區暖暖街281巷81號,"25.0973674,121.7353311",B01,137,第三分局,
暖暖國小-暖德樓,暖暖里,基隆市暖暖區暖暖街121號,"25.1007245,121.7375237",B01,261,第三分局,
碇內國小-成長樓,碇內里,基隆市暖暖區源遠路258號,"25.0982459,121.754156",B01,55,第三分局,
基隆市源遠公有零售市場,碇內里,基隆市暖暖區暖碇路36之1號,"25.0970381,121.7517741",B01,593,第三分局,
博愛仁愛之家-長青樓,碇內里,基隆市暖暖區源遠路254號,"25.0982326,121.7524296",B01,1190,第三分局,
碇內國小-健康樓,碇內里,基隆市暖暖區源遠路258號,"25.097918,121.7542351",B01,128,第三分局,
公寓,碇內里,基隆市暖暖區源遠路260巷36弄23號,"25.0963635,121.754329",B01,72,第三分局,
台北藍天,碇內里,基隆市暖暖區源遠路249巷195號,"25.1003385,121.7540219",B01,1018,第三分局,
公寓,碇內里,基隆市暖暖區暖碇路15巷78號,"25.0965547,121.7539932",B01,95,第三分局,
雅歌,碇內里,基隆市暖暖區源遠路249巷183之1號,"25.1000519,121.7537215",B01,297,第三分局,
博愛仁愛之家-松柏樓,碇內里,基隆市暖暖區源遠路254號,"25.0978245,121.7524188",B01,1430,第三分局,
山水尊園,碇內里,基隆市暖暖區遠路249巷185號,"25.100023,121.7535513",B01,2841,第三分局,
碇內國小-活動中心,碇內里,基隆市暖暖區源遠路258號,"25.0981937,121.7539173",B01,527,第三分局,
綠堤,碇內里,基隆市暖暖區源遠路193巷5之5號,"25.0987244,121.7514658",B01,640,第三分局,
碇內國小-快樂樓,碇內里,基隆市暖暖區源遠路258號,"25.0978767,121.7539778",B01,352,第三分局,
豐禾,碇內里,基隆市暖暖區源遠路226巷66號,"25.097534,121.7514095",B01,2915,第三分局,
鴻勝首席,碇內里,基隆市暖暖區源遠路226巷90號,"25.0961563,121.7516429",B01,394,第三分局,
寶祥吉祥,碇安里,基隆市暖暖區源遠路341號,"25.0996862,121.7582151",B01,2402,第三分局,
山水天地,碇安里,基隆市暖暖區源遠路297巷87號,"25.1008449,121.7569214",B01,376,第三分局,
