類別,電腦編號,村里別,緯經度,地下層數位址,可容納人數,轄管分局,備註,停車場坡道
公寓,ETA00051,竹園里,"24.936049,121.2686",1,166.0,八德分局,,O
公寓,ETA00052,竹園里,"24.939802,121.271973",1,106.0,八德分局,,O
公寓,ETA00053,瑞豐里,"24.928464,121.292017",1,100.0,八德分局,,
公寓,ETA00054,瑞豐里,"24.928,121.290485",1,106.0,八德分局,,
公寓,ETA00055,瑞豐里,"24.927807,121.290754",1,160.0,八德分局,,
大樓,ETA00056,興中里,"24.928905,121.283928",1,1538.0,八德分局,,O
大樓,ETA00057,興仁里,"24.928954,121.286326",2,776.0,八德分局,,
大樓,ETA00058,興仁里,"24.929876,121.286762",1,578.0,八德分局,,
公寓,ETA00059,茄苳里,"24.96576,121.27796",1,70.0,八德分局,,
公寓,ETA00060,茄苳里,"24.97217,121.28015",1,562.0,八德分局,,
公寓,ETA00061,高明里,"24.975878,121.277308",1,33.0,八德分局,,
大樓,ETA00065,白鷺里,"24.963422,121.278363",1,1085.0,八德分局,,
大樓,ETA00066,永豐里,"24.970613,121.269597",1,26.0,八德分局,,
大樓,ETA00067,永豐里,"24.97621,121.26729",1,260.0,八德分局,,
大樓,ETA00068,永豐里,"24.97211,121.27439",1,70.0,八德分局,,
大樓,ETA00069,永豐里,"24.97389,121.276967",1,65.0,八德分局,,
大樓,ETA00070,永豐里,"24.975051,121.271741",1,793.0,八德分局,,
大樓,ETA00071,永豐里,"24.97044,121.269953",1,32.0,八德分局,,
大樓,ETA00072,茄苳里,"24.97289,121.27632",1,80.0,八德分局,,
大樓,ETA00073,永豐里,"24.969768,121.269408",1,938.0,八德分局,,
大樓,ETA00074,茄苳里,"24.969854,121.276747",1,421.0,八德分局,,
大樓,ETA00076,永豐里,"24.973942,121.275288",1,648.0,八德分局,,
大樓,ETA00078,永豐里,"24.975051,121.271741",1,721.0,八德分局,,O
大樓,ETA00079,茄苳里,"24.97399,121.27704",1,25.0,八德分局,,
大樓,ETA00080,茄苳里,"24.97402,121.27706",1,37.0,八德分局,,
大樓,ETA00081,茄苳里,"24.97313,121.27334",1,365.0,八德分局,,
大樓,ETA00083,永豐里,"24.97621,121.26729",1,182.0,八德分局,,
大樓,ETA00084,永豐里,"24.969163,121.270143",1,37.0,八德分局,,
大樓,ETA00086,永豐里,"24.975,121.27542",1,74.0,八德分局,,
大樓,ETA00087,永豐里,"24.970421,121.270149",1,668.0,八德分局,,
公寓,ETA00090,茄明里,"24.982783,121.279191",1,142.0,八德分局,,
大樓,ETA00091,茄明里,"24.984537,121.278015",1,86.0,八德分局,,
大樓,ETA00092,茄明里,"24.981815,121.276675",1,1002.0,八德分局,,
大樓,ETA00093,永豐里,"24.973942,121.275288",1,49.0,八德分局,,
大樓,ETA00094,大安里,"24.952155,121.316897",1,149.0,八德分局,,
公寓,ETA00095,大安里,"24.953189,121.315355",1,77.0,八德分局,,
大樓,ETA00096,大安里,"24.95478,121.312623",1,264.0,八德分局,,
大樓,ETA00097,大安里,"24.956365,121.315315",1,82.0,八德分局,,
大樓,ETA00099,大安里,"24.95652,121.31544",1,1232.0,八德分局,,
大樓,ETA00100,大發里,"24.960101,121.323457",1,44.0,八德分局,,
大樓,ETA00101,大發里,"24.96177,121.323266",1,37.0,八德分局,,
大樓,ETA00102,大發里,"24.96026,121.323393",1,48.0,八德分局,,
大樓,ETA00103,大發里,"24.96156,121.32321",1,40.0,八德分局,,
公寓,ETA00104,大發里,"24.955203,121.324257",1,30.0,八德分局,,
公寓,ETA00109,大發里,"24.956651,121.323849",1,56.0,八德分局,,
公寓,ETA00110,大發里,"24.956583,121.324304",1,58.0,八德分局,,
公寓,ETA00111,大發里,"24.95654,121.323933",1,56.0,八德分局,,
公寓,ETA00112,大發里,"24.95553,121.323976",1,37.0,八德分局,,
公寓,ETA00113,大發里,"24.95636,121.32403",1,60.0,八德分局,,
公寓,ETA00114,大發里,"24.956448,121.324385",1,60.0,八德分局,,
公寓,ETA00115,大發里,"24.956309,121.324115",1,58.0,八德分局,,
公寓,ETA00116,大發里,"24.956334,121.324445",1,60.0,八德分局,,
公寓,ETA00117,大發里,"24.956213,121.324225",1,53.0,八德分局,,
大樓,ETA00118,大千里,"24.96204,121.304405",2,1596.0,八德分局,,
大樓,ETA00120,大千里,"24.961715,121.305848",2,2386.0,八德分局,,
大樓,ETA00121,大漢里,"24.963429,121.305975",1,2814.0,八德分局,,
大樓,ETA00122,大竹里,"24.95511,121.311655",1,46.0,八德分局,,
大樓,ETA00123,大勇里,"24.968004,121.304039",1,141.0,八德分局,,
大樓,ETA00124,大勇里,"24.969415,121.305172",1,416.0,八德分局,,
公寓,ETA00126,大勇里,"24.969078,121.303263",1,313.0,八德分局,,
大樓,ETA00127,大湳里,"24.966867,121.320438",1,489.0,八德分局,,O
公寓,ETA00132,大明里,"24.966578,121.327876",1,148.0,八德分局,,
大樓,ETA00133,大漢里,"24.962858,121.306465",1,648.0,八德分局,,
大樓,ETA00138,大漢里,"24.97004,121.30886",1,469.0,八德分局,,
公寓,ETA00141,大千里,"24.960044,121.305034",1,182.0,八德分局,,
公寓,ETA00143,大千里,"24.961912,121.305879",2,168.0,八德分局,,
公寓,ETA00145,大千里,"24.957592,121.305736",1,97.0,八德分局,,
大樓,ETA00147,大義里,"24.963524,121.303954",2,13484.0,八德分局,,O
大樓,ETA00148,大和里,"24.955614,121.295423",3,31181.0,八德分局,,O
大樓,ETA00150,大勇里,"24.968872,121.302716",1,5116.0,八德分局,,
公寓,ETA00151,茄明里,"24.983336,121.278413",1,166.0,八德分局,,
大樓,ETA00153,福興里,"24.933671,121.285606",2,4802.0,八德分局,,
大樓,ETA00154,茄明里,"24.982289,121.276508",1,1165.0,八德分局,,O
大樓,ETA00155,茄明里,"24.982289,121.276508",1,2462.0,八德分局,,O
大樓,ETA00156,大千里,"24.958403,121.3051",1,1753.0,八德分局,,
大樓,ETA00157,大成里,"24.958632,121.29849",1,805.0,八德分局,,
大樓,ETA00158,竹園里,"24.932791,121.268285",1,1629.0,八德分局,,O
公寓,ETA00159,大正里,"24.971803,121.301627",1,472.0,八德分局,,
大樓,ETA00160,高明里,"24.977944,121.273891",2,2435.0,八德分局,,O
大樓,ETA00161,大福里,"24.976043,121.302353",2,476.0,八德分局,,O
大樓,ETA00162,瑞德里,"24.924522,121.294815",2,3985.0,八德分局,,
大樓,ETA00163,高城里,"24.97821,121.2741",3,10470.0,八德分局,,O
大樓,ETA00164,大勇里,"24.969245,121.305004",1,2183.0,八德分局,,
大樓,ETA00165,大宏里,"24.969086,121.295062",1,11614.0,八德分局,,O
大樓,ETA00166,大信里,"24.93457,121.30307",1,44757.0,八德分局,,O
大樓,ETA00167,大漢里,"24.964102,121.306194",1,895.0,八德分局,,O
大樓,ETA00168,大勇里,"24.96669,121.305359",1,3722.0,八德分局,,O
大樓,ETA00169,大正里,"24.971852,121.298381",3,3660.0,八德分局,,O
大樓,ETA00170,高城里,"24.97822,121.27309",2,965.0,八德分局,,O
大樓,ETA00171,大仁里,"24.96927,121.32666",2,4728.0,八德分局,,
大樓,ETA00172,大正里,"24.971636,121.298837",3,3120.0,八德分局,,O
大樓,ETA00173,大正里,"24.971775,121.298224",2,1310.0,八德分局,,O
大樓,ETA00174,大和里,"24.953911,121.2953",2,4077.0,八德分局,,O
大樓,ETA00175,大和里,"24.954785,121.29633",2,8663.0,八德分局,,O
大樓,ETA00176,大忠里,"24.959893,121.300782",1,2729.0,八德分局,,O
大樓,ETA00177,大忠里,"24.958252,121.299848",1,1569.0,八德分局,,O
大樓,ETA00178,瑞泰里,"24.936803,121.297163",2,2082.0,八德分局,,
大樓,ETA00179,大湳里,"24.959406,121.307078",1,3692.0,八德分局,,O
大樓,ETA00180,茄明里,"24.986204,121.281577",5,3504.0,八德分局,,O
大樓,ETA00181,大福里,"24.97368,121.300026",1,1497.0,八德分局,,O
大樓,ETA00182,大湳里,"24.960507,121.307384",2,3471.0,八德分局,,O
大樓,ETA00183,大漢里,"24.963868,121.305615",1,4213.0,八德分局,,O
大樓,ETA00184,大湳里,"24.959116,121.307382",1,3214.0,八德分局,,O
大樓,ETA00185,大義里,"24.963709,121.302584",2,1592.0,八德分局,,O
大樓,ETA00186,大湳里,"24.959088,121.307886",1,2876.0,八德分局,,O
大樓,ETA00187,興仁里,"24.929169,121.28837",2,3160.0,八德分局,,O
大樓,ETA00188,大勇里,"24.964677,121.304812",3,9065.0,八德分局,,O
大樓,ETA00189,永豐里,"24.965178,121.267533",1,3884.0,八德分局,,O
大樓,ETA00190,茄明里,"24.9842,121.281388",2,1573.0,八德分局,,
公寓,ETA00191,竹園里,"24.939802,121.271973",1,2230.0,八德分局,,O
大樓,ETA00192,大正里,"24.971636,121.299136",2,2402.0,八德分局,,O
公寓,ETA00193,大正里,"24.972176,121.296713",1,264.0,八德分局,,
公寓,ETA00194,大仁里,"24.970817,121.323445",2,1542.0,八德分局,,O
大樓,ETA00195,大湳里,"24.95944,121.308066",2,3884.0,八德分局,,O
大樓,ETA00196,大智里,"24.965298,121.295708",3,2839.0,八德分局,,O
公寓,ETA00197,福元里,"24.93029,121.28322",3,300.0,八德分局,,O
公寓,ETA00198,廣隆里,"24.961193,121.292567",3,1600.0,八德分局,,O
公務機關,ETA00199,白鷺里,,1,296.0,八德分局,（機敏單位）警察機關,O
大樓,ETA00200,廣隆里,"24.960937,121.293313",3,3055.0,八德分局,,O
大樓,ETA00201,大興里,"24.951453,121.30582",2,4628.0,八德分局,,O
公寓,ETA00202,大湳里,"24.959461,121.307413",2,1549.0,八德分局,,O
大樓,ETA00203,大智里,"24.964534,121.29594",3,2686.0,八德分局,,O
大樓,ETA00206,大信里,"24.939411,121.304203",1,532.0,八德分局,,
大樓,ETA00207,大發里,"24.958047,121.322488",1,1042.0,八德分局,,O
大樓,ETA00208,瑞豐里,"24.932205,121.292393",1,1440.0,八德分局,,
大樓,ETA00209,大華里,"24.956766,121.299824",3,3099.0,八德分局,,O
大樓,ETA00210,興仁里,"24.925909,121.286578",2,7745.0,八德分局,,O
大樓,ETA00211,大愛里,"24.957556,121.302175",3,5014.0,八德分局,,O
大樓,ETA00212,茄苳里,"24.969854,121.276747",1,710.0,八德分局,,
公寓,ETA00213,大愛里,"24.956894,121.301911",地上1層,831.0,八德分局,,
大樓,ETA00214,福元里,"24.936032,121.288764",3,2731.0,八德分局,,O
公寓,ETA00215,高明里,"24.976641,121.27543",3,5215.0,八德分局,,O
大樓,ETA00216,瑞豐里,"24.926601,121.289514",3,8778.0,八德分局,,O
大樓,ETA00217,高明里,"24.976865,121.275159",3,5034.0,八德分局,,O
大樓,ETA00218,瑞豐里,"24.926869,121.289081",2,1530.0,八德分局,,O
大樓,ETA00219,大智里,"24.965641,121.295783",2,4982.0,八德分局,,O
大樓,ETA00220,福興里,"24.935939,121.284357",3,10782.0,八德分局,,O
大樓,ETA00221,福元里,"24.935828,121.287346",3,2839.0,八德分局,,O
大樓,ETA00222,福元里,"24.93103,121.28895",3,1288.0,八德分局,,O
大樓,ETA00223,興仁里,"24.926528,121.285126",2,1219.0,八德分局,,O
大樓,ETA00224,興仁里,"24.927357,121.284869",2,3536.0,八德分局,,O
大樓,ETA00225,大勇里,"24.967227,121.303793",3,751.0,八德分局,,O
大樓,ETA00226,大信里,"24.939565,121.304424",1,583.0,八德分局,,
大樓,ETA00227,福興里,"24.931453,121.284114",3,2017.0,八德分局,,O
大樓,ETA00228,瑞豐里,"24.92783,121.287646",1,667.0,八德分局,,O
大樓,ETA00229,福興里,"24.93304,121.28404",3,2622.0,八德分局,,O
大樓,ETA00230,瑞泰里,"24.936368,121.295914",2,4417.0,八德分局,,
大樓,ETA00231,福興里,"24.933598,121.284086",1,494.0,八德分局,,
大樓,ETA00232,瑞豐里,"24.931425,121.289699",1,605.0,八德分局,,O
大樓,ETA00233,茄明里,"24.985462,121.282691",3,3365.0,八德分局,,O
大樓,ETA00234,福元里,"24.935773,121.287835",1,285.0,八德分局,,
大樓,ETA00235,福興里,"24.9356,121.28123",2,4292.0,八德分局,,O
大樓,ETA00236,興仁里,"24.926476,121.286987",2,1933.0,八德分局,,O
大樓,ETA00237,興仁里,"24.925801,121.285037",2,2618.0,八德分局,,O
大樓,ETA00238,興中里,"24.928836,121.28245",3,7371.0,八德分局,,O
大樓,ETA00239,瑞豐里,"24.926548,121.288642",3,8778.0,八德分局,,O
大樓,ETA00240,大智里,"24.966217,121.297102",2,3217.0,八德分局,,O
大樓,ETA00241,瑞興里,"24.936198,121.289995",2,2855.0,八德分局,,O
大樓,ETA00242,瑞德里,"24.924326,121.295756",2,1358.0,八德分局,,
大樓,ETA00243,瑞泰里,"24.935749,121.295509",2,4417.0,八德分局,,
大樓,ETA00244,福德里,"24.931774,121.280599",3,2348.0,八德分局,,O
大樓,ETA00245,福興里,"24.930817,121.282679",2,804.0,八德分局,,O
大樓,ETA00246,霄裡里,"24.92623,121.26003",1,734.0,八德分局,,O
大樓,ETA00247,瑞豐里,"24.926321,121.290722",2,5652.0,八德分局,,O
大樓,ETA00248,瑞豐里,"24.92601,121.290631",2,7936.0,八德分局,,O
大樓,ETA00249,瑞豐里,"24.928146,121.287981",3,6530.0,八德分局,,O
大樓,ETA00250,興中里,"24.927636,121.282081",3,3174.0,八德分局,,O
大樓,ETA00251,大福里,"24.974012,121.300326",2,3843.0,八德分局,,O
大樓,ETA00252,大安里,"24.951822,121.322523",2,2729.0,八德分局,,O
大樓,ETA00253,福興里,"24.932217,121.284232",3,1692.0,八德分局,,
大樓,ETA00254,興仁里,"24.926836,121.28463",1,765.0,八德分局,,O
大樓,ETA00255,福興里,"24.933603,121.279167",3,3807.0,八德分局,,O
大樓,ETA00256,福德里,"24.93351,121.279908",1,4556.0,八德分局,,O
大樓,ETA00257,福德里,"24.932998,121.280367",2,661.0,八德分局,,O
大樓,ETA00258,福德里,"24.932144,121.280666",3,1682.0,八德分局,,O
大樓,ETA00259,興中里,"24.93017,121.2821",3,5505.0,八德分局,,O
大樓,ETA00260,大宏里,"24.967224,121.298182",3,13897.0,八德分局,,O
大樓,ETA00261,福元里,"24.936627,121.286688",2,4372.0,八德分局,,O
大樓,ETA00262,大興里,"24.954046,121.305327",3,5695.0,八德分局,,O
大樓,ETA00263,福興里,"24.936235,121.28384",3,1615.0,八德分局,,O
大樓,ETA00264,福德里,"24.93312,121.27976",2,6146.0,八德分局,,O
大樓,ETA00265,廣隆里,"24.961265,121.291234",2,2961.0,八德分局,,O
大樓,ETA00266,興仁里,"24.926247,121.287391",3,1888.0,八德分局,,O
大樓,ETA00267,福元里,"24.93516,121.28702",2,1498.0,八德分局,,O
大樓,ETA00268,福興里,"24.935126,121.282398",2,1228.0,八德分局,,O
大樓,ETA00269,大智里,"24.965485,121.297321",2,4447.0,八德分局,,O
大樓,ETA00270,茄明里,"24.985272,121.28259",3,1652.0,八德分局,,O
大樓,ETA00271,興仁里,"24.92688,121.28572",3,1059.0,八德分局,,O
大樓,ETA00272,福德里,"24.930786,121.280063",3,4673.0,八德分局,,O
大樓,ETA00273,大和里,"24.955425,121.296869",4,1854.0,八德分局,,O
大樓,ETA00274,瑞豐里,"24.92661,121.28757",3,2444.0,八德分局,,O
大樓,ETA00275,大安里,"24.956792,121.315037",2,3160.0,八德分局,,O
大樓,ETA00276,興仁里,"24.928139,121.286085",3,4639.0,八德分局,,O
大樓,ETA00277,福元里,"24.935607,121.287771",2,1043.0,八德分局,,O
大樓,ETA00278,福興里,"24.93154,121.282768",3,887.0,八德分局,,O
大樓,ETA00279,大智里,"24.965038,121.29907",4,26806.0,八德分局,,O
大樓,ETA00280,大安里,"24.95075,121.3174",2,2474.0,八德分局,,O
大樓,ETA00281,大和里,"24.955577,121.297985",5,6163.0,八德分局,,O
大樓,ETA00282,福元里,"24.93588,121.286291",3,6408.0,八德分局,,O
公寓,ETA00283,瑞興里,"24.932155,121.290375",1,460.0,八德分局,,O
大樓,ETA00284,大宏里,"24.967096,121.297353",2,5089.0,八德分局,,O
大樓,ETA00285,興中里,"24.92663,121.28098",2,4026.0,八德分局,,O
大樓,ETA00286,興中里,"24.92477,121.28147",2,6771.0,八德分局,,O
大樓,ETA00287,大忠里,"24.957754,121.300098",3,577.0,八德分局,,O
大樓,ETA00288,瑞豐里,"24.93184,121.29324",1,117.0,八德分局,,
大樓,ETA00289,瑞豐里,"24.927904,121.289293",2,1441.0,八德分局,,O
大樓,ETA00290,瑞德里,"24.92768,121.29467",2,830.0,八德分局,,
大樓,ETA00291,瑞豐里,"24.926964,121.292457",2,1795.0,八德分局,,O
大樓,ETA00292,福元里,"24.936343,121.2854",1,4554.0,八德分局,,O
大樓,ETA00293,大華里,"24.957024,121.300259",2,198.0,八德分局,,O
大樓,ETA00294,大安里,"24.9505,121.31734",2,7778.0,八德分局,,O
大樓,ETA00295,福興里,"24.93556,121.28123",2,1611.0,八德分局,,O
大樓,ETA00296,瑞豐里,"24.927558,121.292531",1,199.0,八德分局,,O
大樓,ETA00297,霄裡里,"24.934149,121.263775",3,1527.0,八德分局,,O
大樓,ETA00298,興仁里,"24.927779,121.285737",2,1303.0,八德分局,,O
大樓,ETA00299,福元里,"24.934208,121.288785",2,1243.0,八德分局,,O
大樓,ETA00300,茄苳里,"24.964362,121.277265",1,1451.0,八德分局,,O
大樓,ETA00301,茄明里,"24.982809,121.278854",3,808.0,八德分局,,
大樓,ETA00302,興仁里,"24.927572,121.285315",3,2713.0,八德分局,,O
大樓,ETA00303,福興里,"24.933713,121.283783",1,523.0,八德分局,,O
大樓,ETA00304,福興里,"24.932058,121.28267",3,2407.0,八德分局,,O
大樓,ETA00305,瑞豐里,"24.925761,121.28796",3,14519.0,八德分局,,O
大樓,ETA00306,永豐里,"24.972507,121.274074",2,1460.0,八德分局,,O
大樓,ETA00307,大勇里,"24.964691,121.306616",3,2058.0,八德分局,,O
大樓,ETA00308,福興里,"24.93299,121.28367",3,4530.0,八德分局,,O
大樓,ETA00309,永豐里,"24.973766,121.273382",2,1937.0,八德分局,,
大樓,ETA00310,大湳里,"24.963974,121.321881",2,16892.0,八德分局,,O
大樓,ETA00311,興中里,"24.92422,121.28119",3,7713.0,八德分局,,O
大樓,ETA00312,大安里,"24.95409,121.316363",1,2772.0,八德分局,,O
大樓,ETA00313,福興里,"24.931752,121.283728",3,2344.0,八德分局,,O
大樓,ETA00314,大湳里,"24.965456,121.320255",1,1560.0,八德分局,,O
大樓,ETA00315,大信里,"24.936468,121.304547",1,7982.0,八德分局,,O
大樓,ETA00316,瑞興里,"24.935879,121.289831",3,2806.0,八德分局,,O
大樓,ETA00317,大湳里,"24.964175,121.320661",1,4619.0,八德分局,,O
大樓,ETA00318,竹園里,"24.933619,121.264882",2,2672.0,八德分局,,O
大樓,ETA00319,福德里,"24.93019,121.27978",3,2618.0,八德分局,,O
公寓,ETA00320,瑞豐里,"24.931138,121.291737",1,1997.0,八德分局,,
大樓,ETA00321,興中里,"24.928905,121.283928",1,2825.0,八德分局,,O
大樓,ETA00322,福德里,"24.926673,121.280449",3,6209.0,八德分局,,O
大樓,ETA00323,廣隆里,"24.96079,121.29476",2,1532.0,八德分局,,O
大樓,ETA00324,福興里,"24.934079,121.281797",2,1537.0,八德分局,,O
大樓,ETA00325,大竹里,"24.94688,121.31813",2,1562.0,八德分局,,O
大樓,ETA00326,大湳里,"24.959581,121.3156",2,4478.0,八德分局,,O
大樓,ETA00327,瑞豐里,"24.927561,121.289188",3,4632.0,八德分局,,O
大樓,ETA00328,大安里,"24.9481,121.31861",2,8630.0,八德分局,,O
大樓,ETA00329,大宏里,"24.96865,121.29799",3,7031.0,八德分局,,O
大樓,ETA00332,大勇里,"24.965768,121.306295",3,1790.0,八德分局,,O
大樓,ETA00333,興中里,"24.92658,121.28075",3,3465.0,八德分局,,O
大樓,ETA00334,興中里,"24.93162,121.28098",3,3344.0,八德分局,,O
大樓,ETA00335,興仁里,"24.927807,121.286373",2,2231.0,八德分局,,O
大樓,ETA00336,大強里,"24.969957,121.313987",2,1558.0,八德分局,,O
大樓,ETA00337,永豐里,"24.975529,121.270099",1,9544.0,八德分局,,O
大樓,ETA00338,瑞發里,"24.934283,121.29677",2,1321.0,八德分局,,O
八德區公有零售市場,ETA00040,福興里,"24.93178,121.284879",1,1517.0,八德分局,,O
八德區大湳停一公有停車場,ETA00149,大慶里,"24.958904,121.298111",1,2226.0,八德分局,,O
八德區公所,ETA00204,興仁里,"24.929016,121.284595",1,55.0,八德分局,,O
八德區公所,ETA00205,興仁里,"24.929016,121.284595",1,55.0,八德分局,,O
桃園市八德國民運動中心,ETA00330,廣隆里,"24.959938,121.294145",2,23298.0,八德分局,,O
桃園市八德生命紀念園區,ETA00331,大安里,"24.944624,121.328159",2,1616.0,八德分局,,O
