類別,電腦編號,里別,地址,地下樓層數,分配容量
台灣自來水公司,KMA00676,三興里,南投市彰南路一段550號,1,266.0
南投縣家畜防治所,KMA00677,三興里,南投市三興里民族路499號,1,860.0
國泰人壽保險,KMA00678,三和里,南投市三和里三和二路13號,1,357.0
南投縣政府稅務局,KMA00679,三和里,南投市三和里中興路660號,1,16437.0
南投縣地政事務所,KMA00680,三和里,南投市三和里三和二路60號,1,944.0
千秋國小,KMA00681,千秋里,南投市千秋里千秋路13巷1號,1,377.0
公園大廈,KMA00682,平和里,南投市平和里南陽路142號,1,1100.0
仁和活動中心,KMA00683,仁和里,南投市仁和里民生街33之3號,1,302.0
集合住宅,KMA00684,平和里,南投市平和里南陽路150巷1.3.5號,1,457.0
行政院水土保護局,KMA00685,康壽里,南投市康壽里復興路350號,1,1948.0
集合住宅,KMA00686,嘉和里,南投市嘉和里樂利路197巷2號,1,1330.0
台灣電力公司,KMA00687,三和里,南投市三和里中興路671號,1,1749.0
偉達補習班,KMA00688,康壽里,南投市康壽里玉井街48號,1,200.0
西嶺國小,KMA00689,鳳鳴里,南投市鳳鳴里八卦路894號,1,255.0
鳳鳴國中,KMA00693,鳳鳴里,南投市鳳鳴里八卦路896號,1,350.0
文山國小,KMA00690,鳳鳴里,南投市鳳鳴里八卦路349號,1,345.0
一般住宅,KMA00014,漳和里,南投市漳和里彰南路二段279號,1,23.0
一般住宅,KMA00015,漳和里,南投市漳和里彰南路二段342號,1,53.0
一般住宅,KMA00016,漳和里,南投市漳和里彰南路二段344號,1,88.0
南崗服務中心,KMA00055,新興里,南投市新興里南崗三路21號,1,256.0
耀達汽車,KMA00063,平山里,南投市平山里自強一路4號,1,101.0
俊侑股份有限公司,KMA00090,平山里,南投市平山里南崗三路11號,1,253.0
南興水泥製品廠,KMA00100,平山里,南投市平山里南崗三路19號,1,43.0
鎂上鎂科技股份有限公司,KMA00101,永豐里,南投市永豐里南崗三路256號,1,157.0
南崗家具,KMA00107,平山里,南投市平山里南崗三路28號,1,112.0
輝達公司,KMA00108,平山里,南投市平山里南崗三路23號,1,433.0
名辰公司,KMA00109,平山里,南投市平山里南崗三路39號,1,115.0
裕民汽車,KMA00111,永豐里,南投市永豐里南崗三路276號,1,229.0
竹洲工業股份有限公司,KMA00121,福興里,南投市福興里南崗三路99號,1,168.0
全興化工股份有限公司,KMA00141,平山里,南投市平山里仁和路25號,1,80.0
新能電氣股份有限公司,KMA00145,永豐里,南投市永豐里中華路305號,1,133.0
南崗汙水處理廠,KMA00152,永豐里,南投市永豐里彰南路三段840號,1,100.0
元大鋼鐵股份有限公司,KMA00157,福興里,南投市福興里南崗三路290號,1,327.0
圖騰包裝股份有限公司,KMA00163,福興里,南投市福興里永興路16號,1,268.0
員鑫有限公司,KMA00174,平山里,南投市平山里仁和路28號,1,32.0
南投市農會,KMA00175,平山里,南投市平山里彰南路三段541-6號,1,95.0
臺锻公司,KMA00178,永豐里,南投市永豐里自立一路8號,1,439.0
南陽實業股份有限公司,KMA00185,福興里,南投市福興里南崗三路298號,1,188.0
久允工業公司,KMA00197,永豐里,南投市永豐里永興路19號,1,777.0
義成工廠股份有限公司,KMA00209,福興里,南投市福興里南崗三路103號,1,176.0
超吉工業社,KMA00212,新興里,南投市新興里自強三路23號,1,361.0
光政鋼鐵工業有限公司,KMA00215,永豐里,南投市永豐里成功三路134號,1,130.0
楊鐵公司,KMA00216,福興里,南投市福興里南崗三路284號,1,268.0
臺臂工業股份有限公司,KMA00247,平山里,南投市平山里仁和路19號,1,150.0
宏荃公司,KMA00260,平山里,南投市平山里南崗三路24號,1,133.0
台灣銅箔股份有限公司,KMA00264,永豐里,南投市永豐里成功三路150號,1,852.0
羽鮮化學工業股份有限公司,KMA00277,福興里,南投市福興里南崗三路282號,1,128.0
吉安車業公司,KMA00282,新興里,南投市新興里南崗三路29號,1,128.0
台灣赫克力化學股份有限公司,KMA00302,永豐里,南投市永豐里南崗三路278號,1,100.0
一般住宅,KMA00307,漳和里,南投市漳和里南崗二路346號,1,40.0
一般住宅,KMA00308,漳和里,南投市漳和里南崗二路348號,1,41.0
一般住宅,KMA00309,漳和里,南投市漳和里彰南路二段340號,1,40.0
泰億機械公司,KMA00317,新興里,南投市新興里自強二路23號,1,262.0
中華電信公司,KMA00339,新興里,南投市新興里南崗三路26號,1,1656.0
聯合文具,KMA00343,漳和里,南投市漳和里彰南路二段259巷6號,1,24.0
佳保工業股份有限公司,KMA00362,平山里,南投市平山里南崗三路13號,1,324.0
中永實業公司,KMA00385,平山里,南投市平山里自強三路16號,1,144.0
詠承企業股份有限公司,KMA00387,新興里,南投市新興里工業路21號,1,111.0
元宙化學公司,KMA00388,永豐里,南投市永豐里南崗三路272號,1,124.0
鉅欣公司,KMA00400,永豐里,南投市永豐里中華路326號,1,114.0
亞麥開發股份有限公司,KMA00409,永豐里,南投市永豐里工業北一路5號,1,89.0
松和工業股份有限公司,KMA00417,永豐里,南投市永豐里南崗三路61號,1,207.0
寶田企業股份有限公司,KMA00418,福興里,南投市福興里南崗三路77號,1,213.0
冠郝企業股份有限公司,KMA00419,新興里,南投市新興里工業路23號,1,183.0
崧贊油封工業股份有限公司,KMA00438,永豐里,南投市永豐里工業東路11號,1,151.0
昶利環保公司,KMA00439,永豐里,南投市永豐里成功三路162號,1,127.0
華博企業股份有限公司,KMA00441,永豐里,南投市永豐里工業路37號,1,166.0
逢陽精密股份有限公司,KMA00446,永豐里,南投市永豐里工業東路25號,1,216.0
固品塑膠工業股份有限公司,KMA00448,永豐里,南投市永豐里工業北三路9號,1,43.0
臺勵福股份有限公司,KMA00450,永豐里,南投市永豐里成功三路176號,1,275.0
台灣陶氏化學股份有限公司,KMA00455,新興里,南投市新興里工業南一路9號,1,113.0
樺林公司,KMA00480,平山里,南投市平山里工業路5號,1,97.0
鴻利鑄造公司,KMA00493,新興里,南投市新興里成功三路331號,1,107.0
百晟工業股份有限公司,KMA00510,新興里,南投市新興里工業路15號,1,279.0
冠好公司,KMA00514,新興里,南投市新興里工業路27號,1,222.0
樺昌工業股份有限公司,KMA00518,新豐里,南投市新豐里成功三路198號,1,77.0
三力達企業股份有限公司,KMA00520,永豐里,南投市永豐里工業北五路12號,1,216.0
良蒙公司,KMA00522,永豐里,南投市永豐里工業南七路7號,1,483.0
賢泰實業股份有限公司,KMA00524,平山里,南投市平山里仁和路135號,1,223.0
順德工業股份有限公司,KMA00526,新興里,南投市新興里工業南一路16號,1,482.0
柏諦企業股份有限公司,KMA00531,永豐里,南投市永豐里成功三路186號,1,121.0
啟台企業股份有限公司,KMA00533,永豐里,南投市永豐里工業北六路4號,1,350.0
家盟電機股份有限公司,KMA00549,永豐里,南投市永豐里成功三路190號,1,97.0
合默麟開發股份有限公司,KMA00550,新興里,南投市新興里仁和路143-1號,1,43.0
系統電子工業公司,KMA00560,永豐里,南投市永豐里工業北路26號,1,164.0
固品股份有限公司,KMA00580,福興里,南投市福興里南崗三路296號,1,344.0
日勝化工股份有限公司,KMA00585,新興里,南投市新興里成功三路333-1.2號,1,476.0
漳興國小,KMA00617,漳和里,南投市漳和里復興路711號,1,401.0
福而建設,KMA00620,漳和里,南投市漳和里彰南路二段571巷38號,1,1214.0
榮豐工業公司,KMA00622,平和里,南投市平和里仁和路148號,1,1373.0
原廣股份有限公司,KMA00626,平和里,南投市平和里南崗三路18號,1,68.0
長慶汽車股份有限公司,KMA00627,福興里,南投市福興里南崗三路288號,1,2760.0
上毅建設,KMA00632,平山里,南投市平山里平山一路三街68號,1,1327.0
唐州工業股份有限公司,KMA00642,永豐里,南投市永豐里工業北路57號,1,226.0
眾成工業股份有限公司,KMA00638,福興里,南投市福興里南崗三路280號,1,96.0
廣聖傢俱公司,KMA00641,永豐里,南投市永豐里南崗三路73號,1,199.0
俊侑股份有限公司,KMA00647,半山里,南投市半山里自立三路18號,1,40.0
大漢窗簾公司,KMA00650,永豐里,南投市永豐里成功三路154號,1,324.0
唯心聖教功德基金會,KMA00694,漳和里,南投市漳和里文化路705巷667號,1,150.0
鉅鋐油封工業股份有限公司,KMA00651,新興里,南投市新興里工業南三路5號,1,135.0
火鶴工業股份有限公司,KMA00652,新豐里,南投市新豐里成功三路150號,1,266.0
欣美實業股份有限公司,KMA00654,平山里,南投市平山里自強一路10號,1,114.0
有侑實業股份有限公司,KMA00655,永豐里,南投市永豐里工業路61號,1,276.0
順德工業股份有限公司,KMA00656,新興里,南投市新興里工業南一路16號,1,2530.0
環隆電氣股份有限公司,KMA00657,永豐里,南投市永豐里工業路330號,1,2459.0
嵩贊油封工業股份有限公司,KMA00658,永豐里,南投市永豐里工業東路6號,1,327.0
彩揚塑膠工業,KMA00659,平山里,南投市平山里仁和路5號,1,52.0
僑建國小,KMA00662,永豐里,南投市永豐里彰南路三段847號,1,1168.0
富鈞股份有限公司,KMA00663,新興里,南投市新興里自強一路22號,1,146.0
郁正股份有限公司,KMA00664,平山里,南投市平山里自強一路11號,1,1580.0
南投國中,KMA00665,漳和里,南投市漳和里祖祠路361號,1,2872.0
南投縣審計室,KMA00666,漳興里,南投市漳興里復興路480巷36號,1,1408.0
泰谷光電,KMA00667,永豐里,南投市永豐里自強三路18號,2,1582.0
柏諦企業股份有限公司,KMA00668,永豐里,南投市永豐里成功三路186-1號,1,2290.0
禾昌大廈,KMA00669,永豐里,南投市永豐里自立一路3巷43號,1,279.0
泰谷光電,KMA00671,平山里,南投市平山里自強三路22號,2,2208.0
昱盛工業,KMA00672,福興里,南投市福興里永興路11號,1,279.0
百晟建設,KMA00673,新興里,南投市新興里同源路10街19號,1,73.0
南投縣立圖書館,KMA00674,三和里,南投市三和里中興路669號,2,2328.0
富錸建設,KMA00691,漳和里,南投市漳和里復興路711巷2號,1,5757.0
全宏開發建設,KMA00692,新興里,南投市新興里同源路8街18號,1,87.0
名間鄉公所,KMA00346,中正村,名間鄉中正村彰南路40號,1,281.0
名間農會,KMA00347,中正村,名間鄉中正村彰南路26號,1,17.0
一般住宅,KMA00519,中正村,名間鄉中正村彰南路董門巷21-43號,1,873.0
一般住宅,KMA00570,濁水村,名間鄉濁水村員集路89號,1,211.0
名間郵局,KMA00643,南雅村,名間鄉南雅村南雅街65號,1,986.0
財政部中區國稅局南投分局,KMA00700,三和里,南投市三和里19鄰中興路667號,2,1676.0
道隆道路標誌器材有限公司,KMA00701,平山里,南投市自強三路6號,1,946.0
樹德企業股份有限公司,KMA00702,永豐里,南投市工業南六路6號,1,1220.0
僑馥建築經理有限公司,KMA00703,平山里,南投市竹林路10號,1,946.0
寬心開發建設有限公司,KMA00704,永豐里,南投市彰南路3段540號,1,1309.0
國家發展委員會,KNA00014,光華里,南投市光華里光華路6號,1,752.0
中興圖書館,KNA00017,光華里,南投市光華里光華路123號,1,1068.0
國家發展委員會,KNA00018,光華里,南投市光華里光華四路57號之8、10、12、14,1,49.0
署立中興醫院,KNA00019,光華里,南投市光華里環山路57號,1,1969.0
中興分局,KNA00023,光華里,南投市光華里光華路115號,1,838.0
中興郵局,KNA00026,光華里,南投市光華里中學路4號,1,499.0
員工消費合作社,KNA00028,光華里,南投市光華里光華路66號,1,2657.0
中興高中,KNA00029,光華里,南投市光華里中學路2號,1,2105.0
光榮國小,KNA00033,光榮里,南投市光營里光榮北路19之1號,1,791.0
聖徒教會,KNA00009,營北里,南投市營北里中正路220之6號,1,198.0
經濟部中部辦公室,KNA00012,光輝里,南投市光輝里省府路4號,1,25.0
國家發展委員會,KNA00013,營北里,南投市營北里中正路2號,1,197.0
國家發展委員會,KNA00031,光輝里,南投市光輝里虎山路3號,1,4271.0
國家發展委員會,KNA00032,光輝里,南投市光輝里府西路71號,1,2157.0
一般住宅,KNA00041,營北里,南投市營北里中學西路55號,1,346.0
福龍宮,KNA00042,營北里,南投市營北里向上路217號,1,312.0
營北國中,KNA00043,營北里,南投市營北里向上路2號,1,266.0
營北國中,KNA00044,營北里,南投市營北里向上路2號,1,692.0
中科管理局,KNA00002,內興里,南投市內興里中興路201號,1,238.0
交通部公路總局中部訓練中心,KNA00003,光明里,南投市內興里光明一路300號,1,1336.0
主計處中部辦公室,KNA00004,光明里,南投市光明里光明路25號,1,365.0
中科管理局,KNA00007,光明里,南投市光明里光榮東路二街4號,1,1948.0
光明派出所,KNA00008,光明里,南投市光明里光明路35號,1,113.0
光明郵局,KNA00011,光明里,南投市光明里中正路648號,1,108.0
國家發展委員會,KNA00016,光明里,"南投市光明里光榮東路二街10號之1、2 、3、4",1,674.0
國家發展委員會,KNA00020,光明里,南投市光明里光榮東路二街18號至22號、42號至48號,1,553.0
社區管理委員會,KNA00021,內興里,南投市內興里南新路159巷1號,1,726.0
中科管理局,KNA00022,光明里,南投市光明里光明路27號,1,954.0
文獻委員會,KNA00024,內興里,南投市內興里光明一路256號,1,284.0
德興國小,KNA00030,內興里,南投市內興里中興路200號,1,284.0
中興國中,KNA00035,內興里,南投市內興里中興路309號,1,833.0
集合式住宅,KNA00036,內興里,南投市內興里中興路182巷32號,1,936.0
集合式住宅,KNA00037,內興里,南投市內興里中興路182巷26號2樓之11,1,655.0
集合式住宅,KNA00027,內興里,南投市內興里南新路360號一樓之2,1,224.0
光復國小,KNA00038,光明里,南投市內興里光明一路67號,1,396.0
國家發展委員會,KNA00039,光明里,南投市光明里光榮東路二街4巷1號至8號,1,269.0
公務人力發展學院,KNA00040,光明里,南投市光明里光明路1號,2,3485.0
營盤國小,KNA00034,營南里,南投市營南里營盤路136號,1,428.0
一般住宅,KQA00056,北門里,南投縣埔里鎮北門里中山路2段289號,1,2893.0
一般住宅,KQA00070,北門里,南投縣埔里鎮北門里北環路2段90號,1,136.0
一般住宅,KQA00020,北門里,南投縣埔里鎮北門里中山路2段294號,1,132.0
飯店,KQA00037,南門里,南投縣埔里鎮南門里中山路2段399號,1,3762.0
飯店,KQA00045,南門里,南投縣埔里鎮南門里西安路1段89號,2,905.0
一般住宅,KQA00053,薰化里,南投縣埔里鎮薰化里南興街415號,1,33.0
一般住宅,KQA00052,薰化里,南投縣埔里鎮薰化里中山一路50號之1,1,58.0
一般住宅,KQA00054,薰化里,南投縣埔里鎮薰化里南興街417號,1,33.0
一般住宅,KQA00055,薰化里,南投縣埔里鎮薰化里南興街419號,1,33.0
一般住宅,KQA00058,薰化里,南投縣埔里鎮薰化里南興街2段413號,1,58.0
金鶯山建設,KQA00089,杷城里,南投縣埔里鎮杷城里東興二街36、38號,1,497.0
一般住宅,KQA00079,東門里,南投縣埔里鎮東門里中正路399號,1,138.0
一般住宅,KQA00084,東門里,南投縣埔里鎮東門里中正路369號,1,1130.0
郵政總局,KQA00087,西門里,南投縣埔里鎮西門里南昌街284號,1,1478.0
一般住宅,KQA00017,枇杷里,南投縣埔里鎮枇杷里東興三街266號,1,87.0
中華電信線路中心,KQA00033,北安里,南投縣埔里鎮北安里六合路177號,1,568.0
中興保全,KQA00023,北安里,南投縣埔里鎮北安里中華路211號,1,1289.0
一般住宅,KQA00073,北安里,南投縣埔里鎮北安里北安路70號,1,613.0
公賣局埔里配銷所,KQA00030,北安里,南投縣埔里鎮北安里北安路61號,1,655.0
一般住宅,KQA00097,北梅里,南投縣埔里鎮北梅里中華路261巷11號,1,2392.0
日茂證劵,KQA00061,北梅里,南投縣埔里鎮北梅里西安路1段299號,1,587.0
郵局,KQA00032,北安里,南投縣埔里鎮北安里和平東路490號,1,106.0
埔里高工,KQA00022,枇杷里,南投縣埔里鎮枇杷里中山路1段435號,1,667.0
埔里高工,KQA00096,枇杷里,南投縣埔里鎮枇杷里中山路1段435號,1,501.0
埔里高工,KQA00107,枇杷里,南投縣埔里鎮枇杷里中山路1段435號,1,1424.0
埔里高工,KQA00019,枇杷里,南投縣埔里鎮枇杷里中山路1段436號,1,1358.0
殘障大樓,KQA00106,北梅里,南投縣埔里鎮北梅里八德路179號,1,2852.0
一般住宅,KQA00111,枇杷里,南投縣埔里鎮枇杷里樹人三街137巷6號,2,3331.0
農田水利會福興站,KQA00025,北安里,南投縣埔里鎮北安里六合路141號,1,65.0
一般住宅,KQA00092,蜈蚣里,南投縣埔里鎮蜈蚣里鯉魚路37號,1,1302.0
藝文中心,KQA00057,北安里,南投縣埔里鎮北安里中華路239號,1,973.0
中華電信愛蘭機房,KQA00065,鐵山里,南投縣埔里鎮鐵山里鐵山路23號,1,2675.0
一般住宅,KQA00063,大城里,南投縣埔里鎮大城里安四街163號,1,895.0
埔里酒廠,KQA00001,大城里,南投縣埔里鎮大城里中山路3段219號,1,200.0
埔里基督教醫院,KQA00100,鐵山里,南投縣埔里鎮鐵山里鐵山路1號,1.2.3,2500.0
一般住宅,KQA00086,大城里,南投縣埔里鎮大城里中山路246號,1,2503.0
暨大附中,KQA00029,鐵山里,南投縣埔里鎮鐵山里鐵山路1-6號,1,467.0
暨大附中,KQA00074,鐵山里,南投縣埔里鎮鐵山里鐵山路1-6號,1,467.0
地藏寶塔,KQA00102,溪南里,南投縣埔里鎮溪南里溪南巷10號,1,3141.0
台灣佳美工公司,KQA00014,水頭里,南投縣埔里鎮水頭里隆生路87-1號,1,73.0
一般住宅,KQA00060,水頭里,南投縣埔里鎮水頭里東潤路67-4號,1,39.0
中華電信,KQA00021,國姓村,南投縣國姓鄉國姓村國姓路462號,1,336.0
水利會,KQA00042,國姓村,南投縣國姓鄉國姓村國姓路460之1號,1,87.0
"國姓國小 ",KQA00104,國姓村,南投縣國姓鄉國姓村國姓路211號,1,342.0
竹山國中,KSA00001,中山里,南投縣竹山鎮中山里竹山路217號地下,1,33.0
陳森賢(永和旅社),KSA00003,中正里,南投縣竹山鎮中正里橫街38號,,20.0
陳火生(阿生旅社),KSA00004,中正里,南投縣竹山鎮中正里橫街8號,,13.0
張仲琨(仁濟診所),KSA00006,中山里,南投縣竹山鎮中山里竹山路179號,,20.0
陳婦產科（陳寶深）,KSA00007,中山里,南投縣竹山鎮中山里竹山路187號,,20.0
信安旅社（林秀鳳）,KSA00009,中山里,南投縣竹山鎮中山里菜園路41號,,20.0
曾明瑞,KSA00010,中山里,南投縣竹山鎮中山里頂林路51號地下第1層,1,13.0
羅子期,KSA00011,中山里,南投縣竹山鎮中山里頂林路49號地下第1層,1,13.0
汪正雄,KSA00012,中山里,南投縣竹山鎮中山里頂林路53號地下第1層,1,13.0
葉石龍,KSA00013,中山里,南投縣竹山鎮中山里頂林路55號地下第1層,1,13.0
蕭明科,KSA00014,中山里,南投縣竹山鎮中山里頂林路57號地下第1層,1,13.0
台灣中小企業銀行,KSA00015,雲林里,南投縣竹山鎮雲林里集山路三段919號,,13.0
基督教長老會（陳儀照）,KSA00017,雲林里,南投縣竹山鎮雲林里林杞街42號,,20.0
陳日昇,KSA00018,雲林里,南投縣竹山鎮雲林里集山路三段1112號,,20.0
秀山園旅社,KSA00019,雲林里,南投縣竹山鎮雲林里埔頭街86號,1,100.0
游禮洲（許慧珍）,KSA00020,中山里,南投縣竹山鎮中山里頂林路59號,1,13.0
陳明光,KSA00021,中正里,南投縣竹山鎮中正里橫街28號,1,49.0
中華電信公司竹山服務處,KSA00022,中山里,南投縣竹山鎮中山里竹山路138號,1,326.0
林清其,KSA00024,竹山里,南投縣竹山鎮竹山里集山路三段885號,,40.0
張約裕,KSA00025,竹山里,南投縣竹山鎮竹山里集山路三段883號,1,40.0
台西客運竹山站,KSA00026,中山里,南投縣竹山鎮中山里菜園路27號,1,113.0
竹山高中,KSA00027,竹圍里,南投縣竹山鎮竹圍里枋坪巷1-3號,1,409.0
國泰人壽保險公司,KSA00029,雲林里,南投縣竹山鎮雲林里集山路三段1146號,,312.0
竹山鎮公所零售市場,KSA00030,竹山里,南投縣竹山鎮竹山里橫街78號,,1034.0
竹山分局,KSA00032,竹山里,南投縣竹山鎮竹山里集山路三段968號,1,316.0
竹山郵局,KSA00005,竹山里,南投縣竹山鎮竹山里前山路一段2號,1,1056.0
中山里新生路老人活動中心,KSA00006,中山里,南投縣竹山鎮中山里新生路346號,1,300.0
竹山鎮立圖書館,KSA00007,雲林里,南投縣竹山鎮雲林里公所路120號,1,980.0
"慶懋建設公司 （龍郡社區）",KSA00008,硘磘里,南投縣竹山鎮硘磘里鯉南路116-72及116-84號,1,1082.0
竹山高中禮堂（洪秋森）,KSA00009,竹圍里,南投縣竹山鎮竹圍里下橫街253-1號,1,636.0
"盈婚事業有限公司 （曹俊彥）",KSA00010,竹山里,南投縣竹山鎮竹山里前山路一段橫巷24號,1,1942.0
"竹山國中-禮堂 （陳勝雄）",KSA00011,中山里,南投縣竹山鎮中山里竹山路217號,1,598.0
"衛民建設有限公司 （莊淑真）",KSA00012,下坪里,南投縣竹山鎮下坪里枋坪巷2-36及2-37號,1,2806.0
"至德山產股份有限公司 （林英俊）",KSA00013,桂林里,南投縣竹山鎮桂林里中山路2-41號,1,1259.0
"日茂證卷股份有限公司 ",KSA00070,竹山里,南投縣竹山鎮竹山里大明路292號,1,779.0
"豪隆建設股份有限公司  ",KSA00071,竹圍里,南投縣竹山鎮竹圍里大禮路227號,1,3665.0
"廖庭科、廖庭興、廖萬梓 ",KSA00073,竹山里,南投縣竹山鎮竹山里昭德街66號,1,352.0
賢山企業公司（陳宗賢）,KSA00018,延平里,南投縣竹山鎮延平里延平五路23號,1,60.0
杉原公司（陳清木）,KSA00022,延平里,南投縣竹山鎮延平里延平路20號,1,60.0
翔偉公司（施國深）,KSA00025,延平里,南投縣竹山鎮延平里延平二路9號,1,122.0
向強公司（陳燕飛）,KSA00030,延平里,南投縣竹山鎮延平里延平五路11號,1,64.0
"展頌公司（黃呈玉）                     ",KSA00031,延平里,南投縣竹山鎮延平里延平三路20號,1,160.0
交通部電信總局（劉詩華）,KSA00033,延和里,南投縣竹山鎮延和里安定巷61號,1,436.0
"交通部郵政總局延平支局（黃坤啓）     ",KSA00034,延祥里,南投縣竹山鎮延祥里集山路三段99號,1,101.0
台灣增格公司（張安路）,KSA00035,延平里,南投縣竹山鎮延平里延平五路8號,1,57.0
"俊東建設公司（廖昭宜）                 ",KSA00036,延平里,南投縣竹山鎮延平里東鄉路12-19巷1號,1,1223.0
丞基建設公司（吳滿足）,KSA00037,延祥里,南投縣竹山鎮延祥里瑞竹巷25弄1號,1,1832.0
"慈山醫院（張正隆）（瑞生醫院）        ",KSA00038,延祥里,南投縣竹山鎮延祥里集山路三段272巷16號,2,1855.0
"黃呈玉 ",KSA00072,延平里,南投縣竹山鎮延平里延平路23號,1,1849.0
"竹山秀傳醫院（林燦生）                 ",KSA00041,山崇里,南投縣竹山鎮山崇里集山路二段75號,1,2386.0
"張景榮                                   ",KSA00042,中崎里,南投縣竹山鎮中崎里沉潭巷1-5號,1,60.0
"台灣電力公司瑞竹服務處（張江淮）     ",KSA00043,瑞竹里,南投縣竹山鎮瑞竹里鯉南路248-15號,1,122.0
鹿谷鄉農會門市部（黃東灝）,KSA00044,彰雅村,南投縣鹿谷鄉彰雅村中正路一段231號,1,426.0
茶之鄉（陳淑花）,KSA00045,初鄉村,南投縣鹿谷鄉初鄉村中正路三段2號,1,200.0
鹿谷電信局（石逸勝）,KSA00046,鹿谷村,南投縣鹿谷鄉鹿谷村中正路二段164號,1,130.0
