編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)","unnamed (10)","unnamed (11)"
36.0,臺中市潭子區中山路2段73巷109弄19號,1,42.0,大雅分局,"120.702410 ","24.203890 ",福仁里,,,,,,,,,,,
37.0,臺中市潭子區得天街28號,1,29.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
38.0,臺中市潭子區頭張路1段22巷48號,1,24.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
39.0,臺中市潭子區頭張路1段22巷46號,1,24.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
40.0,臺中市潭子區頭張路1段22巷44號,1,23.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
41.0,臺中市潭子區頭張路1段22巷42號,1,23.0,大雅分局,"120.699120 ","24.194390 ",頭家里,,,,,,,,,,,
42.0,臺中市潭子區頭張路1段22巷40號,1,23.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
43.0,臺中市潭子區頭張路1段22巷38號,1,23.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
44.0,臺中市潭子區中山路2段73巷99號,1,35.0,大雅分局,"120.702410 ","24.203890 ",福仁里,,,,,,,,,,,
45.0,臺中市潭子區中山路二段17號,1,46.0,大雅分局,"120.703121 ","24.201722 ",福仁里,,,,,,,,,,,
46.0,臺中市潭子區中山路二段77號,1,61.0,大雅分局,"120.704583 ","24.205672 ",福仁里,,,,,,,,,,,
47.0,臺中市潭子區中山路1段287號,1,100.0,大雅分局,"120.702650 ","24.197730 ",頭家里,,,,,,,,,,,
48.0,臺中市潭子區潭興路1段17巷11-6號,1,56.0,大雅分局,"120.725400 ","24.199940 ",聚興里,,,,,,,,,,,
49.0,臺中市潭子區豐興路一段66號,1,2771.0,大雅分局,"120.720344 ","24.193856 ",聚興里,,,,,,,,,,,
50.0,臺中市潭子區豐興路一段139號,1,1153.0,大雅分局,"120.718165 ","24.193916 ",聚興里,,,,,,,,,,,
51.0,臺中市潭子區中山路1段17號,2,2561.0,大雅分局,"120.702370 ","24.189940 ",家興里,,,,,,,,,,,
52.0,臺中市潭子區中山路一段257號,1,1525.0,大雅分局,"120.702195 ","24.197702 ",頭家里,,,,,,,,,,,
53.0,臺中市潭子區合作街38巷18號,1,1422.0,大雅分局,"120.708880 ","24.204320 ",福仁里,,,,,,,,,,,
54.0,臺中市潭子區潭興路一段25號,1,321.0,大雅分局,"120.725508 ","24.203885 ",聚興里,,,,,,,,,,,
55.0,臺中市潭子區豐興路一段88號,1、2,12146.0,大雅分局,"120.721945 ","24.195685 ",聚興里,,,,,,,,,,,
56.0,臺中市潭子區圓通南路159號,1,1153.0,大雅分局,"120.706247 ","24.207032 ",福仁里,,,,,,,,,,,
57.0,臺中市潭子區頭張路1段86巷6號,1,626.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
58.0,臺中市潭子區豐興路1段192巷66號,1,1127.0,大雅分局,"120.723465 ","24.192829 ",聚興里,,,,,,,,,,,
59.0,臺中市潭子區得才街136號,1,857.0,大雅分局,"120.699869 ","24.195118 ",頭家里,,,,,,,,,,,
60.0,臺中市潭子區大通街167號,1,658.0,大雅分局,"120.697444 ","24.192246 ",家福里,,,,,,,,,,,
61.0,臺中市潭子區豐興路一段512號,1,1656.0,大雅分局,"120.722927 ","24.203641 ",聚興里,,,,,,,,,,,
62.0,臺中市潭子區豐興路一段500號,1,6808.0,大雅分局,"120.722674 ","24.201630 ",聚興里,,,,,,,,,,,
63.0,臺中市潭子區中山路二段68號,1,584.0,大雅分局,"120.704188 ","24.202836 ",福仁里,,,,,,,,,,,
64.0,臺中市潭子區興華一路159號,1,380.0,大雅分局,"120.702699 ","24.206726 ",福仁里,,,,,,,,,,,
65.0,臺中市潭子區大通街188號,1,522.0,大雅分局,"120.697451 ","24.192591 ",家福里,,,,,,,,,,,
66.0,臺中市潭子區大新路161號,1,958.0,大雅分局,"120.704359 ","24.202289 ",福仁里,,,,,,,,,,,
67.0,臺中市潭子區興華一路142巷15號,1,316.0,大雅分局,"120.703540 ","24.206850 ",福仁里,,,,,,,,,,,
68.0,臺中市潭子區頭張路2段97號,1,635.0,大雅分局,"120.695320 ","24.193950 ",家福里,,,,,,,,,,,
69.0,臺中市潭子區得天街77號,2,327.0,大雅分局,"120.701162 ","24.196864 ",頭家里,,,,,,,,,,,
70.0,臺中市潭子區中山路一段9號,1,2288.0,大雅分局,"120.702270 ","24.188490 ",家興里,,,,,,,,,,,
71.0,臺中市潭子區榮興街57巷5號,1,5712.0,大雅分局,"120.701550 ","24.188850 ",家興里,,,,,,,,,,,
72.0,臺中市潭子區中興北路133號,1,120.0,大雅分局,"120.704500 ","24.194290 ",頭家東里,,,,,,,,,,,
73.0,臺中市潭子區潭興路1段168號,1,654.0,大雅分局,"120.721665 ","24.206548 ",聚興里,,,,,,,,,,,
254.0,臺中市潭子區頭張路二段89巷5號,1,1332.0,大雅分局,"120.695820 ","24.193810 ",家福里,,,,,,,,,,,
255.0,臺中市潭子區榮興街83巷8號,1,2544.0,大雅分局,"120.701510 ","24.189630 ",家興里,,,,,,,,,,,
256.0,臺中市潭子區豐興路一段36號,1,1208.0,大雅分局,"120.718390 ","24.191690 ",聚興里,,,,,,,,,,,
257.0,臺中市潭子區頭張路一段117巷17弄23號,1,1452.0,大雅分局,"120.699110 ","24.193630 ",家福里,,,,,,,,,,,
258.0,臺中市潭子區中山路一段77號,3,1896.0,大雅分局,"120.702190 ","24.192750 ",家福里,,,,,,,,,,,
259.0,臺中市潭子區復興路一段1巷6號,1,448.0,大雅分局,"120.705410 ","24.201160 ",福仁里,,,,,,,,,,,
260.0,臺中市潭子區福貴路1號,2,514.0,大雅分局,"120.711230 ","24.206100 ",福仁里,,,,,,,,,,,
261.0,臺中市潭子區中山路一段1巷76號,1,2262.0,大雅分局,"120.700500 ","24.188290 ",家興里,,,,,,,,,,,
262.0,臺中市潭子區大新路102號,1,1011.0,大雅分局,"120.705950 ","24.202480 ",福仁里,,,,,,,,,,,
263.0,臺中市潭子區潭興路一段3號,1,452.0,大雅分局,120.72859,24.20335,聚興里,,,,,,,,,,,
74.0,臺中市潭子區大豐東三街37巷22號,1,511.0,大雅分局,"120.693760 ","24.220790 ",大豐里,,,,,,,,,,,
75.0,臺中市潭子區中山路三段75號,1,500.0,大雅分局,"120.706360 ","24.222070 ",潭秀里,,,,,,,,,,,
76.0,臺中市潭子區中山路三段305巷63號,1,49.0,大雅分局,"120.707989 ","24.228715 ",栗林里,,,,,,,,,,,
77.0,臺中市潭子區中山路2段384號,1,23.0,大雅分局,"120.705360 ","24.214250 ",潭秀里,,,,,,,,,,,
78.0,臺中市潭子區中山路二段399號,1,83.0,大雅分局,"120.705020 ","24.213536 ",潭秀里,,,,,,,,,,,
79.0,臺中市潭子區大豐路二段122巷15弄2號,1,2400.0,大雅分局,"120.693350 ","24.218780 ",潭秀里,,,,,,,,,,,
80.0,臺中市潭子區祥和路47號,1,647.0,大雅分局,"120.713808 ","24.229315 ",栗林里,,,,,,,,,,,
81.0,臺中市潭子區中山路三段153號,1,150.0,大雅分局,"120.705496 ","24.223873 ",潭秀里,,,,,,,,,,,
82.0,臺中市潭子區潭富一街53號,1,101.0,大雅分局,"120.692620 ","24.222240 ",大豐里,,,,,,,,,,,
83.0,臺中市潭子區大豐路3段123號,1,9.0,大雅分局,"120.692063 ","24.222435 ",大豐里,,,,,,,,,,,
84.0,臺中市潭子區中山路三段153號,1,5458.0,大雅分局,"120.705496 ","24.223873 ",潭秀里,,,,,,,,,,,
85.0,臺中市潭子區大豐東三街87巷1號,1,1202.0,大雅分局,"120.694050 ","24.220740 ",大豐里,,,,,,,,,,,
86.0,臺中市潭子區潭富二街59巷8號,1,1481.0,大雅分局,"120.692710 ","24.221040 ",大豐里,,,,,,,,,,,
87.0,臺中市潭子區中山路三段153號,1,81.0,大雅分局,"120.705496 ","24.223873 ",大豐里,,,,,,,,,,,
88.0,臺中市潭子區大豐路三段18611號,1,576.0,大雅分局,"120.721665 ","24.206548 ",大豐里,,,,,,,,,,,
89.0,臺中市潭子區豐栗路63巷8號,1,221.0,大雅分局,"120.706689 ","24.230944 ",栗林里,,,,,,,,,,,
90.0,臺中市潭子區祥和路133巷66號,1,833.0,大雅分局,"120.711789 ","24.227782 ",栗林里,,,,,,,,,,,
91.0,臺中市潭子區中山路三段11號,1,635.0,大雅分局,"120.705635 ","24.220421 ",潭秀里,,,,,,,,,,,
92.0,臺中市潭子區中山路三段201號,1,552.0,大雅分局,"120.707018 ","24.225155 ",栗林里,,,,,,,,,,,
93.0,臺中市潭子區中山路三段493巷35號,1,863.0,大雅分局,"120.707481 ","24.233356 ",栗林里,,,,,,,,,,,
94.0,臺中市潭子區中山路二段435號,1,507.0,大雅分局,"120.705000 ","24.214440 ",潭秀里,,,,,,,,,,,
95.0,臺中市潭子區弘智街17巷70號,1,1029.0,大雅分局,"120.707043 ","24.226776 ",栗林里,,,,,,,,,,,
96.0,臺中市潭子區人和路39號,1,1520.0,大雅分局,"120.707436 ","24.216840 ",潭北里,,,,,,,,,,,
97.0,臺中市潭子區潭興路1段258巷16號,1,384.0,大雅分局,"120.719490 ","24.209410 ",新田里,,,,,,,,,,,
98.0,臺中市潭子鄉大豐路三段125號,1,1811.0,大雅分局,"120.692140 ","24.223510 ",大豐里,,,,,,,,,,,
99.0,"臺中市潭子鄉崇德路五段468號 ",1,1592.0,大雅分局,"120.690070 ","24.223530 ",大豐里,,,,,,,,,,,
100.0,臺中市潭子區弘文街100號,1,492.0,大雅分局,"120.704600 ","24.226130 ",栗林里,,,,,,,,,,,
101.0,臺中市潭子區弘文街100號,1,542.0,大雅分局,"120.704600 ","24.226130 ",栗林里,,,,,,,,,,,
102.0,臺中市潭子區潭子街三段56號,1,51.0,大雅分局,"120.706740 ","24.214770 ",潭北里,,,,,,,,,,,
103.0,臺中市潭子區中山路二段399號,1,93.0,大雅分局,"120.705040 ","24.213570 ",潭秀里,,,,,,,,,,,
104.0,臺中市潭子區中山路二段397號,1,166.0,大雅分局,"120.705060 ","24.213450 ",潭秀里,,,,,,,,,,,
105.0,臺中市潭子區中山路二段435號,1,210.0,大雅分局,"120.705000 ","24.214440 ",潭秀里,,,,,,,,,,,
106.0,臺中市潭子區中山路二段384之6號,1,380.0,大雅分局,"120.705370 ","24.214260 ",潭秀里,,,,,,,,,,,
264.0,臺中市潭子區弘智街53號,2,1092.0,大雅分局,"120.705350 ","24.225530 ",栗林里,,,,,,,,,,,
265.0,臺中市潭子區大豐東二街125號,1,127.0,大雅分局,"120.693360 ","24.223950 ",大豐里,,,,,,,,,,,
266.0,臺中市潭子區大豐東一街37巷5號,1,1049.0,大雅分局,"120.692740 ","24.223450 ",大豐里,,,,,,,,,,,
267.0,臺中市潭子區祥和路106巷31號,1,1166.0,大雅分局,120.71242,24.23058,栗林里,,,,,,,,,,,
268.0,臺中市潭子區祥和路60巷16號,1,967.0,大雅分局,120.71336,24.23006,栗林里,,,,,,,,,,,
269.0,臺中市潭子區福潭路830巷18號,1,707.0,大雅分局,120.70842,24.21621,嘉仁里,,,,,,,,,,,
270.0,臺中市潭子區人和路100巷1號,1,1526.0,大雅分局,120.70796,24.21754,潭北里,,,,,,,,,,,
271.0,臺中市潭子區潭子街三段公廳巷59號,1,466.0,大雅分局,120.70896,24.21415,潭北里,,,,,,,,,,,
272.0,臺中市潭子區福潭路798巷21號,1,653.0,大雅分局,120.70881,24.21601,嘉仁里,,,,,,,,,,,
273.0,臺中市潭子區潭富路二段81巷11號,1,59.0,大雅分局,120.69671,24.22312,大豐里,,,,,,,,,,,
274.0,臺中市潭子區潭富路二段81巷15號,1,177.0,大雅分局,120.69633,24.22273,大豐里,,,,,,,,,,,
275.0,臺中市潭子區潭富路二段29號,1,71.0,大雅分局,120.69949,24.22303,大豐里,,,,,,,,,,,
107.0,臺中市大雅區昌平路4段252號,1,166.0,大雅分局,"120.678680 ","24.233420 ",西寶里,,,,,,,,,,,
108.0,臺中市大雅區昌平路四段508號,1,2387.0,大雅分局,"120.671420 ","24.227770 ",西寶里,,,,,,,,,,,
109.0,臺中市大雅區昌平路3段536號,1,54.0,大雅分局,"120.668840 ","24.214480 ",西寶里,,,,,,,,,,,
110.0,臺中市大雅區民權街39巷1號,1,2125.0,大雅分局,"120.668150 ","24.233170 ",大楓里,,,,,,,,,,,
111.0,臺中市大雅區民生路3段182號,1,226.0,大雅分局,"120.660590 ","24.231490 ",上楓里,,,,,,,,,,,
112.0,臺中市大雅區民生路3段133號,1,426.0,大雅分局,"120.659320 ","24.231580 ",上楓里,,,,,,,,,,,
113.0,臺中市大雅區民生路3段180巷12號,1,70.0,大雅分局,"120.661150 ","24.231030 ",雅楓里,,,,,,,,,,,
114.0,臺中市大雅區民生路3段111巷1號,1,29.0,大雅分局,"120.658470 ","24.231530 ",雅楓里,,,,,,,,,,,
115.0,臺中市大雅區民生路3段180巷22號,1,56.0,大雅分局,"120.662240 ","24.230480 ",雅楓里,,,,,,,,,,,
116.0,臺中市大雅區民豐街154巷2號,1,722.0,大雅分局,"120.664530 ","24.231950 ",大楓里,,,,,,,,,,,
117.0,臺中市大雅區雅潭路4段20號,1,39.0,大雅分局,"120.661420 ","24.219830 ",三和里,,,,,,,,,,,
118.0,臺中市大雅區中清路三段758巷18號,1,52.0,大雅分局,"120.652310 ","24.213200 ",四德里,,,,,,,,,,,
119.0,臺中市大雅區中清路3段758巷3號,1,373.0,大雅分局,"120.650640 ","24.212850 ",四德里,,,,,,,,,,,
120.0,臺中市大雅區中清路3段758巷8號,1,113.0,大雅分局,"120.651030 ","24.213070 ",四德里,,,,,,,,,,,
121.0,臺中市大雅區民生路3段267巷12號,1,266.0,大雅分局,"120.659750 ","24.233490 ",雅楓里,,,,,,,,,,,
122.0,臺中市大雅區前村路382巷78號,1,1877.0,大雅分局,"120.662350 ","24.221700 ",大雅里,,,,,,,,,,,
123.0,臺中市大雅區建興路152巷7號,1,871.0,大雅分局,"120.666640 ","24.217190 ",三和里,,,,,,,,,,,
124.0,臺中市大雅區德勝路123號,1,36.0,大雅分局,"120.660940 ","24.229850 ",雅楓里,,,,,,,,,,,
125.0,臺中市大雅區楓林街232號,1,702.0,大雅分局,"120.666811 ","24.236395 ",上楓里,,,,,,,,,,,
126.0,臺中市大雅區民生路3段267巷10號,1,152.0,大雅分局,"120.659750 ","24.233490 ",雅楓里,,,,,,,,,,,
127.0,臺中市大雅區民生路三段267巷12之1號,1,1040.0,大雅分局,"120.659750 ","24.233490 ",雅楓里,,,,,,,,,,,
128.0,臺中市大雅區雅潭路4段370巷13號,1,701.0,大雅分局,"120.660280 ","24.220850 ",二和里,,,,,,,,,,,
129.0,臺中市大雅區中清路3段735號,1,4400.0,大雅分局,"120.649900 ","24.211950 ",四德里,,,,,,,,,,,
130.0,臺中市大雅區民生路三段313巷45號,1,6103.0,大雅分局,"120.660355 ","24.234203 ",上楓里,,,,,,,,,,,
131.0,臺中市大雅區中清路三段758巷11號,1,284.0,大雅分局,"120.650840 ","24.213180 ",四德里,,,,,,,,,,,
132.0,臺中市大雅區民豐街117號,1,919.0,大雅分局,"120.664972 ","24.231055 ",雅楓里,,,,,,,,,,,
133.0,臺中市大雅區雅潭路四段336號,1,1118.0,大雅分局,"120.660431 ","24.220029 ",三和里,,,,,,,,,,,
134.0,臺中市大雅區雅潭路四段332號,1,2088.0,大雅分局,"120.662102 ","24.219909 ",三和里,,,,,,,,,,,
135.0,臺中市大雅區學府路230號,1,518.0,大雅分局,"120.650025 ","24.222083 ",二和里,,,,,,,,,,,
136.0,臺中市大雅區神林南路225巷23弄10號,1,503.0,大雅分局,"120.658233 ","24.224129 ",二和里,,,,,,,,,,,
137.0,臺中市大雅區楓林街232號,1,273.0,大雅分局,"120.666811 ","24.236395 ",上楓里,,,,,,,,,,,
138.0,臺中市大雅區中清路3段739號,1,523.0,大雅分局,"120.649640 ","24.212340 ",四德里,,,,,,,,,,,
139.0,臺中市大雅區中清路三段936號,1,1283.0,大雅分局,"120.649089 ","24.217970 ",四德里,,,,,,,,,,,
140.0,臺中市大雅區建興路155號,1,1123.0,大雅分局,"120.665937 ","24.217599 ",三和里,,,,,,,,,,,
141.0,臺中市大雅區中清路三段727號,1,714.0,大雅分局,"120.649642 ","24.211359 ",四德里,,,,,,,,,,,
142.0,臺中市大雅區建興路112巷12弄6號,1,544.0,大雅分局,"120.666274 ","24.215613 ",三和里,,,,,,,,,,,
143.0,臺中市大雅區學府路23巷5號,1,365.0,大雅分局,"120.649790 ","24.216810 ",四德里,,,,,,,,,,,
144.0,臺中市大雅區港尾路133號,1,2122.0,大雅分局,"120.667174 ","24.214292 ",三和里,,,,,,,,,,,
145.0,臺中市大雅區中清路三段930號,1,618.0,大雅分局,"120.649130 ","24.217677 ",四德里,,,,,,,,,,,
146.0,臺中市大雅區民生路三段36北巷32號,1,359.0,大雅分局,"120.658573 ","24.229775 ",雅楓里,,,,,,,,,,,
147.0,臺中市大雅區民生路四段28號,1,984.0,大雅分局,"120.667891 ","24.236008 ",上楓里,,,,,,,,,,,
148.0,臺中市大雅區雅潭路4段681號,1,1872.0,大雅分局,"120.649420 ","24.221320 ",二和里,,,,,,,,,,,
149.0,臺中市大雅區樹德街255巷5號,1,1012.0,大雅分局,"120.666750 ","24.237620 ",上楓里,,,,,,,,,,,
150.0,臺中市大雅區民生路三段158號,1,1190.0,大雅分局,"120.659570 ","24.231270 ",雅楓里,,,,,,,,,,,
151.0,臺中市大雅區學府路230號,1,149.0,大雅分局,"120.650025 ","24.222083 ",二和里,,,,,,,,,,,
152.0,臺中市大雅區學府路230號,1,385.0,大雅分局,"120.650025 ","24.222083 ",二和里,,,,,,,,,,,
153.0,臺中市大雅區學府路230號,1,752.0,大雅分局,"120.650025 ","24.222083 ",二和里,,,,,,,,,,,
154.0,臺中市大雅區雅環路一段2號,1,594.0,大雅分局,"120.650820 ","24.216230 ",四德里,,,,,,,,,,,
155.0,臺中市大雅區雅環路一段2號,1,975.0,大雅分局,"120.650820 ","24.216230 ",四德里,,,,,,,,,,,
156.0,臺中市大雅區雅環路一段2號,1,85.0,大雅分局,"120.650820 ","24.216230 ",四德里,,,,,,,,,,,
157.0,臺中市大雅區雅潭路三段600號,1,35.0,大雅分局,"120.667990 ","24.216030 ",西寶里,,,,,,,,,,,
158.0,"臺中市大雅區楓林街232號 ",1,162.0,大雅分局,"120.666790 ","24.236150 ",上楓里,,,,,,,,,,,
159.0,臺中市大雅區神林南路182號,1,538.0,大雅分局,"120.656700 ","24.225310 ",雅楓里,,,,,,,,,,,
160.0,臺中市大雅區雅潭路四段661巷7號,1,1481.0,大雅分局,"120.652379 ","24.221409 ",二和里,,,,,,,,,,,
276.0,臺中市大雅區學府路76巷47號,2,3487.0,大雅分局,120.65184,24.21822,四德里,,,,,,,,,,,
277.0,臺中市大雅區學府路23巷18弄1號,1,2178.0,大雅分局,120.64997,24.21694,四德里,,,,,,,,,,,
278.0,臺中市大雅區雅潭路四段600巷37弄2號,1,766.0,大雅分局,120.65526,24.22217,二和里,,,,,,,,,,,
279.0,臺中市大雅區雅楓街99巷4號,1,389.0,大雅分局,120.66683,24.23376,大楓里,,,,,,,,,,,
280.0,臺中市大雅區雅潭路四段661巷36號,2,1353.0,大雅分局,120.65241,24.22129,二和里,,,,,,,,,,,
281.0,臺中市大雅區學府路120巷31號,1,600.0,大雅分局,120.65164,24.22002,二和里,,,,,,,,,,,
282.0,臺中市大雅區建興路112巷19號,2,1720.0,大雅分局,120.66635,24.2153,三和里,,,,,,,,,,,
283.0,臺中市大雅區神林南路367號,1,101.0,大雅分局,120.65686,24.2217,二和里,,,,,,,,,,,
284.0,臺中市大雅區民生路三段295號,1,68.0,大雅分局,120.66265,24.23304,上楓里,,,,,,,,,,,
285.0,臺中市大雅區民生路三段159號,1,242.0,大雅分局,120.6599,24.23178,雅楓里,,,,,,,,,,,
302.0,臺中市大雅區雅潭路四段80號,2,1085.0,大雅分局,120.6663,24.21699,三和里,,,,,,,,,,,
161.0,臺中市大雅區中清路4段278號,1,447.0,大雅分局,"120.641310 ","24.230210 ",六寶里,,,,,,,,,,,
162.0,臺中市大雅區神林路1段266號,1,4121.0,大雅分局,"120.656620 ","24.234220 ",員林里,,,,,,,,,,,
163.0,臺中市大雅區平和路238號,1,333.0,大雅分局,"120.625990 ","24.230980 ",秀山里,,,,,,,,,,,
164.0,臺中市大雅區大雅路50號,1,247.0,大雅分局,"120.649090 ","24.224110 ",大雅里,,,,,,,,,,,
165.0,臺中市大雅區中山北路117巷17號,1,1117.0,大雅分局,"120.646900 ","24.217150 ",文雅里,,,,,,,,,,,
166.0,臺中市大雅區中清東路196號,1,328.0,大雅分局,"120.647800 ","24.224030 ",大雅里,,,,,,,,,,,
167.0,臺中市大雅區永和路121號,1,397.0,大雅分局,"120.639190 ","24.218100 ",橫山里,,,,,,,,,,,
168.0,臺中市大雅區雅環路3段19巷20號,1,1686.0,大雅分局,"120.645460 ","24.228640 ",員林里,,,,,,,,,,,
169.0,臺中市大雅區神林路一段371號,1,455.0,大雅分局,"120.657290 ","24.241430 ",員林里,,,,,,,,,,,
170.0,臺中市大雅區通山路46號,1,419.0,大雅分局,"120.621140 ","24.210520 ",橫山里,,,,,,,,,,,
171.0,臺中市大雅區民興街路35號,1,347.0,大雅分局,"120.648000 ","24.225320 ",大雅里,,,,,,,,,,,
172.0,臺中市大雅區中山路56號,1,122.0,大雅分局,"120.644500 ","24.206440 ",橫山里,,,,,,,,,,,
173.0,臺中市大雅區神林路1段121號,1,25.0,大雅分局,"120.653990 ","24.233430 ",員林里,,,,,,,,,,,
174.0,臺中市大雅區神林南路21巷34號,1,678.0,大雅分局,"120.654390 ","24.228660 ",上雅里,,,,,,,,,,,
175.0,臺中市大雅區東大路二段999號,1,836.0,大雅分局,"120.617490 ","24.242060 ",忠義里,,,,,,,,,,,
176.0,臺中市大雅區民生路一段175號,2,565.0,大雅分局,"120.650011 ","24.227291 ",上雅里,,,,,,,,,,,
177.0,臺中市大雅區民興街25號,1,257.0,大雅分局,"120.647580 ","24.224892 ",大雅里,,,,,,,,,,,
178.0,臺中市大雅區中清路3段1080號,1,317.0,大雅分局,"120.647090 ","24.222190 ",大雅里,,,,,,,,,,,
179.0,臺中市大雅區神林路一段256號,1,1417.0,大雅分局,"120.656620 ","24.234220 ",員林里,,,,,,,,,,,
180.0,臺中市大雅區光復路15-2號,1,718.0,大雅分局,"120.636219 ","24.238871 ",六寶里,,,,,,,,,,,
181.0,臺中市大雅區中清路4段85號,1,2946.0,大雅分局,"120.643910 ","24.227410 ",員林里,,,,,,,,,,,
182.0,臺中市大雅區光復路14號,1,781.0,大雅分局,"120.636742 ","24.237282 ",六寶里,,,,,,,,,,,
