電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
A040,八德里,桃園市龍潭區八德里24鄰梅龍路200號,"24.87346758319989, 121.19708963933437",2,798,龍潭分局,,O,基宏實業股份有限公司
B001,龍潭里,桃園市龍潭區龍潭里中正路200號,"24.86483474975532, 121.21686026816977","1 ",25,龍潭分局,,,戴昌賢
B002,龍潭里,桃園市龍潭區龍潭里中正路194巷19號,"24.86489773546175, 121.21644821719705","1 ",27,龍潭分局,,,許慶龍
B003,龍潭里,桃園市龍潭區龍潭里龍興路66號,"24.865781196447838, 121.21574276894734",1,29,龍潭分局,,,徐雙源
B006,龍潭里,桃園市龍潭區龍潭里南龍路42號,"24.864198437605257, 121.21290755652494",2,1911,龍潭分局,,,竹一建設
B007,龍潭里,(機敏單位)桃園市龍潭區龍潭里南龍路70號,,1,178,龍潭分局,,O,中華郵局
B008,上華里,桃園市龍潭區上華里中正路上華段90巷10弄1號,"24.85305571361047, 121.22296692584051",1,475,龍潭分局,,O,金鴻成建設
B009,中正里,桃園市龍潭區中正里中正路108號,"24.867429984050606, 121.21578621049868",1,25,龍潭分局,,,曾陳秋香
B011,中正里,桃園市龍潭區中正里中正路210號,"24.86387117219744, 121.2164907920658",2,513,龍潭分局,,O,龍潭衛生所
B012,中正里,桃園市龍潭區中正里中正路210號,"24.86387117219744, 121.2164907920658",2,315,龍潭分局,,,龍潭圖書館
B013,中正里,桃園市龍潭區中正里中正路227號,"24.864020518413618, 121.21718246816964",3,37,龍潭分局,,,葉義光
B015,中正里,桃園市龍潭區中正里龍華路403號,"24.8576540794719, 121.21758861234714","2 ",79,龍潭分局,,,吳國進
B016,中正里,桃園市龍潭區中正里神龍路155號,"24.861501880378846, 121.21314502584062",2,247,龍潭分局,,,龍潭高中
B017,中正里,桃園市龍潭區中正里神龍路155號,"24.861501880378846, 121.21314502584062",1,55,龍潭分局,,,龍潭高中
B018,中正里,桃園市龍潭區中正里神龍路155號,"24.861501880378846, 121.21314502584062",1,103,龍潭分局,,,龍潭高中
B019,中正里,(機敏單位)桃園市龍潭區中正里中正路471號,,1,746,龍潭分局,,,國泰人壽
B020,中正里,桃園市龍潭區中正里富華街315巷6號之1,"24.84896922055679, 121.22370434629877",1,1190,龍潭分局,,O,聯漢建設
B022,中正里,(機敏單位)桃園市龍潭區中正里東龍路112號,,1,568,龍潭分局,,,龍潭區農會
B024,中山里,桃園市龍潭區中山里中豐路中山段9號,"24.868947280224976, 121.21342897001843",2,25,龍潭分局,,,徐柳宏
B025,中山里,桃園市龍潭區中山里中豐路中山段209號,"24.865911249839588, 121.21030586816966",3,414,龍潭分局,,,曾春蘭
B026,中山里,桃園市龍潭區中山里東龍路350號,"24.867629752205758, 121.21381568351184",2,32,龍潭分局,,,黃永盛
B027,中山里,桃園市龍潭區中山里東龍路356號,"24.867749215917083, 121.21385672584074",3,40,龍潭分局,,,翁廷殿
B028,中山里,桃園市龍潭區中山里北龍路15巷26號,"24.865552857824756, 121.2107066304359",1,186,龍潭分局,,,游松肇
B029,中山里,桃園市龍潭區中山里北龍路15巷36號,"24.86578729737704, 121.21071900090693",2,158,龍潭分局,,,陳瑞琴
B030,中山里,桃園市龍潭區中山里北龍路39號,"24.86568156043964, 121.21192480593838",1,35,龍潭分局,,,馮金雄
B031,中山里,桃園市龍潭區中山里北龍路59巷13弄8號,"24.86655582769144, 121.21241377710285",2,35,龍潭分局,,,徐源春
B032,中山里,桃園市龍潭區中山里北龍路283號,"24.868166252121025, 121.2176144258408",2,19,龍潭分局,,,黃文德
B033,中山里,桃園市龍潭區中山里北龍路299號,"24.868435286093998, 121.21807178351186",2,19,龍潭分局,,,黃日政
B034,中山里,桃園市龍潭區中山里中正路83號,"24.868327481987876, 121.21541426570616",3,27,龍潭分局,,,陳黃定妹
B035,中山里,桃園市龍潭區中山里中正路85號,"24.86825704303846, 121.2154072077277",1,56,龍潭分局,,,湯文火
B036,中山里,桃園市龍潭區中山里中正路87號,"24.868144443028008, 121.21553790261684",1,32,龍潭分局,,,劉天欽
B037,中山里,(機敏單位)桃園市龍潭區中山里中正路151號,,1,756,龍潭分局,,,郵局龍潭支局
B038,中山里,桃園市龍潭區中山里中正路169號,"24.86612901824663, 121.2170370258408",1,36,龍潭分局,,,游登祥
B039,中山里,桃園市龍潭區中山里中正路215號,"24.864413727391433, 121.21727274303124",1,27,龍潭分局,,,戴碧珠
B040,中山里,桃園市龍潭區中山里中正路221號,"24.864121174904927, 121.21718805467623",1,64,龍潭分局,,,葉義生
B041,中山里,桃園市龍潭區中山里中正路269號,"24.86268408405278, 121.21765969885382",1,997,龍潭分局,,O,龍星國小
B042,中山里,桃園市龍潭區中山里華南路一段43號,"24.869373714361533, 121.21624912584079",1,76,龍潭分局,,,黃星富
B043,中山里,桃園市龍潭區中山里神龍路403巷2弄1號,"24.857258774708978, 121.2166439546761",1,1412,龍潭分局,,O,陸江建設
B044,上林里,桃園市龍潭區上林里中豐路上林段418號,"24.858689753617842, 121.20207808166298",1,509,龍潭分局,,,凌雲國中
B045,中正里,桃園市龍潭區中正里龍華路111號,"24.864091284052208, 121.21586888166313",1,45,龍潭分局,,,陳庭鐘
B046,中山里,桃園市龍潭區中山里中正路106號,"24.867444481779685, 121.2157725258408",1,200,龍潭分局,,,桃客龍潭站
