類別,電腦編號,里別,防空疏散避難設施地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FNA00034,復興里,新竹市東區復興里自由路71號,"24.813345,120.980461",922.0,第二分局,
一般住宅,FNA00035,文華里,新竹市東區文華里經國路一段654號,"24.8145088,120.9744711",126.0,第二分局,
一般住宅,FNA00036,文華里,新竹市東區文華里經國路一段392號,"24.815011,120.98148",185.0,第二分局,
一般住宅,FNA00037,文華里,新竹市東區文華里北大路90號,"24.8115012,120.9705936",82.0,第二分局,
一般住宅,FNA00038,文華里,新竹市東區文華里北大路32號,"24.8130677,120.9731204",78.0,第二分局,
一般住宅,FNA00039,錦華里,新竹市東區錦華里世界街20號,"24.8104648,120.9718398",48.0,第二分局,
一般住宅,FNA00040,錦華里,新竹市東區錦華里北大路39巷9弄11號,"24.8126911,120.973436",85.0,第二分局,
一般住宅,FNA00041,復中里,新竹市東區復中里民生路258號,"24.8127011,120.975356",101.0,第二分局,
一般住宅,FNA00042,復中里,新竹市東區復中里民生路219號,"24.8117947,120.97561",69.0,第二分局,
一般住宅,FNA00043,文華里,新竹市東區文華里經國路一段452號,"24.814912,120.979214",41.0,第二分局,
一般住宅,FNA00044,復興里,新竹市東區復興里經國路一段379巷12號,"24.8139011,120.9790701",49.0,第二分局,
一般住宅,FNA00045,復興里,新竹市東區復興里經國路一段379巷10弄5號,"24.8139146,120.9789974",50.0,第二分局,
一般住宅,FNA00046,復興里,新竹市東區復興里自由路94號,"24.8139961,120.980393",49.0,第二分局,
一般住宅,FNA00047,文華里,新竹市東區文華里北大路92巷8號,"24.8118285,120.970368",52.0,第二分局,
一般住宅,FNA00048,文華里,新竹市東區文華里北大路92巷12號,"24.8119283,120.9701468",48.0,第二分局,
一般住宅,FNA00049,復興里,新竹市東區復興里經國路一段315巷4弄19號,"24.8141094,120.9824958",53.0,第二分局,
一般住宅,FNA00050,復中里,新竹市東區復中里13鄰民生路265號,"24.8127185,120.9748322",29.0,第二分局,
一般住宅,FNA00051,錦華里,新竹市東區錦華里世界街60巷10號,"24.8104159,120.9707472",149.0,第二分局,
一般住宅,FNA00052,復興里,新竹市東區復興里中央路355巷2-8號,"24.812322,120.980945",190.0,第二分局,
一般住宅,FNA00053,文華里,新竹市東區文華里北大路92巷43弄2號,"24.8129323,120.9691474",182.0,第二分局,
一般住宅,FNA00054,復興里,新竹市東區復興里經國路一段331號,"24.814675,120.9817516",22.0,第二分局,
一般住宅,FNA00055,文華里,新竹市東區文華里北大路92巷31弄33號,"24.8126799,120.9694127",328.0,第二分局,
供公眾使用建築物,FNA00056,復中里,新竹市東區復中里民生路167號,"24.8110564,120.9762084",41.0,第二分局,
一般住宅,FNA00057,復中里,新竹市東區復中里民權路220號,"24.8124043,120.971846",37.0,第二分局,
一般住宅,FNA00058,文華里,新竹市東區文華里民權路248號,"24.8131197,120.9712358",100.0,第二分局,
一般住宅,FNA00059,復中里,新竹市東區復中里中央路188號,"24.8086997,120.9741142",34.0,第二分局,
一般住宅,FNA00060,復中里,新竹市東區復中里民權路94號,"24.8075612,120.9755633",44.0,第二分局,
一般住宅,FNA00061,文華里,新竹市東區文華里北大路32號,"24.8130677,120.9731204",48.0,第二分局,
一般住宅,FNA00062,前溪里,新竹市東區前溪里中華路一段16號,"24.819116,120.995135",133.0,第二分局,
一般住宅,FNA00063,東園里,新竹市東區東園里11鄰中華路一段384巷2號,"24.8127592,120.9855723",133.0,第二分局,
一般住宅,FNA00064,東園里,新竹市東區東園里11鄰中華路一段384巷2號,"24.8127592,120.9855723",133.0,第二分局,
一般住宅,FNA00065,復中里,新竹市東區復中里中央路186號,"24.8084569,120.9741309",37.0,第二分局,
一般住宅,FNA00066,前溪里,新竹市東區前溪里經國路一段307號,"24.8146638,120.9828186",74.0,第二分局,
供公眾使用建築物,FNA00067,錦華里,新竹市東區錦華里北大路61號,"24.811149,120.9728262",276.0,第二分局,
供公眾使用建築物,FNA00068,文華里,新竹市東區文華里5鄰北大路70號,"24.8121344,120.9716089",668.0,第二分局,
一般住宅,FNA00069,文華里,新竹市東區文華里北大路84巷2號,"24.8118075,120.9707585",57.0,第二分局,
一般住宅,FNA00070,文華里,新竹市東區文華里光華街21號,"24.814461,120.9722059",64.0,第二分局,
一般住宅,FNA00071,文華里,新竹市東區文華里民權路262號,"24.8134713,120.9711663",29.0,第二分局,
一般住宅,FNA00072,文華里,新竹市東區文華里北大路40號,"24.8127326,120.9728575",70.0,第二分局,
一般住宅,FNA00073,文華里,新竹市東區文華里民權路252號,"24.8132675,120.9713079",149.0,第二分局,
一般住宅,FNA00074,文華里,新竹市東區文華里民權路258號,"24.813391,120.97123",29.0,第二分局,
一般住宅,FNA00075,復中里,新竹市東區復中里民生路268號,"24.8129318,120.9751533",345.0,第二分局,
一般住宅,FNA00076,錦華里,新竹市東區錦華里20鄰北大路7巷11號,"24.8131402,120.9744974",59.0,第二分局,
一般住宅,FNA00077,復興里,新竹市東區復興里中華路一段384巷2號,"24.8127539,120.9855656",264.0,第二分局,
一般住宅,FNA00078,復興里,新竹市東區復興里中華路一段384巷6弄14號,"24.8127404,120.9853359",273.0,第二分局,
一般住宅,FNA00079,復興里,新竹市東區復興里經國路一段409巷9弄1號,"24.8141994,120.9778819",486.0,第二分局,
一般住宅,FNA00080,復中里,新竹市東區復中里民生路239巷2弄7號,"24.8121732,120.9747665",50.0,第二分局,
一般住宅,FNA00081,復中里,新竹市東區復中里中央路281巷19號,"24.8109684,120.9773626",365.0,第二分局,
一般住宅,FNA00082,文華里,新竹市東區文華里北大路54巷20號,"24.8130697,120.9719441",58.0,第二分局,
一般住宅,FNA00083,復中里,新竹市東區復中里民生路231號,"24.8119899,120.9754471",57.0,第二分局,
一般住宅,FNA00084,復中里,新竹市東區復中里經國路一段521號,"24.814773,120.9781282",48.0,第二分局,
一般住宅,FNA00085,文華里,新竹市東區文華里田美三街22巷6弄28號,"24.8155464,120.9773092",173.0,第二分局,
一般住宅,FNA00086,復興里,新竹市東區復興里經國路一段409巷11號,"24.8141626,120.9779083",133.0,第二分局,
一般住宅,FNA00087,復興里,新竹市東區復興里經國路一段379巷42號,"24.8132232,120.9797743",410.0,第二分局,
一般住宅,FNA00088,復興里,新竹市東區復興里中央路356號,"24.8107939,120.9790972",164.0,第二分局,
供公眾使用建築物,FNA00089,文華里,新竹市東區文華里田美三街2號,"24.8148232,120.9771424",673.0,第二分局,
一般住宅,FNA00090,復中里,新竹市東區復中里民權路99號,"24.8075441,120.975213",102.0,第二分局,
一般住宅,FNA00091,復興里,新竹市東區復興里7鄰民主路182號,"24.8130489,120.9778857",46.0,第二分局,
一般住宅,FNA00092,復興里,新竹市東區復興里民主路184號,"24.8131275,120.9778897",46.0,第二分局,
一般住宅,FNA00093,錦華里,新竹市東區錦華里民生路286號,"24.8130731,120.9749177",50.0,第二分局,
一般住宅,FNA00094,錦華里,新竹市東區錦華里民生路290號,"24.8131561,120.9748547",50.0,第二分局,
一般住宅,FNA00095,復興里,新竹市東區復興里7鄰自由路95巷38弄25號,"24.8131344,120.9784171",85.0,第二分局,
一般住宅,FNA00096,錦華里,新竹市東區錦華里民生路288號,"24.8131158,120.9748829",53.0,第二分局,
一般住宅,FNA00097,復興里,新竹市東區復興里自由路95巷38弄28號,"24.8133006,120.9784918",85.0,第二分局,
一般住宅,FNA00098,復興里,新竹市東區復興里民主路176號,"24.8129569,120.9780479",93.0,第二分局,
一般住宅,FNA00099,復興里,新竹市東區復興里民主路178號,"24.8128936,120.9780752",93.0,第二分局,
一般住宅,FNA00100,文華里,新竹市東區文華里光華街10號,"24.8134876,120.9729724",97.0,第二分局,
一般住宅,FNA00101,文華里,新竹市東區文華里光華街36號,"24.8150428,120.9725791",62.0,第二分局,
一般住宅,FNA00102,文華里,新竹市東區文華里經國路一段355巷2號,"24.8145853,120.9804461",177.0,第二分局,
一般住宅,FNA00103,復興里,新竹市東區復興里經國路一段379巷10弄27號,"24.8136173,120.9784896",84.0,第二分局,
一般住宅,FNA00104,復興里,新竹市東區復興里經國路一段333號,"24.8145091,120.981864",89.0,第二分局,
一般住宅,FNA00105,復興里,新竹市東區復興里經國路一段379巷10弄29號,"24.813586,120.9784431",173.0,第二分局,
一般住宅,FNA00106,復興里,新竹市東區復興里中央路329號,"24.811153,120.978909",18.0,第二分局,
一般住宅,FNA00107,復興里,新竹市東區復興里自由路95巷38弄34號,"24.8133947,120.9784733",126.0,第二分局,
一般住宅,FNA00108,復興里,新竹市東區復興里經國路一段379巷10弄20號,"24.8137163,120.9786485",385.0,第二分局,
一般住宅,FNA00109,文華里,新竹市東區文華里田美三街13號,"24.8152375,120.9768102",102.0,第二分局,
一般住宅,FNA00110,文華里,新竹市東區文華里北大路28-2號,"24.8131389,120.9731939",26.0,第二分局,
一般住宅,FNA00111,錦華里,新竹市東區錦華里北大路11號,"24.8133252,120.973957",77.0,第二分局,
一般住宅,FNA00112,復興里,新竹市東區復興里自由路95巷18弄10號,"24.8133321,120.9794361",65.0,第二分局,
一般住宅,FNA00113,文華里,新竹市東區文華里北大路92巷28號,"24.8127069,120.969577",340.0,第二分局,
一般住宅,FNA00114,復中里,新竹市東區復中里民生路70巷16號,"24.8085463,120.9782461",89.0,第二分局,
一般住宅,FNA00115,復興里,新竹市東區復興里經國路一段379巷35號,"24.813661,120.979865",52.0,第二分局,
一般住宅,FNA00116,文華里,新竹市東區文華里光華街5號,"24.8133391,120.9727339",69.0,第二分局,
一般住宅,FNA00117,復中里,新竹市東區復中里中央路172號,"24.808515,120.9737324",65.0,第二分局,
一般住宅,FNA00118,復興里,新竹市東區復興里自由路95巷38弄24號,"24.8132263,120.9785581",58.0,第二分局,
一般住宅,FNA00119,復興里,新竹市東區復興里自由路95巷28弄26號,"24.8128274,120.9792412",58.0,第二分局,
一般住宅,FNA00120,復興里,新竹市東區復興里95巷38弄30號,"24.8138098,120.9786949",58.0,第二分局,
一般住宅,FNA00121,復興里,新竹市東區復興里95巷38弄22號,"24.8131601,120.9797451",57.0,第二分局,
一般住宅,FNA00122,文華里,新竹市東區文華里北大路22號,"24.8133,120.9734842",192.0,第二分局,
一般住宅,FNA00123,復中里,新竹市東區復中里民生路260巷1弄7-1號,"24.8129845,120.9753801",177.0,第二分局,
一般住宅,FNA00124,復興里,新竹市東區復興里自由路95巷38弄28號,"24.8133006,120.9784918",58.0,第二分局,
一般住宅,FNA00125,文華里,新竹市東區文華里北大路24號,"24.8131918,120.9733329",78.0,第二分局,
一般住宅,FNA00126,文華里,新竹市東區文華里北大路24之2號,"24.8132327,120.9733785",36.0,第二分局,
一般住宅,FNA00127,錦華里,新竹市東區錦華里北大路19號,"24.8131555,120.973552",121.0,第二分局,
一般住宅,FNA00128,復中里,新竹市東區復中里民生路199號,"24.8116415,120.975714",74.0,第二分局,
一般住宅,FNA00129,文華里,新竹市東區文華里光華街9號,"24.8135125,120.972672",85.0,第二分局,
一般住宅,FNA00130,復興里,新竹市東區復興里經國路一段379巷10弄28號,"24.8136046,120.9781503",337.0,第二分局,
一般住宅,FNA00131,復興里,新竹市東區復興里7鄰自由路95巷18弄2號,"24.812982,120.9793923",273.0,第二分局,
一般住宅,FNA00132,錦華里,新竹市東區錦華里北大路23號,"24.8130478,120.9735587",29.0,第二分局,
一般住宅,FNA00134,復中里,新竹市東區復中里民生路223號,"24.8118639,120.9755576",82.0,第二分局,
一般住宅,FNA00135,復中里,新竹市東區復中里民生路221號,"24.8118286,120.9755851",74.0,第二分局,
一般住宅,FNA00136,復興里,新竹市東區復興里經國路一段452號,"24.8149891,120.979354",220.0,第二分局,
一般住宅,FNA00137,復中里,新竹市東區復中里民生路225號,"24.8119,120.9755285",54.0,第二分局,
一般住宅,FNA00138,復中里,新竹市東區復中里民權路204號,"24.8104095,120.9734677",708.0,第二分局,
一般住宅,FNA00139,文華里,新竹市東區文華里北大路54巷4號,"24.812802,120.972324",180.0,第二分局,
一般住宅,FNA00140,文華里,新竹市東區文華里田美三街22巷6弄20號,"24.8155464,120.9773092",40.0,第二分局,
一般住宅,FNA00141,文華里,新竹市東區文華里北大路70巷6號,"24.8120356,120.9710783",157.0,第二分局,
一般住宅,FNA00142,文華里,新竹市東區文華里田美三街22巷2弄5號,"24.8155447,120.9772879",53.0,第二分局,
一般住宅,FNA00143,復興里,新竹市東區復興里經國路一段379巷21號,"24.8138251,120.979728",50.0,第二分局,
一般住宅,FNA00144,復興里,新竹市東區復興里自由路95巷38弄32號,"24.8133658,120.9784265",121.0,第二分局,
一般住宅,FNA00145,復興里,新竹市東區復興里自由路95巷38弄29號,"24.8132106,120.9783548",142.0,第二分局,
一般住宅,FNA00146,復興里,新竹市東區復興里民主路193號,"24.813179,120.977445",78.0,第二分局,
一般住宅,FNA00147,復興里,新竹市東區復興里中央路331巷3號,"24.8114487,120.9785116",109.0,第二分局,
一般住宅,FNA00148,復興里,新竹市東區復興里經國路一段379巷9號,"24.8141046,120.9793606",313.0,第二分局,
供公眾使用建築物,FNA00149,復中里,新竹市東區復中里中央路189號,"24.8086788,120.9735433",846.0,第二分局,
一般住宅,FNA00150,復中里,新竹市東區復中里7鄰中央路239號,"24.8098161,120.9751319",31299.0,第二分局,
一般住宅,FNA00151,復中里,新竹市東區復中里民生路115號,"24.8100129,120.9770254",330.0,第二分局,
供公眾使用建築物,FNA00152,豐功里,新竹市東區豐功里1鄰公道五路二段415號,"24.8034577,120.9960335",13613.0,第二分局,
一般住宅,FNA00153,錦華里,新竹市東區錦華里民生路287號,"24.8133978,120.9743792",260.0,第二分局,
公有建築物,FNA00154,文華里,新竹市東區文華里北大路94號,"24.8113456,120.9703661",257.0,第二分局,
一般住宅,FNA00155,文華里,新竹市東區文華里光華街27巷1號,"24.8145131,120.972115",61.0,第二分局,
一般住宅,FNA00156,文華里,新竹市東區文華里田美二街27號,"24.8150969,120.9733815",41.0,第二分局,
一般住宅,FNA00157,文華里,新竹市東區文華里田美三街5巷90號,"24.8150707,120.9758852",98.0,第二分局,
一般住宅,FNA00158,復中里,新竹市東區復中里中央路162巷1號,"24.8080654,120.9735816",449.0,第二分局,
一般住宅,FNA00160,復中里,新竹市東區復中里中央路210號,"24.8089451,120.974862",193.0,第二分局,
一般住宅,FNA00162,復興里,新竹市東區復興里自由路105號,"24.813916,120.979948",117.0,第二分局,
一般住宅,FNA00163,文華里,新竹市東區文華里田美三街38號,"24.8159491,120.977354",565.0,第二分局,
一般住宅,FNA00164,復興里,新竹市東區復興里自由路109號,"24.814054,120.9797001",458.0,第二分局,
一般住宅,FNA00165,復中里,新竹市東區復中里民生路150號,"24.8105662,120.9768514",258.0,第二分局,
一般住宅,FNA00166,復中里,新竹市東區復中里民生路203、205號,"24.8114357,120.9759014",37.0,第二分局,
一般住宅,FNA00167,復中里,新竹市東區復中里民生路104號,"24.8095409,120.9776783",281.0,第二分局,
一般住宅,FNA00168,錦華里,新竹市東區錦華里中央路183號,"24.8085768,120.9732949",220.0,第二分局,
一般住宅,FNA00169,復中里,新竹市東區復中里民生路170巷13、15號,"24.811387,120.9771388",484.0,第二分局,
一般住宅,FNA00170,復中里,新竹市東區復中里民生路220號,"24.811935,120.975807",64.0,第二分局,
一般住宅,FNA00171,復中里,新竹市東區復中里民生路268號,"24.8129318,120.9751533",197.0,第二分局,
一般住宅,FNA00172,復中里,新竹市東區復中里民生路211巷1-15號,"24.8113299,120.9754823",170.0,第二分局,
一般住宅,FNA00173,復興里,新竹市東區復興里經國路一段412-416號,"24.8148693,120.9805867",26.0,第二分局,
一般住宅,FNA00174,文華里,新竹市東區文華里經國路一段517號,"24.814773,120.9781282",232.0,第二分局,
一般住宅,FNA00175,復中里,新竹市東區復中里錦華街18巷4號,"24.809329,120.973124",34.0,第二分局,
一般住宅,FNA00176,錦華里,新竹市東區錦華里世界街9巷2號,"24.8104738,120.9721364",24.0,第二分局,
一般住宅,FNA00177,復興里,新竹市東區復興里經國路339號,"24.81456,120.981372",113.0,第二分局,
一般住宅,FNA00178,復興里,新竹市東區復興里經國路一段466號,"24.8147588,120.9787632",33.0,第二分局,
一般住宅,FNA00179,復中里,新竹市東區復中里民生路33、35號,"24.8078177,120.9787041",110.0,第二分局,
一般住宅,FNA00180,文華里,新竹市東區文華里北大路70巷21號,"24.8122137,120.970833",62.0,第二分局,
一般住宅,FNA00181,文華里,新竹市東區文華里北大路72巷15號,"24.8117698,120.971089",81.0,第二分局,
一般住宅,FNA00182,文華里,新竹市東區文華里北大路70巷15號,"24.8122159,120.9708364",37.0,第二分局,
一般住宅,FNA00183,復中里,新竹市東區復中里民生路170巷22-32號,"24.8112751,120.9772093",261.0,第二分局,
一般住宅,FNA00184,復中里,新竹市東區復中里民權路167號,"24.8092602,120.9740477",352.0,第二分局,
一般住宅,FNA00185,復中里,新竹市東區復中里錦華街18巷19號,"24.809737,120.973166",24.0,第二分局,
公有建築物,FNA00186,綠水里,新竹市東區綠水里10鄰光復路二段321號,"24.8004074,120.9883064",24.0,第二分局,
一般住宅,FNA00187,復中里,新竹市東區復中里民生路105號,"24.809516,120.9773678",48.0,第二分局,
一般住宅,FNA00188,文華里,新竹市東區文華里北大路40巷1號,"24.8129433,120.9725852",36.0,第二分局,
一般住宅,FNA00189,富豐里,新竹市東區富豐里中華路一段384巷6弄21號,"24.8127404,120.9853359",68.0,第二分局,
一般住宅,FNA00190,復中里,新竹市東區復中里民生路170巷39、41號,"24.8113658,120.9771548",218.0,第二分局,
一般住宅,FNA00191,復中里,新竹市東區復中里民生路155、157、159號,"24.8104363,120.9766205",40.0,第二分局,
一般住宅,FNA00192,復中里,新竹市東區復中里錦華街40號,"24.810116,120.972135",77.0,第二分局,
一般住宅,FNA00193,復中里,新竹市東區復中里民生路18巷135號,"24.8076086,120.9792339",29.0,第二分局,
一般住宅,FNA00194,文華里,新竹市東區文華里光華街27巷2、4號,"24.8147497,120.9722322",116.0,第二分局,
一般住宅,FNA00195,復中里,新竹市東區復中里民生路194號,"24.811425,120.976359",328.0,第二分局,
一般住宅,FNA00196,文華里,新竹市東區文華里北大路90號,"24.8115012,120.9705936",449.0,第二分局,
一般住宅,FNA00197,復中里,新竹市東區復中里中央路323號,"24.8109962,120.9788807",129.0,第二分局,
一般住宅,FNA00198,復興里,新竹市東區復興里經國路一段379巷29,"24.8137851,120.979765",276.0,第二分局,
一般住宅,FNA00199,文華里,新竹市東區文華里田美三街32號,"24.8157537,120.9770598",542.0,第二分局,
一般住宅,FNA00200,文華里,新竹市東區文華里光華街16號,"24.8137252,120.9728652",222.0,第二分局,
一般住宅,FNA00201,復興里,新竹市東區復興里經國路一段379巷5號,"24.814334,120.979312",330.0,第二分局,
一般住宅,FNA00202,復中里,新竹市東區復中里中央路181號,"24.808708,120.972956",246.0,第二分局,
一般住宅,FNA00203,錦華里,新竹市東區錦華里民生路279號,"24.8130842,120.9746122",348.0,第二分局,
一般住宅,FNA00204,復興里,新竹市東區復興里自由路95巷18弄5、7號,"24.813053,120.979047",261.0,第二分局,
公有建築物,FNA00205,復中里,新竹市東區復中里民權路216巷11弄7號,"24.8109752,120.9734434",740.0,第二分局,
一般住宅,FNA00206,文華里,新竹市東區文華里北大路92巷20號,"24.8122128,120.969966",364.0,第二分局,
一般住宅,FNA00207,復中里,新竹市東區復中里錦華街6號,"24.808847,120.9730674",360.0,第二分局,
一般住宅,FNA00208,錦華里,新竹市東區錦華里北大路5號,"24.8134084,120.9740769",702.0,第二分局,
一般住宅,FNA00209,復中里,新竹市東區復中里民生路160號,"24.8107489,120.9767674",284.0,第二分局,
一般住宅,FNA00210,復中里,新竹市東區復中里中央路318號,"24.8103921,120.9783156",352.0,第二分局,
一般住宅,FNA00211,復中里,新竹市東區復中里民權路229號,"24.8119884,120.9718697",162.0,第二分局,
一般住宅,FNA00212,復興里,新竹市東區復興里自由路67號,"24.8130109,120.9806973",206.0,第二分局,
一般住宅,FNA00213,復興里,新竹市東區復興里中央路342號,"24.8106024,120.9788151",120.0,第二分局,
一般住宅,FNA00214,復興里,新竹市東區復興里經國路一段393號,"24.814363,120.9784988",473.0,第二分局,
一般住宅,FNA00215,復中里,新竹市東區復中里中央路281巷28號,"24.8113938,120.9772507",2502.0,第二分局,
一般住宅,FNA00216,文華里,新竹市東區文華里北大路57號,"24.8123473,120.9724128",237.0,第二分局,
一般住宅,FNA00217,復興里,新竹市東區復興里中央路331巷68號,"24.8119618,120.9776217",1210.0,第二分局,
一般住宅,FNA00218,復中里,新竹市東區復中里民生路233號,"24.812027,120.9754428",1408.0,第二分局,
一般住宅,FNA00219,文華里,新竹市東區文華里經國路一段688號0,"24.8144982,120.973488",148.0,第二分局,
一般住宅,FNA00220,文華里,新竹市東區文華里光華南街8號,"24.8153373,120.9756832",250.0,第二分局,
一般住宅,FNA00221,復中里,新竹市東區復中里民生路11號,"24.8073072,120.9793969",237.0,第二分局,
一般住宅,FNA00222,復中里,新竹市東區復中里中央路174號,"24.8085515,120.9738059",348.0,第二分局,
一般住宅,FNA00223,復興里,新竹市東區復興里民主路211號,"24.813554,120.97721",361.0,第二分局,
一般住宅,FNA00224,復興里,新竹市東區復興里民主路253號,"24.8140382,120.9769535",724.0,第二分局,
一般住宅,FNA00225,復中里,新竹市東區復中里中央路172號,"24.808515,120.9737324",162.0,第二分局,
一般住宅,FNA00226,復中里,新竹市東區復中里民權路136號,"24.8083705,120.9748061",284.0,第二分局,
一般住宅,FNA00227,復中里,新竹市東區復中里民生路126號,"24.8101055,120.9772641",749.0,第二分局,
一般住宅,FNA00228,復興里,新竹市東區復興里民主路154、156號,"24.8125396,120.9784124",638.0,第二分局,
一般住宅,FNA00229,復中里,新竹市東區復中里民生路168號,"24.8109494,120.9766076",229.0,第二分局,
一般住宅,FNA00230,復中里,新竹市東區復中里民權路227號,"24.811825,120.971911",129.0,第二分局,
一般住宅,FNA00231,文華里,新竹市東區文華里經國路一段680號,"24.8144241,120.9738119",201.0,第二分局,
一般住宅,FNA00232,復中里,新竹市東區復中里民生路154號,"24.8106277,120.9768492",146.0,第二分局,
一般住宅,FNA00233,文華里,新竹市東區文華里北大路40巷18號,"24.8137076,120.9721594",125.0,第二分局,
一般住宅,FNA00234,復中里,新竹市東區復中里民生路247號,"24.8123206,120.9751701",1706.0,第二分局,
一般住宅,FNA00235,文華里,新竹市東區文華里北大路22號,"24.8133,120.9734842",922.0,第二分局,
一般住宅,FNA00236,文華里,新竹市東區文華里經國路一段526號,"24.8145944,120.9763838",5040.0,第二分局,
一般住宅,FNA00237,文華里,新竹市東區文華里經國路一段682號,"24.8144396,120.9737065",262.0,第二分局,
一般住宅,FNA00238,文華里,新竹市東區文華里經國路一段678號,"24.8144507,120.974406",397.0,第二分局,
公有建築物,FNA00239,復興里,新竹市東區復興里經國路95巷15號,"24.8151466,120.9896593",880.0,第二分局,
一般住宅,FNA00240,復中里,新竹市東區復中里民生路202號,"24.8116944,120.9760133",636.0,第二分局,
一般住宅,FNA00241,復中里,新竹市東區復中里民生路253號,"24.8124673,120.9750345",1142.0,第二分局,
一般住宅,FNA00242,復中里,新竹市東區復中里民生路106號,"24.8095713,120.9776513",550.0,第二分局,
一般住宅,FNA00243,文華里,新竹市東區文華里北大路38號,"24.8128611,120.972843",828.0,第二分局,
一般住宅,FNA00244,復興里,新竹市東區復興里三民路121號,"24.81026,120.9788",246.0,第二分局,
一般住宅,FNA00245,光復里,新竹市東區光復里8鄰東勢街111號,"24.8044454,120.9896259",42.0,第二分局,
一般住宅,FNA00246,東園里,新竹市東區東園里13鄰公園路103號,"24.7995487,120.9757013",36.0,第二分局,
一般住宅,FNA00247,東山里,新竹市東區東山里3鄰東山街6號-3,"24.7956443,120.9805507",81.0,第二分局,
公有建築物,FNA00248,東園里,新竹市東區東園里13鄰公園路40號,"24.7995691,120.9757058",557.0,第二分局,
