類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
秦榮公司,OMA00119,嘉芳里,臺南市新營區嘉芳里6鄰新芳街14號,"23.308160,120.282861",1.0,115.0,
統亞公司,OMA00120,嘉芳里,臺南市新營區嘉芳里6鄰新圳路2號,"23.301130,120.28419",1.0,61.0,
新名慶公司,OMA00121,嘉芳里,臺南市新營區嘉芳里6鄰新業街2號,"23.304904,120.283869",1.0,39.0,
立宇公司,OMA00122,嘉芳里,臺南市新營區嘉芳里6鄰新工路31號,"23.302910,120.281872",1.0,36.0,
正昇公司,OMA00123,嘉芳里,臺南市新營區嘉芳里6鄰忠孝路12號,"23.301850,120.28249",1.0,287.0,
高奕順公司,OMA00124,嘉芳里,臺南市新營區嘉芳里6鄰新工路16號,"23.306450,120.281781",1.0,132.0,
統義玻璃公司,OMA00125,嘉芳里,臺南市新營區嘉芳里6鄰新工路36號,"23.30265,120.281532",1.0,1340.0,
長榮鋼鐵,OMA00126,橋南里,臺南市鹽水區橋南里14鄰八德路66號,"23.305458,120.274576",1.0,1620.0,
年冠實業,OMA00127,太北里,臺南市新營區太北里9鄰忠孝路53號,"23.302040,120.274790",1.0,231.0,
鳳神大樓,OMA00128,嘉芳里,臺南市新營區嘉芳里2鄰復興路1074巷28號,"23.311335,120.277801",1.0,303.0,
鼎雲有限公司,OMA00129,橋南里,臺南市鹽水區橋南里14鄰八德路47號,"23.303923,120.274133",1.0,260.0,
仁澤公司,OMA00130,嘉芳里,臺南市新營區嘉芳里6鄰新工路7號,"23.308420,120.282158",1.0,175.0,
華業公司,OMA00131,嘉芳里,臺南市新營區嘉芳里6鄰忠孝路7號,"23.301559,120.283139",1.0,111.0,
南陽實業,OMA00132,嘉芳里,臺南市新營區嘉芳里6鄰復興路1137號,"23.310279,120.276926",1.0,449.0,
中連貨運,OMA00133,嘉芳里,臺南市新營區嘉芳里6鄰四維路24號,"23.30808,120.277962",1.0,487.0,
文慶出版社,OMA00134,嘉芳里,臺南市新營區嘉芳里6鄰新工路15號,"23.306260,120.282201",1.0,251.0,
同富大理石,OMA00135,嘉芳里,臺南市新營區嘉芳里6鄰四維路3號,"23.307289,120.280959",1.0,69.0,
瑞一公司,OMA00136,嘉芳里,臺南市新營區嘉芳里6鄰五福路13號,"23.305140,120.28303",1.0,144.0,
年冠機械公司,OMA00137,嘉芳里,臺南市新營區嘉芳里6鄰新芳街16號,"23.30865,120.28276",1.0,17.0,
丙安科技公司,OMA00138,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街6號,"23.308610,120.279338",1.0,28.0,
長榮重工,OMA00139,嘉芳里,臺南市新營區嘉芳里2鄰復興路1062號,"23.310343,120.278508",1.0,869.0,
偉得電子公司,OMA00140,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街1號,"23.309173,120.27964",1.0,19.0,
領先汽車公司,OMA00141,嘉芳里,臺南市新營區嘉芳里6鄰復興路1129之1號,"23.310008,120.278875",1.0,36.0,
聲揚公司,OMA00142,嘉芳里,臺南市新營區嘉芳里6鄰五福路106號,"23.30566,120.282732",1.0,645.0,
國璋公司,OMA00143,嘉芳里,臺南市新營區嘉芳里6鄰新工路5號,"23.30884,120.281899",1.0,35.0,
新東益公司,OMA00144,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街3號,"23.308599,120.27963",1.0,59.0,
