電腦編號,座落,緯度,經度,地下樓層數,可容納人數,轄管分局,placemark_address
TOA0012,宜蘭縣礁溪鄉德陽村德陽路221號,24.826795,121.765076,1.0,485.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路221號
TOA0013,宜蘭縣礁溪鄉大忠村礁溪路4段108號,24.8202789,121.7694026,1.0,564.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路4段108號
TOA0014,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號,24.8303506,121.7716319,1.0,1916.0,礁溪分局,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號
TOA0015,宜蘭縣礁溪鄉玉石村忠孝路8號,24.8295364,121.7718989,1.0,873.0,礁溪分局,宜蘭縣礁溪鄉玉石村忠孝路8號
TOA0016,宜蘭縣礁溪鄉六結村中山路二段3號,24.8235251,121.7712478,1.0,1176.0,礁溪分局,宜蘭縣礁溪鄉六結村中山路二段3號
TOA0017,宜蘭縣礁溪鄉德陽村溫泉路53號,24.8279498,121.7737093,2.0,1181.0,礁溪分局,宜蘭縣礁溪鄉德陽村溫泉路53號
TOA0018,宜蘭縣礁溪鄉德陽村德陽路111巷16號,24.82845,121.76913,1.0,2561.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路111巷16號
TOA0019,宜蘭縣礁溪鄉大忠村五峰路41之1號,24.8271045,121.7600158,1.0,49.0,礁溪分局,宜蘭縣礁溪鄉大忠村五峰路41之1號
TOA0020,宜蘭縣礁溪鄉大忠村化龍街22號,24.8228365,121.7671314,1.0,287.0,礁溪分局,宜蘭縣礁溪鄉大忠村化龍街22號
TOA0021,宜蘭縣礁溪鄉大忠村五峰路69號,24.8281759,121.7555617,2.0,643.0,礁溪分局,宜蘭縣礁溪鄉大忠村五峰路69號
TOA0022,宜蘭縣礁溪鄉大忠村和平路93號,24.823077,121.767035,1.0,734.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路93號
TOA0023,宜蘭縣礁溪鄉大忠村化龍街1號,24.8209259,121.7667129,1.0,737.0,礁溪分局,宜蘭縣礁溪鄉大忠村化龍街1號
TOA0024,宜蘭縣礁溪鄉大忠村大忠路125號,24.8211981,121.766194,1.0,451.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路125號
TOA0025,宜蘭縣礁溪鄉大忠村和平路110號,24.8234005,121.7667162,1.0,2130.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路110號
TOA0026,宜蘭縣礁溪鄉玉石村礁溪路5段121號,24.8293544,121.7765162,1.0,320.0,礁溪分局,宜蘭縣礁溪鄉玉石村礁溪路5段121號
TOA0027,宜蘭縣礁溪鄉玉石村公園路25號,24.8302212,121.7759213,1.0,190.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路25號
TOA0028,宜蘭縣礁溪鄉六結村中山路1段175之1號,24.8210374,121.7707213,1.0,583.0,礁溪分局,宜蘭縣礁溪鄉六結村中山路1段175之1號
TOA0029,宜蘭縣礁溪鄉六結村礁溪路4段130號,24.8216061,121.769908,1.0,648.0,礁溪分局,宜蘭縣礁溪鄉六結村礁溪路4段130號
TOA0030,宜蘭縣礁溪鄉德陽村礁溪路5段112號,24.8273933,121.7722638,4.0,2241.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路5段112號
TOA0031,宜蘭縣礁溪鄉德陽村礁溪路5段156號,24.8285331,121.7738388,1.0,723.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路5段156號
TOA0032,宜蘭縣礁溪鄉德陽村德陽路6號,24.8277712,121.7728304,1.0,337.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路6號
TOA0033,宜蘭縣礁溪鄉德陽村仁愛路26號,24.8283129,121.7705068,1.0,387.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路26號
TOA0034,宜蘭縣礁溪鄉德陽村礁溪路5段92號,24.826875,121.77188,1.0,828.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路5段92號
TOA0035,宜蘭縣礁溪鄉德陽村中山路2段187號,24.828246,121.775055,1.0,1496.0,礁溪分局,宜蘭縣礁溪鄉德陽村中山路2段187號
TOA0036,宜蘭縣礁溪鄉德陽村德陽路43號,24.8282884,121.7719988,1.0,482.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路43號
TOA0037,宜蘭縣礁溪鄉德陽村德陽路65號,24.8286092,121.771498,1.0,197.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路65號
TOA0038,宜蘭縣礁溪鄉德陽村中山路2段159號,24.8273211,121.774083,1.0,584.0,礁溪分局,宜蘭縣礁溪鄉德陽村中山路2段159號
TOA0039,宜蘭縣礁溪鄉德陽村仁愛路64號,24.8269051,121.769653,2.0,921.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路64號
TOA0040,宜蘭縣礁溪鄉德陽村德陽路24巷8號,24.8287589,121.7724817,1.0,1288.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路24巷8號
TOA0041,宜蘭縣礁溪鄉德陽村德陽路16號,24.8281997,121.772356,1.0,477.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路16號
TOA0042,宜蘭縣礁溪鄉大忠村和平路85號,24.8230156,121.7674741,1.0,619.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路85號
TOA0043,宜蘭縣礁溪鄉大忠村大忠路118號,24.8253401,121.7640055,1.0,1797.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路118號
TOA0044,宜蘭縣礁溪鄉大忠村大忠路142號,24.8258231,121.7636415,1.0,341.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路142號
TOA0045,宜蘭縣礁溪鄉德陽村溫泉路37號,24.8277366,121.7741065,1.0,1153.0,礁溪分局,宜蘭縣礁溪鄉德陽村溫泉路37號
TOA0046,宜蘭縣礁溪鄉德陽村仁愛路110號,24.8259396,121.7684077,1.0,732.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路110號
TOA0047,宜蘭縣礁溪鄉德陽村仁愛路156巷1號,24.825054,121.7673414,3.0,5986.0,礁溪分局,宜蘭縣礁溪鄉德陽村仁愛路156巷1號
TOA0048,宜蘭縣礁溪鄉德陽村德陽路176號,24.8289392,121.7686331,1.0,2552.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路176號
TOA0049,宜蘭縣礁溪鄉德陽村大忠路187號,24.8235177,121.7646226,1.0,572.0,礁溪分局,宜蘭縣礁溪鄉德陽村大忠路187號
TOA0050,宜蘭縣礁溪鄉德陽村德陽路200之1號,24.8272147,121.7650298,1.0,1597.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路200之1號
TOA0051,宜蘭縣礁溪鄉德陽村德陽路150號,24.8288597,121.7672528,1.0,261.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路150號
TOA0052,宜蘭縣礁溪鄉大忠村大忠路100號,24.824672,121.764493,1.0,1161.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路100號
TOA0053,宜蘭縣礁溪鄉大忠村大忠路98號,24.823859,121.7647644,1.0,353.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路98號
TOA0054,宜蘭縣礁溪鄉大忠村大忠路96號,24.8241644,121.7645771,1.0,2061.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路96號
TOA0055,宜蘭縣礁溪鄉德陽村德陽路243號,24.8264311,121.7642689,1.0,493.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路243號
TOA0056,宜蘭縣礁溪鄉玉石村礁溪路六段6號,24.8293636,121.7770252,1.0,615.0,礁溪分局,宜蘭縣礁溪鄉玉石村礁溪路六段6號
TOA0057,宜蘭縣礁溪鄉大忠村大忠路209號,24.8251193,121.7637913,2.0,4486.0,礁溪分局,宜蘭縣礁溪鄉大忠村大忠路209號
TOA0058,宜蘭縣礁溪鄉玉石村公園路70巷39弄9號,24.8332862,121.7755947,1.0,2245.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路70巷39弄9號
TOA0059,宜蘭縣礁溪鄉德陽村德陽路62巷11號,24.829878,121.769586,1.0,1461.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路62巷11號
TOA0060,宜蘭縣礁溪鄉玉石村健康一街56號,24.8298037,121.7746051,2.0,2529.0,礁溪分局,宜蘭縣礁溪鄉玉石村健康一街56號
TOA0061,宜蘭縣礁溪鄉德陽村忠孝路1巷1-3號,24.830205,121.7707852,1.0,703.0,礁溪分局,宜蘭縣礁溪鄉德陽村忠孝路1巷1-3號
TOA0100,宜蘭縣礁溪鄉六結村中山路一段241巷20號,24.823028,121.771095,1.0,167.0,礁溪分局,宜蘭縣礁溪鄉六結村中山路一段241巷20號
TOA0101,宜蘭縣礁溪鄉玉石村公園路86巷21號,24.832941,121.77452,1.0,877.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路86巷21號
TOA0102,宜蘭縣礁溪鄉德陽村德陽路173號,24.8284047,121.7670145,1.0,836.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路173號
TOA0103,宜蘭縣礁溪鄉德陽村德陽路174號,24.827915,121.765231,1.0,572.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路174號
TOA0104,宜蘭縣礁溪鄉大忠村礁溪路四段78號,24.8196982,121.7691944,1.0,632.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路四段78號
TOA0105,宜蘭縣礁溪鄉玉石村公園路89號,24.8322816,121.7745806,1.0,291.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路89號
TOA0106,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號,24.8303506,121.7716319,1.0,1916.0,礁溪分局,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號
TOA0107,宜蘭縣礁溪鄉大忠村和平路91號,24.8230907,121.7671969,1.0,263.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路91號
TOA0108,宜蘭縣礁溪鄉德陽村中山路二段136巷2號,24.8257969,121.773305,1.0,508.0,礁溪分局,宜蘭縣礁溪鄉德陽村中山路二段136巷2號
TOA0109,宜蘭縣礁溪鄉時潮村塭底路107號,24.814949,121.812726,1.0,2250.0,礁溪分局,宜蘭縣礁溪鄉時潮村塭底路107號
TOA0110,宜蘭縣礁溪鄉大忠村礁溪路四段73號,24.819413,121.7687995,1.0,433.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路四段73號
TOA0111,宜蘭縣礁溪鄉大忠村和平路32號,24.822697,121.7689342,1.0,848.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路32號
TOA0112,宜蘭縣礁溪鄉德陽村興農路291巷1號,24.817626,121.7810256,1.0,807.0,礁溪分局,宜蘭縣礁溪鄉德陽村興農路291巷1號
TOA0113,宜蘭縣礁溪鄉德陽村礁溪路五段118號,24.8274963,121.7723803,1.0,1527.0,礁溪分局,宜蘭縣礁溪鄉德陽村礁溪路五段118號
TOA0078,宜蘭縣頭城鎮拔雅里復興路37巷27號,24.8628033,121.8157569,1.0,37.0,礁溪分局,宜蘭縣頭城鎮拔雅里復興路37巷27號
TOA0079,宜蘭縣頭城鎮新建里新興路111號,24.8508625,121.816746,1.0,530.0,礁溪分局,宜蘭縣頭城鎮新建里新興路111號
TOA0080,宜蘭縣頭城鎮拔雅里復興路61巷21弄2號,24.8632139,121.817111,1.0,585.0,礁溪分局,宜蘭縣頭城鎮拔雅里復興路61巷21弄2號
TOA0081,宜蘭縣頭城鎮拔雅里公園路136號,24.86189,121.82175,1.0,609.0,礁溪分局,宜蘭縣頭城鎮拔雅里公園路136號
TOA0082,宜蘭縣頭城鎮城北里西五巷3之1號,24.859545,121.824273,1.0,1741.0,礁溪分局,宜蘭縣頭城鎮城北里西五巷3之1號
TOA0083,宜蘭縣頭城鎮武營里開蘭路369號,24.8646209,121.828268,1.0,845.0,礁溪分局,宜蘭縣頭城鎮武營里開蘭路369號
TOA0084,宜蘭縣頭城鎮拔雅里吉祥路236巷1號,24.861942,121.814445,1.0,94.0,礁溪分局,宜蘭縣頭城鎮拔雅里吉祥路236巷1號
TOA0085,宜蘭縣頭城鎮城南里青雲路3段40號,24.854963,121.823368,1.0,638.0,礁溪分局,宜蘭縣頭城鎮城南里青雲路3段40號
TOA0086,宜蘭縣頭城鎮拔雅里吉祥路105號,24.8631292,121.80952,1.0,121.0,礁溪分局,宜蘭縣頭城鎮拔雅里吉祥路105號
TOA0087,宜蘭縣頭城鎮拔雅里吉祥路97號,24.861006,121.812724,1.0,208.0,礁溪分局,宜蘭縣頭城鎮拔雅里吉祥路97號
TOA0089,宜蘭縣頭城鎮拔雅里復興路79號,24.864118,121.8180393,1.0,694.0,礁溪分局,宜蘭縣頭城鎮拔雅里復興路79號
TOA0090,宜蘭縣頭城鎮武營里開蘭路283號,24.86262,121.82669,1.0,179.0,礁溪分局,宜蘭縣頭城鎮武營里開蘭路283號
TOA0093,宜蘭縣頭城鎮新建里新忠路20號,24.855691,121.818829,1.0,936.0,礁溪分局,宜蘭縣頭城鎮新建里新忠路20號
TOA0094,宜蘭縣頭城鎮新建里新興路111號,24.8508625,121.816746,1.0,2124.0,礁溪分局,宜蘭縣頭城鎮新建里新興路111號
TOA0095,宜蘭縣頭城鎮拔雅里復興路87號,24.864032,121.818324,1.0,661.0,礁溪分局,宜蘭縣頭城鎮拔雅里復興路87號
TOA0096,宜蘭縣頭城鎮城西里南門路2號,24.8560168,121.8229432,1.0,310.0,礁溪分局,宜蘭縣頭城鎮城西里南門路2號
TOA0098,宜蘭縣頭城鎮大坑里協天路676號,24.857726,121.8321161,1.0,872.0,礁溪分局,宜蘭縣頭城鎮大坑里協天路676號
TOA0114,宜蘭縣頭城鎮新建里新興路111號,24.8508625,121.816746,1.0,530.0,礁溪分局,宜蘭縣頭城鎮新建里新興路111號
TOA0115,宜蘭縣頭城鎮新建里新忠路47號,24.855387,121.818277,1.0,1003.0,礁溪分局,宜蘭縣頭城鎮新建里新忠路47號
TOA0116,宜蘭縣頭城鎮武營里青雲路三段515巷2號,24.866193,121.829079,1.0,1207.0,礁溪分局,宜蘭縣頭城鎮武營里青雲路三段515巷2號
TOA0099,宜蘭縣頭城鎮石城里濱海路7段33號,24.9696319,121.9252862,1.0,253.0,礁溪分局,宜蘭縣頭城鎮石城里濱海路7段33號
TOA0062,宜蘭縣礁溪鄉林美村林尾路160-1號,24.8162257,121.7220999,1.0,5728.0,礁溪分局,宜蘭縣礁溪鄉林美村林尾路160-1號
TOA0063,宜蘭縣礁溪鄉林美村林尾路180-11號,24.8218937,121.7290246,1.0,893.0,礁溪分局,宜蘭縣礁溪鄉林美村林尾路180-11號
TOA0119,宜蘭縣礁溪鄉三民村十六結路100號,24.8130527,121.7599778,1.0,1135.0,礁溪分局,宜蘭縣礁溪鄉三民村十六結路100號
TOA0064,宜蘭縣礁溪鄉吳沙村育英路79號,24.7860524,121.7590951,1.0,122.0,礁溪分局,宜蘭縣礁溪鄉吳沙村育英路79號
TOA0065,宜蘭縣礁溪鄉玉光村瑪僯路26-3號,24.793754,121.7667676,1.0,221.0,礁溪分局,宜蘭縣礁溪鄉玉光村瑪僯路26-3號
TOA0066,宜蘭縣礁溪鄉光武村武暖路80之8號,24.7821716,121.7775994,1.0,1430.0,礁溪分局,宜蘭縣礁溪鄉光武村武暖路80之8號
TOA0067,宜蘭縣礁溪鄉龍潭村漳福路155號,24.7909114,121.7400195,1.0,1269.0,礁溪分局,宜蘭縣礁溪鄉龍潭村漳福路155號
TOA0068,宜蘭縣礁溪鄉龍潭村漳福路155號,24.7905081,121.7400897,1.0,641.0,礁溪分局,宜蘭縣礁溪鄉龍潭村漳福路155號
TOA0069,宜蘭縣礁溪鄉龍潭村漳福路155號,24.7905081,121.7400897,1.0,505.0,礁溪分局,宜蘭縣礁溪鄉龍潭村漳福路155號
TOA0071,宜蘭縣礁溪鄉龍潭村漳福路155號,24.7909114,121.7400195,1.0,626.0,礁溪分局,宜蘭縣礁溪鄉龍潭村漳福路155號
TOA0072,宜蘭縣礁溪鄉龍潭村龍泉路189號,24.787497,121.745865,1.0,1908.0,礁溪分局,宜蘭縣礁溪鄉龍潭村龍泉路189號
TOA0118,宜蘭縣礁溪鄉龍潭村育龍路71號,24.7794243,121.7449665,1.0,641.0,礁溪分局,宜蘭縣礁溪鄉龍潭村育龍路71號
TOA0073,宜蘭縣壯圍鄉吉祥村壯五路130號,24.7457631,121.7876659,1.0,229.0,礁溪分局,宜蘭縣壯圍鄉吉祥村壯五路130號
TOA0074,宜蘭縣壯圍鄉吉祥村壯志路1號,24.746832,121.785759,1.0,126.0,礁溪分局,宜蘭縣壯圍鄉吉祥村壯志路1號
TOA0075,宜蘭縣壯圍鄉永鎮村永鎮路1號,24.7640631,121.815656,1.0,125.0,礁溪分局,宜蘭縣壯圍鄉永鎮村永鎮路1號
TQA0001,宜蘭縣蘇澳鎮蘇北里中原路200號,24.5994757,121.8479743,1.0,129.0,蘇澳分局,宜蘭縣蘇澳鎮蘇北里中原路200號
TQA0002,宜蘭縣蘇澳鎮蘇東里蘇東路6號,24.5956534,121.8556543,1.0,1616.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東路6號
TQA0003,宜蘭縣蘇澳鎮蘇東里蘇東北路2-67號,24.597846,121.85603,1.0,29.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-67號
TQA0004,宜蘭縣蘇澳鎮蘇東里蘇東北路2-67號,24.597846,121.85603,1.0,30.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-67號
TQA0005,宜蘭縣蘇澳鎮蘇東里蘇東北路2-69號,24.5978414,121.8560487,1.0,25.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-69號
TQA0006,宜蘭縣蘇澳鎮蘇東里蘇東北路2-70號,24.5980451,121.8559733,1.0,25.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-70號
TQA0007,宜蘭縣蘇澳鎮蘇東里蘇東北路2-71號,24.5978616,121.8556183,1.0,25.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-71號
TQA0008,宜蘭縣蘇澳鎮蘇東里蘇東北路2-72號,24.598017,121.8555476,1.0,43.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-72號
TQA0009,宜蘭縣蘇澳鎮蘇東里蘇東北路2-76號,24.5985388,121.8560758,1.0,33.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-76號
TQA0010,宜蘭縣蘇澳鎮蘇東里蘇東中路10號,24.5964188,121.8550084,1.0,1033.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東中路10號
TQA0011,宜蘭縣蘇澳鎮蘇東里蘇東北路2-63號,24.5980242,121.8562654,1.0,26.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-63號
TQA0012,宜蘭縣蘇澳鎮蘇東里蘇東北路2-64號,24.5982762,121.8550989,1.0,26.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-64號
TQA0013,宜蘭縣蘇澳鎮蘇東里蘇東北路2-65號,24.5980584,121.8562481,1.0,26.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-65號
TQA0014,宜蘭縣蘇澳鎮蘇東里蘇東北路2-66號,24.5982762,121.8550989,1.0,37.0,蘇澳分局,宜蘭縣蘇澳鎮蘇東里蘇東北路2-66號
TQA0016,宜蘭縣蘇澳鎮長安里成功路53號,24.5932863,121.8521765,1.0,37.0,蘇澳分局,宜蘭縣蘇澳鎮長安里成功路53號
TQA0019,宜蘭縣蘇澳鎮蘇北里太平路17號,24.5955728,121.8513324,1.0,212.0,蘇澳分局,宜蘭縣蘇澳鎮蘇北里太平路17號
TQA0022,宜蘭縣蘇澳鎮蘇西里蘇港路195號,24.5940881,121.8464549,1.0,797.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里蘇港路195號
TQA0024,宜蘭縣蘇澳鎮蘇西里中山路一段252號,24.596412,121.844551,1.0,183.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里中山路一段252號
TQA0025,宜蘭縣蘇澳鎮蘇北里中山路96號之1,24.5959569,121.8505713,1.0,311.0,蘇澳分局,宜蘭縣蘇澳鎮蘇北里中山路96號之1
TQA0026,宜蘭縣蘇澳鎮蘇北里冷泉路30號,24.5991318,121.8468361,1.0,83.0,蘇澳分局,宜蘭縣蘇澳鎮蘇北里冷泉路30號
TQA0027,宜蘭縣蘇澳鎮蘇西里志成路15巷15號,24.593029,121.8421854,1.0,165.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里志成路15巷15號
TQA0059,宜蘭縣蘇澳鎮聖湖里中山路一段427號,24.5959303,121.8398977,1.0,128.0,蘇澳分局,宜蘭縣蘇澳鎮聖湖里中山路一段427號
TQA0060,宜蘭縣蘇澳鎮聖湖里聖愛路12號,24.5970802,121.8360624,1.0,47.0,蘇澳分局,宜蘭縣蘇澳鎮聖湖里聖愛路12號
TQA0061,宜蘭縣蘇澳鎮聖湖里中山路二段1號,24.5963579,121.8354638,1.0,247.0,蘇澳分局,宜蘭縣蘇澳鎮聖湖里中山路二段1號
TQA0062,宜蘭縣蘇澳鎮聖湖里25鄰中山路二段1號,24.5963579,121.8354638,1.0,940.0,蘇澳分局,宜蘭縣蘇澳鎮聖湖里25鄰中山路二段1號
TQA0063,宜蘭縣蘇澳鎮聖湖里中山路二段235號,24.6095265,121.8262585,1.0,1423.0,蘇澳分局,宜蘭縣蘇澳鎮聖湖里中山路二段235號
TQA0073,宜蘭縣蘇澳鎮蘇西里中山路1段220號,24.595725,121.835978,1.0,580.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里中山路1段220號
TQA0074,宜蘭縣蘇澳鎮蘇西里中山路1段252號,24.595725,121.835978,1.0,306.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里中山路1段252號
TQA0079,宜蘭縣蘇澳鎮蘇西里蘇港路213號,24.5943508,121.8446197,1.0,1859.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里蘇港路213號
TQA0080,宜蘭縣蘇澳鎮蘇西里中原路301-1號,24.596501,121.8473294,2.0,2626.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里中原路301-1號
TQA0081,宜蘭縣蘇澳鎮蘇南里中正路38號,24.5979255,121.8532652,2.0,3718.0,蘇澳分局,宜蘭縣蘇澳鎮蘇南里中正路38號
TQA0083,宜蘭縣蘇澳鎮蘇西里蘇港路193號,24.5941644,121.8465318,1.0,1379.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里蘇港路193號
TQA0084,宜蘭縣蘇澳鎮聖愛里中山路二段235號,24.6097827,121.8261511,3.0,461.0,蘇澳分局,宜蘭縣蘇澳鎮聖愛里中山路二段235號
TQA0085,宜蘭縣蘇澳鎮蘇西里中山路一段308巷46號,24.5970186,121.8407833,1.0,233.0,蘇澳分局,宜蘭縣蘇澳鎮蘇西里中山路一段308巷46號
TQA0028,宜蘭縣蘇澳鎮龍德里德興一路7號,24.6306876,121.8272142,1.0,80.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興一路7號
TQA0029,宜蘭縣蘇澳鎮龍德里德興一路23號,24.6280891,121.8245266,1.0,266.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興一路23號
TQA0030,宜蘭縣蘇澳鎮龍德里德興一路29號,24.6268404,121.8231349,1.0,127.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興一路29號
TQA0031,宜蘭縣蘇澳鎮龍德里德興一路41號,24.625022,121.8215142,1.0,130.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興一路41號
TQA0033,宜蘭縣蘇澳鎮龍德里德興六路2號,24.6314003,121.826668,1.0,33.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興六路2號
TQA0034,宜蘭縣蘇澳鎮龍德里德興六路8號,24.6314771,121.8259685,1.0,95.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興六路8號
TQA0036,宜蘭縣蘇澳鎮龍德里德興七路6號,24.6351558,121.8297971,1.0,114.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興七路6號
TQA0037,宜蘭縣蘇澳鎮龍德里德興六路11號,24.6309025,121.8239126,1.0,123.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里德興六路11號
TQA0038,宜蘭縣蘇澳鎮龍德里自強路011號,24.6327811,121.8271464,1.0,38.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里自強路011號
TQA0039,宜蘭縣蘇澳鎮龍德里自強路17號,24.6327315,121.8254993,1.0,72.0,蘇澳分局,宜蘭縣蘇澳鎮龍德里自強路17號
