建築物名稱,縣(市),鄉鎮市區,村里別,地址,"避難 樓層","防空避難 設備面積(平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,緯經度,備註
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路615號,1.0,20,,22.0,苗栗分局,"24.556573629942466, 120.82018599590471",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路617號,2.0,449,,498.0,苗栗分局,"24.556566180615643, 120.82016626706901",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中山路608號,1.0,74,,82.0,苗栗分局,"24.557447545465095, 120.81919699590495",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市維新街32號,1.0,19,,21.0,苗栗分局,"24.5566986960485, 120.81921735172533",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中山路625號,1.0,96,,106.0,苗栗分局,"24.557138346783248, 120.81927268241269",
苗栗市農會,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路611號,1.0,424,,471.0,苗栗分局,"24.556590871479248, 120.82040745357673",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路691號,3.0,2585,v,1795.0,苗栗分局,"24.555130207628483, 120.8192703824126",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路53號之2,1.0,375,,416.0,苗栗分局,"24.55781258655101, 120.8184883363817",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市維新街6號,1.0,223,,247.0,苗栗分局,"24.556148766382485, 120.82000825682735",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路48號,1.0,1012,,1124.0,苗栗分局,"24.55758821179813, 120.81916792474078",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路609號,1.0,30,,33.0,苗栗分局,"24.556838421682496, 120.82034552659228",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路29號,1.0,100,,111.0,苗栗分局,"24.55722317938821, 120.81958153823312",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路621號,1.0,71,,78.0,苗栗分局,"24.556495897651605, 120.82030799405342",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路586號,1.0,20,,22.0,苗栗分局,"24.557477637288237, 120.82028539590496",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路584號,1.0,20,,22.0,苗栗分局,"24.55751500372968, 120.82024548241264",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路657號,1.0,94,,104.0,苗栗分局,"24.555641848276757, 120.81970560939712",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路631號,1.0,15,,16.0,苗栗分局,"24.556178681339684, 120.82002529775627",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市建台街25號,1.0,20,,22.0,苗栗分局,"24.55799421129325, 120.82020945357677",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路56巷13號,1.0,30,,33.0,苗栗分局,"24.55848635192136, 120.81927835172536",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路56巷11號,1.0,30,,33.0,苗栗分局,"24.558377185715877, 120.81930158056133",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路56巷17號,1.0,19,,21.0,苗栗分局,"24.558320652582633, 120.8190433363816",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路56巷5號,1.0,40,,44.0,苗栗分局,"24.558111511146215, 120.81932535357679",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市中正路810號,1.0,20,,22.0,苗栗分局,"24.553260575454885, 120.81791731079564",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市中正路816號,1.0,78,,86.0,苗栗分局,"24.55310744732469, 120.81774432428773",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市中正路934號,1.0,34,,37.0,苗栗分局,"24.55083778467036, 120.81563888056104",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市中正路844號,1.0,19,,21.0,苗栗分局,"24.552805287641892, 120.81684821124853",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市日新街35巷3弄4號,1.0,27,,30.0,苗栗分局,"24.553531898951725, 120.81679795365265",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市光復路38號,1.0,19,,21.0,苗栗分局,"24.552953841411664, 120.81654626706886",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市光復路46號,1.0,27,,30.0,苗栗分局,"24.553301351920727, 120.81667309590487",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市日新街49號,2.0,642,,713.0,苗栗分局,"24.55374304455618, 120.81638719775641",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市日新街83號,1.0,12,,13.0,苗栗分局,"24.553675392670876, 120.81565243638154",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市日新街85號,1.0,16,,17.0,苗栗分局,"24.553736816596196, 120.81564733823296",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市光復路25號,1.0,15,,16.0,苗栗分局,"24.55296198734915, 120.81611533638142",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市天雲街33號,1.0,25,,27.0,苗栗分局,"24.552664111659926, 120.81593502474064",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市天雲街51號,1.0,13,,14.0,苗栗分局,"24.552779693995628, 120.81563419775624",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市天雲街56號,1.0,41,,45.0,苗栗分局,"24.55310268708631, 120.81562743823305",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路99號,1.0,15,,16.0,苗栗分局,"24.552631394214966, 120.81555280939696",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市光復路11號,1.0,124,,137.0,苗栗分局,"24.552543629371918, 120.81601722288927",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市中正路886號,1.0,23,,25.0,苗栗分局,"24.552162883432178, 120.8160191093969",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路103號,1.0,28,,31.0,苗栗分局,"24.552707099068407, 120.81514201733478",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路105號,1.0,29,,32.0,苗栗分局,"24.552506176885313, 120.81541282474069",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路105號,1.0,34,,37.0,苗栗分局,"24.552506176885313, 120.81541282474069",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路115號,1.0,23,,25.0,苗栗分局,"24.5524159296007, 120.8154742959048",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路120號,1.0,75,,83.0,苗栗分局,"24.55209781863761, 120.81523356706873",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路133號,1.0,75,,83.0,苗栗分局,"24.551890436505143, 120.81552366706892",
住宅大樓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路133號,1.0,146,,162.0,苗栗分局,"24.55187092498847, 120.81557731317633",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路148號,1.0,50,,55.0,苗栗分局,"24.551655089790565, 120.81526045357663",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路152號,1.0,50,,55.0,苗栗分局,"24.55151991353024, 120.81530149775617",
民宅公寓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市大同路61號,1.0,239,,265.0,苗栗分局,"24.553775633863594, 120.81557382659219",
大千醫院大樓,苗栗縣,苗栗市,高苗里,苗栗縣苗栗市信義街36號,4.0,2207,v,1532.0,苗栗分局,"24.551051232043683, 120.81481634008435",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路957號,1.0,17,,18.0,苗栗分局,"24.550578504203852, 120.81619445357644",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路959號,1.0,20,,22.0,苗栗分局,"24.550400879671344, 120.81614480939689",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路961號,1.0,40,,44.0,苗栗分局,"24.550395915367474, 120.81627582659205",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市福德一巷3號,1.0,30,,33.0,苗栗分局,"24.54953997575743, 120.81667350754559",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市福德巷1號,1.0,25,,27.0,苗栗分局,"24.549610857666085, 120.81647956706874",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路1013號,1.0,19,,21.0,苗栗分局,"24.549361827052135, 120.81618193823277",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路1063號,1.0,20,,22.0,苗栗分局,"24.548208818942225, 120.81636395357648",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路1065號,1.0,20,,22.0,苗栗分局,"24.548228696190613, 120.816292051725",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市中正路1097號,1.0,60,,66.0,苗栗分局,"24.547258369693527, 120.81627585357647",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市新東街50巷2號,1.0,62,,68.0,苗栗分局,"24.55176418380468, 120.81873548056105",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市新東街190巷3號,1.0,38,,42.0,苗栗分局,"24.55105106754779, 120.82220862659206",
民宅公寓,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市新東街136巷15之1號,1.0,60,,66.0,苗栗分局,"24.546007132290477, 120.82020927031931",
弘大醫院,苗栗縣,苗栗市,勝利里,苗栗縣苗栗市新東街125號,1.0,705,,783.0,苗栗分局,"24.55187358938233, 120.82098512474066",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市恭敬路49號,1.0,95,,105.0,苗栗分局,"24.549340063070588, 120.81524648241239",
大千醫院,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市信義街23號,1.0,1155,,1283.0,苗栗分局,"24.550832698108046, 120.81530496563686",
住宅大樓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市恭敬路106號,1.0,956,,1062.0,苗栗分局,"24.54847059573876, 120.8145769805609",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市恭敬路68號,1.0,30,,33.0,苗栗分局,"24.54940083499801, 120.81491902103768",
聯合大學,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市聯大1號,1.0,969,,1076.0,苗栗分局,"24.545983432320043, 120.81278332243568",
聯合大學,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市聯大1號,1.0,1624,,1804.0,苗栗分局,"24.545983432320043, 120.81278332243568",
聯合大學,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市聯大1號,2.0,1087,,1207.0,苗栗分局,"24.545983432320043, 120.81278332243568",
聯合大學,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市聯大1號,2.0,1274,,1415.0,苗栗分局,"24.545983432320043, 120.81278332243568",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路1000號,1.0,17,,18.0,苗栗分局,"24.549596988586053, 120.81578980939688",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市信義街49巷6號,1.0,26,,28.0,苗栗分局,"24.550129321089578, 120.81456344008431",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市信義街19巷1之1號,1.0,110,,122.0,苗栗分局,"24.5509993910154, 120.81546501124848",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市信義街29巷5之2號,1.0,50,,55.0,苗栗分局,"24.550962244391034, 120.81519321124846",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市恭敬路88號,1.0,82,,91.0,苗栗分局,"24.548760204701512, 120.81504696706871",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路934號,1.0,15,,16.0,苗栗分局,"24.55091585563462, 120.8157461689203",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路926號,1.0,60,,66.0,苗栗分局,"24.55091674347339, 120.81557840939693",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路972號,1.0,26,,28.0,苗栗分局,"24.550036021205663, 120.81568705172512",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路934號,1.0,23,,25.0,苗栗分局,"24.550945132233682, 120.8157032535766",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路1014號,1.0,14,,15.0,苗栗分局,"24.549261753275896, 120.81571642288915",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路1002號,1.0,25,,27.0,苗栗分局,"24.54947239888685, 120.81585668241229",
民宅公寓,苗栗縣,苗栗市,恭敬里,苗栗縣苗栗市中正路978號,1.0,35,,38.0,苗栗分局,"24.550058392773074, 120.81574323823274",
聯合大學,苗栗縣,苗栗市,水源里,苗栗縣苗栗市聯大1號,1.0,375,,416.0,苗栗分局,"24.546002950820885, 120.8132017468444",
聯合大學,苗栗縣,苗栗市,水源里,苗栗縣苗栗市聯大1號,1.0,861,,956.0,苗栗分局,"24.546002950820885, 120.8132017468444",
聯合大學,苗栗縣,苗栗市,水源里,苗栗縣苗栗市聯大1號,1.0,210,,233.0,苗栗分局,"24.546002950820885, 120.8132017468444",
聯合大學,苗栗縣,苗栗市,水源里,苗栗縣苗栗市聯大1號,1.0,883,,981.0,苗栗分局,"24.546002950820885, 120.8132017468444",
聯合大學,苗栗縣,苗栗市,水源里,苗栗縣苗栗市聯大1號,1.0,1050,,1166.0,苗栗分局,"24.546002950820885, 120.8132017468444",
聯合大學,苗栗縣,苗栗市,水源里,苗栗縣苗栗市聯大1號,1.0,1000,,1111.0,苗栗分局,"24.546002950820885, 120.8132017468444",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1270號,1.0,109,,121.0,苗栗分局,"24.543724864047515, 120.81658205172484",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1266號,1.0,25,,27.0,苗栗分局,"24.54366679136931, 120.81661541124826",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1264號,1.0,15,,16.0,苗栗分局,"24.54374876679031, 120.81655352474033",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1338號,1.0,50,,55.0,苗栗分局,"24.54229362860865, 120.81677663823264",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1280號,1.0,16,,17.0,苗栗分局,"24.543454654390086, 120.81704013760793",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1278號,1.0,16,,17.0,苗栗分局,"24.543481388826727, 120.81658778241223",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1282號,1.0,28,,31.0,苗栗分局,"24.54339979161863, 120.81658119590456",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1282號,1.0,16,,17.0,苗栗分局,"24.54339979161863, 120.81658119590456",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1338巷6號之1,1.0,28,,31.0,苗栗分局,"24.542313147683583, 120.81686246892004",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市育民街32號,1.0,25,,27.0,苗栗分局,"24.5407755504352, 120.81644184008404",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1338巷10號之1,1.0,32,,35.0,苗栗分局,"24.54218627364221, 120.81680882474042",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市育民街34號,1.0,25,,27.0,苗栗分局,"24.54069591186397, 120.81628546891987",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市育民街30號,1.0,25,,27.0,苗栗分局,"24.540685510277445, 120.81620872288889",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市育民街6號,1.0,19,,21.0,苗栗分局,"24.54131740909758, 120.81692296706845",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1378號,1.0,32,,35.0,苗栗分局,"24.541438231912384, 120.81704686891999",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1374號,1.0,25,,27.0,苗栗分局,"24.541280853224364, 120.81689326706845",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1376號,1.0,101,,112.0,苗栗分局,"24.541388251217736, 120.81704058241213",
民宅公寓,苗栗縣,苗栗市,水源里,苗栗縣苗栗市中正路1338巷2號,1.0,59,,65.0,苗栗分局,"24.542283869070037, 120.81679809590449",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市博愛街90號,1.0,17,,18.0,苗栗分局,"24.55493274224094, 120.81655751124852",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市光復路127號,1.0,55,,61.0,苗栗分局,"24.554972666454233, 120.81627926706892",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市中山路787號,1.0,16,,17.0,苗栗分局,"24.555270183036978, 120.81590896521739",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市中山路789號,1.0,45,,50.0,苗栗分局,"24.555266483043862, 120.81602116892034",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市中山路785號,1.0,16,,17.0,苗栗分局,"24.55522518312107, 120.81601786521742",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市大同路4號,1.0,16,,17.0,苗栗分局,"24.55511594909557, 120.81534170754553",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市公園路26號,1.0,17,,18.0,苗栗分局,"24.555489892353812, 120.81467407870961",
民宅公寓,苗栗縣,苗栗市,大同里,苗栗縣苗栗市公園路28號,1.0,15,,16.0,苗栗分局,"24.555302880498175, 120.81485766892038",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新東街65號,1.0,67,,74.0,苗栗分局,"24.552167488833334, 120.81946359590484",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新東街22號,1.0,258,,286.0,苗栗分局,"24.55228185350794, 120.81842752474061",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新東街69號,1.0,90,,100.0,苗栗分局,"24.552075736245573, 120.81954578241252",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新東街6號之1,1.0,826,,917.0,苗栗分局,"24.55249965316891, 120.81820425357651",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新東街37號,1.0,50,,55.0,苗栗分局,"24.552291459624247, 120.81872742474059",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新苗街36號,1.0,22,,24.0,苗栗分局,"24.553291121543968, 120.81812374008432",
住宅大樓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市中正路889號,1.0,100,,111.0,苗栗分局,"24.551993212756546, 120.8161628959047",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新苗街45號,2.0,90,,100.0,苗栗分局,"24.552989528573672, 120.81811406892034",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新苗街12號,1.0,46,,51.0,苗栗分局,"24.553660179415314, 120.81849365357674",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市中正路831號,1.0,88,,97.0,苗栗分局,"24.552678211636913, 120.81720859590487",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新苗街78號,1.0,34,,37.0,苗栗分局,"24.55266441165946, 120.81732906521736",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市中正路855巷11號,1.0,73,,81.0,苗栗分局,"24.552479088251236, 120.81686872659212",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新苗街76號,1.0,21,,23.0,苗栗分局,"24.55272560528207, 120.81749838241251",
民宅公寓,苗栗縣,苗栗市,新苗里,苗栗縣苗栗市新苗街74號,1.0,21,,23.0,苗栗分局,"24.552760305211827, 120.8174511382328",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市中正路905號,1.0,13,,14.0,苗栗分局,"24.55181263661419, 120.81605008056108",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市新東街6號,1.0,741,,823.0,苗栗分局,"24.552528929398278, 120.81825789775611",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市米市街12號,1.0,25,,27.0,苗栗分局,"24.55577639910777, 120.81780101124866",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市中山路762號,1.0,12,,13.0,苗栗分局,"24.555863081929274, 120.81666229775625",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市光復路172號,1.0,21,,23.0,苗栗分局,"24.55624839815257, 120.81627213638163",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市米市街10號,1.0,37,,41.0,苗栗分局,"24.555788423562596, 120.81786669775634",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市光復路174號,1.0,31,,34.0,苗栗分局,"24.556333981049512, 120.81643891310006",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市中山路673號,1.0,23,,25.0,苗栗分局,"24.556371188683343, 120.81852182288928",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市光復路178號,1.0,26,,28.0,苗栗分局,"24.556357147163027, 120.81632358241278",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市光復路168巷7號,1.0,266,,295.0,苗栗分局,"24.556202198245977, 120.81632112288932",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市中山路726巷1號,1.0,18,,20.0,苗栗分局,"24.55603182312678, 120.81731138241267",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市中山路694號,1.0,17,,18.0,苗栗分局,"24.55633664719498, 120.81776300754574",
民宅公寓,苗栗縣,苗栗市,玉苗里,苗栗縣苗栗市光復路152號,1.0,38,,42.0,苗栗分局,"24.555523455849634, 120.8167031535767",
