類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)"
大樓,T109206,中正里,"24.9951306,121.296122",1、2、3,3840.0,桃園分局,,,,,
大樓,T109207,民生里,"24.9965755,121.3124551",1、2、3,3525.0,桃園分局,,,,,
大樓,T109208,文中里,"25.0011467,121.2934479",1、2、3,1553.0,桃園分局,,,,,
大樓,T109209,檜樂里,"25.0187938,121.3168352",1、2,7578.0,桃園分局,,,,,
大樓,T109210,文中里,"24.996709,121.2886775",1、2、3、4,1447.0,桃園分局,,,,,
大樓,T109211,寶民里,"25.0118878,121.317505",1、2,440.0,桃園分局,,,,,
大樓,T109212,文中里,"24.996386,121.2896931",1、2、3,2378.0,桃園分局,,,,,
大樓,T109213,中成里,"25.0042663,121.2947848",1、2,1239.0,桃園分局,,,,,
大樓,T109214,中成里,"25.0028989,121.2967732",1、2、3、4,2553.0,桃園分局,,,,,
公寓,T109215,大有里,"25.0100398,121.3219517",1,583.0,桃園分局,,,,,
大樓,T109216,汴洲里,"25.0284704,121.297941",1、2、3,2798.0,桃園分局,,,,,
大樓,T109301,文中里,"24.9998948,121.2914842",1、2、3,1161.0,桃園分局,,,,,
大樓,T109302,汴洲里,"25.0292059,121.2969494",1、2,802.0,桃園分局,,,,,
大樓,T109303,三民里,"24.9967698,121.3228391",1、2,455.0,桃園分局,,,,,
大樓,T109304,中正里,"24.9969653,121.2952473",1、2,668.0,桃園分局,,,,,
大樓,T109305,文中里,"25.0002128,121.2923562",1、2、3,1040.0,桃園分局,,,,,
公寓,T109306,信光里,"25.0090788,121.3071432",1,1515.0,桃園分局,,,,,
公寓,T109401,文中里,"25.0070619,121.300189",1,580.0,桃園分局,,,,,
大樓,T109402,汴洲里,"25.0275332,121.2982731",1、2、3、4,2664.0,桃園分局,,,,,
大樓,T109403,中成里,"25.0050028,121.2945132",1、2、3,2064.0,桃園分局,,,,,
大樓,T109404,三民里,"24.997178,121.3222355",1、2、3,786.0,桃園分局,,,,,
大樓,T109405,莊敬里,"25.0188969,121.30175",1、2、3、4,2547.0,桃園分局,,,,,
大樓,T109406,朝陽里,"25.00284,121.3096007",1、2,1029.0,桃園分局,,,,,
大樓,T109407,東山里,"24.9927818,121.3171784",1、2、3,3819.0,桃園分局,,,,,
大樓,T109408,文明里,"24.9900179,121.3084113",1、2、3、4,2663.0,桃園分局,,,,,
大樓,T109409,中正里,"24.994642,121.299485",1、2、3、4,2103.0,桃園分局,,,,,
大樓,T109410,中成里,"25.0004062,121.2959151",1、2、3,2563.0,桃園分局,,,,,
大樓,T109411,中信里,"24.9939996,121.2856668",1、2,1743.0,桃園分局,,,,,
大樓,T109412,汴洲里,"25.0286837,121.3024349",1、2、3、4,5449.0,桃園分局,,,,,
公寓,T109413,中德里,"24.9658223,121.2928488",1,1430.0,桃園分局,,,,,
大樓,T108101,文中里,"24.9970991,121.2885842",1、2、3,1205.0,桃園分局,,,,,
大樓,T108102,中埔里,"25.0061804,121.2884097",1、2,20308.0,桃園分局,,,,,
大樓,T108103,文中里,"25.0007463,121.2911107",1、2、3,1566.0,桃園分局,,,,,
大樓,T108104,西門里,"24.9945242,121.3077413",1、2、3,5013.0,桃園分局,,,,,
大樓,T108105,東門里,"24.99522,121.313798",1、2、3、4,436.0,桃園分局,,,,,
公寓,T108106,大樹里,"24.981712,121.3199268",1,3693.0,桃園分局,,,,,
大樓,T108107,永安里,"25.0008244,121.3058477",1、2、3,2524.0,桃園分局,,,,,
大樓,T108201,三元里,"25.0072554,121.3210588",1、2、3,2941.0,桃園分局,,,,,
大樓,T108202,龍鳳里,"24.9890921,121.279422",1、2、3,1983.0,桃園分局,,,,,
大樓,T108203,文昌里,"24.9929221,121.3082385",1、2,388.0,桃園分局,,,,,
大樓,T108204,大有里,"25.008556,121.320466",1、2、3,3156.0,桃園分局,,,,,
公寓,T108205,北門里,"25.0000678,121.309546",1,315.0,桃園分局,,,,,
大樓,T108206,龍壽里,"24.9830472,121.2725594",1、2、3,6606.0,桃園分局,,,,,
大樓,T108207,文中里,"24.9965122,121.2891487",1、2、3、4,1989.0,桃園分局,,,,,
公寓,T108208,慈文里,"25.0094401,121.3016355",1,1346.0,桃園分局,,,,,
大樓,T108209,永興里,"24.9964438,121.3087216",1、2、3,2475.0,桃園分局,,,,,
大樓,T108210,文中里,"24.9998664,121.2886512",1、2、3,1311.0,桃園分局,,,,,
公寓,T108211,朝陽里,"24.999598,121.3134288",1,476.0,桃園分局,,,,,
大樓,T108212,中正里,"24.9955716,121.2986616",1、2、3,1736.0,桃園分局,,,,,
大樓,T108301,中成里,"24.9996364,121.2970948",1、2、3,3270.0,桃園分局,,,,,
大樓,T108302,文中里,"24.9995297,121.2903132",1、2、3,2089.0,桃園分局,,,,,
大樓,T108303,同德里,"25.0141844,121.2971649",1、2,823.0,桃園分局,,,,,
大樓,T108304,中成里,"24.9995365,121.2965975",1、2、3,2563.0,桃園分局,,,,,
大樓,T108305,中成里,"24.9987679,121.2951782",1、2、3,5477.0,桃園分局,,,,,
大樓,T108306,文中里,"25.0063791,121.3011194",1、2、3,1699.0,桃園分局,,,,,
公寓,T108307,長德里,"25.0035902,121.3012692",1,199.0,桃園分局,,,,,
大樓,T108308,中成里,"25.0027396,121.2957111",1、2、3、4,2222.0,桃園分局,,,,,
大樓,T108309,南門里,"24.9847455,121.3049434",1、2,889.0,桃園分局,,,,,
大樓,T108401,文中里,"25.000028,121.2913836",1、2、3,621.0,桃園分局,,,,,
大樓,T108402,新埔里,"25.0162995,121.3068545",1、2,7882.0,桃園分局,,,,,
大樓,T108403,文中里,"24.9977295,121.2886839",1、2、3、4,4287.0,桃園分局,,,,,
大樓,T108404,中興里,"24.9965518,121.2981135",1、2、3,2624.0,桃園分局,,,,,
公寓,T108405,龍山里,"24.9894511,121.2674811",1,2970.0,桃園分局,,,,,
公寓,T108406,三元里,"25.007415,121.3209002",1,2941.0,桃園分局,,,,,
大樓,T108407,中泰里,"24.9877675,121.2872423",1、2,864.0,桃園分局,,,,,
大樓,T108408,中正里,"24.9971774,121.2942834",1、2、3、4,1903.0,桃園分局,,,,,
大樓,T108409,同安里,"25.021011,121.2986372",1、2、3,2250.0,桃園分局,,,,,
大樓,T108410,福元里,"25.0057065,121.3198284",1、2,5363.0,桃園分局,,,,,
大樓,T108411,中成里,"25.004312,121.2898776",1、2、3,5728.0,桃園分局,,,,,
大樓,T108412,文明里,"24.9894998,121.3079606",1、2,326.0,桃園分局,,,,,
公寓,T108413,大林里,"24.9723559,121.3221453",1,944.0,桃園分局,,,,,
大樓,T107101,中正里,"24.9969653,121.2952473",1、2、3、4,1676.0,桃園分局,,,,,
公寓,T107102,龍壽里,"24.9809324,121.2707162",1,1201.0,桃園分局,,,,,
大樓,T107103,中成里,"25.0023538,121.2896896",1、2、3,2349.0,桃園分局,,,,,
大樓,T107104,中正里,"24.99931,121.29384",1、2、3,953.0,桃園分局,,,,,
公寓,T107105,南門里,"24.9851401,121.3026751",1,574.0,桃園分局,,,,,
大樓,T107106,三元里,"25.0079467,121.3221374",1、2、3,1775.0,桃園分局,,,,,
大樓,T107107,中正里,"24.9949503,121.2958859",1、2、3、4,1414.0,桃園分局,,,,,
大樓,T107108,汴洲里,"25.0279052,121.3005116",1、2,498.0,桃園分局,,,,,
大樓,T107109,寶慶里,"25.0142641,121.2953737",1、2、3,1188.0,桃園分局,,,,,
公寓,T107110,寶山里,"25.0126557,121.3137985",1,1837.0,桃園分局,,,,,
公寓,T107111,文中里,"25.0001726,121.2931747",1,518.0,桃園分局,,,,,
大樓,T107112,三民里,"24.9980402,121.3208739",1、2,2357.0,桃園分局,,,,,
大樓,T107113,中埔里,"25.0068245,121.2904309",1、2、3、4,3887.0,桃園分局,,,,,
大樓,T107201,同安里,"25.0141319,121.2997671",1、2、3、4,1589.0,桃園分局,,,,,
公寓,T107202,南埔里,"25.0059398,121.2924696",1,123.0,桃園分局,,,,,
公寓,T107203,明德里,"25.0199699,121.2958451",1,156.0,桃園分局,,,,,
公寓,T107204,大樹里,"24.985993,121.3216217",1,1109.0,桃園分局,,,,,
公寓,T107205,永興里,"24.9982762,121.3070924",1,1638.0,桃園分局,,,,,
大樓,T107206,中正里,"24.9959546,121.2961338",1、2、3、4,2487.0,桃園分局,,,,,
大樓,T107207,中正里,"24.9956348,121.2945751",1、2、3,5946.0,桃園分局,,,,,
大樓,T107208,中正里,"24.9965946,121.2967777",1、2、3,1462.0,桃園分局,,,,,
大樓,T107209,汴洲里,"25.0296759,121.2966722",1、2,506.0,桃園分局,,,,,
公寓,T107210,龍山里,"24.9781864,121.2685878",1,2295.0,桃園分局,,,,,
大樓,T107211,同安里,"25.0112746,121.303875",1、2、3,3252.0,桃園分局,,,,,
大樓,T107212,龍壽里,"24.98338,121.2731693",1、2、3,4155.0,桃園分局,,,,,
大樓,T107213,龍安里,"24.9906137,121.2782469",1、2,5277.0,桃園分局,,,,,
大樓,T107214,龍祥里,"24.9859872,121.2740139",1、2、3,3262.0,桃園分局,,,,,
公寓,T107215,莊敬里,"25.0221176,121.2990655",1,483.0,桃園分局,,,,,
大樓,T107216,汴洲里,"25.0273791,121.298679",1、2、3,1205.0,桃園分局,,,,,
大樓,T107301,朝陽里,"24.9986959,121.3132729",1、2,311.0,桃園分局,,,,,
大樓,T107302,中正里,"24.9949503,121.2958859",1、2、3,2497.0,桃園分局,,,,,
公寓,T107303,慈文里,"25.0034201,121.2968174",1,179.0,桃園分局,,,,,
大樓,T107304,汴洲里,"25.0304826,121.2995688",1、2、3、4,2762.0,桃園分局,,,,,
大樓,T107305,文中里,"24.9989709,121.2889454",1、2、3、4,1755.0,桃園分局,,,,,
大樓,T107306,汴洲里,"25.0292343,121.2983306",1、2、3,1138.0,桃園分局,,,,,
大樓,T107307,文化里,"24.9908268,121.3101482",1、2、3、4,5576.0,桃園分局,,,,,
大樓,T107308,中正里,"24.9971774,121.2942834",1、2、3、4,1539.0,桃園分局,,,,,
大樓,T107401,成功里,"24.9982707,121.317584",1、2、3,627.0,桃園分局,,,,,
大樓,T107402,中興里,"24.9988404,121.2972759",1、2、3,1996.0,桃園分局,,,,,
大樓,T107403,汴洲里,"25.0253346,121.3060092",1、2,513.0,桃園分局,,,,,
大樓,T107404,新埔里,"25.017833,121.304796",1、2,602.0,桃園分局,,,,,
大樓,T107405,雲林里,"24.9876524,121.3205763",1、2,999.0,桃園分局,,,,,
大樓,T106101,福林里,"24.9769274,121.3049005",1、2、3,5107.0,桃園分局,,,,,
大樓,T106102,同德里,"25.014037,121.2984227",1、2,844.0,桃園分局,,,,,
大樓,T106103,春日里,"25.0191189,121.3087057",1、2,1008.0,桃園分局,,,,,
公寓,T106104,大林里,"24.9719162,121.3198267",1,1067.0,桃園分局,,,,,
大樓,T106105,龍祥里,"24.9867941,121.2744387",1、2,1475.0,桃園分局,,,,,
大樓,T106106,同安里,"25.0207573,121.2989032",1、2、3,2038.0,桃園分局,,,,,
大樓,T106107,東山里,"24.9930733,121.3168661",1、2、3、4,1308.0,桃園分局,,,,,
大樓,T106108,中正里,"24.9983367,121.2979871",1、2、3,2440.0,桃園分局,,,,,
大樓,T106109,汴洲里,"25.0283548,121.2982809",1、2、3、4,5925.0,桃園分局,,,,,
大樓,T106201,慈文里,"25.0058174,121.2984238",1、2、3,2071.0,桃園分局,,,,,
大樓,T106202,龍鳳里,"24.9882619,121.2787321",1、2,641.0,桃園分局,,,,,
大樓,T106203,大有里,"25.0135004,121.3194656",1、2、3,2314.0,桃園分局,,,,,
大樓,T106204,大林里,"24.9773885,121.3216335",1、2,551.0,桃園分局,,,,,
大樓,T106205,瑞慶里,"25.0193486,121.2912586",1、2、3,696.0,桃園分局,,,,,
公寓,T106301,玉山里,"24.9896319,121.3033803",1,450.0,桃園分局,,,,,
大樓,T106302,自強里,"25.0236119,121.3028938",1、2、3,1833.0,桃園分局,,,,,
大樓,T106303,同安里,"25.0152883,121.3000072",1、2、3,626.0,桃園分局,,,,,
大樓,T106304,大有里,"25.0146157,121.3195154",1、2、3,1535.0,桃園分局,,,,,
大樓,T106305,北埔里,"25.0234688,121.292196",1、2,2948.0,桃園分局,,,,,
大樓,T106306,中正里,"24.9984392,121.2978501",1、2、3,3417.0,桃園分局,,,,,
大樓,T106307,汴洲里,"25.0224845,121.3120726",1、2,1188.0,桃園分局,,,,,
大樓,T106308,經國里,"25.0142963,121.3070551",1、2、3,8135.0,桃園分局,,,,,
大樓,T106309,中德里,"24.9636288,121.2916544",1、2,365.0,桃園分局,,,,,
大樓,T106310,同安里,"25.016907,121.3006688",1、2、3、4,9629.0,桃園分局,,,,,
公寓,T106311,東門里,"24.9977205,121.3146433",1,251.0,桃園分局,,,,,
大樓,T106312,汴洲里,"25.0296496,121.2995067",1、2、3、4,1571.0,桃園分局,,,,,
公寓,T106401,龍壽里,"24.9800565,121.268907",1,260.0,桃園分局,,,,,
大樓,T106402,大樹里,"24.9812825,121.3196263",1、2、3、4,1448.0,桃園分局,,,,,
大樓,T106403,福林里,"24.9772756,121.3033284",1、2,1733.0,桃園分局,,,,,
大樓,T106404,中興里,"24.9991635,121.2980408",1、2、3,4204.0,桃園分局,,,,,
大樓,T106405,中正里,"24.9949503,121.2958859",1、2,319.0,桃園分局,,,,,
公寓,T106406,汴洲里,"25.029623,121.307103",1,2726.0,桃園分局,,,,,
大樓,T106407,中平里,"24.9891424,121.2944479",1、2,1580.0,桃園分局,,,,,
大樓,T105101,中德里,"24.9633219,121.2924692",1、2,1465.0,桃園分局,,,,,
大樓,T105102,北埔里,"25.023777,121.2926008",1、2、3,1034.0,桃園分局,,,,,
大樓,T105103,中路里,"24.9931465,121.2898038",1、2、3,1731.0,桃園分局,,,,,
公寓,T105104,大業里,"25.0082115,121.3121491",1,134.0,桃園分局,,,,,
公寓,T105105,中和里,"24.9978723,121.3097025",1,459.0,桃園分局,,,,,
大樓,T105106,泰山里,"24.9888116,121.297379",1、2,1338.0,桃園分局,,,,,
大樓,T105107,泰山里,"24.9906519,121.297065",1、2,1833.0,桃園分局,,,,,
公寓,T105108,春日里,"25.0167388,121.3117816",1,446.0,桃園分局,,,,,
大樓,T105109,大豐里,"24.9794008,121.3168869",1、2、3,2194.0,桃園分局,,,,,
大樓,T105201,中埔里,"25.0064901,121.2870163",1、2,9966.0,桃園分局,,,,,
大樓,T105202,光興里,"24.9946098,121.3008634",1、2,779.0,桃園分局,,,,,
公寓,T105203,經國里,"25.0130198,121.3050745",1,331.0,桃園分局,,,,,
大樓,T105204,忠義里,"25.0045124,121.3207454",1、2、3、4,746.0,桃園分局,,,,,
公寓,T105301,福元里,"25.0089905,121.316788",1,222.0,桃園分局,,,,,
大樓,T105302,同安里,"25.0189105,121.3012934",1、2、3,2639.0,桃園分局,,,,,
公寓,T105303,汴洲里,"25.029676,121.30457",1,3493.0,桃園分局,,,,,
大樓,T105304,汴洲里,"25.0225522,121.3122466",1、2、3,1864.0,桃園分局,,,,,
公寓,T105305,西埔里,"25.0159046,121.2848523",1,3296.0,桃園分局,,,,,
大樓,T105306,永安里,"24.9993278,121.304428",1、2,205.0,桃園分局,,,,,
大樓,T105307,同安里,"25.0166814,121.3003486",1、2、3、4,4873.0,桃園分局,,,,,
大樓,T105401,建國里,"24.9868457,121.317854",1、2、3,3938.0,桃園分局,,,,,
公寓,T105402,文中里,"24.9957812,121.289605",1,265.0,桃園分局,,,,,
大樓,T105403,龍安里,"24.9924643,121.2793225",1、2、3,1928.0,桃園分局,,,,,
大樓,T105404,龍祥里,"24.9805986,121.2743268",1、2、3,4785.0,桃園分局,,,,,
大樓,T105405,大樹里,"24.985023,121.321473",1、2,2373.0,桃園分局,,,,,
大樓,T105406,永興里,"24.997359,121.3087727",1、2,225.0,桃園分局,,,,,
大樓,T105407,建國里,"24.988242,121.317343",1、2,727.0,桃園分局,,,,,
大樓,T105408,汴洲里,"25.0307742,121.301067",1、2、3,1226.0,桃園分局,,,,,
大樓,T105409,東山里,"24.9935818,121.3167249",1、2,264.0,桃園分局,,,,,
大樓,T105410,汴洲里,"25.0217824,121.3134753",1、2,1922.0,桃園分局,,,,,
大樓,T104101,龍祥里,"24.980549,121.2734",1、2,2544.0,桃園分局,,,,,
大樓,T104102,中平里,"24.989406,121.295267",1、2,1275.0,桃園分局,,,,,
大樓,T104103,瑞慶里,"25.0197982,121.2918004",1、2、3,4832.0,桃園分局,,,,,
大樓,T104104,南埔里,"25.0063398,121.2971135",1、2、3,1429.0,桃園分局,,,,,
大樓,T104105,長安里,"25.0060587,121.3027069",1、2、3,923.0,桃園分局,,,,,
大樓,T104106,中正里,"24.994863,121.300044",1、2、3,3079.0,桃園分局,,,,,
大樓,T104107,寶慶里,"25.012498,121.2958205",1、2、3,986.0,桃園分局,,,,,
大樓,T104108,新埔里,"25.0175313,121.3053472",1、2、3,947.0,桃園分局,,,,,
大樓,T104109,新埔里,"25.0173408,121.3054626",1、2、3,1126.0,桃園分局,,,,,
大樓,T104110,中山里,"24.9854776,121.2924467",1、2,2635.0,桃園分局,,,,,
大樓,T104201,長德里,"25.0019497,121.3004217",1、2,1033.0,桃園分局,,,,,
大樓,T104202,同安里,"25.0135062,121.3020779",1、2、3、4,2872.0,桃園分局,,,,,
大樓,T104203,福林里,"24.9798962,121.311522",1、2,3080.0,桃園分局,,,,,
大樓,T104204,三民里,"24.9956394,121.3209379",1、2、3,2023.0,桃園分局,,,,,
大樓,T104205,南埔里,"25.0072567,121.2942778",1、2、3,2235.0,桃園分局,,,,,
大樓,T104206,南門里,"24.9853199,121.3029772",1、2,1161.0,桃園分局,,,,,
公寓,T104207,龍安里,"24.9925483,121.2773839",1,235.0,桃園分局,,,,,
大樓,T104208,泰山里,"24.990278,121.297488",1、2,513.0,桃園分局,,,,,
大樓,T104301,中平里,"24.9899975,121.2942925",1、2、3,1752.0,桃園分局,,,,,
大樓,T104302,中山里,"24.9902386,121.2897401",1、2、3,3987.0,桃園分局,,,,,
大樓,T104303,慈文里,"25.0049314,121.2999077",1、2、3,1983.0,桃園分局,,,,,
公寓,T104304,青溪里,"25.000823,121.315149",1,197.0,桃園分局,,,,,
大樓,T104305,文化里,"24.990431,121.312353",1、2、3、4,1640.0,桃園分局,,,,,
大樓,T104306,春日里,"25.0156255,121.3097156",1、2、3,1271.0,桃園分局,,,,,
公寓,T104307,大林里,"24.9749352,121.3226895",1,723.0,桃園分局,,,,,
大樓,T104308,信光里,"25.0099066,121.3081905",1、2、3,833.0,桃園分局,,,,,
公寓,T104309,中德里,"24.9676217,121.2924685",1,94.0,桃園分局,,,,,
大樓,T104310,龍岡里,"24.994424,121.2819274",1、2,904.0,桃園分局,,,,,
大樓,T104311,大林里,"24.9723447,121.3220179",1、2,1022.0,桃園分局,,,,,
大樓,T104312,經國里,"25.011287,121.307676",1、2、3,3117.0,桃園分局,,,,,
大樓,T104401,龍鳳里,"24.9901635,121.2791723",1、2、3,3484.0,桃園分局,,,,,
公寓,T104402,大林里,"24.9721494,121.3203406",1,692.0,桃園分局,,,,,
大樓,T104403,青溪里,"24.9991956,121.3141731",1、2,1195.0,桃園分局,,,,,
大樓,T104404,同安里,"25.0145768,121.30052",1、2、3、4,4012.0,桃園分局,,,,,
大樓,T104405,中信里,"24.9932064,121.2841192",1、2、3,2067.0,桃園分局,,,,,
大樓,T104406,同安里,"25.0134368,121.3008266",1、2、3、4,1789.0,桃園分局,,,,,
大樓,T104407,同安里,"25.0114848,121.3026388",1、2、3,4208.0,桃園分局,,,,,
大樓,T104408,新埔里,"25.0182479,121.306454",1、2、3,1888.0,桃園分局,,,,,
大樓,T104409,檜樂里,"25.0186204,121.3159118",1、2、3,1936.0,桃園分局,,,,,
大樓,T104410,同安里,"25.0126801,121.3006435",1、2、3、4,1873.0,桃園分局,,,,,
公寓,T104411,龍安里,"24.9917481,121.2791444",1,354.0,桃園分局,,,,,
大樓,T104412,同安里,"25.0091182,121.3041213",1、2,1325.0,桃園分局,,,,,
公寓,T104413,大林里,"24.9739328,121.3204912",1,1185.0,桃園分局,,,,,
大樓,T103101,會稽里,"25.0164694,121.3154414",1、2、3,5372.0,桃園分局,,,,,
大樓,T103102,三民里,"24.9954838,121.3198788",1、2、3,2716.0,桃園分局,,,,,
大樓,T103103,龍壽里,"24.980515,121.2706702",1、2、3、4,5952.0,桃園分局,,,,,
公寓,T103104,青溪里,"25.0000904,121.3139022",1,572.0,桃園分局,,,,,
大樓,T103105,南埔里,"25.0072552,121.2930683",1、2、3,2426.0,桃園分局,,,,,
大樓,T103106,莊敬里,"25.0229752,121.2955707",1、2、3,7275.0,桃園分局,,,,,
大樓,T103201,大林里,"24.9737803,121.3223977",1、2、3,4408.0,桃園分局,,,,,
大樓,T103202,信光里,"25.0085819,121.3074779",1、2、3,1750.0,桃園分局,,,,,
大樓,T103203,大有里,"25.0125711,121.3193073",1、2、3,5098.0,桃園分局,,,,,
大樓,T103204,同安里,"25.0136796,121.299962",1、2,2276.0,桃園分局,,,,,
大樓,T103205,長美里,"24.9936214,121.3081028",1、2、3,1595.0,桃園分局,,,,,
大樓,T103206,東埔里,"25.0019105,121.3086833",1、2、3,2063.0,桃園分局,,,,,
大樓,T103207,莊敬里,"25.0226021,121.2989508",1、2、3,3440.0,桃園分局,,,,,
大樓,T103301,大有里,"25.0102029,121.3197641",1、2、3,8886.0,桃園分局,,,,,
大樓,T103302,自強里,"25.0252813,121.3013753",1、2、3,5188.0,桃園分局,,,,,
大樓,T103303,同安里,"25.0098011,121.3032242",1、2、3,3384.0,桃園分局,,,,,
大樓,T103304,大業里,"25.010036,121.3149456",1、2、3,2490.0,桃園分局,,,,,
大樓,T103305,大業里,"25.0107606,121.314094",1、2、3,2331.0,桃園分局,,,,,
大樓,T103306,東山里,"24.991308,121.317503",1、2,268.0,桃園分局,,,,,
公寓,T103307,福林里,"24.979503,121.3070793",1,939.0,桃園分局,,,,,
大樓,T103308,同安里,"25.0162078,121.299635",1、2、3,1412.0,桃園分局,,,,,
