電腦編號,建築物名稱,地址,緯度,經度,避難樓層,容量,轄管分局,備註
T112206,俬藏泱,桃園市桃園區中成里6鄰正光路582號,25.003928,121.2935518,B1、B2、B3,1330.0,桃園分局,
T112207,百俊吾双,桃園市桃園區南埔里8鄰大興西路三段151號,25.004986,121.2904616,B1、B2、B3、B4,2419.0,桃園分局,
T112208,利晉學府,桃園市桃園區文中里18鄰文中二路67號二樓,24.997457,121.2896936,B1、B2、B3、B4,903.0,桃園分局,
T112209,私人住宅,桃園市桃園區龍祥里裕和街17巷56號,24.981710,121.2735436,B1,502.0,桃園分局,
T112101,中路四號社會住宅,桃園市桃園區中埔里6鄰崇法街68-4號七樓,25.007633,121.2868813,B1、B2、B3,3323.0,桃園分局,
T112102,銘鑄富登社區,桃園市桃園區福元里6鄰民富二街8巷58號,25.004973,121.3182761,B1、B2,627.0,桃園分局,
T112103,昭陽天匯社區,桃園市桃園區青溪里15鄰中央街200號,25.002869,121.3151565,B1、B2、B3,1519.0,桃園分局,
T112104,益展城心社區,桃園市桃園區東埔里10鄰正康二街72號,25.001909,121.3085621,B1、B2,422.0,桃園分局,
T112105,昭揚大和社區,桃園市桃園區中正里23鄰正光路180號,24.996776,121.295371,B1、B2、B3、B4,1022.0,桃園分局,
T112106,天濶社區,桃園市桃園區汴洲里1鄰水岸街2號2樓,25.028459,121.2961252,B1、B2、B3、B4,1359.0,桃園分局,
T112107,宜誠吾界社區,桃園市桃園區大有里17鄰大有路308號6樓,25.010255,121.3198329,B1,191.0,桃園分局,
T111101,永恆之藝社區,桃園市桃園區汴洲里1鄰有恆路257-1號,25.031382," 121.296741",B1、B2、B3,552.0,桃園分局,
T111102,經品翫社區,桃園市桃園區新埔里20鄰經國路198巷56號,25.016971,121.306454,B1、B2,274.0,桃園分局,
T111103,大睦敦品社區,桃園市桃園區三元里4鄰民有八街5號,25.007649,121.3221512,B1、B2、B3,1464.0,桃園分局,
T111104,公寓,桃園市桃園區文中里3鄰文中一路126號,24.998551,121.293654,B1,367.0,桃園分局,
T111105,康晶釀社區,桃園市桃園區青溪里15鄰春日路352號,25.017582," 121.300869",B1、B2、B3、B4,401.0,桃園分局,
T111106,桃園市立圖書館,桃園市桃園區同安里11鄰新埔六街203號,25.018588,121.3006629,B1、B2,6452.0,桃園分局,
T111107,美麗一森社區,桃園市桃園區文中里3鄰正光路421巷13號,25.000803,121.2944353,B1、B2、B3,808.0,桃園分局,
T111108,桃園市立殯葬管理所,桃園市桃園區汴洲里12鄰大有路916-2號,25.021610,121.3164305,B1、B2、B3,4608.0,桃園分局,
T111109,宜誠一方舍區,桃園市桃園區中路里4鄰益壽七街60號,24.991836,121.2918589,B1、B2、B3,1276.0,桃園分局,
T111110,桃園市桃園區西門國民小學,桃園市桃園區西門里12鄰莒光街15號,24.995309,121.3043617,B1,181.0,桃園分局,
T111111,桃園市桃園區北門國民小學,桃園市桃園區信光里24鄰正康三街139號,25.007427,121.3071438,B1,168.0,桃園分局,
T111112,桃園市桃園區中埔國民小學,桃園市桃園區中埔里5鄰永安路1054號,25.009268,121.2871438,B1,1037.0,桃園分局,
T111113,桃園市立桃園國民中學,桃園市桃園區西門里12鄰莒光街2號,24.995532,121.3050576,B1,183.0,桃園分局,
T111114,桃園市立中興國民中學,桃園市桃園區文中里3鄰文中路122號,24.996381,121.2908267,B1,345.0,桃園分局,
T111115,桃園市立陽明高級中等學校,桃園市桃園區玉山里2鄰德壽街8號,24.980336,121.3032246,B1,1599.0,桃園分局,
T111116,桃園市立武陵高級中等學校,桃園市桃園區中聖里6鄰中山路889號,24.988217,121.2855502,B1,979.0,桃園分局,
T111117,公寓,桃園市桃園區豐林里26鄰青田街123號2樓,24.984183,121.3099228,B1,216.0,桃園分局,
T111118,尊聖白金花園社區,桃園市桃園區文中里3鄰力行路717號四樓,24.998022,121.28976,B1、B2、B3,1590.0,桃園分局,
T111119,青和寬逸社區,桃園市桃園區中正里22鄰文中一路88號,24.997932,121.294236,B1、B2、B3、B4,1029.0,桃園分局,
T111120,君邑富域,桃園市桃園區南埔里8鄰吉安街36號,25.005755,121.2937093,B1、B2、B3、B4,756.0,桃園分局,
T111121,福泰金城社區,桃園市桃園區東埔里1鄰大華二街9號,25.000674,121.3087957,B1、B2、B3、B4,1354.0,桃園分局,
T111122,中路四號社會住宅,桃園市桃園區中埔里6鄰崇法街170號12樓,25.008069,121.284096,B1、B2、B3,1827.0,桃園分局,
T111123,公寓,桃園市桃園區中寧里6鄰同德五街131巷2弄8號2樓,25.013754,121.2981597,B1,152.0,桃園分局,
T111124,公寓,桃園市桃園區文中里3鄰力行路662巷21號,24.998660,121.2922158,B1、B2、B3,710.0,桃園分局,
T111301,公寓,桃園市桃園區文中里3鄰正光二街151巷9號二樓,24.999561,121.2930672,B1、B2、B3,1676.0,桃園分局,
T111302,公寓,桃園市桃園區中正里26鄰廈門街62號,24.995028,121.2992350,B1,1427.0,桃園分局,
T111303,公寓,桃園市桃園區中埔里6鄰崇法街81-5號13樓,25.007377," 121.28568",B1、B2、B3,3117.0,桃園分局,
T111304,公寓,桃園市桃園區青溪里17鄰民光東路371號5樓,25.005510,121.3105601,B1、B2、B3、B4,1367.0,桃園分局,
T111401,公寓,桃園市桃園區中埔里1鄰大興西路三段88號,25.006090,121.2902619,B1、B2、B3,2760.0,桃園分局,
T111402,公寓,桃園市桃園區青溪里17鄰中央街361號二樓,25.005072,121.3141661,B1、B2、B3、B4、5,796.0,桃園分局,
T111403,公寓,桃園市桃園區文中里3鄰慈文路805號23樓,25.000728,121.293265,B1、B2、B3、B4,2579.0,桃園分局,
T111404,公寓,桃園市桃園區中平里9鄰泰昌二街35號,24.988837,121.2960566,B1,323.0,桃園分局,
T111405,公寓,桃園市桃園區文中里3鄰力行路758號6樓,24.998441,121.2883722,B1、B2,175.0,桃園分局,
T111406,公寓,桃園市桃園區龍安里3鄰國強十三街95號,24.992275,121.2763907,B1、B2、B3,1297.0,桃園分局,
T111407,公寓,桃園市桃園區文中里3鄰正光一街201號,24.999310,121.2909409,B1、B2、B3,840.0,桃園分局,
T111408,公寓,桃園市桃園區青溪里15鄰青溪二路11號,25.003774,121.3128599,B1、B2、B3、B4,1250.0,桃園分局,
T111409,公寓,桃園市桃園區青溪里16鄰日光路80號,25.001843,121.3112986,B1、B2、B3、B4,1020.0,桃園分局,
T111410,公寓,桃園市桃園區中埔里1鄰永安路751巷1號2樓,25.007734," 121.291605",B1、B2、B3,792.0,桃園分局,
T111411,公寓,桃園市桃園區文中里3鄰正光一街168號,24.999154,121.291393,B1、B2,153.0,桃園分局,
T110101,桃園市政府警察局,桃園市桃園區中成里正光二街8巷26號,25.001555,121.2971312,B1、B2,1666.0,桃園分局,
T110102,桃園市政府警察局,桃園市桃園區汴洲里幸福路206號,25.028640,121.2995535,B1、B2、B3、B4,980.0,桃園分局,
T110103,福利麵包食品有限公司,桃園市桃園區建國里建國東路15巷1號,24.987074,121.3202755,B1,651.0,桃園分局,
T110104,秀山官邸,桃園市桃園區玉山里秀山路19號,24.9895096,121.3032562,B1、B2,404.0,桃園分局,
T110105,同良機械有限公司,桃園市桃園區文中里3鄰正光路423-11號,25.001124,121.2943286,B1、B2、B3,1328.0,桃園分局,
T110106,昭陽君喆社區,桃園市桃園區文中里3鄰正光二街166號,24.999864,121.291707,B1、B2、B3,542.0,桃園分局,
T110107,明築隱社區,桃園市桃園區文中里3鄰正光一街268號,24.999097,121.2889962,B1、B2、B3,468.0,桃園分局,
T110108,桃園市政府,桃園市桃園區光興里縣府路1號,24.992902,121.3010601,B1、B2、B3,2234.0,桃園分局,
T110109,栢大京森社區,桃園市桃園區光興里縣府路21號,24.993955,121.3003009,B1,116.0,桃園分局,
T110110,桃園市政府體育局,桃園市桃園區萬壽里三民路一段1號,24.993917,121.3247364,B1、B2,1270.0,桃園分局,
T110111,桃園市政府警察局,桃園市桃園區光興里縣府路3號,24.993061,121.3019036,B1,1436.0,桃園分局,
T110112,桃園市政府警察局,桃園市桃園區三元里成功路三段40巷58號,24.998166,121.3255996,B1,293.0,桃園分局,
T110113,桃園市桃園區公所,桃園市桃園區光興里縣府路7號,24.994021,121.3016813,B1,1957.0,桃園分局,
T110114,桃園市政府衛生局,桃園市桃園區光興里縣府路55號,24.992919,121.3002962,B1,520.0,桃園分局,
T110201,同良機械有限公司,桃園市桃園區大樹里5鄰興隆路6號,24.984749,121.320216,B1,793.0,桃園分局,
T110202,昭陽君喆社區,桃園市桃園區文中里2鄰國際路二段380號,24.997756,121.2880608,B1、B2、B3,903.0,桃園分局,
T110203,明築隱社區,桃園市桃園區文中里3鄰正光一街106號,24.999110,121.2941056,B1、B2、B3,538.0,桃園分局,
T110204,琼都巴黎社區,桃園市桃園區中正里24鄰力行路385巷51弄10號,24.997144,121.2980479,B1、B2、B3、B4,1959.0,桃園分局,
T110205,栢大京森社區,桃園市桃園區西門里4鄰民族路297巷3號,24.995817,121.3063431,B1,114.0,桃園分局,
T110206,昕中城社區,桃園市桃園區中正里23鄰文中東路80號,24.995908,121.2970877,B1、B2、B3,1496.0,桃園分局,
T110301,百川凱硯,桃園市桃園區中興里25鄰保定三街89巷7號,24.998385,121.2987196,B1、B2、B3,1348.0,桃園分局,
T110302,合輝豐鉑社區,桃園市桃園區文中里3鄰力行路636號,24.998331,121.2937299,B1、B2、B3,1471.0,桃園分局,
T110303,公寓,桃園市桃園區文中里3鄰文中一路136號,24.998673,121.293645,B1、B2,271.0,桃園分局,
T110304,大清卓越社區,桃園市桃園區同安里15鄰新埔八街130號,25.019104,121.2991241,B1、B2、B3,1994.0,桃園分局,
T110305,宜誠玓瓅,桃園市桃園區中成里14鄰慈文路518號,25.001522,121.2947066,B1、B2、B3,2246.0,桃園分局,
T110306,樂活資產管理有限公司,桃園市桃園區文中里3鄰正光一街61號,24.999110,121.2941056,B1,262.0,桃園分局,
T110307,昭揚湛社區,桃園市桃園區龍安里3鄰國強十三街99號,24.991972,121.275067,B1、B2,910.0,桃園分局,
T110308,潤蓬企業有限公司,桃園市桃園區汴洲里1鄰水岸七街66號,25.030792,121.2956361,B1,168.0,桃園分局,
T110309,印象綠裔社區,桃園市桃園區文中里3鄰文中二路53號,24.996386,121.2896931,B1,307.0,桃園分局,
T110310,中路一號社會住宅,桃園市桃園區中埔里6鄰崇法街8-4號,25.007925,121.2879475,B1、B2、B3,1365.0,桃園分局,
T110311,秉坤婦幼醫院,桃園市桃園區中成里6鄰慈文路959號,25.008322,121.303303,B1、B2、B3,1109.0,桃園分局,
T110401,丰格109社區,桃園市桃園區文中里3鄰正光二街209號,24.999848,121.2907891,B1、B2、B3,1451.0,桃園分局,
T110402,福鄉至美社區,桃園市桃園區文中里3鄰文中一路95巷2號,24.997982,121.292844,B1、B2、B3,1500.0,桃園分局,
T110403,翫寶龍,桃園市桃園區中成里12鄰永安路617號,25.005861,121.294387,B1、B2、B3,816.0,桃園分局,
T110404,定泰清溪翫,桃園市桃園區青溪里16鄰日光路50號,25.003058,121.3107918,B1、B2、B3、B4,1385.0,桃園分局,
T110405,檜樂集,桃園市桃園區青溪里16鄰青溪一路100巷68號,25.001659,121.3126447,B1、B2、B3、B4,1205.0,桃園分局,
T110406,公寓,桃園市桃園區永興里6鄰民權路196號,24.997531,121.3077155,B1,138.0,桃園分局,
T109101,麗晶花園廣場社區,桃園市桃園區同安里26鄰藝文一街62號,25.015371,121.300891,B1、B2、B3、B4,3440.0,桃園分局,
T109102,京璽社區,桃園市桃園區武陵里12鄰大同路10號,24.990604,121.3152496,B1、B2、B3,469.0,桃園分局,
T109103,遠雄金融中心大樓,桃園市桃園區汴洲里1鄰經國路839號,25.029618,121.3003837,B1、B2、B3、B4,1379.0,桃園分局,
T109104,禾林浮島,桃園市桃園區忠義里15鄰成功路三段18號,24.997723,121.3254171,B1、B2、B3、B4,434.0,桃園分局,
T109105,和發LaVie社區,桃園市桃園區信光里14鄰大連二街111號,25.0080001,121.3059963,B1、B2、B3,1160.0,桃園分局,
T109106,W17社區,桃園市桃園區東山里14鄰安東街17號,24.991183,121.316381,B1、B2,180.0,桃園分局,
T109107,愛在陽明社區,桃園市桃園區南門里1鄰漢中路108巷12號,24.980650,121.3043075,B1、B2、B3,1252.0,桃園分局,
T109108,大河戀社區,桃園市桃園區汴洲里1鄰幸福路171號,25.028027,121.2992804,B1、B2、B3,2030.0,桃園分局,
T109109,合輝云朵,桃園市桃園區中成里11鄰吉安街183號,25.003645,121.2902044,B1、B2、B3,2013.0,桃園分局,
T109201,公寓,桃園市桃園區汴洲里1鄰水岸七街88號,25.0307286,121.2966659,B1、B2、B3,269.0,桃園分局,
T109202,印象天裔,桃園市桃園區中成里6鄰文中一路268號,25.001846,121.2931478,B1、B2、B3,862.0,桃園分局,
T109203,中茂亞太中心大樓,桃園市桃園區汴洲里1鄰經國一路65號,25.029412,121.2994815,B1、B2、B3、B4,1506.0,桃園分局,
T109204,公寓,桃園市桃園區中正里23鄰法院後街88號,24.996693,121.296532,B1,212.0,桃園分局,
T109205,吉邑晶站,桃園市桃園區東山里15鄰春日路41號,24.991728,121.3174527,B1、B2,161.0,桃園分局,
T109206,市政潤隆社區,桃園市桃園區中正里23鄰法院後街22號,24.995528,121.296564,B1、B2、B3,2000.0,桃園分局,
T109207,佳陞吉市社區,桃園市桃園區民生里2鄰民生路318-3號,24.996575,121.3124551,B1、B2、B3,1835.0,桃園分局,
T109208,福倉禾硯社區,桃園市桃園區文中里3鄰正光路425號,25.001146,121.2934479,B1、B2、B3,808.0,桃園分局,
T109209,名軒夢享家社區,桃園市桃園區檜樂里15鄰大德三街128號,25.018793,121.3168352,B1、B2,3947.0,桃園分局,
T109210,文中匯社區,桃園市桃園區文中里3鄰文中三路63號,24.996709,121.2886775,B1、B2、B3、B4,753.0,桃園分局,
T109211,康宸綠園道,桃園市桃園區寶民里7鄰民富十一街12號,25.011887,121.317505,B1、B2,229.0,桃園分局,
T109212,國泰水秀社區,桃園市桃園區文中里3鄰文中二路115號,24.996386,121.2896931,B1、B2、B3,1238.0,桃園分局,
T109213,昭陽無限,桃園市桃園區中成里6鄰溫州一路51號,25.004266,121.2947848,B1、B2,645.0,桃園分局,
T109214,雲世代,桃園市桃園區中成里14鄰慈文路460號,25.002898,121.2967732,B1、B2、B3、B4,1330.0,桃園分局,
T109215,公寓,桃園市桃園區大有里11鄰民有十街71號,25.010039,121.3219517,B1,304.0,桃園分局,
T109216,璞淘元社區,桃園市桃園區汴洲里1鄰幸福路296號,25.028470,121.297941,B1、B2、B3,1457.0,桃園分局,
T109301,昭陽君麗社區,桃園市桃園區文中里3鄰正光二街181巷6號,24.999894,121.2914842,B1、B2、B3,605.0,桃園分局,
T109302,公寓,桃園市桃園區汴洲里1鄰水岸二街200號,25.029205,121.2969494,B1、B2,417.0,桃園分局,
T109303,重久山臨溪,桃園市桃園區三民里17鄰三民路一段18號,24.996769,121.3228391,B1、B2,237.0,桃園分局,
T109304,向陽明珠社區,桃園市桃園區中正里23鄰正光路186巷51號,24.9970793,121.2963604,B1、B2,348.0,桃園分局,
T109305,名嘉清境社區,桃園市桃園區文中里3鄰正光二街158號,25.000212,121.2923562,B1、B2、B3,542.0,桃園分局,
T109306,桃園市文昌非營利幼兒園,桃園市桃園區信光里10鄰大連二街188號,25.0093454,121.3071298,B1,789.0,桃園分局,
T109401,公寓,桃園市桃園區文中里2鄰慈文路985號,25.007061,121.300189,B1,302.0,桃園分局,
T109402,忠泰幸社區,桃園市桃園區汴洲里1鄰經國二路98-1號,25.0275403,121.2983428,B1、B2、B3、B4,1387.0,桃園分局,
T109403,運動家社區,桃園市桃園區中成里12鄰吉安一街58巷1號,25.005002,121.2945132,B1、B2、B3,1075.0,桃園分局,
T109404,易德吉荷社區大樓,桃園市桃園區三民里17鄰三民路一段30號,24.9970856,121.322434,B1、B2、B3,409.0,桃園分局,
T109405,益展涵玥社區,桃園市桃園區莊敬里21鄰新埔七街195號,25.018896,121.30175,B1、B2、B3、B4,1326.0,桃園分局,
T109406,桃園市勞工教育大樓,桃園市桃園區朝陽里14鄰民生路650號,25.00284,121.3096007,B1、B2,536.0,桃園分局,
T109407,東門市場美食街,桃園市桃園區東山里10鄰春日路69號,24.992623,121.3169098,B1、B2、B3,1989.0,桃園分局,
T109408,德友極社區,桃園市桃園區文明里3鄰中華路117號,24.990017,121.3084113,B1、B2、B3、B4,1387.0,桃園分局,
T109409,益展不二家社區,桃園市桃園區中正里23鄰廈門街100號,24.994642,121.299485,B1、B2、B3、B4,1095.0,桃園分局,
T109410,合遠史丹佛社區,桃園市桃園區中成里17鄰正光二街69號,25.000367,121.295986,B1、B2、B3,1335.0,桃園分局,
T109411,光語澍社區,桃園市桃園區中信里29鄰國信街115-1號,24.993999,121.2856668,B1、B2,908.0,桃園分局,
T109412,幸福匯社區,桃園市桃園區汴洲里2鄰幸福路76號,25.028683,121.3024349,B1、B2、B3、B4,2838.0,桃園分局,
T109413,公寓,桃園市桃園區中德里15鄰桃德路39巷70號,24.965822,121.2928488,B1,745.0,桃園分局,
T108101,水逸秀軒社區,桃園市桃園區文中里3鄰文中三路126號,24.997099,121.2885842,B1、B2、B3,627.0,桃園分局,
T108102,臺灣桃園地方法院,桃園市桃園區中埔里6鄰正光路888號,25.006180,121.2884097,B1、B2,10577.0,桃園分局,
T108103,京澄無為大方無隅社區,桃園市桃園區文中里3鄰慈文路885號,25.000746,121.2911107,B1、B2、B3,816.0,桃園分局,
T108104,濟弘皇璽社區,桃園市桃園區西門里6鄰民族路199-6號,24.994524,121.3077413,B1、B2、B3,2611.0,桃園分局,
T108105,美樂地社區,桃園市桃園區東門里5鄰朝陽街一段97號,24.99522,121.313798,B1、B2、B3、B4,227.0,桃園分局,
T108106,利百代股份有限公司,桃園市桃園區大樹里5鄰大誠路2號,24.981712,121.3199268,B1,1923.0,桃園分局,
T108107,永安醴,桃園市桃園區永安里6鄰長春路38號,25.000824,121.3058477,B1、B2、B3,1314.0,桃園分局,
T108201,天鑽,桃園市桃園區三元里4鄰大有路166-1號,25.007255,121.3210588,B1、B2、B3,1532.0,桃園分局,
T108202,昭揚君鼎社區,桃園市桃園區龍鳳里10鄰國豐三街71號,24.989092,121.279422,B1、B2、B3,1033.0,桃園分局,
T108203,嘉仕特飯店,桃園市桃園區文昌里6鄰中山路203號,24.992922,121.3082385,B1、B2,202.0,桃園分局,
T108204,合雄首璽社區,桃園市桃園區大有里14鄰大有路461號,25.008556,121.320466,B1、B2、B3,1644.0,桃園分局,
T108205,公寓,桃園市桃園區北門里3鄰正康二街2號,25.000067,121.309546,B1,164.0,桃園分局,
T108206,新捷市社區,桃園市桃園區龍壽里14鄰龍城一街79號,24.983047,121.2725594,B1、B2、B3,3440.0,桃園分局,
T108207,合新讀樂樂社區,桃園市桃園區文中里3鄰文中二路21-2號,24.996512,121.2891487,B1、B2、B3、B4,1036.0,桃園分局,
T108208,慈文國中,桃園市桃園區慈文里16鄰中正路835號,25.009440,121.3016355,B1,701.0,桃園分局,
T108209,世中心社區,桃園市桃園區永興里4鄰永安路72號,24.996443,121.3087216,B1、B2、B3,1289.0,桃園分局,
T108210,京澄園朗社區,桃園市桃園區文中里3鄰文中三路183號,24.999866,121.2886512,B1、B2、B3,682.0,桃園分局,
T108211,公寓,桃園市桃園區朝陽里7鄰鎮三街25號,24.999598,121.3134288,B1,248.0,桃園分局,
T108212,公寓,桃園市桃園區中正里25鄰忠一路166號,24.995571,121.2986616,B1、B2、B3,904.0,桃園分局,
T108301,中路二號社會住宅,桃園市桃園區中成里17鄰力行路288巷1號,24.999636,121.2970948,B1、B2、B3,1703.0,桃園分局,
T108302,展昇奧斯卡社區,桃園市桃園區文中里3鄰正光二街229巷8號,24.999529,121.2903132,B1、B2、B3,1088.0,桃園分局,
T108303,何嘉仁藝文分校,桃園市桃園區同德里15鄰中埔一街88巷8號,25.014184,121.2971649,B1、B2,428.0,桃園分局,
T108304,合遠康乃爾社區,桃園市桃園區中成里17鄰力行路328巷21號,24.999536,121.2965975,B1、B2、B3,1335.0,桃園分局,
T108305,京懋一號,桃園市桃園區中成里17鄰正光路318號,24.998533,121.295599,B1、B2、B3,2852.0,桃園分局,
T108306,上善若水社區,桃園市桃園區文中里3鄰慈文路865號,25.006379,121.3011194,B1、B2、B3,885.0,桃園分局,
T108307,公寓,桃園市桃園區長德里11鄰中正五街230號,25.003590,121.3012692,B1,166.0,桃園分局,
T108308,合陽合仰,桃園市桃園區中成里14鄰慈文路468巷9號,25.002739,121.2957111,B1、B2、B3、B4,1157.0,桃園分局,
T108309,和頌長照機構,桃園市桃園區南門里32鄰建國路313號,24.984745,121.3049434,B1、B2,463.0,桃園分局,
T108401,公寓,桃園市桃園區文中里3鄰正光二街188號,25.000028,121.2913836,B1、B2、B3,323.0,桃園分局,
T108402,經國翫社區,桃園市桃園區新埔里1鄰經國路198巷27-5號,25.016474,121.3069148,B1、B2,4105.0,桃園分局,
T108403,唯樂之丘,桃園市桃園區文中里3鄰文中三路86號,24.997729,121.2886839,B1、B2、B3、B4,2233.0,桃園分局,
T108404,璞樂,桃園市桃園區中興里25鄰保定三街89巷69號,24.9965486,121.2981591,B1、B2、B3,1366.0,桃園分局,
T108405,太和工房桃園龍壽門市,桃園市桃園區龍山里1鄰龍壽街336號,24.989451,121.2674811,B1,1547.0,桃園分局,
T108406,公寓,桃園市桃園區三元里14鄰大有路172號,25.007415,121.3209002,B1,1532.0,桃園分局,
T108407,合勤鼎盛天下社區,桃園市桃園區中泰里10鄰國聖五街8號,24.987767,121.2872423,B1、B2,450.0,桃園分局,
T108408,大吾疆寶琚社區,桃園市桃園區中正里22鄰力行路469巷59號,24.9972037,121.2943531,B1、B2、B3、B4,991.0,桃園分局,
T108409,禮白賞社區,桃園市桃園區同安里15鄰新埔八街82號,25.021011,121.2986372,B1、B2、B3,1172.0,桃園分局,
T108410,名鑄,桃園市桃園區福元里6鄰民富二街1號,25.005706,121.3198284,B1、B2,2793.0,桃園分局,
T108411,美術花園,桃園市桃園區中成里11鄰大興西路三段268號,25.004312,121.2898776,B1、B2、B3,2983.0,桃園分局,
T108412,公寓,桃園市桃園區文明里3鄰中華路121巷39號,24.989499,121.3079606,B1、B2,272.0,桃園分局,
T108413,高柏科技股份有限公司,桃園市桃園區大林里6鄰大仁路50巷12號,24.972355,121.3221453,B1,491.0,桃園分局,
