類別,電腦編號,縣市別,鄉鎮別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
防空掩體,24.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村116號後方,1.0,22.0,"26.15288, 119.93831","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村116號後方"
防空掩體,25.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村131號後方,1.0,22.0,"26.15027, 119.93557","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村131號後方"
防空掩體,26.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村86號福安瓦斯行入口右側,1.0,22.0,"26.14777, 119.93791福安瓦斯行入口右側","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村86號福安瓦斯行入口右側"
防空掩體,27.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村往梅石道路旁,1.0,22.0,"26.15027, 119.93557","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村往梅石道路旁"
防空掩體,28.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村60號旁水井右上方,1.0,22.0,"26.14777, 119.93791","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村60號旁水井右上方"
防空掩體,29.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村1號朱福養豬場後方水井上方山腰,1.0,22.0,"26.14777, 119.93791","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村1號朱福養豬場後方水井上方山腰"
防空掩體,30.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村95號旁,1.0,22.0,"26.15027, 119.93557","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村95號旁"
防空掩體,31.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村梅石高總管廟旁,1.0,22.0,"26.15825, 119.91815","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村梅石高總管廟旁"
防空掩體,32.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村20號左後方山腰上,1.0,22.0,"26.15027, 119.93557","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村20號左後方山腰上"
防空掩體,33.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村71號旁大樹下方山坡上,1.0,22.0,"26.14777, 119.93791","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村71號旁大樹下方山坡上"
防空掩體,34.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村71號旁大樹下方樹根處,1.0,22.0,"26.15027, 119.93557無法使用","連江縣 南竿鄉 清水村 連江縣南竿鄉清水村71號旁大樹下方樹根處"
防空掩體,35.0,連江縣,南竿鄉,珠螺村,連江縣南竿鄉珠螺村14號後方,1.0,22.0,"26.15966, 119.92966無法使用"
防空掩體,36.0,連江縣,南竿鄉,珠螺村,連江縣南竿鄉珠螺村舊村公所,1.0,22.0,"26.15966, 119.92966","連江縣 南竿鄉 珠螺村 連江縣南竿鄉珠螺村舊村公所"
防空掩體,37.0,連江縣,南竿鄉,馬祖村,連江縣南竿鄉馬祖村77號倉庫後方,1.0,33.0,"26.15825, 119.91815無法使用","連江縣 南竿鄉 馬祖村 連江縣南竿鄉馬祖村77號倉庫後方"
防空掩體,38.0,連江縣,南竿鄉,馬祖村,連江縣南竿鄉馬祖村105號右側,1.0,33.0,"26.15825, 119.91815無法使用","連江縣 南竿鄉 馬祖村 連江縣南竿鄉馬祖村105號右側"
防空掩體,39.0,連江縣,南竿鄉,四維村,連江縣南竿鄉四維村27號左前方,1.0,33.0,"26.1673, 119.91987無法使用","連江縣 南竿鄉 四維村 連江縣南竿鄉四維村27號左前方"
防空掩體,40.0,連江縣,南竿鄉,四維村,連江縣南竿鄉四維村舊村辦公室,1.0,33.0,"26.16965, 119.91807","連江縣 南竿鄉 四維村 連江縣南竿鄉四維村舊村辦公室"
防空掩體,41.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村54號後方,1.0,22.0,"26.14225, 119.92524無法使用","連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村54號後方"
防空掩體,42.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村仁愛市場對面,1.0,22.0,"26.14278, 119.92528","連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村仁愛市場對面"
防空掩體,43.0,連江縣,南竿鄉,仁愛村,"連江縣南竿鄉仁愛村 43號後方",1.0,22.0,"26.14506, 119.92634"
防空掩體,44.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村100號後方,1.0,22.0,"26.14225, 119.92524","連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村100號後方"
防空掩體,46.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村天后宮後方,1.0,22.0,"26.14198, 119.92442","連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村天后宮後方"
防空掩體,47.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村仁愛國小左方,1.0,22.0,"26.1411, 119.92742","連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村仁愛國小左方"
防空掩體,48.0,連江縣,南竿鄉,津沙村,連江縣南竿鄉津沙村港口右側(已改觀光廁所),1.0,22.0,"26.14579, 119.91193","連江縣 南竿鄉 津沙村 連江縣南竿鄉津沙村港口右側(已改觀光廁所)"
防空掩體,49.0,連江縣,南竿鄉,津沙村,連江縣南竿鄉津沙村村公所旁,1.0,22.0,"26.14579, 119.91193無法使用","連江縣 南竿鄉 津沙村 連江縣南竿鄉津沙村村公所旁"
防空掩體,50.0,連江縣,南竿鄉,津沙村,連江縣南竿鄉津沙村48-1號右側,1.0,22.0,"26.14579, 119.91193","連江縣 南竿鄉 津沙村 連江縣南竿鄉津沙村48-1號右側"
防空掩體,51.0,連江縣,南竿鄉,津沙村,連江縣南竿鄉津沙村84號後方,1.0,22.0,"26.14579, 119.91193","連江縣 南竿鄉 津沙村 連江縣南竿鄉津沙村84號後方"
防空掩體,52.0,連江縣,南竿鄉,津沙村,連江縣南竿鄉津沙村公廁旁(已改為村展覽館),1.0,22.0,"26.14579, 119.91193","連江縣 南竿鄉 津沙村 連江縣南竿鄉津沙村公廁旁(已改為村展覽館)"
防空掩體,53.0,連江縣,南竿鄉,津沙村,連江縣南竿鄉津沙村120號旁津、仁步道順上約10公尺處左方,1.0,22.0,"26.14206, 119.91794","連江縣 南竿鄉 津沙村 連江縣南竿鄉津沙村120號旁津、仁步道順上約10公尺處左方"
防空掩體,54.0,連江縣,北竿鄉,塘岐村,連江縣北竿鄉塘岐村海邊公園停車場,1.0,195.0,"26.22436, 120.00102","連江縣 北竿鄉 塘岐村 連江縣北竿鄉塘岐村海邊公園停車場"
防空掩體,55.0,連江縣,北竿鄉,塘岐村,連江縣北竿鄉塘岐村71號旁,1.0,16.0,"26.22457, 119.99826","連江縣 北竿鄉 塘岐村 連江縣北竿鄉塘岐村71號旁"
防空掩體,56.0,連江縣,北竿鄉,芹壁村,連江縣北竿鄉芹壁村72號(左下方路旁)。,1.0,26.0,"26.22424, 119.98341","連江縣 北竿鄉 芹壁村 連江縣北竿鄉芹壁村72號(左下方路旁)。"
防空掩體,57.0,連江縣,莒光鄉,青帆村,連江縣莒光鄉青帆村敬恆國中小旁,1.0,33.0,"25.97063, 119.93367","連江縣 莒光鄉 青帆村 連江縣莒光鄉青帆村敬恆國中小旁"
防空掩體,58.0,連江縣,莒光鄉,青帆村,連江縣莒光鄉青帆村思鄉卡拉OK旁,1.0,33.0,"25.96873, 119.93696","連江縣 莒光鄉 青帆村 連江縣莒光鄉青帆村思鄉卡拉OK旁"
防空掩體,59.0,連江縣,莒光鄉,大坪村,連江縣莒光鄉大坪村4號(東莒國小後方),1.0,33.0,"25.95743, 119.97709","連江縣 莒光鄉 大坪村 連江縣莒光鄉大坪村4號(東莒國小後方)"
防空掩體,60.0,連江縣,莒光鄉,大坪村,連江縣莒光鄉大坪村圓環(吾愛吾鄉)前,1.0,33.0,"25.95743, 119.97709","連江縣 莒光鄉 大坪村 連江縣莒光鄉大坪村圓環(吾愛吾鄉)前"
防空掩體,61.0,連江縣,莒光鄉,福正村,連江縣莒光鄉福正村38-1號旁,1.0,33.0,"25.9644, 119.98835","連江縣 莒光鄉 福正村 連江縣莒光鄉福正村38-1號旁"
防空掩體,62.0,連江縣,東引鄉,樂華村,連江縣東引鄉樂華村舊衛生所後方(惠民坑道),1.0,466.0,"26.36728, 120.49065"
防空掩體,63.0,連江縣,東引鄉,中柳村,連江縣東引鄉中柳村35號,1.0,13.0,"26.36727, 120.48766"
防空掩體,64.0,連江縣,東引鄉,樂華村,連江縣東引鄉樂華村141號,1.0,13.0,"26.36728, 120.48796"
防空掩體,65.0,連江縣,東引鄉,樂華村,連江縣東引鄉樂華村55號,1.0,13.0,"26.36737, 120.48875"
防空掩體,66.0,連江縣,東引鄉,樂華村,連江縣東引鄉樂華村56號,1.0,13.0,"26.36706, 120.48707"
防空掩體,1.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村1號旁,1.0,22.0,"26.15808, 119.95178","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村1號旁"
防空避難設備,67.0,連江縣,東引鄉,中柳村,連江縣東引鄉中柳村121號,1.0,752.0,"26.367225,120.490637"
防空避難設備,68.0,連江縣,南竿鄉,清水村,連江縣南竿鄉清水村29號,1.0,1555.0,"26.14684, 119.9359"
防空避難設備,69.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村160號(160號至164號集合式住宅地下停車場,1.0,2673.0,"26.14506, 119.92634","連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村160號(160號至164號集合式住宅地下停車場"
防空掩體,8.0,連江縣,南竿鄉,介壽村,"連江縣南竿鄉介壽村中正圖書館後面廁所下方
",0.0,44.0,,"連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村中正圖書館後面廁所下方"
防空掩體,45.0,連江縣,南竿鄉,仁愛村,連江縣南竿鄉仁愛村75號後方(解除列管),1.0,22.0,已撤管,"連江縣 南竿鄉 仁愛村 連江縣南竿鄉仁愛村75號後方(解除列管)"
