類別,村里別,地址,地下樓層數,可容納人數,轄管分局,編號,備註,經,緯,經度,緯度
商業大樓,公安里,雲林縣虎尾鎮公安里光復路432號,1.0,138.0,虎尾分局,498.0,,23.71074,120.434841,23.71074,120.434841
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段476號,1.0,890.0,虎尾分局,499.0,,23.709693,120.434206,23.709693,120.434206
商業大樓,公安里,雲林縣虎尾鎮公安里公安路178號之18,1.0,348.0,虎尾分局,500.0,,23.709845,120.433794,23.709845,120.433794
商業大樓,平和里,雲林縣虎尾鎮平和里光明路56號,1.0,408.0,虎尾分局,501.0,,23.705574,120.448855,23.705574,120.448855
凱迪建設,平和里,雲林縣虎尾鎮平和里成德街100號,1.0,378.0,虎尾分局,502.0,,23.709102,120.448186,23.709102,120.448186
雲林農田水利會,平和里,雲林縣虎尾鎮平和里七鄰光明路91之1號,1.0,196.0,虎尾分局,503.0,,23.70652,120.44567,23.70652,120.44567
大成商工,平和里,雲林縣虎尾鎮平和里成平街21號,1.0,1739.0,虎尾分局,504.0,升學樓739人、行政大樓1000人,23.71071,120.44539,23.71071,120.44539
"平和國小
",平和里,雲林縣虎尾鎮平和里光復路22號,1.0,744.0,虎尾分局,505.0,A棟558人、B棟186人,23.70724,120.45073,23.70724,120.45073
圖書館,平和里,雲林縣虎尾鎮平和里光明路68號,1.0,672.0,虎尾分局,506.0,,23.70668,120.4464,23.70668,120.4464
"土庫鎮公所
",石廟里,雲林縣土庫鎮石廟里中興路175號,1.0,1439.0,虎尾分局,507.0,,23.68218,120.389815,23.68218,120.389815
私人住宅大樓,立仁里,雲林縣虎尾鎮立仁里北平路228號,1.0,2128.0,虎尾分局,508.0,,23.70856,120.42639,23.70856,120.42639
私人住宅大樓,立仁里,雲林縣虎尾鎮立仁里復興路147巷1號,1.0,117.0,虎尾分局,509.0,,23.70754,120.4284,23.70754,120.4284
公寓,立仁里,雲林縣虎尾鎮立仁里北平路218號,1.0,40.0,虎尾分局,510.0,,23.70897,120.42669,23.70897,120.42669
私人住宅大樓,立仁里,雲林縣虎尾鎮立仁里立仁街51號,1.0,1047.0,虎尾分局,511.0,,23.705421,120.428188,23.705421,120.428188
私人住宅大樓,立仁里,雲林縣虎尾鎮立仁里忠孝路216號,1.0,1198.0,虎尾分局,512.0,,23.7083,120.425744,23.7083,120.425744
大樓,立仁里,雲林縣虎尾鎮立仁里北平路250號,1.0,2128.0,虎尾分局,513.0,,23.708547,120.425972,23.708547,120.425972
公寓,立仁里,雲林縣虎尾鎮立仁里復興路149號,1.0,1859.0,虎尾分局,514.0,,23.70752,120.42832,23.70752,120.42832
立仁國小,立仁里,雲林縣虎尾鎮立仁里立仁路40號,1.0,450.0,虎尾分局,515.0,後棟450人、西棟613人,23.70608,120.42742,23.70608,120.42742
大樓,西安里,雲林縣虎尾鎮西安里中正路263號,1.0,352.0,虎尾分局,516.0,,23.705753,120.430917,23.705753,120.430917
大樓,西安里,雲林縣虎尾鎮西安里八德街101號,1.0,945.0,虎尾分局,517.0,,23.6997,120.42898,23.6997,120.42898
私人住宅大樓,西安里,雲林縣虎尾鎮西安里五間厝60號,1.0,330.0,虎尾分局,518.0,,23.697524,120.42794,23.697524,120.42794
私人住宅大樓,西安里,雲林縣虎尾鎮西安里中正路189號,1.0,282.0,虎尾分局,519.0,,23.70729,120.43224,23.70729,120.43224
白宮影城,西安里,雲林縣虎尾鎮西安里中正路257號,1.0,77.0,虎尾分局,520.0,,23.70582,120.4313,23.70582,120.4313
"虎科大
",西安里,雲林縣虎尾鎮新吉里工專路103號,1.0,1844.0,虎尾分局,521.0,宿舍121人、新一舍1723人,23.70287,120.424514,23.70287,120.424514
虎科大學,西安里,雲林縣虎尾鎮西安里文化路64號,1.0,3754.0,虎尾分局,522.0,"單一館445人、機械館1990人
、行政大樓603人、文理大樓716人",23.701761,120.429737,23.701761,120.429737
登豐米蘭,西安里,雲林縣虎尾鎮西安里林森路2段57號,1.0,1503.0,虎尾分局,523.0,,23.70669,120.43043,23.70669,120.43043
土庫鎮公所零售市場,忠正里,雲林縣土庫鎮忠正里文化路5號,1.0,726.0,虎尾分局,524.0,,23.675332,120.390372,23.675332,120.390372
一般住宅,忠正里,雲林縣土庫鎮忠正里中華路58號,1.0,52.0,虎尾分局,525.0,,23.670372,120.387905,23.670372,120.387905
蔡醫院,忠正里,雲林縣土庫鎮忠正里中山路64號,1.0,95.0,虎尾分局,526.0,,23.674513,120.389812,23.674513,120.389812
私人住宅大樓,東仁里,雲林縣虎尾鎮東仁里三民路35號,1.0,849.0,虎尾分局,527.0,,23.71089,120.43925,23.71089,120.43925
國泰人壽,東仁里,雲林縣虎尾鎮東仁里信義路67號,1.0,37.0,虎尾分局,528.0,,23.71101,120.4375,23.71101,120.4375
虎尾高中,東仁里,雲林縣虎尾鎮東仁里光復路222號,1.0,980.0,虎尾分局,529.0,至善樓468人、圖書館512人,23.71032,120.44214,23.71032,120.44214
上毅公司,東仁里,雲林縣虎尾鎮東仁里信義路28號,1.0,250.0,虎尾分局,530.0,,23.71078,120.43771,23.71078,120.43771
虎尾春秋,東仁里,雲林縣虎尾鎮東仁里信義路69號,1.0,264.0,虎尾分局,531.0,,23.711335,120.437706,23.711335,120.437706
"鄉寶公司
世中居大樓",東仁里,雲林縣虎尾鎮東仁里福民路76號,1.0,307.0,虎尾分局,532.0,,23.71086,120.43606,23.71086,120.43606
東仁國中,東仁里,雲林縣虎尾鎮東仁里東明路85號,1.0,2531.0,虎尾分局,533.0,辦公大樓473人、停車場2058人,23.71409,120.44003,23.71409,120.44003
私人住宅大樓,東仁里,雲林縣虎尾鎮東仁里東興路146-1號,1.0,165.0,虎尾分局,534.0,,23.712677,120.438409,23.712677,120.438409
透天(一般住宅),長南村,雲林縣元長鄉長南村中山路31號,1.0,66.0,虎尾分局,535.0,,23.64886,120.313358,23.64886,120.313358
"元長鄉
圖書館",長南村,雲林縣元長鄉長南村仁愛路1之1號,1.0,78.0,虎尾分局,536.0,,23.650057,120.314756,23.650057,120.314756
楠峰實業股份有限公司,惠來里,雲林縣虎尾鎮惠來里惠來145之10號,1.0,141.0,虎尾分局,537.0,,23.73329,120.49121,23.73329,120.49121
殯葬管理所,惠來里,雲林縣虎尾鎮惠來里惠來201號,1.0,380.0,虎尾分局,538.0,,23.724521,120.487192,23.724521,120.487192
台榮企業,惠來里,雲林縣虎尾鎮惠來里惠來112號,1.0,80.0,虎尾分局,539.0,,23.728523,120.485524,23.728523,120.485524
公寓,越港里,雲林縣土庫鎮越港里成功路1之62號,1.0,34.0,虎尾分局,540.0,,23.672248,120.395314,23.672248,120.395314
永年中學,越港里,雲林縣土庫鎮越港里建國路13號,1.0,131.0,虎尾分局,541.0,,23.67984,120.39986,23.67984,120.39986
"土庫國小
越港分校",越港里,雲林縣土庫鎮越港里林森路120號,1.0,843.0,虎尾分局,542.0,,23.67379,120.39598,23.67379,120.39598
順天宮香客大樓,順天里,雲林縣土庫鎮順天里中正路107巷16號,1.0,111.0,虎尾分局,543.0,,23.676582,120.390324,23.676582,120.390324
土庫商工,順天里,雲林縣土庫鎮順天里中央路2號,1.0,1385.0,虎尾分局,544.0,"工科大樓505人、圖書館440人
、體育館440人",23.67246,120.3877,23.67246,120.3877
巨路國際公司,順天里,雲林縣土庫鎮順天里中央路71號,1.0,217.0,虎尾分局,545.0,,23.67012,120.38556,23.67012,120.38556
私人住宅大樓,新吉里,雲林縣虎尾鎮新吉里工專路281號,1.0,860.0,虎尾分局,546.0,,23.70758,120.42205,23.70758,120.42205
私人住宅大樓,新吉里,雲林縣虎尾鎮新吉里林森路2段436巷68號,1.0,464.0,虎尾分局,547.0,,23.699935,120.422575,23.699935,120.422575
私人住宅大樓,新吉里,雲林縣虎尾鎮新吉里工專路231號,1.0,504.0,虎尾分局,548.0,,23.70523,120.42291,23.70523,120.42291
私人住宅大樓,新吉里,雲林縣虎尾鎮新吉里工專路113號,1.0,473.0,虎尾分局,549.0,,23.703494,120.424626,23.703494,120.424626
私人住宅大樓,新興里,雲林縣虎尾鎮新興里光復路441號,1.0,296.0,虎尾分局,550.0,,23.710184,120.436041,23.710184,120.436041
私人住宅大樓,新興里,雲林縣虎尾鎮新興里新生路92號,1.0,221.0,虎尾分局,551.0,,23.707862,120.43712,23.707862,120.43712
私人住宅大樓,新興里,雲林縣虎尾鎮新興里民生路46號,1.0,183.0,虎尾分局,552.0,,23.708536,120.437072,23.708536,120.437072
雲林縣稅務局虎尾分局,新興里,雲林縣虎尾鎮新興里光明路118號,1.0,449.0,虎尾分局,553.0,,23.70776,120.44528,23.70776,120.44528
虎尾地政事務所,新興里,雲林縣虎尾鎮新興里光明路120號,1.0,344.0,虎尾分局,554.0,,23.708007,120.444889,23.708007,120.444889
虎尾鎮公所,新興里,雲林縣虎尾鎮新興里行政路6號,1.0,833.0,虎尾分局,555.0,,23.708396,120.445179,23.708396,120.445179
源欣安股份有限公司,新興里,雲林縣虎尾鎮新興里和平路1號,1.0,471.0,虎尾分局,556.0,,23.709726,120.438703,23.709726,120.438703
台西客運虎尾站,新興里,雲林縣虎尾鎮新興里新興路80號,1.0,487.0,虎尾分局,557.0,,23.709481,120.434643,23.709481,120.434643
元富證券,新興里,雲林縣虎尾鎮新興里中正路15號,1.0,402.0,虎尾分局,558.0,,23.70959,120.437083,23.70959,120.437083
海洋商業大樓,新興里,雲林縣虎尾鎮新興里光復路443號,1.0,137.0,虎尾分局,559.0,,23.71014,120.4357,23.71014,120.4357
若瑟醫院,新興里,雲林縣虎尾鎮新生路74號,1.0,2697.0,虎尾分局,560.0,A棟1284人、B棟277人,23.708179,120.437879,23.708179,120.437879
公寓,德興里,雲林縣虎尾鎮德興里德興路84號,1.0,211.0,虎尾分局,561.0,,23.711369,120.430471,23.711369,120.430471
雙子星大樓,德興里,雲林縣虎尾鎮德興里公安路75巷6號,2.0,957.0,虎尾分局,562.0,,23.71134,120.431688,23.71134,120.431688
皇寶大樓,德興里,雲林縣虎尾鎮德興里西平路30號,1.0,482.0,虎尾分局,563.0,,23.71035,120.429869,23.71035,120.429869
公寓,德興里,雲林縣虎尾鎮德興里德興路26-5號,1.0,957.0,虎尾分局,564.0,,23.709784,120.431012,23.709784,120.431012
大樓,德興里,雲林縣虎尾鎮德興里德興路155號,1.0,652.0,虎尾分局,565.0,,23.71167,120.430132,23.71167,120.430132
聯合報虎尾辦事處,德興里,雲林縣虎尾鎮德興里北平路64號,1.0,411.0,虎尾分局,566.0,,23.71202,120.42923,23.71202,120.42923
一般住宅,德興里,雲林縣虎尾鎮德興里西平路42號,1.0,292.0,虎尾分局,567.0,,23.710719,120.429632,23.710719,120.429632
天主堂,德興里,雲林縣虎尾鎮德興里北平路77號,1.0,259.0,虎尾分局,568.0,,23.710924,120.428686,23.710924,120.428686
友華生技醫藥股份有限公司,墾地里,雲林縣虎尾鎮科虎路128號,1.0,521.0,虎尾分局,569.0,,23.728173,120.40711,23.728173,120.40711
兆曜大觀,墾地里,雲林縣虎尾鎮墾地里六十甲路5-1號,1.0,969.0,虎尾分局,570.0,,23.731647,120.410228,23.731647,120.410228
禾楓君悅-菁英會館,墾地里,雲林縣虎尾鎮墾地里1鄰永興北二街150號,1.0,1094.0,虎尾分局,571.0,,23.741506,120.416105,23.741506,120.416105
鋐元麗池,墾地里,雲林縣虎尾鎮墾地里松園三路112號,1.0,559.0,虎尾分局,572.0,,23.738695,120.408287,23.738695,120.408287
鋐元麗池,墾地里,雲林縣虎尾鎮墾地里松園三路98號,1.0,682.0,虎尾分局,573.0,,23.738918,120.408589,23.738918,120.408589
禾楓君悅-菁英會館,墾地里,雲林縣虎尾鎮墾地里永興南二街252號,1.0,1270.0,虎尾分局,574.0,,23.730927,120.412154,23.730927,120.412154
沐晴一,墾地里,雲林縣虎尾鎮墾地里科虎路6號,1.0,355.0,虎尾分局,575.0,,23.725407,120.407252,23.725407,120.407252
雲林家扶中心,穎川里,雲林縣虎尾鎮穎川里頂南56號,1.0,596.0,虎尾分局,576.0,,23.6954,120.42193,23.6954,120.42193
廠房,興新里,雲林縣土庫鎮頂圍路36號,1.0,354.0,虎尾分局,577.0,,23.675032,120.382817,23.675032,120.382817
敬業公司,新興里,雲林縣虎尾鎮新興里和平路17號,1.0,1064.0,虎尾分局,578.0,,23.709462,120.438103,23.709462,120.438103
虎科大學電機館,安慶里,雲林縣虎尾鎮安慶里文化路83號,1.0,536.0,虎尾分局,579.0,,23.702888,120.431295,23.702888,120.431295
安慶國小,安慶里,雲林縣虎尾鎮安慶里民主路36號,1.0,858.0,虎尾分局,580.0,安慶國小主棟747人、安慶國小C棟111人,23.70333,120.433487,23.70333,120.433487
安安婦產科,新吉里,雲林縣虎尾鎮新吉里林森路2段428號,1.0,550.0,虎尾分局,581.0,,23.699241,120.42467,23.699241,120.42467
虎尾科技大學,廉使里,雲林縣虎尾鎮廉使里建成路311號,1.0,94.0,虎尾分局,582.0,,23.728513,120.426061,23.728513,120.426061
